# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          A0224_LKAP-FHGF1_C07_059 -               21     881       6     858       1     860    1474    +           0 1040.7  20.8  -
Woeseiaceae               -          A0224_LKAP-FHGF1_C07_059 -               30     876       6     854       1     860    1476    +    3.6e-171  566.5  20.7  -
Micromonosporaceae        -          A0224_LKAP-FHGF1_C07_059 -               36     861       7     857       2     860    1482    +      5e-171  566.2  20.8  -
Kineosporiaceae           -          A0224_LKAP-FHGF1_C07_059 -               30     853       7     857       2     860    1463    +    8.8e-171  565.5  20.8  -
Sporomusaceae             -          A0224_LKAP-FHGF1_C07_059 -               40     900       6     857       2     860    1535    +      1e-170  564.9  20.1  -
Geodermatophilaceae       -          A0224_LKAP-FHGF1_C07_059 -               35     862       7     857       2     860    1479    +    2.1e-170  564.2  20.9  -
Tsukamurellaceae          -          A0224_LKAP-FHGF1_C07_059 -               41     865       7     857       1     860    1495    +      3e-170  563.7  20.9  -
Mycobacteriaceae          -          A0224_LKAP-FHGF1_C07_059 -               27     855       7     857       2     860    1471    +    3.4e-170  563.4  20.7  -
Nocardioidaceae           -          A0224_LKAP-FHGF1_C07_059 -               22     848       7     857       1     860    1455    +    3.4e-170  563.5  20.9  -
Thermodesulfobiaceae      -          A0224_LKAP-FHGF1_C07_059 -               37     870       6     857       2     860    1520    +    5.5e-170  562.7  20.7  -
Halobacteroidaceae        -          A0224_LKAP-FHGF1_C07_059 -               29     869       6     855       2     859    1478    +    1.5e-169  561.0  20.1  -
Enterococcaceae           -          A0224_LKAP-FHGF1_C07_059 -               21     888       6     857       1     860    1498    +    1.5e-169  561.3  20.5  -
Thermaceae                -          A0224_LKAP-FHGF1_C07_059 -               31     851       6     857       2     861    1477    +      3e-169  560.5  20.9  -
Corynebacterineae         -          A0224_LKAP-FHGF1_C07_059 -               22     845       7     857       2     860    1473    +    3.6e-169  560.1  20.5  -
Caldilineaceae            -          A0224_LKAP-FHGF1_C07_059 -               28     851       6     857       1     860    1434    +    3.7e-169  560.0  21.9  -
Frankiaceae               -          A0224_LKAP-FHGF1_C07_059 -               43     859       7     857       2     860    1499    +    4.6e-169  559.9  20.5  -
Chrysiogenaceae           -          A0224_LKAP-FHGF1_C07_059 -               41     869       6     858       1     861    1513    +    5.5e-169  559.5  19.9  -
Caldicoprobacteraceae     -          A0224_LKAP-FHGF1_C07_059 -               37     879       6     857       2     860    1530    +    5.6e-169  559.3  21.2  -
Demequinaceae             -          A0224_LKAP-FHGF1_C07_059 -               22     850       7     857       2     860    1478    +    3.7e-168  556.7  20.8  -
Anaerolineaceae           -          A0224_LKAP-FHGF1_C07_059 -               21     846       6     857       2     860    1430    +    6.2e-168  556.5  20.8  -
Segniliparaceae           -          A0224_LKAP-FHGF1_C07_059 -               25     847       6     857       1     860    1462    +    6.4e-168  556.0  20.8  -
Balneolaceae              -          A0224_LKAP-FHGF1_C07_059 -               21     863       6     856       1     860    1459    +    9.1e-168  555.4  20.4  -
Jiangellaceae             -          A0224_LKAP-FHGF1_C07_059 -               28     852       7     857       2     860    1497    +    1.6e-167  554.6  20.3  -
Desulfurellaceae          -          A0224_LKAP-FHGF1_C07_059 -               27     889       6     857       2     860    1529    +    2.6e-167  553.7  20.4  -
Chroococcales             -          A0224_LKAP-FHGF1_C07_059 -               33     828       6     854       1     859    1445    +    3.6e-167  553.3  20.8  -
Cytophagaceae             -          A0224_LKAP-FHGF1_C07_059 -               23     851       6     854       1     859    1437    +    3.9e-167  553.3  20.5  -
Cellulomonadaceae         -          A0224_LKAP-FHGF1_C07_059 -               26     855       7     857       2     860    1465    +    3.9e-167  553.4  20.6  -
Peptoniphilaceae          -          A0224_LKAP-FHGF1_C07_059 -                1     828      10     854      10     859    1437    +    1.6e-166  551.5  21.0  -
Dermacoccaceae            -          A0224_LKAP-FHGF1_C07_059 -               19     848       7     857       1     860    1456    +    1.6e-166  551.1  21.0  -
Porphyromonadaceae        -          A0224_LKAP-FHGF1_C07_059 -               29     871       6     854       2     859    1473    +    1.9e-166  551.1  20.9  -
Natranaerobiaceae         -          A0224_LKAP-FHGF1_C07_059 -                6     845      12     858       6     861    1429    +      2e-166  550.9  20.9  -
Puniceicoccaceae          -          A0224_LKAP-FHGF1_C07_059 -               30     884       5     857       1     860    1485    +    2.2e-166  550.8  20.5  -
Bernardetiaceae           -          A0224_LKAP-FHGF1_C07_059 -               21     860       6     855       1     860    1481    +      5e-166  549.6  20.6  -
Promicromonosporaceae     -          A0224_LKAP-FHGF1_C07_059 -               22     847       7     857       2     860    1462    +    1.6e-165  548.0  21.1  -
Planctomycetaceae         -          A0224_LKAP-FHGF1_C07_059 -               37     864      12     857       4     860    1486    +    2.1e-165  547.8  20.7  -
Thermodesulfobacteriaceae -          A0224_LKAP-FHGF1_C07_059 -               21     879       6     857       1     860    1497    +    3.5e-165  547.0  20.5  -
Thermomonosporaceae       -          A0224_LKAP-FHGF1_C07_059 -               22     846       7     857       2     860    1464    +    5.9e-165  546.1  20.9  -
Catenulisporaceae         -          A0224_LKAP-FHGF1_C07_059 -               22     845       7     857       2     860    1460    +    9.1e-165  545.5  20.2  -
Desulfurobacteriaceae     -          A0224_LKAP-FHGF1_C07_059 -               21     893       6     857       2     860    1497    +    1.4e-164  545.2  20.6  -
Persicobacteraceae        -          A0224_LKAP-FHGF1_C07_059 -               21     857       6     854       1     857    1448    +    1.4e-164  544.9  21.5  -
Acidobacteriaceae         -          A0224_LKAP-FHGF1_C07_059 -               41     849       6     858       2     861    1462    +    1.8e-164  544.4  19.5  -
Dietziaceae               -          A0224_LKAP-FHGF1_C07_059 -               13     835       7     857       2     860    1452    +    2.4e-164  544.1  20.8  -
Cryptosporangiaceae       -          A0224_LKAP-FHGF1_C07_059 -               22     843       7     857       2     860    1470    +      6e-164  542.7  20.3  -
Dermatophilaceae          -          A0224_LKAP-FHGF1_C07_059 -               27     853       7     857       2     860    1480    +    7.2e-164  542.4  20.8  -
Hymenobacteraceae         -          A0224_LKAP-FHGF1_C07_059 -               21     850       6     856       1     860    1445    +    7.3e-164  542.5  20.6  -
Sanguibacteraceae         -          A0224_LKAP-FHGF1_C07_059 -               39     867       7     857       1     860    1483    +    3.7e-163  540.1  20.8  -
Sterolibacteriaceae       -          A0224_LKAP-FHGF1_C07_059 -               37     890       7     859       2     861    1531    +    5.7e-163  539.5  20.8  -
Stigonematales            -          A0224_LKAP-FHGF1_C07_059 -               42     839       7     857       3     860    1450    +    6.1e-163  539.5  19.5  -
Bogoriellaceae            -          A0224_LKAP-FHGF1_C07_059 -               22     855       7     857       1     860    1470    +    9.5e-163  538.7  20.8  -
Symbiobacteriaceae        -          A0224_LKAP-FHGF1_C07_059 -               20     876      12     857       2     860    1468    +    1.3e-162  538.6  21.0  -
Frankiales                -          A0224_LKAP-FHGF1_C07_059 -               29     853       7     857       2     860    1425    +    4.1e-162  536.8  20.7  -
Dermabacteraceae          -          A0224_LKAP-FHGF1_C07_059 -               31     859       7     857       1     860    1470    +      6e-162  535.9  20.8  -
Nostocales                -          A0224_LKAP-FHGF1_C07_059 -               22     812       7     854       3     859    1457    +    7.1e-162  536.0  19.7  -
Sporichthyaceae           -          A0224_LKAP-FHGF1_C07_059 -               22     845       7     857       2     860    1472    +    1.5e-161  535.0  20.9  -
Spiroplasmataceae         -          A0224_LKAP-FHGF1_C07_059 -               44     871       6     851       1     859    1516    +    1.9e-161  534.7  19.4  -
Glycomycetaceae           -          A0224_LKAP-FHGF1_C07_059 -               29     865       7     857       2     860    1495    +      2e-161  534.5  20.7  -
Actinomycetales           -          A0224_LKAP-FHGF1_C07_059 -               42     883       7     857       2     860    1535    +    4.4e-161  533.2  21.4  -
Streptosporangiaceae      -          A0224_LKAP-FHGF1_C07_059 -               22     842       7     857       2     860    1464    +    5.4e-161  532.8  20.9  -
Bryobacteraceae           -          A0224_LKAP-FHGF1_C07_059 -               40     847       6     858       1     861    1417    +    8.3e-161  532.4  20.7  -
Lysobacteriales           -          A0224_LKAP-FHGF1_C07_059 -               49     895       6     858       1     861    1508    +    8.8e-161  532.4  20.7  -
Bifidobacteriaceae        -          A0224_LKAP-FHGF1_C07_059 -               36     867       7     857       1     860    1469    +    1.4e-160  531.6  21.3  -
Opitutaceae               -          A0224_LKAP-FHGF1_C07_059 -               20     888       5     857       1     860    1482    +    2.1e-160  531.0  20.9  -
Rikenellaceae             -          A0224_LKAP-FHGF1_C07_059 -               29     874       6     857       1     860    1456    +    2.1e-160  531.0  20.7  -
Micrococcales             -          A0224_LKAP-FHGF1_C07_059 -               22     848       7     857       2     860    1475    +    2.4e-160  530.9  20.6  -
Phormidiaceae             -          A0224_LKAP-FHGF1_C07_059 -               42     835       7     854       2     859    1483    +    4.3e-160  530.3  20.7  -
Anaeroplasmataceae        -          A0224_LKAP-FHGF1_C07_059 -               48     863       6     854       2     859    1453    +    4.6e-160  530.0  19.6  -
Beutenbergiaceae          -          A0224_LKAP-FHGF1_C07_059 -               22     850       7     857       2     860    1472    +    8.2e-160  529.0  20.5  -
Rubricoccaceae            -          A0224_LKAP-FHGF1_C07_059 -               27     869       7     857       1     860    1452    +    1.1e-159  528.6  19.9  -
Rubritaleaceae            -          A0224_LKAP-FHGF1_C07_059 -               28     872       6     858       1     860    1459    +    1.1e-159  528.5  19.9  -
Pyrinomonadaceae          -          A0224_LKAP-FHGF1_C07_059 -               41     908       6     858       2     861    1526    +    9.3e-159  525.3  20.4  -
Atopobacteriaceae         -          A0224_LKAP-FHGF1_C07_059 -               24     851       5     857       1     860    1442    +    1.5e-158  525.0  20.7  -
Gemmatimonadaceae         -          A0224_LKAP-FHGF1_C07_059 -               45     871       7     857       2     860    1525    +    1.7e-158  524.7  20.7  -
Gallionellaceae           -          A0224_LKAP-FHGF1_C07_059 -               39     883       7     858       1     861    1385    +    1.9e-158  524.6  20.2  -
Iamiaceae                 -          A0224_LKAP-FHGF1_C07_059 -               21     854       6     857       2     860    1480    +    3.7e-158  523.8  20.0  -
Actinopolysporaceae       -          A0224_LKAP-FHGF1_C07_059 -               22     865       6     857       1     860    1480    +    5.4e-158  523.0  21.5  -
Jonesiaceae               -          A0224_LKAP-FHGF1_C07_059 -               41     887       7     857       1     860    1514    +    6.4e-158  522.9  20.8  -
Nocardiopsaceae           -          A0224_LKAP-FHGF1_C07_059 -               22     859       7     857       2     860    1475    +    8.9e-158  522.4  20.5  -
Ruaniaceae                -          A0224_LKAP-FHGF1_C07_059 -               46     882       7     857       2     860    1531    +    1.2e-157  521.6  20.7  -
Leptotrichiaceae          -          A0224_LKAP-FHGF1_C07_059 -               42     866       7     857       3     860    1492    +    1.3e-157  521.6  20.0  -
Prolixibacteraceae        -          A0224_LKAP-FHGF1_C07_059 -               21     859       6     857       1     860    1444    +    4.4e-157  520.0  20.6  -
Prochlorococcaceae        -          A0224_LKAP-FHGF1_C07_059 -               29     817       7     854       2     860    1465    +    8.6e-157  519.1  20.1  -
Defluviitaleaceae         -          A0224_LKAP-FHGF1_C07_059 -               16     839      11     857       3     860    1413    +    1.1e-156  518.8  20.7  -
Streptosporangineae       -          A0224_LKAP-FHGF1_C07_059 -                2     818       9     857       8     860    1443    +    2.5e-156  517.4  21.7  -
Parachlamydiaceae         -          A0224_LKAP-FHGF1_C07_059 -               39     886      11     857       3     860    1529    +    8.3e-156  515.9  20.3  -
Crocinitomicaceae         -          A0224_LKAP-FHGF1_C07_059 -               23     867       7     857       1     860    1466    +    1.1e-155  515.2  20.6  -
Chitinophagaceae          -          A0224_LKAP-FHGF1_C07_059 -               22     864       6     857       1     860    1458    +    1.2e-155  515.6  20.7  -
Kofleriaceae              -          A0224_LKAP-FHGF1_C07_059 -               38     901       7     858       1     861    1498    +    1.2e-155  515.4  20.6  -
Marinilabiliaceae         -          A0224_LKAP-FHGF1_C07_059 -               21     859       6     854       1     859    1447    +    3.2e-155  513.5  20.9  -
Thermotogaceae            -          A0224_LKAP-FHGF1_C07_059 -               39     886       6     854       2     859    1545    +    3.5e-155  513.7  20.9  -
Rarobacteraceae           -          A0224_LKAP-FHGF1_C07_059 -               11     836       7     857       2     860    1464    +    8.6e-155  512.2  20.7  -
Chlamydiaceae             -          A0224_LKAP-FHGF1_C07_059 -               49     899      11     854       2     860    1548    +    1.4e-154  511.5  20.4  -
Betaproteobacteria        -          A0224_LKAP-FHGF1_C07_059 -                5     846       9     859       5     861    1454    +    1.4e-154  511.7  20.0  -
Haliscomenobacteraceae    -          A0224_LKAP-FHGF1_C07_059 -               42     878       7     854       1     859    1485    +    2.5e-154  511.3  20.8  -
Eggerthellaceae           -          A0224_LKAP-FHGF1_C07_059 -               28     847       6     857       1     860    1449    +    2.7e-154  510.9  20.3  -
Mariprofundaceae          -          A0224_LKAP-FHGF1_C07_059 -               41     887       6     859       1     861    1528    +    4.9e-154  509.8  20.2  -
Cyclobacteriaceae         -          A0224_LKAP-FHGF1_C07_059 -               21     859       6     855       1     859    1447    +    5.6e-154  509.8  21.0  -
Chlorobiaceae             -          A0224_LKAP-FHGF1_C07_059 -               41     871       6     857       1     861    1455    +    6.1e-154  509.6  20.4  -
Iodidimonadaceae          -          A0224_LKAP-FHGF1_C07_059 -               28     836       6     859       1     861    1437    +    1.2e-153  508.6  19.9  -
Acholeplasmataceae        -          A0224_LKAP-FHGF1_C07_059 -               13     845       6     853       2     859    1437    +    1.3e-153  508.3  20.1  -
Pseudobacteriovoracaceae  -          A0224_LKAP-FHGF1_C07_059 -                2     840      15     859      14     861    1466    +    1.3e-153  508.4  20.6  -
Lewinellaceae             -          A0224_LKAP-FHGF1_C07_059 -               22     858       7     857       1     860    1446    +      2e-153  507.9  20.6  -
Dehalococcoidaceae        -          A0224_LKAP-FHGF1_C07_059 -               21     837       6     858       2     860    1437    +    2.7e-153  507.9  20.3  -
Actinospicaceae           -          A0224_LKAP-FHGF1_C07_059 -                2     823      10     857       9     860    1425    +    6.1e-153  506.2  20.9  -
Cryomorphaceae            -          A0224_LKAP-FHGF1_C07_059 -               27     869       6     857       1     860    1454    +    6.6e-153  506.2  20.4  -
Mesoaciditogaceae         -          A0224_LKAP-FHGF1_C07_059 -               29     884       6     857       2     860    1522    +    1.3e-152  505.2  20.9  -
Sphingobacteriaceae       -          A0224_LKAP-FHGF1_C07_059 -               17     860       4     857       1     860    1450    +      1e-151  502.2  20.6  -
Aquificaceae              -          A0224_LKAP-FHGF1_C07_059 -               21     878       6     857       1     860    1485    +    1.5e-151  501.9  20.8  -
Deinococcaceae            -          A0224_LKAP-FHGF1_C07_059 -               24     844       7     857       2     860    1455    +    1.6e-151  501.4  20.6  -
Petrotogaceae             -          A0224_LKAP-FHGF1_C07_059 -               36     864       6     856       1     860    1488    +    3.4e-150  497.4  20.8  -
Oscillospiraceae          -          A0224_LKAP-FHGF1_C07_059 -               21     861       6     857       1     860    1453    +    5.1e-150  496.2  20.6  -
Cytophagales              -          A0224_LKAP-FHGF1_C07_059 -               21     857       6     855       1     859    1444    +    5.9e-150  496.4  20.9  -
Entomoplasmataceae        -          A0224_LKAP-FHGF1_C07_059 -               28     853       6     845       1     859    1497    +    4.1e-149  493.8  19.0  -
Saprospiraceae            -          A0224_LKAP-FHGF1_C07_059 -               33     871       7     857       1     860    1430    +    4.7e-148  490.5  20.1  -
Hydrogenothermaceae       -          A0224_LKAP-FHGF1_C07_059 -               21     840       6     857       1     860    1447    +    6.1e-148  489.9  20.0  -
Rhodospirillales          -          A0224_LKAP-FHGF1_C07_059 -               12     804       7     858       1     861    1413    +    8.6e-148  489.6  20.8  -
Bacteroidales             -          A0224_LKAP-FHGF1_C07_059 -               43     880       6     854       2     859    1485    +    3.3e-147  487.0  20.2  -
Prevotellaceae            -          A0224_LKAP-FHGF1_C07_059 -               23     868       7     854       3     857    1464    +    1.3e-146  485.1  20.8  -
Fibrobacteraceae          -          A0224_LKAP-FHGF1_C07_059 -               20     840       6     854       2     859    1412    +    1.8e-146  485.2  21.3  -
Magnetococcaceae          -          A0224_LKAP-FHGF1_C07_059 -               42     850       7     858       1     861    1497    +    1.9e-146  484.8  21.5  -
Rhodothalassiaceae        -          A0224_LKAP-FHGF1_C07_059 -               16     808       6     858       1     861    1318    +      4e-146  483.9  20.9  -
Dictyoglomaceae           -          A0224_LKAP-FHGF1_C07_059 -               43     891       6     857       2     860    1541    +    2.2e-145  481.2  20.7  -
Kosmotogaceae             -          A0224_LKAP-FHGF1_C07_059 -               30     864       7     854       2     859    1488    +    3.1e-145  481.0  21.1  -
Bradymonadaceae           -          A0224_LKAP-FHGF1_C07_059 -               22     861       7     858       1     861    1461    +    6.3e-145  479.5  20.7  -
Sandaracinaceae           -          A0224_LKAP-FHGF1_C07_059 -               11     871       7     858       1     861    1506    +    8.1e-145  479.5  20.2  -
Coriobacteriaceae         -          A0224_LKAP-FHGF1_C07_059 -               33     850       5     857       1     860    1462    +    9.4e-144  476.3  20.6  -
Odoribacteraceae          -          A0224_LKAP-FHGF1_C07_059 -               41     817       6     787       2     807    1486    +    1.2e-143  475.4  20.8  -
Fervidobacteriaceae       -          A0224_LKAP-FHGF1_C07_059 -               29     893       6     854       2     859    1514    +    3.9e-143  473.8  21.1  -
Marinifilaceae            -          A0224_LKAP-FHGF1_C07_059 -               21     862       6     856       1     860    1450    +    8.7e-143  472.5  20.0  -
Phaselicystidaceae        -          A0224_LKAP-FHGF1_C07_059 -               40     898       6     858       1     861    1539    +    1.1e-142  472.5  20.3  -
Microscillaceae           -          A0224_LKAP-FHGF1_C07_059 -               21     846       6     857       1     860    1461    +    3.3e-142  470.6  19.6  -
Roseiarcaceae             -          A0224_LKAP-FHGF1_C07_059 -               40     831       6     859       1     861    1399    +    8.8e-142  469.3  20.6  -
Labilitrichaceae          -          A0224_LKAP-FHGF1_C07_059 -               20     883       5     858       1     861    1483    +    1.2e-141  468.8  20.1  -
Gemmataceae               -          A0224_LKAP-FHGF1_C07_059 -               39     843      11     858       3     861    1427    +    1.6e-141  468.5  19.7  -
Emcibacteraceae           -          A0224_LKAP-FHGF1_C07_059 -               41     845       6     859       1     861    1460    +    1.7e-141  468.6  19.8  -
Sphaerobacteraceae        -          A0224_LKAP-FHGF1_C07_059 -               41     862       6     857       2     860    1531    +    1.7e-141  468.3  21.8  -
Anaeromyxobacteraceae     -          A0224_LKAP-FHGF1_C07_059 -               41     903       6     858       1     861    1549    +    1.7e-141  468.4  20.7  -
Acanthopleuribacteraceae  -          A0224_LKAP-FHGF1_C07_059 -               30     860      51     859      38     861    1453    +    2.8e-141  467.7  20.3  -
Oligoflexaceae            -          A0224_LKAP-FHGF1_C07_059 -               21     863       6     858       1     861    1458    +    8.4e-141  466.2  20.4  -
Blastocatellaceae         -          A0224_LKAP-FHGF1_C07_059 -               41     866       6     854       2     859    1485    +    6.6e-140  462.9  19.6  -
Gaiellaceae               -          A0224_LKAP-FHGF1_C07_059 -               41     894       6     858       1     861    1544    +    7.1e-140  462.9  20.6  -
Thermosporotrichaceae     -          A0224_LKAP-FHGF1_C07_059 -                6     773      57     858      52     861    1317    +    9.7e-140  462.8  20.6  -
Syntrophorhabdaceae       -          A0224_LKAP-FHGF1_C07_059 -               21     884       6     858       1     861    1482    +    1.7e-139  461.8  20.3  -
Akkermansiaceae           -          A0224_LKAP-FHGF1_C07_059 -               21     844       6     858       1     860    1441    +    2.1e-139  461.7  19.9  -
Lentisphaeraceae          -          A0224_LKAP-FHGF1_C07_059 -               37     853      11     858       2     861    1465    +    6.8e-139  459.9  20.3  -
Temperatibacteraceae      -          A0224_LKAP-FHGF1_C07_059 -               34     793      58     859      37     861    1362    +    1.2e-138  458.9  19.0  -
Vulgatibacteraceae        -          A0224_LKAP-FHGF1_C07_059 -               22     882       7     858       1     861    1479    +    5.5e-138  456.9  20.3  -
Egicoccaceae              -          A0224_LKAP-FHGF1_C07_059 -               42     869       7     858       1     861    1512    +    8.7e-138  456.1  20.6  -
Hydrogenimonaceae         -          A0224_LKAP-FHGF1_C07_059 -               22     864       6     859       1     861    1422    +    1.2e-136  452.4  21.0  -
Thermomicrobiaceae        -          A0224_LKAP-FHGF1_C07_059 -               16     822      44     857      24     860    1273    +    1.3e-136  452.8  21.7  -
Christensenellaceae       -          A0224_LKAP-FHGF1_C07_059 -               31     875       7     858       1     861    1497    +    2.3e-136  451.3  20.7  -
Acidothermaceae           -          A0224_LKAP-FHGF1_C07_059 -               39     863       7     858       1     861    1509    +    1.8e-135  448.6  20.8  -
Nitriliruptoraceae        -          A0224_LKAP-FHGF1_C07_059 -               31     858       7     858       1     861    1425    +      2e-135  448.3  20.7  -
Fervidobacteraceae        -          A0224_LKAP-FHGF1_C07_059 -               22     831       6     854       1     859    1480    +    3.9e-135  447.4  21.0  -
Micropepsaceae            -          A0224_LKAP-FHGF1_C07_059 -               40     833       6     858       1     861    1455    +    4.8e-134  443.7  20.7  -
Gracilibacteraceae        -          A0224_LKAP-FHGF1_C07_059 -              202     981      59     858      39     861    1549    +    2.4e-133  441.3  20.0  -
Egibacteraceae            -          A0224_LKAP-FHGF1_C07_059 -               40     871       5     858       1     861    1516    +    4.9e-132  437.3  20.8  -
Isosphaeraceae            -          A0224_LKAP-FHGF1_C07_059 -               42     859      11     858       3     861    1475    +    1.8e-131  435.2  21.0  -
Euzebyaceae               -          A0224_LKAP-FHGF1_C07_059 -               21     850       6     858       1     861    1476    +    2.6e-131  434.8  20.9  -
Halanaerobiales           -          A0224_LKAP-FHGF1_C07_059 -               25     902       6     859       1     861    1500    +    4.9e-131  433.7  20.5  -
Aquificales               -          A0224_LKAP-FHGF1_C07_059 -               10     884       5     858       1     861    1450    +    1.4e-130  432.4  20.8  -
Caldisericaceae           -          A0224_LKAP-FHGF1_C07_059 -               21     883       6     858       1     861    1481    +    3.4e-130  430.9  20.4  -
Haloplasmataceae          -          A0224_LKAP-FHGF1_C07_059 -               22     858       6     859       1     861    1345    +    3.8e-130  431.0  20.1  -
Xenococcaceae             -          A0224_LKAP-FHGF1_C07_059 -               21     819       6     856       2     861    1418    +    3.6e-129  427.9  19.6  -
Acidimicrobiales          -          A0224_LKAP-FHGF1_C07_059 -               23     857       6     858       1     861    1483    +      8e-129  426.7  21.1  -
Thermogemmatisporaceae    -          A0224_LKAP-FHGF1_C07_059 -               21     853       6     857       1     860    1443    +      2e-128  425.1  21.6  -
Longimicrobiaceae         -          A0224_LKAP-FHGF1_C07_059 -                7     828      49     858      43     861    1413    +    3.1e-128  424.7  20.6  -
Brachyspiraceae           -          A0224_LKAP-FHGF1_C07_059 -               13     828       6     853       2     859    1441    +    1.1e-127  422.5  20.4  -
Gloeomargaritaceae        -          A0224_LKAP-FHGF1_C07_059 -               42     835       7     856       1     861    1482    +      3e-127  421.3  19.4  -
Chloroflexaceae           -          A0224_LKAP-FHGF1_C07_059 -               41     841       6     854       2     859    1473    +    6.3e-127  420.4  20.2  -
Ignavibacteriaceae        -          A0224_LKAP-FHGF1_C07_059 -               22     864       7     858       1     861    1461    +    8.1e-127  419.8  19.4  -
Victivallaceae            -          A0224_LKAP-FHGF1_C07_059 -               43     848      12     857       2     861    1456    +    1.2e-126  419.3  20.1  -
Ardenticatenia            -          A0224_LKAP-FHGF1_C07_059 -               20     871       5     858       1     861    1453    +      2e-126  418.7  21.5  -
Prochlorotrichaceae       -          A0224_LKAP-FHGF1_C07_059 -                9     801       7     856       2     861    1448    +      2e-124  411.8  20.1  -
Melioribacteraceae        -          A0224_LKAP-FHGF1_C07_059 -               44     889       7     858       1     861    1539    +    5.4e-124  410.4  20.0  -
Trueperaceae              -          A0224_LKAP-FHGF1_C07_059 -               11     827       6     858       1     861    1461    +    5.3e-123  407.1  19.9  -
Mooreiaceae               -          A0224_LKAP-FHGF1_C07_059 -               34     844      44     854      22     860    1424    +    1.5e-120  399.2  20.6  -
Catalimonadaceae          -          A0224_LKAP-FHGF1_C07_059 -               20     845      18     856       4     861    1425    +    1.5e-120  399.1  20.7  -
Chitinivibrionaceae       -          A0224_LKAP-FHGF1_C07_059 -               30     881       7     857       2     861    1488    +    4.1e-120  397.6  19.9  -
Thermonemataceae          -          A0224_LKAP-FHGF1_C07_059 -               12     853       6     854       1     860    1465    +    4.7e-120  397.6  21.0  -
Brevinemataceae           -          A0224_LKAP-FHGF1_C07_059 -               43     877       9     858       2     861    1490    +      1e-119  396.3  20.4  -
Armatimonadaceae          -          A0224_LKAP-FHGF1_C07_059 -               20     841       6     858       2     861    1438    +    2.6e-119  395.0  19.9  -
Herpetosiphonaceae        -          A0224_LKAP-FHGF1_C07_059 -               41     842       6     854       1     859    1475    +    3.3e-119  394.4  19.4  -
Mzabimycetaceae           -          A0224_LKAP-FHGF1_C07_059 -               12     790      56     858      48     861    1357    +    3.6e-119  394.6  21.6  -
Blastocatellales          -          A0224_LKAP-FHGF1_C07_059 -               41     846       6     857       1     861    1488    +    8.2e-119  393.3  20.2  -
Verrucomicrobiales        -          A0224_LKAP-FHGF1_C07_059 -               34     858      52     858      31     861    1410    +    1.5e-118  392.8  20.3  -
Filobacteriaceae          -          A0224_LKAP-FHGF1_C07_059 -               40     882       6     858       1     861    1521    +    2.4e-118  391.6  20.9  -
Spirochaetales            -          A0224_LKAP-FHGF1_C07_059 -               24     853       9     854       2     860    1456    +      1e-117  389.7  20.4  -
Elusimicrobiaceae         -          A0224_LKAP-FHGF1_C07_059 -                1     834       7     858       7     861    1395    +    1.6e-117  389.0  19.7  -
Thermoflexaceae           -          A0224_LKAP-FHGF1_C07_059 -               57     851      57     857      37     861    1466    +    5.4e-117  387.7  20.0  -
Kiritimatiellaceae        -          A0224_LKAP-FHGF1_C07_059 -               44     916       9     858       2     861    1556    +    9.7e-117  386.5  20.5  -
Simkaniaceae              -          A0224_LKAP-FHGF1_C07_059 -               44     901       9     858       2     861    1545    +    1.2e-114  379.5  19.5  -
Oligosphaeraceae          -          A0224_LKAP-FHGF1_C07_059 -               27     839      12     858       3     861    1434    +    1.7e-114  379.0  20.2  -
Spartobacteria            -          A0224_LKAP-FHGF1_C07_059 -               18     853       5     858       1     861    1418    +    2.2e-114  378.7  20.9  -
Ktedonobacteraceae        -          A0224_LKAP-FHGF1_C07_059 -               16     821       6     859       1     861    1386    +    5.8e-114  377.5  20.9  -
Soortiaceae               -          A0224_LKAP-FHGF1_C07_059 -               46     893       7     854       1     860    1516    +    6.3e-114  377.1  20.3  -
Schleiferiaceae           -          A0224_LKAP-FHGF1_C07_059 -               40     881       6     858       1     861    1499    +    1.2e-113  376.4  20.6  -
Fimbriimonadaceae         -          A0224_LKAP-FHGF1_C07_059 -               26     841       6     858       1     861    1443    +    4.1e-113  374.5  19.4  -
Lentimicrobiaceae         -          A0224_LKAP-FHGF1_C07_059 -               22     862       7     858       1     861    1446    +    2.5e-112  371.8  20.1  -
Roseiflexaceae            -          A0224_LKAP-FHGF1_C07_059 -               41     831       6     842       1     859    1469    +    3.6e-112  371.8  20.7  -
Ichthyobacteriaceae       -          A0224_LKAP-FHGF1_C07_059 -               42     887       7     858       2     861    1521    +    6.8e-111  367.1  20.3  -
Waddliaceae               -          A0224_LKAP-FHGF1_C07_059 -               50     910       9     856       2     861    1557    +    1.8e-109  362.6  20.0  -
Chthonomonadaceae         -          A0224_LKAP-FHGF1_C07_059 -                1     832      13     858      13     861    1411    +    2.3e-109  362.2  21.5  -
Balneicellaceae           -          A0224_LKAP-FHGF1_C07_059 -               25     871       6     855       2     860    1505    +      4e-109  361.2  20.4  -
Phycisphaeraceae          -          A0224_LKAP-FHGF1_C07_059 -               20     839       5     859       1     861    1461    +    1.3e-104  346.6  19.4  -
