# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_E12_088   -               12     947       6     937       1     937    1474    +           0 1142.0  26.2  -
Ferrimonadaceae           -          LKAP-GutHK_E12_088   -                9     947       3     937       1     937    1475    +    1.6e-303 1005.2  26.4  -
Desulfurellaceae          -          LKAP-GutHK_E12_088   -               67     956      66     937      44     937    1529    +    1.9e-189  627.2  24.8  -
Hymenobacteraceae         -          LKAP-GutHK_E12_088   -               12     918       6     937       1     937    1445    +    2.4e-189  627.1  25.2  -
Caldilineaceae            -          LKAP-GutHK_E12_088   -               34     918      17     937       2     937    1434    +    3.7e-189  626.4  26.5  -
Chrysiogenaceae           -          LKAP-GutHK_E12_088   -               77     935      74     937      51     937    1513    +    4.4e-189  626.2  24.3  -
Ventosimonadaceae         -          LKAP-GutHK_E12_088   -               86     964      61     937      38     937    1489    +    5.5e-189  625.5  25.0  -
Peptoniphilaceae          -          LKAP-GutHK_E12_088   -                3     898      17     937      15     937    1437    +      6e-189  625.9  25.1  -
Anaerolineaceae           -          LKAP-GutHK_E12_088   -               28     913      18     937       2     937    1430    +    8.7e-189  625.7  25.9  -
Immundisolibacteraceae    -          LKAP-GutHK_E12_088   -               95     966      64     937      40     937    1555    +    9.7e-189  624.8  24.8  -
Frankiaceae               -          LKAP-GutHK_E12_088   -               72     926      65     937      34     937    1499    +    2.4e-188  623.9  25.0  -
Jiangellaceae             -          LKAP-GutHK_E12_088   -               33     919      17     937       2     937    1497    +    4.1e-188  622.9  25.5  -
Thermomonosporaceae       -          LKAP-GutHK_E12_088   -               27     913      17     937       2     937    1464    +    7.8e-188  622.0  25.8  -
Caldicoprobacteraceae     -          LKAP-GutHK_E12_088   -               91     946      69     937      37     937    1530    +    9.9e-188  621.6  24.8  -
Symbiobacteriaceae        -          LKAP-GutHK_E12_088   -               15     943       7     937       1     937    1468    +    1.7e-187  621.2  25.7  -
Cellulomonadaceae         -          LKAP-GutHK_E12_088   -               74     922      72     937      51     937    1465    +    2.7e-187  620.4  24.5  -
Algiphilaceae             -          LKAP-GutHK_E12_088   -               48     950      18     937       3     937    1501    +    2.8e-187  619.8  25.8  -
Segniliparaceae           -          LKAP-GutHK_E12_088   -               32     914      18     937       2     937    1462    +    7.8e-187  618.8  25.3  -
Acidobacteriaceae         -          LKAP-GutHK_E12_088   -               81     915      66     937      44     937    1462    +    9.9e-187  618.3  24.0  -
Demequinaceae             -          LKAP-GutHK_E12_088   -               70     917      72     937      50     937    1478    +    1.2e-186  618.1  24.2  -
Thermodesulfobacteriaceae -          LKAP-GutHK_E12_088   -               27     946      17     937       1     937    1497    +    1.8e-186  617.7  25.3  -
Dermacoccaceae            -          LKAP-GutHK_E12_088   -               67     915      72     937      50     937    1456    +    2.4e-186  617.0  24.7  -
Planctomycetaceae         -          LKAP-GutHK_E12_088   -               38     931      18     937       6     937    1486    +    3.5e-186  616.7  25.3  -
Bernardetiaceae           -          LKAP-GutHK_E12_088   -               27     929      17     937       1     937    1481    +    9.3e-186  615.1  24.8  -
Cryptosporangiaceae       -          LKAP-GutHK_E12_088   -               27     910      17     937       2     937    1470    +    5.1e-185  612.7  25.5  -
Stigonematales            -          LKAP-GutHK_E12_088   -               76     906      70     937      49     937    1450    +    5.8e-185  612.7  23.4  -
Dietziaceae               -          LKAP-GutHK_E12_088   -               19     902      18     937       3     937    1452    +      2e-184  610.8  25.7  -
Rubricoccaceae            -          LKAP-GutHK_E12_088   -               14     936       3     937       1     937    1452    +    2.1e-184  610.7  25.1  -
Streptosporangiaceae      -          LKAP-GutHK_E12_088   -               27     909      17     937       2     937    1464    +    2.4e-184  610.3  25.9  -
Promicromonosporaceae     -          LKAP-GutHK_E12_088   -               68     914      72     937      34     937    1462    +    3.5e-184  609.9  24.6  -
Porphyromonadaceae        -          LKAP-GutHK_E12_088   -               35     941      17     937       3     937    1473    +    6.2e-184  609.2  25.4  -
Bogoriellaceae            -          LKAP-GutHK_E12_088   -               70     922      72     937      51     937    1470    +    3.5e-183  606.6  24.5  -
Leptotrichiaceae          -          LKAP-GutHK_E12_088   -               93     933      75     937      55     937    1492    +    4.6e-183  606.1  23.8  -
Spiroplasmataceae         -          LKAP-GutHK_E12_088   -               74     944      67     937      47     937    1516    +    6.2e-183  606.1  24.7  -
Catenulisporaceae         -          LKAP-GutHK_E12_088   -               28     912      18     937       2     937    1460    +    8.6e-183  605.3  25.3  -
Glycomycetaceae           -          LKAP-GutHK_E12_088   -               32     932      15     937       1     937    1495    +    1.3e-182  604.9  26.0  -
Gemmatimonadaceae         -          LKAP-GutHK_E12_088   -               80     938      73     937      52     937    1525    +    1.9e-182  604.2  24.4  -
Desulfurobacteriaceae     -          LKAP-GutHK_E12_088   -               54     958      45     935      24     937    1497    +    2.1e-182  604.4  25.2  -
Opitutaceae               -          LKAP-GutHK_E12_088   -               74     955      70     937      48     937    1482    +      3e-182  603.5  24.4  -
Dermatophilaceae          -          LKAP-GutHK_E12_088   -               42     920      31     937       9     937    1480    +    3.5e-182  603.3  25.0  -
Sanguibacteraceae         -          LKAP-GutHK_E12_088   -               87     934      72     937      51     937    1483    +      4e-182  603.1  24.4  -
Defluviitaleaceae         -          LKAP-GutHK_E12_088   -               11     906      11     937       2     937    1413    +    4.2e-182  603.1  24.9  -
Nostocales                -          LKAP-GutHK_E12_088   -               54     882      70     937      50     937    1457    +      1e-181  601.8  23.2  -
Actinomycetales           -          LKAP-GutHK_E12_088   -               47     950      17     937       1     937    1535    +    1.4e-181  601.3  26.3  -
Pyrinomonadaceae          -          LKAP-GutHK_E12_088   -               47     974      17     937       1     937    1526    +    1.5e-181  601.0  26.1  -
Bryobacteraceae           -          LKAP-GutHK_E12_088   -               73     913      59     937      36     937    1417    +    1.9e-181  601.0  24.5  -
Iamiaceae                 -          LKAP-GutHK_E12_088   -               33     921      27     937       7     937    1480    +    6.7e-181  599.3  24.8  -
Sporichthyaceae           -          LKAP-GutHK_E12_088   -               27     912      17     937       2     937    1472    +    5.3e-180  596.2  25.5  -
Frankiales                -          LKAP-GutHK_E12_088   -               34     920      17     937       2     937    1425    +    5.3e-180  596.2  25.8  -
Dermabacteraceae          -          LKAP-GutHK_E12_088   -               79     926      72     937      52     937    1470    +    5.6e-180  595.8  24.5  -
Persicobacteraceae        -          LKAP-GutHK_E12_088   -               64     927      66     937      40     937    1448    +    7.5e-180  595.6  24.8  -
Rubritaleaceae            -          LKAP-GutHK_E12_088   -               79     938      72     937      51     937    1459    +    9.6e-180  595.1  23.9  -
Atopobacteriaceae         -          LKAP-GutHK_E12_088   -               33     918      23     937       3     937    1442    +    1.9e-179  594.4  25.6  -
Prolixibacteraceae        -          LKAP-GutHK_E12_088   -               11     926       5     937       1     937    1444    +      3e-179  593.5  25.8  -
Rikenellaceae             -          LKAP-GutHK_E12_088   -               20     941       6     937       1     937    1456    +    3.8e-179  593.2  25.4  -
Anaeroplasmataceae        -          LKAP-GutHK_E12_088   -               85     932      73     936      53     937    1453    +    4.6e-179  593.0  24.0  -
Actinopolysporaceae       -          LKAP-GutHK_E12_088   -               34     932      22     937       2     937    1480    +    7.1e-179  592.3  26.0  -
Petrotogaceae             -          LKAP-GutHK_E12_088   -               42     932      17     937       2     937    1488    +    3.8e-178  590.2  25.0  -
Beutenbergiaceae          -          LKAP-GutHK_E12_088   -               67     917      71     937      49     937    1472    +    4.6e-178  589.6  24.5  -
Sterolibacteriaceae       -          LKAP-GutHK_E12_088   -               77     955      60     937      32     937    1531    +    4.8e-178  589.5  25.5  -
Gallionellaceae           -          LKAP-GutHK_E12_088   -               83     949      72     937      51     937    1385    +    5.2e-178  589.4  24.6  -
Micrococcales             -          LKAP-GutHK_E12_088   -               68     915      72     937      52     937    1475    +    5.7e-178  589.4  24.2  -
Bifidobacteriaceae        -          LKAP-GutHK_E12_088   -               84     934      71     937      40     937    1469    +    6.1e-178  589.3  24.9  -
Dehalococcoidaceae        -          LKAP-GutHK_E12_088   -               60     903      72     937      52     937    1437    +    6.6e-178  589.6  24.3  -
Lewinellaceae             -          LKAP-GutHK_E12_088   -               27     925      17     937       1     937    1446    +    8.2e-178  588.9  26.1  -
Chlamydiaceae             -          LKAP-GutHK_E12_088   -               51     969      18     937       2     937    1548    +    9.8e-178  588.4  25.5  -
Ruaniaceae                -          LKAP-GutHK_E12_088   -               94     949      72     937      48     937    1531    +    1.1e-177  588.2  24.4  -
Streptosporangineae       -          LKAP-GutHK_E12_088   -                3     885      15     937      13     937    1443    +    1.1e-177  588.3  25.8  -
Phormidiaceae             -          LKAP-GutHK_E12_088   -               78     905      72     937      52     937    1483    +    1.7e-177  588.1  23.9  -
Jonesiaceae               -          LKAP-GutHK_E12_088   -               91     954      72     937      51     937    1514    +    3.3e-177  586.9  24.3  -
Chitinophagaceae          -          LKAP-GutHK_E12_088   -               15     931       8     937       1     937    1458    +    3.9e-177  586.9  25.6  -
Nocardiopsaceae           -          LKAP-GutHK_E12_088   -               27     926      17     937       2     937    1475    +    4.3e-177  586.5  25.6  -
Chlorobiaceae             -          LKAP-GutHK_E12_088   -               87     938      75     937      55     937    1455    +    5.6e-177  586.1  24.3  -
Prochlorococcaceae        -          LKAP-GutHK_E12_088   -               47     887      43     937      23     937    1465    +    1.8e-176  584.4  23.3  -
Deinococcaceae            -          LKAP-GutHK_E12_088   -               52     911      64     937      44     937    1455    +      3e-176  583.5  25.0  -
Crocinitomicaceae         -          LKAP-GutHK_E12_088   -               28     934      17     937       1     937    1466    +    3.7e-176  583.2  24.7  -
Eggerthellaceae           -          LKAP-GutHK_E12_088   -               35     914      18     937       2     937    1449    +    3.9e-176  583.4  25.2  -
Cyclobacteriaceae         -          LKAP-GutHK_E12_088   -               12     928       6     937       1     937    1447    +    8.8e-176  582.2  25.7  -
Lysobacteriales           -          LKAP-GutHK_E12_088   -               56     961      18     937       2     937    1508    +    1.2e-175  581.7  25.5  -
Mesoaciditogaceae         -          LKAP-GutHK_E12_088   -               35     951      17     937       2     937    1522    +    1.7e-175  581.1  26.0  -
Haliscomenobacteraceae    -          LKAP-GutHK_E12_088   -               47     948      17     937       2     937    1485    +    5.2e-175  580.0  25.8  -
Oscillospiraceae          -          LKAP-GutHK_E12_088   -               22     928      14     937       1     937    1453    +      1e-174  578.2  25.0  -
Parachlamydiaceae         -          LKAP-GutHK_E12_088   -               68     953      67     937      47     937    1529    +    1.6e-174  578.0  24.8  -
Betaproteobacteria        -          LKAP-GutHK_E12_088   -               47     911      72     937      52     937    1454    +      2e-174  577.5  24.6  -
Cytophagales              -          LKAP-GutHK_E12_088   -               12     926       6     937       1     937    1444    +    9.4e-174  575.4  25.2  -
Marinilabiliaceae         -          LKAP-GutHK_E12_088   -               27     929      17     937       1     937    1447    +      1e-173  575.0  25.6  -
Cryomorphaceae            -          LKAP-GutHK_E12_088   -               17     936       5     937       1     937    1454    +    1.1e-173  575.3  25.3  -
Mariprofundaceae          -          LKAP-GutHK_E12_088   -               88     952      72     937      51     937    1528    +    2.1e-173  574.0  24.6  -
Sphingobacteriaceae       -          LKAP-GutHK_E12_088   -               10     927       4     937       1     937    1450    +    4.5e-173  573.1  25.2  -
Rarobacteraceae           -          LKAP-GutHK_E12_088   -               57     903      72     937      52     937    1464    +    4.6e-173  572.9  24.8  -
Actinospicaceae           -          LKAP-GutHK_E12_088   -               39     890      68     937      45     937    1425    +    9.9e-173  571.9  24.9  -
Thermotogaceae            -          LKAP-GutHK_E12_088   -               45     955      17     936       2     937    1545    +    3.5e-172  570.2  25.8  -
Kofleriaceae              -          LKAP-GutHK_E12_088   -               50     967      23     937       3     937    1498    +    4.4e-172  569.9  25.6  -
Acholeplasmataceae        -          LKAP-GutHK_E12_088   -               47     916      67     937      45     937    1437    +    5.4e-172  569.4  24.8  -
Kosmotogaceae             -          LKAP-GutHK_E12_088   -               36     934      18     937       2     937    1488    +    5.9e-172  569.7  25.6  -
Pseudobacteriovoracaceae  -          LKAP-GutHK_E12_088   -               10     905      32     937      22     937    1466    +    1.4e-171  568.0  25.5  -
Fibrobacteraceae          -          LKAP-GutHK_E12_088   -               26     910      17     937       6     937    1412    +    8.9e-171  565.8  25.5  -
Entomoplasmataceae        -          LKAP-GutHK_E12_088   -               64     932      71     937      51     937    1497    +    6.8e-170  562.8  24.3  -
Saprospiraceae            -          LKAP-GutHK_E12_088   -               23     938       6     937       1     937    1430    +    1.2e-169  562.2  25.4  -
Iodidimonadaceae          -          LKAP-GutHK_E12_088   -               59     901      68     937      27     937    1437    +    4.7e-169  559.7  23.8  -
Aquificaceae              -          LKAP-GutHK_E12_088   -               28     945      18     937       2     937    1485    +    6.3e-169  559.6  25.1  -
Hydrogenothermaceae       -          LKAP-GutHK_E12_088   -               28     907      18     937       2     937    1447    +      1e-167  555.5  24.5  -
Fervidobacteriaceae       -          LKAP-GutHK_E12_088   -               35     962      17     936       2     937    1514    +    8.4e-167  552.3  26.4  -
Magnetococcaceae          -          LKAP-GutHK_E12_088   -               53     916      22     937       4     937    1497    +    9.1e-167  552.2  25.2  -
Thermosporotrichaceae     -          LKAP-GutHK_E12_088   -                7     839      71     937      65     937    1317    +    2.2e-166  551.1  24.9  -
Bacteroidales             -          LKAP-GutHK_E12_088   -               80     950      60     937      36     937    1485    +    3.2e-166  550.1  24.1  -
Rhodospirillales          -          LKAP-GutHK_E12_088   -               42     870      70     937      50     937    1413    +    1.6e-165  548.3  24.5  -
Microscillaceae           -          LKAP-GutHK_E12_088   -               12     913       6     937       1     937    1461    +    1.6e-164  544.7  23.8  -
Dictyoglomaceae           -          LKAP-GutHK_E12_088   -               97     958      71     937      36     937    1541    +    5.2e-164  543.1  24.5  -
Prevotellaceae            -          LKAP-GutHK_E12_088   -               28     938      17     937       7     937    1464    +    5.2e-164  542.9  25.3  -
Blastocatellaceae         -          LKAP-GutHK_E12_088   -               47     936      17     937       1     937    1485    +    1.8e-163  541.2  24.9  -
Gemmataceae               -          LKAP-GutHK_E12_088   -               79     909      72     937      52     937    1427    +    2.6e-163  540.8  23.2  -
Bradymonadaceae           -          LKAP-GutHK_E12_088   -               62     927      65     937      42     937    1461    +    6.7e-163  539.1  25.1  -
Sandaracinaceae           -          LKAP-GutHK_E12_088   -               51     937      69     937      48     937    1506    +    9.7e-163  538.9  24.8  -
Lentisphaeraceae          -          LKAP-GutHK_E12_088   -               23     919       6     937       2     937    1465    +    1.3e-162  538.7  25.2  -
Sphaerobacteraceae        -          LKAP-GutHK_E12_088   -               74     929      65     937      42     937    1531    +    3.6e-162  537.0  26.0  -
Rhodothalassiaceae        -          LKAP-GutHK_E12_088   -               44     874      64     937      25     937    1318    +    3.6e-162  537.1  24.1  -
Coriobacteriaceae         -          LKAP-GutHK_E12_088   -               40     917      17     937       2     937    1462    +    7.1e-162  536.5  25.7  -
Marinifilaceae            -          LKAP-GutHK_E12_088   -               28     930      18     937       1     937    1450    +    7.3e-161  532.6  24.8  -
Thermomicrobiaceae        -          LKAP-GutHK_E12_088   -               24     889      65     937      46     937    1273    +    1.4e-159  529.0  26.0  -
Phaselicystidaceae        -          LKAP-GutHK_E12_088   -               78     964      68     937      47     937    1539    +    2.1e-159  527.9  25.0  -
Emcibacteraceae           -          LKAP-GutHK_E12_088   -               49     910      19     937       1     937    1460    +    2.5e-159  527.7  24.3  -
Temperatibacteraceae      -          LKAP-GutHK_E12_088   -               32     858      69     937      47     937    1362    +    1.5e-158  524.9  23.4  -
Roseiarcaceae             -          LKAP-GutHK_E12_088   -               71     896      70     937      50     937    1399    +      3e-158  524.0  24.0  -
Akkermansiaceae           -          LKAP-GutHK_E12_088   -               70     910      70     937      49     937    1441    +    3.3e-158  524.1  23.7  -
Acanthopleuribacteraceae  -          LKAP-GutHK_E12_088   -               30     925      64     937      43     937    1453    +    3.3e-158  523.8  25.2  -
Oligoflexaceae            -          LKAP-GutHK_E12_088   -               48     929      46     937       6     937    1458    +    8.6e-158  522.5  25.3  -
Labilitrichaceae          -          LKAP-GutHK_E12_088   -               62     949      69     937      48     937    1483    +    1.9e-157  521.2  25.0  -
Odoribacteraceae          -          LKAP-GutHK_E12_088   -               47     949      17     937       2     937    1486    +    2.9e-157  520.6  25.4  -
Syntrophorhabdaceae       -          LKAP-GutHK_E12_088   -               29     950      19     937       2     937    1482    +    2.3e-156  517.7  25.9  -
Anaeromyxobacteraceae     -          LKAP-GutHK_E12_088   -               81     969      68     937      46     937    1549    +    7.9e-156  516.0  24.9  -
Fervidobacteraceae        -          LKAP-GutHK_E12_088   -               28     900      17     936       2     937    1480    +    1.5e-155  515.2  26.2  -
Christensenellaceae       -          LKAP-GutHK_E12_088   -               40     941      25     937       3     937    1497    +    3.2e-155  513.9  25.3  -
Vulgatibacteraceae        -          LKAP-GutHK_E12_088   -               60     948      68     937      48     937    1479    +    3.4e-155  513.9  24.8  -
Hydrogenimonaceae         -          LKAP-GutHK_E12_088   -               28     929      17     937       2     937    1422    +    4.4e-155  513.5  25.8  -
Isosphaeraceae            -          LKAP-GutHK_E12_088   -               68     925      70     937      50     937    1475    +    3.6e-153  507.2  24.5  -
Gaiellaceae               -          LKAP-GutHK_E12_088   -               53     960      22     937       2     937    1544    +    7.1e-153  506.0  25.6  -
Acidothermaceae           -          LKAP-GutHK_E12_088   -               44     929      17     937       2     937    1509    +    7.1e-153  506.3  26.0  -
Egicoccaceae              -          LKAP-GutHK_E12_088   -               83     935      68     937      29     937    1512    +    3.2e-152  504.0  24.8  -
Nitriliruptoraceae        -          LKAP-GutHK_E12_088   -               60     924      47     937      26     937    1425    +    8.8e-152  502.5  24.9  -
Gracilibacteraceae        -          LKAP-GutHK_E12_088   -              202    1047      72     937      51     937    1549    +    1.1e-151  502.1  24.9  -
Egibacteraceae            -          LKAP-GutHK_E12_088   -               61     937      37     937      16     937    1516    +    7.2e-151  499.7  25.4  -
Halanaerobiales           -          LKAP-GutHK_E12_088   -               37     967      22     937       2     937    1500    +    1.5e-150  498.4  25.5  -
Micropepsaceae            -          LKAP-GutHK_E12_088   -               72     899      71     937      51     937    1455    +    1.4e-149  495.2  23.9  -
Thermogemmatisporaceae    -          LKAP-GutHK_E12_088   -               61     920      71     937      51     937    1443    +    2.5e-149  494.5  25.6  -
Chloroflexaceae           -          LKAP-GutHK_E12_088   -               80     911      71     937      50     937    1473    +    1.3e-148  492.5  24.6  -
Longimicrobiaceae         -          LKAP-GutHK_E12_088   -                9     894      64     937      54     937    1413    +    1.6e-148  491.9  25.2  -
Haloplasmataceae          -          LKAP-GutHK_E12_088   -               55     923      70     937      49     937    1345    +    2.1e-148  491.5  24.9  -
Euzebyaceae               -          LKAP-GutHK_E12_088   -               64     916      68     937      46     937    1476    +      5e-148  490.2  25.0  -
Brachyspiraceae           -          LKAP-GutHK_E12_088   -               25     899      22     937       6     937    1441    +    1.7e-147  488.3  25.3  -
Acidimicrobiales          -          LKAP-GutHK_E12_088   -               48     923      47     937       7     937    1483    +    2.1e-146  485.0  25.9  -
Victivallaceae            -          LKAP-GutHK_E12_088   -               29     915       7     937       1     937    1456    +      3e-146  484.2  25.1  -
Gloeomargaritaceae        -          LKAP-GutHK_E12_088   -               73     903      69     937      48     937    1482    +    5.3e-145  480.2  23.3  -
Xenococcaceae             -          LKAP-GutHK_E12_088   -               57     887      71     937      51     937    1418    +    1.1e-144  479.3  23.6  -
Caldisericaceae           -          LKAP-GutHK_E12_088   -               27     949      17     937       2     937    1481    +    2.1e-144  478.0  26.0  -
Ignavibacteriaceae        -          LKAP-GutHK_E12_088   -               62     930      66     937      45     937    1461    +    3.6e-144  477.4  24.5  -
Aquificales               -          LKAP-GutHK_E12_088   -               24     949      23     936       3     937    1450    +    9.2e-144  476.2  25.8  -
Melioribacteraceae        -          LKAP-GutHK_E12_088   -               91     955      71     937      47     937    1539    +    1.7e-142  471.7  24.4  -
Mooreiaceae               -          LKAP-GutHK_E12_088   -               13     914      15     937       4     937    1424    +    6.2e-142  470.1  25.9  -
Prochlorotrichaceae       -          LKAP-GutHK_E12_088   -               43     869      72     937      51     937    1448    +      4e-141  467.2  23.8  -
Catalimonadaceae          -          LKAP-GutHK_E12_088   -               13     913      15     937       5     937    1425    +    3.4e-140  464.2  25.5  -
Ardenticatenia            -          LKAP-GutHK_E12_088   -               31     937      25     937       4     937    1453    +    8.8e-140  463.0  26.0  -
Armatimonadaceae          -          LKAP-GutHK_E12_088   -               63     906      72     936      51     937    1438    +    2.1e-139  461.6  23.9  -
Mzabimycetaceae           -          LKAP-GutHK_E12_088   -               12     856      69     937      50     937    1357    +    3.4e-138  457.6  25.7  -
Herpetosiphonaceae        -          LKAP-GutHK_E12_088   -               75     912      71     937      50     937    1475    +    8.4e-138  456.2  23.7  -
Verrucomicrobiales        -          LKAP-GutHK_E12_088   -               17     924      49     937      35     937    1410    +      4e-137  454.4  25.3  -
Kiritimatiellaceae        -          LKAP-GutHK_E12_088   -               47     982      17     937       2     937    1556    +    8.9e-137  452.9  25.9  -
Trueperaceae              -          LKAP-GutHK_E12_088   -               60     893      72     937      50     937    1461    +    3.7e-136  450.8  23.7  -
Brevinemataceae           -          LKAP-GutHK_E12_088   -               82     943      61     937      40     937    1490    +    3.7e-136  450.9  24.6  -
Thermoflexaceae           -          LKAP-GutHK_E12_088   -                2     918       5     937       4     937    1466    +    2.9e-135  448.3  26.1  -
Blastocatellales          -          LKAP-GutHK_E12_088   -               44     913      18     937       1     937    1488    +    8.3e-135  446.3  24.9  -
Spirochaetales            -          LKAP-GutHK_E12_088   -               34     923      23     937       4     937    1456    +    1.4e-134  445.6  24.7  -
Chitinivibrionaceae       -          LKAP-GutHK_E12_088   -               45     948      31     937       8     937    1488    +    1.8e-134  445.2  24.8  -
Elusimicrobiaceae         -          LKAP-GutHK_E12_088   -               52     900      69     937      48     937    1395    +    2.6e-134  444.6  23.9  -
Thermonemataceae          -          LKAP-GutHK_E12_088   -               18     923      17     937       4     937    1465    +    4.2e-134  444.2  25.9  -
Ktedonobacteraceae        -          LKAP-GutHK_E12_088   -               54     886      71     937      51     937    1386    +      1e-132  439.6  24.8  -
Oligosphaeraceae          -          LKAP-GutHK_E12_088   -               12     905       6     937       1     937    1434    +    1.2e-132  439.2  25.2  -
Lentimicrobiaceae         -          LKAP-GutHK_E12_088   -               12     928       6     937       1     937    1446    +      6e-132  436.8  26.2  -
Spartobacteria            -          LKAP-GutHK_E12_088   -               25     919      17     937       2     937    1418    +    4.8e-131  434.0  25.9  -
Simkaniaceae              -          LKAP-GutHK_E12_088   -               84     967      72     937      51     937    1545    +    2.3e-130  431.7  24.2  -
Soortiaceae               -          LKAP-GutHK_E12_088   -               85     963      61     937      22     937    1516    +    4.3e-130  430.7  24.9  -
Filobacteriaceae          -          LKAP-GutHK_E12_088   -               79     948      60     937      38     937    1521    +      8e-130  429.8  24.6  -
Schleiferiaceae           -          LKAP-GutHK_E12_088   -               84     947      71     937      46     937    1499    +    8.3e-130  430.0  24.7  -
Fimbriimonadaceae         -          LKAP-GutHK_E12_088   -               63     907      72     937      51     937    1443    +    1.2e-129  429.3  24.1  -
Roseiflexaceae            -          LKAP-GutHK_E12_088   -               78     912      70     937      47     937    1469    +    1.8e-129  429.1  24.3  -
Ichthyobacteriaceae       -          LKAP-GutHK_E12_088   -               79     953      61     937      38     937    1521    +    3.8e-128  424.4  24.7  -
Chthonomonadaceae         -          LKAP-GutHK_E12_088   -               36     897      67     936      47     937    1411    +    2.5e-127  421.8  25.5  -
Waddliaceae               -          LKAP-GutHK_E12_088   -               91     978      72     937      51     937    1557    +    3.5e-124  411.3  24.5  -
Balneicellaceae           -          LKAP-GutHK_E12_088   -               69     940      61     937      39     937    1505    +    3.7e-122  404.5  24.3  -
Phycisphaeraceae          -          LKAP-GutHK_E12_088   -               49     904      47     937       6     937    1461    +    1.6e-120  399.4  24.3  -
Tepidisphaeraceae         -          LKAP-GutHK_E12_088   -               77     919      71     937      50     937    1491    +    4.1e-116  384.7  24.0  -
Chloroflexales            -          LKAP-GutHK_E12_088   -               55     897      72     937      51     937    1355    +    3.5e-114  378.7  25.5  -
Methanocaldococcaceae     -          LKAP-GutHK_E12_088   -               78     912      69     936      45     937    1429    +     7.4e-94  311.1  23.3  -
Methanobacteriaceae       -          LKAP-GutHK_E12_088   -               53     884      73     936      52     937    1403    +     1.5e-91  302.9  22.8  -
Methanococcaceae          -          LKAP-GutHK_E12_088   -               69     895      74     936      54     937    1410    +     3.2e-89  295.4  23.3  -
Methanoregulaceae         -          LKAP-GutHK_E12_088   -               55     878      74     935      54     937    1413    +     2.8e-84  278.8  23.5  -
Archaeoglobaceae          -          LKAP-GutHK_E12_088   -               71     903      72     936      51     937    1451    +     5.3e-84  278.1  23.6  -
Sulfolobaceae             -          LKAP-GutHK_E12_088   -               67     913      72     936      51     937    1464    +     8.9e-84  277.1  24.6  -
Methanothermaceae         -          LKAP-GutHK_E12_088   -               77     911      73     936      53     937    1482    +     2.4e-82  272.8  23.7  -
Methanomicrobiaceae       -          LKAP-GutHK_E12_088   -               59     883      74     936      54     937    1420    +     6.1e-81  267.9  23.9  -
Desulfurococcaceae        -          LKAP-GutHK_E12_088   -               70     923      67     936      47     937    1460    +     1.1e-80  267.3  24.7  -
Thermococcaceae           -          LKAP-GutHK_E12_088   -               54     900      60     936      37     937    1448    +     1.1e-79  263.9  24.2  -
Thermoproteaceae          -          LKAP-GutHK_E12_088   -               61     911      71     936      47     937    1471    +     1.2e-77  255.5  24.9  -
Pyrodictiaceae            -          LKAP-GutHK_E12_088   -               80     926      71     936      51     937    1497    +     3.1e-77  255.7  25.8  -
Halobacteriaceae          -          LKAP-GutHK_E12_088   -               76     908      73     936      53     937    1474    +     5.8e-75  247.8  24.9  -
Acidilobaceae             -          LKAP-GutHK_E12_088   -               77     926      71     936      51     937    1451    +     6.6e-75  247.9  24.0  -
Methanomicrobiales        -          LKAP-GutHK_E12_088   -               70     893      75     936      55     937    1425    +     6.9e-74  244.3  23.6  -
Thermofilaceae            -          LKAP-GutHK_E12_088   -               95     940      74     936      54     937    1513    +     2.8e-72  239.2  24.8  -
Natrialbaceae             -          LKAP-GutHK_E12_088   -               90     908      87     936      67     937    1474    +     1.8e-71  236.1  23.6  -
Haloarculaceae            -          LKAP-GutHK_E12_088   -               78     907      75     936      55     937    1473    +       1e-70  233.9  24.6  -
Methanospirillaceae       -          LKAP-GutHK_E12_088   -               27     849      74     934      54     937    1378    +     1.1e-70  233.6  23.6  -
Methanopyraceae           -          LKAP-GutHK_E12_088   -               75     941      63     936      41     937    1512    +     1.4e-69  230.8  24.6  -
Nostocaceae               -          LKAP-GutHK_E12_088   -                4     560     364     937     361     937    1476    +     2.9e-69  229.5  14.4  -
Haloferacaceae            -          LKAP-GutHK_E12_088   -               78     908      75     936      55     937    1474    +     5.2e-67  221.2  23.8  -
Methanocorpusculaceae     -          LKAP-GutHK_E12_088   -               72     894      75     935      55     937    1421    +     9.4e-66  217.3  23.1  -
Thermoplasmataceae        -          LKAP-GutHK_E12_088   -               75     906      72     936      52     937    1471    +     1.3e-65  217.2  22.6  -
Methanotrichaceae         -          LKAP-GutHK_E12_088   -               75     904      75     936      55     937    1423    +     2.2e-64  212.7  22.8  -
Ferroplasmaceae           -          LKAP-GutHK_E12_088   -               77     902      75     936      54     937    1442    +     1.6e-63  210.2  21.5  -
Caldisphaeraceae          -          LKAP-GutHK_E12_088   -               64     912      73     936      53     937    1466    +     4.3e-63  209.3  23.8  -
Methanosarcinaceae        -          LKAP-GutHK_E12_088   -               74     903      75     936      55     937    1425    +     1.3e-62  206.8  22.8  -
