# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP.g-Gut1_B12_094.seq -               27     915      10     897       3     897    1474    +           0 1090.6  24.0  -
Acidaminococcaceae        -          LKAP.g-Gut1_B12_094.seq -               38     923      14     896       6     897    1504    +    1.1e-179  594.5  22.7  -
Corynebacteriaceae        -          LKAP.g-Gut1_B12_094.seq -               27     887      11     896       5     897    1459    +    3.1e-179  593.3  23.6  -
Listeriaceae              -          LKAP.g-Gut1_B12_094.seq -               58     900      64     896      44     897    1448    +    5.1e-179  592.9  22.8  -
Thermodesulfobiaceae      -          LKAP.g-Gut1_B12_094.seq -               43     905      10     897       6     897    1520    +    5.9e-179  592.5  24.3  -
Immundisolibacteraceae    -          LKAP.g-Gut1_B12_094.seq -               94     933      56     896      33     897    1555    +    9.6e-179  591.6  23.1  -
Cytophagaceae             -          LKAP.g-Gut1_B12_094.seq -               59     888      62     896      42     897    1437    +    9.7e-179  591.8  22.8  -
Caldilineaceae            -          LKAP.g-Gut1_B12_094.seq -               35     885      11     896       6     897    1434    +    1.2e-178  591.5  24.5  -
Kineosporiaceae           -          LKAP.g-Gut1_B12_094.seq -               36     887      11     896       5     897    1463    +    1.6e-178  591.2  23.7  -
Ventosimonadaceae         -          LKAP.g-Gut1_B12_094.seq -               86     931      54     896      32     897    1489    +      2e-178  590.5  23.2  -
Thermaceae                -          LKAP.g-Gut1_B12_094.seq -               37     885      10     896       5     897    1477    +      3e-178  590.4  23.9  -
Corynebacterineae         -          LKAP.g-Gut1_B12_094.seq -               27     879      10     896       5     897    1473    +    3.4e-178  590.1  23.8  -
Balneolaceae              -          LKAP.g-Gut1_B12_094.seq -               69     898      64     896      43     897    1459    +    4.2e-178  589.7  23.4  -
Geodermatophilaceae       -          LKAP.g-Gut1_B12_094.seq -               72     896      57     896      36     897    1479    +    4.3e-178  589.7  23.9  -
Tsukamurellaceae          -          LKAP.g-Gut1_B12_094.seq -               83     899      63     896      42     897    1495    +    4.4e-178  589.7  23.4  -
Peptoniphilaceae          -          LKAP.g-Gut1_B12_094.seq -                3     862      10     893       8     897    1437    +    1.2e-177  588.5  23.6  -
Anaerolineaceae           -          LKAP.g-Gut1_B12_094.seq -               34     880      16     896       7     897    1430    +    1.2e-177  588.7  24.1  -
Puniceicoccaceae          -          LKAP.g-Gut1_B12_094.seq -               38     917      11     895       6     897    1485    +    3.3e-177  586.7  23.0  -
Thermomonosporaceae       -          LKAP.g-Gut1_B12_094.seq -               27     880      10     896       4     897    1464    +    4.9e-177  586.2  24.1  -
Algiphilaceae             -          LKAP.g-Gut1_B12_094.seq -               49     917      12     896       4     897    1501    +    7.6e-177  585.2  23.6  -
Jiangellaceae             -          LKAP.g-Gut1_B12_094.seq -               33     886      10     896       4     897    1497    +    1.1e-176  584.9  23.8  -
Desulfurellaceae          -          LKAP.g-Gut1_B12_094.seq -               67     923      59     896      38     897    1529    +    1.7e-176  584.2  23.3  -
Cellulomonadaceae         -          LKAP.g-Gut1_B12_094.seq -               74     889      65     896      44     897    1465    +    2.2e-176  584.1  23.3  -
Demequinaceae             -          LKAP.g-Gut1_B12_094.seq -               70     884      65     896      43     897    1478    +    2.3e-176  583.9  23.2  -
Frankiaceae               -          LKAP.g-Gut1_B12_094.seq -               72     893      58     896      27     897    1499    +    2.4e-176  584.0  23.7  -
Symbiobacteriaceae        -          LKAP.g-Gut1_B12_094.seq -               18     910       8     896       2     897    1468    +      5e-176  583.1  23.5  -
Chrysiogenaceae           -          LKAP.g-Gut1_B12_094.seq -               77     902      67     896      44     897    1513    +    6.2e-176  582.6  22.7  -
Dermacoccaceae            -          LKAP.g-Gut1_B12_094.seq -               67     882      65     896      44     897    1456    +    2.1e-175  580.7  23.4  -
Hymenobacteraceae         -          LKAP.g-Gut1_B12_094.seq -               54     885      59     896      14     897    1445    +    2.1e-175  580.9  22.8  -
Segniliparaceae           -          LKAP.g-Gut1_B12_094.seq -               51     881      38     896      14     897    1462    +    8.6e-175  578.9  23.8  -
Caldicoprobacteraceae     -          LKAP.g-Gut1_B12_094.seq -               91     913      62     896      30     897    1530    +    1.8e-174  577.6  23.4  -
Planctomycetaceae         -          LKAP.g-Gut1_B12_094.seq -               38     896      11     894       8     897    1486    +    2.2e-174  577.6  23.5  -
Thermodesulfobacteriaceae -          LKAP.g-Gut1_B12_094.seq -               64     913      64     896      39     897    1497    +    5.4e-174  576.3  23.0  -
Cryptosporangiaceae       -          LKAP.g-Gut1_B12_094.seq -               27     877      10     896       5     897    1470    +    9.1e-174  575.3  24.0  -
Acidobacteriaceae         -          LKAP.g-Gut1_B12_094.seq -               81     882      59     896      37     897    1462    +    1.7e-173  574.4  22.5  -
Stigonematales            -          LKAP.g-Gut1_B12_094.seq -               76     873      63     896      42     897    1450    +    1.9e-173  574.4  22.0  -
Bernardetiaceae           -          LKAP.g-Gut1_B12_094.seq -               27     896      10     896       5     897    1481    +      2e-173  574.2  22.6  -
Promicromonosporaceae     -          LKAP.g-Gut1_B12_094.seq -               68     881      65     896      44     897    1462    +    3.1e-173  573.6  23.5  -
Streptosporangiaceae      -          LKAP.g-Gut1_B12_094.seq -               27     876      10     896       4     897    1464    +    3.8e-173  573.2  23.8  -
Dietziaceae               -          LKAP.g-Gut1_B12_094.seq -               24     869      15     896       5     897    1452    +    1.3e-172  571.5  24.2  -
Bogoriellaceae            -          LKAP.g-Gut1_B12_094.seq -               70     889      65     896      45     897    1470    +    4.4e-172  569.7  23.0  -
Spiroplasmataceae         -          LKAP.g-Gut1_B12_094.seq -               74     908      60     893      39     897    1516    +    5.1e-172  569.9  22.8  -
Porphyromonadaceae        -          LKAP.g-Gut1_B12_094.seq -               36     908      11     896       5     897    1473    +    6.2e-172  569.3  23.5  -
Iamiaceae                 -          LKAP.g-Gut1_B12_094.seq -               33     888      20     896       6     897    1480    +    9.2e-172  568.9  23.2  -
Dermatophilaceae          -          LKAP.g-Gut1_B12_094.seq -               72     887      64     896      19     897    1480    +    1.4e-171  568.1  23.6  -
Rubricoccaceae            -          LKAP.g-Gut1_B12_094.seq -               38     903      20     896       5     897    1452    +      2e-171  567.6  23.0  -
Glycomycetaceae           -          LKAP.g-Gut1_B12_094.seq -               34     899      10     896       3     897    1495    +      2e-171  567.7  23.8  -
Sanguibacteraceae         -          LKAP.g-Gut1_B12_094.seq -               87     901      65     896      44     897    1483    +    2.7e-171  567.1  23.2  -
Catenulisporaceae         -          LKAP.g-Gut1_B12_094.seq -               60     879      59     896      16     897    1460    +    1.3e-170  564.9  23.4  -
Defluviitaleaceae         -          LKAP.g-Gut1_B12_094.seq -               11     870       4     893       1     897    1413    +    1.3e-170  565.0  22.9  -
Nostocales                -          LKAP.g-Gut1_B12_094.seq -               54     849      63     896      43     897    1457    +    1.3e-170  564.9  22.0  -
Leptotrichiaceae          -          LKAP.g-Gut1_B12_094.seq -               93     898      68     894      47     897    1492    +    1.5e-170  564.5  22.6  -
Actinomycetales           -          LKAP.g-Gut1_B12_094.seq -               48     917      11     896       5     897    1535    +      5e-170  562.9  24.3  -
Sterolibacteriaceae       -          LKAP.g-Gut1_B12_094.seq -               70     920      46     894      24     897    1531    +      6e-170  562.7  23.5  -
Opitutaceae               -          LKAP.g-Gut1_B12_094.seq -               74     922      63     896      40     897    1482    +    7.4e-170  562.4  22.7  -
Desulfurobacteriaceae     -          LKAP.g-Gut1_B12_094.seq -               54     927      38     896      17     897    1497    +    9.1e-170  562.5  23.7  -
Dermabacteraceae          -          LKAP.g-Gut1_B12_094.seq -               79     893      65     896      44     897    1470    +    1.5e-169  561.1  23.5  -
Gallionellaceae           -          LKAP.g-Gut1_B12_094.seq -               83     913      65     893      44     897    1385    +    5.3e-169  559.6  22.6  -
Gemmatimonadaceae         -          LKAP.g-Gut1_B12_094.seq -               80     905      66     896      46     897    1525    +    8.1e-169  559.0  22.8  -
Persicobacteraceae        -          LKAP.g-Gut1_B12_094.seq -               63     894      58     896      36     897    1448    +    1.1e-168  558.6  23.0  -
Rubritaleaceae            -          LKAP.g-Gut1_B12_094.seq -               79     902      65     893      44     897    1459    +    1.8e-168  557.7  22.2  -
Bryobacteraceae           -          LKAP.g-Gut1_B12_094.seq -               67     880      46     896      25     897    1417    +    2.8e-168  557.3  23.5  -
Sporichthyaceae           -          LKAP.g-Gut1_B12_094.seq -               28     879      11     896       5     897    1472    +    3.3e-168  557.1  23.9  -
Dehalococcoidaceae        -          LKAP.g-Gut1_B12_094.seq -               60     870      65     896      45     897    1437    +    4.7e-168  556.8  23.0  -
Pyrinomonadaceae          -          LKAP.g-Gut1_B12_094.seq -               57     938      24     893       5     897    1526    +    5.8e-168  555.9  23.5  -
Frankiales                -          LKAP.g-Gut1_B12_094.seq -               34     887      10     896       5     897    1425    +    7.4e-168  555.9  24.2  -
Atopobacteriaceae         -          LKAP.g-Gut1_B12_094.seq -               37     885      20     896       6     897    1442    +    9.5e-168  555.6  23.4  -
Prolixibacteraceae        -          LKAP.g-Gut1_B12_094.seq -               27     893      10     896       3     897    1444    +    9.8e-168  555.3  23.4  -
Rikenellaceae             -          LKAP.g-Gut1_B12_094.seq -               35     908      10     896       2     897    1456    +    1.3e-167  554.9  23.1  -
Chlamydiaceae             -          LKAP.g-Gut1_B12_094.seq -               52     936      12     896       7     897    1548    +    1.8e-167  554.3  23.5  -
Bifidobacteriaceae        -          LKAP.g-Gut1_B12_094.seq -               84     901      64     896      43     897    1469    +    2.8e-167  553.9  23.6  -
Beutenbergiaceae          -          LKAP.g-Gut1_B12_094.seq -               66     884      63     896      42     897    1472    +      3e-167  553.7  23.0  -
Anaeroplasmataceae        -          LKAP.g-Gut1_B12_094.seq -               84     898      65     894      45     897    1453    +    4.4e-167  553.3  22.8  -
Micrococcales             -          LKAP.g-Gut1_B12_094.seq -               68     882      65     896      45     897    1475    +    5.8e-167  552.9  23.1  -
Jonesiaceae               -          LKAP.g-Gut1_B12_094.seq -               91     921      65     896      45     897    1514    +    8.7e-167  552.3  22.6  -
Ruaniaceae                -          LKAP.g-Gut1_B12_094.seq -               93     916      64     896      42     897    1531    +    9.2e-167  551.9  22.7  -
Streptosporangineae       -          LKAP.g-Gut1_B12_094.seq -                3     852       8     896       6     897    1443    +    1.4e-166  551.4  24.1  -
Actinopolysporaceae       -          LKAP.g-Gut1_B12_094.seq -               66     899      59     896      21     897    1480    +    2.2e-166  550.8  23.9  -
Betaproteobacteria        -          LKAP.g-Gut1_B12_094.seq -               47     878      65     896      45     897    1454    +    2.8e-166  550.5  22.9  -
Nocardiopsaceae           -          LKAP.g-Gut1_B12_094.seq -               27     893      10     896       5     897    1475    +      3e-166  550.5  23.6  -
Chlorobiaceae             -          LKAP.g-Gut1_B12_094.seq -               87     905      68     896      47     897    1455    +    5.3e-166  549.7  22.7  -
Lysobacteriales           -          LKAP.g-Gut1_B12_094.seq -               58     926      13     894       4     897    1508    +    6.6e-166  549.4  23.6  -
Phormidiaceae             -          LKAP.g-Gut1_B12_094.seq -               78     872      65     896      45     897    1483    +    7.1e-166  549.5  22.8  -
Lewinellaceae             -          LKAP.g-Gut1_B12_094.seq -               27     892      10     896       2     897    1446    +    3.1e-165  547.1  23.6  -
Mesoaciditogaceae         -          LKAP.g-Gut1_B12_094.seq -               35     918      10     896       6     897    1522    +    9.1e-165  545.5  23.9  -
Eggerthellaceae           -          LKAP.g-Gut1_B12_094.seq -               40     881      20     896       6     897    1449    +    9.6e-165  545.6  23.2  -
Petrotogaceae             -          LKAP.g-Gut1_B12_094.seq -               43     899      11     896       6     897    1488    +    1.6e-164  545.0  23.1  -
Prochlorococcaceae        -          LKAP.g-Gut1_B12_094.seq -               47     854      36     896      16     897    1465    +    1.9e-164  544.5  21.8  -
Cyclobacteriaceae         -          LKAP.g-Gut1_B12_094.seq -               27     895      10     896       2     897    1447    +    1.1e-163  542.0  23.4  -
Chitinophagaceae          -          LKAP.g-Gut1_B12_094.seq -               62     898      54     896      28     897    1458    +    1.7e-163  541.6  22.8  -
Mariprofundaceae          -          LKAP.g-Gut1_B12_094.seq -               88     919      65     896      44     897    1528    +    1.8e-163  541.0  23.1  -
Deinococcaceae            -          LKAP.g-Gut1_B12_094.seq -               52     878      57     896      37     897    1455    +    1.8e-163  541.1  23.5  -
Parachlamydiaceae         -          LKAP.g-Gut1_B12_094.seq -               68     917      60     893      40     897    1529    +      2e-163  541.1  23.1  -
Oscillospiraceae          -          LKAP.g-Gut1_B12_094.seq -               23     895       8     896       2     897    1453    +    2.6e-163  540.3  23.2  -
Haliscomenobacteraceae    -          LKAP.g-Gut1_B12_094.seq -               47     915      10     896       5     897    1485    +    2.7e-163  541.1  23.8  -
Marinilabiliaceae         -          LKAP.g-Gut1_B12_094.seq -               27     896      10     896       3     897    1447    +    3.2e-163  540.1  23.4  -
Crocinitomicaceae         -          LKAP.g-Gut1_B12_094.seq -               67     901      56     896      33     897    1466    +    4.3e-163  539.8  22.7  -
Rarobacteraceae           -          LKAP.g-Gut1_B12_094.seq -               57     870      65     896      45     897    1464    +    1.5e-162  538.0  23.5  -
Actinospicaceae           -          LKAP.g-Gut1_B12_094.seq -               39     857      61     896      38     897    1425    +    1.6e-162  538.0  23.4  -
Acholeplasmataceae        -          LKAP.g-Gut1_B12_094.seq -               46     879      59     892      38     897    1437    +    6.4e-162  535.9  22.6  -
Cytophagales              -          LKAP.g-Gut1_B12_094.seq -               27     893      10     896       3     897    1444    +      8e-162  535.8  22.7  -
Kofleriaceae              -          LKAP.g-Gut1_B12_094.seq -               79     934      59     896      35     897    1498    +    2.8e-161  534.0  23.2  -
Pseudobacteriovoracaceae  -          LKAP.g-Gut1_B12_094.seq -               22     872      40     896      20     897    1466    +    4.9e-161  533.1  23.4  -
Cryomorphaceae            -          LKAP.g-Gut1_B12_094.seq -               33     903      10     896       2     897    1454    +    7.1e-161  532.7  22.9  -
Thermotogaceae            -          LKAP.g-Gut1_B12_094.seq -               45     921      10     894       5     897    1545    +    5.1e-160  529.8  23.7  -
Kosmotogaceae             -          LKAP.g-Gut1_B12_094.seq -               37     901      12     896       5     897    1488    +    8.1e-160  529.4  23.5  -
Aquificaceae              -          LKAP.g-Gut1_B12_094.seq -               33     912      15     896       5     897    1485    +      1e-159  529.0  23.4  -
Entomoplasmataceae        -          LKAP.g-Gut1_B12_094.seq -               64     896      64     893      44     897    1497    +    2.3e-159  527.8  22.5  -
Sphingobacteriaceae       -          LKAP.g-Gut1_B12_094.seq -               68     894      64     896      43     897    1450    +    3.8e-159  526.8  22.5  -
Iodidimonadaceae          -          LKAP.g-Gut1_B12_094.seq -               59     868      61     896      20     897    1437    +    4.6e-159  526.6  22.5  -
Hydrogenothermaceae       -          LKAP.g-Gut1_B12_094.seq -               28     871      11     893       6     897    1447    +    4.4e-158  523.6  22.9  -
Saprospiraceae            -          LKAP.g-Gut1_B12_094.seq -               38     905      10     896       2     897    1430    +    1.2e-157  522.4  23.1  -
Fibrobacteraceae          -          LKAP.g-Gut1_B12_094.seq -               26     877      10     896       7     897    1412    +    3.8e-157  520.6  23.7  -
Magnetococcaceae          -          LKAP.g-Gut1_B12_094.seq -               54     883      16     896       2     897    1497    +    9.2e-157  519.1  23.4  -
Bacteroidales             -          LKAP.g-Gut1_B12_094.seq -               77     916      50     895      21     897    1485    +    3.3e-156  516.9  22.9  -
Rhodospirillales          -          LKAP.g-Gut1_B12_094.seq -               42     837      63     896      43     897    1413    +    8.6e-156  516.1  23.1  -
Thermosporotrichaceae     -          LKAP.g-Gut1_B12_094.seq -                7     803      64     893      57     897    1317    +    1.1e-155  515.6  23.2  -
Fervidobacteriaceae       -          LKAP.g-Gut1_B12_094.seq -               35     926      10     892       5     897    1514    +    7.3e-155  512.7  23.9  -
Bradymonadaceae           -          LKAP.g-Gut1_B12_094.seq -               62     894      58     896      36     897    1461    +    7.6e-154  509.1  23.4  -
Dictyoglomaceae           -          LKAP.g-Gut1_B12_094.seq -               97     925      64     896      42     897    1541    +    1.4e-153  508.5  23.1  -
Prevotellaceae            -          LKAP.g-Gut1_B12_094.seq -               28     905      10     896       2     897    1464    +    8.7e-153  505.6  23.2  -
Microscillaceae           -          LKAP.g-Gut1_B12_094.seq -               38     880      49     896      29     897    1461    +    9.6e-153  505.6  22.0  -
Sphaerobacteraceae        -          LKAP.g-Gut1_B12_094.seq -               73     896      57     896      35     897    1531    +    1.8e-152  504.8  24.6  -
Rhodothalassiaceae        -          LKAP.g-Gut1_B12_094.seq -               44     841      57     896      37     897    1318    +      2e-152  504.8  22.8  -
Gemmataceae               -          LKAP.g-Gut1_B12_094.seq -               79     874      65     894      44     897    1427    +    2.2e-152  504.5  22.1  -
Sandaracinaceae           -          LKAP.g-Gut1_B12_094.seq -               50     904      61     896      41     897    1506    +    2.6e-152  504.4  23.1  -
Coriobacteriaceae         -          LKAP.g-Gut1_B12_094.seq -               40     884      10     896       5     897    1462    +    2.5e-151  501.5  23.8  -
Lentisphaeraceae          -          LKAP.g-Gut1_B12_094.seq -               38     886      14     896       7     897    1465    +      1e-150  499.2  23.5  -
Marinifilaceae            -          LKAP.g-Gut1_B12_094.seq -               64     897      57     896      35     897    1450    +    1.3e-150  498.6  22.8  -
Blastocatellaceae         -          LKAP.g-Gut1_B12_094.seq -               52     900      19     893       6     897    1485    +    1.3e-150  498.5  22.6  -
Thermomicrobiaceae        -          LKAP.g-Gut1_B12_094.seq -               24     856      58     896      40     897    1273    +    9.9e-150  496.3  24.6  -
Acanthopleuribacteraceae  -          LKAP.g-Gut1_B12_094.seq -               30     892      57     896      36     897    1453    +    1.4e-149  495.2  23.2  -
Phaselicystidaceae        -          LKAP.g-Gut1_B12_094.seq -               78     931      61     896      40     897    1539    +    1.7e-149  495.0  23.3  -
Roseiarcaceae             -          LKAP.g-Gut1_B12_094.seq -               71     863      63     896      43     897    1399    +    1.3e-148  492.0  22.6  -
Emcibacteraceae           -          LKAP.g-Gut1_B12_094.seq -               79     877      58     896      18     897    1460    +    1.4e-148  492.1  22.4  -
Temperatibacteraceae      -          LKAP.g-Gut1_B12_094.seq -               31     825      61     896      40     897    1362    +    1.5e-148  491.8  22.1  -
Odoribacteraceae          -          LKAP.g-Gut1_B12_094.seq -               47     916      10     896       3     897    1486    +    8.6e-148  489.2  23.5  -
Labilitrichaceae          -          LKAP.g-Gut1_B12_094.seq -               61     916      61     896      41     897    1483    +    1.5e-147  488.4  23.3  -
Oligoflexaceae            -          LKAP.g-Gut1_B12_094.seq -               59     896      59     896      20     897    1458    +    6.9e-147  486.3  23.2  -
Christensenellaceae       -          LKAP.g-Gut1_B12_094.seq -               42     908      20     896       5     897    1497    +    1.3e-146  485.3  23.7  -
Akkermansiaceae           -          LKAP.g-Gut1_B12_094.seq -               69     874      62     893      42     897    1441    +    1.4e-146  485.5  22.2  -
Anaeromyxobacteraceae     -          LKAP.g-Gut1_B12_094.seq -               81     936      61     896      40     897    1549    +    4.2e-146  483.8  23.2  -
Syntrophorhabdaceae       -          LKAP.g-Gut1_B12_094.seq -               34     917      16     896       5     897    1482    +    4.6e-146  483.6  23.6  -
Vulgatibacteraceae        -          LKAP.g-Gut1_B12_094.seq -               60     915      61     896      41     897    1479    +    5.7e-146  483.3  23.2  -
Hydrogenimonaceae         -          LKAP.g-Gut1_B12_094.seq -               29     894      11     894       4     897    1422    +    1.7e-145  481.8  23.6  -
Gaiellaceae               -          LKAP.g-Gut1_B12_094.seq -               87     927      64     896      39     897    1544    +    3.9e-145  480.4  23.3  -
Fervidobacteraceae        -          LKAP.g-Gut1_B12_094.seq -               28     869      10     897       4     897    1480    +    1.2e-144  479.0  24.0  -
Acidothermaceae           -          LKAP.g-Gut1_B12_094.seq -               45     896      11     896       4     897    1509    +    2.4e-144  478.0  24.2  -
Isosphaeraceae            -          LKAP.g-Gut1_B12_094.seq -               68     890      63     894      43     897    1475    +    2.6e-143  474.5  23.1  -
Egicoccaceae              -          LKAP.g-Gut1_B12_094.seq -               86     902      64     896      42     897    1512    +    6.2e-143  473.2  23.4  -
Nitriliruptoraceae        -          LKAP.g-Gut1_B12_094.seq -               75     891      64     896      39     897    1425    +    6.3e-143  473.1  23.3  -
Gracilibacteraceae        -          LKAP.g-Gut1_B12_094.seq -              202    1014      65     896      44     897    1549    +    1.3e-142  472.0  23.5  -
Egibacteraceae            -          LKAP.g-Gut1_B12_094.seq -               62     904      31     896      10     897    1516    +    6.4e-142  470.0  23.8  -
Halanaerobiales           -          LKAP.g-Gut1_B12_094.seq -               38     934      16     896       5     897    1500    +    8.6e-141  466.1  23.3  -
Haloplasmataceae          -          LKAP.g-Gut1_B12_094.seq -               55     888      63     894      42     897    1345    +    2.4e-140  464.8  22.9  -
Micropepsaceae            -          LKAP.g-Gut1_B12_094.seq -               72     866      64     896      44     897    1455    +    6.3e-140  463.3  22.7  -
Euzebyaceae               -          LKAP.g-Gut1_B12_094.seq -               64     883      61     896      39     897    1476    +      1e-139  462.6  23.7  -
Thermogemmatisporaceae    -          LKAP.g-Gut1_B12_094.seq -               61     884      64     893      44     897    1443    +    1.5e-139  462.0  24.0  -
Longimicrobiaceae         -          LKAP.g-Gut1_B12_094.seq -                9     861      57     896      46     897    1413    +    2.5e-138  458.1  23.6  -
Acidimicrobiales          -          LKAP.g-Gut1_B12_094.seq -               72     890      60     896      17     897    1483    +    7.5e-138  456.6  23.5  -
Gloeomargaritaceae        -          LKAP.g-Gut1_B12_094.seq -               73     870      62     896      40     897    1482    +      3e-137  454.5  22.1  -
Caldisericaceae           -          LKAP.g-Gut1_B12_094.seq -               29     914      12     894       4     897    1481    +    5.9e-137  453.3  23.6  -
Brachyspiraceae           -          LKAP.g-Gut1_B12_094.seq -               20     862      11     892       4     897    1441    +    6.2e-137  453.3  23.6  -
Chloroflexaceae           -          LKAP.g-Gut1_B12_094.seq -               80     878      64     896      44     897    1473    +    7.6e-137  453.3  23.0  -
Xenococcaceae             -          LKAP.g-Gut1_B12_094.seq -               57     854      64     896      44     897    1418    +    1.2e-135  449.3  22.5  -
Victivallaceae            -          LKAP.g-Gut1_B12_094.seq -               69     882      61     896      37     897    1456    +    1.4e-135  448.9  22.9  -
Aquificales               -          LKAP.g-Gut1_B12_094.seq -               43     915      37     894      15     897    1450    +    6.6e-135  446.8  23.5  -
Ignavibacteriaceae        -          LKAP.g-Gut1_B12_094.seq -               61     897      58     896      37     897    1461    +    7.4e-135  446.5  23.1  -
Melioribacteraceae        -          LKAP.g-Gut1_B12_094.seq -               91     922      64     896      41     897    1539    +    1.9e-133  441.7  22.7  -
Prochlorotrichaceae       -          LKAP.g-Gut1_B12_094.seq -               42     836      64     896      43     897    1448    +    7.9e-133  439.7  22.4  -
Mooreiaceae               -          LKAP.g-Gut1_B12_094.seq -               14     881       9     896       3     897    1424    +    1.4e-132  439.0  23.6  -
Ardenticatenia            -          LKAP.g-Gut1_B12_094.seq -               33     902      20     894       5     897    1453    +      1e-131  436.3  23.8  -
Catalimonadaceae          -          LKAP.g-Gut1_B12_094.seq -               14     880       9     896       5     897    1425    +      3e-130  431.2  23.4  -
Armatimonadaceae          -          LKAP.g-Gut1_B12_094.seq -               63     874      65     896      44     897    1438    +    3.5e-130  431.0  22.6  -
Mzabimycetaceae           -          LKAP.g-Gut1_B12_094.seq -               12     823      62     896      44     897    1357    +    3.1e-129  427.9  23.9  -
Verrucomicrobiales        -          LKAP.g-Gut1_B12_094.seq -               15     889      40     894      27     897    1410    +      8e-129  426.9  23.6  -
Herpetosiphonaceae        -          LKAP.g-Gut1_B12_094.seq -               75     879      64     896      43     897    1475    +    7.6e-128  423.1  22.6  -
Brevinemataceae           -          LKAP.g-Gut1_B12_094.seq -               82     910      54     896      34     897    1490    +    1.2e-127  422.6  22.7  -
Trueperaceae              -          LKAP.g-Gut1_B12_094.seq -               60     857      65     893      43     897    1461    +    5.1e-127  420.5  21.8  -
Thermoflexaceae           -          LKAP.g-Gut1_B12_094.seq -               12     885       8     896       3     897    1466    +    5.6e-127  420.8  23.9  -
Elusimicrobiaceae         -          LKAP.g-Gut1_B12_094.seq -               52     865      62     894      40     897    1395    +    8.9e-127  419.6  22.3  -
Kiritimatiellaceae        -          LKAP.g-Gut1_B12_094.seq -               49     949      12     896       4     897    1556    +      2e-126  418.6  23.6  -
Thermonemataceae          -          LKAP.g-Gut1_B12_094.seq -               20     890      12     896       3     897    1465    +    5.6e-126  417.2  23.4  -
Spirochaetales            -          LKAP.g-Gut1_B12_094.seq -               34     888      16     894       3     897    1456    +    1.3e-125  415.8  23.0  -
Chitinivibrionaceae       -          LKAP.g-Gut1_B12_094.seq -               48     915      27     896       6     897    1488    +    2.6e-125  414.8  22.8  -
Ktedonobacteraceae        -          LKAP.g-Gut1_B12_094.seq -               54     850      64     893      44     897    1386    +    2.9e-124  411.6  23.2  -
Blastocatellales          -          LKAP.g-Gut1_B12_094.seq -               53     878      20     894       4     897    1488    +    2.9e-124  411.4  22.7  -
Oligosphaeraceae          -          LKAP.g-Gut1_B12_094.seq -               47     872      40     896      20     897    1434    +    8.3e-124  409.9  23.0  -
Spartobacteria            -          LKAP.g-Gut1_B12_094.seq -               27     886      12     896       4     897    1418    +    7.2e-123  406.8  24.2  -
Lentimicrobiaceae         -          LKAP.g-Gut1_B12_094.seq -               46     895      43     896      22     897    1446    +    1.1e-122  406.2  23.0  -
Simkaniaceae              -          LKAP.g-Gut1_B12_094.seq -               84     934      65     896      44     897    1545    +      3e-122  404.7  22.5  -
Soortiaceae               -          LKAP.g-Gut1_B12_094.seq -               68     930      34     896      14     897    1516    +    7.8e-122  403.3  23.1  -
Filobacteriaceae          -          LKAP.g-Gut1_B12_094.seq -               79     915      53     896      32     897    1521    +    1.2e-121  402.7  22.8  -
Roseiflexaceae            -          LKAP.g-Gut1_B12_094.seq -               78     879      63     896      40     897    1469    +    4.9e-121  401.1  22.8  -
Schleiferiaceae           -          LKAP.g-Gut1_B12_094.seq -               83     914      63     896      41     897    1499    +    9.9e-121  400.0  23.1  -
Fimbriimonadaceae         -          LKAP.g-Gut1_B12_094.seq -               63     871      65     893      44     897    1443    +    2.6e-120  398.3  22.6  -
Ichthyobacteriaceae       -          LKAP.g-Gut1_B12_094.seq -               79     920      54     896      31     897    1521    +    5.9e-120  397.2  22.7  -
Chthonomonadaceae         -          LKAP.g-Gut1_B12_094.seq -               36     865      60     896      40     897    1411    +    3.8e-119  394.6  23.9  -
Waddliaceae               -          LKAP.g-Gut1_B12_094.seq -               91     942      65     893      44     897    1557    +    8.4e-116  383.5  22.4  -
Balneicellaceae           -          LKAP.g-Gut1_B12_094.seq -               70     907      55     896      34     897    1505    +    2.2e-115  382.0  22.8  -
Phycisphaeraceae          -          LKAP.g-Gut1_B12_094.seq -               57     869      58     894      37     897    1461    +    3.8e-111  368.3  22.6  -
Chloroflexales            -          LKAP.g-Gut1_B12_094.seq -               55     864      65     896      44     897    1355    +    3.9e-107  355.3  24.1  -
Tepidisphaeraceae         -          LKAP.g-Gut1_B12_094.seq -               77     884      64     894      43     897    1491    +    6.3e-107  354.2  22.6  -
Methanocaldococcaceae     -          LKAP.g-Gut1_B12_094.seq -               80     877      64     894      40     897    1429    +     2.8e-87  289.3  21.3  -
Methanobacteriaceae       -          LKAP.g-Gut1_B12_094.seq -               51     849      64     894      41     897    1403    +     8.4e-85  280.5  21.2  -
Methanococcaceae          -          LKAP.g-Gut1_B12_094.seq -               69     860      67     894      47     897    1410    +     2.4e-82  272.6  21.6  -
Methanoregulaceae         -          LKAP.g-Gut1_B12_094.seq -               55     844      67     894      47     897    1413    +     5.6e-78  257.8  21.9  -
