# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_D11_089   -               15     878      11     877       3     882    1474    +    4.8e-306 1013.5  23.9  -
Thermodesulfobiaceae      -          LKAP-GutHK_D11_089   -               40     866      17     875       2     882    1520    +    1.3e-161  535.0  23.7  -
Ventosimonadaceae         -          LKAP-GutHK_D11_089   -               85     892      63     874      34     881    1489    +    1.3e-161  534.9  21.9  -
Cellulomonadaceae         -          LKAP-GutHK_D11_089   -               28     852      17     876       2     882    1465    +    1.4e-161  535.1  22.5  -
Natranaerobiaceae         -          LKAP-GutHK_D11_089   -                5     841      19     876      15     882    1429    +    1.7e-161  534.6  22.8  -
Peptoniphilaceae          -          LKAP-GutHK_D11_089   -                1     826      18     874      18     880    1437    +      2e-161  534.6  22.3  -
Dermacoccaceae            -          LKAP-GutHK_D11_089   -               21     845      17     876       2     882    1456    +    2.3e-161  534.1  22.6  -
Balneolaceae              -          LKAP-GutHK_D11_089   -               22     859      15     874       2     880    1459    +      4e-161  533.4  22.6  -
Listeriaceae              -          LKAP-GutHK_D11_089   -               58     861      74     874      53     879    1448    +    7.8e-161  532.6  21.3  -
Segniliparaceae           -          LKAP-GutHK_D11_089   -               28     844      17     876       2     882    1462    +    9.8e-161  532.2  23.4  -
Chrysiogenaceae           -          LKAP-GutHK_D11_089   -               42     866      16     877       2     882    1513    +    2.4e-160  530.9  22.4  -
Symbiobacteriaceae        -          LKAP-GutHK_D11_089   -               17     873      16     876       2     882    1468    +    4.6e-160  530.2  23.7  -
Planctomycetaceae         -          LKAP-GutHK_D11_089   -               36     862      19     877       2     882    1486    +    1.2e-159  528.8  22.9  -
Desulfurellaceae          -          LKAP-GutHK_D11_089   -               30     886      17     876       2     882    1529    +    1.8e-159  527.7  22.8  -
Cryptosporangiaceae       -          LKAP-GutHK_D11_089   -               24     840      17     876       2     882    1470    +    1.8e-159  527.9  23.2  -
Acidobacteriaceae         -          LKAP-GutHK_D11_089   -               44     845      17     876       2     882    1462    +    3.2e-159  527.1  22.3  -
Caldicoprobacteraceae     -          LKAP-GutHK_D11_089   -               40     876      17     876       2     882    1530    +    4.2e-159  526.6  23.4  -
Thermaceae                -          LKAP-GutHK_D11_089   -               35     848      18     876       4     882    1477    +    5.1e-159  526.6  23.5  -
Thermodesulfobacteriaceae -          LKAP-GutHK_D11_089   -               24     876      17     876       3     882    1497    +    5.8e-159  526.4  23.2  -
Streptosporangiaceae      -          LKAP-GutHK_D11_089   -               24     839      17     876       2     882    1464    +      8e-159  525.6  23.1  -
Puniceicoccaceae          -          LKAP-GutHK_D11_089   -               34     871      17     864       2     880    1485    +    8.7e-159  525.6  21.1  -
Hymenobacteraceae         -          LKAP-GutHK_D11_089   -               24     846      17     874       3     880    1445    +    1.7e-158  524.8  21.7  -
Promicromonosporaceae     -          LKAP-GutHK_D11_089   -               24     844      17     876       2     882    1462    +    2.2e-158  524.3  22.8  -
Dermatophilaceae          -          LKAP-GutHK_D11_089   -               29     850      17     876       2     882    1480    +    2.9e-158  523.9  22.7  -
Dietziaceae               -          LKAP-GutHK_D11_089   -               14     832      16     876       2     882    1452    +    3.7e-158  523.6  23.8  -
Anaerolineaceae           -          LKAP-GutHK_D11_089   -               24     841      17     874       3     882    1430    +    4.4e-158  523.9  23.1  -
Stigonematales            -          LKAP-GutHK_D11_089   -               44     834      17     874       5     881    1450    +    5.5e-158  523.2  21.2  -
Sterolibacteriaceae       -          LKAP-GutHK_D11_089   -               38     884      16     875       3     882    1531    +    7.8e-158  522.6  23.6  -
Bernardetiaceae           -          LKAP-GutHK_D11_089   -               24     857      17     874       4     879    1481    +      8e-158  522.4  21.3  -
Glycomycetaceae           -          LKAP-GutHK_D11_089   -               30     863      16     878       2     882    1495    +    1.5e-157  521.7  23.6  -
Desulfurobacteriaceae     -          LKAP-GutHK_D11_089   -               24     890      17     876       3     882    1497    +    3.5e-157  520.7  23.7  -
Sanguibacteraceae         -          LKAP-GutHK_D11_089   -               41     864      17     876       2     882    1483    +    8.7e-157  519.0  22.6  -
Gallionellaceae           -          LKAP-GutHK_D11_089   -               40     877      16     874       3     881    1385    +    1.7e-156  518.2  22.3  -
Porphyromonadaceae        -          LKAP-GutHK_D11_089   -               32     869      17     874       8     879    1473    +    1.7e-156  518.1  22.0  -
Bogoriellaceae            -          LKAP-GutHK_D11_089   -               70     852      75     876      32     882    1470    +    2.4e-156  517.6  21.6  -
Catenulisporaceae         -          LKAP-GutHK_D11_089   -               24     842      17     876       2     882    1460    +    3.6e-156  517.0  23.3  -
Rubricoccaceae            -          LKAP-GutHK_D11_089   -               28     864      16     874       2     881    1452    +    6.4e-156  516.2  22.1  -
Spiroplasmataceae         -          LKAP-GutHK_D11_089   -               74     864      70     864      49     881    1516    +    7.2e-156  516.3  20.8  -
Nostocales                -          LKAP-GutHK_D11_089   -               24     810      17     874       5     879    1457    +    1.6e-155  514.9  20.7  -
Iamiaceae                 -          LKAP-GutHK_D11_089   -               24     851      17     876       2     882    1480    +    7.4e-155  512.9  22.4  -
Dermabacteraceae          -          LKAP-GutHK_D11_089   -               78     856      74     876      30     882    1470    +    2.6e-154  510.7  22.0  -
Bryobacteraceae           -          LKAP-GutHK_D11_089   -               43     844      17     877       3     882    1417    +    4.1e-154  510.3  23.3  -
Actinomycetales           -          LKAP-GutHK_D11_089   -               43     880      16     876       2     882    1535    +      6e-154  509.6  23.9  -
Frankiales                -          LKAP-GutHK_D11_089   -               31     850      17     876       2     882    1425    +    8.1e-154  509.3  23.8  -
Persicobacteraceae        -          LKAP-GutHK_D11_089   -               25     855      18     874       5     879    1448    +      1e-153  508.9  22.0  -
Leptotrichiaceae          -          LKAP-GutHK_D11_089   -               93     862      78     875      57     882    1492    +    2.1e-153  507.8  21.2  -
Ruaniaceae                -          LKAP-GutHK_D11_089   -               48     879      17     876       2     882    1531    +    2.9e-153  507.1  22.1  -
Lysobacteriales           -          LKAP-GutHK_D11_089   -               51     889      16     874       2     881    1508    +    3.2e-153  507.4  23.3  -
Defluviitaleaceae         -          LKAP-GutHK_D11_089   -               12     834      14     874       1     882    1413    +    6.4e-153  506.3  22.7  -
Gemmatimonadaceae         -          LKAP-GutHK_D11_089   -               80     867      76     875      55     881    1525    +    7.6e-153  506.0  21.7  -
Beutenbergiaceae          -          LKAP-GutHK_D11_089   -               23     847      16     876       2     882    1472    +      8e-153  505.9  22.6  -
Atopobacteriaceae         -          LKAP-GutHK_D11_089   -               28     848      17     876       3     882    1442    +    1.3e-152  505.4  23.0  -
Opitutaceae               -          LKAP-GutHK_D11_089   -               25     875      18     864       2     880    1482    +    1.7e-152  504.8  21.7  -
Prochlorococcaceae        -          LKAP-GutHK_D11_089   -               31     815      17     874       2     879    1465    +    2.4e-152  504.4  20.9  -
Sporichthyaceae           -          LKAP-GutHK_D11_089   -               23     842      16     876       2     882    1472    +    4.2e-152  503.6  23.2  -
Pyrinomonadaceae          -          LKAP-GutHK_D11_089   -               45     905      18     877       2     882    1526    +      5e-152  503.1  23.5  -
Micrococcales             -          LKAP-GutHK_D11_089   -               24     845      17     876       3     882    1475    +    6.8e-152  502.9  22.3  -
Streptosporangineae       -          LKAP-GutHK_D11_089   -                3     815      18     876      16     882    1443    +    1.4e-151  501.7  23.1  -
Chlamydiaceae             -          LKAP-GutHK_D11_089   -               50     890      20     865       1     879    1548    +    1.5e-151  501.5  22.5  -
Nocardiopsaceae           -          LKAP-GutHK_D11_089   -               23     856      16     876       2     882    1475    +    1.6e-151  501.7  23.1  -
Phormidiaceae             -          LKAP-GutHK_D11_089   -               44     833      17     874       3     879    1483    +    1.7e-151  501.8  21.8  -
Rubritaleaceae            -          LKAP-GutHK_D11_089   -               31     868      17     876       1     882    1459    +    1.7e-151  501.4  22.0  -
Jonesiaceae               -          LKAP-GutHK_D11_089   -               91     884      75     876      54     882    1514    +    2.9e-151  500.8  21.2  -
Rikenellaceae             -          LKAP-GutHK_D11_089   -               32     869      17     874       5     882    1456    +    4.2e-151  500.2  21.9  -
Betaproteobacteria        -          LKAP-GutHK_D11_089   -               47     840      75     875      55     882    1454    +    6.1e-151  499.7  21.9  -
Prolixibacteraceae        -          LKAP-GutHK_D11_089   -               23     854      16     874       2     881    1444    +    7.3e-151  499.4  22.6  -
Bifidobacteriaceae        -          LKAP-GutHK_D11_089   -               38     864      17     876       2     882    1469    +    1.1e-150  498.8  23.0  -
Petrotogaceae             -          LKAP-GutHK_D11_089   -               38     860      16     874       2     880    1488    +    1.6e-150  498.6  22.3  -
Actinopolysporaceae       -          LKAP-GutHK_D11_089   -               24     862      16     876       2     882    1480    +    4.9e-150  496.6  23.9  -
Anaeroplasmataceae        -          LKAP-GutHK_D11_089   -               84     853      75     864      53     878    1453    +    5.6e-150  496.6  20.6  -
Mariprofundaceae          -          LKAP-GutHK_D11_089   -               44     881      17     875       2     882    1528    +    7.7e-150  495.9  22.3  -
Eggerthellaceae           -          LKAP-GutHK_D11_089   -               31     844      17     876       2     882    1449    +    2.7e-149  494.4  23.3  -
Acholeplasmataceae        -          LKAP-GutHK_D11_089   -               18     836      19     864       4     877    1437    +    9.2e-149  492.3  21.1  -
Oscillospiraceae          -          LKAP-GutHK_D11_089   -               24     856      17     874       2     882    1453    +    1.2e-148  491.7  22.7  -
Thermotogaceae            -          LKAP-GutHK_D11_089   -               42     884      17     874       2     880    1545    +    1.2e-148  492.1  23.6  -
Mesoaciditogaceae         -          LKAP-GutHK_D11_089   -               32     881      17     876       2     882    1522    +    1.4e-148  491.9  23.3  -
Dehalococcoidaceae        -          LKAP-GutHK_D11_089   -               60     834      75     877      55     882    1437    +    1.7e-148  492.0  21.8  -
Haliscomenobacteraceae    -          LKAP-GutHK_D11_089   -               44     876      17     874       3     880    1485    +    2.2e-148  491.7  22.9  -
Marinilabiliaceae         -          LKAP-GutHK_D11_089   -               23     857      16     874       5     879    1447    +    3.3e-148  490.4  21.8  -
Lewinellaceae             -          LKAP-GutHK_D11_089   -               23     853      16     874       3     882    1446    +    9.6e-148  489.1  22.6  -
Kofleriaceae              -          LKAP-GutHK_D11_089   -               39     895      16     874       2     881    1498    +    1.5e-147  488.6  23.4  -
Aquificaceae              -          LKAP-GutHK_D11_089   -               24     877      17     878       3     881    1485    +    1.7e-147  488.4  23.3  -
Rarobacteraceae           -          LKAP-GutHK_D11_089   -               57     833      75     876      53     882    1464    +    1.8e-147  488.0  22.0  -
Pseudobacteriovoracaceae  -          LKAP-GutHK_D11_089   -               23     834      51     875      30     882    1466    +    2.5e-147  487.7  22.2  -
Chlorobiaceae             -          LKAP-GutHK_D11_089   -               87     859      78     865      57     881    1455    +    2.8e-147  487.6  20.5  -
Cytophagales              -          LKAP-GutHK_D11_089   -               25     854      18     874       5     879    1444    +    4.2e-147  487.0  21.4  -
Parachlamydiaceae         -          LKAP-GutHK_D11_089   -               68     881      70     874      50     882    1529    +      7e-147  486.3  21.7  -
Crocinitomicaceae         -          LKAP-GutHK_D11_089   -               22     863      14     875       3     882    1466    +    8.7e-147  485.7  22.2  -
Chitinophagaceae          -          LKAP-GutHK_D11_089   -               24     853      16     867       3     881    1458    +    1.3e-146  485.6  21.9  -
Cyclobacteriaceae         -          LKAP-GutHK_D11_089   -               23     856      16     874       4     879    1447    +      2e-146  484.8  22.5  -
Actinospicaceae           -          LKAP-GutHK_D11_089   -               39     820      71     876      48     882    1425    +    2.3e-146  484.5  22.2  -
Kosmotogaceae             -          LKAP-GutHK_D11_089   -               29     862      16     874       2     880    1488    +    2.5e-146  484.7  23.0  -
Hydrogenothermaceae       -          LKAP-GutHK_D11_089   -               24     838      17     877       2     882    1447    +    2.6e-146  484.5  22.9  -
Magnetococcaceae          -          LKAP-GutHK_D11_089   -               43     844      16     874       2     881    1497    +      2e-145  481.5  22.9  -
Fervidobacteriaceae       -          LKAP-GutHK_D11_089   -               31     891      16     874       2     880    1514    +    1.2e-144  478.8  24.1  -
Cryomorphaceae            -          LKAP-GutHK_D11_089   -               30     864      17     874       5     881    1454    +    2.5e-144  477.8  21.7  -
Deinococcaceae            -          LKAP-GutHK_D11_089   -               52     839      67     874      46     882    1455    +      2e-143  474.7  22.6  -
Iodidimonadaceae          -          LKAP-GutHK_D11_089   -               30     831      16     876       2     882    1437    +    5.6e-143  473.3  22.5  -
Sphingobacteriaceae       -          LKAP-GutHK_D11_089   -               22     855      15     874       3     881    1450    +    5.9e-143  473.2  21.8  -
Entomoplasmataceae        -          LKAP-GutHK_D11_089   -               64     852      74     864      53     880    1497    +    7.2e-143  473.1  20.4  -
Saprospiraceae            -          LKAP-GutHK_D11_089   -               35     866      17     874       3     882    1430    +    8.6e-143  473.1  22.8  -
Fibrobacteraceae          -          LKAP-GutHK_D11_089   -               22     838      16     874       2     879    1412    +    2.1e-142  471.7  23.2  -
Bacteroidales             -          LKAP-GutHK_D11_089   -               46     878      17     874      10     879    1485    +    8.9e-141  465.7  21.6  -
Rhodospirillales          -          LKAP-GutHK_D11_089   -               42     798      73     874      53     881    1413    +    2.3e-140  465.0  21.7  -
Bradymonadaceae           -          LKAP-GutHK_D11_089   -               24     855      17     874       2     881    1461    +    9.1e-140  462.5  23.0  -
Microscillaceae           -          LKAP-GutHK_D11_089   -               24     841      17     874       6     881    1461    +    1.1e-138  459.0  20.4  -
Prevotellaceae            -          LKAP-GutHK_D11_089   -               25     866      17     874      10     878    1464    +    2.5e-138  457.7  21.7  -
Sandaracinaceae           -          LKAP-GutHK_D11_089   -               50     865      71     874      50     882    1506    +    3.2e-138  457.7  21.5  -
Rhodothalassiaceae        -          LKAP-GutHK_D11_089   -               18     803      16     875       3     881    1318    +    7.2e-138  456.6  22.2  -
Marinifilaceae            -          LKAP-GutHK_D11_089   -               24     858      17     874       6     880    1450    +      6e-137  453.2  21.2  -
Dictyoglomaceae           -          LKAP-GutHK_D11_089   -               97     888      74     876      41     882    1541    +    6.7e-137  453.1  21.5  -
Phaselicystidaceae        -          LKAP-GutHK_D11_089   -               43     893      17     875       3     881    1539    +    8.3e-137  453.0  22.8  -
Thermosporotrichaceae     -          LKAP-GutHK_D11_089   -                7     769      74     876      67     882    1317    +    8.9e-137  453.0  22.2  -
Blastocatellaceae         -          LKAP-GutHK_D11_089   -               45     864      18     874       3     879    1485    +    2.6e-136  451.0  21.8  -
Labilitrichaceae          -          LKAP-GutHK_D11_089   -               61     872      71     867      50     882    1483    +    1.7e-135  448.5  21.6  -
Sphaerobacteraceae        -          LKAP-GutHK_D11_089   -               73     859      67     876      44     882    1531    +    1.8e-135  448.4  23.6  -
Oligoflexaceae            -          LKAP-GutHK_D11_089   -               34     857      31     874      10     882    1458    +    7.6e-135  446.5  22.1  -
Gemmataceae               -          LKAP-GutHK_D11_089   -               79     840      75     877      43     882    1427    +      1e-134  445.9  20.4  -
Acanthopleuribacteraceae  -          LKAP-GutHK_D11_089   -               30     854      67     875      46     882    1453    +    1.3e-134  445.7  22.2  -
Thermomicrobiaceae        -          LKAP-GutHK_D11_089   -               24     819      68     876      50     882    1273    +    1.8e-134  445.8  24.0  -
Coriobacteriaceae         -          LKAP-GutHK_D11_089   -               37     847      17     876       3     882    1462    +    1.9e-134  445.5  23.4  -
Odoribacteraceae          -          LKAP-GutHK_D11_089   -               43     876      16     873       7     880    1486    +    6.3e-134  443.2  21.8  -
Emcibacteraceae           -          LKAP-GutHK_D11_089   -               43     839      16     875       3     882    1460    +    1.4e-133  442.4  21.9  -
Lentisphaeraceae          -          LKAP-GutHK_D11_089   -               38     848      24     875       5     882    1465    +    1.4e-133  442.3  21.9  -
Hydrogenimonaceae         -          LKAP-GutHK_D11_089   -               24     858      16     875       2     882    1422    +    2.2e-133  441.7  23.1  -
Roseiarcaceae             -          LKAP-GutHK_D11_089   -               71     825      73     875      52     882    1399    +    3.1e-133  441.1  21.1  -
Temperatibacteraceae      -          LKAP-GutHK_D11_089   -               32     788      72     876      50     882    1362    +    3.8e-133  440.8  20.9  -
Gaiellaceae               -          LKAP-GutHK_D11_089   -               43     889      16     875       2     881    1544    +    5.6e-133  440.1  23.1  -
Christensenellaceae       -          LKAP-GutHK_D11_089   -               33     868      17     873       2     881    1497    +    8.2e-133  439.6  22.7  -
Anaeromyxobacteraceae     -          LKAP-GutHK_D11_089   -               80     892      70     867      48     882    1549    +      1e-132  439.4  21.5  -
Vulgatibacteraceae        -          LKAP-GutHK_D11_089   -               60     871      71     867      50     882    1479    +    2.6e-132  438.1  21.2  -
Syntrophorhabdaceae       -          LKAP-GutHK_D11_089   -               23     873      16     867       2     882    1482    +    3.8e-132  437.5  22.9  -
Fervidobacteraceae        -          LKAP-GutHK_D11_089   -               24     829      16     874       2     880    1480    +    4.2e-132  437.4  23.9  -
Acidothermaceae           -          LKAP-GutHK_D11_089   -               40     858      16     875       2     881    1509    +    5.8e-132  437.0  23.7  -
Akkermansiaceae           -          LKAP-GutHK_D11_089   -               26     840      19     876       2     882    1441    +    1.5e-130  432.3  21.5  -
Egicoccaceae              -          LKAP-GutHK_D11_089   -               44     859      17     868       2     881    1512    +    5.5e-130  430.3  22.9  -
Nitriliruptoraceae        -          LKAP-GutHK_D11_089   -               33     848      17     868       2     881    1425    +    7.9e-130  429.8  22.9  -
Egibacteraceae            -          LKAP-GutHK_D11_089   -               43     861      16     868       2     881    1516    +    1.7e-129  428.9  23.0  -
Gracilibacteraceae        -          LKAP-GutHK_D11_089   -              202     975      75     874      54     881    1549    +    2.9e-129  427.8  22.1  -
Euzebyaceae               -          LKAP-GutHK_D11_089   -               23     840      16     868       2     881    1476    +    9.5e-128  423.0  22.9  -
Isosphaeraceae            -          LKAP-GutHK_D11_089   -               68     856      73     877      52     882    1475    +    1.5e-127  422.2  21.9  -
Micropepsaceae            -          LKAP-GutHK_D11_089   -               72     827      74     874      54     881    1455    +    8.5e-127  419.8  21.0  -
Halanaerobiales           -          LKAP-GutHK_D11_089   -               27     896      16     875       2     882    1500    +      2e-126  418.5  23.0  -
Gloeomargaritaceae        -          LKAP-GutHK_D11_089   -               73     827      72     868      49     880    1482    +      5e-126  417.3  20.6  -
Caldisericaceae           -          LKAP-GutHK_D11_089   -               22     878      15     875       2     881    1481    +    6.1e-125  413.5  23.5  -
Longimicrobiaceae         -          LKAP-GutHK_D11_089   -                9     823      67     875      56     881    1413    +    1.3e-124  412.8  22.6  -
Haloplasmataceae          -          LKAP-GutHK_D11_089   -               55     852      73     875      52     882    1345    +    1.4e-124  412.6  22.1  -
Brachyspiraceae           -          LKAP-GutHK_D11_089   -               19     826      20     873       7     879    1441    +    2.4e-124  411.5  22.5  -
Aquificales               -          LKAP-GutHK_D11_089   -               14     879      17     875       4     881    1450    +      3e-124  411.5  23.6  -
Acidimicrobiales          -          LKAP-GutHK_D11_089   -               26     852      17     875       2     881    1483    +    5.5e-124  410.7  23.1  -
Thermogemmatisporaceae    -          LKAP-GutHK_D11_089   -               61     850      74     876      54     882    1443    +    1.2e-123  409.4  23.6  -
Xenococcaceae             -          LKAP-GutHK_D11_089   -               57     811      74     868      53     880    1418    +    6.7e-123  407.1  21.0  -
Chloroflexaceae           -          LKAP-GutHK_D11_089   -               80     834      74     867      53     879    1473    +    9.8e-122  403.2  21.8  -
Victivallaceae            -          LKAP-GutHK_D11_089   -               69     837      71     866      47     882    1456    +    1.3e-121  402.6  20.9  -
Prochlorotrichaceae       -          LKAP-GutHK_D11_089   -               42     793      74     868      53     880    1448    +      4e-120  397.6  21.0  -
Ignavibacteriaceae        -          LKAP-GutHK_D11_089   -               60     857      67     873      40     881    1461    +    5.4e-120  397.3  21.5  -
Mooreiaceae               -          LKAP-GutHK_D11_089   -                8     842      13     874       6     881    1424    +    2.2e-119  395.3  23.0  -
Melioribacteraceae        -          LKAP-GutHK_D11_089   -               89     882      72     873      46     881    1539    +    4.3e-118  390.9  21.4  -
Ardenticatenia            -          LKAP-GutHK_D11_089   -               23     861      16     868       2     881    1453    +    1.2e-117  389.8  23.3  -
Catalimonadaceae          -          LKAP-GutHK_D11_089   -               14     840      19     873       6     880    1425    +    1.4e-117  389.3  22.2  -
Mzabimycetaceae           -          LKAP-GutHK_D11_089   -               12     785      72     875      54     881    1357    +      1e-115  383.2  22.8  -
Armatimonadaceae          -          LKAP-GutHK_D11_089   -               63     835      75     874      53     881    1438    +    1.5e-115  382.6  21.4  -
Elusimicrobiaceae         -          LKAP-GutHK_D11_089   -                3     828      17     874      15     881    1395    +    2.2e-115  381.9  21.8  -
Verrucomicrobiales        -          LKAP-GutHK_D11_089   -               15     852      50     874      37     881    1410    +    3.9e-115  381.5  22.2  -
Thermoflexaceae           -          LKAP-GutHK_D11_089   -                9     841      14     867       6     881    1466    +    1.4e-114  379.7  23.4  -
Thermonemataceae          -          LKAP-GutHK_D11_089   -               15     850      17     873       5     880    1465    +    5.5e-114  377.5  22.7  -
Herpetosiphonaceae        -          LKAP-GutHK_D11_089   -               75     835      74     867      53     879    1475    +    6.7e-114  376.9  21.1  -
Spirochaetales            -          LKAP-GutHK_D11_089   -               27     848      20     869       4     880    1456    +    7.2e-114  377.0  21.7  -
Brevinemataceae           -          LKAP-GutHK_D11_089   -               82     870      64     873      42     881    1490    +    7.5e-114  377.0  21.5  -
Chitinivibrionaceae       -          LKAP-GutHK_D11_089   -               32     872      17     868       2     880    1488    +    9.8e-113  373.2  21.8  -
Blastocatellales          -          LKAP-GutHK_D11_089   -               44     839      17     870       3     881    1488    +      1e-112  373.1  22.0  -
Trueperaceae              -          LKAP-GutHK_D11_089   -               60     816      75     867      44     882    1461    +    3.9e-112  371.2  20.9  -
Kiritimatiellaceae        -          LKAP-GutHK_D11_089   -               43     910      16     874       2     881    1556    +    8.8e-112  370.1  23.1  -
Roseiflexaceae            -          LKAP-GutHK_D11_089   -               78     834      73     866      49     880    1469    +    1.2e-109  363.4  21.4  -
Soortiaceae               -          LKAP-GutHK_D11_089   -               48     890      17     873       2     881    1516    +    1.7e-109  362.5  22.8  -
Ktedonobacteraceae        -          LKAP-GutHK_D11_089   -               54     815      74     875      53     882    1386    +      2e-109  362.5  22.3  -
Oligosphaeraceae          -          LKAP-GutHK_D11_089   -               47     829      50     868      29     881    1434    +    2.6e-109  361.9  21.6  -
Simkaniaceae              -          LKAP-GutHK_D11_089   -               84     894      75     873      54     881    1545    +    4.1e-109  361.2  21.1  -
Lentimicrobiaceae         -          LKAP-GutHK_D11_089   -               25     855      18     873       3     881    1446    +    7.2e-109  360.4  22.6  -
Spartobacteria            -          LKAP-GutHK_D11_089   -               22     842      17     867       2     882    1418    +    2.2e-108  358.9  23.9  -
Filobacteriaceae          -          LKAP-GutHK_D11_089   -               43     870      17     866       3     881    1521    +    6.5e-108  357.2  22.0  -
Schleiferiaceae           -          LKAP-GutHK_D11_089   -               43     876      17     875       3     881    1499    +    2.9e-107  355.4  22.8  -
Ichthyobacteriaceae       -          LKAP-GutHK_D11_089   -               44     880      17     873       4     881    1521    +    7.4e-107  353.8  22.0  -
Chthonomonadaceae         -          LKAP-GutHK_D11_089   -               36     826      70     874      50     881    1411    +    4.3e-106  351.4  23.0  -
Fimbriimonadaceae         -          LKAP-GutHK_D11_089   -               63     835      75     874      54     881    1443    +    1.8e-105  349.2  21.5  -
Waddliaceae               -          LKAP-GutHK_D11_089   -               91     903      75     869      54     880    1557    +    5.3e-104  344.5  21.3  -
Balneicellaceae           -          LKAP-GutHK_D11_089   -               28     867      17     873       4     880    1505    +    1.5e-101  336.2  21.5  -
Phycisphaeraceae          -          LKAP-GutHK_D11_089   -               56     834      67     876      30     882    1461    +     2.6e-96  319.2  21.6  -
Chloroflexales            -          LKAP-GutHK_D11_089   -               55     819      75     866      54     882    1355    +     3.2e-95  315.8  22.8  -
Tepidisphaeraceae         -          LKAP-GutHK_D11_089   -               77     846      74     873      53     882    1491    +     5.2e-93  308.2  21.2  -
Methanocaldococcaceae     -          LKAP-GutHK_D11_089   -               80     843      74     877      50     882    1429    +       6e-76  251.7  21.4  -
Methanobacteriaceae       -          LKAP-GutHK_D11_089   -               49     813      72     875      40     882    1403    +     8.1e-72  237.5  20.6  -
Methanococcaceae          -          LKAP-GutHK_D11_089   -               69     826      77     877      57     882    1410    +     1.4e-71  236.9  21.5  -
Methanoregulaceae         -          LKAP-GutHK_D11_089   -               55     799      77     864      57     882    1413    +     3.9e-67  221.9  21.3  -
Archaeoglobaceae          -          LKAP-GutHK_D11_089   -               72     833      76     876      55     882    1451    +     6.7e-66  218.0  21.6  -
Sulfolobaceae             -          LKAP-GutHK_D11_089   -               67     843      75     876      54     882    1464    +     1.3e-65  216.8  21.8  -
Methanothermaceae         -          LKAP-GutHK_D11_089   -               77     840      76     876      57     882    1482    +       9e-65  214.5  21.2  -
Methanomicrobiaceae       -          LKAP-GutHK_D11_089   -               59     811      77     874      57     882    1420    +       2e-63  209.8  22.0  -
Desulfurococcaceae        -          LKAP-GutHK_D11_089   -               70     853      70     876      55     882    1460    +     1.1e-61  204.2  22.3  -
Thermococcaceae           -          LKAP-GutHK_D11_089   -               60     830      69     876      47     882    1448    +     1.4e-61  203.9  22.1  -
Halobacteriaceae          -          LKAP-GutHK_D11_089   -               76     830      76     866      56     879    1474    +     3.1e-60  198.9  21.8  -
Pyrodictiaceae            -          LKAP-GutHK_D11_089   -               80     856      74     876      54     882    1497    +     1.4e-58  193.8  23.5  -
Thermoproteaceae          -          LKAP-GutHK_D11_089   -               61     841      74     876      53     882    1471    +     3.2e-58  191.0  22.3  -
Acidilobaceae             -          LKAP-GutHK_D11_089   -               77     857      74     876      60     881    1451    +     4.7e-58  191.9  22.0  -
Haloarculaceae            -          LKAP-GutHK_D11_089   -               78     829      78     866      60     879    1473    +     2.1e-56  186.3  21.3  -
Natrialbaceae             -          LKAP-GutHK_D11_089   -               90     830      90     866      70     879    1474    +     4.4e-56  185.0  20.6  -
Methanomicrobiales        -          LKAP-GutHK_D11_089   -               70     822      78     875      58     882    1425    +     7.8e-56  184.4  21.7  -
Thermofilaceae            -          LKAP-GutHK_D11_089   -               95     870      77     876      57     882    1513    +       7e-55  181.4  22.1  -
Methanopyraceae           -          LKAP-GutHK_D11_089   -               76     869      67     874      45     881    1512    +     4.4e-53  176.1  21.9  -
Methanospirillaceae       -          LKAP-GutHK_D11_089   -               27     780      77     875      57     882    1378    +     7.2e-53  174.6  21.3  -
Haloferacaceae            -          LKAP-GutHK_D11_089   -               78     830      78     866      58     879    1474    +     1.1e-51  170.4  20.8  -
Nostocaceae               -          LKAP-GutHK_D11_089   -                4     484     367     869     364     880    1476    +     1.1e-50  168.0  12.6  -
Methanocorpusculaceae     -          LKAP-GutHK_D11_089   -               72     759      78     809      58     834    1421    +       4e-50  165.4  19.4  -
Caldisphaeraceae          -          LKAP-GutHK_D11_089   -               64     841      76     874      56     881    1466    +     7.6e-49  162.0  21.4  -
Thermoplasmataceae        -          LKAP-GutHK_D11_089   -               75     836      75     876      55     882    1471    +     2.5e-47  156.5  20.6  -
Methanotrichaceae         -          LKAP-GutHK_D11_089   -               75     824      78     864      58     882    1423    +     3.4e-47  155.7  20.2  -
Cuniculiplasmataceae      -          LKAP-GutHK_D11_089   -               76     832      76     876      55     882    1469    +       1e-46  154.9  21.1  -
Halococcaceae             -          LKAP-GutHK_D11_089   -              105     829     104     866      83     879    1474    +     1.6e-46  153.6  18.8  -
Methanosarcinaceae        -          LKAP-GutHK_D11_089   -               74     830      78     873      58     882    1425    +     2.4e-46  152.8  20.3  -
Fervidicoccaceae          -          LKAP-GutHK_D11_089   -               78     859      72     874      51     881    1502    +       9e-46  151.6  21.5  -
