# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_A12_096   -               10     938       4     927       2     927    1474    +           0 1134.5  25.5  -
Ferrimonadaceae           -          LKAP-GutHK_A12_096   -               10     938       4     927       2     927    1475    +    3.4e-303 1004.1  25.7  -
Chroococcales             -          LKAP-GutHK_A12_096   -               50     889      57     927      37     927    1445    +    6.4e-189  625.5  23.0  -
Woeseiaceae               -          LKAP-GutHK_A12_096   -               36     937      18     927       2     927    1476    +    7.8e-189  625.1  24.9  -
Frankiaceae               -          LKAP-GutHK_A12_096   -               49     916      19     926       3     927    1499    +    8.2e-189  625.4  24.6  -
Peptoniphilaceae          -          LKAP-GutHK_A12_096   -                3     889      18     927      16     927    1437    +      1e-188  625.2  23.9  -
Jiangellaceae             -          LKAP-GutHK_A12_096   -               33     909      18     926       2     927    1497    +      1e-188  624.8  24.3  -
Bernardetiaceae           -          LKAP-GutHK_A12_096   -               13     920       7     927       3     927    1481    +    1.1e-188  624.8  24.1  -
Caldicoprobacteraceae     -          LKAP-GutHK_A12_096   -               44     937      19     927       3     927    1530    +    1.9e-188  624.0  24.9  -
Anaerolineaceae           -          LKAP-GutHK_A12_096   -               27     904      18     927       3     927    1430    +      4e-188  623.5  24.9  -
Geodermatophilaceae       -          LKAP-GutHK_A12_096   -               72     917      65     924      43     927    1479    +      4e-188  623.0  24.3  -
Thermomonosporaceae       -          LKAP-GutHK_A12_096   -               27     901      18     924       3     927    1464    +    7.8e-188  622.0  24.1  -
Demequinaceae             -          LKAP-GutHK_A12_096   -               70     907      73     926      49     927    1478    +      8e-188  622.0  23.4  -
Chrysiogenaceae           -          LKAP-GutHK_A12_096   -               74     926      72     927      29     927    1513    +    8.6e-188  621.9  23.1  -
Tsukamurellaceae          -          LKAP-GutHK_A12_096   -               82     922      70     926      28     927    1495    +    8.9e-188  621.9  24.3  -
Dermacoccaceae            -          LKAP-GutHK_A12_096   -               67     905      73     926      51     927    1456    +    9.2e-188  621.7  23.1  -
Acidobacteriaceae         -          LKAP-GutHK_A12_096   -               81     906      67     927      44     927    1462    +    1.2e-187  621.3  22.5  -
Cellulomonadaceae         -          LKAP-GutHK_A12_096   -               74     912      73     926      51     927    1465    +    2.7e-187  620.3  23.8  -
Defluviitaleaceae         -          LKAP-GutHK_A12_096   -               12     897      13     927       2     927    1413    +    4.5e-187  619.6  24.0  -
Segniliparaceae           -          LKAP-GutHK_A12_096   -               31     904      18     926       2     927    1462    +    1.4e-186  618.0  24.9  -
Bryobacteraceae           -          LKAP-GutHK_A12_096   -               47     904      19     927       3     927    1417    +    2.6e-186  617.1  24.6  -
Symbiobacteriaceae        -          LKAP-GutHK_A12_096   -                6     934       5     927       2     927    1468    +    6.5e-186  616.0  25.2  -
Stigonematales            -          LKAP-GutHK_A12_096   -               75     897      70     927      26     927    1450    +      7e-186  615.7  22.7  -
Opitutaceae               -          LKAP-GutHK_A12_096   -               71     945      68     926      11     927    1482    +    9.9e-186  615.0  24.4  -
Ventosimonadaceae         -          LKAP-GutHK_A12_096   -               85     955      61     927      35     927    1489    +      2e-185  613.7  24.3  -
Cryptosporangiaceae       -          LKAP-GutHK_A12_096   -               27     900      18     926       2     927    1470    +    2.1e-185  614.0  24.7  -
Streptosporangiaceae      -          LKAP-GutHK_A12_096   -               27     897      18     924       2     927    1464    +    8.1e-185  611.9  23.9  -
Porphyromonadaceae        -          LKAP-GutHK_A12_096   -               35     932      18     927       4     927    1473    +      9e-185  611.9  24.6  -
Pyrinomonadaceae          -          LKAP-GutHK_A12_096   -               48     965      19     927       2     927    1526    +    2.5e-184  610.2  25.0  -
Planctomycetaceae         -          LKAP-GutHK_A12_096   -               37     921      18     926       3     927    1486    +    6.4e-184  609.2  24.8  -
Rubritaleaceae            -          LKAP-GutHK_A12_096   -               79     928      73     926      51     927    1459    +    8.5e-184  608.6  23.2  -
Algiphilaceae             -          LKAP-GutHK_A12_096   -               47     941      18     927       3     927    1501    +    8.5e-184  608.3  24.9  -
Promicromonosporaceae     -          LKAP-GutHK_A12_096   -               68     904      73     926      51     927    1462    +    2.4e-183  607.2  24.0  -
Catenulisporaceae         -          LKAP-GutHK_A12_096   -               28     902      19     926       3     927    1460    +    3.8e-183  606.5  24.8  -
Spiroplasmataceae         -          LKAP-GutHK_A12_096   -               74     935      68     927      47     927    1516    +    4.7e-183  606.5  23.5  -
Dietziaceae               -          LKAP-GutHK_A12_096   -               19     892      19     926       4     927    1452    +    8.9e-183  605.3  25.1  -
Desulfurobacteriaceae     -          LKAP-GutHK_A12_096   -               54     951      46     927      24     927    1497    +    1.7e-182  604.7  24.5  -
Leptotrichiaceae          -          LKAP-GutHK_A12_096   -               93     924      76     927      55     927    1492    +    1.8e-182  604.2  23.3  -
Thermodesulfobacteriaceae -          LKAP-GutHK_A12_096   -               26     937      17     927       2     927    1497    +    2.2e-182  604.2  24.7  -
Rubricoccaceae            -          LKAP-GutHK_A12_096   -               16     926       5     926       2     927    1452    +    2.2e-182  603.9  24.4  -
Bogoriellaceae            -          LKAP-GutHK_A12_096   -               70     912      73     926      52     927    1470    +    3.1e-182  603.4  23.4  -
Dermatophilaceae          -          LKAP-GutHK_A12_096   -               56     910      47     926      12     927    1480    +    6.4e-182  602.4  23.8  -
Frankiales                -          LKAP-GutHK_A12_096   -               34     910      18     926       3     927    1425    +    7.3e-182  602.3  25.4  -
Sporichthyaceae           -          LKAP-GutHK_A12_096   -               27     902      18     926       3     927    1472    +    2.6e-181  600.5  24.9  -
Nostocales                -          LKAP-GutHK_A12_096   -               54     873      71     927      51     927    1457    +    3.1e-181  600.3  22.0  -
Anaeroplasmataceae        -          LKAP-GutHK_A12_096   -               84     924      73     927      52     927    1453    +      4e-181  599.9  23.2  -
Iamiaceae                 -          LKAP-GutHK_A12_096   -               28     909      19     924       3     927    1480    +    5.3e-181  599.6  23.3  -
Sterolibacteriaceae       -          LKAP-GutHK_A12_096   -               43     945      19     926       3     927    1531    +    5.9e-181  599.2  25.6  -
Oscillospiraceae          -          LKAP-GutHK_A12_096   -               21     919      14     927       2     927    1453    +    6.4e-181  598.7  24.3  -
Persicobacteraceae        -          LKAP-GutHK_A12_096   -               63     918      66     927      40     927    1448    +    6.7e-181  599.1  23.8  -
Sanguibacteraceae         -          LKAP-GutHK_A12_096   -               87     924      73     926      52     927    1483    +      2e-180  597.4  23.8  -
Glycomycetaceae           -          LKAP-GutHK_A12_096   -               22     922       9     926       2     927    1495    +    5.3e-180  596.2  24.9  -
Chitinophagaceae          -          LKAP-GutHK_A12_096   -               14     922       7     927       2     927    1458    +    6.2e-180  596.1  24.8  -
Chlorobiaceae             -          LKAP-GutHK_A12_096   -               87     929      76     927      55     927    1455    +    1.2e-179  594.9  23.8  -
Dermabacteraceae          -          LKAP-GutHK_A12_096   -               79     915      73     925      52     927    1470    +    1.7e-179  594.2  24.0  -
Phormidiaceae             -          LKAP-GutHK_A12_096   -               78     896      73     927      53     927    1483    +    2.2e-179  594.3  23.4  -
Atopobacteriaceae         -          LKAP-GutHK_A12_096   -               32     908      19     926       2     927    1442    +    3.3e-179  593.6  24.4  -
Prolixibacteraceae        -          LKAP-GutHK_A12_096   -               13     917       7     927       3     927    1444    +      4e-179  593.1  24.9  -
Dehalococcoidaceae        -          LKAP-GutHK_A12_096   -               60     894      73     927      53     927    1437    +    4.7e-179  593.3  23.0  -
Gemmatimonadaceae         -          LKAP-GutHK_A12_096   -               80     929      74     927      54     927    1525    +    8.7e-179  592.1  23.4  -
Rikenellaceae             -          LKAP-GutHK_A12_096   -               20     932       6     927       3     927    1456    +    4.9e-178  589.5  24.3  -
Cytophagales              -          LKAP-GutHK_A12_096   -               12     917       6     927       3     927    1444    +    6.8e-178  589.1  24.8  -
Lewinellaceae             -          LKAP-GutHK_A12_096   -               12     916       6     927       3     927    1446    +    1.4e-177  588.1  25.0  -
Lysobacteriales           -          LKAP-GutHK_A12_096   -               55     952      18     927       2     927    1508    +    2.6e-177  587.2  25.1  -
Beutenbergiaceae          -          LKAP-GutHK_A12_096   -               66     907      71     926      49     927    1472    +    2.6e-177  587.1  23.3  -
Petrotogaceae             -          LKAP-GutHK_A12_096   -               42     923      18     927       3     927    1488    +    4.1e-177  586.8  24.0  -
Micrococcales             -          LKAP-GutHK_A12_096   -               68     905      73     926      53     927    1475    +    5.9e-177  586.0  23.8  -
Bifidobacteriaceae        -          LKAP-GutHK_A12_096   -               41     924      18     926       3     927    1469    +    6.8e-177  585.8  24.8  -
Nocardiopsaceae           -          LKAP-GutHK_A12_096   -               27     914      18     924       2     927    1475    +    1.4e-176  584.9  24.7  -
Cyclobacteriaceae         -          LKAP-GutHK_A12_096   -               13     919       7     927       3     927    1447    +    1.4e-176  584.7  24.9  -
Haliscomenobacteraceae    -          LKAP-GutHK_A12_096   -               47     939      18     927       3     927    1485    +    1.6e-176  585.0  25.1  -
Jonesiaceae               -          LKAP-GutHK_A12_096   -               91     944      73     926      51     927    1514    +    1.9e-176  584.4  23.5  -
Streptosporangineae       -          LKAP-GutHK_A12_096   -                3     873      16     924      14     927    1443    +      2e-176  584.1  24.3  -
Actinomycetales           -          LKAP-GutHK_A12_096   -               47     940      18     926       3     927    1535    +      2e-176  584.2  24.9  -
Ruaniaceae                -          LKAP-GutHK_A12_096   -               93     939      72     926      47     927    1531    +    4.3e-176  582.9  23.0  -
Chlamydiaceae             -          LKAP-GutHK_A12_096   -               51     960      19     927       2     927    1548    +    6.3e-176  582.4  24.8  -
Cryomorphaceae            -          LKAP-GutHK_A12_096   -               18     927       6     927       3     927    1454    +    1.3e-175  581.6  24.2  -
Gallionellaceae           -          LKAP-GutHK_A12_096   -               83     939      73     926      52     927    1385    +    3.7e-175  580.0  23.9  -
Mesoaciditogaceae         -          LKAP-GutHK_A12_096   -               30     942      15     927       2     927    1522    +    4.2e-175  579.8  25.2  -
Crocinitomicaceae         -          LKAP-GutHK_A12_096   -               13     925       7     927       3     927    1466    +    6.8e-175  578.9  23.6  -
Deinococcaceae            -          LKAP-GutHK_A12_096   -               52     902      65     927      45     927    1455    +      9e-175  578.6  24.7  -
Prochlorococcaceae        -          LKAP-GutHK_A12_096   -               47     878      44     927      24     927    1465    +    9.4e-175  578.7  22.3  -
Betaproteobacteria        -          LKAP-GutHK_A12_096   -               47     901      73     926      53     927    1454    +    9.5e-175  578.6  23.7  -
Parachlamydiaceae         -          LKAP-GutHK_A12_096   -               68     944      68     927      48     927    1529    +    1.2e-174  578.4  24.4  -
Eggerthellaceae           -          LKAP-GutHK_A12_096   -               34     904      18     926       3     927    1449    +    4.6e-174  576.5  23.8  -
Marinilabiliaceae         -          LKAP-GutHK_A12_096   -               27     920      18     927       3     927    1447    +    4.7e-174  576.1  24.7  -
Pseudobacteriovoracaceae  -          LKAP-GutHK_A12_096   -               22     896      48     927      28     927    1466    +    7.6e-174  575.5  24.4  -
Rarobacteraceae           -          LKAP-GutHK_A12_096   -               57     893      73     926      53     927    1464    +    1.1e-173  574.9  24.3  -
Acholeplasmataceae        -          LKAP-GutHK_A12_096   -               46     906      67     926      45     927    1437    +    2.6e-173  573.7  24.0  -
Actinopolysporaceae       -          LKAP-GutHK_A12_096   -               34     922      23     926       3     927    1480    +    3.2e-173  573.5  24.7  -
Mariprofundaceae          -          LKAP-GutHK_A12_096   -               88     943      73     927      51     927    1528    +    5.3e-173  572.6  23.9  -
Sphingobacteriaceae       -          LKAP-GutHK_A12_096   -               12     918       6     927       2     927    1450    +    5.4e-173  572.8  23.6  -
Actinospicaceae           -          LKAP-GutHK_A12_096   -               39     880      69     926      46     927    1425    +    7.1e-173  572.4  24.0  -
Iodidimonadaceae          -          LKAP-GutHK_A12_096   -               19     892       6     927       2     927    1437    +    4.3e-172  569.7  23.3  -
Kofleriaceae              -          LKAP-GutHK_A12_096   -               45     958      20     927       2     927    1498    +    2.2e-171  567.5  25.0  -
Saprospiraceae            -          LKAP-GutHK_A12_096   -               23     929       6     927       2     927    1430    +    1.1e-170  565.6  25.0  -
Entomoplasmataceae        -          LKAP-GutHK_A12_096   -               64     923      72     927      51     927    1497    +    1.5e-169  561.6  23.1  -
Aquificaceae              -          LKAP-GutHK_A12_096   -               27     936      18     927       2     927    1485    +    9.8e-169  558.9  24.5  -
Fibrobacteraceae          -          LKAP-GutHK_A12_096   -               26     901      18     927       4     927    1412    +    1.2e-168  558.8  24.6  -
Thermotogaceae            -          LKAP-GutHK_A12_096   -               45     947      18     927       2     927    1545    +    1.3e-168  558.4  24.8  -
Kosmotogaceae             -          LKAP-GutHK_A12_096   -               35     925      18     927       2     927    1488    +      2e-167  554.7  24.7  -
Hydrogenothermaceae       -          LKAP-GutHK_A12_096   -               22     898      15     927       2     927    1447    +    8.7e-167  552.5  23.0  -
Magnetococcaceae          -          LKAP-GutHK_A12_096   -               48     907      19     927       2     927    1497    +    1.7e-166  551.3  23.7  -
Microscillaceae           -          LKAP-GutHK_A12_096   -               38     904      57     927      36     927    1461    +      4e-166  550.0  23.3  -
Bacteroidales             -          LKAP-GutHK_A12_096   -               77     941      58     927      28     927    1485    +    7.9e-165  545.5  23.3  -
Rhodothalassiaceae        -          LKAP-GutHK_A12_096   -                7     865       6     927       2     927    1318    +    1.5e-164  545.0  23.5  -
Rhodospirillales          -          LKAP-GutHK_A12_096   -               42     861      71     927      51     927    1413    +      2e-164  544.7  22.9  -
Thermosporotrichaceae     -          LKAP-GutHK_A12_096   -                7     830      72     927      65     927    1317    +      3e-164  544.1  23.8  -
Blastocatellaceae         -          LKAP-GutHK_A12_096   -               47     927      18     927       2     927    1485    +    3.9e-164  543.3  23.8  -
Bradymonadaceae           -          LKAP-GutHK_A12_096   -               62     918      66     927      42     927    1461    +    7.1e-164  542.4  23.9  -
Lentisphaeraceae          -          LKAP-GutHK_A12_096   -               35     909      19     926       3     927    1465    +    7.6e-164  542.7  24.0  -
Fervidobacteriaceae       -          LKAP-GutHK_A12_096   -               35     954      18     927       2     927    1514    +    3.6e-163  540.3  25.6  -
Sandaracinaceae           -          LKAP-GutHK_A12_096   -               51     928      70     927      49     927    1506    +    4.7e-163  540.0  23.7  -
Dictyoglomaceae           -          LKAP-GutHK_A12_096   -               97     949      72     927      39     927    1541    +      1e-162  538.7  23.0  -
Prevotellaceae            -          LKAP-GutHK_A12_096   -               28     929      18     927       5     927    1464    +    1.4e-162  538.1  24.2  -
Sphaerobacteraceae        -          LKAP-GutHK_A12_096   -               73     920      65     927      42     927    1531    +    2.5e-162  537.5  24.8  -
Temperatibacteraceae      -          LKAP-GutHK_A12_096   -               32     849      70     927      48     927    1362    +    1.4e-161  534.9  22.1  -
Marinifilaceae            -          LKAP-GutHK_A12_096   -               27     921      18     927       4     927    1450    +    2.6e-161  534.0  23.2  -
Gemmataceae               -          LKAP-GutHK_A12_096   -               79     899      73     926      40     927    1427    +    3.1e-161  533.9  22.3  -
Coriobacteriaceae         -          LKAP-GutHK_A12_096   -               35     907      15     926       2     927    1462    +    3.5e-161  534.2  24.3  -
Acanthopleuribacteraceae  -          LKAP-GutHK_A12_096   -               30     916      65     927      44     927    1453    +    1.4e-160  531.7  24.3  -
Roseiarcaceae             -          LKAP-GutHK_A12_096   -               71     887      71     927      51     927    1399    +    2.1e-160  531.1  22.4  -
Phaselicystidaceae        -          LKAP-GutHK_A12_096   -               78     955      69     927      48     927    1539    +    3.2e-159  527.3  24.1  -
Emcibacteraceae           -          LKAP-GutHK_A12_096   -               47     901      18     927       2     927    1460    +    9.9e-158  522.4  23.0  -
Odoribacteraceae          -          LKAP-GutHK_A12_096   -               47     940      18     927       4     927    1486    +    5.5e-157  519.7  24.4  -
Labilitrichaceae          -          LKAP-GutHK_A12_096   -               61     940      69     927      49     927    1483    +    1.1e-156  518.7  24.1  -
Vulgatibacteraceae        -          LKAP-GutHK_A12_096   -               60     939      69     927      49     927    1479    +    1.3e-156  518.5  24.0  -
Thermomicrobiaceae        -          LKAP-GutHK_A12_096   -               24     880      66     927      48     927    1273    +    1.9e-156  518.6  24.9  -
Hydrogenimonaceae         -          LKAP-GutHK_A12_096   -               28     920      18     927       2     927    1422    +    2.8e-156  517.5  24.2  -
Akkermansiaceae           -          LKAP-GutHK_A12_096   -               69     900      70     926      50     927    1441    +    3.8e-156  517.2  22.7  -
Fervidobacteraceae        -          LKAP-GutHK_A12_096   -               28     892      18     927       2     927    1480    +    5.7e-156  516.6  25.0  -
Anaeromyxobacteraceae     -          LKAP-GutHK_A12_096   -               81     960      69     927      47     927    1549    +    1.8e-155  514.8  23.9  -
Oligoflexaceae            -          LKAP-GutHK_A12_096   -               49     920      48     927       8     927    1458    +    5.7e-155  513.1  24.5  -
Isosphaeraceae            -          LKAP-GutHK_A12_096   -               68     915      71     926      50     927    1475    +    1.6e-154  511.7  23.1  -
Gracilibacteraceae        -          LKAP-GutHK_A12_096   -              202    1038      73     927      52     927    1549    +    2.2e-154  511.0  23.7  -
Acidothermaceae           -          LKAP-GutHK_A12_096   -               44     919      18     926       2     927    1509    +    5.9e-153  506.6  25.1  -
Christensenellaceae       -          LKAP-GutHK_A12_096   -               39     932      25     927       4     927    1497    +    1.4e-152  505.1  24.6  -
Syntrophorhabdaceae       -          LKAP-GutHK_A12_096   -               28     941      19     927       2     927    1482    +    1.4e-152  505.1  25.0  -
Egicoccaceae              -          LKAP-GutHK_A12_096   -               86     925      72     926      49     927    1512    +    1.9e-152  504.7  23.9  -
Nitriliruptoraceae        -          LKAP-GutHK_A12_096   -               71     914      68     926      28     927    1425    +    1.1e-151  502.2  24.0  -
Micropepsaceae            -          LKAP-GutHK_A12_096   -               72     890      72     927      51     927    1455    +    1.4e-151  501.9  22.5  -
Gaiellaceae               -          LKAP-GutHK_A12_096   -               50     951      21     927       2     927    1544    +    2.4e-150  497.6  24.7  -
Egibacteraceae            -          LKAP-GutHK_A12_096   -               50     927      21     926       2     927    1516    +    1.7e-149  495.2  24.7  -
Halanaerobiales           -          LKAP-GutHK_A12_096   -               32     958      19     927       2     927    1500    +    6.1e-149  493.1  24.9  -
Ignavibacteriaceae        -          LKAP-GutHK_A12_096   -               61     921      66     927      41     927    1461    +    7.7e-149  492.8  23.9  -
Longimicrobiaceae         -          LKAP-GutHK_A12_096   -                9     885      65     927      54     927    1413    +    1.9e-148  491.7  24.6  -
Gloeomargaritaceae        -          LKAP-GutHK_A12_096   -               73     893      70     926      48     927    1482    +    2.5e-148  491.2  22.1  -
Thermogemmatisporaceae    -          LKAP-GutHK_A12_096   -               61     911      72     927      52     927    1443    +    1.2e-147  488.9  24.8  -
Chloroflexaceae           -          LKAP-GutHK_A12_096   -               80     902      72     927      51     927    1473    +    2.2e-147  488.3  23.0  -
Caldisericaceae           -          LKAP-GutHK_A12_096   -               27     940      18     927       2     927    1481    +    4.3e-147  486.9  25.1  -
Euzebyaceae               -          LKAP-GutHK_A12_096   -               64     906      69     926      47     927    1476    +    6.4e-147  486.5  24.2  -
Victivallaceae            -          LKAP-GutHK_A12_096   -               69     905      69     926      45     927    1456    +    8.5e-147  486.0  22.9  -
Haloplasmataceae          -          LKAP-GutHK_A12_096   -               55     914      71     927      50     927    1345    +    2.2e-146  484.8  23.8  -
Acidimicrobiales          -          LKAP-GutHK_A12_096   -               39     913      32     926       7     927    1483    +    3.5e-146  484.2  23.8  -
Brachyspiraceae           -          LKAP-GutHK_A12_096   -               20     890      19     927       5     927    1441    +    7.5e-146  482.9  24.3  -
Xenococcaceae             -          LKAP-GutHK_A12_096   -               57     878      72     927      51     927    1418    +    2.7e-145  481.3  23.4  -
Melioribacteraceae        -          LKAP-GutHK_A12_096   -               91     946      72     927      48     927    1539    +    1.6e-144  478.4  23.4  -
Aquificales               -          LKAP-GutHK_A12_096   -               24     941      24     927       4     927    1450    +    2.4e-142  471.5  24.9  -
Armatimonadaceae          -          LKAP-GutHK_A12_096   -               63     897      73     926      52     927    1438    +    1.3e-141  468.9  22.8  -
Mooreiaceae               -          LKAP-GutHK_A12_096   -               10     905      13     927       4     927    1424    +      5e-141  467.0  24.9  -
Prochlorotrichaceae       -          LKAP-GutHK_A12_096   -               42     860      72     927      51     927    1448    +    7.8e-141  466.2  22.8  -
Ardenticatenia            -          LKAP-GutHK_A12_096   -               28     928      19     927       2     927    1453    +    4.4e-140  464.0  25.1  -
Herpetosiphonaceae        -          LKAP-GutHK_A12_096   -               75     903      72     927      51     927    1475    +      5e-140  463.5  22.8  -
Kiritimatiellaceae        -          LKAP-GutHK_A12_096   -               47     972      18     926       2     927    1556    +    1.2e-139  462.4  24.9  -
Catalimonadaceae          -          LKAP-GutHK_A12_096   -               13     904      16     927       3     927    1425    +    2.9e-138  457.8  24.8  -
Trueperaceae              -          LKAP-GutHK_A12_096   -               60     884      73     927      51     927    1461    +    3.9e-138  457.3  22.2  -
Elusimicrobiaceae         -          LKAP-GutHK_A12_096   -               52     891      70     927      48     927    1395    +    8.2e-138  456.2  23.0  -
Blastocatellales          -          LKAP-GutHK_A12_096   -               47     904      22     927       2     927    1488    +      8e-137  453.0  23.6  -
Thermonemataceae          -          LKAP-GutHK_A12_096   -               18     914      18     927       4     927    1465    +    7.2e-136  450.0  25.0  -
Brevinemataceae           -          LKAP-GutHK_A12_096   -               82     933      62     926      41     927    1490    +    7.5e-136  449.8  23.8  -
Lentimicrobiaceae         -          LKAP-GutHK_A12_096   -               28     919      19     927       2     927    1446    +    9.2e-136  449.4  25.5  -
Verrucomicrobiales        -          LKAP-GutHK_A12_096   -               15     914      48     926      35     927    1410    +    1.4e-135  449.2  24.5  -
Mzabimycetaceae           -          LKAP-GutHK_A12_096   -               12     846      70     926      52     927    1357    +    2.5e-135  448.1  24.1  -
Chitinivibrionaceae       -          LKAP-GutHK_A12_096   -               42     937      29     925       7     927    1488    +      9e-135  446.2  23.6  -
Thermoflexaceae           -          LKAP-GutHK_A12_096   -               11     909      15     927       3     927    1466    +    1.9e-134  445.5  24.8  -
Spirochaetales            -          LKAP-GutHK_A12_096   -               34     914      24     927       5     927    1456    +    2.1e-133  441.6  23.8  -
Spartobacteria            -          LKAP-GutHK_A12_096   -               25     909      18     926       2     927    1418    +    2.5e-132  438.2  25.0  -
Ktedonobacteraceae        -          LKAP-GutHK_A12_096   -               54     877      72     927      52     927    1386    +    8.6e-132  436.6  23.3  -
Soortiaceae               -          LKAP-GutHK_A12_096   -               68     953      42     926      21     927    1516    +    1.7e-131  435.4  24.1  -
Oligosphaeraceae          -          LKAP-GutHK_A12_096   -               47     894      48     925      27     927    1434    +      2e-131  435.1  22.5  -
Filobacteriaceae          -          LKAP-GutHK_A12_096   -               79     939      61     927      38     927    1521    +    3.3e-131  434.3  23.5  -
Simkaniaceae              -          LKAP-GutHK_A12_096   -               84     958      73     927      51     927    1545    +    5.3e-131  433.8  23.5  -
Schleiferiaceae           -          LKAP-GutHK_A12_096   -               83     938      71     927      40     927    1499    +    5.3e-130  430.7  24.0  -
Fimbriimonadaceae         -          LKAP-GutHK_A12_096   -               63     897      73     926      52     927    1443    +    2.3e-129  428.3  22.6  -
Chthonomonadaceae         -          LKAP-GutHK_A12_096   -               36     888      68     926      48     927    1411    +    4.3e-128  424.3  24.5  -
Roseiflexaceae            -          LKAP-GutHK_A12_096   -               78     903      71     927      47     927    1469    +    9.4e-128  423.4  23.0  -
Ichthyobacteriaceae       -          LKAP-GutHK_A12_096   -               79     944      62     927      38     927    1521    +    1.9e-127  422.0  23.7  -
Waddliaceae               -          LKAP-GutHK_A12_096   -               91     969      73     927      52     927    1557    +    3.8e-127  421.1  23.7  -
Balneicellaceae           -          LKAP-GutHK_A12_096   -               70     931      63     927      41     927    1505    +    1.2e-122  406.1  23.1  -
Phycisphaeraceae          -          LKAP-GutHK_A12_096   -               56     894      65     926      29     927    1461    +    3.5e-120  398.2  22.9  -
Tepidisphaeraceae         -          LKAP-GutHK_A12_096   -               77     910      72     927      51     927    1491    +    2.7e-116  385.3  22.6  -
Chloroflexales            -          LKAP-GutHK_A12_096   -               55     888      73     927      52     927    1355    +    1.8e-115  382.9  24.3  -
Methanocaldococcaceae     -          LKAP-GutHK_A12_096   -               80     904      72     927      47     927    1429    +     5.7e-91  301.5  21.7  -
Methanobacteriaceae       -          LKAP-GutHK_A12_096   -               51     876      72     927      49     927    1403    +     8.9e-88  290.4  21.7  -
Methanococcaceae          -          LKAP-GutHK_A12_096   -               69     887      75     927      55     927    1410    +     1.5e-86  286.5  21.8  -
Sulfolobaceae             -          LKAP-GutHK_A12_096   -               67     903      73     925      52     927    1464    +       5e-83  274.6  22.4  -
Methanoregulaceae         -          LKAP-GutHK_A12_096   -               55     871      75     927      55     927    1413    +     2.3e-81  269.1  22.1  -
Archaeoglobaceae          -          LKAP-GutHK_A12_096   -               72     895      74     927      52     927    1451    +     1.6e-79  263.2  22.8  -
Methanothermaceae         -          LKAP-GutHK_A12_096   -               77     903      74     927      54     927    1482    +     9.3e-79  260.9  22.0  -
Desulfurococcaceae        -          LKAP-GutHK_A12_096   -               70     914      68     926      48     927    1460    +     1.4e-78  260.2  23.5  -
Methanomicrobiaceae       -          LKAP-GutHK_A12_096   -               59     874      75     926      55     927    1420    +     3.6e-78  258.7  22.5  -
Thermococcaceae           -          LKAP-GutHK_A12_096   -               60     892      67     927      46     927    1448    +     7.6e-77  254.5  22.8  -
Thermoproteaceae          -          LKAP-GutHK_A12_096   -               61     902      72     926      51     927    1471    +       2e-75  248.1  23.4  -
Acidilobaceae             -          LKAP-GutHK_A12_096   -               77     917      72     926      58     927    1451    +     1.7e-74  246.5  23.4  -
Pyrodictiaceae            -          LKAP-GutHK_A12_096   -               80     917      72     926      52     927    1497    +     2.8e-74  245.9  24.5  -
Methanomicrobiales        -          LKAP-GutHK_A12_096   -               70     885      76     927      56     927    1425    +     4.4e-71  235.0  22.9  -
Thermofilaceae            -          LKAP-GutHK_A12_096   -               95     932      75     927      55     927    1513    +       1e-69  230.7  23.6  -
Halobacteriaceae          -          LKAP-GutHK_A12_096   -               76     900      74     927      54     927    1474    +     2.1e-69  229.4  22.6  -
Nostocaceae               -          LKAP-GutHK_A12_096   -                4     551     365     927     362     927    1476    +     8.2e-69  228.0  14.4  -
Methanospirillaceae       -          LKAP-GutHK_A12_096   -               27     843      75     927      55     927    1378    +     5.1e-68  224.8  22.1  -
Methanopyraceae           -          LKAP-GutHK_A12_096   -               77     932      66     926      43     927    1512    +     3.9e-67  222.7  23.5  -
Natrialbaceae             -          LKAP-GutHK_A12_096   -              104     900     101     927      81     927    1474    +     1.3e-66  220.0  19.9  -
Haloarculaceae            -          LKAP-GutHK_A12_096   -               78     899      76     927      56     927    1473    +     2.9e-66  219.0  22.2  -
Caldisphaeraceae          -          LKAP-GutHK_A12_096   -               64     903      74     926      54     927    1466    +     8.3e-64  211.6  22.4  -
Methanocorpusculaceae     -          LKAP-GutHK_A12_096   -               72     886      76     926      56     927    1421    +     2.9e-62  205.7  21.8  -
Haloferacaceae            -          LKAP-GutHK_A12_096   -               78     900      76     927      56     927    1474    +     4.7e-62  204.7  21.7  -
Methanotrichaceae         -          LKAP-GutHK_A12_096   -               75     896      76     927      56     927    1423    +     5.7e-61  201.4  21.7  -
Ferroplasmaceae           -          LKAP-GutHK_A12_096   -               77     881      76     914      55     927    1442    +     1.7e-60  200.1  19.5  -
Nitrososphaeraceae        -          LKAP-GutHK_A12_096   -               66     891      67     926      46     927    1470    +     2.9e-60  199.6  21.9  -
Thermoplasmataceae        -          LKAP-GutHK_A12_096   -               75     898      73     927      53     927    1471    +     6.3e-60  198.3  21.1  -
