# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          A0517_LKAP-FHGF1_B01_013 -               23     951       5     927       1     939    1474    +           0 1057.4  15.7  -
Tsukamurellaceae          -          A0517_LKAP-FHGF1_B01_013 -               43     938       6     929       2     940    1495    +    1.6e-173  574.7  15.8  -
Leuconostocaceae          -          A0517_LKAP-FHGF1_B01_013 -               20     956       6     928       2     940    1479    +    1.7e-173  574.6  15.3  -
Woeseiaceae               -          A0517_LKAP-FHGF1_B01_013 -               32     959       5     936       1     940    1476    +    3.6e-173  573.2  15.1  -
Natranaerobiaceae         -          A0517_LKAP-FHGF1_B01_013 -                5     915       8     927       3     939    1429    +    4.3e-173  573.1  16.1  -
Nocardioidaceae           -          A0517_LKAP-FHGF1_B01_013 -               24     918       6     926       2     939    1455    +    4.4e-173  573.2  16.1  -
Enterococcaceae           -          A0517_LKAP-FHGF1_B01_013 -               24     958       6     926       2     937    1498    +    4.5e-173  573.2  15.8  -
Kineosporiaceae           -          A0517_LKAP-FHGF1_B01_013 -               32     923       6     926       2     939    1463    +    4.9e-173  573.1  16.1  -
Geodermatophilaceae       -          A0517_LKAP-FHGF1_B01_013 -               37     935       6     929       2     940    1479    +    5.7e-173  572.8  15.7  -
Mycobacteriaceae          -          A0517_LKAP-FHGF1_B01_013 -               29     928       6     929       2     940    1471    +      6e-173  572.6  15.9  -
Caldicoprobacteraceae     -          A0517_LKAP-FHGF1_B01_013 -               37     952       4     929       1     940    1530    +    7.4e-173  572.3  16.0  -
Desulfurellaceae          -          A0517_LKAP-FHGF1_B01_013 -               30     970       6     937       2     940    1529    +    8.2e-173  572.0  15.2  -
Sporomusaceae             -          A0517_LKAP-FHGF1_B01_013 -               43     970       6     926       2     937    1535    +    9.9e-173  571.7  15.6  -
Thermodesulfobiaceae      -          A0517_LKAP-FHGF1_B01_013 -               38     951       5     937       2     940    1520    +    1.4e-172  571.5  15.3  -
Frankiaceae               -          A0517_LKAP-FHGF1_B01_013 -               45     932       6     929       2     940    1499    +    3.2e-172  570.5  15.5  -
Caldilineaceae            -          A0517_LKAP-FHGF1_B01_013 -               28     930       4     935       1     940    1434    +    4.1e-172  569.9  16.1  -
Corynebacterineae         -          A0517_LKAP-FHGF1_B01_013 -               24     919       6     930       2     940    1473    +    7.4e-172  569.1  15.5  -
Thermaceae                -          A0517_LKAP-FHGF1_B01_013 -               34     921       6     926       2     934    1477    +    6.4e-171  566.1  16.8  -
Segniliparaceae           -          A0517_LKAP-FHGF1_B01_013 -               26     920       5     929       1     940    1462    +    9.1e-171  565.6  15.7  -
Anaerolineaceae           -          A0517_LKAP-FHGF1_B01_013 -               24     924       6     934       2     940    1430    +    1.4e-170  565.4  15.6  -
Halobacteroidaceae        -          A0517_LKAP-FHGF1_B01_013 -               32     941       6     926       2     932    1478    +    1.5e-170  564.5  15.6  -
Jiangellaceae             -          A0517_LKAP-FHGF1_B01_013 -               29     923       5     927       2     939    1497    +    2.3e-170  564.1  15.8  -
Puniceicoccaceae          -          A0517_LKAP-FHGF1_B01_013 -               34     954       6     926       2     939    1485    +    4.4e-170  563.2  15.4  -
Chrysiogenaceae           -          A0517_LKAP-FHGF1_B01_013 -               39     938       2     926       1     938    1513    +    5.5e-170  562.9  15.4  -
Demequinaceae             -          A0517_LKAP-FHGF1_B01_013 -               24     921       6     927       2     939    1478    +    1.3e-169  561.6  15.9  -
Balneolaceae              -          A0517_LKAP-FHGF1_B01_013 -               24     934       6     926       2     934    1459    +      3e-169  560.4  16.0  -
Cytophagaceae             -          A0517_LKAP-FHGF1_B01_013 -               26     925       6     927       2     931    1437    +    3.5e-169  560.2  16.1  -
Cellulomonadaceae         -          A0517_LKAP-FHGF1_B01_013 -               28     925       6     926       2     939    1465    +    6.2e-169  559.5  15.9  -
Peptoniphilaceae          -          A0517_LKAP-FHGF1_B01_013 -               62     902      55     927      33     939    1437    +    6.9e-169  559.5  15.5  -
Chroococcales             -          A0517_LKAP-FHGF1_B01_013 -               67     902      52     927      24     939    1445    +    7.1e-169  559.1  15.2  -
Bernardetiaceae           -          A0517_LKAP-FHGF1_B01_013 -               24     933       6     927       2     933    1481    +    1.1e-168  558.6  16.1  -
Sterolibacteriaceae       -          A0517_LKAP-FHGF1_B01_013 -               38     968       5     936       2     940    1531    +    1.1e-168  558.5  15.2  -
Dermacoccaceae            -          A0517_LKAP-FHGF1_B01_013 -               21     918       6     926       2     939    1456    +    1.2e-168  558.3  16.1  -
Porphyromonadaceae        -          A0517_LKAP-FHGF1_B01_013 -               31     944       5     926       2     932    1473    +    3.5e-168  556.9  16.3  -
Promicromonosporaceae     -          A0517_LKAP-FHGF1_B01_013 -               24     917       6     926       2     939    1462    +    4.7e-168  556.5  16.3  -
Catenulisporaceae         -          A0517_LKAP-FHGF1_B01_013 -               24     918       6     929       2     940    1460    +    6.9e-168  555.9  15.5  -
Thermomonosporaceae       -          A0517_LKAP-FHGF1_B01_013 -               24     916       6     926       2     938    1464    +    2.2e-167  554.2  16.2  -
Dietziaceae               -          A0517_LKAP-FHGF1_B01_013 -               15     906       6     927       2     939    1452    +    2.3e-167  554.2  16.0  -
Thermodesulfobacteriaceae -          A0517_LKAP-FHGF1_B01_013 -               22     949       5     926       1     932    1497    +      4e-167  553.6  16.1  -
Symbiobacteriaceae        -          A0517_LKAP-FHGF1_B01_013 -               16     946       4     926       1     934    1468    +      5e-167  553.4  16.3  -
Hymenobacteraceae         -          A0517_LKAP-FHGF1_B01_013 -               23     922       5     927       2     933    1445    +    5.8e-167  552.9  15.9  -
Cryptosporangiaceae       -          A0517_LKAP-FHGF1_B01_013 -               24     916       6     929       2     940    1470    +      7e-167  552.6  15.5  -
Desulfurobacteriaceae     -          A0517_LKAP-FHGF1_B01_013 -               23     973       5     936       1     940    1497    +    7.9e-167  552.8  15.1  -
Planctomycetaceae         -          A0517_LKAP-FHGF1_B01_013 -               37     934       9     926       3     939    1486    +    1.1e-166  552.2  15.8  -
Dermatophilaceae          -          A0517_LKAP-FHGF1_B01_013 -               29     923       6     926       2     939    1480    +    1.3e-166  551.7  16.0  -
Acidobacteriaceae         -          A0517_LKAP-FHGF1_B01_013 -               43     918       5     926       2     939    1462    +    1.5e-166  551.5  15.0  -
Sanguibacteraceae         -          A0517_LKAP-FHGF1_B01_013 -               41     938       6     927       2     939    1483    +    7.6e-166  549.1  15.9  -
Bogoriellaceae            -          A0517_LKAP-FHGF1_B01_013 -               24     926       6     927       2     939    1470    +    1.2e-165  548.5  15.9  -
Frankiales                -          A0517_LKAP-FHGF1_B01_013 -               31     923       6     926       2     939    1425    +    1.3e-165  548.5  16.3  -
Sporichthyaceae           -          A0517_LKAP-FHGF1_B01_013 -               23     915       5     926       2     939    1472    +    2.2e-165  547.7  16.2  -
Stigonematales            -          A0517_LKAP-FHGF1_B01_013 -               44     912       6     929       2     940    1450    +    3.7e-165  547.0  14.7  -
Persicobacteraceae        -          A0517_LKAP-FHGF1_B01_013 -               24     931       6     927       2     933    1448    +    5.9e-165  546.3  16.5  -
Glycomycetaceae           -          A0517_LKAP-FHGF1_B01_013 -               31     935       6     926       2     939    1495    +    1.4e-164  545.1  16.2  -
Dermabacteraceae          -          A0517_LKAP-FHGF1_B01_013 -               33     930       6     927       2     939    1470    +    1.5e-164  544.6  15.9  -
Lysobacteriales           -          A0517_LKAP-FHGF1_B01_013 -               51     974       5     936       1     940    1508    +    7.2e-164  542.7  15.2  -
Actinomycetales           -          A0517_LKAP-FHGF1_B01_013 -               44     956       6     929       2     940    1535    +    7.6e-164  542.5  16.3  -
Gallionellaceae           -          A0517_LKAP-FHGF1_B01_013 -               40     962       5     936       2     940    1385    +      8e-164  542.5  14.6  -
Rikenellaceae             -          A0517_LKAP-FHGF1_B01_013 -               32     944       6     926       2     932    1456    +    1.2e-163  541.8  16.1  -
Spiroplasmataceae         -          A0517_LKAP-FHGF1_B01_013 -               48     948       7     927       2     939    1516    +    3.1e-163  540.8  14.9  -
Defluviitaleaceae         -          A0517_LKAP-FHGF1_B01_013 -               16     909       8     926       2     939    1413    +    3.6e-163  540.4  16.1  -
Streptosporangiaceae      -          A0517_LKAP-FHGF1_B01_013 -               24     912       6     926       2     939    1464    +    4.2e-163  539.9  16.0  -
Nostocales                -          A0517_LKAP-FHGF1_B01_013 -               24     888       6     929       2     940    1457    +    4.2e-163  540.2  14.7  -
Opitutaceae               -          A0517_LKAP-FHGF1_B01_013 -               26     961       8     929       2     940    1482    +    4.8e-163  539.8  15.5  -
Beutenbergiaceae          -          A0517_LKAP-FHGF1_B01_013 -               23     923       5     929       2     940    1472    +    9.4e-163  538.9  15.5  -
Rubricoccaceae            -          A0517_LKAP-FHGF1_B01_013 -               29     942       6     929       2     940    1452    +      2e-162  537.8  14.9  -
Rubritaleaceae            -          A0517_LKAP-FHGF1_B01_013 -               33     944       8     929       2     940    1459    +      2e-162  537.7  14.7  -
Micrococcales             -          A0517_LKAP-FHGF1_B01_013 -               24     921       6     929       2     940    1475    +    2.7e-162  537.5  15.6  -
Gemmatimonadaceae         -          A0517_LKAP-FHGF1_B01_013 -               79     941      55     926      34     939    1525    +    4.7e-162  536.6  15.5  -
Anaeroplasmataceae        -          A0517_LKAP-FHGF1_B01_013 -               51     939       6     929       2     940    1453    +    9.9e-162  535.6  14.5  -
Bryobacteraceae           -          A0517_LKAP-FHGF1_B01_013 -               43     916       6     926       2     939    1417    +    1.6e-161  534.9  15.7  -
Crocinitomicaceae         -          A0517_LKAP-FHGF1_B01_013 -               24     938       5     927       1     933    1466    +    1.6e-161  534.6  15.9  -
Phormidiaceae             -          A0517_LKAP-FHGF1_B01_013 -               44     911       6     929       2     940    1483    +      2e-161  534.8  15.4  -
Actinopolysporaceae       -          A0517_LKAP-FHGF1_B01_013 -               24     936       5     927       2     939    1480    +    4.6e-161  533.3  16.6  -
Prolixibacteraceae        -          A0517_LKAP-FHGF1_B01_013 -               22     930       5     927       1     933    1444    +      5e-161  533.1  16.3  -
Jonesiaceae               -          A0517_LKAP-FHGF1_B01_013 -               44     958       7     927       2     939    1514    +    7.8e-161  532.7  15.7  -
Betaproteobacteria        -          A0517_LKAP-FHGF1_B01_013 -               45     924      53     936      13     940    1454    +    8.9e-161  532.4  14.6  -
Pyrinomonadaceae          -          A0517_LKAP-FHGF1_B01_013 -               46     977       8     926       2     939    1526    +      1e-160  531.9  15.7  -
Pseudobacteriovoracaceae  -          A0517_LKAP-FHGF1_B01_013 -               13     908      31     926      13     938    1466    +    1.8e-160  531.2  15.7  -
Leptotrichiaceae          -          A0517_LKAP-FHGF1_B01_013 -               44     936       6     926       3     930    1492    +    1.8e-160  531.2  15.6  -
Ruaniaceae                -          A0517_LKAP-FHGF1_B01_013 -               48     955       6     929       2     940    1531    +      2e-160  531.0  15.7  -
Mariprofundaceae          -          A0517_LKAP-FHGF1_B01_013 -               44     963       6     934       2     940    1528    +    2.4e-160  530.7  14.8  -
Nocardiopsaceae           -          A0517_LKAP-FHGF1_B01_013 -               24     929       6     926       2     938    1475    +    2.8e-160  530.8  15.8  -
Atopobacteriaceae         -          A0517_LKAP-FHGF1_B01_013 -               28     919       6     924       2     936    1442    +    3.3e-160  530.7  16.5  -
Bifidobacteriaceae        -          A0517_LKAP-FHGF1_B01_013 -               38     937       6     926       2     939    1469    +    5.2e-160  529.9  16.5  -
Iamiaceae                 -          A0517_LKAP-FHGF1_B01_013 -               74     923      54     925      29     937    1480    +      6e-160  529.9  15.3  -
Chitinophagaceae          -          A0517_LKAP-FHGF1_B01_013 -               24     935       5     927       2     932    1458    +    1.4e-159  528.7  16.1  -
Parachlamydiaceae         -          A0517_LKAP-FHGF1_B01_013 -               73     959      55     929      35     940    1529    +    2.3e-159  527.8  14.7  -
Streptosporangineae       -          A0517_LKAP-FHGF1_B01_013 -                3     888       7     926       5     939    1443    +    2.7e-159  527.4  16.5  -
Kofleriaceae              -          A0517_LKAP-FHGF1_B01_013 -               40     971       6     927       2     938    1498    +    3.9e-159  527.0  15.7  -
Dehalococcoidaceae        -          A0517_LKAP-FHGF1_B01_013 -               59     916      54     936      31     940    1437    +    6.4e-159  526.6  14.6  -
Marinilabiliaceae         -          A0517_LKAP-FHGF1_B01_013 -               23     933       5     927       2     933    1447    +    2.1e-158  524.3  16.2  -
Lewinellaceae             -          A0517_LKAP-FHGF1_B01_013 -               24     929       6     927       2     934    1446    +    4.3e-158  523.5  16.2  -
Prochlorococcaceae        -          A0517_LKAP-FHGF1_B01_013 -               31     894       6     930       2     940    1465    +      5e-158  523.3  15.2  -
Iodidimonadaceae          -          A0517_LKAP-FHGF1_B01_013 -               31     904       6     926       2     938    1437    +    1.4e-157  521.7  15.3  -
Rarobacteraceae           -          A0517_LKAP-FHGF1_B01_013 -               13     909       6     929       2     940    1464    +    5.3e-157  519.7  15.6  -
Thermotogaceae            -          A0517_LKAP-FHGF1_B01_013 -               42     960       6     927       2     939    1545    +    1.5e-156  518.4  15.7  -
Chlamydiaceae             -          A0517_LKAP-FHGF1_B01_013 -               81     973      47     927      18     938    1548    +    1.8e-156  517.9  15.6  -
Cryomorphaceae            -          A0517_LKAP-FHGF1_B01_013 -               28     940       5     927       1     933    1454    +    1.9e-156  518.1  15.6  -
Mesoaciditogaceae         -          A0517_LKAP-FHGF1_B01_013 -               29     954       4     926       1     939    1522    +    2.2e-156  517.8  15.9  -
Haliscomenobacteraceae    -          A0517_LKAP-FHGF1_B01_013 -               44     952       6     927       2     933    1485    +    2.8e-156  517.9  16.2  -
Actinospicaceae           -          A0517_LKAP-FHGF1_B01_013 -               27     896      40     929      15     940    1425    +    4.2e-156  516.8  16.1  -
Eggerthellaceae           -          A0517_LKAP-FHGF1_B01_013 -               31     914       6     923       1     934    1449    +    7.6e-156  516.2  16.3  -
Cyclobacteriaceae         -          A0517_LKAP-FHGF1_B01_013 -               23     932       5     927       2     933    1447    +    7.9e-156  516.0  16.3  -
Oscillospiraceae          -          A0517_LKAP-FHGF1_B01_013 -               25     931       7     926       2     939    1453    +    1.7e-155  514.5  15.7  -
Chlorobiaceae             -          A0517_LKAP-FHGF1_B01_013 -               65     944      40     929      19     940    1455    +    4.8e-155  513.4  15.5  -
Acholeplasmataceae        -          A0517_LKAP-FHGF1_B01_013 -               16     931       6     938       2     940    1437    +      2e-154  511.1  14.8  -
Sphingobacteriaceae       -          A0517_LKAP-FHGF1_B01_013 -               23     930       5     926       1     932    1450    +      3e-154  510.7  15.9  -
Aquificaceae              -          A0517_LKAP-FHGF1_B01_013 -               23     950       5     928       1     940    1485    +    5.2e-154  510.1  15.6  -
Deinococcaceae            -          A0517_LKAP-FHGF1_B01_013 -               42     915      37     927      16     939    1455    +    9.3e-154  509.0  15.9  -
Magnetococcaceae          -          A0517_LKAP-FHGF1_B01_013 -               44     929       6     936       2     940    1497    +    1.8e-153  508.3  15.7  -
Cytophagales              -          A0517_LKAP-FHGF1_B01_013 -               26     930       8     927       2     933    1444    +      4e-153  507.0  16.2  -
Saprospiraceae            -          A0517_LKAP-FHGF1_B01_013 -               35     942       6     927       2     933    1430    +    6.5e-153  506.8  15.8  -
Petrotogaceae             -          A0517_LKAP-FHGF1_B01_013 -               39     936       6     927       2     936    1488    +    1.1e-152  505.9  15.8  -
Rhodospirillales          -          A0517_LKAP-FHGF1_B01_013 -               26     873      37     926      17     938    1413    +    1.3e-151  502.3  15.9  -
Entomoplasmataceae        -          A0517_LKAP-FHGF1_B01_013 -               31     938       6     929       2     940    1497    +    5.3e-151  500.1  14.5  -
Kosmotogaceae             -          A0517_LKAP-FHGF1_B01_013 -               32     938       6     927       2     932    1488    +    2.3e-150  498.1  16.1  -
Hydrogenothermaceae       -          A0517_LKAP-FHGF1_B01_013 -               21     911       4     927       1     939    1447    +    2.8e-150  497.8  15.2  -
Bradymonadaceae           -          A0517_LKAP-FHGF1_B01_013 -               63     937      49     933      11     940    1461    +    3.6e-150  497.0  15.8  -
Rhodothalassiaceae        -          A0517_LKAP-FHGF1_B01_013 -               19     877       6     926       2     938    1318    +    5.4e-150  496.8  16.0  -
Sandaracinaceae           -          A0517_LKAP-FHGF1_B01_013 -               13     940       6     926       2     938    1506    +    5.9e-150  496.6  15.4  -
Dictyoglomaceae           -          A0517_LKAP-FHGF1_B01_013 -               49     962       9     927       2     939    1541    +    9.4e-150  495.8  15.9  -
Fibrobacteraceae          -          A0517_LKAP-FHGF1_B01_013 -               21     912       4     925       2     930    1412    +    1.7e-148  492.0  16.6  -
Bacteroidales             -          A0517_LKAP-FHGF1_B01_013 -               46     953       6     926       1     931    1485    +    1.8e-148  491.3  15.9  -
Marinifilaceae            -          A0517_LKAP-FHGF1_B01_013 -               21     934       4     927       1     934    1450    +    3.7e-147  487.2  15.5  -
Odoribacteraceae          -          A0517_LKAP-FHGF1_B01_013 -               43     953       5     927       2     933    1486    +    4.1e-147  487.0  16.2  -
Oligoflexaceae            -          A0517_LKAP-FHGF1_B01_013 -               52     932      45     926      20     938    1458    +    5.3e-147  486.8  15.7  -
Acanthopleuribacteraceae  -          A0517_LKAP-FHGF1_B01_013 -               30     928      47     926      34     938    1453    +    7.2e-147  486.3  15.6  -
Thermosporotrichaceae     -          A0517_LKAP-FHGF1_B01_013 -                6     846      53     930      48     940    1317    +    1.7e-146  485.2  15.6  -
Prevotellaceae            -          A0517_LKAP-FHGF1_B01_013 -               25     942       6     927       2     932    1464    +    2.6e-146  484.2  16.2  -
Phaselicystidaceae        -          A0517_LKAP-FHGF1_B01_013 -               43     968       6     927       2     938    1539    +    2.7e-146  484.5  15.5  -
Anaeromyxobacteraceae     -          A0517_LKAP-FHGF1_B01_013 -               44     972       6     926       2     938    1549    +    4.3e-146  483.8  15.7  -
Microscillaceae           -          A0517_LKAP-FHGF1_B01_013 -               24     917       6     927       2     934    1461    +    4.6e-146  483.5  15.3  -
Coriobacteriaceae         -          A0517_LKAP-FHGF1_B01_013 -               35     919       5     925       2     938    1462    +    6.9e-146  483.5  16.2  -
Temperatibacteraceae      -          A0517_LKAP-FHGF1_B01_013 -               34     861      54     926      33     938    1362    +    7.3e-146  483.0  15.0  -
Roseiarcaceae             -          A0517_LKAP-FHGF1_B01_013 -               61     899      43     926      20     938    1399    +      8e-146  482.8  16.0  -
Gemmataceae               -          A0517_LKAP-FHGF1_B01_013 -               79     916      55     930      34     940    1427    +    8.4e-146  482.8  14.0  -
Emcibacteraceae           -          A0517_LKAP-FHGF1_B01_013 -               44     920       6     933       2     940    1460    +    2.1e-145  481.6  14.8  -
Sphaerobacteraceae        -          A0517_LKAP-FHGF1_B01_013 -               84     932      56     926      33     931    1531    +    2.2e-145  481.4  16.8  -
Labilitrichaceae          -          A0517_LKAP-FHGF1_B01_013 -               64     960      54     934      30     940    1483    +    7.1e-145  479.6  14.8  -
Thermomicrobiaceae        -          A0517_LKAP-FHGF1_B01_013 -               16     892      40     926      20     935    1273    +    2.1e-144  478.8  17.1  -
Fervidobacteriaceae       -          A0517_LKAP-FHGF1_B01_013 -               30     965       4     925       2     937    1514    +    2.3e-144  477.9  16.3  -
Gaiellaceae               -          A0517_LKAP-FHGF1_B01_013 -               44     971       6     934       2     940    1544    +    7.4e-144  476.2  15.2  -
Lentisphaeraceae          -          A0517_LKAP-FHGF1_B01_013 -               52     920      31     924      11     938    1465    +    2.8e-143  474.6  16.1  -
Akkermansiaceae           -          A0517_LKAP-FHGF1_B01_013 -               26     916       8     929       4     940    1441    +    4.8e-143  473.9  14.9  -
Syntrophorhabdaceae       -          A0517_LKAP-FHGF1_B01_013 -               23     962       5     935       2     940    1482    +    1.8e-142  471.7  14.8  -
Vulgatibacteraceae        -          A0517_LKAP-FHGF1_B01_013 -               60     951      51     926      30     938    1479    +    8.4e-142  469.6  15.4  -
Blastocatellaceae         -          A0517_LKAP-FHGF1_B01_013 -               46     939       8     926       2     939    1485    +      3e-141  467.5  15.4  -
Egicoccaceae              -          A0517_LKAP-FHGF1_B01_013 -               44     942       6     930       3     940    1512    +    5.6e-141  466.8  15.4  -
Gracilibacteraceae        -          A0517_LKAP-FHGF1_B01_013 -              202    1057      55     933      35     940    1549    +    2.1e-140  464.8  14.9  -
Hydrogenimonaceae         -          A0517_LKAP-FHGF1_B01_013 -               25     939       6     933       2     940    1422    +    2.3e-140  464.8  15.6  -
Christensenellaceae       -          A0517_LKAP-FHGF1_B01_013 -               92     951      51     933      30     940    1497    +    2.8e-140  464.4  15.1  -
Nitriliruptoraceae        -          A0517_LKAP-FHGF1_B01_013 -               34     931       7     930       3     940    1425    +    1.7e-139  461.9  15.4  -
Acidothermaceae           -          A0517_LKAP-FHGF1_B01_013 -               41     941       6     935       2     940    1509    +    2.7e-139  461.4  15.3  -
Fervidobacteraceae        -          A0517_LKAP-FHGF1_B01_013 -               24     897       5     918       2     932    1480    +    1.4e-138  458.9  16.4  -
Micropepsaceae            -          A0517_LKAP-FHGF1_B01_013 -               70     902      52     926      30     938    1455    +    7.6e-138  456.4  15.5  -
Egibacteraceae            -          A0517_LKAP-FHGF1_B01_013 -               44     949       6     935       2     940    1516    +    2.2e-136  451.8  15.3  -
Isosphaeraceae            -          A0517_LKAP-FHGF1_B01_013 -               65     932      50     930      29     940    1475    +    2.4e-136  451.5  15.1  -
Euzebyaceae               -          A0517_LKAP-FHGF1_B01_013 -               23     923       5     930       2     940    1476    +    9.4e-136  449.6  15.7  -
Halanaerobiales           -          A0517_LKAP-FHGF1_B01_013 -               89     976      54     932      32     940    1500    +    2.1e-135  448.3  14.7  -
Haloplasmataceae          -          A0517_LKAP-FHGF1_B01_013 -               27     933       8     933       2     940    1345    +    6.8e-135  446.8  14.8  -
Longimicrobiaceae         -          A0517_LKAP-FHGF1_B01_013 -                7     904      45     933      39     940    1413    +    1.4e-134  445.8  15.2  -
Caldisericaceae           -          A0517_LKAP-FHGF1_B01_013 -               22     964       4     938       2     940    1481    +    6.4e-134  443.3  14.8  -
Victivallaceae            -          A0517_LKAP-FHGF1_B01_013 -               61     922      43     930      23     940    1456    +    5.3e-133  440.4  15.1  -
Aquificales               -          A0517_LKAP-FHGF1_B01_013 -               13     956       5     929       1     939    1450    +    1.2e-132  439.3  15.5  -
Xenococcaceae             -          A0517_LKAP-FHGF1_B01_013 -               24     900       6     936       2     940    1418    +    1.4e-132  439.3  14.4  -
Chloroflexaceae           -          A0517_LKAP-FHGF1_B01_013 -               80     922      54     934      32     940    1473    +    1.6e-132  439.1  14.9  -
Acidimicrobiales          -          A0517_LKAP-FHGF1_B01_013 -               73     929      51     929      30     940    1483    +    2.7e-132  438.3  15.5  -
Thermogemmatisporaceae    -          A0517_LKAP-FHGF1_B01_013 -               54     926      47     929      22     940    1443    +      3e-132  437.9  16.0  -
Ignavibacteriaceae        -          A0517_LKAP-FHGF1_B01_013 -               64     943      51     936      21     940    1461    +      3e-131  434.6  14.1  -
Gloeomargaritaceae        -          A0517_LKAP-FHGF1_B01_013 -               74     915      53     935      32     940    1482    +    5.3e-131  433.9  14.1  -
Ardenticatenia            -          A0517_LKAP-FHGF1_B01_013 -               23     950       5     936       2     940    1453    +    4.5e-130  430.9  15.8  -
Brachyspiraceae           -          A0517_LKAP-FHGF1_B01_013 -               19     910       9     934       2     940    1441    +    1.2e-129  429.2  15.4  -
Prochlorotrichaceae       -          A0517_LKAP-FHGF1_B01_013 -               43     882      55     936      34     940    1448    +    6.5e-128  423.5  14.7  -
Mooreiaceae               -          A0517_LKAP-FHGF1_B01_013 -               15     919       9     928       4     939    1424    +    1.5e-127  422.5  16.0  -
Melioribacteraceae        -          A0517_LKAP-FHGF1_B01_013 -               92     968      55     936      22     940    1539    +    1.8e-127  422.0  14.5  -
Catalimonadaceae          -          A0517_LKAP-FHGF1_B01_013 -               14     918       8     928       2     939    1425    +    2.4e-127  421.7  15.9  -
Mzabimycetaceae           -          A0517_LKAP-FHGF1_B01_013 -               11     868      51     935      44     940    1357    +    1.6e-125  415.7  16.2  -
Trueperaceae              -          A0517_LKAP-FHGF1_B01_013 -               17     903       9     933       2     940    1461    +    7.2e-125  413.4  14.6  -
Verrucomicrobiales        -          A0517_LKAP-FHGF1_B01_013 -               33     936      47     935      26     940    1410    +      9e-124  410.2  14.9  -
Chitinivibrionaceae       -          A0517_LKAP-FHGF1_B01_013 -               33     960       7     935       2     940    1488    +      2e-123  408.7  14.9  -
Elusimicrobiaceae         -          A0517_LKAP-FHGF1_B01_013 -               54     915      54     938      33     940    1395    +    2.6e-123  408.2  14.1  -
Armatimonadaceae          -          A0517_LKAP-FHGF1_B01_013 -               60     905      52     920      29     936    1438    +    2.9e-123  408.2  15.6  -
Blastocatellales          -          A0517_LKAP-FHGF1_B01_013 -               44     924       6     934       2     940    1488    +    4.2e-123  407.6  14.9  -
Thermoflexaceae           -          A0517_LKAP-FHGF1_B01_013 -               57     922      53     927      30     939    1466    +    6.8e-123  407.3  15.3  -
Brevinemataceae           -          A0517_LKAP-FHGF1_B01_013 -               46     950       9     930       3     940    1490    +    8.2e-123  406.7  15.1  -
Herpetosiphonaceae        -          A0517_LKAP-FHGF1_B01_013 -               74     915      53     926      32     939    1475    +    2.3e-122  405.0  14.6  -
Kiritimatiellaceae        -          A0517_LKAP-FHGF1_B01_013 -               88     995      30     936      10     940    1556    +    2.5e-122  405.1  15.0  -
Spirochaetales            -          A0517_LKAP-FHGF1_B01_013 -               27     936       9     936       3     940    1456    +    6.7e-122  403.6  15.1  -
Filobacteriaceae          -          A0517_LKAP-FHGF1_B01_013 -               42     953       5     928       1     939    1521    +      1e-121  402.9  15.8  -
Simkaniaceae              -          A0517_LKAP-FHGF1_B01_013 -               51     980      17     936       6     940    1545    +    4.3e-121  401.0  14.4  -
Thermonemataceae          -          A0517_LKAP-FHGF1_B01_013 -               15     924       6     924       2     936    1465    +    5.8e-121  400.7  16.3  -
Oligosphaeraceae          -          A0517_LKAP-FHGF1_B01_013 -               49     915      44     933      23     940    1434    +    9.9e-121  399.8  15.1  -
Ktedonobacteraceae        -          A0517_LKAP-FHGF1_B01_013 -               52     899      52     936      28     940    1386    +    7.8e-120  397.0  15.2  -
Spartobacteria            -          A0517_LKAP-FHGF1_B01_013 -               69     931      52     935      31     940    1418    +    1.5e-118  392.7  15.1  -
Soortiaceae               -          A0517_LKAP-FHGF1_B01_013 -               91     976      54     936      19     940    1516    +    2.5e-118  391.8  14.9  -
Schleiferiaceae           -          A0517_LKAP-FHGF1_B01_013 -               42     952       5     928       1     939    1499    +    3.8e-118  391.5  15.7  -
Lentimicrobiaceae         -          A0517_LKAP-FHGF1_B01_013 -               27     933       9     928       2     939    1446    +    4.4e-118  390.9  15.0  -
Roseiflexaceae            -          A0517_LKAP-FHGF1_B01_013 -               69     924      44     935      22     940    1469    +    9.9e-118  390.3  15.4  -
Fimbriimonadaceae         -          A0517_LKAP-FHGF1_B01_013 -               63     911      55     927      35     939    1443    +      5e-117  387.6  14.5  -
Ichthyobacteriaceae       -          A0517_LKAP-FHGF1_B01_013 -               44     957       6     927       2     938    1521    +    1.6e-115  382.6  15.7  -
Waddliaceae               -          A0517_LKAP-FHGF1_B01_013 -               90     991      54     936      33     940    1557    +    1.1e-113  376.6  14.3  -
Balneicellaceae           -          A0517_LKAP-FHGF1_B01_013 -               28     945       6     928       2     939    1505    +    2.2e-113  375.5  15.6  -
Chthonomonadaceae         -          A0517_LKAP-FHGF1_B01_013 -               39     892      53     917      32     933    1411    +    7.7e-113  373.8  16.7  -
Phycisphaeraceae          -          A0517_LKAP-FHGF1_B01_013 -               51     911      42     930      11     940    1461    +    7.2e-107  354.2  14.8  -
