# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae            -          F0117_LKAP-FHGF1_A12_096 -               20     871       6     855       1     855    1483    +           0 1032.0  20.3  -
Flavobacteriaceae         -          F0117_LKAP-FHGF1_A12_096 -               18     864       5     853       1     855    1451    +    2.1e-169  560.7  20.7  -
Spiroplasmataceae         -          F0117_LKAP-FHGF1_A12_096 -               78     873      58     852      36     854    1516    +    2.2e-169  561.1  20.3  -
Halobacteroidaceae        -          F0117_LKAP-FHGF1_A12_096 -               35     869      11     854       1     855    1478    +    2.9e-169  560.1  20.4  -
Nocardiaceae              -          F0117_LKAP-FHGF1_A12_096 -               27     845      11     855       1     855    1472    +    5.1e-169  559.6  21.8  -
Calditrichaeota           -          F0117_LKAP-FHGF1_A12_096 -               78     884      60     853      35     855    1483    +    5.4e-169  559.6  20.7  -
Desulfurellaceae          -          F0117_LKAP-FHGF1_A12_096 -               73     888      59     855      36     855    1529    +    9.2e-169  558.5  20.7  -
Myxococcaceae             -          F0117_LKAP-FHGF1_A12_096 -               35     892       7     854       1     855    1517    +      1e-168  558.4  20.4  -
Nakamurellaceae           -          F0117_LKAP-FHGF1_A12_096 -               29     845      13     855       1     855    1462    +    3.1e-168  556.9  22.0  -
Cystobacteraceae          -          F0117_LKAP-FHGF1_A12_096 -               21     876       7     854       1     855    1491    +      5e-168  556.2  19.8  -
Eggerthellaceae           -          F0117_LKAP-FHGF1_A12_096 -               29     846       8     855       1     855    1449    +    8.4e-168  555.7  21.1  -
Peptoniphilaceae          -          F0117_LKAP-FHGF1_A12_096 -                3     828      11     853       9     855    1437    +    1.2e-167  555.2  20.5  -
Algiphilaceae             -          F0117_LKAP-FHGF1_A12_096 -               48     882      12     855       3     855    1501    +    1.9e-167  554.0  20.5  -
Defluviitaleaceae         -          F0117_LKAP-FHGF1_A12_096 -                9     836       3     853       1     855    1413    +    2.3e-167  554.1  21.1  -
Dermacoccaceae            -          F0117_LKAP-FHGF1_A12_096 -               24     847      11     855       1     855    1456    +    2.5e-167  553.8  21.0  -
Sanguibacteraceae         -          F0117_LKAP-FHGF1_A12_096 -               44     866      11     855       1     855    1483    +    2.8e-167  553.7  21.4  -
Chroococcales             -          F0117_LKAP-FHGF1_A12_096 -               44     828      15     853       1     855    1445    +    3.6e-167  553.3  20.1  -
Geodermatophilaceae       -          F0117_LKAP-FHGF1_A12_096 -               40     861      11     855       1     855    1479    +    3.7e-167  553.4  21.9  -
Salinibacteraceae         -          F0117_LKAP-FHGF1_A12_096 -               53     887      12     853       1     855    1497    +    8.1e-167  552.3  21.3  -
Betaproteobacteria        -          F0117_LKAP-FHGF1_A12_096 -               10     842      13     854       5     855    1454    +    9.3e-167  552.0  20.0  -
Demequinaceae             -          F0117_LKAP-FHGF1_A12_096 -               27     849      11     855       1     855    1478    +      2e-166  550.9  20.9  -
Balneolaceae              -          F0117_LKAP-FHGF1_A12_096 -               28     861      12     853       1     855    1459    +    3.3e-166  550.2  20.6  -
Thermomonosporaceae       -          F0117_LKAP-FHGF1_A12_096 -               27     845      11     855       1     855    1464    +    3.7e-166  550.0  21.8  -
Promicromonosporaceae     -          F0117_LKAP-FHGF1_A12_096 -               27     846      11     855       1     855    1462    +    7.4e-166  549.1  21.6  -
Thermodesulfobiaceae      -          F0117_LKAP-FHGF1_A12_096 -               36     869       6     855       1     855    1520    +    7.6e-166  549.0  21.2  -
Micromonosporaceae        -          F0117_LKAP-FHGF1_A12_096 -               41     860      11     855       1     855    1482    +    9.5e-166  548.7  22.1  -
Chrysiogenaceae           -          F0117_LKAP-FHGF1_A12_096 -               77     866      61     854      38     855    1513    +    1.2e-165  548.4  20.9  -
Corynebacterineae         -          F0117_LKAP-FHGF1_A12_096 -               27     844      11     855       1     855    1473    +    1.4e-165  548.2  21.9  -
Sporomusaceae             -          F0117_LKAP-FHGF1_A12_096 -               41     899       8     855       1     855    1535    +    1.5e-165  547.7  20.6  -
Porphyromonadaceae        -          F0117_LKAP-FHGF1_A12_096 -               35     871      11     853       3     855    1473    +      2e-165  547.7  20.3  -
Tsukamurellaceae          -          F0117_LKAP-FHGF1_A12_096 -               46     864      11     855       1     855    1495    +    6.5e-165  546.0  21.8  -
Corynebacteriaceae        -          F0117_LKAP-FHGF1_A12_096 -               26     852      11     855       1     855    1459    +      1e-164  545.1  21.2  -
Mycobacteriaceae          -          F0117_LKAP-FHGF1_A12_096 -               32     854      11     855       1     855    1471    +    1.3e-164  544.8  22.0  -
Atopobacteriaceae         -          F0117_LKAP-FHGF1_A12_096 -               24     850       6     855       1     855    1442    +    2.1e-164  544.5  21.5  -
Segniliparaceae           -          F0117_LKAP-FHGF1_A12_096 -               24     846       6     855       1     855    1462    +    2.8e-164  544.0  22.1  -
Frankiaceae               -          F0117_LKAP-FHGF1_A12_096 -               48     858      11     855       1     855    1499    +    5.2e-164  543.1  21.9  -
Cytophagaceae             -          F0117_LKAP-FHGF1_A12_096 -               30     851      12     853       1     855    1437    +    2.3e-163  540.8  21.1  -
Cryptosporangiaceae       -          F0117_LKAP-FHGF1_A12_096 -               27     842      11     855       1     855    1470    +    5.5e-163  539.5  22.3  -
Symbiobacteriaceae        -          F0117_LKAP-FHGF1_A12_096 -               14     875       5     855       1     855    1468    +    1.3e-162  538.6  20.7  -
Ruaniaceae                -          F0117_LKAP-FHGF1_A12_096 -               51     881      11     855       1     855    1531    +    1.7e-162  537.7  19.8  -
Persicobacteraceae        -          F0117_LKAP-FHGF1_A12_096 -               27     857      11     853       1     855    1448    +    1.8e-162  537.9  20.3  -
Acidobacteriaceae         -          F0117_LKAP-FHGF1_A12_096 -               87     846      59     854      37     855    1462    +    2.6e-162  537.2  20.8  -
Mariprofundaceae          -          F0117_LKAP-FHGF1_A12_096 -               47     883      11     854       1     855    1528    +    3.9e-162  536.6  20.1  -
Hymenobacteraceae         -          F0117_LKAP-FHGF1_A12_096 -               27     848      11     853       1     855    1445    +      4e-162  536.8  20.9  -
Acholeplasmataceae        -          F0117_LKAP-FHGF1_A12_096 -               28     846      34     853      13     855    1437    +    4.3e-162  536.4  20.7  -
Dermatophilaceae          -          F0117_LKAP-FHGF1_A12_096 -               32     852      11     855       1     855    1480    +    7.6e-162  535.7  21.3  -
Anaeroplasmataceae        -          F0117_LKAP-FHGF1_A12_096 -               54     863      11     853       1     855    1453    +    8.8e-162  535.6  20.4  -
Opitutaceae               -          F0117_LKAP-FHGF1_A12_096 -               27     887      11     855       2     855    1482    +    9.2e-162  535.5  20.2  -
Bogoriellaceae            -          F0117_LKAP-FHGF1_A12_096 -               28     854      12     855       1     855    1470    +    1.1e-161  535.2  20.4  -
Gemmatimonadaceae         -          F0117_LKAP-FHGF1_A12_096 -               80     870      60     855      50     855    1525    +    1.1e-161  535.3  21.7  -
Anaerolineaceae           -          F0117_LKAP-FHGF1_A12_096 -               27     845      11     855       1     855    1430    +    2.1e-161  534.8  21.6  -
Jiangellaceae             -          F0117_LKAP-FHGF1_A12_096 -               33     851      11     855       1     855    1497    +    2.1e-161  534.2  21.3  -
Stigonematales            -          F0117_LKAP-FHGF1_A12_096 -               77     836      58     853      37     855    1450    +    2.3e-161  534.3  20.4  -
Phormidiaceae             -          F0117_LKAP-FHGF1_A12_096 -               77     835      58     853      35     854    1483    +    5.8e-161  533.1  21.3  -
Jonesiaceae               -          F0117_LKAP-FHGF1_A12_096 -               45     886       9     855       1     855    1514    +    8.1e-161  532.5  19.6  -
Planctomycetaceae         -          F0117_LKAP-FHGF1_A12_096 -               37     862      11     854       2     855    1486    +    1.1e-160  532.2  20.4  -
Rarobacteraceae           -          F0117_LKAP-FHGF1_A12_096 -               17     835      12     855       2     855    1464    +    1.4e-160  531.4  21.1  -
Iamiaceae                 -          F0117_LKAP-FHGF1_A12_096 -               66     853      51     855      28     855    1480    +    1.4e-160  531.8  21.5  -
Glycomycetaceae           -          F0117_LKAP-FHGF1_A12_096 -               34     864      11     855       1     855    1495    +    2.5e-160  530.9  21.7  -
Caldilineaceae            -          F0117_LKAP-FHGF1_A12_096 -               28     850       7     855       1     855    1434    +    3.9e-160  530.1  22.6  -
Dietziaceae               -          F0117_LKAP-FHGF1_A12_096 -               18     834      11     855       1     855    1452    +      8e-160  529.1  22.0  -
Solirubrobacteraceae      -          F0117_LKAP-FHGF1_A12_096 -               50     857      57     855      35     855    1443    +    8.5e-160  528.9  20.8  -
Beutenbergiaceae          -          F0117_LKAP-FHGF1_A12_096 -               27     849      11     855       1     855    1472    +    8.9e-160  528.9  20.4  -
Conexibacteraceae         -          F0117_LKAP-FHGF1_A12_096 -               87     894      58     855      16     855    1536    +    2.2e-159  527.3  20.7  -
Acidaminococcaceae        -          F0117_LKAP-FHGF1_A12_096 -               34     887      11     854       1     855    1504    +    2.2e-159  527.2  20.3  -
Thermodesulfobacteriaceae -          F0117_LKAP-FHGF1_A12_096 -               22     878       8     855       1     855    1497    +    2.5e-159  527.6  21.3  -
Catenulisporaceae         -          F0117_LKAP-FHGF1_A12_096 -               27     844      11     855       1     855    1460    +    4.2e-159  526.7  21.9  -
Bernardetiaceae           -          F0117_LKAP-FHGF1_A12_096 -               20     859       6     853       1     855    1481    +    5.1e-159  526.4  20.2  -
Pyrinomonadaceae          -          F0117_LKAP-FHGF1_A12_096 -               48     905      12     854       1     855    1526    +    6.9e-159  525.8  20.6  -
Streptosporangiaceae      -          F0117_LKAP-FHGF1_A12_096 -               27     841      11     855       1     855    1464    +    1.3e-158  524.9  21.9  -
Prochlorococcaceae        -          F0117_LKAP-FHGF1_A12_096 -               61     817      59     853      39     854    1465    +    1.9e-158  524.6  20.8  -
Sporichthyaceae           -          F0117_LKAP-FHGF1_A12_096 -               27     844      11     855       1     855    1472    +    3.4e-158  523.8  21.8  -
Thermotogaceae            -          F0117_LKAP-FHGF1_A12_096 -               40     886       8     853       1     855    1545    +    6.7e-158  522.7  21.2  -
Desulfurobacteriaceae     -          F0117_LKAP-FHGF1_A12_096 -               71     892      52     855      29     855    1497    +    9.9e-158  522.5  20.7  -
Thermaceae                -          F0117_LKAP-FHGF1_A12_096 -               37     849      11     854       1     855    1477    +    1.1e-157  522.2  21.0  -
Rikenellaceae             -          F0117_LKAP-FHGF1_A12_096 -               27     871       5     853       1     855    1456    +    1.1e-157  521.9  19.9  -
Frankiales                -          F0117_LKAP-FHGF1_A12_096 -               34     852      11     855       1     855    1425    +      2e-157  521.2  22.2  -
Rubricoccaceae            -          F0117_LKAP-FHGF1_A12_096 -               32     866      11     853       1     855    1452    +      5e-157  519.8  19.9  -
Micrococcales             -          F0117_LKAP-FHGF1_A12_096 -               27     847      11     855       1     855    1475    +    5.2e-157  519.8  21.8  -
Aquificaceae              -          F0117_LKAP-FHGF1_A12_096 -               22     876       8     854       1     855    1485    +    3.9e-156  517.0  21.0  -
Haliscomenobacteraceae    -          F0117_LKAP-FHGF1_A12_096 -               47     878      11     853       1     855    1485    +      4e-156  517.2  21.0  -
Streptosporangineae       -          F0117_LKAP-FHGF1_A12_096 -                3     817       9     855       7     855    1443    +    5.8e-156  516.2  21.4  -
Dermabacteraceae          -          F0117_LKAP-FHGF1_A12_096 -               36     858      11     855       1     855    1470    +    6.2e-156  516.0  21.1  -
Fibrobacteraceae          -          F0117_LKAP-FHGF1_A12_096 -               26     840      11     853       2     854    1412    +    8.1e-156  516.1  20.6  -
Bifidobacteriaceae        -          F0117_LKAP-FHGF1_A12_096 -               41     866      11     855       1     855    1469    +    1.1e-155  515.5  21.3  -
Dehalococcoidaceae        -          F0117_LKAP-FHGF1_A12_096 -               59     834      58     854      32     855    1437    +    2.9e-155  514.4  20.8  -
Actinospicaceae           -          F0117_LKAP-FHGF1_A12_096 -                9     822      15     855       8     855    1425    +    5.1e-155  513.1  21.6  -
Entomoplasmataceae        -          F0117_LKAP-FHGF1_A12_096 -               64     861      58     852      18     854    1497    +    8.8e-155  512.5  20.0  -
Chlorobiaceae             -          F0117_LKAP-FHGF1_A12_096 -               87     868      62     853      41     855    1455    +    1.2e-154  512.0  20.7  -
Oscillospiraceae          -          F0117_LKAP-FHGF1_A12_096 -               20     858       6     853       1     855    1453    +    7.6e-154  508.9  20.8  -
Nocardiopsaceae           -          F0117_LKAP-FHGF1_A12_096 -               27     858      11     855       1     855    1475    +    1.2e-153  508.7  21.1  -
Actinomycetales           -          F0117_LKAP-FHGF1_A12_096 -               47     882      11     855       1     855    1535    +    4.4e-153  506.7  21.8  -
Cytophagales              -          F0117_LKAP-FHGF1_A12_096 -               21     857       7     854       1     855    1444    +    5.7e-153  506.4  20.8  -
Leptotrichiaceae          -          F0117_LKAP-FHGF1_A12_096 -               68     864      35     854      14     855    1492    +    9.9e-153  505.5  20.8  -
Chitinophagaceae          -          F0117_LKAP-FHGF1_A12_096 -               28     861      11     853       1     855    1458    +      1e-152  505.8  20.2  -
Nostocales                -          F0117_LKAP-FHGF1_A12_096 -               54     812      57     853      37     854    1457    +    1.2e-152  505.4  20.0  -
Cyclobacteriaceae         -          F0117_LKAP-FHGF1_A12_096 -               21     858       7     853       1     855    1447    +    2.5e-152  504.3  20.5  -
Magnetococcaceae          -          F0117_LKAP-FHGF1_A12_096 -               48     848      12     855       3     855    1497    +    4.6e-152  503.4  20.7  -
Lewinellaceae             -          F0117_LKAP-FHGF1_A12_096 -               27     855      11     853       1     855    1446    +    6.4e-152  502.9  21.0  -
Petrotogaceae             -          F0117_LKAP-FHGF1_A12_096 -               42     863      11     854       1     855    1488    +    1.3e-151  502.2  20.9  -
Chlamydiaceae             -          F0117_LKAP-FHGF1_A12_096 -               51     898      12     852       2     854    1548    +      2e-151  501.0  20.3  -
Prevotellaceae            -          F0117_LKAP-FHGF1_A12_096 -               28     868      11     853       3     855    1464    +    3.2e-151  500.4  20.1  -
Prolixibacteraceae        -          F0117_LKAP-FHGF1_A12_096 -               18     856       4     853       1     855    1444    +    4.3e-151  500.1  20.8  -
Marinilabiliaceae         -          F0117_LKAP-FHGF1_A12_096 -               20     859       6     853       2     855    1447    +    4.4e-151  499.8  20.3  -
Emcibacteraceae           -          F0117_LKAP-FHGF1_A12_096 -               49     841      13     854       1     855    1460    +    1.1e-150  499.0  20.4  -
Rhodothalassiaceae        -          F0117_LKAP-FHGF1_A12_096 -               48     806      55     855      32     855    1318    +    1.2e-150  498.9  20.0  -
Saprospiraceae            -          F0117_LKAP-FHGF1_A12_096 -               38     868      11     853       2     855    1430    +      3e-150  497.8  20.4  -
Temperatibacteraceae      -          F0117_LKAP-FHGF1_A12_096 -               33     789      57     854      28     855    1362    +    4.9e-150  496.6  20.3  -
Cryomorphaceae            -          F0117_LKAP-FHGF1_A12_096 -               24     866       4     853       1     855    1454    +      5e-150  496.7  19.9  -
Coriobacteriaceae         -          F0117_LKAP-FHGF1_A12_096 -               33     849       6     855       1     855    1462    +    8.2e-150  496.4  21.6  -
Rubritaleaceae            -          F0117_LKAP-FHGF1_A12_096 -               35     869      12     854       2     855    1459    +    1.2e-149  495.2  19.8  -
Dictyoglomaceae           -          F0117_LKAP-FHGF1_A12_096 -               49     890      11     855       1     855    1541    +    1.2e-149  495.3  21.7  -
Crocinitomicaceae         -          F0117_LKAP-FHGF1_A12_096 -               28     864      11     853       1     855    1466    +    2.1e-149  494.3  19.6  -
Mesoaciditogaceae         -          F0117_LKAP-FHGF1_A12_096 -               35     883      11     855       1     855    1522    +    8.2e-149  492.6  20.3  -
Sphingobacteriaceae       -          F0117_LKAP-FHGF1_A12_096 -               27     858      11     854       1     855    1450    +    1.7e-148  491.5  19.9  -
Hydrogenothermaceae       -          F0117_LKAP-FHGF1_A12_096 -               20     839       6     855       1     855    1447    +    2.7e-148  491.0  19.7  -
Pseudobacteriovoracaceae  -          F0117_LKAP-FHGF1_A12_096 -               34     836      55     854      34     855    1466    +    1.1e-147  488.8  20.6  -
Actinopolysporaceae       -          F0117_LKAP-FHGF1_A12_096 -               28     864      11     855       2     855    1480    +      2e-147  487.9  20.1  -
Parachlamydiaceae         -          F0117_LKAP-FHGF1_A12_096 -               73     883      59     853      38     855    1529    +    2.1e-147  488.0  21.1  -
Kofleriaceae              -          F0117_LKAP-FHGF1_A12_096 -               44     899      12     855       1     855    1498    +    7.5e-147  486.2  20.9  -
Iodidimonadaceae          -          F0117_LKAP-FHGF1_A12_096 -               42     832      33     854      11     855    1437    +    8.3e-146  482.7  19.9  -
Fervidobacteriaceae       -          F0117_LKAP-FHGF1_A12_096 -               35     893      11     853       1     855    1514    +      1e-144  479.0  20.8  -
Bacteroidales             -          F0117_LKAP-FHGF1_A12_096 -               41     880       5     853       3     855    1485    +    2.4e-144  477.5  19.6  -
Kosmotogaceae             -          F0117_LKAP-FHGF1_A12_096 -               36     864      12     853       1     855    1488    +    8.8e-144  476.2  20.8  -
Sphaerobacteraceae        -          F0117_LKAP-FHGF1_A12_096 -               84     861      60     855      23     855    1531    +    1.3e-143  475.4  21.5  -
Thermomicrobiaceae        -          F0117_LKAP-FHGF1_A12_096 -               26     821      54     855      36     855    1273    +    2.7e-143  475.0  22.4  -
Rhodospirillales          -          F0117_LKAP-FHGF1_A12_096 -               41     802      56     855      34     855    1413    +      4e-143  474.1  21.5  -
Oligoflexaceae            -          F0117_LKAP-FHGF1_A12_096 -               57     860      51     854      24     855    1458    +    2.7e-142  471.1  20.7  -
Hydrogenimonaceae         -          F0117_LKAP-FHGF1_A12_096 -               28     860      11     854       1     855    1422    +    3.9e-142  470.6  20.3  -
Deinococcaceae            -          F0117_LKAP-FHGF1_A12_096 -               40     843      36     855      14     855    1455    +    8.5e-142  469.2  21.0  -
Acanthopleuribacteraceae  -          F0117_LKAP-FHGF1_A12_096 -               30     856      51     854      32     855    1453    +    8.9e-142  469.3  20.8  -
Thermosporotrichaceae     -          F0117_LKAP-FHGF1_A12_096 -                7     770      58     854      50     855    1317    +    1.8e-141  468.5  22.8  -
Odoribacteraceae          -          F0117_LKAP-FHGF1_A12_096 -               47     879      11     853       3     855    1486    +    6.7e-141  466.2  20.2  -
Labilitrichaceae          -          F0117_LKAP-FHGF1_A12_096 -               65     881      59     855      37     855    1483    +    2.2e-139  461.3  20.8  -
Lentisphaeraceae          -          F0117_LKAP-FHGF1_A12_096 -               58     850      40     854      18     855    1465    +    2.9e-139  461.1  20.4  -
Microscillaceae           -          F0117_LKAP-FHGF1_A12_096 -               53     843      56     853      34     855    1461    +    4.8e-139  460.2  20.8  -
Marinifilaceae            -          F0117_LKAP-FHGF1_A12_096 -               18     860       4     853       2     855    1450    +    6.1e-139  459.8  19.2  -
Vulgatibacteraceae        -          F0117_LKAP-FHGF1_A12_096 -               59     880      54     855      33     855    1479    +    2.5e-138  458.0  20.0  -
Sandaracinaceae           -          F0117_LKAP-FHGF1_A12_096 -               54     868      59     854      38     855    1506    +    8.4e-138  456.3  20.9  -
Roseiarcaceae             -          F0117_LKAP-FHGF1_A12_096 -               70     827      56     854      35     855    1399    +    1.1e-137  455.8  21.0  -
Bradymonadaceae           -          F0117_LKAP-FHGF1_A12_096 -               69     859      59     855      39     855    1461    +    1.2e-137  455.4  20.6  -
Blastocatellaceae         -          F0117_LKAP-FHGF1_A12_096 -               47     866      11     853       1     854    1485    +    1.4e-137  455.2  21.0  -
Chloroflexaceae           -          F0117_LKAP-FHGF1_A12_096 -               81     841      59     853      38     855    1473    +      2e-136  451.9  20.7  -
Akkermansiaceae           -          F0117_LKAP-FHGF1_A12_096 -               27     841      11     854       3     855    1441    +    7.9e-136  449.8  20.3  -
Christensenellaceae       -          F0117_LKAP-FHGF1_A12_096 -               88     871      51     853      28     855    1497    +    1.2e-135  449.0  21.2  -
Fervidobacteraceae        -          F0117_LKAP-FHGF1_A12_096 -               24     831       9     853       1     855    1480    +    1.3e-135  449.0  21.7  -
Acidothermaceae           -          F0117_LKAP-FHGF1_A12_096 -               45     861      12     855       1     855    1509    +    1.8e-135  448.6  21.7  -
Phaselicystidaceae        -          F0117_LKAP-FHGF1_A12_096 -               82     896      59     855      37     855    1539    +    7.1e-135  446.6  20.9  -
Micropepsaceae            -          F0117_LKAP-FHGF1_A12_096 -               72     831      58     855      37     855    1455    +    8.4e-135  446.2  20.9  -
Gemmataceae               -          F0117_LKAP-FHGF1_A12_096 -               79     840      59     854      39     855    1427    +      3e-134  444.3  21.1  -
Halanaerobiales           -          F0117_LKAP-FHGF1_A12_096 -               77     898      46     854      25     855    1500    +    3.1e-134  444.3  20.7  -
Anaeromyxobacteraceae     -          F0117_LKAP-FHGF1_A12_096 -               48     901      12     855       1     855    1549    +    1.1e-133  442.6  20.8  -
Gracilibacteraceae        -          F0117_LKAP-FHGF1_A12_096 -              181     979      39     855      18     855    1549    +    5.7e-133  440.0  21.0  -
Gaiellaceae               -          F0117_LKAP-FHGF1_A12_096 -               53     892      16     855       2     855    1544    +    9.7e-133  439.3  20.6  -
Syntrophorhabdaceae       -          F0117_LKAP-FHGF1_A12_096 -               28     882      12     855       1     855    1482    +    2.3e-132  438.1  20.7  -
Haloplasmataceae          -          F0117_LKAP-FHGF1_A12_096 -               55     854      57     854      36     855    1345    +    1.6e-131  435.5  21.3  -
Acidimicrobiales          -          F0117_LKAP-FHGF1_A12_096 -               71     855      53     855      33     855    1483    +    1.2e-130  432.7  21.4  -
Thermogemmatisporaceae    -          F0117_LKAP-FHGF1_A12_096 -               61     852      58     855      38     855    1443    +    1.7e-130  432.0  22.5  -
Egibacteraceae            -          F0117_LKAP-FHGF1_A12_096 -               86     869      57     855      35     855    1516    +    8.1e-130  429.9  21.7  -
Xenococcaceae             -          F0117_LKAP-FHGF1_A12_096 -               56     817      57     853      25     855    1418    +    1.1e-129  429.5  19.9  -
Euzebyaceae               -          F0117_LKAP-FHGF1_A12_096 -               43     848      36     855      15     855    1476    +    5.2e-129  427.2  21.3  -
Aquificales               -          F0117_LKAP-FHGF1_A12_096 -               17     882      11     855       1     855    1450    +    3.6e-128  424.4  20.4  -
Longimicrobiaceae         -          F0117_LKAP-FHGF1_A12_096 -               13     826      55     855      43     855    1413    +    1.7e-127  422.2  21.3  -
Brachyspiraceae           -          F0117_LKAP-FHGF1_A12_096 -               20     829      12     853       2     855    1441    +    1.9e-127  421.8  20.5  -
Nitriliruptoraceae        -          F0117_LKAP-FHGF1_A12_096 -               53     856      35     855      13     855    1425    +    3.1e-127  421.2  20.7  -
Egicoccaceae              -          F0117_LKAP-FHGF1_A12_096 -               65     867      37     855      16     855    1512    +    4.8e-127  420.6  21.1  -
Prochlorotrichaceae       -          F0117_LKAP-FHGF1_A12_096 -               43     799      59     853      38     855    1448    +    5.6e-126  417.0  20.4  -
Isosphaeraceae            -          F0117_LKAP-FHGF1_A12_096 -               68     856      57     854      36     855    1475    +    5.3e-124  410.4  21.9  -
Gloeomargaritaceae        -          F0117_LKAP-FHGF1_A12_096 -               71     833      54     853      33     855    1482    +    5.4e-124  410.5  20.3  -
Victivallaceae            -          F0117_LKAP-FHGF1_A12_096 -               72     846      58     854      37     855    1456    +    1.2e-123  409.3  20.5  -
Catalimonadaceae          -          F0117_LKAP-FHGF1_A12_096 -               12     843       8     853       1     855    1425    +    9.7e-123  406.3  21.1  -
Caldisericaceae           -          F0117_LKAP-FHGF1_A12_096 -               27     881      11     855       1     855    1481    +    1.3e-122  405.7  20.1  -
Roseiflexaceae            -          F0117_LKAP-FHGF1_A12_096 -               77     842      56     853      13     855    1469    +    3.2e-122  405.0  19.6  -
Mooreiaceae               -          F0117_LKAP-FHGF1_A12_096 -                9     844       5     853       1     855    1424    +    3.7e-122  404.5  21.2  -
Ardenticatenia            -          F0117_LKAP-FHGF1_A12_096 -               34     869      17     855       2     855    1453    +    6.9e-122  403.7  21.4  -
Herpetosiphonaceae        -          F0117_LKAP-FHGF1_A12_096 -               55     842      33     853      12     855    1475    +    1.3e-121  402.4  20.0  -
Armatimonadaceae          -          F0117_LKAP-FHGF1_A12_096 -               62     839      58     855      34     855    1438    +    1.2e-120  399.4  20.5  -
Thermoflexaceae           -          F0117_LKAP-FHGF1_A12_096 -               12     850       9     855       1     855    1466    +    2.7e-120  398.6  21.8  -
Ignavibacteriaceae        -          F0117_LKAP-FHGF1_A12_096 -               68     860      59     853      38     855    1461    +    1.1e-119  396.2  20.4  -
Melioribacteraceae        -          F0117_LKAP-FHGF1_A12_096 -               56     885      17     853       2     855    1539    +    7.1e-119  393.4  20.2  -
Brevinemataceae           -          F0117_LKAP-FHGF1_A12_096 -               48     875      13     855       4     855    1490    +    1.4e-118  392.6  20.6  -
Mzabimycetaceae           -          F0117_LKAP-FHGF1_A12_096 -               10     788      54     855      47     855    1357    +    1.4e-118  392.6  22.6  -
Thermonemataceae          -          F0117_LKAP-FHGF1_A12_096 -               18     853      11     853       1     855    1465    +    1.7e-118  392.4  21.4  -
Kiritimatiellaceae        -          F0117_LKAP-FHGF1_A12_096 -               49     914      13     855       2     855    1556    +    1.9e-117  388.8  20.2  -
Soortiaceae               -          F0117_LKAP-FHGF1_A12_096 -               77     893      46     853      24     855    1516    +    6.2e-117  387.0  20.1  -
Ktedonobacteraceae        -          F0117_LKAP-FHGF1_A12_096 -               33     817      36     854      14     855    1386    +    1.3e-115  383.0  21.0  -
Trueperaceae              -          F0117_LKAP-FHGF1_A12_096 -               18     825      12     855       3     855    1461    +    2.2e-115  381.9  19.5  -
Verrucomicrobiales        -          F0117_LKAP-FHGF1_A12_096 -               43     856      59     855      38     855    1410    +    4.6e-115  381.3  20.9  -
Simkaniaceae              -          F0117_LKAP-FHGF1_A12_096 -               83     897      58     853      36     855    1545    +    6.1e-115  380.5  20.8  -
Chitinivibrionaceae       -          F0117_LKAP-FHGF1_A12_096 -               37     878      13     853       3     855    1488    +    7.4e-115  380.2  20.2  -
Elusimicrobiaceae         -          F0117_LKAP-FHGF1_A12_096 -                8     832      13     855       8     855    1395    +    1.1e-114  379.5  20.5  -
Fimbriimonadaceae         -          F0117_LKAP-FHGF1_A12_096 -               63     839      59     855      38     855    1443    +    1.9e-113  375.6  20.4  -
Ichthyobacteriaceae       -          F0117_LKAP-FHGF1_A12_096 -               47     883      11     853       3     855    1521    +    3.9e-113  374.5  20.2  -
Blastocatellales          -          F0117_LKAP-FHGF1_A12_096 -               75     842      49     852      22     855    1488    +    7.5e-113  373.5  20.4  -
Chthonomonadaceae         -          F0117_LKAP-FHGF1_A12_096 -                6     830      16     855      12     855    1411    +    5.9e-112  370.8  21.2  -
Oligosphaeraceae          -          F0117_LKAP-FHGF1_A12_096 -               60     837      59     855      38     855    1434    +    2.4e-111  368.6  20.8  -
Lentimicrobiaceae         -          F0117_LKAP-FHGF1_A12_096 -               61     858      46     853      19     855    1446    +    3.4e-111  368.0  19.8  -
Spartobacteria            -          F0117_LKAP-FHGF1_A12_096 -               27     850      13     854       3     855    1418    +    8.8e-111  366.8  20.8  -
Filobacteriaceae          -          F0117_LKAP-FHGF1_A12_096 -               86     878      54     853      31     855    1521    +    1.2e-109  362.9  20.0  -
Waddliaceae               -          F0117_LKAP-FHGF1_A12_096 -               68     908      37     853      17     855    1557    +    2.1e-109  362.3  20.0  -
Spirochaetales            -          F0117_LKAP-FHGF1_A12_096 -               69     853      46     853      23     855    1456    +    2.8e-109  361.7  19.3  -
Schleiferiaceae           -          F0117_LKAP-FHGF1_A12_096 -               39     879       6     855       1     855    1499    +    1.3e-107  356.5  20.5  -
Balneicellaceae           -          F0117_LKAP-FHGF1_A12_096 -               31     870      11     853       2     855    1505    +    4.9e-107  354.3  19.8  -
Chloroflexales            -          F0117_LKAP-FHGF1_A12_096 -               55     828      59     854      36     855    1355    +      1e-106  353.8  22.3  -
