# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               18     923      14     917       8     918    1468    +           0 1050.4  18.3  -
Peptoniphilaceae          -          LKAP-TSAKG2_E06_040_2018_2 -                4     892      19     916      16     918    1437    +    1.1e-184  611.8  18.5  -
Nocardiaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               19     907      12     916       6     918    1472    +    1.8e-184  610.9  18.8  -
Corynebacteriaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               18     914      12     916       7     918    1459    +    2.9e-184  610.0  17.9  -
Cystobacteraceae          -          LKAP-TSAKG2_E06_040_2018_2 -               27     939      18     916       9     918    1491    +    3.3e-184  609.9  17.6  -
Desulfonatronaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               27     941      18     916       8     918    1495    +    4.4e-184  609.5  18.2  -
Listeriaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               14     927      18     916       9     918    1448    +    1.3e-183  608.1  17.9  -
Veillonellaceae           -          LKAP-TSAKG2_E06_040_2018_2 -                6     930      19     916      15     918    1450    +    2.1e-183  607.1  17.9  -
Nocardioidaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               19     909      12     916       6     918    1455    +    4.1e-183  606.4  18.5  -
Haliscomenobacteraceae    -          LKAP-TSAKG2_E06_040_2018_2 -               41     942      14     916       8     918    1485    +    4.4e-183  606.7  17.2  -
Enterococcaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               27     949      18     916       8     918    1498    +    5.9e-183  605.9  17.6  -
Myxococcaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               41     955      18     916       9     918    1517    +    7.6e-183  605.3  17.7  -
Cellulomonadaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               23     916      12     916       7     918    1465    +    8.9e-183  605.3  18.7  -
Marinilabiliaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               27     923      18     916       9     918    1447    +    1.3e-182  604.4  17.8  -
Sporolactobacillaceae     -          LKAP-TSAKG2_E06_040_2018_2 -               27     938      18     916       8     918    1503    +    1.4e-182  604.6  17.9  -
Crocinitomicaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               28     928      18     916       8     918    1466    +    1.9e-182  604.0  17.4  -
Corynebacterineae         -          LKAP-TSAKG2_E06_040_2018_2 -               19     906      12     916       8     918    1473    +    5.5e-182  602.7  18.9  -
Acidimicrobiaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               40     929      13     915       8     918    1464    +    1.5e-181  601.3  18.6  -
Lewinellaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               27     920      18     917       8     918    1446    +    1.6e-181  601.1  17.1  -
Cryomorphaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               33     930      18     916      10     918    1454    +    2.4e-181  600.5  17.6  -
Leuconostocaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               24     945      19     916       9     918    1479    +      3e-181  600.2  17.7  -
Dehalococcoidaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               27     897      18     916       9     918    1437    +    4.4e-181  600.1  18.4  -
Rikenellaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               35     935      18     916      10     918    1456    +    3.2e-180  596.7  16.9  -
Actinomycetaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               20     940      13     916       8     918    1468    +      4e-180  596.5  18.0  -
Acholeplasmataceae        -          LKAP-TSAKG2_E06_040_2018_2 -               20     910      19     916      10     918    1437    +    6.3e-180  595.6  18.4  -
Kineosporiaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               27     914      12     916       7     918    1463    +    1.2e-179  595.1  18.8  -
Saprospiraceae            -          LKAP-TSAKG2_E06_040_2018_2 -               38     932      18     916       8     918    1430    +    1.2e-179  595.3  17.9  -
Halanaerobiaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               27     961      12     916       8     918    1503    +    3.3e-179  593.2  18.0  -
Prolixibacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               20     920      13     916       7     918    1444    +    5.4e-179  592.6  18.2  -
Thermomonosporaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               19     903      12     912       6     918    1464    +    6.9e-179  592.3  18.1  -
Persicobacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               27     921      18     916       9     918    1448    +    1.5e-178  591.3  17.9  -
Acidobacteriaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               47     909      18     916       9     918    1462    +    1.5e-178  591.1  18.2  -
Gallionellaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               44     943      18     916       7     918    1385    +    2.2e-178  590.7  18.0  -
Thermaceae                -          LKAP-TSAKG2_E06_040_2018_2 -               38     912      19     916      10     918    1477    +    3.4e-178  590.2  18.1  -
Micromonosporaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               33     922      12     916       7     918    1482    +    3.8e-178  589.9  18.7  -
Tsukamurellaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               39     926      13     916       6     918    1495    +    4.2e-178  589.8  18.9  -
Solirubrobacteraceae      -          LKAP-TSAKG2_E06_040_2018_2 -               11     919      18     916      10     918    1443    +    5.3e-178  589.3  17.5  -
Desulfurobacteriaceae     -          LKAP-TSAKG2_E06_040_2018_2 -               27     954      18     916       7     918    1497    +    6.3e-178  589.5  17.8  -
Promicromonosporaceae     -          LKAP-TSAKG2_E06_040_2018_2 -               19     908      12     916       6     918    1462    +    7.3e-178  588.9  18.6  -
Oscillatoriales           -          LKAP-TSAKG2_E06_040_2018_2 -               27     878      18     916       9     918    1445    +    7.5e-178  589.1  17.8  -
Sterolibacteriaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               42     948      18     915       7     918    1531    +    8.6e-178  588.7  18.1  -
Frankiaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               48     920      18     916       8     918    1499    +    9.5e-178  588.7  17.6  -
Rubrobacteraceae          -          LKAP-TSAKG2_E06_040_2018_2 -               27     919      18     900       7     918    1495    +    3.1e-177  586.9  17.6  -
Natranaerobiaceae         -          LKAP-TSAKG2_E06_040_2018_2 -                4     905      16     916      13     918    1429    +    3.7e-177  586.5  17.5  -
Anaeroplasmataceae        -          LKAP-TSAKG2_E06_040_2018_2 -               55     927      19     916      10     918    1453    +    4.4e-177  586.4  17.6  -
Thermodesulfobiaceae      -          LKAP-TSAKG2_E06_040_2018_2 -               43     931      18     916       9     918    1520    +    5.2e-177  586.1  18.0  -
Streptosporangiaceae      -          LKAP-TSAKG2_E06_040_2018_2 -               19     900      12     913       6     918    1464    +    5.3e-177  585.9  18.4  -
Salinibacteraceae         -          LKAP-TSAKG2_E06_040_2018_2 -               52     951      18     916       9     918    1497    +    7.5e-177  585.6  17.7  -
Propionibacteriaceae      -          LKAP-TSAKG2_E06_040_2018_2 -               24     914      13     916       7     918    1462    +    1.4e-176  584.7  18.3  -
Balneolaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               26     925      17     916       6     918    1459    +    1.8e-176  584.3  17.7  -
Dermacoccaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               17     909      13     916       6     918    1456    +    2.1e-176  584.0  18.4  -
Planctomycetaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               38     925      19     916      12     918    1486    +    2.5e-176  584.1  17.6  -
Betaproteobacteria        -          LKAP-TSAKG2_E06_040_2018_2 -                4     905      14     916      12     918    1454    +    2.5e-176  583.8  17.7  -
Bogoriellaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               19     916      12     916       6     918    1470    +    3.3e-176  583.4  17.7  -
Nakamurellaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               19     907      12     916       6     918    1462    +    3.5e-176  583.3  18.5  -
Sanguibacteraceae         -          LKAP-TSAKG2_E06_040_2018_2 -               37     928      13     916       6     918    1483    +    3.8e-176  583.2  18.7  -
Chrysiogenaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               48     929      19     916       8     918    1513    +    5.5e-176  582.8  17.3  -
Catenulisporaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               19     906      12     916       8     918    1460    +    8.6e-176  582.1  18.9  -
Mycobacteriaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               25     916      13     916       7     918    1471    +    1.1e-175  581.7  18.6  -
Geodermatophilaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               32     921      12     914       6     918    1479    +    2.6e-175  580.5  18.8  -
Dietziaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               12     896      14     916       7     918    1452    +    2.9e-175  580.4  18.8  -
Actinomycetales           -          LKAP-TSAKG2_E06_040_2018_2 -               47     944      18     916       8     918    1535    +    4.9e-175  579.5  18.5  -
Sphingobacteriaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               27     921      18     916       7     918    1450    +    5.7e-175  579.3  17.7  -
Spiroplasmataceae         -          LKAP-TSAKG2_E06_040_2018_2 -               51     938      19     916      11     918    1516    +      1e-174  578.8  18.3  -
Caldilineaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               34     912      18     916       9     918    1434    +    1.7e-174  577.8  18.9  -
Demequinaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               19     911      12     916       7     918    1478    +    1.9e-174  577.6  18.8  -
Beutenbergiaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               27     911      18     916       8     918    1472    +    2.3e-174  577.3  18.1  -
Cryptosporangiaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               19     904      12     916       7     918    1470    +    2.4e-174  577.3  18.3  -
Dermatophilaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               24     914      12     916       8     918    1480    +    2.5e-174  577.2  18.6  -
Pyrinomonadaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               48     968      19     916       9     918    1526    +    2.6e-174  577.0  17.7  -
Micrococcales             -          LKAP-TSAKG2_E06_040_2018_2 -               19     909      12     916       8     918    1475    +    3.2e-174  576.9  18.7  -
Jiangellaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               25     913      12     916       5     918    1497    +    3.5e-174  576.7  18.2  -
Nannocystaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               41     938      18     916       8     918    1487    +      4e-174  576.6  18.2  -
Chroococcales             -          LKAP-TSAKG2_E06_040_2018_2 -               39     892      18     916       6     918    1445    +    8.3e-174  575.4  17.5  -
Thermotogaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               45     950      18     916       8     918    1545    +      1e-173  575.3  18.4  -
Acidaminococcaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               34     950      18     916       8     918    1504    +    1.5e-173  574.2  17.6  -
Opitutaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               28     949      19     916      10     918    1482    +      2e-173  574.2  17.7  -
Defluviitaleaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               12     900      12     916       7     918    1413    +    3.1e-172  570.4  18.4  -
Anaerolineaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               27     907      18     916       9     918    1430    +    3.1e-172  570.8  19.0  -
Bacteroidales             -          LKAP-TSAKG2_E06_040_2018_2 -               50     944      19     916      11     918    1485    +      4e-172  569.7  18.0  -
Chlorobiaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               48     932      19     916       8     918    1455    +    4.8e-172  569.7  17.3  -
Frankiales                -          LKAP-TSAKG2_E06_040_2018_2 -               26     914      12     916       7     918    1425    +    5.6e-172  569.6  19.0  -
Phormidiaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               47     899      18     916       9     918    1483    +    1.2e-171  568.7  19.0  -
Rubritaleaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               35     932      19     916       9     918    1459    +    1.3e-171  568.2  17.9  -
Symbiobacteriaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               14     937      12     916       6     918    1468    +      2e-171  567.9  18.1  -
Segniliparaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               31     908      18     916       8     918    1462    +      3e-171  567.1  18.8  -
Nocardiopsaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               20     916      13     912       7     918    1475    +    4.8e-171  566.5  18.1  -
Sporichthyaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               27     906      18     916       8     918    1472    +    5.6e-171  566.3  18.3  -
Stigonematales            -          LKAP-TSAKG2_E06_040_2018_2 -               47     900      18     916       9     918    1450    +    5.9e-171  566.2  17.7  -
Petrotogaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               42     926      18     916       8     918    1488    +    6.1e-171  566.3  18.5  -
Conexibacteraceae         -          LKAP-TSAKG2_E06_040_2018_2 -               48     956      19     916       9     918    1536    +    9.1e-171  565.2  17.8  -
Ruaniaceae                -          LKAP-TSAKG2_E06_040_2018_2 -               43     943      12     916       8     918    1531    +    9.2e-171  565.2  18.1  -
Dermabacteraceae          -          LKAP-TSAKG2_E06_040_2018_2 -               27     920      11     916       6     918    1470    +    1.3e-170  564.8  18.6  -
Fibrobacteraceae          -          LKAP-TSAKG2_E06_040_2018_2 -               26     904      18     916       8     918    1412    +    2.2e-170  564.5  18.4  -
Bifidobacteriaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               34     928      13     916       7     918    1469    +    2.8e-170  563.9  18.3  -
Prevotellaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               28     932      18     916      10     918    1464    +    3.6e-170  563.3  17.7  -
Mariprofundaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               47     946      18     916       6     918    1528    +    4.2e-170  563.0  17.7  -
Thermodesulfobacteriaceae -          LKAP-TSAKG2_E06_040_2018_2 -               26     940      17     916       8     918    1497    +    5.6e-170  563.0  18.0  -
Atopobacteriaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               31     912      18     916       9     918    1442    +    7.5e-170  562.6  18.4  -
Iamiaceae                 -          LKAP-TSAKG2_E06_040_2018_2 -               27     911      18     912       9     918    1480    +    9.4e-170  562.3  18.1  -
Leptotrichiaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               47     927      18     916      10     918    1492    +    2.9e-169  560.4  18.6  -
Microscillaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               28     907      19     916      10     918    1461    +    4.2e-169  559.9  17.9  -
Glycomycetaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               34     926      18     916       8     918    1495    +      8e-169  559.1  18.3  -
Rarobacteraceae           -          LKAP-TSAKG2_E06_040_2018_2 -                8     897      12     916       8     918    1464    +    7.1e-168  555.7  18.6  -
Streptosporangineae       -          LKAP-TSAKG2_E06_040_2018_2 -                4     876      17     913      14     918    1443    +    1.7e-167  554.5  17.7  -
Actinopolysporaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               28     926      18     916       6     918    1480    +    3.1e-167  553.7  18.2  -
Eggerthellaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               34     908      18     916       8     918    1449    +    4.3e-167  553.4  18.3  -
Kosmotogaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               35     928      18     916       9     918    1488    +    7.8e-167  552.7  18.2  -
Actinospicaceae           -          LKAP-TSAKG2_E06_040_2018_2 -                5     884      19     916      15     918    1425    +    2.2e-166  550.9  18.5  -
Jonesiaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               40     948      14     916       6     918    1514    +    2.9e-166  550.6  18.3  -
Entomoplasmataceae        -          LKAP-TSAKG2_E06_040_2018_2 -               35     926      19     916      11     918    1497    +    3.1e-166  550.6  17.9  -
Oscillospiraceae          -          LKAP-TSAKG2_E06_040_2018_2 -               17     922      10     916       4     918    1453    +    7.4e-166  548.8  18.3  -
Dictyoglomaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               50     952      19     916       9     918    1541    +      2e-165  547.7  18.7  -
Nostocales                -          LKAP-TSAKG2_E06_040_2018_2 -               27     876      18     916       9     918    1457    +    1.1e-164  545.3  17.7  -
Rhodothalassiaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               22     868      18     916       7     918    1318    +    1.4e-164  545.1  18.0  -
Rubricoccaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               24     930      12     916       6     918    1452    +    2.1e-164  544.4  17.9  -
Odoribacteraceae          -          LKAP-TSAKG2_E06_040_2018_2 -               47     943      18     916       9     918    1486    +    4.5e-164  543.1  18.3  -
Marinifilaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               27     924      18     916       9     918    1450    +    2.8e-162  537.2  17.3  -
Fervidobacteriaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               30     957      14     916       8     918    1514    +    7.2e-162  535.9  18.6  -
Deinococcaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               20     905      11     916       6     918    1455    +    1.3e-161  535.0  18.1  -
Mesoaciditogaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               35     945      18     916       9     918    1522    +    2.1e-161  534.4  18.1  -
Gemmatimonadaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               80     932      64     916      43     918    1525    +    1.5e-159  528.3  17.3  -
Rhodospirillales          -          LKAP-TSAKG2_E06_040_2018_2 -               18     864      19     916       8     918    1413    +    1.5e-159  528.5  18.6  -
Blastocatellaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               48     930      19     916      11     918    1485    +      3e-159  527.1  18.0  -
Temperatibacteraceae      -          LKAP-TSAKG2_E06_040_2018_2 -                3     852      26     916      24     918    1362    +    3.2e-158  523.8  17.4  -
Aquificaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               27     924      18     902       8     917    1485    +    2.3e-156  517.9  18.0  -
Kofleriaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               36     961      13     916       5     918    1498    +    2.3e-156  517.8  17.6  -
Syntrophorhabdaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               27     944      18     916       6     918    1482    +    9.2e-156  515.7  17.8  -
Emcibacteraceae           -          LKAP-TSAKG2_E06_040_2018_2 -               47     904      18     916       8     918    1460    +    9.6e-156  515.8  17.9  -
Fervidobacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               28     895      18     916       7     918    1480    +    9.4e-155  512.5  19.7  -
Prochlorococcaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               27     881      13     916       8     918    1465    +    6.7e-154  509.6  17.8  -
Magnetococcaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               47     910      18     916       7     918    1497    +    1.1e-153  508.9  18.4  -
Micropepsaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               44     893      16     916       6     918    1455    +    1.7e-153  508.2  17.9  -
Coriobacteriaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               40     911      18     916       9     918    1462    +    2.1e-153  508.4  18.2  -
Roseiarcaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               46     890      18     916       7     918    1399    +    2.8e-153  507.5  18.0  -
Pseudobacteriovoracaceae  -          LKAP-TSAKG2_E06_040_2018_2 -                2     899      21     916      20     918    1466    +    7.8e-153  505.9  18.0  -
Iodidimonadaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               34     895      18     916       7     918    1437    +    1.9e-152  504.7  18.0  -
Thermomicrobiaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               29     883      61     916      41     918    1273    +      4e-152  504.3  18.4  -
Hydrogenothermaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               27     900      18     915       9     918    1447    +    5.4e-152  503.4  18.1  -
Parachlamydiaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               41     947      19     916      12     918    1529    +    5.8e-152  503.2  17.7  -
Akkermansiaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               28     904      19     916      13     918    1441    +    1.3e-151  502.3  18.6  -
Sphaerobacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               48     923      19     916       9     918    1531    +      3e-151  500.7  18.8  -
Oligoflexaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               27     923      18     916       6     918    1458    +    4.4e-151  500.3  18.2  -
Anaeromyxobacteraceae     -          LKAP-TSAKG2_E06_040_2018_2 -               47     963      18     916       6     918    1549    +    5.1e-151  500.0  18.6  -
Sandaracinaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               10     931      14     916       7     918    1506    +    8.4e-151  499.4  17.7  -
Chlamydiaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               51     963      19     916      11     918    1548    +    1.2e-150  498.6  17.1  -
Hydrogenimonaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               28     923      18     916       6     918    1422    +    3.2e-150  497.4  17.5  -
Gemmataceae               -          LKAP-TSAKG2_E06_040_2018_2 -               41     903      19     916      12     918    1427    +    3.5e-150  497.3  17.7  -
Labilitrichaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               28     943      19     916       7     918    1483    +    3.8e-150  497.0  17.5  -
Gaiellaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               40     954      13     916       5     918    1544    +    8.5e-150  495.8  17.6  -
Bradymonadaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               28     921      19     916       6     918    1461    +    1.4e-149  495.0  17.5  -
Thermosporotrichaceae     -          LKAP-TSAKG2_E06_040_2018_2 -                7     833      62     916      54     918    1317    +    8.1e-149  492.9  18.5  -
Lentisphaeraceae          -          LKAP-TSAKG2_E06_040_2018_2 -               39     913      19     916      11     918    1465    +    2.4e-147  488.0  17.8  -
Vulgatibacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               21     942      14     916       6     918    1479    +    5.3e-147  486.8  17.8  -
Gracilibacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -              198    1041      59     916      36     918    1549    +    1.1e-146  485.5  18.2  -
Melioribacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               42     949      13     916       5     918    1539    +    2.5e-146  484.4  18.0  -
Acanthopleuribacteraceae  -          LKAP-TSAKG2_E06_040_2018_2 -               28     919      53     916      32     918    1453    +    5.3e-146  483.4  17.8  -
Phaselicystidaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               39     958      13     916       5     918    1539    +    7.7e-146  483.0  17.6  -
Acidothermaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               37     923      13     916       5     918    1509    +      2e-145  481.7  18.6  -
Christensenellaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               37     935      19     916       6     918    1497    +    9.2e-145  479.2  17.9  -
Brachyspiraceae           -          LKAP-TSAKG2_E06_040_2018_2 -               17     893      16     916       9     918    1441    +      2e-144  478.2  18.0  -
Egicoccaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               47     929      18     916       6     918    1512    +    7.4e-143  473.0  18.4  -
Haloplasmataceae          -          LKAP-TSAKG2_E06_040_2018_2 -               28     917      18     916       6     918    1345    +    1.7e-142  472.0  18.3  -
Acidimicrobiales          -          LKAP-TSAKG2_E06_040_2018_2 -               29     917      18     916       6     918    1483    +    2.2e-142  471.6  18.3  -
Halanaerobiales           -          LKAP-TSAKG2_E06_040_2018_2 -               32     961      19     916       7     918    1500    +    3.2e-142  470.8  18.1  -
Ignavibacteriaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               68     924      63     916      40     918    1461    +    4.8e-142  470.3  17.7  -
Nitriliruptoraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               36     918      18     916       6     918    1425    +    3.6e-141  467.4  18.4  -
Chloroflexaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               48     905      19     916       9     918    1473    +      1e-140  466.2  17.5  -
Thermonemataceae          -          LKAP-TSAKG2_E06_040_2018_2 -               18     917      18     916       7     918    1465    +    7.7e-140  463.1  17.3  -
Thermogemmatisporaceae    -          LKAP-TSAKG2_E06_040_2018_2 -               27     914      18     916       7     918    1443    +    1.1e-139  462.5  18.6  -
Aquificales               -          LKAP-TSAKG2_E06_040_2018_2 -               17     944      18     916       7     918    1450    +    2.3e-139  461.6  17.9  -
Euzebyaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               26     910      17     916       6     918    1476    +    1.6e-138  458.8  18.8  -
Spirochaetales            -          LKAP-TSAKG2_E06_040_2018_2 -               25     917      16     916       6     918    1456    +    5.9e-137  453.4  17.8  -
Egibacteraceae            -          LKAP-TSAKG2_E06_040_2018_2 -               47     931      18     916       6     918    1516    +    1.3e-136  452.5  18.4  -
Longimicrobiaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               14     888      60     916      48     918    1413    +    7.1e-136  450.0  17.9  -
Catalimonadaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               20     907      24     916       9     918    1425    +    1.3e-135  449.0  18.1  -
Mzabimycetaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               10     850      58     916      50     918    1357    +    2.1e-135  448.3  19.0  -
Blastocatellales          -          LKAP-TSAKG2_E06_040_2018_2 -               47     907      18     916       8     918    1488    +    6.7e-135  446.6  18.5  -
Isosphaeraceae            -          LKAP-TSAKG2_E06_040_2018_2 -               44     919      19     916      10     918    1475    +    2.2e-134  444.9  18.2  -
Gloeomargaritaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               41     897      14     916       5     918    1482    +    4.2e-134  444.1  18.2  -
Elusimicrobiaceae         -          LKAP-TSAKG2_E06_040_2018_2 -                7     894      19     916      14     918    1395    +      9e-134  442.8  17.7  -
Schleiferiaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               46     941      18     916       6     918    1499    +    1.8e-133  442.1  18.1  -
Xenococcaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               27     881      18     916       8     918    1418    +    1.9e-133  442.1  17.6  -
Mooreiaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               16     908      19     916       7     918    1424    +    5.3e-133  440.5  18.7  -
Armatimonadaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               26     901      18     916       6     918    1438    +    1.1e-132  439.3  17.1  -
Spartobacteria            -          LKAP-TSAKG2_E06_040_2018_2 -               25     913      18     916       7     918    1418    +    2.3e-132  438.3  18.4  -
Herpetosiphonaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               48     906      19     916       7     918    1475    +    1.4e-130  432.2  18.3  -
Ichthyobacteriaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               47     947      18     916       7     918    1521    +      3e-130  431.3  17.6  -
Lentimicrobiaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               27     922      18     916       6     918    1446    +    5.2e-130  430.4  17.9  -
Kiritimatiellaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               47     976      18     916       6     918    1556    +    1.4e-129  429.1  17.9  -
Caldisericaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               22     943      14     916       5     918    1481    +    1.8e-129  428.6  18.0  -
Trueperaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               17     887      18     916       7     918    1461    +    3.5e-129  427.6  17.9  -
Ardenticatenia            -          LKAP-TSAKG2_E06_040_2018_2 -               27     931      18     916       6     918    1453    +    3.8e-129  427.8  18.3  -
Roseiflexaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               48     906      19     916       7     918    1469    +    1.3e-128  426.2  17.5  -
Victivallaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               44     909      19     916       8     918    1456    +      2e-128  425.2  18.1  -
Fimbriimonadaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               31     901      17     916       6     918    1443    +      4e-128  424.2  17.5  -
Ktedonobacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               22     880      18     916       6     918    1386    +      2e-127  422.1  18.4  -
Brevinemataceae           -          LKAP-TSAKG2_E06_040_2018_2 -               46     936      18     915       7     918    1490    +      2e-127  421.9  18.4  -
