# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               19     880      15     872       7     872    1491    +           0 1038.1  18.5  -
Holophagaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               37     885      14     871       8     872    1502    +    8.6e-179  592.1  18.4  -
Ruaniaceae                -          LKAP-TSAKG2_H09_065_2018_2 -               48     882      19     872       8     872    1531    +      1e-178  591.5  18.2  -
Granulosicoccaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               20     870      16     871       8     872    1471    +      1e-178  591.7  19.4  -
Halobacteriovoracaceae    -          LKAP-TSAKG2_H09_065_2018_2 -               18     882      14     871       8     872    1480    +    1.1e-178  591.6  18.2  -
Dermabacteraceae          -          LKAP-TSAKG2_H09_065_2018_2 -               30     859      17     872       7     872    1470    +    1.1e-178  591.4  18.7  -
Idiomarinaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               22     871      17     872       7     872    1466    +    2.5e-178  590.1  18.7  -
Frankiales                -          LKAP-TSAKG2_H09_065_2018_2 -               31     853      19     872       8     872    1425    +    5.8e-178  589.3  18.2  -
Microbulbiferaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               23     863      18     872       8     872    1480    +    7.8e-178  588.9  18.9  -
Desulfarculaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               32     897      18     872       7     872    1516    +    8.6e-178  588.7  18.2  -
Sutterellaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               23     866      18     871       7     872    1487    +    1.3e-177  587.9  19.5  -
Hydrogenophilaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               20     865      16     872       8     872    1461    +    1.6e-177  587.9  18.6  -
Anaplasmataceae           -          LKAP-TSAKG2_H09_065_2018_2 -               35     843      19     871       8     872    1441    +      2e-177  587.7  18.7  -
Streptosporangineae       -          LKAP-TSAKG2_H09_065_2018_2 -                3     818      20     872      18     872    1443    +    2.3e-177  587.1  18.6  -
Rickettsiaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               21     824      17     871       8     872    1430    +    2.3e-177  587.3  18.7  -
Verrucomicrobiaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               25     870      19     871       8     872    1470    +    2.7e-177  587.2  19.2  -
Shewanellaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               21     872      16     872       6     872    1483    +    2.8e-177  586.9  19.4  -
Oscillatoriales           -          LKAP-TSAKG2_H09_065_2018_2 -               22     814      18     869       8     872    1445    +    4.5e-177  586.4  18.0  -
Parvularculaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               44     831      19     871       9     872    1428    +    5.3e-177  586.4  17.6  -
Alcaligenaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               22     865      17     871       6     872    1467    +    6.4e-177  585.8  19.0  -
Bifidobacteriaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               36     867      18     872       7     872    1469    +    1.8e-176  584.3  18.5  -
Bryobacteraceae           -          LKAP-TSAKG2_H09_065_2018_2 -               43     845      19     871      10     872    1417    +    1.9e-176  584.3  18.7  -
Oscillospiraceae          -          LKAP-TSAKG2_H09_065_2018_2 -               19     858      15     869       5     872    1453    +    3.1e-176  583.1  18.0  -
Burkholderiales           -          LKAP-TSAKG2_H09_065_2018_2 -               22     864      17     872       7     872    1463    +    3.3e-176  583.4  19.7  -
Pseudoalteromonadaceae    -          LKAP-TSAKG2_H09_065_2018_2 -               22     866      17     872       7     872    1469    +    3.6e-176  583.1  19.0  -
Vibrionaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               22     879      17     871       7     872    1474    +    1.2e-175  581.4  19.2  -
Nocardiopsaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               23     859      18     872       7     872    1475    +    3.8e-175  580.0  18.3  -
Sulfuricellaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               24     868      18     872       9     872    1463    +    4.2e-175  579.7  19.2  -
Morganellaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               24     873      17     872       7     872    1487    +    6.5e-175  579.2  19.3  -
Eggerthellaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               26     847      15     872       8     872    1449    +    6.6e-175  579.2  18.3  -
Bartonellaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               24     812      19     871       7     872    1410    +    7.2e-175  579.0  18.2  -
Desulfurobacteriaceae     -          LKAP-TSAKG2_H09_065_2018_2 -               18     893      14     872       6     872    1497    +    2.2e-174  577.7  18.7  -
Oxalobacteraceae          -          LKAP-TSAKG2_H09_065_2018_2 -               20     864      16     871       6     872    1459    +    3.6e-174  576.7  19.1  -
Actinopolysporaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               24     865      18     872       6     872    1480    +    4.7e-174  576.2  18.4  -
Methylophilaceae          -          LKAP-TSAKG2_H09_065_2018_2 -                6     853      18     871      14     872    1431    +    1.3e-173  574.9  19.0  -
Cytophagales              -          LKAP-TSAKG2_H09_065_2018_2 -               24     858      19     871      11     872    1444    +    1.9e-173  574.3  18.6  -
Colwelliaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               24     871      19     872       8     872    1467    +    3.8e-173  573.2  19.3  -
Dictyoglomaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               41     891      15     872       8     872    1541    +      7e-173  572.3  18.0  -
Aeromonadaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               32     884      16     872       8     872    1496    +    7.8e-173  571.9  19.9  -
Hymenobacteraceae         -          LKAP-TSAKG2_H09_065_2018_2 -               21     849      16     870       7     872    1445    +    9.5e-173  572.0  18.6  -
Bernardetiaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               24     859      19     869      10     872    1481    +    1.3e-172  571.4  18.4  -
Jonesiaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               43     887      19     872       7     872    1514    +    1.8e-172  571.2  18.6  -
Campylobacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               19     846      15     871       7     872    1429    +    1.8e-172  570.7  18.2  -
Enterobacteriaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               22     870      17     872       7     872    1465    +      5e-172  569.5  19.6  -
Porphyromonadaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               32     872      19     870      12     872    1473    +      1e-171  568.6  18.4  -
Pyrinomonadaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               41     906      17     871       7     872    1526    +      1e-171  568.3  18.5  -
Cohaesibacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               43     830      19     871       7     872    1425    +    1.1e-171  568.6  17.8  -
Phormidiaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               37     835      13     869       8     872    1483    +    1.2e-171  568.6  19.4  -
Caldilineaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               25     851      14     872       8     872    1434    +    1.2e-171  568.3  18.4  -
Acidithiobacillaceae      -          LKAP-TSAKG2_H09_065_2018_2 -               17     861      14     872       7     872    1457    +    1.6e-171  567.7  19.3  -
Psychromonadaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               24     870      19     872       7     872    1467    +      2e-171  567.5  19.4  -
Flavobacteriaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               22     865      18     870       8     872    1451    +    2.7e-171  567.0  19.1  -
Erwiniaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               18     865      18     872       7     872    1483    +    5.2e-171  566.1  19.5  -
Puniceicoccaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               33     884      18     872      10     872    1485    +    6.1e-171  565.9  18.6  -
Legionellaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               20     867      19     871       7     872    1446    +      9e-171  565.4  18.9  -
Iamiaceae                 -          LKAP-TSAKG2_H09_065_2018_2 -               18     854      14     872       8     872    1480    +    1.6e-170  564.8  17.9  -
Acidobacteriaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               38     847      14     871       8     872    1462    +    3.4e-170  563.4  18.2  -
Francisellaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               34     871      19     872       8     872    1508    +    3.7e-170  563.3  19.5  -
Deinococcaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               21     844      15     872       7     872    1455    +    5.7e-170  562.6  18.1  -
Persicobacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               23     857      18     869       8     872    1448    +    6.2e-170  562.7  19.3  -
Yersiniaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               21     870      17     872       8     872    1473    +    3.9e-169  559.8  19.5  -
Hafniaceae                -          LKAP-TSAKG2_H09_065_2018_2 -               18     864      19     872       8     872    1459    +      6e-169  559.2  19.3  -
Aquificaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               19     876      15     870       7     872    1485    +    6.2e-169  559.5  18.9  -
Chroococcales             -          LKAP-TSAKG2_H09_065_2018_2 -               32     828      16     869       6     872    1445    +    6.7e-169  559.0  18.0  -
Moritellaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               39     887      19     872       9     872    1501    +    6.7e-169  559.0  19.3  -
Ferrimonadaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               23     880      18     872       7     872    1475    +    1.4e-168  557.8  19.6  -
Mesoaciditogaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               26     884      14     872       8     872    1522    +      2e-168  557.6  19.7  -
Stigonematales            -          LKAP-TSAKG2_H09_065_2018_2 -               44     836      19     869      10     872    1450    +    3.6e-168  556.9  17.8  -
Zoogloeaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               30     872      18     872       8     872    1474    +      4e-168  556.5  19.8  -
Pectobacteriaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               20     867      18     872       7     872    1477    +    1.2e-167  554.8  19.4  -
Azonexaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               20     869      15     872       6     872    1474    +    1.6e-167  554.7  18.7  -
Methylothermaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               45     891      19     872       8     872    1491    +    1.9e-167  554.3  19.3  -
Kordiimonadaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               20     822      16     871       9     872    1421    +    3.1e-167  553.9  18.1  -
Salinibacteraceae         -          LKAP-TSAKG2_H09_065_2018_2 -               49     887      19     869       8     872    1497    +      6e-167  552.7  18.7  -
Pasteurellaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               24     871      19     872       8     872    1422    +    7.4e-167  552.4  19.3  -
Comamonadaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               22     863      17     872       7     872    1466    +    8.1e-167  552.0  19.4  -
Budviciaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               11     860      17     872      11     872    1483    +    1.2e-166  551.6  19.6  -
Nitrosomonadaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               23     865      18     871       8     872    1461    +      2e-166  551.1  18.6  -
Rubricoccaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               27     867      18     870       6     872    1452    +    2.2e-166  550.8  18.1  -
Microscillaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               20     845      16     871      10     872    1461    +    3.8e-165  546.7  18.2  -
Planctomycetaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               34     862      19     870      12     872    1486    +      7e-165  546.1  18.9  -
Thiobacilliaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               42     883      18     871       8     872    1517    +    7.4e-165  545.8  18.9  -
Celerinatantimonadaceae   -          LKAP-TSAKG2_H09_065_2018_2 -               19     877      19     872       9     872    1433    +    4.1e-164  543.3  19.3  -
Chlorobiaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               40     868      16     869       6     872    1455    +    7.1e-164  542.5  17.5  -
Leptotrichiaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               43     865      18     871      10     872    1492    +    1.5e-163  541.4  18.1  -
Petrotogaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               36     865      17     872       8     872    1488    +    1.9e-163  541.4  19.4  -
Gemmatimonadaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               47     871      19     872      10     872    1525    +    2.8e-163  540.6  18.2  -
Marinilabiliaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               23     859      18     869      11     871    1447    +    4.1e-163  539.7  18.5  -
Cyclobacteriaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               22     859      17     870       8     872    1447    +    4.2e-163  540.1  18.5  -
Orbaceae                  -          LKAP-TSAKG2_H09_065_2018_2 -               51     894      19     872       9     872    1539    +    6.2e-163  539.2  19.5  -
Fervidobacteriaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               28     894      16     870       8     872    1514    +    8.5e-163  538.9  19.4  -
Gracilibacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -              196     980      59     872      38     872    1549    +    1.7e-162  537.8  17.8  -
Rubritaleaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               30     870      18     871       8     872    1459    +    2.6e-162  537.2  19.1  -
Sphingobacteriaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               21     860      16     872       7     872    1450    +    1.2e-161  535.0  19.3  -
Sphaerobacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               38     862      14     872       7     872    1531    +    2.5e-161  534.1  18.8  -
Blastocatellaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               40     866      16     869       9     872    1485    +    1.5e-160  531.4  17.8  -
Cryomorphaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               28     867      18     870      11     872    1454    +    4.6e-160  530.0  18.8  -
Coriobacteriaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               33     850      16     872       9     872    1462    +    1.2e-158  525.7  17.9  -
Nostocales                -          LKAP-TSAKG2_H09_065_2018_2 -               24     812      19     869      10     871    1457    +    3.7e-158  523.7  18.0  -
Kosmotogaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               32     866      19     871       8     872    1488    +    7.3e-158  522.9  20.2  -
Thorselliaceae            -          LKAP-TSAKG2_H09_065_2018_2 -                1     839      23     872      23     872    1419    +    2.1e-157  521.0  20.0  -
Kofleriaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               39     900      18     872       7     872    1498    +    2.4e-157  521.0  18.6  -
Fibrobacteraceae          -          LKAP-TSAKG2_H09_065_2018_2 -               20     840      16     869       9     872    1412    +    4.2e-157  520.4  18.8  -
Kiloniellaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               43     840      19     871       6     872    1450    +    4.4e-157  519.8  17.6  -
Opitutaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               24     888      19     872      11     872    1482    +    8.4e-157  519.0  18.8  -
Hydrogenothermaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               19     840      15     872       8     872    1447    +      1e-156  519.0  18.5  -
Akkermansiaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               24     842      19     871      11     872    1441    +    1.4e-156  518.6  18.8  -
Prolixibacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               21     857      17     870       9     872    1444    +    3.2e-156  517.1  18.3  -
Haliscomenobacteraceae    -          LKAP-TSAKG2_H09_065_2018_2 -               44     878      19     869      11     872    1485    +    4.7e-156  517.0  18.4  -
Prochlorococcaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               31     817      19     869       8     872    1465    +    8.2e-156  515.8  18.3  -
Rikenellaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               32     872      19     870      11     872    1456    +    9.2e-156  515.6  18.8  -
Anaeromyxobacteraceae     -          LKAP-TSAKG2_H09_065_2018_2 -               39     902      15     872       5     872    1549    +    1.2e-154  512.0  18.3  -
Thermomicrobiaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               34     822      66     872      46     872    1273    +    1.4e-154  512.4  18.2  -
Chitinophagaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               23     863      17     871       7     872    1458    +    4.1e-154  510.5  18.5  -
Acidothermaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               40     862      18     872       6     872    1509    +    7.1e-154  509.5  18.3  -
Lewinellaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               23     855      18     869       9     872    1446    +    7.9e-154  509.3  17.9  -
Halanaerobiales           -          LKAP-TSAKG2_H09_065_2018_2 -               23     899      15     871       5     872    1500    +    1.4e-153  508.3  18.7  -
Crocinitomicaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               20     865      16     870       7     872    1466    +    3.5e-153  506.9  18.8  -
Brachyspiraceae           -          LKAP-TSAKG2_H09_065_2018_2 -               13     830      16     870       9     872    1441    +    3.9e-153  506.9  18.9  -
Parachlamydiaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               40     883      22     869      14     872    1529    +    5.6e-152  503.2  19.3  -
Phaselicystidaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               42     897      18     872       6     872    1539    +    3.7e-151  500.5  19.1  -
Odoribacteraceae          -          LKAP-TSAKG2_H09_065_2018_2 -               43     879      18     869      12     871    1486    +    3.8e-151  500.2  19.3  -
Christensenellaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               33     871      19     869       7     872    1497    +    6.6e-151  499.5  18.6  -
Euzebyaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               18     849      13     872       6     872    1476    +      9e-150  495.9  18.2  -
Vulgatibacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               23     881      18     872       6     872    1479    +    2.1e-149  494.6  18.5  -
Bacteroidales             -          LKAP-TSAKG2_H09_065_2018_2 -               46     880      19     869      12     871    1485    +    2.4e-149  494.1  18.7  -
Bradymonadaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               23     860      18     872       6     872    1461    +    9.5e-149  492.2  18.3  -
Oleiphilaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               30     867      17     872       6     872    1437    +    1.8e-148  491.6  18.7  -
Fervidobacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               20     833      15     871       6     872    1480    +    2.3e-148  491.3  19.5  -
Gaiellaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               43     893      18     872       6     872    1544    +    9.6e-148  489.0  18.8  -
Chlamydiaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               49     898      21     868      11     871    1548    +    1.2e-147  488.5  18.4  -
Saprospiraceae            -          LKAP-TSAKG2_H09_065_2018_2 -               34     868      18     869       7     872    1430    +    1.8e-147  488.6  19.0  -
Sandaracinaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               13     869      19     871       9     872    1506    +    2.5e-147  487.8  18.5  -
Egibacteraceae            -          LKAP-TSAKG2_H09_065_2018_2 -               41     870      16     872       6     872    1516    +    1.3e-146  485.5  18.3  -
Ignavibacteriaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               23     860      18     869       6     872    1461    +    3.2e-146  484.0  18.5  -
Prevotellaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               25     868      19     869      10     872    1464    +    4.2e-146  483.4  18.6  -
Labilitrichaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               21     882      16     872       6     872    1483    +      1e-145  482.3  18.4  -
Woeseiaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               28     876      15     869       5     872    1476    +    1.3e-145  482.0  19.0  -
Syntrophorhabdaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               19     883      15     872       6     872    1482    +    5.1e-145  480.1  18.5  -
Marinifilaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               20     860      16     869      10     871    1450    +    1.9e-144  478.0  18.5  -
Longimicrobiaceae         -          LKAP-TSAKG2_H09_065_2018_2 -                9     827      57     872      50     872    1413    +    2.4e-144  478.0  17.7  -
Rhodothalassiaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               16     807      17     872       7     872    1318    +    3.4e-144  477.5  18.1  -
Egicoccaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               44     868      19     872       7     872    1512    +    3.6e-144  477.3  18.2  -
Immundisolibacteraceae    -          LKAP-TSAKG2_H09_065_2018_2 -               52     899      18     872       6     872    1555    +      5e-144  476.7  19.2  -
Spirillaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               36     888      16     871       8     872    1447    +    2.3e-143  474.8  19.2  -
Aquificales               -          LKAP-TSAKG2_H09_065_2018_2 -               11     883      16     872       8     872    1450    +    3.9e-143  474.0  18.8  -
Porticoccaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               29     871      17     872       6     872    1497    +    5.2e-143  473.4  18.7  -
Acidimicrobiales          -          LKAP-TSAKG2_H09_065_2018_2 -               21     856      15     872       6     872    1483    +    8.3e-143  473.0  18.3  -
Nitriliruptoraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               33     857      19     872       7     872    1425    +    1.4e-142  472.0  18.2  -
Roseiarcaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               42     828      18     871       6     872    1399    +    4.4e-142  470.3  19.0  -
Thermogemmatisporaceae    -          LKAP-TSAKG2_H09_065_2018_2 -               20     853      16     872       7     872    1443    +    5.2e-142  470.2  19.6  -
Thermosporotrichaceae     -          LKAP-TSAKG2_H09_065_2018_2 -                8     771      65     871      60     872    1317    +    1.4e-141  468.9  19.0  -
Algiphilaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               43     883      18     872       6     872    1501    +    3.9e-141  467.0  17.9  -
Melioribacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               45     885      18     869       6     872    1539    +    7.1e-141  466.3  18.4  -
Armatimonadaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               18     840      15     872       6     872    1438    +    1.2e-140  465.6  18.0  -
Gallionellaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               39     882      17     872       6     872    1385    +    7.5e-140  463.1  19.1  -
Chitinivibrionaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               31     880      18     871       6     872    1488    +    3.6e-139  460.7  18.7  -
Acanthopleuribacteraceae  -          LKAP-TSAKG2_H09_065_2018_2 -               37     857      64     871      44     872    1453    +    2.8e-138  457.8  18.0  -
Betaproteobacteria        -          LKAP-TSAKG2_H09_065_2018_2 -                4     843      18     871      15     872    1454    +    8.3e-138  456.3  18.9  -
Magnetococcaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               43     849      18     872       6     872    1497    +    1.1e-137  455.8  18.9  -
Sterolibacteriaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               37     887      17     871       6     872    1531    +    1.5e-137  455.4  19.4  -
Micropepsaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               41     832      17     872       6     872    1455    +    1.9e-137  455.0  18.4  -
Mariprofundaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               39     884      15     871       5     872    1528    +    2.3e-137  454.6  18.5  -
Iodidimonadaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               28     833      17     871       6     872    1437    +    4.8e-137  453.7  17.6  -
Mzabimycetaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               13     789      63     872      54     872    1357    +    8.4e-137  452.9  19.2  -
Trueperaceae              -          LKAP-TSAKG2_H09_065_2018_2 -                9     826      15     872       8     872    1461    +    9.8e-137  452.6  18.0  -
Ventosimonadaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               48     897      17     872       6     872    1489    +    1.8e-136  451.7  18.9  -
Ardenticatenia            -          LKAP-TSAKG2_H09_065_2018_2 -               21     870      16     872       6     872    1453    +    3.8e-136  450.9  18.1  -
Caldisericaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               21     882      16     872       6     872    1481    +    4.2e-136  450.4  18.7  -
Gemmataceae               -          LKAP-TSAKG2_H09_065_2018_2 -               37     840      19     870      12     872    1427    +    8.8e-136  449.4  19.2  -
Pseudobacteriovoracaceae  -          LKAP-TSAKG2_H09_065_2018_2 -                2     837      25     871      24     872    1466    +    3.1e-135  447.6  18.9  -
Thermoflexaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               13     851      22     872      11     872    1466    +    1.6e-134  445.7  19.0  -
Lysobacteriales           -          LKAP-TSAKG2_H09_065_2018_2 -               47     894      15     872       5     872    1508    +    1.8e-134  445.3  19.3  -
Chloroflexaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               38     841      14     869       8     872    1473    +    2.8e-134  444.8  19.6  -
Elusimicrobiaceae         -          LKAP-TSAKG2_H09_065_2018_2 -                3     833      19     872      17     872    1395    +    3.7e-134  444.0  18.3  -
Rhodospirillales          -          LKAP-TSAKG2_H09_065_2018_2 -               14     803      19     872       8     872    1413    +    4.6e-134  444.2  18.9  -
Oligosphaeraceae          -          LKAP-TSAKG2_H09_065_2018_2 -               23     838      18     872       8     872    1434    +      7e-134  443.2  17.8  -
Emcibacteraceae           -          LKAP-TSAKG2_H09_065_2018_2 -               39     842      15     871       5     872    1460    +    2.1e-133  441.8  18.0  -
Isosphaeraceae            -          LKAP-TSAKG2_H09_065_2018_2 -               39     856      18     870      11     872    1475    +    6.8e-133  439.9  19.5  -
Kiritimatiellaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               42     915      17     872       7     872    1556    +    1.2e-131  435.8  18.8  -
Herpetosiphonaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               39     842      15     869       5     872    1475    +    1.5e-131  435.3  17.4  -
Soortiaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               48     893      19     869       6     872    1516    +      2e-131  435.1  17.8  -
Lentisphaeraceae          -          LKAP-TSAKG2_H09_065_2018_2 -               34     851      18     871      11     872    1465    +    2.1e-131  435.1  17.9  -
Prochlorotrichaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               11     799      19     869      11     872    1448    +    5.9e-131  433.5  17.8  -
Oligoflexaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               19     861      15     871       6     872    1458    +    7.8e-131  433.2  18.4  -
Hydrogenimonaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               18     861      13     871       6     872    1422    +    3.4e-129  427.8  18.5  -
Temperatibacteraceae      -          LKAP-TSAKG2_H09_065_2018_2 -               26     790      56     871      35     872    1362    +    5.2e-129  427.1  17.8  -
Xenococcaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               19     817      15     869       6     872    1418    +      7e-127  420.3  18.4  -
Blastocatellales          -          LKAP-TSAKG2_H09_065_2018_2 -               39     843      15     869       5     872    1488    +      9e-127  419.6  17.7  -
Ktedonobacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               14     818      15     871       6     872    1386    +    5.6e-126  417.2  18.7  -
Brevinemataceae           -          LKAP-TSAKG2_H09_065_2018_2 -               42     876      18     872       7     872    1490    +    1.7e-124  412.2  19.6  -
Victivallaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               39     848      18     872       7     872    1456    +    4.1e-124  410.9  18.0  -
Thermonemataceae          -          LKAP-TSAKG2_H09_065_2018_2 -               13     853      17     869       8     872    1465    +    7.6e-124  410.1  19.3  -
Fimbriimonadaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               23     840      14     872       5     872    1443    +    4.2e-121  400.9  18.2  -
Roseiflexaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               39     842      15     869       5     872    1469    +    8.4e-121  400.3  18.3  -
Chthonomonadaceae         -          LKAP-TSAKG2_H09_065_2018_2 -                1     831      23     872      23     872    1411    +      2e-120  398.8  19.3  -
Lentimicrobiaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               23     858      18     869       6     872    1446    +    7.6e-120  396.7  18.8  -
Gloeomargaritaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               43     833      18     869       6     872    1482    +      8e-120  396.8  18.7  -
