# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               16     946      13     947       6     947    1468    +           0 1102.4  19.5  -
Oceanospirillaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               29     956      20     947       7     947    1467    +    3.1e-303 1004.4  19.3  -
Peptoniphilaceae          -          LKAP-TSAKG2_B11_093_2018_2 -                9     916      24     947      18     947    1437    +    6.4e-200  662.3  19.4  -
Listeriaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               20     951      24     947      13     947    1448    +    9.9e-200  661.6  18.7  -
Corynebacteriaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               31     938      23     947       9     947    1459    +    1.3e-199  661.0  19.1  -
Rhodothermaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               63     945      64     947      44     947    1457    +    1.5e-199  660.9  19.8  -
Cyclobacteriaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               30     946      21     947       8     947    1447    +    1.8e-199  660.7  19.3  -
Enterococcaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               32     973      23     947       9     947    1498    +    6.6e-199  658.8  18.6  -
Nocardioidaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               30     933      22     947       7     947    1455    +    1.2e-198  658.0  19.7  -
Leuconostocaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               29     969      24     947      13     947    1479    +    1.5e-198  657.7  18.6  -
Sporolactobacillaceae     -          LKAP-TSAKG2_B11_093_2018_2 -               33     962      24     947      11     947    1503    +    1.5e-198  657.5  19.0  -
Acidimicrobiaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               80     954      57     947      27     947    1464    +    4.1e-198  656.2  19.9  -
Algiphilaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               52     968      23     947       7     947    1501    +    4.2e-198  655.7  19.0  -
Intrasporangiaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               29     938      21     947       7     947    1461    +    5.5e-198  655.6  19.5  -
Cystobacteraceae          -          LKAP-TSAKG2_B11_093_2018_2 -               62     963      67     947      46     947    1491    +      7e-198  655.3  19.7  -
Myxococcaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               78     979      67     947      47     947    1517    +    2.4e-197  653.5  19.6  -
Cellulomonadaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               34     940      22     947       8     947    1465    +    2.8e-197  653.4  19.6  -
Corynebacterineae         -          LKAP-TSAKG2_B11_093_2018_2 -               64     930      66     947      44     947    1473    +    1.4e-196  651.1  20.3  -
Haliscomenobacteraceae    -          LKAP-TSAKG2_B11_093_2018_2 -               49     966      21     947       8     947    1485    +    6.3e-196  649.3  18.4  -
Actinomycetaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               33     964      24     947      10     947    1468    +      8e-196  648.5  18.9  -
Halanaerobiaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               76     985      50     947      28     947    1503    +    1.2e-195  647.8  19.2  -
Crocinitomicaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               30     952      21     947       7     947    1466    +    1.6e-195  647.3  18.6  -
Acidobacteriaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               87     933      68     947      48     947    1462    +    3.6e-195  646.3  20.0  -
Natranaerobiaceae         -          LKAP-TSAKG2_B11_093_2018_2 -                3     929      16     947      14     947    1429    +    7.3e-195  645.3  18.5  -
Dehalococcoidaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               60     920      68     946      48     947    1437    +    1.3e-194  644.9  19.7  -
Lewinellaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               29     943      21     947       7     947    1446    +    4.2e-194  642.9  18.7  -
Thermodesulfobiaceae      -          LKAP-TSAKG2_B11_093_2018_2 -               49     955      24     947      13     947    1520    +    4.7e-194  642.6  19.0  -
Kineosporiaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               38     938      22     947       8     947    1463    +    5.6e-194  642.5  19.6  -
Solirubrobacteraceae      -          LKAP-TSAKG2_B11_093_2018_2 -               48     943      64     947      43     947    1443    +      6e-194  642.2  19.4  -
Frankiaceae               -          LKAP-TSAKG2_B11_093_2018_2 -               56     944      26     947      12     947    1499    +    7.1e-194  642.2  19.4  -
Rikenellaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               38     959      22     947       9     947    1456    +      1e-193  641.5  18.3  -
Oscillatoriales           -          LKAP-TSAKG2_B11_093_2018_2 -               53     902      64     947      43     947    1445    +    1.1e-193  641.7  19.4  -
Thermaceae                -          LKAP-TSAKG2_B11_093_2018_2 -               69     936      64     947      40     947    1477    +    2.3e-193  640.5  19.4  -
Micromonosporaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               47     946      24     947       9     947    1482    +    3.7e-193  639.7  20.0  -
Thermomonosporaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               64     931      66     947      44     947    1464    +    3.8e-193  639.6  19.9  -
Rubrobacteraceae          -          LKAP-TSAKG2_B11_093_2018_2 -               65     959      67     947      53     947    1495    +    6.6e-193  638.9  19.6  -
Balneolaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               69     949      67     947      47     947    1459    +    9.2e-193  638.3  19.5  -
Tsukamurellaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               83     950      66     947      45     947    1495    +    9.3e-193  638.4  20.6  -
Propionibacteriaceae      -          LKAP-TSAKG2_B11_093_2018_2 -               36     938      23     947       8     947    1462    +    1.4e-192  637.8  19.5  -
Desulfurobacteriaceae     -          LKAP-TSAKG2_B11_093_2018_2 -               75     978      65     947      44     947    1497    +    1.4e-192  638.1  19.5  -
Chrysiogenaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               77     953      70     947      50     947    1513    +    1.4e-192  637.8  19.5  -
Promicromonosporaceae     -          LKAP-TSAKG2_B11_093_2018_2 -               29     932      21     947       7     947    1462    +    2.1e-192  637.2  19.4  -
Acholeplasmataceae        -          LKAP-TSAKG2_B11_093_2018_2 -               46     934      62     947      42     947    1437    +    3.5e-192  636.3  20.0  -
Saprospiraceae            -          LKAP-TSAKG2_B11_093_2018_2 -               39     956      20     947       6     947    1430    +      8e-192  635.7  18.9  -
Marinilabiliaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               29     947      21     947      10     947    1447    +    9.5e-192  634.8  18.8  -
Dermacoccaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               29     933      23     947       8     947    1456    +    1.1e-191  634.7  19.4  -
Nakamurellaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               64     931      66     947      45     947    1462    +    1.3e-191  634.6  20.0  -
Streptosporangiaceae      -          LKAP-TSAKG2_B11_093_2018_2 -               62     927      66     947      45     947    1464    +    1.4e-191  634.3  20.2  -
Anaeroplasmataceae        -          LKAP-TSAKG2_B11_093_2018_2 -               84     951      68     947      45     947    1453    +    2.3e-191  633.8  19.7  -
Planctomycetaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               43     949      24     947      12     947    1486    +    2.8e-191  633.7  18.8  -
Persicobacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               31     945      22     947       8     947    1448    +    3.2e-191  633.3  18.9  -
Salinibacteraceae         -          LKAP-TSAKG2_B11_093_2018_2 -               97     975      68     947      47     947    1497    +    3.8e-191  633.1  19.3  -
Bogoriellaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               29     940      20     947       7     947    1470    +      7e-191  632.1  18.9  -
Cryomorphaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               36     954      22     947       9     947    1454    +    7.4e-191  632.1  18.9  -
Mycobacteriaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               68     940      65     947      42     947    1471    +    8.8e-191  631.7  20.1  -
Spiroplasmataceae         -          LKAP-TSAKG2_B11_093_2018_2 -               75     962      64     947      44     947    1516    +    1.2e-190  631.7  20.2  -
Catenulisporaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               66     930      68     947      48     947    1460    +    2.1e-190  630.6  20.3  -
Opitutaceae               -          LKAP-TSAKG2_B11_093_2018_2 -               34     973      25     947      16     947    1482    +    2.3e-190  630.4  18.9  -
Actinomycetales           -          LKAP-TSAKG2_B11_093_2018_2 -               83     968      63     947      43     947    1535    +    3.3e-190  629.9  19.9  -
Pyrinomonadaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               88     992      67     947      47     947    1526    +    3.3e-190  629.7  19.4  -
Geodermatophilaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               46     947      24     947       8     947    1479    +    3.9e-190  629.7  19.8  -
Chroococcales             -          LKAP-TSAKG2_B11_093_2018_2 -               45     916      24     947       7     947    1445    +      4e-190  629.5  19.4  -
Sanguibacteraceae         -          LKAP-TSAKG2_B11_093_2018_2 -               46     952      21     947       8     947    1483    +    4.3e-190  629.5  19.8  -
Dietziaceae               -          LKAP-TSAKG2_B11_093_2018_2 -               55     920      66     947      45     947    1452    +    1.5e-189  627.8  20.5  -
Gallionellaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               50     967      24     947       7     947    1385    +    1.7e-189  627.5  19.3  -
Caldilineaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               75     936      68     947      48     947    1434    +    2.3e-189  627.2  20.8  -
Defluviitaleaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               12     924      13     947       5     947    1413    +    3.1e-189  626.8  19.4  -
Prolixibacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               18     944      12     947       6     947    1444    +      4e-189  626.3  19.2  -
Demequinaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               31     935      23     947       9     947    1478    +    5.5e-189  625.8  19.9  -
Beutenbergiaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               31     935      23     947       9     947    1472    +    6.7e-189  625.5  19.3  -
Jiangellaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               68     937      66     947      45     947    1497    +      8e-189  625.3  19.8  -
Sphingobacteriaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               27     945      18     947       7     947    1450    +    8.7e-189  625.2  19.1  -
Sterolibacteriaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               48     973      24     947       8     947    1531    +    9.1e-189  625.1  19.3  -
Cryptosporangiaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               62     928      66     947      45     947    1470    +    1.2e-188  624.7  20.4  -
Chlorobiaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               87     956      71     947      51     947    1455    +    1.4e-188  624.5  19.3  -
Acidaminococcaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               40     974      24     947      10     947    1504    +      2e-188  623.6  18.7  -
Nannocystaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               76     962      68     947      47     947    1487    +    2.5e-188  623.7  19.9  -
Betaproteobacteria        -          LKAP-TSAKG2_B11_093_2018_2 -               11     929      22     947      13     947    1454    +    3.1e-188  623.2  19.0  -
Micrococcales             -          LKAP-TSAKG2_B11_093_2018_2 -               31     933      23     947       9     947    1475    +    3.5e-188  623.2  19.6  -
Stigonematales            -          LKAP-TSAKG2_B11_093_2018_2 -               73     924      63     947      43     947    1450    +      8e-188  622.2  19.4  -
Dermatophilaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               39     938      25     947      12     947    1480    +    3.2e-187  620.0  19.7  -
Phormidiaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               78     923      68     947      48     947    1483    +    6.6e-187  619.3  20.2  -
Conexibacteraceae         -          LKAP-TSAKG2_B11_093_2018_2 -               88     980      68     947      48     947    1536    +      1e-186  618.1  19.5  -
Rubritaleaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               40     956      24     947      12     947    1459    +    1.1e-186  618.1  18.7  -
Anaerolineaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               56     931      58     947      31     947    1430    +    1.7e-186  618.1  20.0  -
Segniliparaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               66     932      66     947      46     947    1462    +    6.2e-186  615.9  20.4  -
Frankiales                -          LKAP-TSAKG2_B11_093_2018_2 -               40     938      24     947      10     947    1425    +    6.8e-186  615.7  20.0  -
Iamiaceae                 -          LKAP-TSAKG2_B11_093_2018_2 -               68     939      61     947      41     947    1480    +      7e-186  615.8  19.5  -
Atopobacteriaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               35     936      22     947      12     947    1442    +    1.4e-185  614.7  19.6  -
Bifidobacteriaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               47     952      24     947       9     947    1469    +      2e-185  614.1  19.3  -
Nocardiopsaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               33     944      24     947       9     947    1475    +    2.4e-185  613.9  19.3  -
Ruaniaceae                -          LKAP-TSAKG2_B11_093_2018_2 -               92     967      66     947      26     947    1531    +    3.3e-185  613.1  19.0  -
Dermabacteraceae          -          LKAP-TSAKG2_B11_093_2018_2 -               38     944      21     947       7     947    1470    +    3.5e-185  613.1  19.8  -
Thermotogaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               51     974      24     947      12     947    1545    +    4.6e-185  612.9  19.4  -
Leptotrichiaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               65     951      40     947      21     947    1492    +      5e-185  612.7  19.4  -
Fibrobacteraceae          -          LKAP-TSAKG2_B11_093_2018_2 -               28     928      21     947       9     947    1412    +    5.4e-185  612.9  19.6  -
Sporichthyaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               66     930      68     947      48     947    1472    +    5.5e-185  612.7  20.0  -
Thermodesulfobacteriaceae -          LKAP-TSAKG2_B11_093_2018_2 -               66     964      69     947      48     947    1497    +    7.2e-185  612.4  19.7  -
Symbiobacteriaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               20     961      19     947       7     947    1468    +    1.1e-184  611.9  19.5  -
Glycomycetaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               70     950      65     947      39     947    1495    +    1.3e-184  611.6  19.6  -
Petrotogaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               48     950      24     947      12     947    1488    +    5.7e-184  609.5  19.5  -
Microscillaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               46     931      58     947      32     947    1461    +    2.1e-183  607.3  19.4  -
Actinopolysporaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               31     950      21     947       7     947    1480    +    3.8e-183  606.5  19.4  -
Rarobacteraceae           -          LKAP-TSAKG2_B11_093_2018_2 -               40     921      46     947      25     947    1464    +    8.8e-183  605.1  20.1  -
Actinospicaceae           -          LKAP-TSAKG2_B11_093_2018_2 -                6     908      20     947      15     947    1425    +    1.2e-182  604.8  19.6  -
Mariprofundaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               87     970      67     947      43     947    1528    +    1.6e-182  604.1  19.5  -
Eggerthellaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               73     932      66     947      44     947    1449    +    2.3e-182  604.1  20.1  -
Jonesiaceae               -          LKAP-TSAKG2_B11_093_2018_2 -               45     972      17     947       7     947    1514    +    6.5e-182  602.5  19.3  -
Prevotellaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               33     956      23     947      10     947    1464    +    7.3e-182  602.1  18.7  -
Streptosporangineae       -          LKAP-TSAKG2_B11_093_2018_2 -               39     903      65     947      42     947    1443    +    2.7e-181  600.3  19.6  -
Bacteroidales             -          LKAP-TSAKG2_B11_093_2018_2 -               52     968      22     947      11     947    1485    +      4e-181  599.5  18.6  -
Entomoplasmataceae        -          LKAP-TSAKG2_B11_093_2018_2 -               62     950      65     947      45     947    1497    +    5.7e-181  599.5  19.6  -
Nostocales                -          LKAP-TSAKG2_B11_093_2018_2 -               51     900      63     947      43     947    1457    +    5.5e-180  596.1  19.7  -
Rubricoccaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               75     954      68     947      47     947    1452    +    6.5e-180  595.8  19.8  -
Kosmotogaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               74     952      65     947      44     947    1488    +    7.2e-180  595.9  19.9  -
Oscillospiraceae          -          LKAP-TSAKG2_B11_093_2018_2 -               85     946      68     947      47     947    1453    +    2.6e-179  593.5  19.9  -
Dictyoglomaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               55     976      24     947      11     947    1541    +    5.2e-178  589.5  19.8  -
Deinococcaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               57     929      65     947      44     947    1455    +      4e-177  586.5  20.1  -
Rhodothalassiaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               50     892      66     947      43     947    1318    +    2.4e-176  584.0  19.7  -
Mesoaciditogaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               91     969      65     947      44     947    1522    +    2.5e-176  584.0  19.8  -
Gemmatimonadaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               80     956      69     947      54     947    1525    +    2.7e-176  583.8  19.2  -
Odoribacteraceae          -          LKAP-TSAKG2_B11_093_2018_2 -               49     967      21     947       9     947    1486    +    4.1e-175  579.8  19.3  -
Fervidobacteriaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               86     981      61     947      41     947    1514    +      3e-174  577.0  20.2  -
Blastocatellaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               90     954      68     947      48     947    1485    +    8.8e-174  575.3  19.7  -
Rhodospirillales          -          LKAP-TSAKG2_B11_093_2018_2 -               43     888      67     947      45     947    1413    +    1.6e-171  568.2  20.4  -
Temperatibacteraceae      -          LKAP-TSAKG2_B11_093_2018_2 -               33     876      66     947      45     947    1362    +    5.4e-171  566.1  19.3  -
Marinifilaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               31     948      23     947      10     947    1450    +    6.5e-170  562.6  18.2  -
Prochlorococcaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               60     905      67     947      45     947    1465    +    1.3e-169  561.7  19.9  -
Thermomicrobiaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               27     907      60     947      44     947    1273    +    1.6e-169  562.0  19.8  -
Kofleriaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               49     985      24     947       6     947    1498    +    5.8e-168  556.2  18.9  -
Parachlamydiaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               72     971      67     947      47     947    1529    +    7.5e-168  555.9  19.2  -
Emcibacteraceae           -          LKAP-TSAKG2_B11_093_2018_2 -               86     928      68     947      47     947    1460    +    2.7e-167  554.1  19.5  -
Coriobacteriaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               75     935      65     947      44     947    1462    +    8.1e-167  552.9  20.0  -
Aquificaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               34     963      25     947      10     947    1485    +    9.7e-167  552.3  18.6  -
Syntrophorhabdaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               65     968      66     947      40     947    1482    +    2.4e-166  550.7  19.4  -
Sphaerobacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               76     947      59     947      38     947    1531    +    2.7e-166  550.7  20.0  -
Chlamydiaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               57     987      25     947      13     947    1548    +    3.8e-166  550.0  18.4  -
Thermosporotrichaceae     -          LKAP-TSAKG2_B11_093_2018_2 -                7     857      67     947      63     947    1317    +    5.5e-166  549.9  20.6  -
Gemmataceae               -          LKAP-TSAKG2_B11_093_2018_2 -               79     927      68     947      49     947    1427    +    1.4e-165  548.3  19.3  -
Akkermansiaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               33     928      24     947      17     947    1441    +    2.1e-165  547.9  19.9  -
Micropepsaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               72     917      67     947      46     947    1455    +    2.3e-165  547.5  19.4  -
Roseiarcaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               72     914      67     947      46     947    1399    +    2.5e-165  547.4  19.5  -
Magnetococcaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               52     934      23     947       7     947    1497    +    9.4e-165  545.6  19.4  -
Fervidobacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               35     919      25     947      10     947    1480    +      1e-164  545.6  20.8  -
Pseudobacteriovoracaceae  -          LKAP-TSAKG2_B11_093_2018_2 -               35     923      65     947      45     947    1466    +    1.4e-164  544.9  19.6  -
Iodidimonadaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               61     919      66     947      41     947    1437    +      5e-164  543.1  19.4  -
Labilitrichaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               63     967      66     947      45     947    1483    +    2.3e-163  540.8  19.5  -
Lentisphaeraceae          -          LKAP-TSAKG2_B11_093_2018_2 -               77     937      68     947      58     947    1465    +    3.9e-163  540.4  19.9  -
Sandaracinaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               52     955      66     947      44     947    1506    +    8.8e-163  539.1  19.8  -
Bradymonadaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               69     945      68     947      48     947    1461    +      1e-162  538.5  19.3  -
Anaeromyxobacteraceae     -          LKAP-TSAKG2_B11_093_2018_2 -               74     987      58     947      18     947    1549    +    2.6e-162  537.4  19.1  -
Hydrogenimonaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               68     947      49     947      24     947    1422    +    3.4e-162  537.1  18.6  -
Oligoflexaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               65     947      68     947      47     947    1458    +    7.4e-162  536.0  19.7  -
Gaiellaceae               -          LKAP-TSAKG2_B11_093_2018_2 -               88     978      68     947      45     947    1544    +    7.4e-161  532.5  19.5  -
Hydrogenothermaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               76     924      66     946      45     947    1447    +      1e-160  532.4  19.8  -
Gracilibacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -              200    1065      66     947      45     947    1549    +    2.1e-159  527.7  20.1  -
Vulgatibacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               60     966      64     947      41     947    1479    +    2.2e-159  527.8  19.3  -
Acanthopleuribacteraceae  -          LKAP-TSAKG2_B11_093_2018_2 -               34     943      64     947      44     947    1453    +    4.1e-158  523.5  19.5  -
Christensenellaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               88     959      60     947      40     947    1497    +    7.9e-158  522.5  19.4  -
Brachyspiraceae           -          LKAP-TSAKG2_B11_093_2018_2 -               25     917      24     947      12     947    1441    +    9.3e-158  522.4  19.3  -
Melioribacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               94     973      70     947      49     947    1539    +    1.7e-157  521.4  19.5  -
Acidothermaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               78     947      65     947      41     947    1509    +    6.1e-157  519.8  20.1  -
Phaselicystidaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               82     982      68     947      46     947    1539    +    9.3e-157  519.1  19.6  -
Chloroflexaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               68     929      55     947      35     947    1473    +    6.2e-156  516.7  19.4  -
Ignavibacteriaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               68     948      68     947      47     947    1461    +    6.4e-156  516.3  19.4  -
Thermogemmatisporaceae    -          LKAP-TSAKG2_B11_093_2018_2 -               61     938      67     947      54     947    1443    +    1.5e-155  515.2  20.4  -
Acidimicrobiales          -          LKAP-TSAKG2_B11_093_2018_2 -               68     941      59     947      38     947    1483    +    1.9e-155  514.9  19.6  -
Haloplasmataceae          -          LKAP-TSAKG2_B11_093_2018_2 -               24     941      35     947      15     947    1345    +    4.2e-155  513.7  19.5  -
Egicoccaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               88     953      69     947      48     947    1512    +    9.3e-155  512.4  20.0  -
Halanaerobiales           -          LKAP-TSAKG2_B11_093_2018_2 -               90     985      68     947      48     947    1500    +    1.1e-154  512.2  19.8  -
Nitriliruptoraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               76     942      68     947      48     947    1425    +    4.2e-153  506.9  19.9  -
Euzebyaceae               -          LKAP-TSAKG2_B11_093_2018_2 -               67     934      67     947      45     947    1476    +    1.3e-149  495.5  20.5  -
Mzabimycetaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               13     874      66     947      58     947    1357    +    5.9e-149  493.2  20.6  -
Aquificales               -          LKAP-TSAKG2_B11_093_2018_2 -               65     968      65     947      42     947    1450    +      7e-149  493.1  19.4  -
Egibacteraceae            -          LKAP-TSAKG2_B11_093_2018_2 -               87     955      67     947      46     947    1516    +    8.8e-149  492.8  20.2  -
Longimicrobiaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               16     912      67     947      57     947    1413    +    9.7e-149  492.6  19.6  -
Isosphaeraceae            -          LKAP-TSAKG2_B11_093_2018_2 -               69     943      67     947      47     947    1475    +    1.1e-148  492.4  19.5  -
Spirochaetales            -          LKAP-TSAKG2_B11_093_2018_2 -               71     941      55     947      31     947    1456    +    1.2e-147  488.9  19.2  -
Gloeomargaritaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               42     921      34     947      14     947    1482    +    2.3e-147  488.0  18.8  -
Blastocatellales          -          LKAP-TSAKG2_B11_093_2018_2 -               85     931      68     947      47     947    1488    +    1.1e-146  485.7  20.1  -
Thermonemataceae          -          LKAP-TSAKG2_B11_093_2018_2 -               63     941      66     947      45     947    1465    +    3.9e-146  484.0  19.0  -
Catalimonadaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               12     931      16     947       7     947    1425    +    4.3e-146  483.7  19.3  -
Herpetosiphonaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               72     930      64     947      43     947    1475    +    7.7e-146  482.8  20.1  -
Xenococcaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               53     905      63     947      41     947    1418    +    4.2e-145  480.7  19.3  -
Spartobacteria            -          LKAP-TSAKG2_B11_093_2018_2 -               31     937      24     947       9     947    1418    +    8.2e-145  479.5  19.4  -
Mooreiaceae               -          LKAP-TSAKG2_B11_093_2018_2 -               13     932      17     947       7     947    1424    +    9.6e-144  476.0  19.7  -
Schleiferiaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               76     965      60     947      33     947    1499    +      1e-143  476.1  19.0  -
Elusimicrobiaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               13     918      25     947      16     947    1395    +    8.7e-143  472.7  19.0  -
Kiritimatiellaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               53    1000      24     947       7     947    1556    +    2.3e-142  471.4  19.0  -
Armatimonadaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               63     925      68     947      48     947    1438    +    2.3e-141  468.1  19.1  -
Victivallaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               69     933      64     947      43     947    1456    +    3.5e-141  467.5  19.8  -
Ardenticatenia            -          LKAP-TSAKG2_B11_093_2018_2 -               69     955      62     947      41     947    1453    +    3.8e-141  467.6  19.8  -
Trueperaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               38     911      42     947      21     947    1461    +    3.8e-140  464.0  19.1  -
Prochlorotrichaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               38     887      63     947      40     947    1448    +    4.1e-140  463.9  19.5  -
Roseiflexaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               76     930      64     947      43     947    1469    +      7e-140  463.6  19.2  -
Ktedonobacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               50     904      63     947      41     947    1386    +      1e-139  462.8  19.6  -
Caldisericaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               30     967      22     947       6     947    1481    +    1.7e-139  461.8  19.0  -
Lentimicrobiaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               69     946      67     947      46     947    1446    +      2e-139  461.6  19.6  -
