# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-GUTHK2_B04_030_2017_1 -               23     984       6     966       3     966    1526    +           0 1159.4  32.9  -
Carnobacteriaceae_Allofustis                     -          LKAP-GUTHK2_B04_030_2017_1 -               62     957      70     965      50     966    1500    +    3.4e-187  622.2  29.1  -
Bradyrhizobiaceae_Bosea                          -          LKAP-GUTHK2_B04_030_2017_1 -               70     909      76     965      55     966    1455    +    3.5e-187  622.6  27.7  -
Cellvibrionaceae_Umboniibacter                   -          LKAP-GUTHK2_B04_030_2017_1 -               55     955      49     966      28     966    1507    +    3.7e-187  622.5  29.4  -
Sphingomonadaceae_Polymorphobacter               -          LKAP-GUTHK2_B04_030_2017_1 -               37     893      47     965      27     966    1431    +    4.6e-187  622.4  26.9  -
Hyphomicrobiaceae_Maritalea                      -          LKAP-GUTHK2_B04_030_2017_1 -               29     872      70     966      32     966    1356    +    4.6e-187  622.3  27.5  -
Thermoactinomycetaceae_Thermoflavimicrobium      -          LKAP-GUTHK2_B04_030_2017_1 -               64     927      74     965       5     966    1475    +    5.8e-187  621.8  29.7  -
Desulfobacteraceae_Desulfofrigus                 -          LKAP-GUTHK2_B04_030_2017_1 -               90     988      78     965      58     966    1523    +    5.8e-187  621.7  28.5  -
Chelatococcaceae_Chelatococcus                   -          LKAP-GUTHK2_B04_030_2017_1 -               40     893      48     965      27     966    1430    +    7.2e-187  621.6  27.8  -
Rhodobacteraceae_Nioella                         -          LKAP-GUTHK2_B04_030_2017_1 -               70     913      72     965      52     966    1462    +    7.8e-187  621.4  27.8  -
Anaeroplasmataceae_Anaeroplasma                  -          LKAP-GUTHK2_B04_030_2017_1 -               81     935      81     966      61     966    1435    +    8.4e-187  621.2  27.3  -
Bradyrhizobiaceae_Salinarimonas                  -          LKAP-GUTHK2_B04_030_2017_1 -               67     908      70     965      33     966    1438    +      1e-186  621.1  27.1  -
Ruminococcaceae_Agathobaculum                    -          LKAP-GUTHK2_B04_030_2017_1 -                3     865      78     966      76     966    1383    +    1.1e-186  621.0  26.4  -
Atopobacteriaceae_Olsenella                      -          LKAP-GUTHK2_B04_030_2017_1 -               51     928      53     966      32     966    1449    +    1.2e-186  621.0  28.8  -
Oceanospirillaceae_Amphritea                     -          LKAP-GUTHK2_B04_030_2017_1 -               69     950      75     966      55     966    1463    +    1.4e-186  620.5  28.4  -
Propionibacteriaceae_Acidipropionibacterium      -          LKAP-GUTHK2_B04_030_2017_1 -               67     959      52     966      29     966    1455    +    1.4e-186  620.6  29.5  -
Acidobacteriaceae_Granulicella                   -          LKAP-GUTHK2_B04_030_2017_1 -               87     930      78     966      57     966    1455    +    1.6e-186  620.2  27.9  -
Desulfohalobiaceae_Desulfonatronovibrio          -          LKAP-GUTHK2_B04_030_2017_1 -               18     968       8     966       3     966    1500    +    1.7e-186  620.3  31.5  -
Ectothiorhodospiraceae_Aquisalimonas             -          LKAP-GUTHK2_B04_030_2017_1 -               49     969      21     966       4     966    1464    +    1.7e-186  620.3  30.5  -
Methylocystaceae_Methylopila                     -          LKAP-GUTHK2_B04_030_2017_1 -               73     911      77     965      57     966    1425    +    1.9e-186  620.2  27.6  -
Actinomycetaceae_Arcanobacterium                 -          LKAP-GUTHK2_B04_030_2017_1 -               65     936      73     966      50     966    1476    +    1.9e-186  620.2  28.1  -
Rhodocyclaceae_Azospira                          -          LKAP-GUTHK2_B04_030_2017_1 -               58     939      76     966      56     966    1484    +      2e-186  620.0  28.7  -
Rhodocyclaceae_Rhodocyclus                       -          LKAP-GUTHK2_B04_030_2017_1 -               53     947      63     966      40     966    1460    +      2e-186  620.0  30.1  -
Moraxellaceae_Moraxella                          -          LKAP-GUTHK2_B04_030_2017_1 -               57     934      74     966      54     966    1446    +    2.3e-186  619.8  28.3  -
Acidithiobacillaceae_Acidithiobacillus           -          LKAP-GUTHK2_B04_030_2017_1 -               62     943      75     966      55     966    1457    +    2.3e-186  619.6  28.8  -
Halomonadaceae_Halomonas                         -          LKAP-GUTHK2_B04_030_2017_1 -               31     951      24     966       4     966    1463    +    2.4e-186  619.7  30.3  -
Syntrophobacteraceae_Desulfosoma                 -          LKAP-GUTHK2_B04_030_2017_1 -               79     973      78     966      58     966    1479    +    2.5e-186  619.9  29.0  -
Alteromonadaceae_Aestuariibacter                 -          LKAP-GUTHK2_B04_030_2017_1 -               69     944      75     966      55     966    1455    +    2.9e-186  619.4  28.3  -
Nevskiaceae_Steroidobacter                       -          LKAP-GUTHK2_B04_030_2017_1 -               73     955      75     966      55     966    1500    +      3e-186  619.5  28.4  -
Thermaceae_Meiothermus                           -          LKAP-GUTHK2_B04_030_2017_1 -               78     925      77     966      56     966    1482    +    3.1e-186  619.2  26.8  -
Thermoanaerobacterales_Thermovenabulum           -          LKAP-GUTHK2_B04_030_2017_1 -               31     953       7     966       3     966    1424    +    3.1e-186  619.5  31.6  -
Rhodobacteraceae_Falsirhodobacter                -          LKAP-GUTHK2_B04_030_2017_1 -               14     886      14     965       3     966    1387    +    3.1e-186  619.5  28.6  -
Helicobacteraceae_Helicobacter                   -          LKAP-GUTHK2_B04_030_2017_1 -               88     931      75     966      54     966    1474    +    3.3e-186  618.4  27.3  -
Acidobacteriaceae_Terriglobus                    -          LKAP-GUTHK2_B04_030_2017_1 -               75     918      78     966      58     966    1449    +    3.5e-186  619.1  27.5  -
Hahellaceae_Zooshikella                          -          LKAP-GUTHK2_B04_030_2017_1 -               67     949      75     966      55     966    1483    +    3.6e-186  619.1  28.3  -
Xanthobacteraceae_Pseudoxanthobacter             -          LKAP-GUTHK2_B04_030_2017_1 -               73     916      72     965      52     966    1456    +    4.3e-186  618.9  27.4  -
Actinomycetaceae_Actinotignum                    -          LKAP-GUTHK2_B04_030_2017_1 -                3     942       6     966       4     966    1488    +    4.6e-186  619.0  30.6  -
Morganellaceae_Photorhabdus                      -          LKAP-GUTHK2_B04_030_2017_1 -               73     956      75     966      55     966    1478    +    4.9e-186  619.0  28.1  -
Rhodobacteraceae_Roseivivax                      -          LKAP-GUTHK2_B04_030_2017_1 -               57     901      71     965      28     966    1405    +    5.8e-186  618.6  28.1  -
Lachnospiraceae_Lachnoanaerobaculum              -          LKAP-GUTHK2_B04_030_2017_1 -               27     959       6     966       3     966    1490    +    6.8e-186  617.4  31.8  -
Propionibacteriaceae_Naumannella                 -          LKAP-GUTHK2_B04_030_2017_1 -               30     949       6     966       3     966    1511    +      7e-186  618.1  29.1  -
Phyllobacteriaceae_Pseudaminobacter              -          LKAP-GUTHK2_B04_030_2017_1 -               52     891      76     965      33     966    1406    +    8.7e-186  618.1  27.9  -
Bacillales_Thermicanus                           -          LKAP-GUTHK2_B04_030_2017_1 -               88     966      78     965      58     966    1426    +    9.8e-186  617.5  28.5  -
Microbacteriaceae_Rhodoglobus                    -          LKAP-GUTHK2_B04_030_2017_1 -               93     975      71     966      50     966    1515    +    9.8e-186  617.7  27.7  -
Desulfurellaceae_Hippea                          -          LKAP-GUTHK2_B04_030_2017_1 -               74     972      77     966      33     966    1509    +    1.1e-185  617.2  29.6  -
Bacillaceae_Hydrogenibacillus                    -          LKAP-GUTHK2_B04_030_2017_1 -               40     965      21     965       3     966    1515    +    1.1e-185  617.5  32.4  -
Erwiniaceae_Pantoea                              -          LKAP-GUTHK2_B04_030_2017_1 -                8     889      75     966      66     966    1416    +    1.2e-185  617.4  28.1  -
Gammaproteobacteria_Alkalimonas                  -          LKAP-GUTHK2_B04_030_2017_1 -               87     968      75     966      33     966    1502    +    1.3e-185  617.2  29.2  -
Morganellaceae_Xenorhabdus                       -          LKAP-GUTHK2_B04_030_2017_1 -               74     954      76     966      56     966    1493    +    1.6e-185  617.1  28.5  -
Rhodobacteraceae_Octadecabacter                  -          LKAP-GUTHK2_B04_030_2017_1 -               31     895      23     965       5     966    1389    +    1.6e-185  617.1  28.3  -
Thermodesulfobiaceae_Thermodesulfobium           -          LKAP-GUTHK2_B04_030_2017_1 -              115     973      78     966      57     966    1545    +    1.7e-185  616.8  26.7  -
Oceanospirillaceae_Marinospirillum               -          LKAP-GUTHK2_B04_030_2017_1 -               70     944      76     966      55     966    1451    +    1.8e-185  616.8  28.5  -
Eggerthellaceae_Enterorhabdus                    -          LKAP-GUTHK2_B04_030_2017_1 -               20     932       7     966       3     966    1452    +      2e-185  616.9  30.1  -
Thermoanaerobacterales_Thermosediminibacter      -          LKAP-GUTHK2_B04_030_2017_1 -               48     905      78     966      58     966    1404    +    2.4e-185  616.6  28.3  -
Chlorobiaceae_Chlorobium                         -          LKAP-GUTHK2_B04_030_2017_1 -               87     953      81     966      61     966    1465    +    2.7e-185  616.2  27.5  -
Rhodocyclaceae_Azoarcus                          -          LKAP-GUTHK2_B04_030_2017_1 -               67     947      77     966      56     966    1471    +    2.8e-185  616.2  29.0  -
Burkholderiaceae_Chitinimonas                    -          LKAP-GUTHK2_B04_030_2017_1 -               81     959      77     966      57     966    1494    +    2.8e-185  616.3  28.3  -
Rhizobiaceae_Pararhizobium                       -          LKAP-GUTHK2_B04_030_2017_1 -               73     911      77     965      57     966    1477    +    3.2e-185  616.1  27.9  -
Rhodobacteraceae_Labrenzia                       -          LKAP-GUTHK2_B04_030_2017_1 -               60     913      48     965      28     966    1447    +    3.9e-185  615.9  26.9  -
Cellvibrionaceae_Pseudomaricurvus                -          LKAP-GUTHK2_B04_030_2017_1 -               65     943      78     966      58     966    1490    +    4.2e-185  615.4  28.7  -
Oceanospirillaceae_Oceanospirillum               -          LKAP-GUTHK2_B04_030_2017_1 -               71     951      76     966      55     966    1462    +    4.3e-185  615.6  28.4  -
Cellulomonadaceae_Oerskovia                      -          LKAP-GUTHK2_B04_030_2017_1 -               70     941      70     966      49     966    1488    +      5e-185  615.4  28.2  -
Rhodanobacteraceae_Luteibacter                   -          LKAP-GUTHK2_B04_030_2017_1 -               78     959      76     966      56     966    1457    +    5.1e-185  615.3  27.8  -
Clostridiales_Anaerococcus                       -          LKAP-GUTHK2_B04_030_2017_1 -               28     913      43     966      22     966    1410    +    5.3e-185  615.4  30.3  -
Propionibacteriaceae_Luteococcus                 -          LKAP-GUTHK2_B04_030_2017_1 -               48     926      52     966      30     966    1439    +    5.5e-185  615.2  28.0  -
Paenibacillaceae_Gorillibacterium                -          LKAP-GUTHK2_B04_030_2017_1 -               32     974       8     965       3     966    1529    +    5.7e-185  615.1  30.7  -
Alteromonadaceae_Paraglaciecola                  -          LKAP-GUTHK2_B04_030_2017_1 -               80     954      76     966      56     966    1495    +    5.8e-185  614.8  28.1  -
Beijerinckiaceae_Methylocapsa                    -          LKAP-GUTHK2_B04_030_2017_1 -               72     910      77     965      56     966    1419    +    6.3e-185  615.0  28.0  -
Rhizobiaceae_Agrobacterium                       -          LKAP-GUTHK2_B04_030_2017_1 -               52     891      76     965      56     966    1400    +    6.5e-185  615.2  27.7  -
Burkholderiales_Thiomonas                        -          LKAP-GUTHK2_B04_030_2017_1 -               59     938      76     966      56     966    1449    +    6.7e-185  614.8  29.7  -
Hyphomicrobiaceae_Filomicrobium                  -          LKAP-GUTHK2_B04_030_2017_1 -               75     914      77     966      57     966    1448    +    7.3e-185  614.8  27.7  -
Oceanospirillaceae_Marinomonas                   -          LKAP-GUTHK2_B04_030_2017_1 -               72     952      76     966      55     966    1467    +    7.4e-185  614.5  28.3  -
Phyllobacteriaceae_Hoeflea                       -          LKAP-GUTHK2_B04_030_2017_1 -               49     891      73     965      51     966    1430    +    8.1e-185  614.9  27.9  -
Lachnospiraceae_Oribacterium                     -          LKAP-GUTHK2_B04_030_2017_1 -               12     904      42     966      31     966    1412    +    8.4e-185  614.7  29.2  -
Actinomycetaceae_Actinobaculum                   -          LKAP-GUTHK2_B04_030_2017_1 -               62     940      76     966      56     966    1506    +    9.4e-185  614.4  28.5  -
Sphingomonadaceae_Rhizorhabdus                   -          LKAP-GUTHK2_B04_030_2017_1 -               58     914      46     965      26     966    1453    +    9.7e-185  614.6  27.1  -
Comamonadaceae_Comamonas                         -          LKAP-GUTHK2_B04_030_2017_1 -               12     941      10     966       3     966    1456    +    9.9e-185  614.1  30.4  -
Lysobacteraceae_Vulcaniibacterium                -          LKAP-GUTHK2_B04_030_2017_1 -               99     979      76     965      43     966    1549    +    1.1e-184  614.2  29.3  -
Rhodobacteraceae_Haematobacter                   -          LKAP-GUTHK2_B04_030_2017_1 -               66     907      74     965      50     966    1414    +    1.1e-184  614.4  28.5  -
Rhodobacteraceae_Celeribacter                    -          LKAP-GUTHK2_B04_030_2017_1 -               67     909      72     965      28     966    1428    +    1.1e-184  614.4  28.1  -
Phyllobacteriaceae_Nitratireductor               -          LKAP-GUTHK2_B04_030_2017_1 -               70     910      75     965      53     966    1426    +    1.3e-184  614.2  27.9  -
Methylocystaceae_Methylosinus                    -          LKAP-GUTHK2_B04_030_2017_1 -               56     895      76     965      56     966    1410    +    1.4e-184  614.1  27.6  -
Xanthobacteraceae_Xanthobacter                   -          LKAP-GUTHK2_B04_030_2017_1 -               46     885      77     965      57     966    1413    +    1.7e-184  613.7  27.1  -
Dictyoglomaceae_Dictyoglomus                     -          LKAP-GUTHK2_B04_030_2017_1 -               33     972       7     965       3     966    1541    +    1.8e-184  613.5  30.8  -
Rhodospirillaceae_Desertibacter                  -          LKAP-GUTHK2_B04_030_2017_1 -               30     867      76     965      56     966    1410    +    1.9e-184  614.0  28.0  -
Phyllobacteriaceae_Aminobacter                   -          LKAP-GUTHK2_B04_030_2017_1 -               61     899      77     965      57     966    1453    +    2.1e-184  613.4  27.9  -
Halieaceae_Haliea                                -          LKAP-GUTHK2_B04_030_2017_1 -               85     966      76     966      50     966    1500    +    2.1e-184  613.2  28.8  -
Rhodobacteraceae_Thalassobius                    -          LKAP-GUTHK2_B04_030_2017_1 -               33     893      25     965       5     966    1389    +    2.3e-184  613.4  28.0  -
Oxalobacteraceae_Undibacterium                   -          LKAP-GUTHK2_B04_030_2017_1 -               62     941      76     966      55     966    1442    +    2.7e-184  613.0  29.0  -
Alteromonadaceae_Marinobacter                    -          LKAP-GUTHK2_B04_030_2017_1 -               69     950      75     966      55     966    1478    +    2.8e-184  612.8  28.5  -
Enterobacteriaceae_Salmonella                    -          LKAP-GUTHK2_B04_030_2017_1 -               67     948      75     966      55     966    1457    +    2.9e-184  612.9  28.3  -
Fusobacteriaceae_Fusobacterium                   -          LKAP-GUTHK2_B04_030_2017_1 -               68     929      73     965      52     966    1443    +    2.9e-184  612.8  28.2  -
Acetobacteraceae_Asaia                           -          LKAP-GUTHK2_B04_030_2017_1 -               40     896      48     965      28     966    1411    +    3.5e-184  612.8  27.5  -
Vibrionaceae_Photobacterium                      -          LKAP-GUTHK2_B04_030_2017_1 -               28     962      21     966       5     966    1487    +    3.5e-184  612.4  31.1  -
Comamonadaceae_Ottowia                           -          LKAP-GUTHK2_B04_030_2017_1 -               30     963       6     966       4     966    1492    +    3.6e-184  612.3  31.4  -
Brucellaceae_Paenochrobactrum                    -          LKAP-GUTHK2_B04_030_2017_1 -               21     864      72     965      52     966    1348    +    3.8e-184  612.4  27.6  -
Methylophilaceae_Methylovorus                    -          LKAP-GUTHK2_B04_030_2017_1 -               53     935      75     966      64     966    1441    +    3.9e-184  612.5  28.0  -
Mycobacteriaceae_Hoyosella                       -          LKAP-GUTHK2_B04_030_2017_1 -               30     949       6     966       3     966    1483    +    4.1e-184  612.3  29.7  -
Aurantimonadaceae_Martelella                     -          LKAP-GUTHK2_B04_030_2017_1 -               72     911      76     965      55     966    1443    +    4.1e-184  612.7  27.2  -
Methylocystaceae_Hansschlegelia                  -          LKAP-GUTHK2_B04_030_2017_1 -               74     914      75     965      49     966    1450    +    4.3e-184  612.3  28.0  -
Chromatiaceae_Halochromatium                     -          LKAP-GUTHK2_B04_030_2017_1 -               41     940      47     966      23     966    1451    +    5.6e-184  612.1  30.0  -
Gammaproteobacteria_Sedimenticola                -          LKAP-GUTHK2_B04_030_2017_1 -               86     971      76     966      56     966    1540    +    5.7e-184  611.7  28.3  -
Jonesiaceae_Jonesia                              -          LKAP-GUTHK2_B04_030_2017_1 -               33     974       7     966       3     966    1541    +    5.8e-184  612.0  30.4  -
Desulfohalobiaceae_Desulfonauticus               -          LKAP-GUTHK2_B04_030_2017_1 -               30     997       6     966       4     966    1567    +    6.1e-184  611.8  31.5  -
Acetobacteraceae_Stella                          -          LKAP-GUTHK2_B04_030_2017_1 -               55     896      75     965      55     966    1447    +    6.9e-184  611.9  27.7  -
Lysobacteraceae_Pseudoxanthomonas                -          LKAP-GUTHK2_B04_030_2017_1 -               77     958      76     966      56     966    1484    +    7.9e-184  611.3  28.9  -
Acetobacteraceae_Gluconobacter                   -          LKAP-GUTHK2_B04_030_2017_1 -               50     896      72     965      52     966    1411    +    8.1e-184  611.7  27.6  -
Hahellaceae_Kistimonas                           -          LKAP-GUTHK2_B04_030_2017_1 -               89     971      75     966      55     966    1506    +    8.4e-184  611.3  28.3  -
Kordiimonadaceae_Kordiimonas                     -          LKAP-GUTHK2_B04_030_2017_1 -               66     904      77     965      55     966    1421    +    8.5e-184  611.5  27.4  -
Cystobacteraceae_Stigmatella                     -          LKAP-GUTHK2_B04_030_2017_1 -               62     959      77     965      56     966    1502    +      9e-184  611.1  28.6  -
Rhodospirillaceae_Caenispirillum                 -          LKAP-GUTHK2_B04_030_2017_1 -               27     870      72     965      52     966    1418    +      1e-183  611.1  27.3  -
Burkholderiaceae_Caballeronia                    -          LKAP-GUTHK2_B04_030_2017_1 -               70     954      69     966      46     966    1479    +      1e-183  611.1  29.9  -
Enterobacteriaceae_Citrobacter                   -          LKAP-GUTHK2_B04_030_2017_1 -               86     967      75     966      55     966    1517    +    1.1e-183  610.9  28.4  -
Oceanospirillaceae_Thalassolituus                -          LKAP-GUTHK2_B04_030_2017_1 -               37     957      23     966       4     966    1476    +    1.1e-183  610.7  29.9  -
Rhodospirillaceae_Nisaea                         -          LKAP-GUTHK2_B04_030_2017_1 -               87     925      78     965      33     966    1385    +    1.2e-183  610.8  27.3  -
Rhizobiaceae_Neorhizobium                        -          LKAP-GUTHK2_B04_030_2017_1 -               62     901      76     965      55     966    1459    +    1.2e-183  611.1  27.8  -
Methylothermaceae_Methylothermus                 -          LKAP-GUTHK2_B04_030_2017_1 -               32     973       7     966       3     966    1491    +    1.8e-183  610.1  30.4  -
Enterococcaceae_Pilibacter                       -          LKAP-GUTHK2_B04_030_2017_1 -               70     956      76     965      55     966    1432    +    1.9e-183  609.9  28.7  -
Lysobacteraceae_Ignatzschineria                  -          LKAP-GUTHK2_B04_030_2017_1 -               89     969      76     966      51     966    1541    +      2e-183  609.9  28.6  -
Rhodospirillaceae_Insolitispirillum              -          LKAP-GUTHK2_B04_030_2017_1 -               50     893      72     965      52     966    1442    +    2.2e-183  610.0  27.0  -
Chromatiaceae_Thiocapsa                          -          LKAP-GUTHK2_B04_030_2017_1 -               79     954      76     966      33     966    1459    +    2.3e-183  610.1  29.5  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-GUTHK2_B04_030_2017_1 -               27     962      20     966       3     966    1475    +    2.7e-183  609.3  31.5  -
Burkholderiales_Aquabacterium                    -          LKAP-GUTHK2_B04_030_2017_1 -               61     941      75     966      54     966    1451    +    2.7e-183  609.6  29.5  -
Aurantimonadaceae_Fulvimarina                    -          LKAP-GUTHK2_B04_030_2017_1 -               55     914      26     965       6     966    1453    +    2.9e-183  609.7  28.9  -
Rhodobacteraceae_Roseovarius                     -          LKAP-GUTHK2_B04_030_2017_1 -               42     895      48     965      28     966    1415    +    2.9e-183  609.6  28.0  -
Rhodobacteraceae_Palleronia                      -          LKAP-GUTHK2_B04_030_2017_1 -               32     873      74     965      47     966    1367    +    2.9e-183  609.8  27.7  -
Thermotogaceae_Pseudothermotoga                  -          LKAP-GUTHK2_B04_030_2017_1 -               27     957       6     955       3     966    1541    +      3e-183  609.6  32.0  -
Rhodobacteraceae_Ruegeria                        -          LKAP-GUTHK2_B04_030_2017_1 -               41     893      49     965      28     966    1386    +    3.2e-183  609.5  27.6  -
Hyphomonadaceae_Oceanicaulis                     -          LKAP-GUTHK2_B04_030_2017_1 -               29     890      25     966       5     966    1424    +    3.3e-183  609.5  28.0  -
Acidobacteriaceae_Acidipila                      -          LKAP-GUTHK2_B04_030_2017_1 -               87     930      78     966      57     966    1461    +    3.6e-183  609.2  27.5  -
Alteromonadaceae_Alteromonas                     -          LKAP-GUTHK2_B04_030_2017_1 -               69     944      75     966      55     966    1464    +    3.8e-183  608.9  28.2  -
Acidobacteriaceae_Edaphobacter                   -          LKAP-GUTHK2_B04_030_2017_1 -               75     918      78     966      58     966    1449    +    4.9e-183  608.7  27.1  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-GUTHK2_B04_030_2017_1 -               92     972      76     966      55     966    1506    +    5.1e-183  608.6  28.4  -
Ruminococcaceae_Anaerofilum                      -          LKAP-GUTHK2_B04_030_2017_1 -               85     977      49     966      25     966    1468    +    5.4e-183  608.4  28.6  -
Chelatococcaceae_Camelimonas                     -          LKAP-GUTHK2_B04_030_2017_1 -               58     912      47     965      26     966    1446    +    5.4e-183  609.0  27.7  -
Rubricoccaceae_Rubrivirga                        -          LKAP-GUTHK2_B04_030_2017_1 -               77     958      71     966      50     966    1465    +    5.9e-183  608.5  28.7  -
Comamonadaceae_Delftia                           -          LKAP-GUTHK2_B04_030_2017_1 -               63     943      75     966      50     966    1470    +    6.2e-183  608.0  28.9  -
Acidobacteriaceae_Acidobacterium                 -          LKAP-GUTHK2_B04_030_2017_1 -               69     912      78     966      57     966    1424    +    6.6e-183  608.3  27.5  -
Brucellaceae_Pseudochrobactrum                   -          LKAP-GUTHK2_B04_030_2017_1 -               51     889      77     965      54     966    1400    +    6.8e-183  608.5  27.3  -
Alteromonadaceae_Agarivorans                     -          LKAP-GUTHK2_B04_030_2017_1 -               76     959      75     966      55     966    1454    +    6.9e-183  608.3  28.0  -
Lysobacteraceae_Stenotrophomonas                 -          LKAP-GUTHK2_B04_030_2017_1 -               73     954      76     966      56     966    1484    +    6.9e-183  608.2  28.9  -
Hahellaceae_Allohahella                          -          LKAP-GUTHK2_B04_030_2017_1 -               29     964       5     966       2     966    1485    +    7.9e-183  608.2  30.8  -
Beijerinckiaceae_Methylocella                    -          LKAP-GUTHK2_B04_030_2017_1 -               54     893      76     965      56     966    1406    +    8.8e-183  607.9  27.7  -
Thermoactinomycetaceae_Lihuaxuella               -          LKAP-GUTHK2_B04_030_2017_1 -               60     948      25     965       5     966    1516    +      1e-182  607.6  29.6  -
Comamonadaceae_Acidovorax                        -          LKAP-GUTHK2_B04_030_2017_1 -               79     959      75     966      55     966    1497    +      1e-182  607.4  28.2  -
Enterobacteriaceae_Cronobacter                   -          LKAP-GUTHK2_B04_030_2017_1 -               48     929      75     966      55     966    1422    +    1.1e-182  607.6  28.4  -
Enterobacteriaceae_Enterobacter                  -          LKAP-GUTHK2_B04_030_2017_1 -               67     948      75     966      55     966    1476    +    1.1e-182  607.5  28.6  -
Rhodobacteraceae_Tateyamaria                     -          LKAP-GUTHK2_B04_030_2017_1 -               52     912      24     965       6     966    1386    +    1.5e-182  607.2  28.3  -
Alphaproteobacteria_Rhizomicrobium               -          LKAP-GUTHK2_B04_030_2017_1 -               67     904      78     965      56     966    1423    +    1.5e-182  607.5  27.6  -
Acetobacteraceae_Tanticharoenia                  -          LKAP-GUTHK2_B04_030_2017_1 -               40     896      48     965      28     966    1414    +    1.6e-182  607.2  27.7  -
Oceanospirillaceae_Neptuniibacter                -          LKAP-GUTHK2_B04_030_2017_1 -               96     977      75     966      55     966    1541    +    1.6e-182  606.7  28.5  -
Moraxellaceae_Acinetobacter                      -          LKAP-GUTHK2_B04_030_2017_1 -               60     943      74     965      52     966    1463    +    1.6e-182  607.1  29.1  -
Erwiniaceae_Tatumella                            -          LKAP-GUTHK2_B04_030_2017_1 -               71     952      75     966      55     966    1490    +    1.9e-182  606.8  28.5  -
Rhodobacteraceae_Marivita                        -          LKAP-GUTHK2_B04_030_2017_1 -               53     893      75     965      53     966    1386    +    2.3e-182  606.6  28.3  -
Alteromonadaceae_Bowmanella                      -          LKAP-GUTHK2_B04_030_2017_1 -               89     964      75     966      55     966    1496    +    2.4e-182  606.4  28.1  -
Neisseriaceae_Neisseria                          -          LKAP-GUTHK2_B04_030_2017_1 -               87     966      77     966      56     966    1475    +    2.5e-182  606.5  28.8  -
Chromatiaceae_Marichromatium                     -          LKAP-GUTHK2_B04_030_2017_1 -               49     948      45     966      22     966    1440    +    2.6e-182  606.6  30.2  -
Acidobacteriaceae_Occallatibacter                -          LKAP-GUTHK2_B04_030_2017_1 -               87     930      78     966      58     966    1463    +    2.6e-182  606.3  26.6  -
Ectothiorhodospiraceae_Thiohalospira             -          LKAP-GUTHK2_B04_030_2017_1 -               32     913      76     966      56     966    1318    +    2.9e-182  606.3  28.6  -
Rhodobacteraceae_Aliiroseovarius                 -          LKAP-GUTHK2_B04_030_2017_1 -               40     895      48     965      28     966    1395    +    2.9e-182  606.3  27.6  -
Rhodospirillaceae_Rhodovibrio                    -          LKAP-GUTHK2_B04_030_2017_1 -               75     913      79     965      58     966    1480    +    3.1e-182  606.4  27.1  -
Rhodobacteraceae_Maritimibacter                  -          LKAP-GUTHK2_B04_030_2017_1 -               60     913      48     965      27     966    1430    +    3.2e-182  606.1  27.8  -
Hyphomicrobiaceae_Blastochloris                  -          LKAP-GUTHK2_B04_030_2017_1 -               55     893      77     965      55     966    1427    +    3.3e-182  606.1  27.7  -
Rhodobacteraceae_Shimia                          -          LKAP-GUTHK2_B04_030_2017_1 -               34     893      26     965       6     966    1394    +    3.3e-182  606.2  28.1  -
Halomonadaceae_Chromohalobacter                  -          LKAP-GUTHK2_B04_030_2017_1 -               69     950      75     966      35     966    1480    +    3.6e-182  605.9  29.0  -
Desulfurobacteriaceae_Desulfurobacterium         -          LKAP-GUTHK2_B04_030_2017_1 -               77     975      77     966      56     966    1502    +    3.9e-182  606.1  29.1  -
Synergistaceae_Dethiosulfovibrio                 -          LKAP-GUTHK2_B04_030_2017_1 -               18     935       6     966       2     966    1470    +      4e-182  605.8  31.7  -
Piscirickettsiaceae_Thiomicrorhabdus             -          LKAP-GUTHK2_B04_030_2017_1 -               82     964      77     966      57     966    1464    +      4e-182  605.5  28.5  -
Enterobacteriaceae_Pluralibacter                 -          LKAP-GUTHK2_B04_030_2017_1 -               91     975      75     966      55     966    1532    +    4.2e-182  605.6  28.2  -
Pseudoalteromonadaceae_Algicola                  -          LKAP-GUTHK2_B04_030_2017_1 -               85     965      76     966      55     966    1490    +    4.8e-182  605.3  28.6  -
Carnobacteriaceae_Dolosigranulum                 -          LKAP-GUTHK2_B04_030_2017_1 -               83     968      75     965      55     966    1523    +    4.9e-182  605.4  28.6  -
Rickettsiaceae_Rickettsia                        -          LKAP-GUTHK2_B04_030_2017_1 -               77     917      75     966      55     966    1440    +    4.9e-182  605.5  27.1  -
Burkholderiaceae_Pandoraea                       -          LKAP-GUTHK2_B04_030_2017_1 -               68     947      76     966      56     966    1456    +      5e-182  605.5  28.6  -
Desulfurobacteriaceae_Thermovibrio               -          LKAP-GUTHK2_B04_030_2017_1 -               76     974      76     965      27     966    1498    +    5.3e-182  605.8  30.4  -
Alteromonadaceae_Salinimonas                     -          LKAP-GUTHK2_B04_030_2017_1 -               69     948      75     966      47     966    1459    +      6e-182  605.2  28.4  -
Salinibacteraceae_Salinibacter                   -          LKAP-GUTHK2_B04_030_2017_1 -               97     972      78     966      58     966    1500    +    6.5e-182  605.1  28.7  -
