# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae_Shewanella                        -          B1h_reverse          -              381    1442    1146      29    1166       9    1483    -      9e-304 1009.2  22.3  -
Deferribacteraceae_Deferribacter                 -          B1h_reverse          -              422    1465    1116      37    1138      16    1542    -    4.6e-183  609.1  24.2  -
Rhodobacteraceae_Paracoccus                      -          B1h_reverse          -              413    1317    1030      74    1050      53    1403    -    5.3e-183  609.3  21.3  -
Methylocystaceae_Terasakiella                    -          B1h_reverse          -              451    1396    1015      52    1035      32    1463    -    6.6e-183  608.6  21.4  -
Polyangiaceae_Aetherobacter                      -          B1h_reverse          -              474    1463    1058      44    1080      24    1555    -    7.2e-183  608.6  22.3  -
Clostridiaceae_Tepidimicrobium                   -          B1h_reverse          -              467    1406    1048      76    1068      54    1528    -    9.8e-183  608.2  21.4  -
Ectothiorhodospiraceae_Natronocella              -          B1h_reverse          -              371    1411    1118      31    1166      15    1425    -    1.1e-182  607.7  23.5  -
Chromatiaceae_Thiolamprovum                      -          B1h_reverse          -              399    1446    1118      28    1163      16    1459    -    1.6e-182  607.3  24.0  -
Rhodospirillaceae_Phaeospirillum                 -          B1h_reverse          -              365    1350    1076      54    1097      32    1401    -    1.6e-182  607.5  22.0  -
Phyllobacteriaceae_Mesorhizobium                 -          B1h_reverse          -              383    1328    1049      74    1097      52    1403    -    1.7e-182  607.5  21.8  -
Sphingomonadaceae_Sphingosinicella               -          B1h_reverse          -              421    1354    1015      60    1035      36    1409    -    1.9e-182  607.5  20.4  -
Nocardiaceae_Rhodococcus                         -          B1h_reverse          -              425    1398    1049      46    1069      25    1465    -    2.3e-182  607.0  22.8  -
Lysobacteraceae_Chiayiivirga                     -          B1h_reverse          -              397    1472    1137      10    1159       2    1522    -    2.5e-182  606.7  23.3  -
Alteromonadaceae_Tamilnaduibacter                -          B1h_reverse          -              390    1463    1137       9    1159       2    1474    -    2.6e-182  606.6  23.2  -
Deinococcaceae_Deinococcus                       -          B1h_reverse          -              349    1379    1163      65    1184      43    1455    -    2.6e-182  606.6  22.7  -
Alteromonadaceae_Planctobacterium                -          B1h_reverse          -              396    1449    1135      30    1166      10    1497    -    2.6e-182  606.4  23.0  -
Rhodobacteraceae_Roseivivax                      -          B1h_reverse          -              429    1359    1015      38    1035      18    1405    -    2.8e-182  606.7  21.7  -
Bacillaceae_Thermolongibacillus                  -          B1h_reverse          -              340    1419    1162      49    1182      33    1432    -    3.4e-182  606.2  22.6  -
Thermoanaerobacterales_Thermoanaerobacterium     -          B1h_reverse          -              443    1389    1048      68    1068      40    1500    -      4e-182  605.9  21.2  -
Carnobacteriaceae_Alkalibacterium                -          B1h_reverse          -              378    1390    1143      75    1165      38    1494    -    4.9e-182  605.8  21.8  -
Moraxellaceae_Fluviicoccus                       -          B1h_reverse          -              358    1396    1118      32    1153      22    1405    -    6.7e-182  605.1  23.2  -
Methylococcaceae_Methylogaea                     -          B1h_reverse          -              341    1400    1145      33    1166      12    1451    -    8.2e-182  604.9  23.6  -
Halobacteriovoracaceae_Halobacteriovorax         -          B1h_reverse          -              455    1408    1060      75    1136      54    1480    -    8.5e-182  604.9  21.0  -
Listeriaceae_Brochothrix                         -          B1h_reverse          -              379    1387    1136      76    1162      55    1421    -    9.1e-182  605.1  21.4  -
Carnobacteriaceae_Marinilactibacillus            -          B1h_reverse          -              445    1410    1052      55    1138      34    1511    -    1.1e-181  604.4  21.3  -
Kangiellaceae_Pleionea                           -          B1h_reverse          -              414    1452    1118      32    1156      11    1485    -    1.2e-181  604.2  23.0  -
Erysipelotrichaceae_Erysipelothrix               -          B1h_reverse          -              413    1395    1118      75    1157      53    1467    -    1.4e-181  604.4  22.7  -
Immundisolibacteraceae_Immundisolibacter         -          B1h_reverse          -              414    1488    1136       9    1163       2    1555    -    1.8e-181  603.7  23.1  -
Corynebacteriaceae_Corynebacterium               -          B1h_reverse          -              428    1378    1052      75    1073      52    1462    -    1.8e-181  603.8  22.1  -
Polyangiaceae_Racemicystis                       -          B1h_reverse          -              506    1455    1015      46    1069      26    1549    -    1.9e-181  603.8  21.8  -
Rhodobacteraceae_Octadecabacter                  -          B1h_reverse          -              423    1317    1015      75    1035      54    1389    -    2.1e-181  603.7  19.5  -
Rickettsiaceae_Rickettsia                        -          B1h_reverse          -              445    1364    1015      74    1035      54    1440    -    2.5e-181  603.5  20.9  -
Thermolithobacteraceae_Thermolithobacter         -          B1h_reverse          -              444    1454    1118      67    1182      46    1546    -    2.7e-181  603.1  23.1  -
Rhodospirillaceae_Novispirillum                  -          B1h_reverse          -              405    1353    1040      61    1067      36    1442    -    2.9e-181  603.1  21.9  -
Bacillales_Desulfuribacillus                     -          B1h_reverse          -              416    1408    1118      76    1161      56    1495    -      3e-181  603.1  22.0  -
Thermoanaerobacteraceae_Thermoanaerobacter       -          B1h_reverse          -              479    1412    1015      65    1036      36    1525    -    3.1e-181  602.7  20.8  -
Bacillaceae_Marinococcus                         -          B1h_reverse          -              459    1443    1061      51    1151      31    1503    -    4.4e-181  602.7  22.0  -
Rhizobiaceae_Allorhizobium                       -          B1h_reverse          -              415    1354    1047      74    1068      54    1446    -      5e-181  602.6  21.4  -
Sphingomonadaceae_Blastomonas                    -          B1h_reverse          -              438    1385    1015      46    1035      24    1448    -      5e-181  602.5  20.5  -
Aurantimonadaceae_Aurantimonas                   -          B1h_reverse          -              382    1346    1077      74    1097      50    1410    -    5.2e-181  602.6  21.5  -
Cellvibrionaceae_Maricurvus                      -          B1h_reverse          -              397    1457    1145      28    1166       7    1500    -    5.3e-181  602.0  23.4  -
Lachnospiraceae_Herbinix                         -          B1h_reverse          -              473    1414    1047      75    1068      55    1523    -    5.4e-181  602.3  21.3  -
Polyangiaceae_Polyangium                         -          B1h_reverse          -              481    1445    1048      56    1093      36    1549    -    5.6e-181  602.3  22.0  -
Rhizobiaceae_Ensifer                             -          B1h_reverse          -              394    1338    1048      74    1068      54    1437    -    5.7e-181  602.5  21.8  -
Chromatiaceae_Rhabdochromatium                   -          B1h_reverse          -              367    1424    1145      32    1166      10    1452    -    6.2e-181  602.2  23.6  -
Cellvibrionaceae_Teredinibacter                  -          B1h_reverse          -              370    1427    1144      30    1166      10    1469    -      7e-181  601.6  23.3  -
Spirochaetaceae_Sphaerochaeta                    -          B1h_reverse          -              497    1440    1015      46    1068      25    1529    -    7.3e-181  601.9  22.8  -
Thermoactinomycetaceae_Mechercharimyces          -          B1h_reverse          -              398    1422    1137      60    1160      48    1439    -    7.4e-181  601.9  22.3  -
Pasteurellaceae_Histophilus                      -          B1h_reverse          -              306    1357    1158      53    1181      49    1361    -      8e-181  601.8  22.4  -
Pseudomonadaceae_Oblitimonas                     -          B1h_reverse          -              426    1442    1078      31    1165      10    1469    -      8e-181  601.5  22.8  -
Tsukamurellaceae_Tsukamurella                    -          B1h_reverse          -              445    1419    1049      45    1069      25    1495    -    8.1e-181  601.8  22.2  -
Thermoactinomycetaceae_Laceyella                 -          B1h_reverse          -              418    1373    1048      58    1068      37    1428    -    9.7e-181  601.6  21.3  -
Clostridiales_Thermaerobacter                    -          B1h_reverse          -              469    1458    1069      46    1090      26    1520    -    1.1e-180  601.2  23.1  -
Sneathiellaceae_Sneathiella                      -          B1h_reverse          -              436    1359    1015      69    1035      37    1453    -    1.1e-180  601.4  20.4  -
Rhodanobacteraceae_Aquimonas                     -          B1h_reverse          -              370    1423    1136      32    1166      23    1433    -    1.2e-180  601.1  23.1  -
Rhodospirillaceae_Rhodovibrio                    -          B1h_reverse          -              415    1389    1048      44    1068      21    1480    -    1.3e-180  601.3  22.5  -
Nocardiaceae_Nocardia                            -          B1h_reverse          -              424    1399    1049      44    1069      23    1474    -    1.6e-180  600.8  22.7  -
Rhizobiales_Amorphus                             -          B1h_reverse          -              396    1340    1047      71    1068      51    1427    -    1.7e-180  600.9  22.5  -
Rhodobiaceae_Methyloligella                      -          B1h_reverse          -              415    1372    1047      51    1068      30    1444    -    1.9e-180  600.6  21.8  -
Hyphomicrobiaceae_Pedomicrobium                  -          B1h_reverse          -              432    1351    1015      71    1036      47    1400    -    1.9e-180  600.7  20.4  -
Streptomycetaceae_Streptacidiphilus              -          B1h_reverse          -              425    1405    1049      39    1069      19    1445    -      2e-180  600.7  23.1  -
Lachnospiraceae_Faecalicatena                    -          B1h_reverse          -              463    1402    1046      75    1067      54    1525    -      2e-180  600.3  21.1  -
Polyangiaceae_Chondromyces                       -          B1h_reverse          -              468    1446    1052      46    1074      27    1534    -    2.2e-180  600.4  21.9  -
Saccharospirillaceae_Gynuella                    -          B1h_reverse          -              471    1469    1048      16    1139       3    1503    -    2.2e-180  600.1  22.6  -
Coxiellaceae_Coxiella                            -          B1h_reverse          -              387    1438    1133      29    1165       9    1465    -    2.7e-180  599.9  22.6  -
Rhodobacteraceae_Tropicibacter                   -          B1h_reverse          -              398    1307    1015      59    1035      29    1404    -    2.7e-180  600.0  21.1  -
Aurantimonadaceae_Fulvimarina                    -          B1h_reverse          -              417    1382    1048      49    1069      29    1453    -    3.2e-180  599.9  22.0  -
Thermodesulfobacteriaceae_Thermodesulfobacterium -          B1h_reverse          -              453    1471    1059      31    1114      12    1495    -    3.3e-180  600.0  23.9  -
Veillonellaceae_Dialister                        -          B1h_reverse          -              435    1418    1096      76    1138      55    1502    -    3.4e-180  599.6  22.3  -
Caulobacteraceae_Brevundimonas                   -          B1h_reverse          -              397    1321    1047      67    1067      29    1415    -    3.4e-180  599.8  21.3  -
Rhodobacteraceae_Sulfitobacter                   -          B1h_reverse          -              421    1350    1015      39    1035      18    1405    -    3.6e-180  599.7  21.5  -
Ectothiorhodospiraceae_Halopeptonella            -          B1h_reverse          -              352    1404    1136      32    1163      12    1437    -    4.2e-180  599.3  23.1  -
Clostridiaceae_Sporosalibacterium                -          B1h_reverse          -              462    1406    1048      74    1070      54    1521    -    4.4e-180  599.2  21.5  -
Geodermatophilaceae_Modestobacter                -          B1h_reverse          -              450    1394    1049      76    1069      56    1469    -    6.1e-180  598.8  21.8  -
Brucellaceae_Ochrobactrum                        -          B1h_reverse          -              412    1354    1048      74    1068      54    1421    -    6.2e-180  598.9  21.7  -
Rhodobacteraceae_Rubellimicrobium                -          B1h_reverse          -              433    1326    1015      75    1035      54    1448    -    6.7e-180  599.0  21.1  -
Hyphomicrobiaceae_Filomicrobium                  -          B1h_reverse          -              440    1385    1016      46    1050      24    1448    -      7e-180  598.6  22.0  -
Succinivibrionaceae_Ruminobacter                 -          B1h_reverse          -              462    1452    1056      39    1139      14    1539    -    7.9e-180  598.4  22.5  -
Rhodobacteraceae_Shimia                          -          B1h_reverse          -              421    1312    1015      75    1035      54    1394    -    9.1e-180  598.4  20.0  -
Clostridiales_Tissierella                        -          B1h_reverse          -              462    1402    1048      74    1068      61    1415    -    9.3e-180  598.3  21.3  -
Rhodobiaceae_Rhodobium                           -          B1h_reverse          -              428    1378    1016      43    1067      18    1421    -      1e-179  598.3  22.1  -
Streptomycetaceae_Kitasatospora                  -          B1h_reverse          -              444    1430    1049      39    1069      19    1482    -    1.1e-179  598.2  23.2  -
Rhodobacteraceae_Silicibacter                    -          B1h_reverse          -              448    1373    1015      42    1035      21    1463    -    1.1e-179  598.0  21.0  -
Acidiferrobacteraceae_Sulfurifustis              -          B1h_reverse          -              373    1425    1143      33    1166      12    1454    -    1.1e-179  597.9  22.8  -
Patulibacteraceae_Patulibacter                   -          B1h_reverse          -              460    1434    1050      44    1072      23    1494    -    1.3e-179  597.5  22.6  -
Caulobacteraceae_Asticcacaulis                   -          B1h_reverse          -              408    1312    1030      74    1050      50    1401    -    1.4e-179  597.8  20.6  -
Lachnospiraceae_Hespellia                        -          B1h_reverse          -              436    1376    1047      76    1114      56    1470    -    1.5e-179  597.5  20.5  -
Rhodobacteraceae_Ahrensia                        -          B1h_reverse          -              416    1359    1048      74    1068      54    1474    -    1.9e-179  597.4  21.8  -
Ectothiorhodospiraceae_Ectothiorhodosinus        -          B1h_reverse          -              365    1425    1145      30    1166      10    1445    -      2e-179  596.9  23.1  -
Bartonellaceae_Bartonella                        -          B1h_reverse          -              397    1341    1048      74    1068      54    1410    -      2e-179  597.2  21.3  -
Rhodobacteraceae_Ruegeria                        -          B1h_reverse          -              421    1348    1015      41    1035      20    1386    -    2.4e-179  597.0  21.2  -
Acetobacteraceae_Roseococcus                     -          B1h_reverse          -              402    1332    1030      74    1067      54    1383    -    2.7e-179  597.0  21.7  -
Chromatiaceae_Nitrosococcus                      -          B1h_reverse          -              405    1479    1138      10    1163       3    1491    -    2.9e-179  596.6  23.1  -
Chromatiaceae_Thiobaca                           -          B1h_reverse          -              362    1369    1145      83    1166      82    1370    -      3e-179  596.6  20.9  -
Peptococcaceae_Pelotomaculum                     -          B1h_reverse          -              436    1382    1049      77    1070      53    1467    -    3.7e-179  596.0  21.4  -
Lachnospiraceae_Roseburia                        -          B1h_reverse          -              459    1398    1046      75    1068      55    1470    -    3.9e-179  596.0  21.3  -
Sphingomonadaceae_Rhizorhabdus                   -          B1h_reverse          -              441    1386    1015      48    1035      26    1453    -      4e-179  596.3  21.5  -
Methylococcaceae_Methyloglobulus                 -          B1h_reverse          -              390    1465    1143       9    1165       2    1493    -    4.4e-179  595.9  23.6  -
Fusobacteriaceae_Propionigenium                  -          B1h_reverse          -              458    1445    1048      32    1068      20    1524    -    4.5e-179  595.8  22.2  -
Hyphomonadaceae_Oceanicaulis                     -          B1h_reverse          -              417    1316    1015      74    1036      54    1424    -      5e-179  595.9  19.8  -
Rhodospirillaceae_Dongia                         -          B1h_reverse          -              438    1377    1015      54    1036      31    1431    -    5.2e-179  596.1  20.8  -
Nocardiaceae_Gordonia                            -          B1h_reverse          -              433    1410    1049      42    1070      22    1482    -    6.1e-179  595.4  23.3  -
Rhodospirillaceae_Caenispirillum                 -          B1h_reverse          -              373    1318    1048      70    1068      49    1418    -    6.7e-179  595.5  21.6  -
Pseudomonadaceae_Thiopseudomonas                 -          B1h_reverse          -              419    1460    1118      30    1165       9    1505    -    7.1e-179  595.1  22.9  -
Conexibacteraceae_Conexibacter                   -          B1h_reverse          -              476    1450    1049      43    1070      23    1536    -    8.1e-179  594.9  22.3  -
Pasteurellaceae_Lonepinella                      -          B1h_reverse          -              436    1417    1048      32    1178      12    1498    -    8.9e-179  594.8  23.2  -
Mycobacteriaceae_Mycobacterium                   -          B1h_reverse          -              431    1407    1049      44    1072      24    1469    -    9.7e-179  594.8  23.1  -
Nakamurellaceae_Nakamurella                      -          B1h_reverse          -              427    1369    1048      75    1068      40    1462    -    9.9e-179  594.8  21.8  -
Rhodobacteraceae_Litoreibacter                   -          B1h_reverse          -              419    1355    1015      37    1035      17    1395    -    1.1e-178  594.8  21.1  -
Hyphomonadaceae_Algimonas                        -          B1h_reverse          -              405    1302    1015      74    1035      54    1351    -    1.1e-178  595.0  20.6  -
Methylococcaceae_Methylomagnum                   -          B1h_reverse          -              441    1442    1048      12    1165       3    1452    -    1.1e-178  594.6  23.4  -
Sphingomonadaceae_Stakelama                      -          B1h_reverse          -              422    1370    1015      45    1035      23    1414    -    1.1e-178  594.9  20.9  -
Arenicellaceae_Perspicuibacter                   -          B1h_reverse          -              354    1363    1086      41    1146      39    1365    -    1.2e-178  594.4  22.2  -
Geodermatophilaceae_Geodermatophilus             -          B1h_reverse          -              442    1386    1050      76    1070      54    1509    -    1.2e-178  594.6  22.3  -
Frankiaceae_Frankia                              -          B1h_reverse          -              445    1423    1049      40    1069      19    1510    -    1.5e-178  594.4  23.1  -
Rhodobacteraceae_Pseudovibrio                    -          B1h_reverse          -              436    1355    1021      74    1047      54    1446    -      2e-178  594.1  21.6  -
Geodermatophilaceae_Blastococcus                 -          B1h_reverse          -              434    1376    1049      76    1069      54    1444    -    2.1e-178  593.8  22.3  -
Helicobacteraceae_Sulfurimonas                   -          B1h_reverse          -              463    1418    1015      38    1035      20    1452    -    2.3e-178  593.6  21.3  -
Brucellaceae_Mycoplana                           -          B1h_reverse          -              395    1339    1048      74    1068      54    1438    -      3e-178  593.4  21.3  -
Woeseiaceae_Woeseia                              -          B1h_reverse          -              387    1448    1145      30    1166      10    1476    -    3.1e-178  593.0  23.4  -
Gammaproteobacteria_Thiolapillus                 -          B1h_reverse          -              390    1361    1118     101    1163      99    1363    -    3.6e-178  593.0  21.4  -
Hyphomonadaceae_Henriciella                      -          B1h_reverse          -              413    1311    1015      74    1035      53    1390    -    4.6e-178  592.9  19.8  -
Halothiobacillaceae_Thioalkalibacter             -          B1h_reverse          -              414    1452    1118      33    1165      11    1486    -    4.8e-178  592.3  22.9  -
Halomonadaceae_Halovibrio                        -          B1h_reverse          -              367    1420    1137      31    1165      11    1439    -    5.4e-178  592.3  23.1  -
Selenomonadaceae_Mitsuokella                     -          B1h_reverse          -              485    1426    1048      76    1111      56    1543    -    8.3e-178  591.5  22.2  -
Piscirickettsiaceae_Sulfurivirga                 -          B1h_reverse          -              403    1453    1145      42    1166      37    1457    -    1.1e-177  591.3  23.4  -
Clostridiales_Natranaerovirga                    -          B1h_reverse          -              402    1411    1158      74    1182      54    1504    -    1.3e-177  590.9  21.5  -
Hahellaceae_Halospina                            -          B1h_reverse          -              356    1407    1137      31    1159      10    1427    -    1.3e-177  591.1  23.3  -
Rhodobacteraceae_Jannaschia                      -          B1h_reverse          -              419    1316    1015      74    1035      54    1396    -    1.5e-177  591.1  20.0  -
Methylococcaceae_Methylohalobius                 -          B1h_reverse          -              436    1433    1063      33    1163      13    1462    -    1.6e-177  590.7  22.7  -
Xanthobacteraceae_Xanthobacter                   -          B1h_reverse          -              387    1334    1048      70    1068      42    1413    -    1.6e-177  591.0  21.9  -
Clostridiaceae_Youngiibacter                     -          B1h_reverse          -              471    1416    1015      49    1035      29    1466    -      3e-177  589.9  20.3  -
Sulfuricellaceae_Sulfuricella                    -          B1h_reverse          -              382    1430    1137      38    1158      15    1464    -    3.1e-177  589.8  22.1  -
Thermoanaerobacterales_Caldicellulosiruptor      -          B1h_reverse          -              498    1425    1015      76    1035      55    1517    -    3.9e-177  589.5  20.5  -
Parviterribacteraceae_Parviterribacter           -          B1h_reverse          -              437    1415    1053      43    1077      23    1456    -    4.2e-177  589.4  22.8  -
Lysobacteraceae_Metallibacterium                 -          B1h_reverse          -              453    1457    1048      12    1074       2    1479    -    4.7e-177  589.2  22.6  -
Methylocystaceae_Pleomorphomonas                 -          B1h_reverse          -              429    1360    1032      70    1067      48    1433    -    4.8e-177  589.4  21.7  -
Lachnospiraceae_Cellulosilyticum                 -          B1h_reverse          -              417    1469    1165      39    1188      23    1547    -    4.9e-177  589.0  22.7  -
Rhodospirillaceae_Fodinicurvata                  -          B1h_reverse          -              356    1361    1078      40    1111      19    1390    -    5.1e-177  589.4  23.3  -
Rhodospirillaceae_Inquilinus                     -          B1h_reverse          -              426    1367    1032      74    1053      50    1420    -    6.9e-177  588.8  22.6  -
Clostridiales_Carboxydocella                     -          B1h_reverse          -              454    1417    1054      65    1138      45    1458    -      7e-177  588.6  21.4  -
Clostridiales_Anaerococcus                       -          B1h_reverse          -              425    1374    1041      46    1061      25    1410    -      7e-177  588.8  21.4  -
Sporomusaceae_Sporomusa                          -          B1h_reverse          -              482    1431    1048      70    1069      48    1532    -    7.3e-177  588.4  21.0  -
Hyphomonadaceae_Hyphomonas                       -          B1h_reverse          -              421    1331    1029      73    1050      53    1355    -      8e-177  588.8  19.9  -
Rhodobacteraceae_Stappia                         -          B1h_reverse          -              420    1362    1016      48    1049      26    1412    -      8e-177  588.7  21.8  -
Ventosimonadaceae_Ventosimonas                   -          B1h_reverse          -              504    1449    1016      47    1068      25    1489    -    8.8e-177  588.1  22.1  -
Hyphomicrobiaceae_Maritalea                      -          B1h_reverse          -              399    1317    1015      74    1036      54    1356    -    9.4e-177  588.4  20.4  -
Rhodobacteraceae_Thalassobius                    -          B1h_reverse          -              421    1315    1015      74    1035      53    1389    -      1e-176  588.4  20.1  -
Acetobacteraceae_Stella                          -          B1h_reverse          -              407    1345    1032      74    1053      51    1447    -      1e-176  588.4  22.1  -
Rhizobiaceae_Shinella                            -          B1h_reverse          -              400    1344    1048      74    1068      54    1418    -    1.1e-176  588.3  21.5  -
Cohaesibacteraceae_Cohaesibacter                 -          B1h_reverse          -              430    1358    1029      74    1050      54    1425    -    1.1e-176  588.3  21.4  -
Phyllobacteriaceae_Pseudaminobacter              -          B1h_reverse          -              394    1337    1048      74    1069      54    1406    -    1.1e-176  588.3  21.7  -
Pseudonocardiaceae_Saccharopolyspora             -          B1h_reverse          -              425    1370    1049      75    1069      54    1455    -    1.1e-176  588.0  22.5  -
Phyllobacteriaceae_Aquamicrobium                 -          B1h_reverse          -              393    1338    1049      74    1097      53    1407    -    1.2e-176  588.2  22.5  -
Pseudonocardiaceae_Actinokineospora              -          B1h_reverse          -              426    1368    1048      76    1068      56    1474    -    1.3e-176  587.8  22.4  -
Actinomycetaceae_Arcanobacterium                 -          B1h_reverse          -              449    1414    1030      38    1050      17    1476    -    1.3e-176  587.9  23.0  -
Rhodanobacteraceae_Pseudofulvimonas              -          B1h_reverse          -              349    1384    1136      51    1166      45    1386    -    1.4e-176  587.6  22.0  -
Thermaceae_Thermus                               -          B1h_reverse          -              468    1419    1015      37    1041      19    1482    -    1.4e-176  588.0  23.2  -
Bradyrhizobiaceae_Bradyrhizobium                 -          B1h_reverse          -              412    1365    1015      38    1036      18    1411    -    1.4e-176  587.6  22.0  -
Bacillales_Gemella                               -          B1h_reverse          -              397    1448    1136      38    1163      18    1511    -    1.5e-176  587.7  22.5  -
Rhodobacteraceae_Rhodobacter                     -          B1h_reverse          -              397    1335    1047      55    1068      32    1389    -    1.8e-176  587.5  21.4  -
Nocardiaceae_Williamsia                          -          B1h_reverse          -              417    1388    1049      48    1069      28    1472    -    1.9e-176  587.2  23.0  -
Clostridiaceae_Paraclostridium                   -          B1h_reverse          -              444    1373    1033      75    1053      54    1490    -    1.9e-176  587.3  20.7  -
Nocardioidaceae_Nocardioides                     -          B1h_reverse          -              427    1402    1049      44    1070      23    1449    -      2e-176  587.4  23.0  -
Rhodobacteraceae_Cribrihabitans                  -          B1h_reverse          -              440    1370    1015      38    1035      18    1427    -      2e-176  587.2  21.4  -
Clostridiaceae_Alkaliphilus                      -          B1h_reverse          -              444    1390    1049      69    1070      46    1465    -    2.2e-176  586.6  20.7  -
Clostridiaceae_Hathewaya                         -          B1h_reverse          -              448    1388    1047      74    1068      53    1507    -    2.3e-176  586.9  21.4  -
Pseudonocardiaceae_Pseudonocardia                -          B1h_reverse          -              433    1408    1051      47    1072      26    1475    -    2.5e-176  586.9  23.1  -
Eggerthellaceae_Slackia                          -          B1h_reverse          -              426    1376    1048      60    1068      20    1463    -    2.5e-176  587.0  23.8  -
Lysobacteraceae_Mizugakiibacter                  -          B1h_reverse          -              449    1436    1048      31    1070      10    1463    -    2.6e-176  586.7  22.4  -
Selenomonadaceae_Megamonas                       -          B1h_reverse          -              428    1375    1054      77    1114      56    1475    -      3e-176  586.6  22.1  -
Acidiferrobacteraceae_Acidiferrobacter           -          B1h_reverse          -              393    1446    1143      33    1166      12    1475    -    3.1e-176  586.5  22.4  -
Actinomycetaceae_Trueperella                     -          B1h_reverse          -              416    1407    1078      38    1185      18    1445    -    3.7e-176  586.4  23.1  -
Clostridiaceae_Butyricicoccus                    -          B1h_reverse          -              490    1444    1016      35    1051      17    1482    -    3.7e-176  586.3  21.2  -
Sphingomonadaceae_Polymorphobacter               -          B1h_reverse          -              420    1337    1015      74    1035      53    1431    -    4.1e-176  586.4  20.5  -
Beijerinckiaceae_Beijerinckia                    -          B1h_reverse          -              433    1353    1016      74    1047      53    1432    -    4.2e-176  586.2  21.0  -
Rhodobacteraceae_Thioclava                       -          B1h_reverse          -              429    1339    1028      73    1050      51    1433    -    4.2e-176  586.0  21.3  -
Clostridiales_Sedimentibacter                    -          B1h_reverse          -              468    1409    1048      74    1068      54    1478    -    4.3e-176  585.3  21.2  -
Rhodobacteraceae_Oceanicola                      -          B1h_reverse          -              438    1331    1015      75    1035      54    1421    -    4.5e-176  586.1  20.0  -
Brucellaceae_Brucella                            -          B1h_reverse          -              399    1343    1048      74    1068      54    1412    -    4.9e-176  586.2  21.6  -
Campylobacteraceae_Arcobacter                    -          B1h_reverse          -              445    1388    1015      51    1036      41    1411    -    4.9e-176  586.0  19.6  -
Micrococcaceae_Nesterenkonia                     -          B1h_reverse          -              450    1409    1050      49    1072      27    1488    -    5.3e-176  585.7  22.4  -
Pseudonocardiaceae_Kibdelosporangium             -          B1h_reverse          -              435    1377    1048      76    1068      56    1473    -    5.3e-176  585.7  22.3  -
Peptococcaceae_Sporotomaculum                    -          B1h_reverse          -              522    1484    1048      62    1069      41    1510    -    6.3e-176  585.4  20.9  -
Defluviitaleaceae_Defluviitalea                  -          B1h_reverse          -              439    1399    1029      40    1069      24    1413    -    6.6e-176  585.6  22.1  -
Microbacteriaceae_Agrococcus                     -          B1h_reverse          -              466    1425    1016      36    1069      16    1468    -      7e-176  585.4  22.6  -
Micromonosporaceae_Actinoplanes                  -          B1h_reverse          -              424    1404    1049      38    1069      17    1474    -    7.1e-176  585.4  23.7  -
Pseudonocardiaceae_Amycolatopsis                 -          B1h_reverse          -              427    1370    1049      76    1069      56    1464    -    7.3e-176  585.3  22.0  -
Rhodobacteraceae_Roseovarius                     -          B1h_reverse          -              423    1321    1015      74    1035      50    1415    -    8.3e-176  585.2  20.1  -
Methylococcaceae_Methylomarinovum                -          B1h_reverse          -              457    1432    1042      37    1079      13    1466    -    8.5e-176  585.1  22.4  -
Intrasporangiaceae_Ornithinimicrobium            -          B1h_reverse          -              423    1398    1051      45    1071      25    1447    -    9.3e-176  584.9  23.6  -
Microbacteriaceae_Leucobacter                    -          B1h_reverse          -              440    1414    1049      46    1070      26    1478    -    9.4e-176  585.0  22.5  -
Rhodobacteraceae_Labrenzia                       -          B1h_reverse          -              430    1358    1030      72    1051      41    1447    -    9.8e-176  585.1  21.3  -
Sporomusaceae_Pelosinus                          -          B1h_reverse          -              482    1427    1047      74    1070      53    1550    -    9.9e-176  584.1  21.4  -
Rhodobacteraceae_Wenxinia                        -          B1h_reverse          -              441    1334    1015      74    1035      52    1428    -      1e-175  584.9  20.3  -
Bogoriellaceae_Georgenia                         -          B1h_reverse          -              418    1408    1084      47    1105      26    1471    -    1.1e-175  584.8  23.7  -
Rhodobacteraceae_Rhodovulum                      -          B1h_reverse          -              397    1342    1030      38    1068      18    1378    -    1.1e-175  584.9  22.2  -
Frankiaceae_Jatrophihabitans                     -          B1h_reverse          -              433    1397    1048      53    1068      30    1466    -    1.1e-175  584.7  23.1  -
Dietziaceae_Dietzia                              -          B1h_reverse          -              416    1395    1049      40    1069      19    1452    -    1.5e-175  584.4  23.2  -
Solirubrobacteraceae_Solirubrobacter             -          B1h_reverse          -              434    1415    1054      41    1076      21    1443    -    1.5e-175  584.2  22.6  -
Salinibacteraceae_Salinibacter                   -          B1h_reverse          -              468    1450    1055      40    1077      22    1500    -    1.7e-175  584.1  22.6  -
Pseudonocardiaceae_Lentzea                       -          B1h_reverse          -              443    1385    1049      76    1069      55    1489    -    1.7e-175  584.1  21.9  -
Rhodobacteraceae_Lutimaribacter                  -          B1h_reverse          -              439    1333    1015      74    1035      41    1428    -    1.8e-175  584.1  19.8  -
Nautiliaceae_Nautilia                            -          B1h_reverse          -              381    1361    1094      49    1163      42    1369    -    1.8e-175  584.3  20.4  -
Microbacteriaceae_Microbacterium                 -          B1h_reverse          -              431    1406    1049      45    1069      25    1457    -    1.9e-175  584.0  22.7  -
