# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-GUTHK2_A08_064_2017_1 -               22     898       4     877       1     879    1526    +           0 1054.9  23.8  -
Chromatiaceae_Rheinheimera                       -          LKAP-GUTHK2_A08_064_2017_1 -               16     855       4     877       1     879    1472    +      3e-162  539.7  21.9  -
Lachnospiraceae_Dorea                            -          LKAP-GUTHK2_A08_064_2017_1 -                1     754      93     877      85     878    1316    +    3.2e-162  539.8  16.1  -
Cystobacteraceae_Vitiosangium                    -          LKAP-GUTHK2_A08_064_2017_1 -               27     892       4     877       2     879    1528    +    3.2e-162  539.6  21.6  -
Rhodobacteraceae_Jannaschia                      -          LKAP-GUTHK2_A08_064_2017_1 -               23     806      18     877       2     879    1396    +    3.3e-162  539.8  20.3  -
Rhodospirillaceae_Novispirillum                  -          LKAP-GUTHK2_A08_064_2017_1 -                9     810       4     877       1     879    1442    +    3.5e-162  539.4  20.2  -
Acetobacteraceae_Gluconacetobacter               -          LKAP-GUTHK2_A08_064_2017_1 -                9     811       4     877       2     879    1418    +      4e-162  539.7  20.4  -
Rhizobiaceae_Shinella                            -          LKAP-GUTHK2_A08_064_2017_1 -               16     812       5     877       2     879    1418    +    4.4e-162  539.5  20.2  -
Methylophilaceae_Methylobacillus                 -          LKAP-GUTHK2_A08_064_2017_1 -                8     847      17     877      11     879    1416    +    4.6e-162  539.3  21.1  -
Alteromonadaceae_Alishewanella                   -          LKAP-GUTHK2_A08_064_2017_1 -               20     857       4     877       1     879    1426    +    5.5e-162  538.8  21.6  -
Sphingomonadaceae_Sphingosinicella               -          LKAP-GUTHK2_A08_064_2017_1 -               28     809      19     877       2     879    1409    +    7.1e-162  538.9  19.2  -
Sneathiellaceae_Sneathiella                      -          LKAP-GUTHK2_A08_064_2017_1 -               14     823       4     877       2     879    1453    +    7.6e-162  538.5  21.2  -
Rhodospirillaceae_Fodinicurvata                  -          LKAP-GUTHK2_A08_064_2017_1 -                9     794      17     877      10     879    1390    +    7.8e-162  538.6  19.6  -
Rhodospirillaceae_Rhodocista                     -          LKAP-GUTHK2_A08_064_2017_1 -               14     792      19     877      10     879    1373    +    8.5e-162  538.3  19.8  -
Hahellaceae_Hahella                              -          LKAP-GUTHK2_A08_064_2017_1 -               35     890       3     877       1     879    1539    +      1e-161  537.9  22.2  -
Methylocystaceae_Methylopila                     -          LKAP-GUTHK2_A08_064_2017_1 -               30     826       5     877       1     879    1425    +    1.1e-161  538.0  20.5  -
Dehalococcoidaceae_Dehalogenimonas               -          LKAP-GUTHK2_A08_064_2017_1 -               56     828      76     877      56     879    1433    +    1.1e-161  538.3  19.0  -
Rhodobacteraceae_Litoreibacter                   -          LKAP-GUTHK2_A08_064_2017_1 -                9     806       4     877       2     879    1395    +    1.1e-161  537.9  20.0  -
Enterococcaceae_Pilibacter                       -          LKAP-GUTHK2_A08_064_2017_1 -               69     871      73     877      51     879    1432    +    1.3e-161  537.5  20.5  -
Syntrophaceae_Syntrophus                         -          LKAP-GUTHK2_A08_064_2017_1 -               29     900       4     877       2     879    1560    +    1.5e-161  537.2  22.6  -
Rhodanobacteraceae_Rhodanobacter                 -          LKAP-GUTHK2_A08_064_2017_1 -               15     873       5     877       1     879    1481    +    1.5e-161  537.4  21.8  -
Propionibacteriaceae_Cutibacterium               -          LKAP-GUTHK2_A08_064_2017_1 -               15     849       3     877       2     879    1507    +    1.5e-161  537.2  21.6  -
Caldilineaceae_Caldilinea                        -          LKAP-GUTHK2_A08_064_2017_1 -               10     840       5     877       2     879    1427    +    1.7e-161  537.2  21.7  -
Spongiibacteraceae_Sinobacterium                 -          LKAP-GUTHK2_A08_064_2017_1 -               29     886       4     877       1     879    1504    +    1.8e-161  537.0  21.8  -
Halomonadaceae_Halomonas                         -          LKAP-GUTHK2_A08_064_2017_1 -               10     865       5     877       1     879    1463    +      2e-161  536.9  22.5  -
Shewanellaceae_Shewanella                        -          LKAP-GUTHK2_A08_064_2017_1 -               22     868      17     877       1     879    1483    +    2.3e-161  536.7  22.3  -
Rhizobiaceae_Ensifer                             -          LKAP-GUTHK2_A08_064_2017_1 -                9     806       4     877       1     879    1437    +    2.5e-161  537.0  20.3  -
Eggerthellaceae_Slackia                          -          LKAP-GUTHK2_A08_064_2017_1 -                9     838       4     877       2     879    1463    +    2.6e-161  536.8  21.6  -
Rhodobacteraceae_Actibacterium                   -          LKAP-GUTHK2_A08_064_2017_1 -               15     812       4     877       1     879    1429    +    2.6e-161  536.8  20.3  -
Bacillales_Thermicanus                           -          LKAP-GUTHK2_A08_064_2017_1 -               88     881      76     877      55     879    1426    +    2.9e-161  536.4  20.3  -
Rhodospirillaceae_Thalassobaculum                -          LKAP-GUTHK2_A08_064_2017_1 -               69     821      76     877      53     879    1384    +    2.9e-161  536.6  19.3  -
Nocardioidaceae_Mumia                            -          LKAP-GUTHK2_A08_064_2017_1 -               29     863       3     877       2     879    1516    +      3e-161  536.5  21.7  -
Rhodobacteraceae_Tropicimonas                    -          LKAP-GUTHK2_A08_064_2017_1 -               10     808       5     877       2     879    1390    +    3.1e-161  536.5  20.1  -
Rhodobacteraceae_Pseudooceanicola                -          LKAP-GUTHK2_A08_064_2017_1 -               29     828       4     877       2     879    1429    +    3.1e-161  536.4  20.4  -
Carnobacteriaceae_Dolosigranulum                 -          LKAP-GUTHK2_A08_064_2017_1 -               44     882      19     875       2     878    1523    +    3.4e-161  536.3  22.1  -
Phyllobacteriaceae_Aquamicrobium                 -          LKAP-GUTHK2_A08_064_2017_1 -                9     806       4     877       2     879    1407    +    4.5e-161  536.1  20.7  -
Ectothiorhodospiraceae_Aquisalimonas             -          LKAP-GUTHK2_A08_064_2017_1 -               48     883      18     877       2     879    1464    +    4.7e-161  535.8  22.2  -
Cellvibrionaceae_Simiduia                        -          LKAP-GUTHK2_A08_064_2017_1 -                9     864       4     877       1     879    1463    +      5e-161  535.6  22.6  -
Rhizobiales_Bauldia                              -          LKAP-GUTHK2_A08_064_2017_1 -               19     832       4     877       2     878    1446    +    5.2e-161  535.8  21.5  -
Hyphomicrobiaceae_Rhodoplanes                    -          LKAP-GUTHK2_A08_064_2017_1 -               42     830      17     877       1     879    1451    +    5.3e-161  535.8  20.5  -
Bradyrhizobiaceae_Salinarimonas                  -          LKAP-GUTHK2_A08_064_2017_1 -               41     823      17     877       1     879    1438    +    5.4e-161  535.7  19.7  -
Thermotogaceae_Thermotoga                        -          LKAP-GUTHK2_A08_064_2017_1 -               36     895       4     877       2     878    1561    +    6.4e-161  535.4  23.2  -
Rhodospirillaceae_Phaeospirillum                 -          LKAP-GUTHK2_A08_064_2017_1 -                2     800       4     877       3     879    1401    +    8.2e-161  535.1  20.4  -
Morganellaceae_Photorhabdus                      -          LKAP-GUTHK2_A08_064_2017_1 -               11     870       4     877       1     879    1478    +    8.2e-161  535.3  22.0  -
Hyphomonadaceae_Algimonas                        -          LKAP-GUTHK2_A08_064_2017_1 -               40     792      76     877      56     879    1351    +    8.5e-161  535.2  19.1  -
Morganellaceae_Xenorhabdus                       -          LKAP-GUTHK2_A08_064_2017_1 -               11     868       4     877       1     879    1493    +    8.9e-161  534.9  22.5  -
Desulfobacteraceae_Desulfofrigus                 -          LKAP-GUTHK2_A08_064_2017_1 -               29     903       3     877       2     879    1523    +    9.3e-161  534.7  22.4  -
Alteromonadaceae_Glaciecola                      -          LKAP-GUTHK2_A08_064_2017_1 -               30     878       5     877       1     879    1474    +    9.4e-161  534.6  22.1  -
Kangiellaceae_Kangiella                          -          LKAP-GUTHK2_A08_064_2017_1 -               17     877       4     877       2     879    1478    +      1e-160  534.6  22.1  -
Nannocystaceae_Nannocystis                       -          LKAP-GUTHK2_A08_064_2017_1 -               71     871      74     877      54     879    1518    +      1e-160  534.6  19.9  -
Bradyrhizobiaceae_Bosea                          -          LKAP-GUTHK2_A08_064_2017_1 -               25     824       4     877       2     879    1455    +      1e-160  534.7  20.2  -
Rhodobacteraceae_Nioella                         -          LKAP-GUTHK2_A08_064_2017_1 -               29     828       4     877       2     879    1462    +    1.2e-160  534.5  20.3  -
Hyphomonadaceae_Henriciella                      -          LKAP-GUTHK2_A08_064_2017_1 -               47     800      75     877      54     879    1390    +    1.3e-160  534.7  19.8  -
Thioalkalispiraceae_Thioprofundum                -          LKAP-GUTHK2_A08_064_2017_1 -               24     888       4     877       2     879    1537    +    1.4e-160  534.4  22.0  -
Halieaceae_Parahaliea                            -          LKAP-GUTHK2_A08_064_2017_1 -                8     859       3     877       1     879    1498    +    1.4e-160  534.2  22.6  -
Hyphomonadaceae_Glycocaulis                      -          LKAP-GUTHK2_A08_064_2017_1 -                9     808       4     877       2     879    1389    +    1.5e-160  534.2  20.1  -
Desulfohalobiaceae_Desulfonauticus               -          LKAP-GUTHK2_A08_064_2017_1 -               29     911       4     877       2     878    1567    +    1.5e-160  534.1  23.0  -
Microbulbiferaceae_Microbulbifer                 -          LKAP-GUTHK2_A08_064_2017_1 -                9     859       4     877       1     879    1480    +    1.5e-160  534.2  22.4  -
Rhodobiaceae_Afifella                            -          LKAP-GUTHK2_A08_064_2017_1 -               24     808      16     877       1     879    1443    +    1.8e-160  533.9  19.5  -
Thiotrichaceae_Leucothrix                        -          LKAP-GUTHK2_A08_064_2017_1 -               63     857      74     877      53     879    1445    +    1.9e-160  533.4  20.3  -
Cellvibrionaceae_Gilvimarinus                    -          LKAP-GUTHK2_A08_064_2017_1 -               19     855      17     877       2     879    1445    +    2.1e-160  533.5  21.9  -
Rhodobiaceae_Methyloligella                      -          LKAP-GUTHK2_A08_064_2017_1 -               29     826       4     877       2     879    1444    +    2.1e-160  533.8  19.9  -
Desulfohalobiaceae_Desulfonatronovibrio          -          LKAP-GUTHK2_A08_064_2017_1 -               15     882       4     877       1     878    1500    +    2.2e-160  533.6  22.9  -
Gammaproteobacteria_Plasticicumulans             -          LKAP-GUTHK2_A08_064_2017_1 -               18     867       4     877       2     879    1491    +    2.6e-160  533.3  22.8  -
Actinomycetaceae_Trueperella                     -          LKAP-GUTHK2_A08_064_2017_1 -                9     843      11     877       4     879    1445    +      3e-160  533.2  21.5  -
Rarobacteraceae_Rarobacter                       -          LKAP-GUTHK2_A08_064_2017_1 -               53     832      72     877      51     879    1464    +    3.2e-160  532.9  19.7  -
Desulfurellaceae_Hippea                          -          LKAP-GUTHK2_A08_064_2017_1 -               15     886       4     877       2     879    1509    +    3.6e-160  532.4  22.8  -
Propionibacteriaceae_Friedmanniella              -          LKAP-GUTHK2_A08_064_2017_1 -               10     842       5     877       1     879    1457    +    3.8e-160  533.0  20.8  -
Streptosporangiaceae_Microtetraspora             -          LKAP-GUTHK2_A08_064_2017_1 -                2     807      22     877      21     879    1415    +    3.9e-160  532.5  20.7  -
Dictyoglomaceae_Dictyoglomus                     -          LKAP-GUTHK2_A08_064_2017_1 -               31     887       4     877       2     879    1541    +    5.4e-160  532.3  22.5  -
Acetobacteraceae_Komagataeibacter                -          LKAP-GUTHK2_A08_064_2017_1 -               21     823       4     877       2     879    1456    +    5.5e-160  532.5  20.3  -
Lysobacteraceae_Oleiagrimonas                    -          LKAP-GUTHK2_A08_064_2017_1 -               73     869      75     877      54     879    1469    +    6.1e-160  532.0  20.3  -
Sphingomonadaceae_Polymorphobacter               -          LKAP-GUTHK2_A08_064_2017_1 -               26     808      19     877       2     879    1431    +    7.1e-160  532.1  19.3  -
Dermacoccaceae_Flexivirga                        -          LKAP-GUTHK2_A08_064_2017_1 -               10     849       5     877       2     879    1448    +    7.5e-160  531.6  21.5  -
Propionibacteriaceae_Propionibacterium           -          LKAP-GUTHK2_A08_064_2017_1 -                8     845       3     877       2     879    1473    +    8.9e-160  531.6  21.8  -
Oxalobacteraceae_Massilia                        -          LKAP-GUTHK2_A08_064_2017_1 -                9     850      12     877       4     879    1438    +      1e-159  531.4  22.6  -
Lysobacteraceae_Wohlfahrtiimonas                 -          LKAP-GUTHK2_A08_064_2017_1 -               28     866      19     877       1     879    1448    +    1.1e-159  531.3  21.8  -
Thermodesulfobacteriaceae_Thermodesulfatator     -          LKAP-GUTHK2_A08_064_2017_1 -               28     881      19     877       2     879    1496    +    1.1e-159  531.3  23.1  -
Atopobacteriaceae_Olsenella                      -          LKAP-GUTHK2_A08_064_2017_1 -               27     842      18     877       2     879    1449    +    1.1e-159  531.6  22.1  -
Deinococcaceae_Deinococcus                       -          LKAP-GUTHK2_A08_064_2017_1 -               10     840       3     877       1     879    1455    +    1.3e-159  530.9  21.8  -
Erwiniaceae_Pantoea                              -          LKAP-GUTHK2_A08_064_2017_1 -                8     803      73     877      64     879    1416    +    1.4e-159  530.9  20.4  -
Rhodobacteraceae_Falsirhodobacter                -          LKAP-GUTHK2_A08_064_2017_1 -                9     801       5     877       1     879    1387    +    1.4e-159  531.0  20.0  -
Lachnospiraceae_Lachnoanaerobaculum              -          LKAP-GUTHK2_A08_064_2017_1 -               25     873       3     877       2     878    1490    +    1.4e-159  530.1  22.9  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          LKAP-GUTHK2_A08_064_2017_1 -               71     871      73     877      53     879    1472    +    1.5e-159  530.6  20.3  -
Dermacoccaceae_Luteipulveratus                   -          LKAP-GUTHK2_A08_064_2017_1 -               75     858      69     877      47     879    1491    +    1.6e-159  530.6  20.1  -
Chelatococcaceae_Chelatococcus                   -          LKAP-GUTHK2_A08_064_2017_1 -               10     808       5     877       1     879    1430    +    1.7e-159  530.8  20.3  -
Thermodesulfobacteriaceae_Thermodesulfobacterium -          LKAP-GUTHK2_A08_064_2017_1 -               66     874      77     877      57     879    1495    +    1.7e-159  530.8  20.3  -
Desulfobacteraceae_Desulfosarcina                -          LKAP-GUTHK2_A08_064_2017_1 -               81     894      76     877      55     879    1515    +    1.8e-159  530.4  19.8  -
Rhodospirillaceae_Oceanibaculum                  -          LKAP-GUTHK2_A08_064_2017_1 -               30     829       5     877       2     879    1451    +    1.9e-159  530.6  19.8  -
Thermoactinomycetaceae_Lihuaxuella               -          LKAP-GUTHK2_A08_064_2017_1 -               37     863       5     877       1     879    1516    +      2e-159  530.4  21.4  -
Actinomycetaceae_Actinotignum                    -          LKAP-GUTHK2_A08_064_2017_1 -                2     856       4     877       3     879    1488    +    2.2e-159  530.5  22.6  -
Hyphomicrobiaceae_Hyphomicrobium                 -          LKAP-GUTHK2_A08_064_2017_1 -                6     803       4     877       2     879    1423    +    2.5e-159  530.2  20.4  -
Phyllobacteriaceae_Pseudaminobacter              -          LKAP-GUTHK2_A08_064_2017_1 -                9     806       4     877       2     879    1406    +    2.6e-159  530.3  21.0  -
Lysobacteraceae_Vulcaniibacterium                -          LKAP-GUTHK2_A08_064_2017_1 -               36     894       4     877       2     879    1549    +      3e-159  529.7  22.9  -
Xanthobacteraceae_Pseudoxanthobacter             -          LKAP-GUTHK2_A08_064_2017_1 -               32     831       4     877       2     879    1456    +    3.1e-159  529.8  20.4  -
Alteromonadaceae_Marinobacter                    -          LKAP-GUTHK2_A08_064_2017_1 -                9     864       4     877       1     879    1478    +    3.2e-159  529.6  22.4  -
Rhodocyclaceae_Propionivibrio                    -          LKAP-GUTHK2_A08_064_2017_1 -               18     871       5     877       2     879    1496    +    3.5e-159  529.7  22.1  -
Cellvibrionaceae_Umboniibacter                   -          LKAP-GUTHK2_A08_064_2017_1 -               21     869       4     877       2     879    1507    +    4.3e-159  529.4  22.3  -
Oceanospirillaceae_Marinospirillum               -          LKAP-GUTHK2_A08_064_2017_1 -               10     858       5     877       2     879    1451    +    4.4e-159  529.2  22.2  -
Actinomycetaceae_Arcanobacterium                 -          LKAP-GUTHK2_A08_064_2017_1 -                9     850       4     877       1     879    1476    +      5e-159  529.2  21.7  -
Vibrionaceae_Photobacterium                      -          LKAP-GUTHK2_A08_064_2017_1 -                8     876       3     877       1     879    1487    +      5e-159  528.9  23.6  -
Rhodobacteraceae_Roseivivax                      -          LKAP-GUTHK2_A08_064_2017_1 -               18     816       5     877       2     879    1405    +    5.5e-159  529.1  20.3  -
Hyphomicrobiaceae_Blastochloris                  -          LKAP-GUTHK2_A08_064_2017_1 -               11     808       6     877       2     879    1427    +    5.6e-159  529.0  20.6  -
Rubricoccaceae_Rubrivirga                        -          LKAP-GUTHK2_A08_064_2017_1 -               24     872       7     877       1     878    1465    +    5.9e-159  528.8  22.0  -
Oceanospirillaceae_Amphritea                     -          LKAP-GUTHK2_A08_064_2017_1 -                8     864       3     877       1     879    1463    +      6e-159  528.7  22.4  -
Rhizobiaceae_Kaistia                             -          LKAP-GUTHK2_A08_064_2017_1 -               33     811      19     877       2     879    1398    +    6.1e-159  529.0  20.4  -
Hyphomicrobiaceae_Maritalea                      -          LKAP-GUTHK2_A08_064_2017_1 -                6     786      19     877      16     879    1356    +    6.6e-159  528.8  19.9  -
Burkholderiaceae_Burkholderia                    -          LKAP-GUTHK2_A08_064_2017_1 -               17     868       5     877       1     879    1502    +    7.1e-159  528.5  23.0  -
Fusobacteriaceae_Fusobacterium                   -          LKAP-GUTHK2_A08_064_2017_1 -               67     844      70     877      49     878    1443    +      8e-159  528.3  19.9  -
Halieaceae_Haliea                                -          LKAP-GUTHK2_A08_064_2017_1 -               29     880       4     877       2     879    1500    +      1e-158  528.0  22.5  -
Sphingomonadaceae_Rhizorhabdus                   -          LKAP-GUTHK2_A08_064_2017_1 -               48     829      19     877       2     879    1453    +    1.1e-158  528.1  19.6  -
Nevskiaceae_Steroidobacter                       -          LKAP-GUTHK2_A08_064_2017_1 -               15     869       4     877       2     879    1500    +    1.2e-158  527.9  21.9  -
Enterobacteriaceae_Enterobacter                  -          LKAP-GUTHK2_A08_064_2017_1 -                7     862       4     877       1     879    1476    +    1.2e-158  527.7  22.4  -
Rhizobiaceae_Pararhizobium                       -          LKAP-GUTHK2_A08_064_2017_1 -               29     826       4     877       1     879    1477    +    1.3e-158  527.8  20.9  -
Methylocystaceae_Hansschlegelia                  -          LKAP-GUTHK2_A08_064_2017_1 -               29     829       4     877       1     879    1450    +    1.3e-158  527.7  20.6  -
Methylocystaceae_Methylosinus                    -          LKAP-GUTHK2_A08_064_2017_1 -                9     810       4     877       2     879    1410    +    1.3e-158  527.9  20.5  -
Oceanospirillaceae_Oceanospirillum               -          LKAP-GUTHK2_A08_064_2017_1 -                9     865       4     877       2     879    1462    +    1.4e-158  527.6  22.1  -
Syntrophobacteraceae_Desulfosoma                 -          LKAP-GUTHK2_A08_064_2017_1 -               79     887      76     877      56     879    1479    +    1.5e-158  527.7  20.8  -
Beijerinckiaceae_Methylocapsa                    -          LKAP-GUTHK2_A08_064_2017_1 -               27     825       5     877       2     879    1419    +    1.7e-158  527.3  20.5  -
Spongiibacteraceae_Zhongshania                   -          LKAP-GUTHK2_A08_064_2017_1 -               87     880      75     877      52     879    1501    +    1.7e-158  527.1  20.2  -
Propionibacteriaceae_Naumannella                 -          LKAP-GUTHK2_A08_064_2017_1 -               28     863       3     877       2     879    1511    +    1.8e-158  527.1  20.6  -
Microbacteriaceae_Rhodoglobus                    -          LKAP-GUTHK2_A08_064_2017_1 -               57     889      19     877       2     879    1515    +      2e-158  527.1  21.0  -
Clostridiales_Anaerococcus                       -          LKAP-GUTHK2_A08_064_2017_1 -                7     827      19     877      16     878    1410    +      2e-158  527.2  22.5  -
Chromatiaceae_Halochromatium                     -          LKAP-GUTHK2_A08_064_2017_1 -               27     854      18     877       2     879    1451    +      2e-158  527.2  22.4  -
Methylothermaceae_Methylothermus                 -          LKAP-GUTHK2_A08_064_2017_1 -               30     887       4     877       1     879    1491    +    2.2e-158  526.9  22.2  -
Alteromonadaceae_Aestuariibacter                 -          LKAP-GUTHK2_A08_064_2017_1 -                9     858       4     877       1     879    1455    +    2.3e-158  526.8  21.8  -
Rhodobacteraceae_Octadecabacter                  -          LKAP-GUTHK2_A08_064_2017_1 -               28     810      19     877       2     879    1389    +    2.3e-158  526.9  20.2  -
Chromatiaceae_Thiocapsa                          -          LKAP-GUTHK2_A08_064_2017_1 -               43     868      18     877       2     879    1459    +    2.4e-158  527.1  22.6  -
Aurantimonadaceae_Martelella                     -          LKAP-GUTHK2_A08_064_2017_1 -               29     826       4     877       1     879    1443    +    2.4e-158  527.2  19.8  -
Enterobacteriaceae_Citrobacter                   -          LKAP-GUTHK2_A08_064_2017_1 -               25     881       5     877       2     879    1517    +    2.4e-158  526.7  22.3  -
Rhodobacteraceae_Thalassobius                    -          LKAP-GUTHK2_A08_064_2017_1 -                9     808       4     877       2     879    1389    +    2.7e-158  526.9  20.4  -
Burkholderiaceae_Paraburkholderia                -          LKAP-GUTHK2_A08_064_2017_1 -               20     859      14     877       2     879    1472    +    2.9e-158  526.6  22.8  -
Halomonadaceae_Chromohalobacter                  -          LKAP-GUTHK2_A08_064_2017_1 -                8     864       3     877       1     879    1480    +    3.1e-158  526.4  22.6  -
Propionibacteriaceae_Acidipropionibacterium      -          LKAP-GUTHK2_A08_064_2017_1 -               46     873      19     877       2     879    1455    +    3.1e-158  526.5  22.2  -
Ruminococcaceae_Agathobaculum                    -          LKAP-GUTHK2_A08_064_2017_1 -                3     779      76     877      74     879    1383    +    3.6e-158  526.4  18.4  -
Rhodobacteraceae_Haematobacter                   -          LKAP-GUTHK2_A08_064_2017_1 -               23     822       4     877       2     879    1414    +    4.5e-158  526.0  21.2  -
Enterobacteriaceae_Salmonella                    -          LKAP-GUTHK2_A08_064_2017_1 -                6     862       5     877       1     879    1457    +    4.9e-158  525.8  22.3  -
Gammaproteobacteria_Alkalimonas                  -          LKAP-GUTHK2_A08_064_2017_1 -               27     882       4     877       2     879    1502    +    5.3e-158  525.6  23.0  -
Acidithiobacillaceae_Acidithiobacillus           -          LKAP-GUTHK2_A08_064_2017_1 -               27     857      19     877       2     879    1457    +    5.5e-158  525.5  22.1  -
Erwiniaceae_Tatumella                            -          LKAP-GUTHK2_A08_064_2017_1 -                9     866       4     877       1     879    1490    +      6e-158  525.5  22.4  -
Enterobacteriaceae_Trabulsiella                  -          LKAP-GUTHK2_A08_064_2017_1 -               20     859      18     877       2     879    1471    +      6e-158  525.6  22.5  -
Thermodesulfobiaceae_Thermodesulfobium           -          LKAP-GUTHK2_A08_064_2017_1 -               58     883       4     873       2     879    1545    +    6.6e-158  525.2  19.5  -
Cystobacteraceae_Stigmatella                     -          LKAP-GUTHK2_A08_064_2017_1 -                9     874       4     877       2     879    1502    +    6.8e-158  525.2  21.4  -
Yersiniaceae_Serratia                            -          LKAP-GUTHK2_A08_064_2017_1 -               12     870       3     877       1     879    1491    +    7.8e-158  525.0  22.6  -
Cellulomonadaceae_Oerskovia                      -          LKAP-GUTHK2_A08_064_2017_1 -               18     855       3     877       1     879    1488    +    8.1e-158  525.1  21.5  -
Rhodocyclaceae_Rhodocyclus                       -          LKAP-GUTHK2_A08_064_2017_1 -                9     861       4     877       2     879    1460    +    9.2e-158  524.9  22.8  -
Propionibacteriaceae_Luteococcus                 -          LKAP-GUTHK2_A08_064_2017_1 -               27     840      18     877       2     879    1439    +    9.4e-158  524.8  20.9  -
Oscillospiraceae_Oscillibacter                   -          LKAP-GUTHK2_A08_064_2017_1 -               26     857      17     877       1     878    1453    +    9.5e-158  524.5  21.5  -
Rhodobacteraceae_Celeribacter                    -          LKAP-GUTHK2_A08_064_2017_1 -               27     824       5     877       2     879    1428    +    1.1e-157  524.8  20.5  -
Rhodanobacteraceae_Luteibacter                   -          LKAP-GUTHK2_A08_064_2017_1 -               34     873      19     877       2     879    1457    +    1.1e-157  524.6  21.4  -
Hahellaceae_Zooshikella                          -          LKAP-GUTHK2_A08_064_2017_1 -               20     863      13     877       1     879    1483    +    1.1e-157  524.5  21.5  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-GUTHK2_A08_064_2017_1 -               29     886       4     877       1     879    1506    +    1.3e-157  524.2  22.4  -
Acidobacteriaceae_Granulicella                   -          LKAP-GUTHK2_A08_064_2017_1 -               87     844      76     877      54     879    1455    +    1.5e-157  524.1  19.6  -
Phyllobacteriaceae_Aminobacter                   -          LKAP-GUTHK2_A08_064_2017_1 -               17     814       4     877       2     879    1453    +    1.8e-157  524.0  21.1  -
Eggerthellaceae_Enterorhabdus                    -          LKAP-GUTHK2_A08_064_2017_1 -               17     846       3     877       2     879    1452    +    1.9e-157  524.0  22.0  -
Jonesiaceae_Jonesia                              -          LKAP-GUTHK2_A08_064_2017_1 -               30     888       3     877       2     879    1541    +    1.9e-157  523.9  22.3  -
Clostridiaceae_Peptoclostridium                  -          LKAP-GUTHK2_A08_064_2017_1 -               36     876       4     877       1     879    1507    +    2.1e-157  523.6  22.8  -
Rhodobacteraceae_Labrenzia                       -          LKAP-GUTHK2_A08_064_2017_1 -               32     828       7     877       1     879    1447    +    2.1e-157  523.9  19.2  -
Aurantimonadaceae_Fulvimarina                    -          LKAP-GUTHK2_A08_064_2017_1 -               30     829       4     877       2     879    1453    +    2.3e-157  523.7  21.1  -
Hahellaceae_Kistimonas                           -          LKAP-GUTHK2_A08_064_2017_1 -               29     885       4     877       2     879    1506    +    2.4e-157  523.5  21.7  -
Enterobacteriaceae_Cronobacter                   -          LKAP-GUTHK2_A08_064_2017_1 -                5     843      19     877      16     879    1422    +    2.7e-157  523.4  22.0  -
Thermoanaerobacterales_Thermovenabulum           -          LKAP-GUTHK2_A08_064_2017_1 -               29     867       4     877       2     879    1424    +    2.9e-157  523.3  23.3  -
Rhodocyclaceae_Azospira                          -          LKAP-GUTHK2_A08_064_2017_1 -               18     853      19     877       6     879    1484    +    3.6e-157  522.9  22.0  -
Thermaceae_Meiothermus                           -          LKAP-GUTHK2_A08_064_2017_1 -               78     839      75     877      53     879    1482    +    3.8e-157  522.7  18.9  -
Acidobacteriaceae_Terriglobus                    -          LKAP-GUTHK2_A08_064_2017_1 -               75     832      76     877      55     879    1449    +      4e-157  522.7  19.2  -
Beijerinckiaceae_Methylocella                    -          LKAP-GUTHK2_A08_064_2017_1 -               10     808       5     877       2     879    1406    +    4.3e-157  522.7  20.3  -
Moraxellaceae_Moraxella                          -          LKAP-GUTHK2_A08_064_2017_1 -               20     848      19     877       3     879    1446    +    4.4e-157  522.6  21.5  -
Piscirickettsiaceae_Hydrogenovibrio              -          LKAP-GUTHK2_A08_064_2017_1 -                9     881       4     877       2     879    1465    +    4.5e-157  522.5  23.4  -
Alteromonadaceae_Paraglaciecola                  -          LKAP-GUTHK2_A08_064_2017_1 -               38     868      19     877       2     879    1495    +    4.6e-157  522.2  22.0  -
Rhodobacteraceae_Tateyamaria                     -          LKAP-GUTHK2_A08_064_2017_1 -               30     827       4     877       2     879    1386    +    4.8e-157  522.5  20.5  -
Vibrionaceae_Grimontia                           -          LKAP-GUTHK2_A08_064_2017_1 -                9     876       4     877       1     879    1493    +    4.8e-157  522.3  23.8  -
Enterobacteriaceae_Franconibacter                -          LKAP-GUTHK2_A08_064_2017_1 -               34     870      19     877       1     879    1325    +    5.3e-157  522.6  21.4  -
Chromatiaceae_Marichromatium                     -          LKAP-GUTHK2_A08_064_2017_1 -               37     862      18     877       2     879    1440    +    5.9e-157  522.4  22.4  -
Rhodobacteraceae_Ruegeria                        -          LKAP-GUTHK2_A08_064_2017_1 -                9     808       4     877       2     879    1386    +    6.2e-157  522.2  20.4  -
Actinomycetaceae_Actinobaculum                   -          LKAP-GUTHK2_A08_064_2017_1 -               62     854      74     877      53     879    1506    +    6.5e-157  522.0  20.3  -
Phyllobacteriaceae_Nitratireductor               -          LKAP-GUTHK2_A08_064_2017_1 -               26     825       4     877       2     879    1426    +    6.6e-157  522.2  20.8  -
