# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Sporosarcina                      -          LKAP-TSAKG2_E09_071_2018_2 -               19     843      14     835      10     835    1504    +           0 1040.8  21.4  -
Desulfomicrobiaceae_Desulfomicrobium             -          LKAP-TSAKG2_E09_071_2018_2 -               30     850      15     834      10     835    1502    +      5e-179  595.2  21.9  -
Clostridiales_Anaerobranca                       -          LKAP-TSAKG2_E09_071_2018_2 -               51     838      22     831      11     835    1467    +    5.4e-179  595.3  21.9  -
Lachnospiraceae_Cellulosilyticum                 -          LKAP-TSAKG2_E09_071_2018_2 -               87     845      22     809      13     829    1547    +    7.9e-179  594.4  21.6  -
Saccharospirillaceae_Saccharospirillum           -          LKAP-TSAKG2_E09_071_2018_2 -               29     803      21     809       8     824    1459    +    8.8e-179  594.5  22.6  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          LKAP-TSAKG2_E09_071_2018_2 -               19     824      21     835      10     835    1438    +    9.1e-179  594.2  22.0  -
Halobacteroidaceae_Halobacteroides               -          LKAP-TSAKG2_E09_071_2018_2 -               20     815      22     833      13     835    1471    +    9.6e-179  594.2  22.4  -
Thiotrichales_Caedibacter                        -          LKAP-TSAKG2_E09_071_2018_2 -               49     814      22     834      12     835    1500    +    1.1e-178  593.8  21.4  -
Lachnospiraceae_Anaerostipes                     -          LKAP-TSAKG2_E09_071_2018_2 -               29     804      22     810      10     830    1436    +    1.7e-178  593.6  22.4  -
Thermoanaerobacterales_Thermoanaerobacterium     -          LKAP-TSAKG2_E09_071_2018_2 -               36     795      15     806      10     822    1500    +    2.4e-178  592.8  22.7  -
Micrococcaceae_Arthrobacter                      -          LKAP-TSAKG2_E09_071_2018_2 -               37     798      21     810      11     830    1472    +    2.4e-178  593.0  22.5  -
Nocardiaceae_Rhodococcus                         -          LKAP-TSAKG2_E09_071_2018_2 -               29     784      22     814      10     828    1465    +    2.5e-178  593.1  22.8  -
Carnobacteriaceae_Atopostipes                    -          LKAP-TSAKG2_E09_071_2018_2 -               42     863      16     833       7     835    1546    +    2.8e-178  592.6  21.4  -
Paenibacillaceae_Marinicrinis                    -          LKAP-TSAKG2_E09_071_2018_2 -               20     844      15     833       7     835    1476    +    3.7e-178  592.3  21.2  -
Microbacteriaceae_Leifsonia                      -          LKAP-TSAKG2_E09_071_2018_2 -               40     799      22     809      11     829    1477    +    7.1e-178  591.4  21.9  -
Thermoactinomycetaceae_Novibacillus              -          LKAP-TSAKG2_E09_071_2018_2 -               29     851      22     832       9     834    1481    +    9.1e-178  591.2  21.8  -
Desulfuromonadaceae_Desulfuromusa                -          LKAP-TSAKG2_E09_071_2018_2 -               38     843      14     835       8     835    1473    +    1.1e-177  590.6  22.3  -
Clostridiaceae_Hungatella                        -          LKAP-TSAKG2_E09_071_2018_2 -                3     797      23     834      21     835    1409    +    2.2e-177  589.8  22.4  -
Thermoactinomycetaceae_Marinithermofilum         -          LKAP-TSAKG2_E09_071_2018_2 -               47     870      21     829       8     835    1523    +    2.3e-177  589.8  21.8  -
Haloplasmataceae_Haloplasma                      -          LKAP-TSAKG2_E09_071_2018_2 -               29     805      21     813       8     833    1345    +      3e-177  589.3  22.9  -
Pseudonocardiaceae_Saccharopolyspora             -          LKAP-TSAKG2_E09_071_2018_2 -               19     793      21     817      10     835    1455    +    4.1e-177  588.9  22.2  -
Desulfobacteraceae_Desulfofaba                   -          LKAP-TSAKG2_E09_071_2018_2 -               42     867      22     835      12     835    1512    +    4.2e-177  588.8  22.0  -
Halobacteroidaceae_Orenia                        -          LKAP-TSAKG2_E09_071_2018_2 -               20     816      22     833      13     835    1422    +      6e-177  588.2  21.9  -
Microbacteriaceae_Cryobacterium                  -          LKAP-TSAKG2_E09_071_2018_2 -               40     808      22     807      11     827    1457    +    6.1e-177  588.4  22.4  -
Syntrophobacteraceae_Syntrophobacter             -          LKAP-TSAKG2_E09_071_2018_2 -               28     843      21     830      10     835    1504    +    6.9e-177  588.4  22.0  -
Pseudonocardiaceae_Saccharomonospora             -          LKAP-TSAKG2_E09_071_2018_2 -               39     799      22     809      13     829    1498    +    7.4e-177  588.0  22.2  -
Chrysiogenaceae_Desulfurispirillum               -          LKAP-TSAKG2_E09_071_2018_2 -               89     826      65     816      43     835    1530    +    1.4e-176  587.1  22.8  -
Nakamurellaceae_Nakamurella                      -          LKAP-TSAKG2_E09_071_2018_2 -               29     811      22     834      11     835    1462    +    1.4e-176  587.1  21.5  -
Syntrophomonadaceae_Thermosyntropha              -          LKAP-TSAKG2_E09_071_2018_2 -              102     876      61     828      37     834    1546    +    1.5e-176  587.0  22.3  -
Ectothiorhodospiraceae_Halorhodospira            -          LKAP-TSAKG2_E09_071_2018_2 -               38     831      13     809      10     829    1479    +    1.8e-176  587.0  21.6  -
Bacillales_Ammoniibacillus                       -          LKAP-TSAKG2_E09_071_2018_2 -               83     857      58     833      36     835    1523    +      2e-176  586.6  21.3  -
Lysobacteraceae_Luteimonas                       -          LKAP-TSAKG2_E09_071_2018_2 -               34     815      22     809      10     825    1490    +      2e-176  586.5  22.4  -
Paenibacillaceae_Gorillibacterium                -          LKAP-TSAKG2_E09_071_2018_2 -               48     854      21     830       8     834    1529    +      2e-176  586.6  21.5  -
Pseudonocardiaceae_Actinophytocola               -          LKAP-TSAKG2_E09_071_2018_2 -               32     810      22     833      12     835    1475    +    2.1e-176  586.6  22.8  -
Pseudonocardiaceae_Actinoalloteichus             -          LKAP-TSAKG2_E09_071_2018_2 -               33     812      22     834      12     835    1475    +    3.9e-176  585.8  22.6  -
Lachnospiraceae_Roseburia                        -          LKAP-TSAKG2_E09_071_2018_2 -               42     839      22     834      13     835    1470    +    7.1e-176  584.6  21.8  -
Sanguibacteraceae_Sanguibacter                   -          LKAP-TSAKG2_E09_071_2018_2 -               45     803      22     808      11     828    1476    +    7.5e-176  584.7  22.2  -
Desulfovibrionaceae_Pseudodesulfovibrio          -          LKAP-TSAKG2_E09_071_2018_2 -               45     856      22     832      12     835    1537    +    8.6e-176  584.4  22.2  -
Syntrophaceae_Desulfomonile                      -          LKAP-TSAKG2_E09_071_2018_2 -               87     867      62     832      37     835    1523    +    1.1e-175  584.3  22.4  -
Dietziaceae_Dietzia                              -          LKAP-TSAKG2_E09_071_2018_2 -               20     783      22     818      11     835    1452    +    1.2e-175  584.1  22.5  -
Rhodospirillaceae_Dongia                         -          LKAP-TSAKG2_E09_071_2018_2 -               26     796      14     835      10     835    1431    +      2e-175  583.7  22.3  -
Lachnospiraceae_Herbinix                         -          LKAP-TSAKG2_E09_071_2018_2 -              101     831      61     811      41     822    1523    +      2e-175  583.3  23.3  -
Erysipelotrichaceae_Turicibacter                 -          LKAP-TSAKG2_E09_071_2018_2 -               40     827      15     833       7     835    1508    +    2.2e-175  583.3  22.7  -
Kineosporiaceae_Angustibacter                    -          LKAP-TSAKG2_E09_071_2018_2 -               36     794      22     808      12     828    1466    +    2.3e-175  583.2  22.9  -
Thermoactinomycetaceae_Hazenella                 -          LKAP-TSAKG2_E09_071_2018_2 -               28     798      21     833       8     835    1426    +    2.8e-175  582.8  22.0  -
Lysobacteraceae_Lysobacter                       -          LKAP-TSAKG2_E09_071_2018_2 -               31     814      22     810       9     829    1475    +    3.7e-175  582.4  22.7  -
Segniliparaceae_Segniliparus                     -          LKAP-TSAKG2_E09_071_2018_2 -               24     788      15     816      10     834    1462    +    4.3e-175  582.4  22.0  -
Microbacteriaceae_Microbacterium                 -          LKAP-TSAKG2_E09_071_2018_2 -               28     788      21     808      10     828    1457    +    5.7e-175  581.8  22.5  -
Desulfobulbaceae_Desulfobulbus                   -          LKAP-TSAKG2_E09_071_2018_2 -               30     848      22     835      12     835    1456    +    5.8e-175  581.7  21.8  -
Kangiellaceae_Kangiella                          -          LKAP-TSAKG2_E09_071_2018_2 -               37     845      22     833      13     835    1478    +      1e-174  580.9  21.4  -
Microbacteriaceae_Zimmermannella                 -          LKAP-TSAKG2_E09_071_2018_2 -               49     805      22     806      11     826    1484    +    1.1e-174  580.9  22.6  -
Sporolactobacillaceae_Sinobaca                   -          LKAP-TSAKG2_E09_071_2018_2 -               53     899      21     834       8     835    1531    +    1.2e-174  580.6  21.5  -
Lachnospiraceae_Pseudobutyrivibrio               -          LKAP-TSAKG2_E09_071_2018_2 -               19     786      22     807      10     827    1462    +    1.2e-174  580.5  21.5  -
Micrococcaceae_Kocuria                           -          LKAP-TSAKG2_E09_071_2018_2 -               36     806      22     810      12     830    1480    +    1.3e-174  580.7  22.6  -
Geodermatophilaceae_Geodermatophilus             -          LKAP-TSAKG2_E09_071_2018_2 -               43     802      22     810      10     831    1509    +    1.3e-174  580.6  22.6  -
Corynebacteriaceae_Corynebacterium               -          LKAP-TSAKG2_E09_071_2018_2 -               29     816      22     834      12     835    1462    +    1.4e-174  580.4  21.9  -
Microbacteriaceae_Humibacter                     -          LKAP-TSAKG2_E09_071_2018_2 -               20     782      21     806       9     826    1451    +    1.5e-174  580.3  22.2  -
Cystobacteraceae_Cystobacter                     -          LKAP-TSAKG2_E09_071_2018_2 -               19     843      14     834      10     835    1491    +    1.5e-174  580.3  22.1  -
Pseudonocardiaceae_Umezawaea                     -          LKAP-TSAKG2_E09_071_2018_2 -               56     836      22     835      13     835    1510    +    2.4e-174  579.6  22.6  -
Streptomycetaceae_Streptacidiphilus              -          LKAP-TSAKG2_E09_071_2018_2 -               29     780      22     806      11     826    1445    +    2.5e-174  579.9  22.4  -
Alteromonadaceae_Marinobacterium                 -          LKAP-TSAKG2_E09_071_2018_2 -               21     836      16     835       8     835    1465    +    2.7e-174  579.5  21.7  -
Carnobacteriaceae_Allofustis                     -          LKAP-TSAKG2_E09_071_2018_2 -               20     840      15     833       7     835    1500    +    2.8e-174  579.2  21.5  -
Thermoactinomycetaceae_Thermoflavimicrobium      -          LKAP-TSAKG2_E09_071_2018_2 -               28     810      21     833       8     835    1475    +    2.9e-174  579.6  21.7  -
Methylococcaceae_Methylomonas                    -          LKAP-TSAKG2_E09_071_2018_2 -               48     845      22     834      13     835    1475    +      3e-174  579.3  22.2  -
Streptomycetaceae_Kitasatospora                  -          LKAP-TSAKG2_E09_071_2018_2 -               49     801      22     808      11     828    1482    +    3.5e-174  579.4  22.5  -
Halothiobacillaceae_Halothiobacillus             -          LKAP-TSAKG2_E09_071_2018_2 -               49     856      22     834      12     835    1505    +    5.2e-174  578.6  21.9  -
Polyangiaceae_Chondromyces                       -          LKAP-TSAKG2_E09_071_2018_2 -               39     851      22     830      12     835    1534    +    5.7e-174  578.6  22.3  -
Pseudonocardiaceae_Kutzneria                     -          LKAP-TSAKG2_E09_071_2018_2 -               47     826      22     834      11     835    1477    +    6.2e-174  578.5  22.7  -
Chromatiaceae_Thiohalocapsa                      -          LKAP-TSAKG2_E09_071_2018_2 -               29     803      14     803      10     823    1436    +    6.2e-174  578.6  22.5  -
Pseudonocardiaceae_Kibdelosporangium             -          LKAP-TSAKG2_E09_071_2018_2 -               39     792      22     809       8     830    1473    +      7e-174  578.2  23.0  -
Hahellaceae_Endozoicomonas                       -          LKAP-TSAKG2_E09_071_2018_2 -               49     831      22     809      12     830    1524    +    8.7e-174  577.9  22.2  -
Methylobacteriaceae_Methylobacterium             -          LKAP-TSAKG2_E09_071_2018_2 -               27     777      22     834       9     835    1424    +      1e-173  577.8  22.3  -
Thermithiobacillaceae_Thermithiobacillus         -          LKAP-TSAKG2_E09_071_2018_2 -                5     814      15     834      12     835    1419    +    1.6e-173  577.1  22.7  -
Pseudonocardiaceae_Saccharothrix                 -          LKAP-TSAKG2_E09_071_2018_2 -               48     828      22     835      12     835    1459    +    2.1e-173  576.5  22.3  -
Promicromonosporaceae_Myceligenerans             -          LKAP-TSAKG2_E09_071_2018_2 -               47     833      21     832       8     835    1475    +    2.3e-173  576.6  22.2  -
Polyangiaceae_Racemicystis                       -          LKAP-TSAKG2_E09_071_2018_2 -               50     861      22     831      14     835    1549    +    2.4e-173  576.4  22.6  -
Thermoactinomycetaceae_Polycladomyces            -          LKAP-TSAKG2_E09_071_2018_2 -               28     851      21     830       8     835    1485    +    2.5e-173  576.4  21.7  -
Rhodospirillaceae_Azospirillum                   -          LKAP-TSAKG2_E09_071_2018_2 -               21     746      21     811      10     831    1433    +    2.5e-173  576.6  22.6  -
Micrococcales_Luteimicrobium                     -          LKAP-TSAKG2_E09_071_2018_2 -               29     784      22     807      13     829    1475    +    2.6e-173  576.4  22.6  -
Carnobacteriaceae_Dolosigranulum                 -          LKAP-TSAKG2_E09_071_2018_2 -               36     853      15     834       7     835    1523    +      3e-173  576.1  20.8  -
Pseudonocardiaceae_Prauserella                   -          LKAP-TSAKG2_E09_071_2018_2 -               48     810      22     811      11     832    1484    +      3e-173  576.0  22.7  -
Nocardiaceae_Nocardia                            -          LKAP-TSAKG2_E09_071_2018_2 -               29     784      22     814      11     833    1474    +    3.1e-173  576.1  22.7  -
Phyllobacteriaceae_Chelativorans                 -          LKAP-TSAKG2_E09_071_2018_2 -               36     764      21     812      11     833    1409    +    3.3e-173  576.3  22.6  -
Pseudonocardiaceae_Actinokineospora              -          LKAP-TSAKG2_E09_071_2018_2 -               30     782      22     808      12     828    1474    +    3.4e-173  576.0  22.8  -
Deferribacteraceae_Deferribacter                 -          LKAP-TSAKG2_E09_071_2018_2 -               38     856      22     834      12     835    1542    +    3.4e-173  575.8  21.5  -
Halomonadaceae_Halomonas                         -          LKAP-TSAKG2_E09_071_2018_2 -               29     823      22     823       9     835    1463    +    4.3e-173  575.5  22.1  -
Thermomonosporaceae_Actinomadura                 -          LKAP-TSAKG2_E09_071_2018_2 -               29     787      22     814      10     834    1467    +      5e-173  575.3  22.3  -
Micrococcaceae_Micrococcus                       -          LKAP-TSAKG2_E09_071_2018_2 -               32     791      21     810      10     831    1457    +      7e-173  574.8  22.4  -
Calditrichaeota_Caldithrix                       -          LKAP-TSAKG2_E09_071_2018_2 -               36     852      22     834      12     835    1504    +    7.1e-173  574.9  21.9  -
Gammaproteobacteria_Thiohalomonas                -          LKAP-TSAKG2_E09_071_2018_2 -               22     822      22     826      11     835    1483    +    7.4e-173  574.5  22.5  -
Cellulomonadaceae_Actinotalea                    -          LKAP-TSAKG2_E09_071_2018_2 -               41     800      22     808      12     829    1476    +    8.3e-173  574.9  22.5  -
Nocardiaceae_Gordonia                            -          LKAP-TSAKG2_E09_071_2018_2 -               34     788      22     806      12     826    1482    +    8.4e-173  574.5  22.5  -
Lachnospiraceae_Hespellia                        -          LKAP-TSAKG2_E09_071_2018_2 -               20     817      22     834      12     835    1470    +    8.8e-173  574.5  21.5  -
Microbacteriaceae_Agrococcus                     -          LKAP-TSAKG2_E09_071_2018_2 -               40     795      22     805      10     823    1468    +    8.9e-173  574.6  22.8  -
Kineosporiaceae_Kineococcus                      -          LKAP-TSAKG2_E09_071_2018_2 -               37     791      22     808      12     832    1442    +    1.1e-172  574.3  22.2  -
Pseudonocardiaceae_Alloactinosynnema             -          LKAP-TSAKG2_E09_071_2018_2 -                8     771      13     809      10     830    1442    +    1.2e-172  574.3  22.9  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          LKAP-TSAKG2_E09_071_2018_2 -               28     814      21     810       8     831    1472    +    1.2e-172  573.9  22.6  -
Promicromonosporaceae_Isoptericola               -          LKAP-TSAKG2_E09_071_2018_2 -               29     784      22     807      10     829    1472    +    1.2e-172  574.1  22.1  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_E09_071_2018_2 -               21     817      22     834      11     835    1446    +    1.4e-172  573.9  22.0  -
Cellulomonadaceae_Cellulomonas                   -          LKAP-TSAKG2_E09_071_2018_2 -               28     786      21     808      11     832    1443    +    1.7e-172  573.7  22.7  -
Microbacteriaceae_Mycetocola                     -          LKAP-TSAKG2_E09_071_2018_2 -               28     788      21     809       9     829    1438    +    1.9e-172  573.3  22.2  -
Geodermatophilaceae_Blastococcus                 -          LKAP-TSAKG2_E09_071_2018_2 -               36     792      22     809      10     833    1444    +    2.1e-172  573.3  22.8  -
Rhizobiaceae_Allorhizobium                       -          LKAP-TSAKG2_E09_071_2018_2 -               49     772      22     810      12     829    1446    +    2.3e-172  573.3  23.0  -
Myxococcaceae_Corallococcus                      -          LKAP-TSAKG2_E09_071_2018_2 -               33     860      14     835      10     835    1519    +    2.5e-172  573.0  21.8  -
Caulobacteraceae_Phenylobacterium                -          LKAP-TSAKG2_E09_071_2018_2 -               39     757      22     805      12     814    1433    +    2.6e-172  573.0  22.6  -
Thermoactinomycetaceae_Baia                      -          LKAP-TSAKG2_E09_071_2018_2 -               41     818      16     833       7     835    1499    +      3e-172  572.6  21.8  -
Promicromonosporaceae_Cellulosimicrobium         -          LKAP-TSAKG2_E09_071_2018_2 -               29     783      22     807      10     828    1465    +      3e-172  572.9  22.2  -
Rhodospirillaceae_Skermanella                    -          LKAP-TSAKG2_E09_071_2018_2 -               28     761      21     817       8     835    1409    +    3.2e-172  573.0  22.3  -
Rhizobiaceae_Rhizobium                           -          LKAP-TSAKG2_E09_071_2018_2 -               29     750      22     808       8     828    1417    +    3.3e-172  572.8  22.8  -
Promicromonosporaceae_Promicromonospora          -          LKAP-TSAKG2_E09_071_2018_2 -               25     808      22     834      11     835    1455    +    3.4e-172  572.7  22.3  -
Frankiaceae_Frankia                              -          LKAP-TSAKG2_E09_071_2018_2 -               56     830      22     834      12     835    1510    +    3.8e-172  572.7  23.1  -
Hyphomonadaceae_Algimonas                        -          LKAP-TSAKG2_E09_071_2018_2 -                1     733      22     805      22     815    1351    +    4.7e-172  572.4  22.8  -
Rhodobacteraceae_Rhodovulum                      -          LKAP-TSAKG2_E09_071_2018_2 -               15     736      21     805      11     825    1378    +    4.8e-172  572.3  22.8  -
Methylococcaceae_Methylococcus                   -          LKAP-TSAKG2_E09_071_2018_2 -               41     841      22     835      12     835    1482    +    4.9e-172  572.0  22.5  -
Microbacteriaceae_Gulosibacter                   -          LKAP-TSAKG2_E09_071_2018_2 -               41     802      22     806      12     826    1430    +    4.9e-172  572.1  22.4  -
Thermoactinomycetaceae_Croceifilum               -          LKAP-TSAKG2_E09_071_2018_2 -               21     798      16     833       7     835    1428    +    8.1e-172  571.3  21.8  -
Micrococcaceae_Nesterenkonia                     -          LKAP-TSAKG2_E09_071_2018_2 -               49     811      22     811      11     831    1488    +    8.3e-172  571.3  22.2  -
Sphingomonadaceae_Sphingoaurantiacus             -          LKAP-TSAKG2_E09_071_2018_2 -               18     779      13     835       6     835    1429    +    8.8e-172  571.6  21.9  -
Aurantimonadaceae_Aureimonas                     -          LKAP-TSAKG2_E09_071_2018_2 -               37     766      22     816      11     835    1433    +      9e-172  571.4  23.0  -
Beijerinckiaceae_Beijerinckia                    -          LKAP-TSAKG2_E09_071_2018_2 -               42     787      22     831      13     835    1432    +    9.7e-172  571.2  23.1  -
Salinisphaeraceae_Salinisphaera                  -          LKAP-TSAKG2_E09_071_2018_2 -               17     818      22     832      12     835    1429    +    9.7e-172  571.2  21.9  -
Rhodospirillaceae_Tistrella                      -          LKAP-TSAKG2_E09_071_2018_2 -               42     792      15     813      10     834    1495    +    1.1e-171  571.5  22.3  -
Microbacteriaceae_Lysinimonas                    -          LKAP-TSAKG2_E09_071_2018_2 -               85     841      22     806      12     826    1484    +    1.4e-171  570.6  23.0  -
Thermoanaerobacterales_Caldicellulosiruptor      -          LKAP-TSAKG2_E09_071_2018_2 -               46     833      22     812      11     833    1517    +    1.5e-171  570.4  22.6  -
Lysobacteraceae_Thermomonas                      -          LKAP-TSAKG2_E09_071_2018_2 -               29     810      22     809      13     824    1488    +    1.5e-171  570.5  22.8  -
Cellvibrionaceae_Simiduia                        -          LKAP-TSAKG2_E09_071_2018_2 -               29     809      22     810      12     830    1463    +    1.9e-171  570.1  22.3  -
Pseudonocardiaceae_Lechevalieria                 -          LKAP-TSAKG2_E09_071_2018_2 -               33     813      22     835      11     835    1472    +    2.3e-171  570.0  22.2  -
Syntrophaceae_Syntrophus                         -          LKAP-TSAKG2_E09_071_2018_2 -               40     870      15     835      10     835    1560    +    2.4e-171  569.6  21.3  -
Halobacteroidaceae_Halanaerobacter               -          LKAP-TSAKG2_E09_071_2018_2 -               48     836      22     834      13     835    1437    +    2.5e-171  569.7  22.5  -
Microbacteriaceae_Gryllotalpicola                -          LKAP-TSAKG2_E09_071_2018_2 -               40     801      22     806      12     825    1431    +    2.7e-171  569.7  22.6  -
Micrococcaceae_Paenarthrobacter                  -          LKAP-TSAKG2_E09_071_2018_2 -               42     800      22     811      12     831    1484    +    3.4e-171  569.2  22.6  -
Bradyrhizobiaceae_Rhodopseudomonas               -          LKAP-TSAKG2_E09_071_2018_2 -               53     779      58     834      34     835    1464    +    3.8e-171  569.1  22.2  -
Chromatiaceae_Halochromatium                     -          LKAP-TSAKG2_E09_071_2018_2 -               20     789      15     801      10     822    1451    +      4e-171  569.3  22.6  -
Methylococcaceae_Methylomicrobium                -          LKAP-TSAKG2_E09_071_2018_2 -               49     818      22     806      12     829    1467    +    4.1e-171  568.9  22.5  -
Micrococcaceae_Rothia                            -          LKAP-TSAKG2_E09_071_2018_2 -               29     794      22     812      11     832    1448    +    4.1e-171  569.1  22.3  -
Erythrobacteraceae_Altererythrobacter            -          LKAP-TSAKG2_E09_071_2018_2 -               35     785      21     834      10     835    1439    +    4.2e-171  569.3  22.2  -
Caulobacteraceae_Caulobacter                     -          LKAP-TSAKG2_E09_071_2018_2 -               29     749      22     805      11     818    1426    +    4.3e-171  569.1  22.7  -
Alcanivoracaceae_Pseudohongiella                 -          LKAP-TSAKG2_E09_071_2018_2 -               29     834      22     835       9     835    1461    +    4.4e-171  568.9  21.6  -
Micromonosporaceae_Actinoplanes                  -          LKAP-TSAKG2_E09_071_2018_2 -               29     809      22     834      11     835    1474    +    4.5e-171  569.0  22.6  -
Spongiibacteraceae_Zhongshania                   -          LKAP-TSAKG2_E09_071_2018_2 -               48     850      21     835      11     835    1501    +      5e-171  568.6  22.0  -
Rhodobacteraceae_Loktanella                      -          LKAP-TSAKG2_E09_071_2018_2 -               29     766      22     823      11     834    1385    +    5.4e-171  568.9  22.6  -
Pseudonocardiaceae_Pseudonocardia                -          LKAP-TSAKG2_E09_071_2018_2 -               37     795      22     810      11     832    1475    +    5.7e-171  568.6  22.5  -
Oceanospirillaceae_Amphritea                     -          LKAP-TSAKG2_E09_071_2018_2 -               29     834      22     835      13     835    1463    +      6e-171  568.4  22.0  -
Clostridiales_Helcococcus                        -          LKAP-TSAKG2_E09_071_2018_2 -              102     814      63     809      43     830    1458    +    6.6e-171  568.3  22.8  -
Polyangiaceae_Polyangium                         -          LKAP-TSAKG2_E09_071_2018_2 -               48     861      22     831      12     835    1549    +    6.8e-171  568.3  22.6  -
Micrococcaceae_Enteractinococcus                 -          LKAP-TSAKG2_E09_071_2018_2 -               45     823      13     808       6     828    1542    +    7.4e-171  568.1  22.2  -
Rhodobacteraceae_Jannaschia                      -          LKAP-TSAKG2_E09_071_2018_2 -               29     756      22     814      12     832    1396    +    7.9e-171  568.3  22.6  -
Geodermatophilaceae_Modestobacter                -          LKAP-TSAKG2_E09_071_2018_2 -               50     809      22     810      12     832    1469    +    7.9e-171  568.0  23.2  -
Atopobacteriaceae_Atopobium                      -          LKAP-TSAKG2_E09_071_2018_2 -               33     816      22     835      11     835    1424    +    8.3e-171  568.1  21.4  -
Rhodobacteraceae_Oceanicola                      -          LKAP-TSAKG2_E09_071_2018_2 -               46     773      22     812      13     829    1421    +      9e-171  568.0  22.9  -
Micrococcaceae_Sinomonas                         -          LKAP-TSAKG2_E09_071_2018_2 -               48     820      22     819      12     835    1489    +    9.1e-171  567.8  22.3  -
Kineosporiaceae_Kineosporia                      -          LKAP-TSAKG2_E09_071_2018_2 -               46     798      22     808      11     829    1475    +    9.7e-171  567.8  22.7  -
Syntrophobacteraceae_Desulfacinum                -          LKAP-TSAKG2_E09_071_2018_2 -               24     831      22     828      12     835    1461    +    1.2e-170  567.6  22.6  -
Clostridiaceae_Butyricicoccus                    -          LKAP-TSAKG2_E09_071_2018_2 -               48     848      22     833      11     835    1482    +    1.2e-170  567.5  21.3  -
Mycobacteriaceae_Mycobacterium                   -          LKAP-TSAKG2_E09_071_2018_2 -               32     799      22     823      12     834    1469    +    1.3e-170  567.3  22.3  -
Thermoactinomycetaceae_Seinonella                -          LKAP-TSAKG2_E09_071_2018_2 -               28     838      21     833       8     835    1501    +    1.3e-170  567.3  21.7  -
Idiomarinaceae_Idiomarina                        -          LKAP-TSAKG2_E09_071_2018_2 -               34     812      22     806      11     818    1471    +    1.6e-170  566.8  22.2  -
Tsukamurellaceae_Tsukamurella                    -          LKAP-TSAKG2_E09_071_2018_2 -               48     805      22     814      11     831    1495    +    1.6e-170  567.1  22.6  -
Microbacteriaceae_Leucobacter                    -          LKAP-TSAKG2_E09_071_2018_2 -               37     796      21     807       9     824    1478    +      2e-170  566.8  22.5  -
Demequinaceae_Demequina                          -          LKAP-TSAKG2_E09_071_2018_2 -               29     789      22     809      11     829    1446    +      2e-170  566.8  22.5  -
Hyphomonadaceae_Hyphomonas                       -          LKAP-TSAKG2_E09_071_2018_2 -               49     762      22     808      13     829    1355    +    2.1e-170  567.0  22.9  -
Selenomonadaceae_Megamonas                       -          LKAP-TSAKG2_E09_071_2018_2 -               34     805      62     825      42     834    1475    +    2.3e-170  566.5  22.8  -
Cystobacteraceae_Melittangium                    -          LKAP-TSAKG2_E09_071_2018_2 -               36     862      14     834      10     835    1522    +    2.4e-170  566.4  22.0  -
Rhodocyclaceae_Propionivibrio                    -          LKAP-TSAKG2_E09_071_2018_2 -               32     841      18     835      11     835    1496    +    2.9e-170  566.4  21.8  -
Hyphomonadaceae_Henriciella                      -          LKAP-TSAKG2_E09_071_2018_2 -               31     744      22     808      10     825    1390    +      3e-170  566.5  22.9  -
Cryptosporangiaceae_Cryptosporangium             -          LKAP-TSAKG2_E09_071_2018_2 -               29     778      22     806      12     828    1470    +    3.3e-170  566.1  23.0  -
Sphingomonadaceae_Novosphingobium                -          LKAP-TSAKG2_E09_071_2018_2 -               29     768      13     811       9     834    1443    +    3.5e-170  566.1  22.3  -
Pseudonocardiaceae_Allokutzneria                 -          LKAP-TSAKG2_E09_071_2018_2 -               39     820      22     834      12     835    1490    +    4.7e-170  565.7  22.9  -
Catenulisporaceae_Catenulispora                  -          LKAP-TSAKG2_E09_071_2018_2 -               29     782      22     808      13     829    1460    +    5.1e-170  565.4  22.2  -
Desulfobacteraceae_Desulfonatronobacter          -          LKAP-TSAKG2_E09_071_2018_2 -               34     860      22     834      12     835    1508    +    5.7e-170  565.1  22.0  -
Spirochaetaceae_Sphaerochaeta                    -          LKAP-TSAKG2_E09_071_2018_2 -               49     848      22     827      16     835    1529    +    5.8e-170  565.3  22.6  -
Pseudonocardiaceae_Actinosynnema                 -          LKAP-TSAKG2_E09_071_2018_2 -               48     828      22     835      13     835    1505    +      6e-170  565.2  22.2  -
Cystobacteraceae_Vitiosangium                    -          LKAP-TSAKG2_E09_071_2018_2 -               38     861      15     834      10     835    1528    +      6e-170  565.1  21.8  -
Desulfobacteraceae_Desulfatibacillum             -          LKAP-TSAKG2_E09_071_2018_2 -               49     874      22     835      12     835    1525    +    6.3e-170  565.0  22.5  -
Myxococcaceae_Myxococcus                         -          LKAP-TSAKG2_E09_071_2018_2 -               20     846      15     835      10     835    1493    +    6.6e-170  564.9  21.7  -
Micromonosporaceae_Verrucosispora                -          LKAP-TSAKG2_E09_071_2018_2 -               29     810      22     835      10     835    1459    +    7.1e-170  565.0  22.6  -
