# target name                                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     927       2     933    1466    +           0 1057.0  17.5  -
Vibrionaceae_Photobacterium                      -          B0306_LKAP-FHGF1_A06_048 -               23     950       5     927       2     933    1487    +    1.1e-304 1011.8  17.4  -
Kordiimonadaceae_Kordiimonas                     -          B0306_LKAP-FHGF1_A06_048 -               24     890       6     924       1     933    1421    +    1.2e-192  640.8  17.1  -
Rhodospirillaceae_Skermanella                    -          B0306_LKAP-FHGF1_A06_048 -               24     880       6     924       2     932    1409    +    1.5e-192  640.5  16.4  -
Burkholderiales_Inhella                          -          B0306_LKAP-FHGF1_A06_048 -               31     939       5     927       2     933    1472    +    1.5e-192  640.3  17.5  -
Burkholderiaceae_Polynucleobacter                -          B0306_LKAP-FHGF1_A06_048 -                9     920       5     927       3     933    1492    +    1.6e-192  640.3  16.5  -
Pasteurellaceae_Basfia                           -          B0306_LKAP-FHGF1_A06_048 -               24     941       6     928       2     934    1365    +    2.2e-192  639.6  17.4  -
Burkholderiaceae_Limnobacter                     -          B0306_LKAP-FHGF1_A06_048 -               43     953       5     927       2     933    1524    +    2.5e-192  639.5  16.8  -
Comamonadaceae_Giesbergeria                      -          B0306_LKAP-FHGF1_A06_048 -               34     942       5     927       2     933    1484    +    2.5e-192  639.3  17.1  -
Phyllobacteriaceae_Chelativorans                 -          B0306_LKAP-FHGF1_A06_048 -               32     887       6     924       2     933    1409    +    2.6e-192  639.8  16.8  -
Coxiellaceae_Aquicella                           -          B0306_LKAP-FHGF1_A06_048 -               14     928       6     927       1     933    1482    +    2.7e-192  639.4  17.1  -
Rhodospirillaceae_Thalassospira                  -          B0306_LKAP-FHGF1_A06_048 -               44     907       6     924       2     933    1457    +    2.8e-192  639.1  16.5  -
Peptococcaceae_Desulfotomaculum                  -          B0306_LKAP-FHGF1_A06_048 -               37     940       6     924       2     933    1493    +    2.8e-192  639.2  17.9  -
Halomonadaceae_Zymobacter                        -          B0306_LKAP-FHGF1_A06_048 -               20     935       6     928       2     934    1509    +    4.4e-192  638.4  17.2  -
Comamonadaceae_Limnohabitans                     -          B0306_LKAP-FHGF1_A06_048 -               14     924       5     927       2     933    1500    +    5.2e-192  638.2  17.3  -
Sphingomonadaceae_Sphingomicrobium               -          B0306_LKAP-FHGF1_A06_048 -               28     884       6     924       2     933    1443    +    5.9e-192  638.6  15.6  -
Rhodobacteraceae_Rhodovulum                      -          B0306_LKAP-FHGF1_A06_048 -               11     866       6     924       2     932    1378    +    8.2e-192  638.0  16.2  -
Deltaproteobacteria_Deferrisoma                  -          B0306_LKAP-FHGF1_A06_048 -               16     884      53     927      43     933    1322    +    8.3e-192  637.9  16.5  -
Desulfobacteraceae_Desulfonema                   -          B0306_LKAP-FHGF1_A06_048 -               28     960       6     925       2     933    1506    +    8.7e-192  637.7  16.9  -
Sphingomonadaceae_Sphingopyxis                   -          B0306_LKAP-FHGF1_A06_048 -               33     889       6     924       2     933    1436    +    1.2e-191  637.5  15.7  -
Chromobacteriaceae_Jeongeupia                    -          B0306_LKAP-FHGF1_A06_048 -               23     933       5     927       2     933    1490    +    1.3e-191  637.4  16.8  -
Sphingomonadaceae_Blastomonas                    -          B0306_LKAP-FHGF1_A06_048 -               40     897       5     924       2     933    1448    +    1.7e-191  636.9  15.5  -
Kiloniellaceae_Kiloniella                        -          B0306_LKAP-FHGF1_A06_048 -               43     908       6     924       2     933    1450    +    1.8e-191  636.6  16.9  -
Rhizobiaceae_Ensifer                             -          B0306_LKAP-FHGF1_A06_048 -               24     877       6     924       2     933    1437    +      4e-191  635.8  16.7  -
Sphingomonadaceae_Sphingosinicella               -          B0306_LKAP-FHGF1_A06_048 -               24     880       6     924       2     933    1409    +    5.8e-191  635.4  15.9  -
Syntrophomonadaceae_Syntrophomonas               -          B0306_LKAP-FHGF1_A06_048 -               41     979       6     927       2     933    1529    +      6e-191  634.8  17.1  -
Orbaceae_Gilliamella                             -          B0306_LKAP-FHGF1_A06_048 -               51     964       6     928       2     934    1538    +    6.9e-191  634.5  17.2  -
Comamonadaceae_Malikia                           -          B0306_LKAP-FHGF1_A06_048 -               43     951       5     927       2     933    1526    +    7.1e-191  634.5  17.0  -
Comamonadaceae_Roseateles                        -          B0306_LKAP-FHGF1_A06_048 -                5     903      14     927      11     933    1396    +    7.1e-191  634.7  18.2  -
Oceanospirillales_Spongiispira                   -          B0306_LKAP-FHGF1_A06_048 -               30     943       6     926       2     933    1486    +    7.8e-191  634.2  17.3  -
Bdellovibrionaceae_Bdellovibrio                  -          B0306_LKAP-FHGF1_A06_048 -               20     909       6     927       2     933    1432    +      9e-191  634.3  16.1  -
Phyllobacteriaceae_Phyllobacterium               -          B0306_LKAP-FHGF1_A06_048 -               18     871       6     924       2     933    1418    +    1.2e-190  633.8  16.6  -
Methylocystaceae_Methylopila                     -          B0306_LKAP-FHGF1_A06_048 -               44     897       6     924       2     933    1425    +    1.8e-190  633.5  17.2  -
Desulfobacteraceae_Desulfofaba                   -          B0306_LKAP-FHGF1_A06_048 -               37     969       6     925       2     933    1512    +    2.1e-190  633.1  16.8  -
Comamonadaceae_Xenophilus                        -          B0306_LKAP-FHGF1_A06_048 -               13     921       5     927       2     933    1430    +    2.4e-190  632.7  17.2  -
Rhodobacteraceae_Pseudovibrio                    -          B0306_LKAP-FHGF1_A06_048 -               44     899       6     924       2     933    1446    +    3.2e-190  632.8  16.1  -
Ruminococcaceae_Ruminococcus                     -          B0306_LKAP-FHGF1_A06_048 -               12     913       6     924       2     930    1394    +    3.3e-190  632.4  17.5  -
Geobacteraceae_Geoalkalibacter                   -          B0306_LKAP-FHGF1_A06_048 -               44     975       6     925       2     933    1556    +    4.1e-190  631.9  17.3  -
Rhizobiaceae_Allorhizobium                       -          B0306_LKAP-FHGF1_A06_048 -               44     897       6     924       2     933    1446    +    4.2e-190  632.3  16.7  -
Comamonadaceae_Simplicispira                     -          B0306_LKAP-FHGF1_A06_048 -               43     951       5     927       2     933    1512    +    4.3e-190  631.8  17.2  -
Rhodobiaceae_Rhodobium                           -          B0306_LKAP-FHGF1_A06_048 -               34     887       6     924       2     933    1421    +    4.7e-190  632.2  16.2  -
Oceanospirillaceae_Oceanobacter                  -          B0306_LKAP-FHGF1_A06_048 -               24     931       6     926       2     934    1452    +    6.2e-190  631.3  16.8  -
Alteromonadaceae_Lacimicrobium                   -          B0306_LKAP-FHGF1_A06_048 -               44     958       6     928       2     934    1499    +    6.2e-190  631.4  17.1  -
Desulfobulbaceae_Desulfotalea                    -          B0306_LKAP-FHGF1_A06_048 -               38     955       6     925       2     933    1486    +    6.5e-190  631.4  17.1  -
Oceanospirillales_Salinispirillum                -          B0306_LKAP-FHGF1_A06_048 -                2     912       7     927       6     934    1417    +    9.5e-190  630.6  16.9  -
Sphingomonadaceae_Sphingorhabdus                 -          B0306_LKAP-FHGF1_A06_048 -               24     881       6     925       2     933    1420    +      1e-189  631.0  15.5  -
Hyphomicrobiaceae_Hyphomicrobium                 -          B0306_LKAP-FHGF1_A06_048 -               21     875       6     925       2     933    1423    +      1e-189  630.9  16.9  -
Rhodobacteraceae_Labrenzia                       -          B0306_LKAP-FHGF1_A06_048 -               44     899       6     924       2     933    1447    +      1e-189  631.0  16.6  -
Acetobacteraceae_Roseomonas                      -          B0306_LKAP-FHGF1_A06_048 -               31     887       6     924       2     932    1438    +    1.3e-189  630.8  17.4  -
Pasteurellaceae_Bibersteinia                     -          B0306_LKAP-FHGF1_A06_048 -               24     939       6     928       2     934    1362    +    1.6e-189  630.1  17.4  -
Syntrophobacteraceae_Syntrophobacter             -          B0306_LKAP-FHGF1_A06_048 -               24     955       6     925       2     933    1504    +    2.9e-189  629.6  17.4  -
Beijerinckiaceae_Beijerinckia                    -          B0306_LKAP-FHGF1_A06_048 -               37     892       6     924       2     933    1432    +    2.9e-189  629.4  16.8  -
Desulfomicrobiaceae_Desulfomicrobium             -          B0306_LKAP-FHGF1_A06_048 -               34     955       6     927       2     933    1502    +    3.1e-189  629.2  17.0  -
Haliangiaceae_Haliangium                         -          B0306_LKAP-FHGF1_A06_048 -               40     968       6     925       2     933    1507    +    4.6e-189  628.8  17.5  -
Rhodospirillaceae_Fodinicurvata                  -          B0306_LKAP-FHGF1_A06_048 -               39     865      53     924      32     933    1390    +    4.9e-189  628.8  17.2  -
Xanthobacteraceae_Xanthobacter                   -          B0306_LKAP-FHGF1_A06_048 -               17     871       6     924       2     933    1413    +    5.1e-189  628.7  16.6  -
Phyllobacteriaceae_Aquamicrobium                 -          B0306_LKAP-FHGF1_A06_048 -               24     877       6     924       2     933    1407    +      6e-189  628.6  16.6  -
Burkholderiales_Sphaerotilus                     -          B0306_LKAP-FHGF1_A06_048 -               10     916       5     927       3     933    1407    +    7.4e-189  628.1  17.1  -
Rhodospirillaceae_Nisaea                         -          B0306_LKAP-FHGF1_A06_048 -               45     911       6     924       2     933    1385    +    9.7e-189  627.6  17.1  -
Rhodobacteraceae_Paracoccus                      -          B0306_LKAP-FHGF1_A06_048 -               26     882       5     924       2     932    1403    +      1e-188  627.8  16.4  -
Brucellaceae_Mycoplana                           -          B0306_LKAP-FHGF1_A06_048 -               25     878       6     924       2     933    1438    +      1e-188  627.7  16.8  -
Rhizobiales_Amorphus                             -          B0306_LKAP-FHGF1_A06_048 -               18     878       3     924       1     933    1427    +    2.7e-188  626.4  16.5  -
Rhizobiaceae_Shinella                            -          B0306_LKAP-FHGF1_A06_048 -               30     883       6     924       2     933    1418    +    3.7e-188  626.0  16.9  -
Selenomonadaceae_Selenomonas                     -          B0306_LKAP-FHGF1_A06_048 -               45     979       6     925       2     933    1508    +    4.2e-188  625.4  17.4  -
Pasteurellaceae_Frederiksenia                    -          B0306_LKAP-FHGF1_A06_048 -               24     939       6     928       2     934    1362    +    4.9e-188  625.3  17.4  -
Phyllobacteriaceae_Nitratireductor               -          B0306_LKAP-FHGF1_A06_048 -               41     896       6     924       2     932    1426    +    7.6e-188  624.8  16.7  -
Phyllobacteriaceae_Mesorhizobium                 -          B0306_LKAP-FHGF1_A06_048 -               14     867       6     924       2     933    1403    +      1e-187  624.4  16.7  -
Caulobacteraceae_Phenylobacterium                -          B0306_LKAP-FHGF1_A06_048 -               34     887       6     924       2     933    1433    +    1.3e-187  623.9  16.1  -
Rhodospirillaceae_Insolitispirillum              -          B0306_LKAP-FHGF1_A06_048 -               55     879      54     924      25     933    1442    +    1.8e-187  623.5  16.0  -
Cellvibrionaceae_Marinagarivorans                -          B0306_LKAP-FHGF1_A06_048 -               51     957       6     926       2     933    1534    +    2.3e-187  622.7  16.9  -
Bradyrhizobiaceae_Rhodopseudomonas               -          B0306_LKAP-FHGF1_A06_048 -               55     882      52     925      26     933    1464    +    2.5e-187  622.9  16.4  -
Oceanospirillaceae_Oceaniserpentilla             -          B0306_LKAP-FHGF1_A06_048 -               47     960       6     926       2     933    1475    +    2.5e-187  622.6  17.3  -
Phyllobacteriaceae_Hoeflea                       -          B0306_LKAP-FHGF1_A06_048 -               24     877       6     924       2     933    1430    +    2.9e-187  623.0  16.8  -
Aurantimonadaceae_Aurantimonas                   -          B0306_LKAP-FHGF1_A06_048 -               34     889       6     924       2     933    1410    +    3.3e-187  622.7  16.1  -
Rhodobacteraceae_Rhodobacter                     -          B0306_LKAP-FHGF1_A06_048 -               23     879       5     924       1     933    1389    +    4.9e-187  622.1  16.2  -
Halieaceae_Marimicrobium                         -          B0306_LKAP-FHGF1_A06_048 -               32     940       6     928       2     934    1512    +    5.3e-187  621.7  17.1  -
Xanthobacteraceae_Pseudoxanthobacter             -          B0306_LKAP-FHGF1_A06_048 -               47     902       6     924       2     933    1456    +    6.5e-187  621.6  16.2  -
Burkholderiales_Rubrivivax                       -          B0306_LKAP-FHGF1_A06_048 -               43     950       5     925       2     933    1496    +    6.8e-187  621.5  17.5  -
Oceanospirillales_Alkalimarinus                  -          B0306_LKAP-FHGF1_A06_048 -               24     938       6     928       2     934    1464    +    7.6e-187  621.1  17.0  -
Pasteurellaceae_Muribacter                       -          B0306_LKAP-FHGF1_A06_048 -               24     933       6     928       2     934    1356    +    7.7e-187  621.2  17.4  -
Pasteurellaceae_Testudinibacter                  -          B0306_LKAP-FHGF1_A06_048 -               92    1006       6     928       2     934    1412    +    9.8e-187  620.8  17.4  -
Desulfobulbaceae_Desulforhopalus                 -          B0306_LKAP-FHGF1_A06_048 -               24     937       6     925       2     933    1498    +    1.4e-186  620.6  17.1  -
Pasteurellaceae_Nicoletella                      -          B0306_LKAP-FHGF1_A06_048 -               24     941       6     928       2     934    1365    +    1.4e-186  620.3  17.4  -
Brucellaceae_Brucella                            -          B0306_LKAP-FHGF1_A06_048 -               29     882       6     924       2     933    1412    +    1.5e-186  620.7  16.9  -
Rhodobacteraceae_Thioclava                       -          B0306_LKAP-FHGF1_A06_048 -               44     899       6     924       2     933    1433    +    1.5e-186  620.3  16.0  -
Rhodobacteraceae_Gemmobacter                     -          B0306_LKAP-FHGF1_A06_048 -               23     879       5     924       2     932    1399    +    1.6e-186  620.5  16.2  -
Pasteurellaceae_Chelonobacter                    -          B0306_LKAP-FHGF1_A06_048 -                1     908      12     928      12     934    1389    +    1.8e-186  620.1  17.8  -
Rhodobiaceae_Afifella                            -          B0306_LKAP-FHGF1_A06_048 -               23     879       5     924       2     933    1443    +    1.9e-186  620.1  16.6  -
Rhodobacteraceae_Albidovulum                     -          B0306_LKAP-FHGF1_A06_048 -               44     902       6     924       2     933    1443    +    2.1e-186  620.0  16.4  -
Methylobacteriaceae_Methylobacterium             -          B0306_LKAP-FHGF1_A06_048 -               21     879       5     924       2     933    1424    +    2.2e-186  619.9  17.3  -
Comamonadaceae_Pelomonas                         -          B0306_LKAP-FHGF1_A06_048 -               26     898      48     927      27     933    1390    +    2.3e-186  619.9  17.0  -
Pseudomonadaceae_Oblitimonas                     -          B0306_LKAP-FHGF1_A06_048 -               24     943       6     926       2     933    1469    +    2.4e-186  619.4  17.2  -
Methylocystaceae_Methylocystis                   -          B0306_LKAP-FHGF1_A06_048 -               35     890       6     924       2     933    1426    +    2.7e-186  619.6  16.4  -
Oceanospirillaceae_Bacterioplanoides             -          B0306_LKAP-FHGF1_A06_048 -               44     956       6     926       2     933    1500    +    2.8e-186  619.3  17.4  -
Halomonadaceae_Halotalea                         -          B0306_LKAP-FHGF1_A06_048 -               24     939       6     928       2     934    1491    +      3e-186  619.3  17.2  -
Rhodospirillaceae_Rhodospirillum                 -          B0306_LKAP-FHGF1_A06_048 -               44     899       6     924       2     933    1477    +    3.3e-186  619.2  16.9  -
Rhodospirillaceae_Novispirillum                  -          B0306_LKAP-FHGF1_A06_048 -               24     881       6     924       2     933    1442    +    3.8e-186  618.9  16.7  -
Saccharospirillaceae_Gynuella                    -          B0306_LKAP-FHGF1_A06_048 -               44     957       6     925       2     932    1503    +    4.7e-186  618.5  17.7  -
Rhodospirillaceae_Pararhodospirillum             -          B0306_LKAP-FHGF1_A06_048 -               23     858      41     924      19     933    1383    +    5.5e-186  618.5  16.8  -
Rhodospirillaceae_Rhodocista                     -          B0306_LKAP-FHGF1_A06_048 -               10     863       6     924       2     933    1373    +    6.5e-186  618.3  16.3  -
Pasteurellaceae_Vespertiliibacter                -          B0306_LKAP-FHGF1_A06_048 -               24     939       6     928       2     934    1462    +    6.8e-186  618.0  17.5  -
Hyphomicrobiaceae_Rhodoplanes                    -          B0306_LKAP-FHGF1_A06_048 -               44     901       6     924       2     933    1451    +    8.1e-186  618.1  17.6  -
Xanthobacteraceae_Labrys                         -          B0306_LKAP-FHGF1_A06_048 -               24     877       6     924       2     933    1409    +    8.6e-186  618.0  16.5  -
Methylocystaceae_Terasakiella                    -          B0306_LKAP-FHGF1_A06_048 -               44     909       6     924       2     932    1463    +    9.4e-186  617.7  17.2  -
Rhodobiaceae_Rhodoligotrophos                    -          B0306_LKAP-FHGF1_A06_048 -               44     909       6     924       2     933    1487    +    9.7e-186  617.8  17.6  -
Methylocystaceae_Hansschlegelia                  -          B0306_LKAP-FHGF1_A06_048 -               44     900       6     924       2     933    1450    +    1.1e-185  617.6  17.1  -
Rhizobiales_Bauldia                              -          B0306_LKAP-FHGF1_A06_048 -               34     903       6     924       2     932    1446    +    1.1e-185  617.7  17.3  -
Cellvibrionaceae_Teredinibacter                  -          B0306_LKAP-FHGF1_A06_048 -               24     928       6     926       2     933    1469    +    1.7e-185  616.5  17.4  -
Desulfovibrionaceae_Desulfocurvus                -          B0306_LKAP-FHGF1_A06_048 -               44     966       6     927       2     933    1532    +    1.8e-185  616.9  17.3  -
Hyphomicrobiaceae_Pedomicrobium                  -          B0306_LKAP-FHGF1_A06_048 -               35     891       6     925       2     933    1400    +    1.9e-185  616.9  16.9  -
Cellvibrionaceae_Saccharophagus                  -          B0306_LKAP-FHGF1_A06_048 -                7     913       6     926       3     933    1431    +    2.5e-185  616.1  17.2  -
Desulfobulbaceae_Desulfobulbus                   -          B0306_LKAP-FHGF1_A06_048 -               24     952       5     927       2     933    1456    +    2.7e-185  616.1  16.8  -
Pseudomonadaceae_Thiopseudomonas                 -          B0306_LKAP-FHGF1_A06_048 -               44     959       6     926       2     933    1505    +    2.9e-185  615.9  17.3  -
Hyphomicrobiaceae_Blastochloris                  -          B0306_LKAP-FHGF1_A06_048 -               24     879       6     924       1     933    1427    +    3.5e-185  615.9  17.8  -
Rhodospirillaceae_Tistrella                      -          B0306_LKAP-FHGF1_A06_048 -               46     915       6     924       2     933    1495    +    4.2e-185  616.1  16.8  -
Oleiphilaceae_Oleiphilus                         -          B0306_LKAP-FHGF1_A06_048 -               33     938       6     928       2     934    1437    +    5.3e-185  615.1  16.7  -
Litoricolaceae_Litoribrevibacter                 -          B0306_LKAP-FHGF1_A06_048 -               24     937       6     926       2     933    1465    +    5.4e-185  615.0  17.2  -
Granulosicoccaceae_Sulfuriflexus                 -          B0306_LKAP-FHGF1_A06_048 -               24     942       6     928       2     934    1464    +    5.7e-185  614.9  17.2  -
Desulfobacteraceae_Desulfosarcina                -          B0306_LKAP-FHGF1_A06_048 -               34     968       6     927       3     933    1515    +    5.9e-185  615.0  16.7  -
Rhodobacteraceae_Pannonibacter                   -          B0306_LKAP-FHGF1_A06_048 -               71     902      51     924      30     933    1483    +    6.6e-185  615.0  16.5  -
Halomonadaceae_Pistricoccus                      -          B0306_LKAP-FHGF1_A06_048 -               24     940       6     928       2     934    1463    +    6.9e-185  614.7  17.0  -
Chromatiaceae_Rhabdochromatium                   -          B0306_LKAP-FHGF1_A06_048 -               24     929       6     928       2     934    1452    +    7.6e-185  614.7  16.7  -
Halobacteriovoracaceae_Halobacteriovorax         -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     924       2     933    1480    +    8.6e-185  614.5  16.9  -
Desulfobulbaceae_Desulfopila                     -          B0306_LKAP-FHGF1_A06_048 -               45     961       6     925       3     933    1512    +    9.3e-185  614.3  16.9  -
Xanthobacteraceae_Azorhizobium                   -          B0306_LKAP-FHGF1_A06_048 -               33     886       6     924       2     933    1449    +    9.7e-185  614.6  16.6  -
Rubrobacteraceae_Rubrobacter                     -          B0306_LKAP-FHGF1_A06_048 -               26     944       8     927       3     933    1495    +    1.2e-184  614.1  17.7  -
Rhodobacteraceae_Pseudorhodobacter               -          B0306_LKAP-FHGF1_A06_048 -               41     896       6     924       2     933    1428    +    1.2e-184  614.2  16.3  -
Erythrobacteraceae_Croceicoccus                  -          B0306_LKAP-FHGF1_A06_048 -               76     900      55     924      34     933    1477    +    1.2e-184  614.2  15.1  -
Patulibacteraceae_Patulibacter                   -          B0306_LKAP-FHGF1_A06_048 -               44     948       6     925       2     933    1494    +    1.3e-184  613.7  17.5  -
Sphingomonadaceae_Rhizorhabdus                   -          B0306_LKAP-FHGF1_A06_048 -               44     900       6     924       2     933    1453    +    1.3e-184  614.1  15.9  -
Litoricolaceae_Litoribacillus                    -          B0306_LKAP-FHGF1_A06_048 -               53     966       6     926       2     933    1519    +    1.4e-184  613.5  17.2  -
Desulfobacteraceae_Desulfonatronobacter          -          B0306_LKAP-FHGF1_A06_048 -               29     963       6     925       2     933    1508    +    1.5e-184  613.6  17.2  -
Desulfohalobiaceae_Desulfothermus                -          B0306_LKAP-FHGF1_A06_048 -               20     951       6     927       2     933    1492    +    1.9e-184  613.5  17.5  -
Phyllobacteriaceae_Pseudaminobacter              -          B0306_LKAP-FHGF1_A06_048 -               24     877       6     924       2     933    1406    +      2e-184  613.6  16.7  -
Rhizobiaceae_Pararhizobium                       -          B0306_LKAP-FHGF1_A06_048 -               63     897      44     924      21     933    1477    +      2e-184  613.4  16.6  -
Syntrophaceae_Syntrophus                         -          B0306_LKAP-FHGF1_A06_048 -               44     974       6     927       2     933    1560    +    2.3e-184  612.9  16.8  -
Methylobacteriaceae_Microvirga                   -          B0306_LKAP-FHGF1_A06_048 -               32     887       6     924       2     933    1437    +      3e-184  612.9  16.4  -
Fusobacteriaceae_Ilyobacter                      -          B0306_LKAP-FHGF1_A06_048 -               44     930       6     925       3     933    1510    +    4.1e-184  612.5  17.9  -
Thioalkalispiraceae_Endothiovibrio               -          B0306_LKAP-FHGF1_A06_048 -               44     960       6     928       2     934    1530    +    4.9e-184  611.9  17.3  -
Methylococcaceae_Methylosphaera                  -          B0306_LKAP-FHGF1_A06_048 -               23     938       6     928       2     934    1451    +    6.9e-184  611.3  17.2  -
Ruminococcaceae_Acetivibrio                      -          B0306_LKAP-FHGF1_A06_048 -               38     952       6     924       2     931    1529    +    7.4e-184  611.3  16.9  -
Rhodospirillaceae_Reyranella                     -          B0306_LKAP-FHGF1_A06_048 -               29     887       6     925       2     933    1429    +    9.1e-184  611.2  16.3  -
Moraxellaceae_Fluviicoccus                       -          B0306_LKAP-FHGF1_A06_048 -                5     900       9     928       5     934    1405    +    9.6e-184  610.8  16.4  -
Rhodobacteraceae_Defluviimonas                   -          B0306_LKAP-FHGF1_A06_048 -               24     879       6     924       2     933    1389    +      1e-183  611.2  16.2  -
Spirillaceae_Spirillum                           -          B0306_LKAP-FHGF1_A06_048 -               39     959       5     927       2     933    1447    +    1.1e-183  611.1  17.1  -
Halomonadaceae_Modicisalibacter                  -          B0306_LKAP-FHGF1_A06_048 -               44     960       6     928       2     934    1531    +    1.1e-183  610.7  17.1  -
Hyphomonadaceae_Maricaulis                       -          B0306_LKAP-FHGF1_A06_048 -               24     879       6     924       2     933    1422    +    1.2e-183  611.0  16.3  -
Rhodospirillaceae_Ferrovibrio                    -          B0306_LKAP-FHGF1_A06_048 -               63     897      44     924      23     933    1447    +    1.3e-183  610.7  16.1  -
Pasteurellaceae_Mesocricetibacter                -          B0306_LKAP-FHGF1_A06_048 -               33     950       6     928       2     934    1339    +    1.5e-183  610.4  17.4  -
Rhodobacteraceae_Roseibium                       -          B0306_LKAP-FHGF1_A06_048 -               43     894       6     924       2     933    1397    +    1.5e-183  610.8  16.9  -
Orbaceae_Frischella                              -          B0306_LKAP-FHGF1_A06_048 -               51     960       6     928       2     934    1534    +    1.8e-183  609.9  16.8  -
Desulfonatronaceae_Desulfonatronum               -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     927       2     933    1495    +    1.8e-183  610.1  17.2  -
Bartonellaceae_Bartonella                        -          B0306_LKAP-FHGF1_A06_048 -               24     880       6     924       2     933    1410    +    2.4e-183  609.8  16.6  -
Rhodospirillaceae_Thalassobaculum                -          B0306_LKAP-FHGF1_A06_048 -               39     895       6     927       2     933    1384    +    2.6e-183  609.8  16.5  -
Rhodobacteraceae_Pseudooceanicola                -          B0306_LKAP-FHGF1_A06_048 -               44     899       6     924       2     933    1429    +    2.7e-183  609.6  15.6  -
Acetobacteraceae_Acidocella                      -          B0306_LKAP-FHGF1_A06_048 -               24     880       6     924       3     933    1407    +    2.8e-183  609.7  16.7  -
Rhodobacteraceae_Actibacterium                   -          B0306_LKAP-FHGF1_A06_048 -               30     883       6     924       2     933    1429    +    3.3e-183  609.5  15.7  -
Desulfobacteraceae_Desulfococcus                 -          B0306_LKAP-FHGF1_A06_048 -               91     976      55     925      33     933    1529    +      4e-183  608.8  16.4  -
Rhodanobacteraceae_Aquimonas                     -          B0306_LKAP-FHGF1_A06_048 -               15     927       6     928       2     935    1433    +    5.7e-183  608.5  17.8  -
Rhodobiaceae_Methyloligella                      -          B0306_LKAP-FHGF1_A06_048 -               44     897       6     924       2     932    1444    +      6e-183  608.6  16.9  -
Sphingomonadaceae_Sphingoaurantiacus             -          B0306_LKAP-FHGF1_A06_048 -               56     880      55     924      33     933    1429    +    6.4e-183  608.7  15.5  -
Lysobacteraceae_Rehaibacterium                   -          B0306_LKAP-FHGF1_A06_048 -               53     965       6     928       2     935    1548    +    7.7e-183  608.0  17.2  -
Rhodobacteraceae_Amaricoccus                     -          B0306_LKAP-FHGF1_A06_048 -               43     898       6     924       2     933    1428    +      9e-183  608.1  17.2  -
Rhizobiaceae_Agrobacterium                       -          B0306_LKAP-FHGF1_A06_048 -               49     877      50     924      25     933    1400    +    1.2e-182  607.7  16.4  -
Rhodobacteraceae_Ahrensia                        -          B0306_LKAP-FHGF1_A06_048 -               44     899       6     924       2     933    1474    +    1.2e-182  607.7  16.4  -
Cystobacteraceae_Cystobacter                     -          B0306_LKAP-FHGF1_A06_048 -               24     946       6     925       2     933    1491    +    1.3e-182  607.3  17.0  -
Rhodobacteraceae_Oceanicola                      -          B0306_LKAP-FHGF1_A06_048 -               41     896       6     924       2     933    1421    +    1.4e-182  607.3  16.0  -
Oceanospirillaceae_Terasakiispira                -          B0306_LKAP-FHGF1_A06_048 -               14     923       6     928       3     934    1436    +    1.4e-182  607.1  16.7  -
Rhodobiaceae_Parvibaculum                        -          B0306_LKAP-FHGF1_A06_048 -               60     887      51     924      23     933    1437    +    1.6e-182  607.2  15.7  -
Brucellaceae_Pseudochrobactrum                   -          B0306_LKAP-FHGF1_A06_048 -               20     875       6     924       2     933    1400    +    1.6e-182  607.2  16.6  -
Cellvibrionaceae_Marinibactrum                   -          B0306_LKAP-FHGF1_A06_048 -               24     930       6     926       2     933    1451    +    1.7e-182  606.8  17.0  -
Alteromonadaceae_Planctobacterium                -          B0306_LKAP-FHGF1_A06_048 -               44     953       6     928       2     934    1497    +      2e-182  606.5  16.5  -
Hyphomicrobiaceae_Rhodomicrobium                 -          B0306_LKAP-FHGF1_A06_048 -               67     895      51     924      29     932    1470    +    2.2e-182  606.5  16.1  -
Cohaesibacteraceae_Cohaesibacter                 -          B0306_LKAP-FHGF1_A06_048 -               67     898      45     924      17     933    1425    +    2.5e-182  606.5  15.9  -
Methylocystaceae_Methylosinus                    -          B0306_LKAP-FHGF1_A06_048 -               24     881       6     924       2     933    1410    +    2.7e-182  606.5  16.9  -
Rhodospirillaceae_Dongia                         -          B0306_LKAP-FHGF1_A06_048 -               31     897       6     924       2     933    1431    +    2.7e-182  606.6  17.5  -
Ectothiorhodospiraceae_Inmirania                 -          B0306_LKAP-FHGF1_A06_048 -               43     965       6     928       2     934    1513    +    2.8e-182  606.1  17.3  -
Cellvibrionaceae_Maricurvus                      -          B0306_LKAP-FHGF1_A06_048 -               43     956       6     926       2     933    1500    +    3.9e-182  605.4  17.2  -
Pasteurellaceae_Otariodibacter                   -          B0306_LKAP-FHGF1_A06_048 -                2     887      35     928      34     934    1410    +      4e-182  605.5  16.6  -
Acetobacteraceae_Gluconacetobacter               -          B0306_LKAP-FHGF1_A06_048 -               50     882      49     924      14     933    1418    +    4.7e-182  605.8  16.9  -
