# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          A1b_forward          -                2     895       5     900       4     900    1468    +           0 1065.9  19.6  -
Beutenbergiaceae          -          A1b_forward          -                3     884       3     900       2     900    1472    +    6.5e-182  602.3  19.3  -
Acidobacteriaceae         -          A1b_forward          -               25     882       5     900       2     900    1462    +    8.1e-182  602.0  19.5  -
Anaeroplasmataceae        -          A1b_forward          -               32     900       5     900       3     900    1453    +    1.1e-181  601.6  19.0  -
Cryptosporangiaceae       -          A1b_forward          -                3     877       3     900       2     900    1470    +    1.4e-181  601.2  19.4  -
Balneolaceae              -          A1b_forward          -                3     898       3     900       2     900    1459    +    4.3e-181  599.6  18.8  -
Veillonellaceae           -          A1b_forward          -                2     903      24     900      23     900    1450    +    4.9e-181  599.2  18.5  -
Thermotogaceae            -          A1b_forward          -               22     923       4     900       2     900    1545    +    8.1e-181  598.8  19.5  -
Caldilineaceae            -          A1b_forward          -               11     885       4     900       2     900    1434    +    8.5e-181  598.7  20.3  -
Spiroplasmataceae         -          A1b_forward          -               27     910       4     899       2     900    1516    +    9.3e-181  598.8  19.2  -
Solirubrobacteraceae      -          A1b_forward          -                3     892      19     900      17     900    1443    +    1.4e-180  597.9  17.9  -
Planctomycetaceae         -          A1b_forward          -               14     897       4     899       2     900    1486    +    1.4e-180  598.2  18.9  -
Jiangellaceae             -          A1b_forward          -                9     886       3     900       1     900    1497    +    1.7e-180  597.5  19.2  -
Nannocystaceae            -          A1b_forward          -               17     911       3     900       2     900    1487    +    2.1e-180  597.4  19.4  -
Chrysiogenaceae           -          A1b_forward          -               23     902       3     900       2     900    1513    +    3.2e-180  596.8  18.4  -
Frankiales                -          A1b_forward          -               10     887       3     900       2     900    1425    +    1.1e-179  595.1  20.2  -
Nocardiopsaceae           -          A1b_forward          -                3     893       3     900       1     900    1475    +    2.1e-179  594.1  19.1  -
Sphingobacteriaceae       -          A1b_forward          -                4     894       4     900       2     900    1450    +    3.7e-179  593.2  18.9  -
Ruaniaceae                -          A1b_forward          -               27     916       3     900       2     900    1531    +    5.3e-179  592.5  19.3  -
Dietziaceae               -          A1b_forward          -                1     869      10     900      10     900    1452    +    6.8e-179  592.4  20.0  -
Bacteroidales             -          A1b_forward          -               26     917       4     900       2     900    1485    +    8.8e-179  591.7  19.5  -
Segniliparaceae           -          A1b_forward          -                7     881       3     900       2     900    1462    +      1e-178  591.9  20.0  -
Anaerolineaceae           -          A1b_forward          -                4     880       4     900       2     900    1430    +    3.3e-178  590.6  20.3  -
Sporichthyaceae           -          A1b_forward          -                3     879       3     900       2     900    1472    +    4.2e-178  589.9  19.5  -
Stigonematales            -          A1b_forward          -               24     873       4     900       2     900    1450    +    7.7e-178  589.0  19.1  -
Acidaminococcaceae        -          A1b_forward          -               10     923       3     900       2     900    1504    +    7.8e-178  588.4  18.6  -
Opitutaceae               -          A1b_forward          -                4     922       4     900       2     900    1482    +    9.4e-178  588.5  18.8  -
Iamiaceae                 -          A1b_forward          -                3     888       3     900       1     900    1480    +    1.1e-177  588.6  19.3  -
Dermabacteraceae          -          A1b_forward          -               12     893       3     900       2     900    1470    +    1.3e-177  587.9  19.8  -
Bifidobacteriaceae        -          A1b_forward          -               18     901       4     900       2     900    1469    +    1.4e-177  588.0  19.6  -
Pyrinomonadaceae          -          A1b_forward          -               25     940       5     899       2     900    1526    +    1.7e-177  587.5  18.6  -
Phormidiaceae             -          A1b_forward          -               24     872       4     900       2     900    1483    +    2.2e-177  587.7  20.4  -
Petrotogaceae             -          A1b_forward          -               19     899       4     900       2     900    1488    +    6.3e-177  586.1  19.8  -
Conexibacteraceae         -          A1b_forward          -               23     929       3     900       2     900    1536    +    8.5e-177  585.1  18.9  -
Atopobacteriaceae         -          A1b_forward          -                8     885       4     900       2     900    1442    +    1.2e-176  585.1  19.7  -
Chlorobiaceae             -          A1b_forward          -               23     905       3     900       2     900    1455    +    1.3e-176  584.8  18.5  -
Rubritaleaceae            -          A1b_forward          -               10     904       3     899       2     900    1459    +    1.7e-176  584.3  18.9  -
Chroococcales             -          A1b_forward          -               16     865       4     900       2     900    1445    +    4.5e-176  582.8  18.8  -
Prevotellaceae            -          A1b_forward          -                5     905       4     900       2     900    1464    +    7.6e-176  582.0  19.2  -
Glycomycetaceae           -          A1b_forward          -               10     899       3     900       2     900    1495    +    1.4e-175  581.5  19.3  -
Betaproteobacteria        -          A1b_forward          -                2     878      20     900      19     900    1454    +    7.7e-175  578.8  18.3  -
Eggerthellaceae           -          A1b_forward          -               11     881       4     900       2     900    1449    +    8.8e-175  578.9  19.7  -
Thermodesulfobacteriaceae -          A1b_forward          -                3     913       3     900       2     900    1497    +    1.4e-174  578.2  19.0  -
Natranaerobiaceae         -          A1b_forward          -                7     878      28     900      21     900    1429    +    1.5e-174  577.9  18.2  -
Microscillaceae           -          A1b_forward          -                4     879       4     899       2     900    1461    +    1.6e-173  574.5  19.0  -
Mariprofundaceae          -          A1b_forward          -               23     919       3     900       1     900    1528    +    1.7e-173  574.2  18.6  -
Jonesiaceae               -          A1b_forward          -               22     921       3     900       1     900    1514    +    3.4e-173  573.6  19.3  -
Actinopolysporaceae       -          A1b_forward          -                4     899       3     900       1     900    1480    +    8.6e-173  572.1  19.3  -
Entomoplasmataceae        -          A1b_forward          -               11     898       4     899       2     900    1497    +    2.9e-172  570.6  19.0  -
Rarobacteraceae           -          A1b_forward          -                1     870      12     900      12     900    1464    +    4.9e-172  569.4  19.6  -
Leptotrichiaceae          -          A1b_forward          -               24     900       4     900       2     900    1492    +      7e-172  569.0  20.1  -
Fibrobacteraceae          -          A1b_forward          -                2     877       3     900       2     900    1412    +    1.8e-171  568.0  19.4  -
Kosmotogaceae             -          A1b_forward          -               12     901       4     900       2     900    1488    +    1.9e-171  568.0  19.3  -
Rubricoccaceae            -          A1b_forward          -                8     903       3     900       1     900    1452    +      2e-171  567.6  18.8  -
Nostocales                -          A1b_forward          -                4     849       4     900       2     900    1457    +    6.1e-171  566.1  19.0  -
Symbiobacteriaceae        -          A1b_forward          -                2     910       7     900       6     900    1468    +    7.3e-171  566.0  19.0  -
Defluviitaleaceae         -          A1b_forward          -                2     872       7     899       6     900    1413    +      3e-170  563.8  19.5  -
Dictyoglomaceae           -          A1b_forward          -               25     925       3     900       2     900    1541    +    3.3e-169  560.2  19.8  -
Streptosporangineae       -          A1b_forward          -                2     852      24     900      23     900    1443    +    5.2e-169  559.5  18.5  -
Rhodothalassiaceae        -          A1b_forward          -                1     841       6     900       6     900    1318    +    5.5e-169  559.6  19.2  -
Odoribacteraceae          -          A1b_forward          -               24     916       4     900       2     900    1486    +    7.6e-169  558.9  19.6  -
Oscillospiraceae          -          A1b_forward          -                3     895       3     900       1     900    1453    +    7.2e-168  555.5  19.5  -
Mesoaciditogaceae         -          A1b_forward          -               12     918       4     900       2     900    1522    +    1.8e-167  554.5  19.3  -
Fervidobacteriaceae       -          A1b_forward          -               12     926       4     896       2     900    1514    +    1.8e-167  554.5  19.7  -
Marinifilaceae            -          A1b_forward          -                4     897       4     900       2     900    1450    +    2.4e-167  554.0  18.6  -
Actinospicaceae           -          A1b_forward          -                2     857      25     900      24     900    1425    +    4.5e-167  553.1  19.3  -
Gemmatimonadaceae         -          A1b_forward          -               26     905       3     900       2     900    1525    +    6.7e-165  546.0  19.2  -
Deinococcaceae            -          A1b_forward          -                6     878       4     900       2     900    1455    +    3.1e-164  543.7  19.3  -
Blastocatellaceae         -          A1b_forward          -               25     902       5     899       3     900    1485    +    3.7e-162  536.7  19.3  -
Syntrophorhabdaceae       -          A1b_forward          -                3     917       3     900       1     900    1482    +    4.3e-162  536.6  18.7  -
Aquificaceae              -          A1b_forward          -                3     912       3     900       1     900    1485    +    5.8e-162  536.4  18.8  -
Rhodospirillales          -          A1b_forward          -                1     837      11     900      11     900    1413    +    4.5e-161  533.6  20.1  -
Kofleriaceae              -          A1b_forward          -               19     934       3     900       1     900    1498    +    7.1e-161  532.7  18.6  -
Emcibacteraceae           -          A1b_forward          -               23     877       3     900       1     900    1460    +    1.1e-160  532.2  19.1  -
Coriobacteriaceae         -          A1b_forward          -               17     884       4     900       2     900    1462    +    1.7e-160  531.9  19.5  -
Prochlorococcaceae        -          A1b_forward          -               11     854       4     900       2     900    1465    +    2.5e-160  530.8  19.2  -
Fervidobacteraceae        -          A1b_forward          -                5     868       4     900       2     900    1480    +    8.4e-160  529.3  21.1  -
Roseiarcaceae             -          A1b_forward          -               22     863       3     900       1     900    1399    +    2.8e-159  527.3  19.2  -
Iodidimonadaceae          -          A1b_forward          -               10     868       3     900       1     900    1437    +    5.2e-158  523.1  19.1  -
Micropepsaceae            -          A1b_forward          -               22     866       3     900       1     900    1455    +    2.3e-157  520.9  19.1  -
Hydrogenothermaceae       -          A1b_forward          -                3     873       3     899       2     900    1447    +    2.7e-157  521.0  19.3  -
Akkermansiaceae           -          A1b_forward          -                3     876       3     899       2     900    1441    +    2.8e-157  521.0  19.9  -
Magnetococcaceae          -          A1b_forward          -               23     883       3     900       1     900    1497    +    7.1e-157  519.4  19.5  -
Temperatibacteraceae      -          A1b_forward          -                3     825      35     900      33     900    1362    +    2.2e-156  517.7  18.3  -
Gaiellaceae               -          A1b_forward          -               23     927       3     900       1     900    1544    +    3.2e-155  513.7  18.5  -
Oligoflexaceae            -          A1b_forward          -                4     896       4     900       2     900    1458    +    4.8e-155  513.4  19.2  -
Anaeromyxobacteraceae     -          A1b_forward          -               23     936       3     900       1     900    1549    +    8.1e-155  512.6  19.5  -
Sphaerobacteraceae        -          A1b_forward          -               25     896       5     900       2     900    1531    +      1e-154  512.2  20.0  -
Bradymonadaceae           -          A1b_forward          -                3     894       3     900       1     900    1461    +      2e-154  511.0  18.7  -
Sandaracinaceae           -          A1b_forward          -                1     904      12     900      12     900    1506    +    2.6e-154  511.0  18.5  -
Chlamydiaceae             -          A1b_forward          -               25     936       2     900       1     900    1548    +      8e-154  509.1  18.1  -
Gemmataceae               -          A1b_forward          -               16     875       3     899       2     900    1427    +      1e-153  508.9  19.2  -
Labilitrichaceae          -          A1b_forward          -                3     916       3     900       1     900    1483    +    1.5e-153  508.2  18.4  -
Vulgatibacteraceae        -          A1b_forward          -                3     915       3     900       1     900    1479    +    1.1e-152  505.5  18.6  -
Hydrogenimonaceae         -          A1b_forward          -                4     895       4     899       2     900    1422    +    2.2e-152  504.5  18.5  -
Melioribacteraceae        -          A1b_forward          -               25     922       3     900       1     900    1539    +      2e-151  501.2  19.1  -
Acidothermaceae           -          A1b_forward          -               20     896       3     900       1     900    1509    +    3.5e-151  500.7  19.7  -
Pseudobacteriovoracaceae  -          A1b_forward          -                2     872      30     900      29     900    1466    +    4.5e-151  500.1  18.6  -
Thermomicrobiaceae        -          A1b_forward          -               29     856      70     900      50     900    1273    +    1.5e-150  499.1  19.2  -
Parachlamydiaceae         -          A1b_forward          -               16     919       3     899       1     900    1529    +    1.9e-150  498.2  18.6  -
Phaselicystidaceae        -          A1b_forward          -               22     931       3     900       1     900    1539    +    4.5e-150  496.9  18.5  -
Christensenellaceae       -          A1b_forward          -               12     908       3     900       1     900    1497    +    1.9e-149  494.7  19.0  -
Thermosporotrichaceae     -          A1b_forward          -                7     805      71     899      63     900    1317    +    1.6e-148  491.9  19.5  -
Egicoccaceae              -          A1b_forward          -               23     902       3     900       1     900    1512    +    2.1e-148  491.3  19.5  -
Ignavibacteriaceae        -          A1b_forward          -                3     897       3     900       1     900    1461    +    4.2e-148  490.3  18.8  -
Lentisphaeraceae          -          A1b_forward          -               15     886       4     900       2     900    1465    +    4.6e-148  490.4  19.2  -
Acidimicrobiales          -          A1b_forward          -                5     890       3     900       1     900    1483    +    2.9e-147  487.8  19.4  -
Thermogemmatisporaceae    -          A1b_forward          -                3     886       3     899       2     900    1443    +      1e-146  485.8  19.8  -
Nitriliruptoraceae        -          A1b_forward          -               12     891       3     900       1     900    1425    +    1.2e-146  485.4  19.4  -
Halanaerobiales           -          A1b_forward          -                7     934       3     900       1     900    1500    +    3.6e-146  483.8  19.0  -
Haloplasmataceae          -          A1b_forward          -                3     889       2     899       1     900    1345    +    4.9e-146  483.6  19.0  -
Chloroflexaceae           -          A1b_forward          -               23     878       3     900       2     900    1473    +    3.5e-145  481.0  18.7  -
Brachyspiraceae           -          A1b_forward          -               14     862      22     896      10     900    1441    +    1.4e-144  478.6  18.4  -
Gracilibacteraceae        -          A1b_forward          -              197    1014      67     900      44     900    1549    +      5e-144  476.7  19.0  -
Acanthopleuribacteraceae  -          A1b_forward          -               28     892      62     900      42     900    1453    +    7.1e-144  476.4  18.3  -
Euzebyaceae               -          A1b_forward          -                3     883       3     900       1     900    1476    +      9e-143  472.8  19.9  -
Egibacteraceae            -          A1b_forward          -               23     904       3     900       1     900    1516    +      2e-141  468.4  19.4  -
Thermonemataceae          -          A1b_forward          -                3     889      12     899      10     900    1465    +    2.1e-141  468.3  18.3  -
Aquificales               -          A1b_forward          -                2     916      12     899      11     900    1450    +    8.7e-141  466.3  18.8  -
Schleiferiaceae           -          A1b_forward          -               23     914       4     900       2     900    1499    +    4.7e-139  460.6  19.3  -
Blastocatellales          -          A1b_forward          -               25     879       5     899       2     900    1488    +    1.6e-138  458.6  19.7  -
Isosphaeraceae            -          A1b_forward          -               20     891       4     899       2     900    1475    +    3.8e-138  457.4  19.8  -
Xenococcaceae             -          A1b_forward          -                4     854       4     900       2     900    1418    +    4.6e-138  457.3  18.8  -
Spirochaetales            -          A1b_forward          -                4     890       4     900       2     900    1456    +      8e-138  456.2  19.1  -
Gloeomargaritaceae        -          A1b_forward          -               24     870       4     900       2     900    1482    +    3.2e-137  454.4  19.5  -
Spartobacteria            -          A1b_forward          -                1     886       3     900       3     900    1418    +    9.2e-136  449.5  19.7  -
Elusimicrobiaceae         -          A1b_forward          -                1     866      22     899      22     900    1395    +    5.2e-135  446.9  18.4  -
Longimicrobiaceae         -          A1b_forward          -               14     861      69     900      57     900    1413    +    2.2e-134  445.1  18.6  -
Mzabimycetaceae           -          A1b_forward          -               10     823      67     900      59     900    1357    +    2.6e-134  444.7  19.8  -
Ardenticatenia            -          A1b_forward          -                4     903       4     899       2     900    1453    +    3.8e-134  444.3  19.6  -
Lentimicrobiaceae         -          A1b_forward          -                4     895       4     900       2     900    1446    +    6.8e-134  443.2  18.9  -
Armatimonadaceae          -          A1b_forward          -                3     874       3     900       2     900    1438    +    7.3e-134  443.2  18.3  -
Ichthyobacteriaceae       -          A1b_forward          -               24     919       4     899       2     900    1521    +    1.3e-133  442.4  18.8  -
Herpetosiphonaceae        -          A1b_forward          -               23     879       3     900       1     900    1475    +    1.3e-133  442.2  19.4  -
Catalimonadaceae          -          A1b_forward          -               16     879      28     899      10     900    1425    +    2.3e-133  441.6  19.0  -
Caldisericaceae           -          A1b_forward          -                4     915       4     899       2     900    1481    +    2.6e-133  441.2  19.2  -
Roseiflexaceae            -          A1b_forward          -               23     879       3     900       1     900    1469    +    5.4e-133  440.7  18.5  -
Ktedonobacteraceae        -          A1b_forward          -                1     852       6     899       6     900    1386    +    3.8e-132  437.7  19.5  -
Fimbriimonadaceae         -          A1b_forward          -                8     873       3     899       1     900    1443    +    1.7e-131  435.4  18.5  -
Chitinivibrionaceae       -          A1b_forward          -               12     915       4     900       2     900    1488    +    1.9e-131  435.2  19.3  -
Kiritimatiellaceae        -          A1b_forward          -               23     949       3     900       1     900    1556    +    3.2e-131  434.5  18.8  -
Brevinemataceae           -          A1b_forward          -               22     910       3     900       1     900    1490    +    1.1e-130  432.7  19.4  -
Soortiaceae               -          A1b_forward          -               27     930       3     900       1     900    1516    +    1.2e-130  432.5  18.6  -
Mooreiaceae               -          A1b_forward          -               20     880      33     899      13     900    1424    +    2.1e-130  431.9  19.4  -
Victivallaceae            -          A1b_forward          -               19     882       3     900       1     900    1456    +    2.9e-129  428.0  19.1  -
Balneicellaceae           -          A1b_forward          -                8     907       4     900       2     900    1505    +    3.1e-129  427.8  18.9  -
Trueperaceae              -          A1b_forward          -                6     859      16     899      11     900    1461    +    5.1e-129  427.1  18.8  -
Filobacteriaceae          -          A1b_forward          -               23     914       4     899       2     900    1521    +    9.9e-128  422.8  19.2  -
Prochlorotrichaceae       -          A1b_forward          -                3     836      16     900      14     900    1448    +    2.3e-127  421.6  18.6  -
Oligosphaeraceae          -          A1b_forward          -                4     872       4     900       2     900    1434    +    3.1e-126  418.0  19.3  -
Verrucomicrobiales        -          A1b_forward          -               43     891      72     900      51     900    1410    +    1.8e-125  415.8  18.4  -
Thermoflexaceae           -          A1b_forward          -               57     885      70     900      49     900    1466    +    6.3e-123  407.4  19.0  -
Phycisphaeraceae          -          A1b_forward          -                2     870       2     899       1     900    1461    +    2.3e-121  402.1  18.9  -
Chthonomonadaceae         -          A1b_forward          -                1     865      28     900      28     900    1411    +    3.6e-120  398.0  19.4  -
Chloroflexales            -          A1b_forward          -                1     864       6     900       6     900    1355    +    7.8e-119  394.0  19.3  -
Tepidisphaeraceae         -          A1b_forward          -               24     885       4     899       1     900    1491    +    2.1e-118  392.3  19.2  -
Simkaniaceae              -          A1b_forward          -               23     934       3     900       1     900    1545    +    2.3e-116  385.3  18.7  -
Waddliaceae               -          A1b_forward          -               29     944       4     899       1     900    1557    +    1.9e-114  379.0  18.2  -
Methanocaldococcaceae     -          A1b_forward          -               43     877      20     898       7     899    1429    +     5.6e-89  294.9  18.4  -
Methanococcaceae          -          A1b_forward          -               70     860      75     898      57     899    1410    +     7.1e-87  287.6  18.7  -
Methanobacteriaceae       -          A1b_forward          -               17     849      19     898       7     899    1403    +     1.4e-86  286.5  17.8  -
Desulfurococcaceae        -          A1b_forward          -               32     888      15     898       2     899    1460    +     2.2e-82  272.8  18.1  -
Sulfolobaceae             -          A1b_forward          -               14     878       7     898       2     899    1464    +     4.7e-82  271.4  18.4  -
Methanoregulaceae         -          A1b_forward          -               22     844      20     898       7     899    1413    +     2.7e-81  268.9  18.8  -
Thermoproteaceae          -          A1b_forward          -                9     876       7     898       2     899    1471    +     1.4e-79  261.9  19.2  -
Methanomicrobiaceae       -          A1b_forward          -               24     848      19     898       6     899    1420    +       3e-79  262.3  18.7  -
Halobacteriaceae          -          A1b_forward          -               47     873      24     898       8     899    1474    +     3.8e-78  258.3  18.3  -
Methanothermaceae         -          A1b_forward          -               42     876      19     898       6     899    1482    +     1.5e-77  256.9  18.5  -
Thermococcaceae           -          A1b_forward          -               28     865      19     898       6     899    1448    +     1.5e-76  253.5  19.0  -
Archaeoglobaceae          -          A1b_forward          -               21     868      18     898       6     899    1451    +     6.2e-76  251.3  18.4  -
Haloferacaceae            -          A1b_forward          -               50     873      27     898       9     899    1474    +     6.8e-75  247.3  17.5  -
Pyrodictiaceae            -          A1b_forward          -               39     891      16     898       2     899    1497    +     4.8e-74  245.1  19.7  -
Haloarculaceae            -          A1b_forward          -               50     872      27     898       8     899    1473    +     9.7e-74  243.8  18.5  -
Natrialbaceae             -          A1b_forward          -               72     873      69     898      48     899    1474    +     2.5e-73  242.2  17.2  -
Thermofilaceae            -          A1b_forward          -               49     905      16     898       2     899    1513    +     4.9e-73  241.6  18.4  -
Methanospirillaceae       -          A1b_forward          -               27     816      74     898      53     899    1378    +     1.7e-72  239.6  19.5  -
Methanomicrobiales        -          A1b_forward          -               37     858      21     898       7     899    1425    +     2.1e-71  236.0  18.9  -
Halorubraceae             -          A1b_forward          -               72     872      69     898      48     899    1470    +     5.1e-70  231.4  17.6  -
Acidilobaceae             -          A1b_forward          -               78     892      72     898      51     899    1451    +     4.9e-69  228.3  18.2  -
Methanopyraceae           -          A1b_forward          -               42     906      19     898       3     900    1512    +     6.8e-66  218.6  18.9  -
Methanocellaceae          -          A1b_forward          -               40     867      20     898       7     899    1440    +     6.9e-66  217.8  17.1  -
Methanocorpusculaceae     -          A1b_forward          -               39     860      21     898       7     899    1421    +     7.7e-66  217.5  18.2  -
Nostocaceae               -          A1b_forward          -                4     527     362     900     357     900    1476    +     6.2e-65  215.1  10.6  -
Methanosarcinaceae        -          A1b_forward          -               39     868      21     898       7     899    1425    +     5.4e-64  211.3  17.4  -
Caldisphaeraceae          -          A1b_forward          -               63     878      72     898      50     900    1466    +     6.5e-64  211.9  18.0  -
Halococcaceae             -          A1b_forward          -               76     872      73     898      48     899    1474    +     3.8e-63  208.6  17.6  -
Fervidicoccaceae          -          A1b_forward          -               80     896      71     898      48     900    1502    +     5.3e-63  208.7  17.4  -
Thermoplasmataceae        -          A1b_forward          -               75     871      72     898      51     899    1471    +     8.4e-63  207.8  17.2  -
Ferroplasmaceae           -          A1b_forward          -               45     867      23     898       7     899    1442    +       7e-62  204.7  17.9  -
Methanotrichaceae         -          A1b_forward          -               75     869      75     898      54     899    1423    +     9.4e-61  200.6  18.4  -
Nitrososphaeraceae        -          A1b_forward          -               70     865      70     898      49     900    1470    +     3.8e-59  195.9  17.9  -
Cuniculiplasmataceae      -          A1b_forward          -               45     867      22     898       6     900    1469    +     1.4e-58  194.2  17.9  -
Methermicoccaceae         -          A1b_forward          -               31     829      74     898      54     900    1346    +     1.2e-57  191.1  18.6  -
Picrophilaceae            -          A1b_forward          -               86     878      74     898      52     899    1479    +     3.1e-57  189.3  17.6  -
Thermoplasmatales         -          A1b_forward          -               60     852      73     898      52     900    1370    +     3.2e-52  173.3  17.8  -
Methanomassiliicoccaceae  -          A1b_forward          -               40     864      18     898       3     900    1434    +     3.8e-52  172.9  17.7  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/A1b_forward.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/A1b_forward.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/A1b_forward.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 10:06:28 2020
# [ok]
