# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     927       2     933    1474    +           0 1046.9  17.5  -
Parviterribacteraceae     -          B0306_LKAP-FHGF1_A06_048 -               24     925       6     922       2     931    1456    +    2.3e-175  580.7  17.9  -
Caldicoprobacteraceae     -          B0306_LKAP-FHGF1_A06_048 -               40     948       6     926       2     933    1530    +    4.2e-175  579.8  17.9  -
Chroococcales             -          B0306_LKAP-FHGF1_A06_048 -               67     901      52     927      25     933    1445    +    6.7e-175  579.0  16.7  -
Nannocystaceae            -          B0306_LKAP-FHGF1_A06_048 -               38     946       6     926       2     933    1487    +    9.1e-175  578.8  17.4  -
Desulfurellaceae          -          B0306_LKAP-FHGF1_A06_048 -               30     956       6     924       2     929    1529    +    1.1e-174  578.2  17.8  -
Woeseiaceae               -          B0306_LKAP-FHGF1_A06_048 -               33     950       6     928       2     934    1476    +    1.2e-174  578.1  17.2  -
Corynebacterineae         -          B0306_LKAP-FHGF1_A06_048 -               24     916       6     928       2     933    1473    +    1.4e-174  578.2  17.4  -
Natranaerobiaceae         -          B0306_LKAP-FHGF1_A06_048 -                5     911       8     924       4     932    1429    +    1.8e-174  577.7  17.7  -
Segniliparaceae           -          B0306_LKAP-FHGF1_A06_048 -               28     917       6     927       2     933    1462    +    2.3e-174  577.5  17.6  -
Thermaceae                -          B0306_LKAP-FHGF1_A06_048 -               36     918       8     924       3     930    1477    +    3.3e-174  577.0  18.2  -
Algiphilaceae             -          B0306_LKAP-FHGF1_A06_048 -               44     954       6     928       2     934    1501    +    3.4e-174  576.5  17.2  -
Kineosporiaceae           -          B0306_LKAP-FHGF1_A06_048 -               32     923       6     927       2     933    1463    +    3.8e-174  576.8  17.7  -
Halobacteroidaceae        -          B0306_LKAP-FHGF1_A06_048 -               32     939       6     925       2     933    1478    +    5.1e-174  576.0  17.1  -
Conexibacteraceae         -          B0306_LKAP-FHGF1_A06_048 -               45     963       7     925       2     933    1536    +    5.3e-174  575.9  17.9  -
Salinibacteraceae         -          B0306_LKAP-FHGF1_A06_048 -               49     960       6     927       2     933    1497    +    1.9e-173  574.4  17.1  -
Frankiaceae               -          B0306_LKAP-FHGF1_A06_048 -               45     929       6     927       2     933    1499    +    2.3e-173  574.2  17.2  -
Thermodesulfobiaceae      -          B0306_LKAP-FHGF1_A06_048 -               40     940       6     927       2     933    1520    +    4.1e-173  573.2  17.4  -
Demequinaceae             -          B0306_LKAP-FHGF1_A06_048 -               24     920       6     927       2     933    1478    +    4.9e-173  572.9  17.6  -
Chrysiogenaceae           -          B0306_LKAP-FHGF1_A06_048 -               42     935       5     924       1     931    1513    +    4.9e-173  573.0  16.9  -
Enterococcaceae           -          B0306_LKAP-FHGF1_A06_048 -               25     955       7     924       2     931    1498    +    6.1e-173  572.7  17.7  -
Sporomusaceae             -          B0306_LKAP-FHGF1_A06_048 -               43     967       6     924       2     932    1535    +    9.7e-173  571.7  17.2  -
Balneolaceae              -          B0306_LKAP-FHGF1_A06_048 -               24     934       6     927       1     933    1459    +    1.9e-172  571.0  17.2  -
Cellulomonadaceae         -          B0306_LKAP-FHGF1_A06_048 -               28     925       6     927       2     933    1465    +      1e-171  568.7  17.6  -
Dermacoccaceae            -          B0306_LKAP-FHGF1_A06_048 -               21     918       6     927       2     933    1456    +    2.3e-171  567.3  17.8  -
Acidobacteriaceae         -          B0306_LKAP-FHGF1_A06_048 -               44     916       6     925       2     933    1462    +    3.6e-171  566.7  16.6  -
Jiangellaceae             -          B0306_LKAP-FHGF1_A06_048 -               29     922       5     927       2     933    1497    +    5.5e-171  566.1  17.4  -
Caldilineaceae            -          B0306_LKAP-FHGF1_A06_048 -               31     921       6     927       2     933    1434    +    2.4e-170  564.1  18.3  -
Promicromonosporaceae     -          B0306_LKAP-FHGF1_A06_048 -               24     917       6     927       2     933    1462    +    2.5e-170  564.0  17.8  -
Anaerolineaceae           -          B0306_LKAP-FHGF1_A06_048 -               24     914       6     925       3     930    1430    +    2.6e-170  564.5  17.6  -
Dietziaceae               -          B0306_LKAP-FHGF1_A06_048 -               15     905       6     927       2     933    1452    +    3.8e-170  563.4  17.5  -
Puniceicoccaceae          -          B0306_LKAP-FHGF1_A06_048 -               34     954       6     927       2     933    1485    +    1.1e-169  561.9  17.3  -
Desulfurobacteriaceae     -          B0306_LKAP-FHGF1_A06_048 -               24     964       6     928       2     933    1497    +    2.3e-169  561.2  17.5  -
Thermomonosporaceae       -          B0306_LKAP-FHGF1_A06_048 -               24     915       6     926       2     933    1464    +    2.5e-169  560.7  17.7  -
Catenulisporaceae         -          B0306_LKAP-FHGF1_A06_048 -               24     915       6     927       2     933    1460    +    3.7e-169  560.1  17.3  -
Stigonematales            -          B0306_LKAP-FHGF1_A06_048 -               44     909       6     927       3     933    1450    +    4.3e-169  560.1  16.0  -
Cytophagaceae             -          B0306_LKAP-FHGF1_A06_048 -               26     922       6     925       2     929    1437    +    5.1e-169  559.7  17.2  -
Bernardetiaceae           -          B0306_LKAP-FHGF1_A06_048 -               24     930       6     925       2     929    1481    +    7.1e-169  559.2  17.4  -
Bogoriellaceae            -          B0306_LKAP-FHGF1_A06_048 -               24     925       6     927       2     933    1470    +    4.2e-168  556.6  17.7  -
Peptoniphilaceae          -          B0306_LKAP-FHGF1_A06_048 -               62     899      55     925      33     932    1437    +    4.7e-168  556.7  16.5  -
Sanguibacteraceae         -          B0306_LKAP-FHGF1_A06_048 -               41     937       6     927       2     933    1483    +    5.4e-168  556.2  17.7  -
Thermodesulfobacteriaceae -          B0306_LKAP-FHGF1_A06_048 -               24     949       6     927       1     930    1497    +    5.8e-168  556.4  17.4  -
Sterolibacteriaceae       -          B0306_LKAP-FHGF1_A06_048 -               38     959       5     928       2     935    1531    +    7.8e-168  555.8  17.3  -
Cryptosporangiaceae       -          B0306_LKAP-FHGF1_A06_048 -               24     913       6     927       2     933    1470    +    1.1e-167  555.2  17.4  -
Dermatophilaceae          -          B0306_LKAP-FHGF1_A06_048 -               29     924       6     928       2     933    1480    +    1.5e-167  554.7  17.4  -
Porphyromonadaceae        -          B0306_LKAP-FHGF1_A06_048 -               32     942       6     925       2     929    1473    +    1.8e-167  554.6  17.6  -
Hymenobacteraceae         -          B0306_LKAP-FHGF1_A06_048 -               24     919       6     925       2     929    1445    +    2.5e-167  554.1  17.4  -
Actinopolysporaceae       -          B0306_LKAP-FHGF1_A06_048 -               25     935       6     927       2     933    1480    +    3.2e-167  553.7  18.0  -
Glycomycetaceae           -          B0306_LKAP-FHGF1_A06_048 -               31     935       6     927       2     933    1495    +    4.1e-167  553.5  17.5  -
Nostocales                -          B0306_LKAP-FHGF1_A06_048 -               24     885       6     927       3     933    1457    +    6.9e-167  552.7  16.3  -
Planctomycetaceae         -          B0306_LKAP-FHGF1_A06_048 -               37     930       9     923       2     929    1486    +    1.2e-166  552.0  17.8  -
Symbiobacteriaceae        -          B0306_LKAP-FHGF1_A06_048 -               26     943      14     924       2     933    1468    +    2.6e-166  551.0  17.8  -
Streptosporangiaceae      -          B0306_LKAP-FHGF1_A06_048 -               24     911       6     926       2     933    1464    +    5.2e-166  549.6  17.7  -
Actinomycetales           -          B0306_LKAP-FHGF1_A06_048 -               44     953       6     927       2     933    1535    +    5.4e-166  549.6  18.1  -
Sporichthyaceae           -          B0306_LKAP-FHGF1_A06_048 -               23     913       5     925       2     933    1472    +    6.2e-166  549.6  18.0  -
Leptotrichiaceae          -          B0306_LKAP-FHGF1_A06_048 -               44     933       6     924       3     932    1492    +    1.4e-165  548.2  17.0  -
Frankiales                -          B0306_LKAP-FHGF1_A06_048 -               31     921       6     925       2     933    1425    +    1.5e-165  548.3  17.9  -
Bifidobacteriaceae        -          B0306_LKAP-FHGF1_A06_048 -               38     937       6     927       2     933    1469    +    3.4e-165  547.0  17.7  -
Dermabacteraceae          -          B0306_LKAP-FHGF1_A06_048 -               33     929       6     927       3     933    1470    +    4.9e-165  546.3  17.4  -
Gallionellaceae           -          B0306_LKAP-FHGF1_A06_048 -               40     953       5     928       2     935    1385    +      6e-165  546.2  16.7  -
Lysobacteriales           -          B0306_LKAP-FHGF1_A06_048 -               52     965       6     928       2     934    1508    +    7.3e-165  546.0  17.3  -
Rubricoccaceae            -          B0306_LKAP-FHGF1_A06_048 -               29     939       6     927       1     933    1452    +    1.1e-164  545.3  16.3  -
Beutenbergiaceae          -          B0306_LKAP-FHGF1_A06_048 -               23     920       5     927       2     933    1472    +    1.6e-164  544.7  17.4  -
Micrococcales             -          B0306_LKAP-FHGF1_A06_048 -               24     918       6     927       2     933    1475    +    1.8e-164  544.7  17.5  -
Persicobacteraceae        -          B0306_LKAP-FHGF1_A06_048 -               24     928       6     925       2     929    1448    +    2.5e-164  544.2  18.3  -
Bryobacteraceae           -          B0306_LKAP-FHGF1_A06_048 -               43     914       6     925       2     933    1417    +    4.1e-164  543.5  17.3  -
Opitutaceae               -          B0306_LKAP-FHGF1_A06_048 -               26     958       8     927       2     933    1482    +    6.2e-164  542.8  17.5  -
Rubritaleaceae            -          B0306_LKAP-FHGF1_A06_048 -               33     941       8     927       2     933    1459    +    6.6e-164  542.6  16.4  -
Gemmatimonadaceae         -          B0306_LKAP-FHGF1_A06_048 -               79     939      55     925      34     933    1525    +    9.4e-164  542.3  17.1  -
Phormidiaceae             -          B0306_LKAP-FHGF1_A06_048 -               44     908       6     927       2     933    1483    +    1.7e-163  541.7  17.0  -
Rikenellaceae             -          B0306_LKAP-FHGF1_A06_048 -               32     942       6     925       2     929    1456    +    7.5e-163  539.2  17.6  -
Mariprofundaceae          -          B0306_LKAP-FHGF1_A06_048 -               44     955       6     927       2     934    1528    +      9e-163  538.8  16.8  -
Atopobacteriaceae         -          B0306_LKAP-FHGF1_A06_048 -               28     918       6     924       1     931    1442    +      4e-162  537.0  18.1  -
Ruaniaceae                -          B0306_LKAP-FHGF1_A06_048 -               48     952       6     927       2     933    1531    +    4.6e-162  536.4  17.5  -
Betaproteobacteria        -          B0306_LKAP-FHGF1_A06_048 -               45     915      53     928      13     935    1454    +    2.5e-161  534.2  16.3  -
Defluviitaleaceae         -          B0306_LKAP-FHGF1_A06_048 -               14     906       5     924       2     932    1413    +    3.8e-161  533.7  17.7  -
Pyrinomonadaceae          -          B0306_LKAP-FHGF1_A06_048 -               47     975       9     925       3     933    1526    +    4.3e-161  533.2  17.3  -
Jonesiaceae               -          B0306_LKAP-FHGF1_A06_048 -               44     957       7     927       2     933    1514    +    4.6e-161  533.4  17.4  -
Crocinitomicaceae         -          B0306_LKAP-FHGF1_A06_048 -               24     935       5     925       1     929    1466    +    4.8e-161  533.1  17.6  -
Spiroplasmataceae         -          B0306_LKAP-FHGF1_A06_048 -               77     945      53     925      31     933    1516    +    6.4e-161  533.1  16.8  -
Streptosporangineae       -          B0306_LKAP-FHGF1_A06_048 -                3     886       7     925       5     933    1443    +      7e-161  532.6  18.3  -
Chitinophagaceae          -          B0306_LKAP-FHGF1_A06_048 -               25     932       6     925       2     929    1458    +    1.6e-160  531.8  17.3  -
Nocardiopsaceae           -          B0306_LKAP-FHGF1_A06_048 -               24     927       6     925       2     933    1475    +    1.7e-160  531.6  17.6  -
Iamiaceae                 -          B0306_LKAP-FHGF1_A06_048 -               74     921      54     924      33     931    1480    +    1.7e-160  531.7  16.5  -
Dehalococcoidaceae        -          B0306_LKAP-FHGF1_A06_048 -               59     906      54     927      32     931    1437    +    2.3e-159  528.1  16.3  -
Anaeroplasmataceae        -          B0306_LKAP-FHGF1_A06_048 -               52     933       7     924       3     930    1453    +    3.2e-159  527.3  16.8  -
Rarobacteraceae           -          B0306_LKAP-FHGF1_A06_048 -               13     906       6     927       2     933    1464    +    4.4e-159  526.6  17.3  -
Prolixibacteraceae        -          B0306_LKAP-FHGF1_A06_048 -               24     927       6     925       2     929    1444    +    8.2e-159  525.8  17.3  -
Kofleriaceae              -          B0306_LKAP-FHGF1_A06_048 -               40     970       6     927       2     934    1498    +    4.9e-158  523.4  17.3  -
Chlorobiaceae             -          B0306_LKAP-FHGF1_A06_048 -               65     941      40     927      19     933    1455    +    6.5e-158  522.9  17.2  -
Prochlorococcaceae        -          B0306_LKAP-FHGF1_A06_048 -               31     890       6     927       3     933    1465    +    6.6e-158  522.9  16.3  -
Chlamydiaceae             -          B0306_LKAP-FHGF1_A06_048 -               81     972      47     927      18     933    1548    +    1.9e-157  521.2  16.9  -
Mesoaciditogaceae         -          B0306_LKAP-FHGF1_A06_048 -               32     951       6     924       2     930    1522    +    2.1e-157  521.2  17.8  -
Parachlamydiaceae         -          B0306_LKAP-FHGF1_A06_048 -               73     956      55     927      35     933    1529    +    2.2e-157  521.2  16.3  -
Actinospicaceae           -          B0306_LKAP-FHGF1_A06_048 -               27     893      40     927      15     933    1425    +    4.7e-157  520.0  17.6  -
Pseudobacteriovoracaceae  -          B0306_LKAP-FHGF1_A06_048 -               13     908      31     927      13     934    1466    +    6.4e-157  519.5  17.0  -
Thermotogaceae            -          B0306_LKAP-FHGF1_A06_048 -               42     957       6     925       2     930    1545    +    7.2e-157  519.5  18.1  -
Oscillospiraceae          -          B0306_LKAP-FHGF1_A06_048 -               84     928      54     924      30     932    1453    +    8.1e-157  518.9  16.6  -
Eggerthellaceae           -          B0306_LKAP-FHGF1_A06_048 -               31     914       6     924       2     931    1449    +    9.6e-157  519.1  17.4  -
Deinococcaceae            -          B0306_LKAP-FHGF1_A06_048 -               42     911      37     924      16     931    1455    +    2.2e-156  517.7  17.4  -
Petrotogaceae             -          B0306_LKAP-FHGF1_A06_048 -               39     933       6     925       2     931    1488    +    2.5e-156  517.9  17.4  -
Marinilabiliaceae         -          B0306_LKAP-FHGF1_A06_048 -               23     930       5     925       2     929    1447    +    2.6e-156  517.3  17.5  -
Cryomorphaceae            -          B0306_LKAP-FHGF1_A06_048 -               30     937       6     925       2     929    1454    +    2.7e-156  517.6  16.9  -
Cyclobacteriaceae         -          B0306_LKAP-FHGF1_A06_048 -               24     929       6     925       2     929    1447    +    3.4e-156  517.2  17.7  -
Lewinellaceae             -          B0306_LKAP-FHGF1_A06_048 -               24     926       6     925       2     929    1446    +    1.5e-155  515.1  17.5  -
Aquificaceae              -          B0306_LKAP-FHGF1_A06_048 -               24     949       6     928       2     932    1485    +      3e-155  514.2  17.6  -
Iodidimonadaceae          -          B0306_LKAP-FHGF1_A06_048 -               32     904       7     927       2     934    1437    +    4.2e-155  513.6  16.3  -
Haliscomenobacteraceae    -          B0306_LKAP-FHGF1_A06_048 -               44     949       6     925       2     929    1485    +    4.8e-155  513.8  17.8  -
Sphingobacteriaceae       -          B0306_LKAP-FHGF1_A06_048 -               24     928       6     925       2     929    1450    +      5e-155  513.3  17.4  -
Acholeplasmataceae        -          B0306_LKAP-FHGF1_A06_048 -               18     915       8     923       3     928    1437    +    7.2e-154  509.3  17.9  -
Rhodospirillales          -          B0306_LKAP-FHGF1_A06_048 -               26     873      37     927      17     934    1413    +      3e-153  507.7  16.8  -
Magnetococcaceae          -          B0306_LKAP-FHGF1_A06_048 -               44     920       6     928       2     934    1497    +    3.6e-153  507.2  17.2  -
Cytophagales              -          B0306_LKAP-FHGF1_A06_048 -               26     927       8     925       2     929    1444    +    3.3e-152  504.0  17.3  -
Sandaracinaceae           -          B0306_LKAP-FHGF1_A06_048 -               13     940       6     927       2     934    1506    +    1.7e-151  501.7  16.9  -
Hydrogenothermaceae       -          B0306_LKAP-FHGF1_A06_048 -               24     912       6     929       2     932    1447    +    1.9e-151  501.7  16.4  -
Kosmotogaceae             -          B0306_LKAP-FHGF1_A06_048 -               32     937       6     927       2     931    1488    +    5.2e-151  500.3  17.7  -
Rhodothalassiaceae        -          B0306_LKAP-FHGF1_A06_048 -               19     877       6     927       2     934    1318    +    7.4e-151  499.7  17.1  -
Fibrobacteraceae          -          B0306_LKAP-FHGF1_A06_048 -               22     910       5     924       3     933    1412    +    1.3e-150  499.0  18.0  -
Saprospiraceae            -          B0306_LKAP-FHGF1_A06_048 -               35     939       6     925       2     929    1430    +    2.3e-150  498.3  17.3  -
Entomoplasmataceae        -          B0306_LKAP-FHGF1_A06_048 -               32     932       7     924       3     930    1497    +    1.6e-149  495.3  16.7  -
Bacteroidales             -          B0306_LKAP-FHGF1_A06_048 -               46     951       6     925       2     929    1485    +    1.7e-149  494.7  17.2  -
Prevotellaceae            -          B0306_LKAP-FHGF1_A06_048 -               25     939       6     925       2     929    1464    +    1.4e-148  491.7  17.5  -
Bradymonadaceae           -          B0306_LKAP-FHGF1_A06_048 -               63     929      49     926      11     933    1461    +      2e-148  491.2  17.3  -
Roseiarcaceae             -          B0306_LKAP-FHGF1_A06_048 -               61     899      43     927      20     934    1399    +    5.5e-148  490.0  16.8  -
Marinifilaceae            -          B0306_LKAP-FHGF1_A06_048 -               24     931       6     925       2     930    1450    +    1.2e-147  488.7  17.1  -
Dictyoglomaceae           -          B0306_LKAP-FHGF1_A06_048 -               49     961       9     927       3     932    1541    +    1.9e-147  488.2  17.5  -
Coriobacteriaceae         -          B0306_LKAP-FHGF1_A06_048 -               37     917       6     924       1     931    1462    +    1.6e-146  485.6  17.5  -
Thermosporotrichaceae     -          B0306_LKAP-FHGF1_A06_048 -                6     842      53     927      48     933    1317    +    2.8e-146  484.6  17.0  -
Anaeromyxobacteraceae     -          B0306_LKAP-FHGF1_A06_048 -               44     972       6     927       2     934    1549    +    4.5e-146  483.7  17.4  -
Lentisphaeraceae          -          B0306_LKAP-FHGF1_A06_048 -               52     919      31     924      11     932    1465    +    8.9e-146  482.9  17.3  -
Fervidobacteriaceae       -          B0306_LKAP-FHGF1_A06_048 -               31     961       5     922       2     931    1514    +    1.4e-145  482.0  18.3  -
Oligoflexaceae            -          B0306_LKAP-FHGF1_A06_048 -               52     932      45     927      20     934    1458    +    2.8e-145  481.1  17.1  -
Temperatibacteraceae      -          B0306_LKAP-FHGF1_A06_048 -               34     861      54     927      33     934    1362    +    4.3e-145  480.4  16.0  -
Emcibacteraceae           -          B0306_LKAP-FHGF1_A06_048 -               44     912       6     926       2     933    1460    +    4.6e-145  480.5  16.5  -
Phaselicystidaceae        -          B0306_LKAP-FHGF1_A06_048 -               43     967       6     927       2     934    1539    +    5.3e-145  480.2  17.0  -
Gemmataceae               -          B0306_LKAP-FHGF1_A06_048 -               79     909      55     924      34     930    1427    +      9e-145  479.3  16.1  -
Microscillaceae           -          B0306_LKAP-FHGF1_A06_048 -               24     914       6     925       2     930    1461    +    1.9e-144  478.2  16.4  -
Labilitrichaceae          -          B0306_LKAP-FHGF1_A06_048 -               64     952      54     927      31     934    1483    +    1.9e-144  478.2  16.6  -
Odoribacteraceae          -          B0306_LKAP-FHGF1_A06_048 -               43     950       5     925       2     929    1486    +      2e-144  478.0  17.6  -
Blastocatellaceae         -          B0306_LKAP-FHGF1_A06_048 -               90     937      55     925      18     933    1485    +    1.8e-143  474.8  16.6  -
Akkermansiaceae           -          B0306_LKAP-FHGF1_A06_048 -               26     913       8     927       2     933    1441    +    2.2e-143  475.0  16.7  -
Gaiellaceae               -          B0306_LKAP-FHGF1_A06_048 -               44     963       6     927       2     934    1544    +    5.1e-143  473.4  17.6  -
Sphaerobacteraceae        -          B0306_LKAP-FHGF1_A06_048 -               84     930      56     925      34     933    1531    +      1e-142  472.5  17.7  -
Syntrophorhabdaceae       -          B0306_LKAP-FHGF1_A06_048 -               24     953       6     927       2     934    1482    +    1.4e-142  472.1  17.0  -
Acanthopleuribacteraceae  -          B0306_LKAP-FHGF1_A06_048 -               30     928      47     927      33     934    1453    +    1.6e-142  471.9  17.0  -
Thermomicrobiaceae        -          B0306_LKAP-FHGF1_A06_048 -               16     890      40     925      20     933    1273    +    2.2e-142  472.1  18.6  -
Acidothermaceae           -          B0306_LKAP-FHGF1_A06_048 -               41     933       6     928       2     934    1509    +    4.4e-142  470.6  17.2  -
Egicoccaceae              -          B0306_LKAP-FHGF1_A06_048 -               44     937       6     926       2     933    1512    +    2.2e-141  468.2  17.3  -
Christensenellaceae       -          B0306_LKAP-FHGF1_A06_048 -               92     943      51     926      30     933    1497    +    6.2e-141  466.6  16.9  -
Nitriliruptoraceae        -          B0306_LKAP-FHGF1_A06_048 -               34     926       7     926       2     933    1425    +      3e-140  464.4  17.6  -
Vulgatibacteraceae        -          B0306_LKAP-FHGF1_A06_048 -               60     951      51     927      30     934    1479    +    4.4e-140  463.9  16.7  -
Egibacteraceae            -          B0306_LKAP-FHGF1_A06_048 -               44     941       6     928       2     934    1516    +    6.5e-139  460.1  17.4  -
Gracilibacteraceae        -          B0306_LKAP-FHGF1_A06_048 -              202    1049      55     926      35     933    1549    +      1e-138  459.2  16.6  -
Hydrogenimonaceae         -          B0306_LKAP-FHGF1_A06_048 -               25     929       6     924       2     931    1422    +      2e-138  458.5  17.7  -
Euzebyaceae               -          B0306_LKAP-FHGF1_A06_048 -               24     918       6     926       2     933    1476    +    2.5e-138  458.1  17.6  -
Micropepsaceae            -          B0306_LKAP-FHGF1_A06_048 -               70     902      52     927      30     934    1455    +    5.1e-137  453.7  16.5  -
Fervidobacteraceae        -          B0306_LKAP-FHGF1_A06_048 -               25     898       6     921       2     929    1480    +    2.8e-136  451.3  17.8  -
Halanaerobiales           -          B0306_LKAP-FHGF1_A06_048 -               89     968      54     925      32     933    1500    +    1.7e-135  448.6  16.7  -
Isosphaeraceae            -          B0306_LKAP-FHGF1_A06_048 -               65     925      50     924      29     930    1475    +    1.8e-134  445.2  17.3  -
Xenococcaceae             -          B0306_LKAP-FHGF1_A06_048 -               54     891      51     928      15     934    1418    +    2.2e-134  445.2  16.6  -
Gloeomargaritaceae        -          B0306_LKAP-FHGF1_A06_048 -               74     907      53     928      32     934    1482    +    7.6e-134  443.3  15.5  -
Longimicrobiaceae         -          B0306_LKAP-FHGF1_A06_048 -                7     896      45     926      39     933    1413    +    9.9e-134  443.0  17.3  -
Haloplasmataceae          -          B0306_LKAP-FHGF1_A06_048 -               53     925      51     926      29     933    1345    +      4e-133  441.0  16.9  -
Aquificales               -          B0306_LKAP-FHGF1_A06_048 -               14     953       6     927       1     935    1450    +      4e-133  441.0  17.5  -
Acidimicrobiales          -          B0306_LKAP-FHGF1_A06_048 -               73     924      51     925      30     933    1483    +    1.1e-132  439.6  17.3  -
Caldisericaceae           -          B0306_LKAP-FHGF1_A06_048 -               23     953       5     928       2     934    1481    +      6e-132  436.8  16.9  -
Thermogemmatisporaceae    -          B0306_LKAP-FHGF1_A06_048 -               54     923      47     927      23     933    1443    +    6.3e-132  436.9  17.6  -
Victivallaceae            -          B0306_LKAP-FHGF1_A06_048 -               61     917      43     926      23     933    1456    +      8e-132  436.5  16.6  -
Chloroflexaceae           -          B0306_LKAP-FHGF1_A06_048 -               80     912      54     925      34     931    1473    +    5.9e-130  430.6  16.2  -
Ignavibacteriaceae        -          B0306_LKAP-FHGF1_A06_048 -               64     934      51     928      22     934    1461    +    1.2e-129  429.3  16.1  -
Prochlorotrichaceae       -          B0306_LKAP-FHGF1_A06_048 -               43     873      55     928      34     934    1448    +    7.3e-129  426.6  16.0  -
Ardenticatenia            -          B0306_LKAP-FHGF1_A06_048 -               24     941       6     928       1     934    1453    +      2e-128  425.5  17.7  -
Melioribacteraceae        -          B0306_LKAP-FHGF1_A06_048 -               92     959      55     928      22     934    1539    +    8.5e-128  423.1  16.3  -
Mooreiaceae               -          B0306_LKAP-FHGF1_A06_048 -               14     915       8     925       1     932    1424    +    2.2e-127  421.9  17.8  -
Brachyspiraceae           -          B0306_LKAP-FHGF1_A06_048 -               25     900      14     925       4     930    1441    +    2.8e-127  421.4  17.1  -
Mzabimycetaceae           -          B0306_LKAP-FHGF1_A06_048 -               11     860      51     928      44     934    1357    +    5.1e-127  420.7  17.8  -
Catalimonadaceae          -          B0306_LKAP-FHGF1_A06_048 -               14     914       8     925       2     932    1425    +      1e-126  419.7  17.6  -
Brevinemataceae           -          B0306_LKAP-FHGF1_A06_048 -               46     947       9     928       3     933    1490    +    5.6e-125  413.8  17.2  -
Verrucomicrobiales        -          B0306_LKAP-FHGF1_A06_048 -               33     928      47     928      26     934    1410    +    1.6e-124  412.7  16.8  -
Armatimonadaceae          -          B0306_LKAP-FHGF1_A06_048 -               60     908      52     925      29     934    1438    +    4.8e-124  410.7  16.3  -
Trueperaceae              -          B0306_LKAP-FHGF1_A06_048 -               59     895      54     926      17     933    1461    +    6.1e-124  410.3  16.1  -
Kiritimatiellaceae        -          B0306_LKAP-FHGF1_A06_048 -               88     986      30     928      10     934    1556    +    5.1e-123  407.4  16.8  -
Elusimicrobiaceae         -          B0306_LKAP-FHGF1_A06_048 -               54     903      54     927      33     934    1395    +    9.9e-123  406.3  15.8  -
Herpetosiphonaceae        -          B0306_LKAP-FHGF1_A06_048 -               74     913      53     925      32     933    1475    +    1.1e-122  406.1  15.9  -
Blastocatellales          -          B0306_LKAP-FHGF1_A06_048 -               44     916       6     927       2     934    1488    +    9.6e-122  403.1  16.7  -
Chitinivibrionaceae       -          B0306_LKAP-FHGF1_A06_048 -               33     952       7     928       3     934    1488    +    1.6e-121  402.4  16.6  -
Thermoflexaceae           -          B0306_LKAP-FHGF1_A06_048 -               16     921      11     927       1     933    1466    +    4.6e-121  401.2  17.6  -
Thermonemataceae          -          B0306_LKAP-FHGF1_A06_048 -               15     925       6     926       2     933    1465    +    5.2e-121  400.9  17.7  -
Spirochaetales            -          B0306_LKAP-FHGF1_A06_048 -               27     924       9     925       3     933    1456    +    1.3e-120  399.4  16.7  -
Oligosphaeraceae          -          B0306_LKAP-FHGF1_A06_048 -               48     906      43     925      23     933    1434    +      4e-120  397.8  16.8  -
Simkaniaceae              -          B0306_LKAP-FHGF1_A06_048 -               51     971      17     928       5     933    1545    +    7.8e-120  396.8  16.4  -
Filobacteriaceae          -          B0306_LKAP-FHGF1_A06_048 -               43     949       6     925       2     932    1521    +    1.2e-119  396.1  17.2  -
Lentimicrobiaceae         -          B0306_LKAP-FHGF1_A06_048 -               27     929       9     925       2     932    1446    +    3.3e-119  394.7  16.5  -
Spartobacteria            -          B0306_LKAP-FHGF1_A06_048 -               69     923      52     928      31     934    1418    +    3.3e-119  394.8  16.8  -
Ktedonobacteraceae        -          B0306_LKAP-FHGF1_A06_048 -               52     890      52     928      30     934    1386    +    4.6e-118  391.2  16.8  -
Schleiferiaceae           -          B0306_LKAP-FHGF1_A06_048 -               43     948       6     925       2     932    1499    +    6.8e-118  390.6  17.1  -
Soortiaceae               -          B0306_LKAP-FHGF1_A06_048 -               91     967      54     928      19     934    1516    +    5.4e-117  387.4  16.9  -
Fimbriimonadaceae         -          B0306_LKAP-FHGF1_A06_048 -               63     912      55     929      35     934    1443    +    7.7e-117  386.9  15.5  -
Roseiflexaceae            -          B0306_LKAP-FHGF1_A06_048 -               69     915      44     927      22     933    1469    +    1.1e-116  386.8  17.0  -
Ichthyobacteriaceae       -          B0306_LKAP-FHGF1_A06_048 -               44     954       6     925       2     933    1521    +    1.2e-115  382.9  17.0  -
Waddliaceae               -          B0306_LKAP-FHGF1_A06_048 -               90     982      54     928      34     934    1557    +    9.9e-115  380.1  16.1  -
Chthonomonadaceae         -          B0306_LKAP-FHGF1_A06_048 -               39     897      53     923      32     934    1411    +    1.2e-111  369.8  17.4  -
Balneicellaceae           -          B0306_LKAP-FHGF1_A06_048 -               28     941       6     925       2     932    1505    +    1.5e-108  359.5  17.1  -
Phycisphaeraceae          -          B0306_LKAP-FHGF1_A06_048 -               51     906      42     926      11     933    1461    +    1.8e-106  352.9  16.2  -
