# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_A11_095_2018_2 -                9     914       7     912       2     912    1468    +           0 1071.8  21.6  -
Nocardiaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               21     899      16     912       4     912    1472    +    1.2e-190  631.4  21.5  -
Sporomusaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               46     953      20     912       5     912    1535    +    1.9e-190  630.4  20.6  -
Cystobacteraceae          -          LKAP-TSAKG2_A11_095_2018_2 -               27     931      20     912       6     912    1491    +      1e-189  628.1  20.1  -
Haliscomenobacteraceae    -          LKAP-TSAKG2_A11_095_2018_2 -               34     934       9     912       5     912    1485    +    1.3e-189  628.4  20.3  -
Nocardioidaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               20     901      15     912       4     912    1455    +      2e-189  627.3  21.2  -
Veillonellaceae           -          LKAP-TSAKG2_A11_095_2018_2 -                6     922      21     912      17     912    1450    +    2.4e-189  626.8  20.2  -
Peptoniphilaceae          -          LKAP-TSAKG2_A11_095_2018_2 -                4     884      21     912      18     912    1437    +    3.1e-189  626.8  20.8  -
Desulfonatronaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               27     933      20     912       5     912    1495    +    3.3e-189  626.5  20.8  -
Cellulomonadaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               26     908      17     912       5     912    1465    +    4.9e-189  626.1  21.3  -
Listeriaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               14     919      20     912      11     912    1448    +    6.7e-189  625.7  20.1  -
Enterococcaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               27     941      20     912       5     912    1498    +    1.9e-188  624.1  20.1  -
Myxococcaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               41     947      20     912       6     912    1517    +    2.5e-188  623.5  20.3  -
Crocinitomicaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               18     920      13     912       5     912    1466    +      3e-188  623.2  20.0  -
Corynebacterineae         -          LKAP-TSAKG2_A11_095_2018_2 -               21     898      16     912       5     912    1473    +    5.4e-188  622.6  21.5  -
Sporolactobacillaceae     -          LKAP-TSAKG2_A11_095_2018_2 -               27     930      20     912       6     912    1503    +    7.9e-188  621.9  20.4  -
Acidimicrobiaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               47     922      20     912       5     912    1464    +    9.4e-188  621.8  21.3  -
Lewinellaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               14     911       9     912       4     912    1446    +    1.3e-187  621.3  20.1  -
Cryomorphaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               23     922      12     912       6     912    1454    +    3.4e-187  620.0  20.4  -
Leuconostocaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               23     937      20     912       6     912    1479    +    4.3e-187  619.6  20.3  -
Actinomycetaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               27     932      20     912       5     912    1468    +      6e-187  619.1  20.5  -
Marinilabiliaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               20     915      15     912       7     912    1447    +    1.1e-186  618.0  20.2  -
Dehalococcoidaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               27     887      20     910       9     912    1437    +      3e-186  617.2  20.8  -
Kineosporiaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               27     906      14     912       4     912    1463    +      8e-186  615.5  21.5  -
Thermomonosporaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               21     899      16     912       4     912    1464    +    2.1e-185  613.9  20.7  -
Saprospiraceae            -          LKAP-TSAKG2_A11_095_2018_2 -               26     924      10     912       4     912    1430    +    2.3e-185  614.2  20.9  -
Rikenellaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               25     927      12     912       6     912    1456    +    2.7e-185  613.6  19.7  -
Acholeplasmataceae        -          LKAP-TSAKG2_A11_095_2018_2 -               20     902      21     912       9     912    1437    +    4.4e-185  612.7  20.9  -
Halanaerobiaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               29     953      16     912       5     912    1503    +      1e-184  611.5  20.6  -
Prolixibacteraceae        -          LKAP-TSAKG2_A11_095_2018_2 -               14     912       9     912       4     912    1444    +    1.8e-184  610.8  21.3  -
Micromonosporaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               35     914      16     912       5     912    1482    +    3.6e-184  609.9  21.4  -
Promicromonosporaceae     -          LKAP-TSAKG2_A11_095_2018_2 -               20     900      15     912       4     912    1462    +    4.6e-184  609.5  21.3  -
Tsukamurellaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               41     918      17     912       4     912    1495    +    4.9e-184  609.4  21.7  -
Salinibacteraceae         -          LKAP-TSAKG2_A11_095_2018_2 -               39     943       9     912       3     912    1497    +    5.1e-184  609.4  20.8  -
Thermaceae                -          LKAP-TSAKG2_A11_095_2018_2 -               38     904      21     912       5     912    1477    +    8.2e-184  608.8  20.8  -
Frankiaceae               -          LKAP-TSAKG2_A11_095_2018_2 -               48     912      20     912       5     912    1499    +    8.9e-184  608.7  20.1  -
Acidobacteriaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               47     901      20     912       6     912    1462    +    1.2e-183  608.1  20.8  -
Streptosporangiaceae      -          LKAP-TSAKG2_A11_095_2018_2 -               20     895      15     912       4     912    1464    +    1.3e-183  607.8  21.1  -
Rubrobacteraceae          -          LKAP-TSAKG2_A11_095_2018_2 -               27     927      20     912       5     912    1495    +    1.4e-183  607.9  20.1  -
Persicobacteraceae        -          LKAP-TSAKG2_A11_095_2018_2 -               17     913      12     912       4     912    1448    +    1.9e-183  607.5  20.7  -
Anaeroplasmataceae        -          LKAP-TSAKG2_A11_095_2018_2 -               55     919      21     912       6     912    1453    +    3.6e-183  606.6  20.2  -
Desulfurobacteriaceae     -          LKAP-TSAKG2_A11_095_2018_2 -               27     946      20     912       6     912    1497    +    3.9e-183  606.8  20.4  -
Propionibacteriaceae      -          LKAP-TSAKG2_A11_095_2018_2 -               31     906      20     912       4     912    1462    +    3.9e-183  606.4  21.0  -
Planctomycetaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               38     917      21     912       8     912    1486    +    4.6e-183  606.4  20.1  -
Thermodesulfobiaceae      -          LKAP-TSAKG2_A11_095_2018_2 -               43     923      20     912       7     912    1520    +    5.2e-183  606.0  20.4  -
Solirubrobacteraceae      -          LKAP-TSAKG2_A11_095_2018_2 -               11     911      20     912      13     912    1443    +    9.4e-183  605.0  19.7  -
Oscillatoriales           -          LKAP-TSAKG2_A11_095_2018_2 -               19     870      14     912       4     912    1445    +      1e-182  605.2  20.6  -
Dermacoccaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               18     901      16     912       4     912    1456    +    1.1e-182  604.8  21.0  -
Balneolaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               19     917      14     912       4     912    1459    +    1.2e-182  604.8  20.5  -
Gallionellaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               40     933      17     910       3     912    1385    +    1.8e-182  604.1  20.7  -
Natranaerobiaceae         -          LKAP-TSAKG2_A11_095_2018_2 -                3     897      17     912      15     912    1429    +    1.9e-182  604.1  19.7  -
Nakamurellaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               21     899      16     912       4     912    1462    +    2.2e-182  603.9  21.1  -
Bogoriellaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               21     908      16     912       4     912    1470    +    2.4e-182  603.8  20.3  -
Geodermatophilaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               33     915      15     912       4     912    1479    +    5.7e-182  602.6  21.6  -
Sterolibacteriaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               38     937      17     908       3     912    1531    +    6.7e-182  602.3  20.8  -
Mycobacteriaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               26     908      16     912       4     912    1471    +    9.2e-182  601.8  21.3  -
Sanguibacteraceae         -          LKAP-TSAKG2_A11_095_2018_2 -               38     920      16     912       4     912    1483    +    1.6e-181  601.1  21.5  -
Catenulisporaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               21     898      16     912       5     912    1460    +    1.6e-181  601.1  21.6  -
Actinomycetales           -          LKAP-TSAKG2_A11_095_2018_2 -               47     936      20     912       6     912    1535    +    4.6e-181  599.5  21.0  -
Chrysiogenaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               47     921      20     912       5     912    1513    +    5.2e-181  599.4  19.8  -
Dietziaceae               -          LKAP-TSAKG2_A11_095_2018_2 -               18     888      20     912       6     912    1452    +    7.4e-181  598.9  21.4  -
Demequinaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               21     903      16     912       5     912    1478    +    1.7e-180  597.6  21.5  -
Beutenbergiaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               24     903      18     912       6     912    1472    +      2e-180  597.4  20.6  -
Betaproteobacteria        -          LKAP-TSAKG2_A11_095_2018_2 -                4     895      16     910      13     912    1454    +    2.8e-180  596.9  19.9  -
Sphingobacteriaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               27     913      20     912       4     912    1450    +      3e-180  596.8  20.3  -
Jiangellaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               25     905      14     912       3     912    1497    +      3e-180  596.8  20.9  -
Cryptosporangiaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               21     896      16     912       5     912    1470    +    3.8e-180  596.5  20.9  -
Micrococcales             -          LKAP-TSAKG2_A11_095_2018_2 -               21     901      16     912       5     912    1475    +      4e-180  596.5  21.2  -
Opitutaceae               -          LKAP-TSAKG2_A11_095_2018_2 -               28     941      21     912       8     912    1482    +    6.1e-180  595.8  20.1  -
Nannocystaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               35     930      16     912       6     912    1487    +    8.4e-180  595.4  20.8  -
Dermatophilaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               26     906      16     912       5     912    1480    +    9.6e-180  595.1  21.2  -
Pyrinomonadaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               47     960      20     912       6     912    1526    +    1.4e-179  594.4  20.2  -
Caldilineaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               34     902      20     910       6     912    1434    +    1.6e-179  594.5  21.6  -
Spiroplasmataceae         -          LKAP-TSAKG2_A11_095_2018_2 -               50     930      20     912       5     912    1516    +    3.2e-179  593.8  21.1  -
Acidaminococcaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               34     942      20     912       5     912    1504    +    6.5e-179  592.0  20.3  -
Thermotogaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               45     940      20     910       6     912    1545    +    7.1e-179  592.4  21.0  -
Chroococcales             -          LKAP-TSAKG2_A11_095_2018_2 -               39     884      20     912       4     912    1445    +    1.6e-178  591.0  20.2  -
Rubritaleaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               34     924      20     912       6     912    1459    +    8.3e-178  588.7  20.4  -
Nocardiopsaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               27     912      20     912       4     912    1475    +    9.8e-178  588.6  20.7  -
Frankiales                -          LKAP-TSAKG2_A11_095_2018_2 -               28     906      16     912       5     912    1425    +    1.3e-177  588.3  21.7  -
Anaerolineaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               27     897      20     910       7     912    1430    +    1.3e-177  588.6  21.5  -
Segniliparaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               31     900      20     912       6     912    1462    +    4.1e-177  586.6  21.5  -
Dermabacteraceae          -          LKAP-TSAKG2_A11_095_2018_2 -               28     912      14     912       3     912    1470    +    6.2e-177  585.7  21.4  -
Defluviitaleaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               14     892      16     912       6     912    1413    +      7e-177  585.8  20.9  -
Ruaniaceae                -          LKAP-TSAKG2_A11_095_2018_2 -               45     935      16     912       5     912    1531    +    8.9e-177  585.1  20.6  -
Petrotogaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               42     918      20     912       5     912    1488    +    1.1e-176  585.3  21.2  -
Bifidobacteriaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               35     920      16     912       4     912    1469    +    1.2e-176  584.9  21.0  -
Sporichthyaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               27     898      20     912       6     912    1472    +    2.2e-176  584.2  20.8  -
Bacteroidales             -          LKAP-TSAKG2_A11_095_2018_2 -               40     936      13     912       7     912    1485    +    2.5e-176  583.6  20.6  -
Phormidiaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               47     891      20     912       5     912    1483    +      4e-176  583.5  21.8  -
Symbiobacteriaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               14     929      14     912       4     912    1468    +    7.6e-176  582.6  20.8  -
Iamiaceae                 -          LKAP-TSAKG2_A11_095_2018_2 -               27     907      20     912       6     912    1480    +    7.8e-176  582.5  20.7  -
Stigonematales            -          LKAP-TSAKG2_A11_095_2018_2 -               37     892      12     912       4     912    1450    +      9e-176  582.2  20.6  -
Chlorobiaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               48     924      21     912       5     912    1455    +    9.9e-176  581.9  19.8  -
Thermodesulfobacteriaceae -          LKAP-TSAKG2_A11_095_2018_2 -               27     931      20     911       7     912    1497    +    1.3e-175  581.6  20.5  -
Conexibacteraceae         -          LKAP-TSAKG2_A11_095_2018_2 -               48     948      21     912       6     912    1536    +    1.8e-175  580.7  20.3  -
Fibrobacteraceae          -          LKAP-TSAKG2_A11_095_2018_2 -               21     896      16     912       6     912    1412    +    2.2e-175  581.0  21.0  -
Glycomycetaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               34     918      20     912       5     912    1495    +    2.6e-175  580.6  20.9  -
Atopobacteriaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               31     904      20     912       6     912    1442    +    2.6e-175  580.6  21.0  -
Leptotrichiaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               40     919      15     912       6     912    1492    +    6.1e-175  579.2  21.4  -
Microscillaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               17     899      12     912       6     912    1461    +    1.7e-174  577.8  20.7  -
Mariprofundaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               47     938      20     912       4     912    1528    +      3e-174  576.7  20.3  -
Streptosporangineae       -          LKAP-TSAKG2_A11_095_2018_2 -                4     871      19     912      16     912    1443    +      4e-174  576.5  19.8  -
Prevotellaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               18     924      12     912       6     912    1464    +    5.9e-174  575.8  20.4  -
Rarobacteraceae           -          LKAP-TSAKG2_A11_095_2018_2 -               16     889      20     912      10     912    1464    +      1e-173  575.0  20.9  -
Actinopolysporaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               28     918      20     912       5     912    1480    +      2e-173  574.2  20.8  -
Eggerthellaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               34     900      20     912       6     912    1449    +    6.3e-173  572.7  20.9  -
Actinospicaceae           -          LKAP-TSAKG2_A11_095_2018_2 -                5     876      21     912      17     912    1425    +    2.2e-172  570.7  20.8  -
Kosmotogaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               35     918      20     910       5     912    1488    +    4.9e-172  569.9  20.9  -
Jonesiaceae               -          LKAP-TSAKG2_A11_095_2018_2 -               46     940      20     912       4     912    1514    +    1.3e-171  568.3  20.9  -
Dictyoglomaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               49     942      20     910       6     912    1541    +      2e-171  567.6  21.4  -
Entomoplasmataceae        -          LKAP-TSAKG2_A11_095_2018_2 -               34     918      20     912       5     912    1497    +    6.9e-171  566.0  20.7  -
Rubricoccaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               23     922      13     912       3     912    1452    +    1.2e-170  565.0  20.8  -
Oscillospiraceae          -          LKAP-TSAKG2_A11_095_2018_2 -               18     911      13     909       3     912    1453    +    5.4e-170  562.5  21.2  -
Nostocales                -          LKAP-TSAKG2_A11_095_2018_2 -               17     868      12     912       4     912    1457    +    2.9e-169  560.5  20.6  -
Rhodothalassiaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               10     860      10     912       3     912    1318    +    4.4e-169  559.9  21.0  -
Odoribacteraceae          -          LKAP-TSAKG2_A11_095_2018_2 -               39     935      14     912       7     912    1486    +    1.3e-167  554.9  20.7  -
Deinococcaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               21     897      14     912       4     912    1455    +    3.3e-167  553.5  20.8  -
Fervidobacteriaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               29     947      15     910       5     912    1514    +    4.9e-167  553.1  21.3  -
Mesoaciditogaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               35     935      20     910       6     912    1522    +    5.8e-167  552.8  20.7  -
Marinifilaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               20     916      15     912       7     912    1450    +    3.9e-166  550.0  19.7  -
Gemmatimonadaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               80     924      66     912      45     912    1525    +    1.1e-164  545.3  19.5  -
Rhodospirillales          -          LKAP-TSAKG2_A11_095_2018_2 -                6     856      11     912       6     912    1413    +    9.8e-164  542.4  21.7  -
Blastocatellaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               48     922      21     912       7     912    1485    +      1e-163  541.9  20.6  -
Temperatibacteraceae      -          LKAP-TSAKG2_A11_095_2018_2 -                3     844      28     912      26     912    1362    +    2.4e-162  537.4  19.6  -
Aquificaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               27     929      20     910       5     912    1485    +    5.4e-161  533.2  20.5  -
Kofleriaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               34     953      13     912       4     912    1498    +    7.5e-161  532.7  20.3  -
Emcibacteraceae           -          LKAP-TSAKG2_A11_095_2018_2 -               47     896      20     912       3     912    1460    +    5.1e-160  529.9  20.7  -
Fervidobacteraceae        -          LKAP-TSAKG2_A11_095_2018_2 -               28     885      20     910       4     912    1480    +    8.8e-160  529.2  22.6  -
Syntrophorhabdaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               27     936      20     912       4     912    1482    +    1.3e-159  528.5  20.4  -
Coriobacteriaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               40     903      20     912       7     912    1462    +    4.8e-159  527.1  20.6  -
Prochlorococcaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               34     873      20     912       5     912    1465    +    4.1e-158  523.5  20.5  -
Magnetococcaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               37     902      12     912       3     912    1497    +    5.1e-158  523.2  21.4  -
Roseiarcaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               32     882       8     912       2     912    1399    +    5.3e-158  523.1  21.2  -
Akkermansiaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               28     896      21     912       9     912    1441    +      1e-157  522.4  21.2  -
Micropepsaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               39     885      15     912       3     912    1455    +    1.6e-157  521.4  20.8  -
Thermomicrobiaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               29     873      63     910      43     912    1273    +    3.5e-157  521.0  20.6  -
Iodidimonadaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               22     887      10     912       2     912    1437    +    5.7e-157  519.7  21.0  -
Pseudobacteriovoracaceae  -          LKAP-TSAKG2_A11_095_2018_2 -                2     890      23     911      22     912    1466    +    6.2e-157  519.5  20.2  -
Gemmataceae               -          LKAP-TSAKG2_A11_095_2018_2 -               41     895      21     912       7     912    1427    +    2.1e-156  517.8  20.2  -
Sphaerobacteraceae        -          LKAP-TSAKG2_A11_095_2018_2 -               47     913      20     910       5     912    1531    +    2.7e-156  517.5  21.5  -
Hydrogenothermaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               27     891      20     910       6     912    1447    +    4.1e-156  517.1  20.6  -
Parachlamydiaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               41     939      21     912       6     912    1529    +    1.5e-155  515.1  20.4  -
Chlamydiaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               51     955      21     912       6     912    1548    +    2.4e-155  514.1  19.8  -
Oligoflexaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               27     914      20     911       4     912    1458    +    4.1e-155  513.6  20.8  -
Anaeromyxobacteraceae     -          LKAP-TSAKG2_A11_095_2018_2 -               47     955      20     912       4     912    1549    +    4.3e-155  513.5  21.3  -
Sandaracinaceae           -          LKAP-TSAKG2_A11_095_2018_2 -                8     923      14     912       7     912    1506    +    6.9e-155  512.9  20.2  -
Hydrogenimonaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               28     915      20     912       5     912    1422    +    2.3e-154  511.1  19.9  -
Labilitrichaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               28     935      21     912       6     912    1483    +    3.4e-154  510.4  19.8  -
Thermosporotrichaceae     -          LKAP-TSAKG2_A11_095_2018_2 -                7     823      64     910      56     912    1317    +    9.9e-154  509.2  20.8  -
Bradymonadaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               28     913      21     912       4     912    1461    +    1.1e-153  508.6  20.1  -
Lentisphaeraceae          -          LKAP-TSAKG2_A11_095_2018_2 -               38     905      20     912       7     912    1465    +      2e-153  508.2  20.3  -
Gaiellaceae               -          LKAP-TSAKG2_A11_095_2018_2 -               42     946      17     912       4     912    1544    +    2.8e-153  507.3  20.1  -
Vulgatibacteraceae        -          LKAP-TSAKG2_A11_095_2018_2 -               27     934      20     912       4     912    1479    +      5e-151  500.1  20.4  -
Phaselicystidaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               46     950      20     912       5     912    1539    +    3.9e-150  497.2  20.0  -
Gracilibacteraceae        -          LKAP-TSAKG2_A11_095_2018_2 -              198    1033      61     912      38     912    1549    +    5.5e-150  496.4  20.4  -
Melioribacteraceae        -          LKAP-TSAKG2_A11_095_2018_2 -               43     941      16     912       3     912    1539    +    6.7e-150  496.2  20.6  -
Acanthopleuribacteraceae  -          LKAP-TSAKG2_A11_095_2018_2 -               28     911      55     912      34     912    1453    +    9.9e-150  495.7  20.0  -
Acidothermaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               38     915      16     912       3     912    1509    +    1.2e-149  495.6  21.4  -
Brachyspiraceae           -          LKAP-TSAKG2_A11_095_2018_2 -               17     885      18     912       9     912    1441    +    3.8e-149  493.8  20.4  -
Christensenellaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               37     927      21     912       4     912    1497    +    4.8e-148  490.1  20.5  -
Egicoccaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               47     921      20     912       3     912    1512    +    3.1e-147  487.5  21.2  -
Acidimicrobiales          -          LKAP-TSAKG2_A11_095_2018_2 -               29     909      20     912       4     912    1483    +    1.1e-146  485.8  20.9  -
Haloplasmataceae          -          LKAP-TSAKG2_A11_095_2018_2 -               28     909      20     912       4     912    1345    +    3.7e-146  484.0  20.9  -
Halanaerobiales           -          LKAP-TSAKG2_A11_095_2018_2 -               32     953      21     912       4     912    1500    +    6.5e-146  483.0  20.7  -
Ignavibacteriaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               68     916      65     912      42     912    1461    +    1.2e-145  482.3  19.9  -
Nitriliruptoraceae        -          LKAP-TSAKG2_A11_095_2018_2 -               36     910      20     912       3     912    1425    +    1.5e-145  481.9  21.1  -
Chloroflexaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               48     895      21     910       7     912    1473    +    2.8e-145  481.3  20.0  -
Thermogemmatisporaceae    -          LKAP-TSAKG2_A11_095_2018_2 -               27     904      20     910       5     912    1443    +    1.2e-144  479.0  21.2  -
Thermonemataceae          -          LKAP-TSAKG2_A11_095_2018_2 -                8     909      12     912       5     912    1465    +    3.1e-143  474.4  19.9  -
Aquificales               -          LKAP-TSAKG2_A11_095_2018_2 -               17     936      20     912       7     912    1450    +    6.7e-143  473.3  20.3  -
Euzebyaceae               -          LKAP-TSAKG2_A11_095_2018_2 -               23     902      17     912       4     912    1476    +    8.4e-143  472.9  21.4  -
Egibacteraceae            -          LKAP-TSAKG2_A11_095_2018_2 -               47     923      20     912       4     912    1516    +    7.2e-141  466.6  21.0  -
Spirochaetales            -          LKAP-TSAKG2_A11_095_2018_2 -               25     909      18     912       5     912    1456    +    2.3e-140  464.7  20.3  -
Isosphaeraceae            -          LKAP-TSAKG2_A11_095_2018_2 -               43     911      20     912       7     912    1475    +    2.5e-140  464.6  20.8  -
Mzabimycetaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               10     842      60     912      52     912    1357    +      1e-139  462.6  21.2  -
Longimicrobiaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               14     880      62     912      50     912    1413    +    1.3e-139  462.4  20.1  -
Catalimonadaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               17     899      22     912       8     912    1425    +    4.5e-139  460.5  20.4  -
Blastocatellales          -          LKAP-TSAKG2_A11_095_2018_2 -               47     899      20     912       3     912    1488    +    7.7e-139  459.6  21.4  -
Gloeomargaritaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               47     889      20     912       3     912    1482    +    9.3e-138  456.2  20.9  -
Schleiferiaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               36     933      12     912       3     912    1499    +    1.5e-137  455.7  20.9  -
Elusimicrobiaceae         -          LKAP-TSAKG2_A11_095_2018_2 -                7     883      21     909      16     912    1395    +    3.1e-137  454.2  19.8  -
Armatimonadaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               26     893      20     912       6     912    1438    +    6.3e-137  453.3  19.4  -
Xenococcaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               27     872      20     911       3     912    1418    +    6.9e-137  453.5  20.4  -
Spartobacteria            -          LKAP-TSAKG2_A11_095_2018_2 -               25     904      20     911       5     912    1418    +    7.5e-137  453.1  21.0  -
Mooreiaceae               -          LKAP-TSAKG2_A11_095_2018_2 -               17     900      22     912       7     912    1424    +    4.2e-136  450.7  21.1  -
Herpetosiphonaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               47     896      20     910       4     912    1475    +    1.3e-135  448.9  21.0  -
Kiritimatiellaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               46     968      19     912       4     912    1556    +    3.8e-134  444.2  20.5  -
Ichthyobacteriaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               37     939      12     912       4     912    1521    +      4e-134  444.1  20.3  -
Lentimicrobiaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               15     914      10     912       3     912    1446    +    4.9e-134  443.7  20.8  -
Trueperaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               17     879      20     912       7     912    1461    +    5.7e-133  440.2  20.3  -
Ardenticatenia            -          LKAP-TSAKG2_A11_095_2018_2 -               27     921      20     910       4     912    1453    +    7.5e-133  440.1  20.9  -
Fimbriimonadaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               31     893      19     912       4     912    1443    +      2e-132  438.5  20.0  -
Victivallaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               44     901      21     912       5     912    1456    +    2.9e-132  437.9  20.6  -
Caldisericaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               21     934      15     911       4     912    1481    +    3.8e-132  437.4  20.5  -
Roseiflexaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               47     896      20     910       4     912    1469    +    7.4e-132  437.0  20.0  -
Brevinemataceae           -          LKAP-TSAKG2_A11_095_2018_2 -               46     928      20     911       5     912    1490    +    9.6e-132  436.2  21.0  -
Chitinivibrionaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               28     934      15     912       3     912    1488    +    2.1e-131  435.1  21.0  -
