# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          A0516_LKAP-FHGF1_D07_057 -               24     963       6     938       2     938    1474    +           0 1083.8  18.5  -
Calditrichaeota           -          A0516_LKAP-FHGF1_D07_057 -               31     970       6     938       3     938    1483    +    2.1e-187  620.8  18.6  -
Woeseiaceae               -          A0516_LKAP-FHGF1_D07_057 -               33     962       6     938       3     938    1476    +      3e-187  619.9  18.4  -
Kineosporiaceae           -          A0516_LKAP-FHGF1_D07_057 -               32     936       6     938       3     938    1463    +    3.7e-187  619.9  18.7  -
Natranaerobiaceae         -          A0516_LKAP-FHGF1_D07_057 -                5     927       8     938       4     938    1429    +    4.5e-187  619.4  18.2  -
Chroococcales             -          A0516_LKAP-FHGF1_D07_057 -               37     914       7     938       3     938    1445    +    5.4e-187  619.1  17.4  -
Demequinaceae             -          A0516_LKAP-FHGF1_D07_057 -               24     933       6     938       3     938    1478    +    5.6e-187  619.2  17.6  -
Listeriaceae              -          A0516_LKAP-FHGF1_D07_057 -               12     949       7     938       3     938    1448    +    6.6e-187  619.1  17.9  -
Geodermatophilaceae       -          A0516_LKAP-FHGF1_D07_057 -               37     945       6     938       3     938    1479    +    1.8e-186  617.5  18.6  -
Cellulomonadaceae         -          A0516_LKAP-FHGF1_D07_057 -               28     938       6     938       3     938    1465    +    2.2e-186  617.3  18.0  -
Micromonosporaceae        -          A0516_LKAP-FHGF1_D07_057 -               38     944       6     938       3     938    1482    +    3.9e-186  616.4  18.6  -
Conexibacteraceae         -          A0516_LKAP-FHGF1_D07_057 -               46     978       8     938       4     938    1536    +    5.5e-186  615.6  18.7  -
Puniceicoccaceae          -          A0516_LKAP-FHGF1_D07_057 -               35     967       7     938       3     938    1485    +    7.9e-186  615.3  17.9  -
Nannocystaceae            -          A0516_LKAP-FHGF1_D07_057 -               38     960       6     938       3     938    1487    +    9.7e-186  615.1  18.1  -
Caldicoprobacteraceae     -          A0516_LKAP-FHGF1_D07_057 -               40     962       6     938       3     938    1530    +    1.4e-185  614.4  18.4  -
Dermacoccaceae            -          A0516_LKAP-FHGF1_D07_057 -               21     931       6     938       2     938    1456    +    4.8e-185  612.7  18.1  -
Ventosimonadaceae         -          A0516_LKAP-FHGF1_D07_057 -               51     980       6     938       2     938    1489    +    5.9e-185  612.2  18.4  -
Bernardetiaceae           -          A0516_LKAP-FHGF1_D07_057 -               24     945       6     938       3     938    1481    +    8.5e-185  611.9  18.1  -
Enterococcaceae           -          A0516_LKAP-FHGF1_D07_057 -               24     971       6     938       3     938    1498    +      1e-184  611.7  18.2  -
Cytophagaceae             -          A0516_LKAP-FHGF1_D07_057 -               26     937       6     938       3     938    1437    +    2.1e-184  610.7  18.6  -
Stigonematales            -          A0516_LKAP-FHGF1_D07_057 -               44     922       6     938       3     938    1450    +    3.2e-184  610.2  17.2  -
Thermodesulfobiaceae      -          A0516_LKAP-FHGF1_D07_057 -               40     953       6     938       4     938    1520    +    4.8e-184  609.4  18.3  -
Balneolaceae              -          A0516_LKAP-FHGF1_D07_057 -               24     947       6     938       3     938    1459    +    6.4e-184  609.0  18.1  -
Segniliparaceae           -          A0516_LKAP-FHGF1_D07_057 -               28     930       6     938       3     938    1462    +    1.7e-183  607.8  18.8  -
Frankiaceae               -          A0516_LKAP-FHGF1_D07_057 -               45     942       6     938       3     938    1499    +    1.9e-183  607.7  18.2  -
Algiphilaceae             -          A0516_LKAP-FHGF1_D07_057 -               44     966       6     938       2     938    1501    +    2.7e-183  606.6  18.3  -
Acidobacteriaceae         -          A0516_LKAP-FHGF1_D07_057 -               44     931       6     938       3     938    1462    +    3.7e-183  606.5  17.7  -
Peptoniphilaceae          -          A0516_LKAP-FHGF1_D07_057 -                1     914       7     938       7     938    1437    +    8.4e-183  605.6  18.0  -
Desulfurellaceae          -          A0516_LKAP-FHGF1_D07_057 -               30     972       6     938       3     938    1529    +    1.9e-182  604.0  18.3  -
Hymenobacteraceae         -          A0516_LKAP-FHGF1_D07_057 -               24     934       6     938       2     938    1445    +    2.1e-182  604.1  18.9  -
Chrysiogenaceae           -          A0516_LKAP-FHGF1_D07_057 -               44     951       6     938       3     938    1513    +    2.3e-182  603.9  18.1  -
Caldilineaceae            -          A0516_LKAP-FHGF1_D07_057 -               31     934       6     938       3     938    1434    +    2.9e-182  603.6  18.9  -
Jiangellaceae             -          A0516_LKAP-FHGF1_D07_057 -               29     935       5     938       3     938    1497    +    4.4e-182  602.9  18.9  -
Catenulisporaceae         -          A0516_LKAP-FHGF1_D07_057 -               24     928       6     938       3     938    1460    +    6.8e-182  602.3  18.6  -
Thermaceae                -          A0516_LKAP-FHGF1_D07_057 -               36     934       8     938       4     938    1477    +    1.5e-181  601.3  18.9  -
Sanguibacteraceae         -          A0516_LKAP-FHGF1_D07_057 -               41     950       6     938       3     938    1483    +    1.9e-181  600.8  17.9  -
Symbiobacteriaceae        -          A0516_LKAP-FHGF1_D07_057 -               23     959      12     938       3     938    1468    +    2.1e-181  601.0  18.8  -
Porphyromonadaceae        -          A0516_LKAP-FHGF1_D07_057 -               32     957       6     938       3     938    1473    +    2.7e-181  600.4  18.3  -
Bogoriellaceae            -          A0516_LKAP-FHGF1_D07_057 -               24     938       6     938       3     938    1470    +    2.8e-181  600.3  17.9  -
Promicromonosporaceae     -          A0516_LKAP-FHGF1_D07_057 -               24     930       6     938       3     938    1462    +    4.6e-181  599.6  18.3  -
Opitutaceae               -          A0516_LKAP-FHGF1_D07_057 -               26     971       8     938       3     938    1482    +      5e-181  599.4  18.2  -
Nostocales                -          A0516_LKAP-FHGF1_D07_057 -               24     898       6     938       3     938    1457    +    5.3e-181  599.5  17.1  -
Rubritaleaceae            -          A0516_LKAP-FHGF1_D07_057 -               32     954       7     938       3     938    1459    +    1.6e-180  597.7  17.8  -
Dietziaceae               -          A0516_LKAP-FHGF1_D07_057 -               15     918       6     938       3     938    1452    +    1.7e-180  597.7  18.7  -
Thermomonosporaceae       -          A0516_LKAP-FHGF1_D07_057 -               24     929       6     938       3     938    1464    +    1.8e-180  597.6  18.5  -
Gemmatimonadaceae         -          A0516_LKAP-FHGF1_D07_057 -               80     954      58     938      48     938    1525    +    1.1e-179  595.1  18.7  -
Cryptosporangiaceae       -          A0516_LKAP-FHGF1_D07_057 -               24     926       6     938       3     938    1470    +    1.2e-179  594.9  18.4  -
Anaerolineaceae           -          A0516_LKAP-FHGF1_D07_057 -               25     929       7     938       4     938    1430    +    2.1e-179  594.6  18.6  -
Thermodesulfobacteriaceae -          A0516_LKAP-FHGF1_D07_057 -               24     962       6     938       3     938    1497    +    2.2e-179  594.2  18.8  -
Frankiales                -          A0516_LKAP-FHGF1_D07_057 -               31     936       6     938       3     938    1425    +    5.9e-179  592.7  18.7  -
Dermatophilaceae          -          A0516_LKAP-FHGF1_D07_057 -               29     936       6     938       3     938    1480    +    8.3e-179  592.1  18.1  -
Planctomycetaceae         -          A0516_LKAP-FHGF1_D07_057 -               37     947       9     938       4     938    1486    +    1.2e-178  591.8  18.7  -
Glycomycetaceae           -          A0516_LKAP-FHGF1_D07_057 -               31     948       6     938       3     938    1495    +    1.3e-178  591.6  19.0  -
Pyrinomonadaceae          -          A0516_LKAP-FHGF1_D07_057 -               46     990       8     938       3     938    1526    +    2.1e-178  590.6  18.6  -
Bryobacteraceae           -          A0516_LKAP-FHGF1_D07_057 -               43     929       6     938       3     938    1417    +    2.1e-178  590.9  18.1  -
Defluviitaleaceae         -          A0516_LKAP-FHGF1_D07_057 -               14     922       5     938       2     938    1413    +    2.4e-178  590.6  18.1  -
Lysobacteriales           -          A0516_LKAP-FHGF1_D07_057 -               52     977       6     938       3     938    1508    +    8.8e-178  588.7  18.4  -
Phormidiaceae             -          A0516_LKAP-FHGF1_D07_057 -               44     921       6     938       2     938    1483    +    1.7e-177  588.1  18.2  -
Dermabacteraceae          -          A0516_LKAP-FHGF1_D07_057 -               33     942       6     938       3     938    1470    +    3.1e-177  586.7  17.9  -
Rikenellaceae             -          A0516_LKAP-FHGF1_D07_057 -               32     957       6     938       3     938    1456    +      1e-176  585.1  17.7  -
Prolixibacteraceae        -          A0516_LKAP-FHGF1_D07_057 -               24     942       6     938       3     938    1444    +    1.5e-176  584.6  18.6  -
Persicobacteraceae        -          A0516_LKAP-FHGF1_D07_057 -               24     943       6     938       3     938    1448    +    5.9e-176  582.7  18.4  -
Beutenbergiaceae          -          A0516_LKAP-FHGF1_D07_057 -               23     933       5     938       3     938    1472    +    6.2e-176  582.6  18.1  -
Rubricoccaceae            -          A0516_LKAP-FHGF1_D07_057 -               29     952       6     938       3     938    1452    +    6.6e-176  582.5  17.9  -
Streptosporangiaceae      -          A0516_LKAP-FHGF1_D07_057 -               24     925       6     938       3     938    1464    +    8.4e-176  582.0  18.5  -
Ruaniaceae                -          A0516_LKAP-FHGF1_D07_057 -               48     965       6     938       3     938    1531    +    9.4e-176  581.8  18.1  -
Mariprofundaceae          -          A0516_LKAP-FHGF1_D07_057 -               44     968       6     938       3     938    1528    +    1.1e-175  581.6  18.1  -
Crocinitomicaceae         -          A0516_LKAP-FHGF1_D07_057 -               24     950       5     938       1     938    1466    +      2e-175  580.7  18.1  -
Desulfurobacteriaceae     -          A0516_LKAP-FHGF1_D07_057 -               24     976       6     938       3     938    1497    +    2.2e-175  581.2  18.6  -
Bifidobacteriaceae        -          A0516_LKAP-FHGF1_D07_057 -               38     950       6     938       3     938    1469    +    2.3e-175  580.8  18.1  -
Sporichthyaceae           -          A0516_LKAP-FHGF1_D07_057 -               23     928       5     938       3     938    1472    +    2.7e-175  580.6  18.5  -
Actinomycetales           -          A0516_LKAP-FHGF1_D07_057 -               44     966       6     938       3     938    1535    +    3.2e-175  580.2  19.0  -
Atopobacteriaceae         -          A0516_LKAP-FHGF1_D07_057 -               28     934       6     938       3     938    1442    +    1.2e-174  578.5  18.4  -
Leptotrichiaceae          -          A0516_LKAP-FHGF1_D07_057 -               44     949       6     938       3     938    1492    +    1.3e-174  578.2  17.6  -
Sterolibacteriaceae       -          A0516_LKAP-FHGF1_D07_057 -               38     971       5     938       2     938    1531    +    1.6e-174  577.9  18.4  -
Spiroplasmataceae         -          A0516_LKAP-FHGF1_D07_057 -               49     960       8     938       4     938    1516    +    1.9e-174  578.0  18.5  -
Micrococcales             -          A0516_LKAP-FHGF1_D07_057 -               24     931       6     938       3     938    1475    +    5.2e-174  576.3  18.2  -
Jonesiaceae               -          A0516_LKAP-FHGF1_D07_057 -               43     970       6     938       3     938    1514    +    5.4e-174  576.3  18.1  -
Chlorobiaceae             -          A0516_LKAP-FHGF1_D07_057 -               87     954      60     938      39     938    1455    +    7.8e-174  575.7  18.7  -
Chlamydiaceae             -          A0516_LKAP-FHGF1_D07_057 -               51     985      10     938       6     938    1548    +    1.8e-173  574.3  18.6  -
Iamiaceae                 -          A0516_LKAP-FHGF1_D07_057 -               66     937      49     938      24     938    1480    +    4.3e-173  573.4  18.0  -
Rarobacteraceae           -          A0516_LKAP-FHGF1_D07_057 -               13     919       6     938       3     938    1464    +    8.7e-173  572.0  18.3  -
Marinilabiliaceae         -          A0516_LKAP-FHGF1_D07_057 -               23     945       5     938       2     938    1447    +    8.9e-173  571.9  18.4  -
Anaeroplasmataceae        -          A0516_LKAP-FHGF1_D07_057 -               52     949       7     938       4     938    1453    +    3.1e-172  570.4  18.5  -
Nocardiopsaceae           -          A0516_LKAP-FHGF1_D07_057 -               24     942       6     938       3     938    1475    +      4e-172  570.1  18.3  -
Gallionellaceae           -          A0516_LKAP-FHGF1_D07_057 -               40     965       5     938       2     938    1385    +    8.1e-172  569.0  18.2  -
Cryomorphaceae            -          A0516_LKAP-FHGF1_D07_057 -               30     952       6     938       3     938    1454    +    8.5e-172  569.0  18.0  -
Oscillospiraceae          -          A0516_LKAP-FHGF1_D07_057 -               24     944       6     938       2     938    1453    +    1.1e-171  568.1  17.7  -
Betaproteobacteria        -          A0516_LKAP-FHGF1_D07_057 -               15     927      15     938       4     938    1454    +    1.3e-171  568.2  18.5  -
Actinopolysporaceae       -          A0516_LKAP-FHGF1_D07_057 -               25     948       6     938       2     938    1480    +    2.1e-171  567.5  18.3  -
Prochlorococcaceae        -          A0516_LKAP-FHGF1_D07_057 -               61     903      57     938      35     938    1465    +    7.2e-171  565.9  18.1  -
Chitinophagaceae          -          A0516_LKAP-FHGF1_D07_057 -               25     947       6     938       2     938    1458    +      1e-170  565.6  18.2  -
Sphingobacteriaceae       -          A0516_LKAP-FHGF1_D07_057 -               24     943       6     938       2     938    1450    +    1.7e-170  564.5  18.1  -
Parachlamydiaceae         -          A0516_LKAP-FHGF1_D07_057 -               73     969      57     938      36     938    1529    +    3.9e-170  563.4  19.0  -
Lewinellaceae             -          A0516_LKAP-FHGF1_D07_057 -               24     941       6     938       3     938    1446    +    1.2e-169  561.8  18.5  -
Streptosporangineae       -          A0516_LKAP-FHGF1_D07_057 -                3     901       7     938       5     938    1443    +    2.9e-169  560.4  18.4  -
Actinospicaceae           -          A0516_LKAP-FHGF1_D07_057 -                6     906      11     938       6     938    1425    +    3.2e-169  560.3  18.6  -
Cyclobacteriaceae         -          A0516_LKAP-FHGF1_D07_057 -               24     944       6     938       3     938    1447    +    6.5e-169  559.4  18.0  -
Dehalococcoidaceae        -          A0516_LKAP-FHGF1_D07_057 -               59     919      56     938      29     938    1437    +    1.2e-168  558.9  18.2  -
Cytophagales              -          A0516_LKAP-FHGF1_D07_057 -               26     942       8     938       3     938    1444    +    1.5e-168  558.2  18.1  -
Kofleriaceae              -          A0516_LKAP-FHGF1_D07_057 -               40     982       6     937       3     938    1498    +    1.8e-168  557.9  18.6  -
Eggerthellaceae           -          A0516_LKAP-FHGF1_D07_057 -               31     930       6     938       3     938    1449    +    4.2e-168  556.8  18.4  -
Pseudobacteriovoracaceae  -          A0516_LKAP-FHGF1_D07_057 -               34     920      53     937      32     938    1466    +    7.7e-168  555.6  18.8  -
Haliscomenobacteraceae    -          A0516_LKAP-FHGF1_D07_057 -               44     964       6     938       3     938    1485    +      3e-166  550.9  18.2  -
Aquificaceae              -          A0516_LKAP-FHGF1_D07_057 -               24     961       6     938       3     938    1485    +    7.2e-166  549.4  18.6  -
Deinococcaceae            -          A0516_LKAP-FHGF1_D07_057 -               43     927      37     938      14     938    1455    +    9.2e-166  548.8  18.5  -
Mesoaciditogaceae         -          A0516_LKAP-FHGF1_D07_057 -               32     967       6     938       3     938    1522    +    1.3e-165  548.4  18.6  -
Iodidimonadaceae          -          A0516_LKAP-FHGF1_D07_057 -               42     916      31     937      10     938    1437    +    1.8e-165  547.9  17.7  -
Saprospiraceae            -          A0516_LKAP-FHGF1_D07_057 -               35     954       6     938       3     938    1430    +    2.9e-164  544.4  18.1  -
Marinifilaceae            -          A0516_LKAP-FHGF1_D07_057 -               24     946       6     938       3     938    1450    +    2.9e-164  543.8  17.5  -
Petrotogaceae             -          A0516_LKAP-FHGF1_D07_057 -               39     948       6     938       3     938    1488    +    3.7e-164  543.9  18.9  -
Magnetococcaceae          -          A0516_LKAP-FHGF1_D07_057 -               44     932       6     938       2     938    1497    +    8.4e-164  542.4  18.1  -
Acholeplasmataceae        -          A0516_LKAP-FHGF1_D07_057 -               18     932       8     938       4     938    1437    +    1.5e-163  541.4  18.3  -
Thermotogaceae            -          A0516_LKAP-FHGF1_D07_057 -               42     971       6     937       3     938    1545    +    1.6e-163  541.5  19.3  -
Fibrobacteraceae          -          A0516_LKAP-FHGF1_D07_057 -               22     926       5     938       3     938    1412    +      7e-163  539.6  19.2  -
Bacteroidales             -          A0516_LKAP-FHGF1_D07_057 -               46     966       6     938       3     938    1485    +    2.3e-162  537.3  18.2  -
Entomoplasmataceae        -          A0516_LKAP-FHGF1_D07_057 -               33     948       8     938       4     938    1497    +      4e-162  537.0  18.6  -
Prevotellaceae            -          A0516_LKAP-FHGF1_D07_057 -               25     954       6     938       2     938    1464    +    7.9e-161  532.3  18.0  -
Bradymonadaceae           -          A0516_LKAP-FHGF1_D07_057 -               69     943      57     938      36     938    1461    +    1.4e-160  531.4  18.9  -
Kosmotogaceae             -          A0516_LKAP-FHGF1_D07_057 -               32     949       6     937       3     938    1488    +    1.9e-160  531.5  19.0  -
Rhodospirillales          -          A0516_LKAP-FHGF1_D07_057 -               41     885      54     937      32     938    1413    +    1.6e-159  528.5  18.8  -
Hydrogenothermaceae       -          A0516_LKAP-FHGF1_D07_057 -               24     923       6     938       3     938    1447    +    5.3e-159  526.7  17.3  -
Thermosporotrichaceae     -          A0516_LKAP-FHGF1_D07_057 -                7     855      56     938      48     938    1317    +    1.5e-158  525.2  19.5  -
Sandaracinaceae           -          A0516_LKAP-FHGF1_D07_057 -               54     952      57     937      35     938    1506    +    1.6e-158  525.0  18.8  -
Microscillaceae           -          A0516_LKAP-FHGF1_D07_057 -               53     929      54     938      31     938    1461    +    5.3e-158  523.1  18.3  -
Rhodothalassiaceae        -          A0516_LKAP-FHGF1_D07_057 -               48     889      53     937      30     938    1318    +    5.4e-157  520.0  18.2  -
Temperatibacteraceae      -          A0516_LKAP-FHGF1_D07_057 -               33     873      55     937      34     938    1362    +    5.5e-157  519.8  18.0  -
Akkermansiaceae           -          A0516_LKAP-FHGF1_D07_057 -               26     926       8     938       4     938    1441    +    6.8e-157  519.7  17.7  -
Roseiarcaceae             -          A0516_LKAP-FHGF1_D07_057 -               70     911      54     937      32     938    1399    +    1.2e-156  518.7  18.3  -
Acanthopleuribacteraceae  -          A0516_LKAP-FHGF1_D07_057 -               30     940      49     937      30     938    1453    +    1.7e-156  518.1  18.9  -
Gemmataceae               -          A0516_LKAP-FHGF1_D07_057 -               79     925      57     938      37     938    1427    +    4.8e-156  516.7  17.6  -
Lentisphaeraceae          -          A0516_LKAP-FHGF1_D07_057 -               59     935      39     938      16     938    1465    +    5.5e-156  516.7  18.2  -
Blastocatellaceae         -          A0516_LKAP-FHGF1_D07_057 -               46     952       8     938       3     938    1485    +    8.4e-156  515.7  18.6  -
Coriobacteriaceae         -          A0516_LKAP-FHGF1_D07_057 -               37     933       6     938       3     938    1462    +    2.4e-155  514.9  17.9  -
Odoribacteraceae          -          A0516_LKAP-FHGF1_D07_057 -               43     965       5     938       2     938    1486    +    2.7e-155  514.1  18.0  -
Dictyoglomaceae           -          A0516_LKAP-FHGF1_D07_057 -               49     974       9     938       4     938    1541    +    7.2e-154  509.4  18.5  -
Labilitrichaceae          -          A0516_LKAP-FHGF1_D07_057 -               64     965      56     938      33     938    1483    +    1.6e-153  508.2  18.7  -
Vulgatibacteraceae        -          A0516_LKAP-FHGF1_D07_057 -               60     963      53     937      25     938    1479    +    2.3e-153  507.9  18.6  -
Emcibacteraceae           -          A0516_LKAP-FHGF1_D07_057 -               44     926       6     938       3     938    1460    +    3.1e-153  507.5  17.6  -
Oligoflexaceae            -          A0516_LKAP-FHGF1_D07_057 -               59     944      51     937      21     938    1458    +    8.1e-153  506.0  18.7  -
Anaeromyxobacteraceae     -          A0516_LKAP-FHGF1_D07_057 -               44     984       6     937       3     938    1549    +    9.6e-153  505.8  18.8  -
Phaselicystidaceae        -          A0516_LKAP-FHGF1_D07_057 -               43     979       6     937       3     938    1539    +      1e-152  505.7  18.3  -
Sphaerobacteraceae        -          A0516_LKAP-FHGF1_D07_057 -               84     945      58     938      35     938    1531    +    1.1e-152  505.5  19.4  -
Fervidobacteriaceae       -          A0516_LKAP-FHGF1_D07_057 -               31     977       5     936       3     938    1514    +    5.3e-152  503.3  18.9  -
Thermomicrobiaceae        -          A0516_LKAP-FHGF1_D07_057 -               26     905      52     938      34     938    1273    +    5.7e-152  503.8  19.3  -
Gaiellaceae               -          A0516_LKAP-FHGF1_D07_057 -               44     976       6     938       3     938    1544    +    2.5e-151  500.9  18.5  -
Syntrophorhabdaceae       -          A0516_LKAP-FHGF1_D07_057 -               24     966       6     938       3     938    1482    +    4.4e-151  500.2  18.5  -
Gracilibacteraceae        -          A0516_LKAP-FHGF1_D07_057 -              184    1063      40     938      18     938    1549    +    2.6e-150  497.5  18.4  -
Hydrogenimonaceae         -          A0516_LKAP-FHGF1_D07_057 -               25     945       6     938       3     938    1422    +    7.1e-149  493.0  17.8  -
Micropepsaceae            -          A0516_LKAP-FHGF1_D07_057 -               72     914      56     937      35     938    1455    +    8.3e-149  492.7  18.4  -
Egicoccaceae              -          A0516_LKAP-FHGF1_D07_057 -               44     951       6     938       3     938    1512    +    1.3e-148  492.0  18.6  -
Nitriliruptoraceae        -          A0516_LKAP-FHGF1_D07_057 -               34     940       7     938       3     938    1425    +    3.1e-148  490.8  18.0  -
Christensenellaceae       -          A0516_LKAP-FHGF1_D07_057 -               88     957      49     938      24     938    1497    +    3.2e-148  490.7  18.3  -
Acidothermaceae           -          A0516_LKAP-FHGF1_D07_057 -               41     945       6     938       3     938    1509    +    1.4e-147  488.8  18.6  -
Halanaerobiales           -          A0516_LKAP-FHGF1_D07_057 -               78     983      45     938      23     938    1500    +      2e-146  484.7  18.6  -
Longimicrobiaceae         -          A0516_LKAP-FHGF1_D07_057 -               13     910      53     938      41     938    1413    +    9.3e-146  482.8  19.0  -
Egibacteraceae            -          A0516_LKAP-FHGF1_D07_057 -               44     953       6     938       3     938    1516    +    1.7e-145  482.0  18.3  -
Fervidobacteraceae        -          A0516_LKAP-FHGF1_D07_057 -               25     904       6     925       3     938    1480    +    2.2e-145  481.5  18.8  -
Euzebyaceae               -          A0516_LKAP-FHGF1_D07_057 -               24     932       6     938       3     938    1476    +    1.3e-144  478.9  18.7  -
Gloeomargaritaceae        -          A0516_LKAP-FHGF1_D07_057 -               72     919      53     938      31     938    1482    +    1.4e-144  478.8  17.6  -
Isosphaeraceae            -          A0516_LKAP-FHGF1_D07_057 -               68     941      55     938      34     938    1475    +    2.6e-144  477.8  18.5  -
Xenococcaceae             -          A0516_LKAP-FHGF1_D07_057 -               25     903       7     938       3     938    1418    +      5e-144  477.1  17.7  -
Victivallaceae            -          A0516_LKAP-FHGF1_D07_057 -               72     931      56     938      35     938    1456    +    9.6e-142  469.3  18.3  -
Ignavibacteriaceae        -          A0516_LKAP-FHGF1_D07_057 -               68     946      57     938      36     938    1461    +    1.9e-140  465.0  18.8  -
Acidimicrobiales          -          A0516_LKAP-FHGF1_D07_057 -               71     939      51     938      30     938    1483    +    2.3e-140  465.0  18.6  -
Thermogemmatisporaceae    -          A0516_LKAP-FHGF1_D07_057 -               61     936      56     938      36     938    1443    +    3.1e-140  464.4  19.0  -
Aquificales               -          A0516_LKAP-FHGF1_D07_057 -               14     965       6     937       2     938    1450    +      1e-139  462.8  18.3  -
Brachyspiraceae           -          A0516_LKAP-FHGF1_D07_057 -               20     915      10     938       4     938    1441    +      1e-139  462.5  18.2  -
Melioribacteraceae        -          A0516_LKAP-FHGF1_D07_057 -               46     971       6     938       3     938    1539    +    2.4e-138  458.0  18.2  -
Haloplasmataceae          -          A0516_LKAP-FHGF1_D07_057 -               55     939      55     938      34     938    1345    +    3.2e-138  457.8  19.0  -
Chloroflexaceae           -          A0516_LKAP-FHGF1_D07_057 -               81     927      57     938      36     938    1473    +    1.1e-137  456.2  18.1  -
Mooreiaceae               -          A0516_LKAP-FHGF1_D07_057 -               13     929       7     937       1     938    1424    +    1.2e-137  455.8  18.9  -
Caldisericaceae           -          A0516_LKAP-FHGF1_D07_057 -               23     964       5     937       2     938    1481    +    3.1e-137  454.3  18.3  -
Prochlorotrichaceae       -          A0516_LKAP-FHGF1_D07_057 -               43     885      57     938      36     938    1448    +    7.4e-137  453.1  18.2  -
Elusimicrobiaceae         -          A0516_LKAP-FHGF1_D07_057 -                3     916       6     938       4     938    1395    +    4.2e-136  450.6  17.7  -
Ardenticatenia            -          A0516_LKAP-FHGF1_D07_057 -               24     953       6     938       3     938    1453    +    5.5e-134  443.8  18.3  -
Mzabimycetaceae           -          A0516_LKAP-FHGF1_D07_057 -               10     872      52     938      45     938    1357    +      6e-134  443.6  19.4  -
Catalimonadaceae          -          A0516_LKAP-FHGF1_D07_057 -               15     928       9     937       3     938    1425    +    6.9e-134  443.4  18.6  -
Verrucomicrobiales        -          A0516_LKAP-FHGF1_D07_057 -               43     940      57     938      36     938    1410    +    1.6e-132  439.2  18.6  -
Blastocatellales          -          A0516_LKAP-FHGF1_D07_057 -               45     929       7     938       3     938    1488    +      2e-132  438.4  18.2  -
Armatimonadaceae          -          A0516_LKAP-FHGF1_D07_057 -               62     907      56     922      33     938    1438    +    3.8e-132  437.5  18.5  -
Trueperaceae              -          A0516_LKAP-FHGF1_D07_057 -               16     909       8     938       3     938    1461    +    6.7e-132  436.7  17.5  -
Herpetosiphonaceae        -          A0516_LKAP-FHGF1_D07_057 -               55     928      31     938      11     938    1475    +    8.5e-132  436.3  17.6  -
Kiritimatiellaceae        -          A0516_LKAP-FHGF1_D07_057 -               47     998       9     938       3     938    1556    +    2.7e-131  434.8  18.3  -
Chitinivibrionaceae       -          A0516_LKAP-FHGF1_D07_057 -               33     964       7     938       3     938    1488    +    9.7e-130  429.6  18.4  -
Thermoflexaceae           -          A0516_LKAP-FHGF1_D07_057 -               16     933      11     937       3     938    1466    +      6e-129  427.3  18.4  -
Oligosphaeraceae          -          A0516_LKAP-FHGF1_D07_057 -               60     921      57     938      36     938    1434    +    4.3e-128  424.1  18.4  -
Ichthyobacteriaceae       -          A0516_LKAP-FHGF1_D07_057 -               44     965       6     934       2     938    1521    +    5.7e-128  423.8  18.2  -
Spartobacteria            -          A0516_LKAP-FHGF1_D07_057 -               24     935       8     938       3     938    1418    +    1.7e-127  422.2  18.0  -
Lentimicrobiaceae         -          A0516_LKAP-FHGF1_D07_057 -               27     943       9     937       3     938    1446    +    3.5e-127  421.0  18.3  -
Thermonemataceae          -          A0516_LKAP-FHGF1_D07_057 -               16     934       7     933       3     938    1465    +    9.5e-127  419.9  18.8  -
Brevinemataceae           -          A0516_LKAP-FHGF1_D07_057 -               46     958       9     937       3     938    1490    +    9.9e-127  419.7  18.4  -
Ktedonobacteraceae        -          A0516_LKAP-FHGF1_D07_057 -               42     902      45     938      14     938    1386    +    1.1e-126  419.6  18.6  -
Spirochaetales            -          A0516_LKAP-FHGF1_D07_057 -               69     939      44     938      21     938    1456    +    1.2e-126  419.3  18.0  -
Filobacteriaceae          -          A0516_LKAP-FHGF1_D07_057 -               43     963       6     937       3     938    1521    +    3.8e-125  414.3  18.2  -
Waddliaceae               -          A0516_LKAP-FHGF1_D07_057 -               68     994      35     938      15     938    1557    +    5.7e-125  414.0  18.4  -
Soortiaceae               -          A0516_LKAP-FHGF1_D07_057 -               84     979      51     938      22     938    1516    +    7.4e-125  413.4  18.4  -
Simkaniaceae              -          A0516_LKAP-FHGF1_D07_057 -               83     983      56     938      35     938    1545    +    3.2e-124  411.4  18.3  -
Schleiferiaceae           -          A0516_LKAP-FHGF1_D07_057 -               43     962       6     937       2     938    1499    +    8.7e-124  410.1  18.4  -
Fimbriimonadaceae         -          A0516_LKAP-FHGF1_D07_057 -               63     922      57     937      36     938    1443    +    2.6e-123  408.3  18.4  -
Balneicellaceae           -          A0516_LKAP-FHGF1_D07_057 -               28     955       6     937       2     938    1505    +    5.9e-123  407.1  17.7  -
Roseiflexaceae            -          A0516_LKAP-FHGF1_D07_057 -               78     928      55     938      34     938    1469    +    1.9e-122  405.9  18.3  -
Chthonomonadaceae         -          A0516_LKAP-FHGF1_D07_057 -                6     894      14     919      10     937    1411    +    2.2e-118  392.2  18.8  -
Phycisphaeraceae          -          A0516_LKAP-FHGF1_D07_057 -               60     920      53     938      26     938    1461    +    1.4e-111  369.8  17.8  -
