# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP.g-Gut1_A10_080.seq -               27     976       6     957       2     958    1474    +           0 1110.4  20.0  -
Geodermatophilaceae       -          LKAP.g-Gut1_A10_080.seq -               72     958      53     957      31     958    1479    +    1.3e-183  608.1  19.9  -
Immundisolibacteraceae    -          LKAP.g-Gut1_A10_080.seq -               96     995      54     957      33     958    1555    +    2.5e-183  606.9  19.4  -
Sporomusaceae             -          LKAP.g-Gut1_A10_080.seq -               82     994      59     955      36     957    1535    +    2.7e-183  606.7  19.7  -
Kineosporiaceae           -          LKAP.g-Gut1_A10_080.seq -               36     948       7     956       3     958    1463    +    3.8e-183  606.7  20.0  -
Listeriaceae              -          LKAP.g-Gut1_A10_080.seq -               58     962      60     957      39     958    1448    +    6.2e-183  606.0  19.1  -
Puniceicoccaceae          -          LKAP.g-Gut1_A10_080.seq -               38     980       7     957       4     958    1485    +    9.1e-183  605.2  19.5  -
Acidaminococcaceae        -          LKAP.g-Gut1_A10_080.seq -               73     983      61     955      39     957    1504    +    9.4e-183  604.8  19.3  -
Balneolaceae              -          LKAP.g-Gut1_A10_080.seq -               69     954      60     951      39     955    1459    +    2.7e-182  603.7  19.8  -
Tsukamurellaceae          -          LKAP.g-Gut1_A10_080.seq -               82     954      58     950      16     957    1495    +      3e-182  603.6  20.4  -
Thermodesulfobiaceae      -          LKAP.g-Gut1_A10_080.seq -               43     958       6     949       3     952    1520    +    3.2e-182  603.4  21.7  -
Thermaceae                -          LKAP.g-Gut1_A10_080.seq -               38     945       7     955       4     957    1477    +    4.3e-182  603.2  20.8  -
Corynebacterineae         -          LKAP.g-Gut1_A10_080.seq -               28     935       7     951       3     957    1473    +      5e-182  602.9  20.7  -
Caldilineaceae            -          LKAP.g-Gut1_A10_080.seq -               36     941       8     951       3     957    1434    +    1.3e-181  601.5  21.4  -
Frankiaceae               -          LKAP.g-Gut1_A10_080.seq -               71     953      53     955      33     957    1499    +    1.5e-181  601.4  20.5  -
Chrysiogenaceae           -          LKAP.g-Gut1_A10_080.seq -               75     964      61     957      38     958    1513    +    1.6e-181  601.2  18.8  -
Ventosimonadaceae         -          LKAP.g-Gut1_A10_080.seq -               84     992      48     956      27     958    1489    +    2.2e-181  600.4  19.5  -
Jiangellaceae             -          LKAP.g-Gut1_A10_080.seq -               33     941       6     950       2     957    1497    +    3.1e-181  600.1  20.6  -
Algiphilaceae             -          LKAP.g-Gut1_A10_080.seq -               53     978      11     956       3     958    1501    +    4.3e-181  599.4  20.2  -
Thermomonosporaceae       -          LKAP.g-Gut1_A10_080.seq -               27     941       6     956       3     958    1464    +    1.2e-180  598.2  20.6  -
Peptoniphilaceae          -          LKAP.g-Gut1_A10_080.seq -                4     925       7     955       5     957    1437    +    1.2e-180  598.4  20.6  -
Cytophagaceae             -          LKAP.g-Gut1_A10_080.seq -               59     944      58     951      38     957    1437    +    1.2e-180  598.2  19.4  -
Desulfurellaceae          -          LKAP.g-Gut1_A10_080.seq -               69     983      57     955      35     957    1529    +    1.8e-180  597.5  19.3  -
Cellulomonadaceae         -          LKAP.g-Gut1_A10_080.seq -               74     951      61     957      40     958    1465    +      2e-180  597.6  19.5  -
Demequinaceae             -          LKAP.g-Gut1_A10_080.seq -               70     946      61     957      38     958    1478    +    4.6e-180  596.3  19.4  -
Segniliparaceae           -          LKAP.g-Gut1_A10_080.seq -               53     936      36     950      13     957    1462    +    8.3e-180  595.6  20.6  -
Dermacoccaceae            -          LKAP.g-Gut1_A10_080.seq -               66     944      60     957      40     958    1456    +    2.6e-179  593.7  19.5  -
Acidobacteriaceae         -          LKAP.g-Gut1_A10_080.seq -               81     937      55     950      33     957    1462    +    1.1e-178  591.7  19.2  -
Dietziaceae               -          LKAP.g-Gut1_A10_080.seq -               22     931      10     957       3     958    1452    +    1.4e-178  591.4  20.6  -
Stigonematales            -          LKAP.g-Gut1_A10_080.seq -               76     927      59     949      37     957    1450    +    1.7e-178  591.3  18.6  -
Cryptosporangiaceae       -          LKAP.g-Gut1_A10_080.seq -               27     939       6     957       3     958    1470    +    2.2e-178  590.8  20.4  -
Caldicoprobacteraceae     -          LKAP.g-Gut1_A10_080.seq -               50     967      12     949       3     957    1530    +    2.8e-178  590.3  21.0  -
Symbiobacteriaceae        -          LKAP.g-Gut1_A10_080.seq -               20     964       6     949       1     957    1468    +    4.9e-178  589.9  20.9  -
Thermodesulfobacteriaceae -          LKAP.g-Gut1_A10_080.seq -               65     968      61     950      35     957    1497    +    6.3e-178  589.4  19.7  -
Hymenobacteraceae         -          LKAP.g-Gut1_A10_080.seq -               56     943      57     953      32     957    1445    +    1.1e-177  588.5  18.9  -
Anaerolineaceae           -          LKAP.g-Gut1_A10_080.seq -               64     935      59     950      35     957    1430    +    1.5e-177  588.5  20.8  -
Promicromonosporaceae     -          LKAP.g-Gut1_A10_080.seq -               68     943      61     957      40     958    1462    +    1.6e-177  587.9  19.7  -
Streptosporangiaceae      -          LKAP.g-Gut1_A10_080.seq -               27     936       6     955       3     957    1464    +    1.6e-176  584.4  20.7  -
Bogoriellaceae            -          LKAP.g-Gut1_A10_080.seq -               70     951      61     957      41     958    1470    +      4e-176  583.2  19.2  -
Planctomycetaceae         -          LKAP.g-Gut1_A10_080.seq -               38     961       7     957       5     958    1486    +    5.4e-176  583.0  19.7  -
Glycomycetaceae           -          LKAP.g-Gut1_A10_080.seq -               34     955       6     951       2     957    1495    +    6.3e-176  582.7  21.0  -
Nostocales                -          LKAP.g-Gut1_A10_080.seq -               54     911      59     957      39     958    1457    +    7.1e-176  582.5  18.0  -
Bernardetiaceae           -          LKAP.g-Gut1_A10_080.seq -               28     955       7     954       3     957    1481    +    1.1e-175  581.8  19.3  -
Catenulisporaceae         -          LKAP.g-Gut1_A10_080.seq -               59     940      54     956      12     958    1460    +    1.8e-175  581.1  19.8  -
Dermatophilaceae          -          LKAP.g-Gut1_A10_080.seq -               73     949      61     957      38     958    1480    +    2.8e-175  580.4  19.5  -
Sanguibacteraceae         -          LKAP.g-Gut1_A10_080.seq -               87     963      61     957      40     958    1483    +      3e-175  580.3  19.3  -
Rubricoccaceae            -          LKAP.g-Gut1_A10_080.seq -               38     960      16     952       3     957    1452    +    4.2e-175  579.9  19.8  -
Opitutaceae               -          LKAP.g-Gut1_A10_080.seq -               74     984      59     957      38     958    1482    +    4.5e-175  579.7  18.6  -
Actinomycetales           -          LKAP.g-Gut1_A10_080.seq -               49     972       8     950       4     956    1535    +    4.9e-175  579.6  21.7  -
Spiroplasmataceae         -          LKAP.g-Gut1_A10_080.seq -               74     972      56     956      35     958    1516    +    9.8e-175  579.0  19.2  -
Sterolibacteriaceae       -          LKAP.g-Gut1_A10_080.seq -               77     984      49     957      21     958    1531    +    1.3e-174  578.2  19.5  -
Gemmatimonadaceae         -          LKAP.g-Gut1_A10_080.seq -               80     967      62     957      41     958    1525    +    3.7e-174  576.8  19.0  -
Gallionellaceae           -          LKAP.g-Gut1_A10_080.seq -               83     978      61     957      41     958    1385    +    3.8e-174  576.7  18.9  -
Rubritaleaceae            -          LKAP.g-Gut1_A10_080.seq -               79     967      61     957      40     958    1459    +    3.9e-174  576.6  18.3  -
Defluviitaleaceae         -          LKAP.g-Gut1_A10_080.seq -               12     935       1     957       1     958    1413    +    4.1e-174  576.7  19.2  -
Leptotrichiaceae          -          LKAP.g-Gut1_A10_080.seq -               93     962      64     957      43     958    1492    +      1e-173  575.1  18.5  -
Iamiaceae                 -          LKAP.g-Gut1_A10_080.seq -               34     943      17     950       4     957    1480    +      2e-173  574.6  20.3  -
Sporichthyaceae           -          LKAP.g-Gut1_A10_080.seq -               28     941       7     957       3     958    1472    +    2.1e-173  574.3  20.3  -
Dermabacteraceae          -          LKAP.g-Gut1_A10_080.seq -               79     955      61     957      41     958    1470    +    2.3e-173  573.9  19.5  -
Frankiales                -          LKAP.g-Gut1_A10_080.seq -               34     949       6     957       3     958    1425    +    5.9e-173  572.9  20.6  -
Desulfurobacteriaceae     -          LKAP.g-Gut1_A10_080.seq -               55     981      35     949      13     957    1497    +    6.6e-173  572.9  20.3  -
Bryobacteraceae           -          LKAP.g-Gut1_A10_080.seq -               78     935      53     950      30     957    1417    +    1.2e-172  571.8  19.4  -
Pyrinomonadaceae          -          LKAP.g-Gut1_A10_080.seq -               53     996      16     950       3     956    1526    +    1.8e-172  570.9  20.4  -
Actinopolysporaceae       -          LKAP.g-Gut1_A10_080.seq -               39     954      21     950       3     957    1480    +    1.4e-171  568.1  21.2  -
Beutenbergiaceae          -          LKAP.g-Gut1_A10_080.seq -               66     946      59     957      38     958    1472    +    1.6e-171  568.0  19.2  -
Chlamydiaceae             -          LKAP.g-Gut1_A10_080.seq -               52     997       8     956       5     958    1548    +    3.6e-171  566.7  20.2  -
Porphyromonadaceae        -          LKAP.g-Gut1_A10_080.seq -               72     962      52     949      29     955    1473    +    4.7e-171  566.5  19.9  -
Atopobacteriaceae         -          LKAP.g-Gut1_A10_080.seq -               35     939      14     949       3     957    1442    +    5.5e-171  566.4  20.9  -
Micrococcales             -          LKAP.g-Gut1_A10_080.seq -               68     944      61     957      41     958    1475    +    5.7e-171  566.2  19.3  -
Persicobacteraceae        -          LKAP.g-Gut1_A10_080.seq -               62     949      53     950      29     957    1448    +    8.4e-171  565.7  19.6  -
Phormidiaceae             -          LKAP.g-Gut1_A10_080.seq -               78     928      61     951      41     957    1483    +    8.8e-171  565.9  19.1  -
Lysobacteriales           -          LKAP.g-Gut1_A10_080.seq -               90     990      53     957      29     958    1508    +    1.1e-170  565.3  19.3  -
Jonesiaceae               -          LKAP.g-Gut1_A10_080.seq -               91     983      61     957      40     958    1514    +    1.3e-170  565.1  18.9  -
Ruaniaceae                -          LKAP.g-Gut1_A10_080.seq -               93     976      60     955      36     957    1531    +    1.4e-170  564.6  19.1  -
Bifidobacteriaceae        -          LKAP.g-Gut1_A10_080.seq -               84     962      60     956      37     958    1469    +    1.8e-170  564.6  19.4  -
Betaproteobacteria        -          LKAP.g-Gut1_A10_080.seq -               47     939      61     956      40     958    1454    +    3.3e-170  563.6  19.2  -
Chlorobiaceae             -          LKAP.g-Gut1_A10_080.seq -               87     967      64     957      44     958    1455    +    3.8e-170  563.5  18.7  -
Anaeroplasmataceae        -          LKAP.g-Gut1_A10_080.seq -               85     962      62     957      42     958    1453    +    5.3e-170  563.1  18.7  -
Streptosporangineae       -          LKAP.g-Gut1_A10_080.seq -                3     908       4     951       2     957    1443    +    5.7e-170  562.8  21.0  -
Prochlorococcaceae        -          LKAP.g-Gut1_A10_080.seq -               40     908      25     949       6     956    1465    +    6.1e-170  562.8  18.6  -
Nocardiopsaceae           -          LKAP.g-Gut1_A10_080.seq -               27     949       6     951       3     957    1475    +    8.2e-170  562.4  20.6  -
Dehalococcoidaceae        -          LKAP.g-Gut1_A10_080.seq -               60     930      61     955      41     957    1437    +      4e-169  560.5  19.5  -
Rikenellaceae             -          LKAP.g-Gut1_A10_080.seq -               35     969       6     956       3     957    1456    +    1.1e-168  558.5  19.7  -
Prolixibacteraceae        -          LKAP.g-Gut1_A10_080.seq -               27     948       6     950       2     956    1444    +    3.1e-168  557.1  20.0  -
Deinococcaceae            -          LKAP.g-Gut1_A10_080.seq -               51     940      52     957      31     958    1455    +    3.7e-168  556.8  19.7  -
Eggerthellaceae           -          LKAP.g-Gut1_A10_080.seq -               40     935      16     949       3     957    1449    +    3.9e-168  556.9  20.8  -
Mariprofundaceae          -          LKAP.g-Gut1_A10_080.seq -               88     975      61     951      40     957    1528    +    6.3e-168  555.9  19.4  -
Parachlamydiaceae         -          LKAP.g-Gut1_A10_080.seq -               69     981      57     956      36     958    1529    +    1.6e-167  554.8  19.0  -
Rarobacteraceae           -          LKAP.g-Gut1_A10_080.seq -               57     932      61     957      41     958    1464    +    9.5e-167  552.0  19.5  -
Oscillospiraceae          -          LKAP.g-Gut1_A10_080.seq -               23     950       4     950       1     957    1453    +    1.1e-166  551.6  20.3  -
Actinospicaceae           -          LKAP.g-Gut1_A10_080.seq -               39     911      57     949      34     957    1425    +    1.7e-166  551.3  20.1  -
Lewinellaceae             -          LKAP.g-Gut1_A10_080.seq -               27     947       6     950       3     956    1446    +    1.8e-166  551.3  20.8  -
Petrotogaceae             -          LKAP.g-Gut1_A10_080.seq -               48     953      16     949       4     957    1488    +      2e-166  551.4  20.7  -
Haliscomenobacteraceae    -          LKAP.g-Gut1_A10_080.seq -               47     974       6     954       3     957    1485    +    6.2e-166  549.9  20.2  -
Mesoaciditogaceae         -          LKAP.g-Gut1_A10_080.seq -               36     979       7     956       3     958    1522    +    1.3e-165  548.4  20.8  -
Crocinitomicaceae         -          LKAP.g-Gut1_A10_080.seq -               64     955      49     949      27     954    1466    +    3.8e-165  546.7  19.5  -
Chitinophagaceae          -          LKAP.g-Gut1_A10_080.seq -               65     953      53     950      30     956    1458    +    4.1e-165  547.0  19.4  -
Kofleriaceae              -          LKAP.g-Gut1_A10_080.seq -               77     989      53     950      16     955    1498    +    5.8e-165  546.3  20.6  -
Cyclobacteriaceae         -          LKAP.g-Gut1_A10_080.seq -               28     950       7     950       3     955    1447    +    7.6e-165  545.9  20.5  -
Pseudobacteriovoracaceae  -          LKAP.g-Gut1_A10_080.seq -                9     933      20     956      11     958    1466    +    9.3e-165  545.4  20.2  -
Marinilabiliaceae         -          LKAP.g-Gut1_A10_080.seq -               27     952       6     951       3     956    1447    +    3.5e-164  543.4  20.0  -
Acholeplasmataceae        -          LKAP.g-Gut1_A10_080.seq -               46     945      55     957      33     958    1437    +    4.1e-163  539.9  19.0  -
Cryomorphaceae            -          LKAP.g-Gut1_A10_080.seq -               33     958       6     950       3     956    1454    +    8.3e-163  539.2  19.9  -
Cytophagales              -          LKAP.g-Gut1_A10_080.seq -               28     948       7     950       3     957    1444    +      9e-163  539.0  19.4  -
Thermotogaceae            -          LKAP.g-Gut1_A10_080.seq -               45     977       6     949       3     957    1545    +    1.1e-162  538.7  20.8  -
Magnetococcaceae          -          LKAP.g-Gut1_A10_080.seq -               54     945      12     957       3     958    1497    +    1.8e-162  538.1  19.7  -
Iodidimonadaceae          -          LKAP.g-Gut1_A10_080.seq -               59     930      57     957      37     958    1437    +    2.5e-162  537.5  18.7  -
Entomoplasmataceae        -          LKAP.g-Gut1_A10_080.seq -               64     953      60     949      40     957    1497    +    1.1e-161  535.5  19.5  -
Kosmotogaceae             -          LKAP.g-Gut1_A10_080.seq -               41     955      11     949       3     957    1488    +    8.3e-161  532.8  21.0  -
Fibrobacteraceae          -          LKAP.g-Gut1_A10_080.seq -               26     930       6     948       3     952    1412    +    1.3e-160  532.1  21.2  -
Sphingobacteriaceae       -          LKAP.g-Gut1_A10_080.seq -               68     949      60     950      39     957    1450    +    1.7e-160  531.4  19.1  -
Thermosporotrichaceae     -          LKAP.g-Gut1_A10_080.seq -                7     868      60     957      54     958    1317    +    3.9e-160  530.5  19.4  -
Saprospiraceae            -          LKAP.g-Gut1_A10_080.seq -               38     960       6     950       3     957    1430    +    7.4e-160  529.8  20.2  -
Rhodospirillales          -          LKAP.g-Gut1_A10_080.seq -               42     899      59     957      39     958    1413    +    1.3e-159  528.9  19.2  -
Aquificaceae              -          LKAP.g-Gut1_A10_080.seq -               56     966      52     949      20     957    1485    +    1.7e-159  528.3  20.0  -
Fervidobacteriaceae       -          LKAP.g-Gut1_A10_080.seq -               35     984       6     949       3     957    1514    +    2.3e-157  521.1  21.4  -
Hydrogenothermaceae       -          LKAP.g-Gut1_A10_080.seq -               29     927       8     948       3     955    1447    +    5.2e-157  520.1  20.1  -
Bradymonadaceae           -          LKAP.g-Gut1_A10_080.seq -               62     950      54     951      31     957    1461    +    5.7e-157  519.6  20.1  -
Bacteroidales             -          LKAP.g-Gut1_A10_080.seq -               81     977      50     955      28     957    1485    +    1.7e-156  517.9  18.8  -
Dictyoglomaceae           -          LKAP.g-Gut1_A10_080.seq -               97     980      60     950      39     957    1541    +      3e-156  517.3  20.0  -
Sandaracinaceae           -          LKAP.g-Gut1_A10_080.seq -               50     958      57     949      37     956    1506    +    3.1e-156  517.5  20.1  -
Rhodothalassiaceae        -          LKAP.g-Gut1_A10_080.seq -               43     903      52     957      16     958    1318    +    4.4e-156  517.0  18.9  -
Blastocatellaceae         -          LKAP.g-Gut1_A10_080.seq -               52     962      15     954       4     957    1485    +    5.8e-156  516.3  19.6  -
Coriobacteriaceae         -          LKAP.g-Gut1_A10_080.seq -               40     945       6     956       3     958    1462    +    3.2e-155  514.5  20.5  -
Microscillaceae           -          LKAP.g-Gut1_A10_080.seq -               50     937      55     952      34     957    1461    +    7.7e-155  512.7  18.3  -
Sphaerobacteraceae        -          LKAP.g-Gut1_A10_080.seq -               64     950      44     949      23     957    1531    +    1.4e-154  511.9  21.4  -
Gemmataceae               -          LKAP.g-Gut1_A10_080.seq -               79     939      61     957      41     958    1427    +    1.4e-153  508.6  17.9  -
Prevotellaceae            -          LKAP.g-Gut1_A10_080.seq -               29     960       7     950       3     957    1464    +    1.9e-153  507.9  20.3  -
Thermomicrobiaceae        -          LKAP.g-Gut1_A10_080.seq -               22     910      52     949      35     957    1273    +    4.3e-153  507.6  21.3  -
Acanthopleuribacteraceae  -          LKAP.g-Gut1_A10_080.seq -               30     950      53     953      33     957    1453    +    4.3e-153  506.9  20.1  -
Phaselicystidaceae        -          LKAP.g-Gut1_A10_080.seq -               78     987      57     951      36     957    1539    +    4.6e-153  506.9  19.9  -
Lentisphaeraceae          -          LKAP.g-Gut1_A10_080.seq -               42     940      14     949       4     955    1465    +    6.7e-153  506.5  20.4  -
Temperatibacteraceae      -          LKAP.g-Gut1_A10_080.seq -               31     887      57     957      36     958    1362    +    6.7e-153  506.3  18.4  -
Akkermansiaceae           -          LKAP.g-Gut1_A10_080.seq -               69     938      58     956      38     958    1441    +      2e-152  504.9  18.6  -
Roseiarcaceae             -          LKAP.g-Gut1_A10_080.seq -               71     925      59     957      39     958    1399    +    2.8e-152  504.2  18.7  -
Emcibacteraceae           -          LKAP.g-Gut1_A10_080.seq -               69     939      35     957      13     958    1460    +      3e-152  504.3  18.6  -
Labilitrichaceae          -          LKAP.g-Gut1_A10_080.seq -               62     972      58     951      37     957    1483    +    4.3e-152  503.5  19.7  -
Marinifilaceae            -          LKAP.g-Gut1_A10_080.seq -               63     956      52     954      29     957    1450    +    5.4e-152  503.2  18.9  -
Syntrophorhabdaceae       -          LKAP.g-Gut1_A10_080.seq -               34     978      12     956       3     958    1482    +    1.3e-151  502.0  20.5  -
Anaeromyxobacteraceae     -          LKAP.g-Gut1_A10_080.seq -               81     998      57     957      36     958    1549    +    2.4e-151  501.2  19.3  -
Oligoflexaceae            -          LKAP.g-Gut1_A10_080.seq -               59     957      55     956      16     958    1458    +    1.9e-150  498.2  19.7  -
Vulgatibacteraceae        -          LKAP.g-Gut1_A10_080.seq -               60     977      57     957      37     958    1479    +      3e-150  497.6  19.1  -
Acidothermaceae           -          LKAP.g-Gut1_A10_080.seq -               46     957       8     956       3     958    1509    +    1.4e-149  495.4  20.7  -
Christensenellaceae       -          LKAP.g-Gut1_A10_080.seq -               44     969      18     956       4     958    1497    +    2.9e-149  494.2  20.4  -
Gaiellaceae               -          LKAP.g-Gut1_A10_080.seq -               82     988      55     956       9     958    1544    +    3.4e-149  493.9  20.3  -
Odoribacteraceae          -          LKAP.g-Gut1_A10_080.seq -               84     971      53     950      32     953    1486    +      1e-147  489.0  19.7  -
Hydrogenimonaceae         -          LKAP.g-Gut1_A10_080.seq -               31     957       9     956       2     958    1422    +    1.6e-147  488.6  20.0  -
Nitriliruptoraceae        -          LKAP.g-Gut1_A10_080.seq -               60     952      36     956      16     958    1425    +    5.5e-147  486.7  20.0  -
Egibacteraceae            -          LKAP.g-Gut1_A10_080.seq -               60     960      25     951       5     957    1516    +    7.7e-147  486.4  21.0  -
Egicoccaceae              -          LKAP.g-Gut1_A10_080.seq -               85     963      59     956      36     958    1512    +    8.5e-147  486.1  19.8  -
Fervidobacteraceae        -          LKAP.g-Gut1_A10_080.seq -               28     919       6     945       2     956    1480    +    4.8e-146  483.7  21.7  -
Gracilibacteraceae        -          LKAP.g-Gut1_A10_080.seq -              202    1074      61     955      40     958    1549    +      1e-145  482.4  20.0  -
Isosphaeraceae            -          LKAP.g-Gut1_A10_080.seq -               68     954      59     956      39     958    1475    +    9.4e-145  479.4  19.6  -
Halanaerobiales           -          LKAP.g-Gut1_A10_080.seq -               33     990       8     951       2     957    1500    +    1.5e-144  478.6  20.5  -
Thermogemmatisporaceae    -          LKAP.g-Gut1_A10_080.seq -               61     941      60     949      40     951    1443    +    2.9e-144  477.8  21.3  -
Haloplasmataceae          -          LKAP.g-Gut1_A10_080.seq -               55     952      59     957      39     958    1345    +    5.8e-144  476.8  19.2  -
Longimicrobiaceae         -          LKAP.g-Gut1_A10_080.seq -                9     922      53     956      42     958    1413    +    7.6e-144  476.5  20.1  -
Micropepsaceae            -          LKAP.g-Gut1_A10_080.seq -               72     920      60     949      40     957    1455    +    5.9e-143  473.4  19.7  -
Euzebyaceae               -          LKAP.g-Gut1_A10_080.seq -               64     944      57     956      35     958    1476    +    7.2e-143  473.2  19.8  -
Acidimicrobiales          -          LKAP.g-Gut1_A10_080.seq -               73     951      57     956      31     958    1483    +    5.3e-142  470.5  19.9  -
Gloeomargaritaceae        -          LKAP.g-Gut1_A10_080.seq -               73     926      58     951      37     957    1482    +    4.7e-141  467.2  18.7  -
Victivallaceae            -          LKAP.g-Gut1_A10_080.seq -               51     943      27     956       7     958    1456    +    4.1e-140  463.9  19.5  -
Xenococcaceae             -          LKAP.g-Gut1_A10_080.seq -               57     914      60     955      40     958    1418    +    1.3e-139  462.5  18.9  -
Ignavibacteriaceae        -          LKAP.g-Gut1_A10_080.seq -               62     959      55     957      34     958    1461    +    4.2e-139  460.6  18.9  -
Chloroflexaceae           -          LKAP.g-Gut1_A10_080.seq -               80     933      60     950      39     957    1473    +    4.7e-139  460.7  19.7  -
Brachyspiraceae           -          LKAP.g-Gut1_A10_080.seq -               60     921      61     950      40     957    1441    +    4.7e-139  460.4  19.2  -
Caldisericaceae           -          LKAP.g-Gut1_A10_080.seq -               33     977      11     956       3     958    1481    +    9.4e-139  459.3  20.2  -
Prochlorotrichaceae       -          LKAP.g-Gut1_A10_080.seq -               42     892      60     951      40     957    1448    +    1.3e-137  455.7  19.1  -
Melioribacteraceae        -          LKAP.g-Gut1_A10_080.seq -               87     984      56     957      30     958    1539    +      2e-137  455.0  19.0  -
Aquificales               -          LKAP.g-Gut1_A10_080.seq -               44     973      34     951      11     957    1450    +    2.5e-137  454.9  20.8  -
Mooreiaceae               -          LKAP.g-Gut1_A10_080.seq -               14     937       5     951       2     957    1424    +    5.7e-136  450.3  20.9  -
Mzabimycetaceae           -          LKAP.g-Gut1_A10_080.seq -               12     878      58     950      39     957    1357    +    5.9e-134  443.6  20.9  -
Ardenticatenia            -          LKAP.g-Gut1_A10_080.seq -               53     964      35     955      12     958    1453    +    8.6e-134  443.2  20.4  -
Catalimonadaceae          -          LKAP.g-Gut1_A10_080.seq -               14     937       5     952       2     957    1425    +    6.6e-133  440.1  20.3  -
Verrucomicrobiales        -          LKAP.g-Gut1_A10_080.seq -               33     952      53     956      33     958    1410    +      1e-132  439.9  19.9  -
Armatimonadaceae          -          LKAP.g-Gut1_A10_080.seq -               63     929      61     949      39     957    1438    +    1.3e-132  439.1  19.2  -
Herpetosiphonaceae        -          LKAP.g-Gut1_A10_080.seq -               75     941      60     957      39     958    1475    +    2.3e-132  438.2  18.6  -
Trueperaceae              -          LKAP.g-Gut1_A10_080.seq -               59     922      60     957      39     958    1461    +    1.8e-130  432.0  18.3  -
Kiritimatiellaceae        -          LKAP.g-Gut1_A10_080.seq -               51    1005      10     951       3     957    1556    +      2e-130  431.9  20.7  -
Chitinivibrionaceae       -          LKAP.g-Gut1_A10_080.seq -               65     977      51     957      14     958    1488    +    6.1e-130  430.3  19.3  -
Brevinemataceae           -          LKAP.g-Gut1_A10_080.seq -               82     971      50     956      29     958    1490    +    6.9e-130  430.1  19.3  -
Ktedonobacteraceae        -          LKAP.g-Gut1_A10_080.seq -               54     915      60     957      40     958    1386    +    5.3e-129  427.4  19.3  -
Thermoflexaceae           -          LKAP.g-Gut1_A10_080.seq -               13     941       5     951       1     957    1466    +    6.6e-129  427.2  21.2  -
Elusimicrobiaceae         -          LKAP.g-Gut1_A10_080.seq -               52     924      58     952      38     957    1395    +    7.1e-129  426.7  19.0  -
Spirochaetales            -          LKAP.g-Gut1_A10_080.seq -               30     949       9     954       3     958    1456    +    1.9e-128  425.3  20.0  -
Spartobacteria            -          LKAP.g-Gut1_A10_080.seq -               32     947      12     956       4     958    1418    +    4.9e-128  424.0  20.7  -
Blastocatellales          -          LKAP.g-Gut1_A10_080.seq -               54     935      17     950       3     956    1488    +    6.7e-128  423.5  19.9  -
Thermonemataceae          -          LKAP.g-Gut1_A10_080.seq -               25     946      12     951       3     957    1465    +    5.1e-127  420.8  21.0  -
Oligosphaeraceae          -          LKAP.g-Gut1_A10_080.seq -               60     931      61     954      39     958    1434    +    3.1e-126  418.0  19.4  -
Soortiaceae               -          LKAP.g-Gut1_A10_080.seq -               94     987      63     952      41     956    1516    +    2.4e-125  415.0  19.7  -
Simkaniaceae              -          LKAP.g-Gut1_A10_080.seq -               84     995      61     956      40     958    1545    +    6.5e-125  413.7  18.9  -
Schleiferiaceae           -          LKAP.g-Gut1_A10_080.seq -               83     973      59     954      39     957    1499    +    1.2e-124  413.1  20.0  -
Lentimicrobiaceae         -          LKAP.g-Gut1_A10_080.seq -               69     952      60     952      38     957    1446    +    3.2e-124  411.3  19.3  -
Roseiflexaceae            -          LKAP.g-Gut1_A10_080.seq -               78     937      59     953      35     957    1469    +    1.2e-123  409.9  19.6  -
Filobacteriaceae          -          LKAP.g-Gut1_A10_080.seq -               81     975      51     955      31     958    1521    +      2e-123  408.6  19.3  -
Ichthyobacteriaceae       -          LKAP.g-Gut1_A10_080.seq -               78     980      49     955      27     957    1521    +      3e-122  404.9  19.5  -
Fimbriimonadaceae         -          LKAP.g-Gut1_A10_080.seq -               63     935      61     956      40     958    1443    +    1.5e-121  402.6  19.1  -
Chthonomonadaceae         -          LKAP.g-Gut1_A10_080.seq -               36     916      56     945      36     956    1411    +    2.4e-120  398.7  21.2  -
Waddliaceae               -          LKAP.g-Gut1_A10_080.seq -               91    1006      61     956      40     958    1557    +    1.9e-118  392.4  18.9  -
Balneicellaceae           -          LKAP.g-Gut1_A10_080.seq -               69     962      50     950      28     957    1505    +      9e-117  386.7  19.5  -
Phycisphaeraceae          -          LKAP.g-Gut1_A10_080.seq -               56     926      53     950      30     957    1461    +    1.2e-112  373.4  19.4  -
Tepidisphaeraceae         -          LKAP.g-Gut1_A10_080.seq -               77     947      60     956      39     958    1491    +    5.2e-110  364.6  18.8  -
Chloroflexales            -          LKAP.g-Gut1_A10_080.seq -               55     925      61     956      40     958    1355    +    5.4e-109  361.5  20.6  -
Methanocaldococcaceae     -          LKAP.g-Gut1_A10_080.seq -               74     921      54     936      32     946    1429    +     2.5e-84  279.6  20.9  -
Methanobacteriaceae       -          LKAP.g-Gut1_A10_080.seq -               53     893      62     936      42     944    1403    +     5.7e-81  267.9  20.0  -
Methanococcaceae          -          LKAP.g-Gut1_A10_080.seq -               69     904      63     936      43     941    1410    +       3e-79  262.4  20.8  -
Methanoregulaceae         -          LKAP.g-Gut1_A10_080.seq -               55     888      63     936      43     949    1413    +     9.3e-76  250.6  20.4  -
