# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_F12_086   -               12     935       6     924       1     924    1474    +           0 1126.4  26.7  -
Ferrimonadaceae           -          LKAP-GutHK_F12_086   -               11     935       5     924       1     924    1475    +           0 1029.6  26.6  -
Corynebacterineae         -          LKAP-GutHK_F12_086   -               29     900      19     924       6     924    1473    +    3.2e-190  630.0  25.6  -
Desulfurellaceae          -          LKAP-GutHK_F12_086   -               73     944      73     924      53     924    1529    +    4.7e-190  629.2  24.6  -
Demequinaceae             -          LKAP-GutHK_F12_086   -               69     904      72     923      49     924    1478    +      7e-190  628.8  24.4  -
Hymenobacteraceae         -          LKAP-GutHK_F12_086   -               55     906      68     924      41     924    1445    +    1.7e-189  627.6  24.8  -
Caldicoprobacteraceae     -          LKAP-GutHK_F12_086   -               43     934      17     924       5     924    1530    +      2e-189  627.2  26.0  -
Caldilineaceae            -          LKAP-GutHK_F12_086   -               63     906      61     924      29     924    1434    +    2.4e-189  627.1  26.1  -
Enterococcaceae           -          LKAP-GutHK_F12_086   -               76     943      68     924      44     924    1498    +    3.6e-189  626.5  25.0  -
Frankiaceae               -          LKAP-GutHK_F12_086   -               76     914      70     924      44     924    1499    +    6.1e-189  625.9  25.2  -
Segniliparaceae           -          LKAP-GutHK_F12_086   -               53     902      48     924      24     924    1462    +    1.3e-188  624.7  25.2  -
Thermomonosporaceae       -          LKAP-GutHK_F12_086   -               27     901      17     924       3     924    1464    +    2.9e-188  623.4  25.2  -
Dermacoccaceae            -          LKAP-GutHK_F12_086   -               65     902      71     923      45     924    1456    +    3.1e-188  623.2  25.0  -
Anaerolineaceae           -          LKAP-GutHK_F12_086   -               64     901      71     924      46     924    1430    +    4.5e-188  623.3  25.8  -
Bernardetiaceae           -          LKAP-GutHK_F12_086   -               27     917      17     924       2     924    1481    +    5.4e-188  622.5  25.1  -
Promicromonosporaceae     -          LKAP-GutHK_F12_086   -               54     901      60     923      39     924    1462    +    1.3e-187  621.2  25.0  -
Algiphilaceae             -          LKAP-GutHK_F12_086   -               47     938      17     924       3     924    1501    +    4.2e-187  619.2  26.1  -
Bogoriellaceae            -          LKAP-GutHK_F12_086   -               68     909      71     923      41     924    1470    +    6.6e-187  618.9  24.5  -
Ventosimonadaceae         -          LKAP-GutHK_F12_086   -               56     952      19     924       2     924    1489    +    7.3e-187  618.5  26.6  -
Opitutaceae               -          LKAP-GutHK_F12_086   -               71     943      68     924      44     924    1482    +    7.9e-187  618.7  25.0  -
Peptoniphilaceae          -          LKAP-GutHK_F12_086   -                4     886      18     924      15     924    1437    +    1.1e-186  618.5  25.8  -
Dietziaceae               -          LKAP-GutHK_F12_086   -               21     890      20     924       6     924    1452    +    1.2e-186  618.1  25.9  -
Stigonematales            -          LKAP-GutHK_F12_086   -               72     894      67     924      44     924    1450    +    1.5e-186  617.9  23.9  -
Cryptosporangiaceae       -          LKAP-GutHK_F12_086   -               27     897      17     923       5     924    1470    +    3.3e-186  616.6  25.5  -
Planctomycetaceae         -          LKAP-GutHK_F12_086   -               38     919      18     924       6     924    1486    +    5.3e-186  616.1  25.6  -
Streptosporangiaceae      -          LKAP-GutHK_F12_086   -               27     897      17     924       3     924    1464    +    8.8e-186  615.1  25.1  -
Acidobacteriaceae         -          LKAP-GutHK_F12_086   -               87     903      73     924      53     924    1462    +    1.2e-185  614.7  23.8  -
Sanguibacteraceae         -          LKAP-GutHK_F12_086   -               86     921      72     923      47     924    1483    +    1.7e-185  614.2  24.7  -
Thermodesulfobacteriaceae -          LKAP-GutHK_F12_086   -               66     934      74     924      53     924    1497    +      2e-185  614.2  24.6  -
Porphyromonadaceae        -          LKAP-GutHK_F12_086   -               35     929      17     924       6     924    1473    +    2.7e-185  613.6  25.8  -
Chrysiogenaceae           -          LKAP-GutHK_F12_086   -               72     923      70     924      50     924    1513    +    3.6e-185  613.2  24.6  -
Dermatophilaceae          -          LKAP-GutHK_F12_086   -               60     907      61     923      40     924    1480    +    4.1e-185  612.9  24.8  -
Catenulisporaceae         -          LKAP-GutHK_F12_086   -               53     900      63     924      23     924    1460    +    5.4e-185  612.6  25.0  -
Jiangellaceae             -          LKAP-GutHK_F12_086   -               33     906      17     923       3     924    1497    +    9.6e-185  611.7  25.6  -
Symbiobacteriaceae        -          LKAP-GutHK_F12_086   -               16     931      13     924       2     924    1468    +    2.1e-184  611.0  25.7  -
Desulfurobacteriaceae     -          LKAP-GutHK_F12_086   -               27     948      17     924       4     924    1497    +    3.1e-184  610.4  26.2  -
Leptotrichiaceae          -          LKAP-GutHK_F12_086   -               93     921      76     924      55     924    1492    +    7.2e-184  608.8  24.0  -
Rubricoccaceae            -          LKAP-GutHK_F12_086   -               15     924       4     924       1     924    1452    +    1.7e-183  607.6  24.8  -
Nostocales                -          LKAP-GutHK_F12_086   -               53     870      70     924      49     924    1457    +    2.2e-183  607.4  23.7  -
Dermabacteraceae          -          LKAP-GutHK_F12_086   -               79     913      73     923      52     924    1470    +    2.2e-183  607.1  24.6  -
Spiroplasmataceae         -          LKAP-GutHK_F12_086   -               76     932      70     924      48     924    1516    +    4.3e-183  606.6  24.8  -
Gemmatimonadaceae         -          LKAP-GutHK_F12_086   -               79     926      73     924      53     924    1525    +    5.7e-182  602.6  24.0  -
Sporichthyaceae           -          LKAP-GutHK_F12_086   -               39     900      40     924      19     924    1472    +    7.3e-182  602.4  25.1  -
Micrococcales             -          LKAP-GutHK_F12_086   -               54     902      60     923      39     924    1475    +    7.6e-182  602.2  25.0  -
Beutenbergiaceae          -          LKAP-GutHK_F12_086   -               64     904      69     923      42     924    1472    +    7.7e-182  602.1  25.0  -
Iamiaceae                 -          LKAP-GutHK_F12_086   -               74     909      72     924      51     924    1480    +    8.4e-182  602.2  24.1  -
Rubritaleaceae            -          LKAP-GutHK_F12_086   -               79     926      73     924      53     924    1459    +    8.8e-182  601.9  23.9  -
Jonesiaceae               -          LKAP-GutHK_F12_086   -               45     941      15     923       3     924    1514    +    1.4e-181  601.4  24.6  -
Sterolibacteriaceae       -          LKAP-GutHK_F12_086   -               42     942      17     923       3     924    1531    +    1.6e-181  601.1  26.6  -
Defluviitaleaceae         -          LKAP-GutHK_F12_086   -               11     894      11     924       2     924    1413    +    1.9e-181  600.9  25.4  -
Persicobacteraceae        -          LKAP-GutHK_F12_086   -               28     915      18     924       2     924    1448    +    2.2e-181  600.7  25.3  -
Ruaniaceae                -          LKAP-GutHK_F12_086   -               59     936      24     923       6     924    1531    +    2.7e-181  600.1  24.7  -
Atopobacteriaceae         -          LKAP-GutHK_F12_086   -               37     906      22     924       5     924    1442    +    1.6e-180  597.9  25.5  -
Frankiales                -          LKAP-GutHK_F12_086   -               34     908      17     924       4     924    1425    +    4.4e-180  596.5  25.6  -
Rikenellaceae             -          LKAP-GutHK_F12_086   -               21     929       7     924       2     924    1456    +    4.6e-180  596.2  25.4  -
Pyrinomonadaceae          -          LKAP-GutHK_F12_086   -               49     962      19     924       2     924    1526    +    5.1e-180  595.9  25.4  -
Bryobacteraceae           -          LKAP-GutHK_F12_086   -               86     901      73     924      53     924    1417    +    7.7e-180  595.6  23.8  -
Crocinitomicaceae         -          LKAP-GutHK_F12_086   -               28     922      17     924       2     924    1466    +    2.2e-179  593.8  25.4  -
Bifidobacteriaceae        -          LKAP-GutHK_F12_086   -               76     921      64     923      26     924    1469    +    2.6e-179  593.8  25.8  -
Dehalococcoidaceae        -          LKAP-GutHK_F12_086   -               60     891      73     924      53     924    1437    +    2.8e-179  594.1  24.5  -
Anaeroplasmataceae        -          LKAP-GutHK_F12_086   -               86     921      75     924      54     924    1453    +    4.4e-179  593.1  24.5  -
Phormidiaceae             -          LKAP-GutHK_F12_086   -               78     893      73     924      53     924    1483    +    8.7e-179  592.3  24.2  -
Chitinophagaceae          -          LKAP-GutHK_F12_086   -               13     919       6     924       1     924    1458    +    1.4e-178  591.7  26.0  -
Glycomycetaceae           -          LKAP-GutHK_F12_086   -               70     919      70     923      41     924    1495    +    3.6e-178  590.1  24.8  -
Betaproteobacteria        -          LKAP-GutHK_F12_086   -               47     898      73     923      53     924    1454    +    7.5e-178  588.8  24.7  -
Cyclobacteriaceae         -          LKAP-GutHK_F12_086   -               13     916       7     924       1     924    1447    +    9.2e-178  588.7  25.7  -
Chlorobiaceae             -          LKAP-GutHK_F12_086   -               87     926      76     924      55     924    1455    +    1.2e-177  588.3  24.5  -
Nocardiopsaceae           -          LKAP-GutHK_F12_086   -               27     914      17     924       4     924    1475    +    1.5e-177  588.1  25.3  -
Prolixibacteraceae        -          LKAP-GutHK_F12_086   -               12     914       6     924       1     924    1444    +    1.7e-177  587.7  26.4  -
Prochlorococcaceae        -          LKAP-GutHK_F12_086   -               47     875      44     924      24     924    1465    +    2.2e-177  587.4  23.0  -
Chlamydiaceae             -          LKAP-GutHK_F12_086   -               88     957      72     924      27     924    1548    +      3e-177  586.8  24.6  -
Streptosporangineae       -          LKAP-GutHK_F12_086   -                3     873      15     924      13     924    1443    +    3.4e-177  586.7  24.8  -
Actinomycetales           -          LKAP-GutHK_F12_086   -               47     938      17     924       3     924    1535    +    3.7e-177  586.6  26.5  -
Lewinellaceae             -          LKAP-GutHK_F12_086   -               27     913      17     924       2     924    1446    +    9.9e-177  585.3  25.6  -
Gallionellaceae           -          LKAP-GutHK_F12_086   -               81     936      71     923      49     924    1385    +    1.2e-176  584.9  25.0  -
Lysobacteriales           -          LKAP-GutHK_F12_086   -               94     949      69     924      46     924    1508    +    1.5e-176  584.6  25.1  -
Haliscomenobacteraceae    -          LKAP-GutHK_F12_086   -               47     936      17     924       4     924    1485    +    2.2e-176  584.5  25.4  -
Rarobacteraceae           -          LKAP-GutHK_F12_086   -               57     890      73     923      52     924    1464    +    2.8e-176  583.5  24.7  -
Deinococcaceae            -          LKAP-GutHK_F12_086   -               50     899      63     924      42     924    1455    +    4.4e-176  583.0  25.5  -
Eggerthellaceae           -          LKAP-GutHK_F12_086   -               73     902      71     924      44     924    1449    +    8.9e-176  582.2  25.0  -
Mariprofundaceae          -          LKAP-GutHK_F12_086   -               83     940      68     924      20     924    1528    +    9.4e-176  581.7  25.1  -
Actinopolysporaceae       -          LKAP-GutHK_F12_086   -               28     920      17     924       4     924    1480    +    1.3e-175  581.4  26.0  -
Actinospicaceae           -          LKAP-GutHK_F12_086   -               31     877      61     923      39     924    1425    +    5.1e-175  579.5  25.0  -
Cryomorphaceae            -          LKAP-GutHK_F12_086   -               18     924       6     924       2     924    1454    +    1.5e-174  578.1  25.5  -
Oscillospiraceae          -          LKAP-GutHK_F12_086   -               22     916      14     924       2     924    1453    +    3.9e-174  576.3  25.1  -
Sphingobacteriaceae       -          LKAP-GutHK_F12_086   -               28     915      18     924       1     924    1450    +    5.5e-174  576.1  25.6  -
Mesoaciditogaceae         -          LKAP-GutHK_F12_086   -               35     939      17     924       4     924    1522    +      7e-174  575.8  26.0  -
Cytophagales              -          LKAP-GutHK_F12_086   -               65     914      69     924      48     924    1444    +    7.7e-174  575.6  24.4  -
Petrotogaceae             -          LKAP-GutHK_F12_086   -               82     920      69     924      23     924    1488    +      2e-173  574.6  25.1  -
Marinilabiliaceae         -          LKAP-GutHK_F12_086   -               27     917      17     924       2     924    1447    +    2.2e-173  573.9  26.0  -
Thermotogaceae            -          LKAP-GutHK_F12_086   -               45     944      17     924       5     924    1545    +    4.5e-173  573.1  26.5  -
Kofleriaceae              -          LKAP-GutHK_F12_086   -               84     955      72     924      49     924    1498    +    6.6e-173  572.6  25.1  -
Acholeplasmataceae        -          LKAP-GutHK_F12_086   -               45     904      66     924      45     924    1437    +    8.6e-173  572.0  25.4  -
Parachlamydiaceae         -          LKAP-GutHK_F12_086   -               73     941      73     924      53     924    1529    +    1.7e-172  571.3  25.1  -
Aquificaceae              -          LKAP-GutHK_F12_086   -               53     931      61     922      31     924    1485    +    6.5e-172  569.4  25.4  -
Saprospiraceae            -          LKAP-GutHK_F12_086   -               24     926       7     924       1     924    1430    +    1.1e-171  568.9  25.5  -
Fibrobacteraceae          -          LKAP-GutHK_F12_086   -               26     898      17     924      11     924    1412    +    2.4e-171  567.7  25.7  -
Entomoplasmataceae        -          LKAP-GutHK_F12_086   -               65     920      73     924      52     924    1497    +    4.8e-171  566.6  24.3  -
Kosmotogaceae             -          LKAP-GutHK_F12_086   -               36     922      18     924       3     924    1488    +    1.1e-170  565.5  25.6  -
Pseudobacteriovoracaceae  -          LKAP-GutHK_F12_086   -               31     893      66     924      45     924    1466    +    7.2e-170  562.3  25.2  -
Hydrogenothermaceae       -          LKAP-GutHK_F12_086   -               27     893      17     922       6     924    1447    +    9.4e-170  562.3  24.8  -
Magnetococcaceae          -          LKAP-GutHK_F12_086   -               48     904      18     924       3     924    1497    +    9.3e-168  555.5  25.8  -
Iodidimonadaceae          -          LKAP-GutHK_F12_086   -               20     889      29     924      12     924    1437    +    9.4e-168  555.4  24.9  -
Rhodospirillales          -          LKAP-GutHK_F12_086   -               40     858      69     924      49     924    1413    +    3.9e-166  550.4  24.5  -
Thermosporotrichaceae     -          LKAP-GutHK_F12_086   -                6     827      71     924      66     924    1317    +    5.7e-166  549.8  25.2  -
Bradymonadaceae           -          LKAP-GutHK_F12_086   -               69     915      73     924      52     924    1461    +    1.9e-165  547.5  25.3  -
Coriobacteriaceae         -          LKAP-GutHK_F12_086   -               40     905      17     924       3     924    1462    +    2.1e-165  548.2  26.2  -
Fervidobacteriaceae       -          LKAP-GutHK_F12_086   -               35     951      17     924       4     924    1514    +      3e-165  547.2  26.6  -
Dictyoglomaceae           -          LKAP-GutHK_F12_086   -               49     944      17     922       2     924    1541    +      4e-165  546.7  26.3  -
Bacteroidales             -          LKAP-GutHK_F12_086   -               49     938      17     924       5     924    1485    +    4.7e-165  546.2  24.8  -
Prevotellaceae            -          LKAP-GutHK_F12_086   -               28     926      17     924       7     924    1464    +    9.5e-165  545.3  25.7  -
Sandaracinaceae           -          LKAP-GutHK_F12_086   -               27     925      46     924      26     924    1506    +      2e-164  544.5  25.6  -
Rhodothalassiaceae        -          LKAP-GutHK_F12_086   -               32     862      53     924      29     924    1318    +    1.3e-163  541.9  25.0  -
Lentisphaeraceae          -          LKAP-GutHK_F12_086   -               66     907      62     924      40     924    1465    +    4.8e-163  540.1  24.5  -
Gemmataceae               -          LKAP-GutHK_F12_086   -               79     897      73     924      53     924    1427    +    5.7e-163  539.6  23.6  -
Microscillaceae           -          LKAP-GutHK_F12_086   -               55     901      72     924      51     924    1461    +      7e-163  539.3  23.9  -
Marinifilaceae            -          LKAP-GutHK_F12_086   -               27     918      17     924       2     924    1450    +    2.5e-162  537.4  25.4  -
Sphaerobacteraceae        -          LKAP-GutHK_F12_086   -               80     917      72     924      51     924    1531    +      9e-162  535.7  25.7  -
Acanthopleuribacteraceae  -          LKAP-GutHK_F12_086   -               30     913      65     924      45     924    1453    +    4.9e-160  529.9  25.7  -
Roseiarcaceae             -          LKAP-GutHK_F12_086   -               69     884      69     924      49     924    1399    +    1.1e-159  528.7  24.0  -
Thermomicrobiaceae        -          LKAP-GutHK_F12_086   -               24     877      66     924      47     924    1273    +    2.5e-159  528.2  25.8  -
Phaselicystidaceae        -          LKAP-GutHK_F12_086   -               82     952      73     924      52     924    1539    +    2.5e-159  527.6  24.8  -
Blastocatellaceae         -          LKAP-GutHK_F12_086   -               72     924      48     924      27     924    1485    +    3.1e-159  527.1  24.5  -
Odoribacteraceae          -          LKAP-GutHK_F12_086   -               47     937      17     924       3     924    1486    +    5.2e-159  526.4  26.0  -
Emcibacteraceae           -          LKAP-GutHK_F12_086   -               70     898      48     924      26     924    1460    +    7.8e-159  526.0  24.2  -
Akkermansiaceae           -          LKAP-GutHK_F12_086   -               72     898      73     924      53     924    1441    +    1.2e-158  525.5  23.7  -
Temperatibacteraceae      -          LKAP-GutHK_F12_086   -               34     846      72     924      51     924    1362    +    1.7e-158  524.7  23.4  -
Oligoflexaceae            -          LKAP-GutHK_F12_086   -               64     917      72     924      49     924    1458    +    3.9e-157  520.3  24.9  -
Labilitrichaceae          -          LKAP-GutHK_F12_086   -               65     937      73     924      52     924    1483    +    4.6e-157  519.9  25.1  -
Anaeromyxobacteraceae     -          LKAP-GutHK_F12_086   -               84     957      72     924      51     924    1549    +    5.1e-157  519.9  25.2  -
Fervidobacteraceae        -          LKAP-GutHK_F12_086   -               28     889      17     924       3     924    1480    +    8.3e-157  519.4  26.8  -
Vulgatibacteraceae        -          LKAP-GutHK_F12_086   -               61     936      70     924      49     924    1479    +      4e-155  513.7  25.1  -
Christensenellaceae       -          LKAP-GutHK_F12_086   -               65     929      45     924      21     924    1497    +    5.1e-155  513.2  25.6  -
Egicoccaceae              -          LKAP-GutHK_F12_086   -               73     923      59     924      39     924    1512    +    5.6e-155  513.1  25.3  -
Isosphaeraceae            -          LKAP-GutHK_F12_086   -               66     913      69     924      49     924    1475    +      2e-154  511.3  24.8  -
Syntrophorhabdaceae       -          LKAP-GutHK_F12_086   -               33     938      22     924       3     924    1482    +      3e-154  510.7  25.8  -
Gaiellaceae               -          LKAP-GutHK_F12_086   -               76     948      61     924      34     924    1544    +    3.7e-154  510.3  25.9  -
Acidothermaceae           -          LKAP-GutHK_F12_086   -               45     917      18     924       3     924    1509    +    6.3e-154  509.8  25.4  -
Nitriliruptoraceae        -          LKAP-GutHK_F12_086   -               65     912      62     924      39     924    1425    +    6.3e-154  509.6  25.1  -
Hydrogenimonaceae         -          LKAP-GutHK_F12_086   -               29     917      18     924       3     924    1422    +    5.4e-153  506.6  26.0  -
Egibacteraceae            -          LKAP-GutHK_F12_086   -               65     925      42     924      20     924    1516    +    3.8e-152  503.9  25.9  -
Gracilibacteraceae        -          LKAP-GutHK_F12_086   -              202    1035      73     924      53     924    1549    +    1.6e-151  501.6  25.0  -
Halanaerobiales           -          LKAP-GutHK_F12_086   -               38     955      23     924       3     924    1500    +    1.9e-151  501.3  26.0  -
Euzebyaceae               -          LKAP-GutHK_F12_086   -               58     904      63     924      29     924    1476    +      8e-151  499.5  25.4  -
Thermogemmatisporaceae    -          LKAP-GutHK_F12_086   -               59     908      70     924      50     924    1443    +      2e-149  494.9  25.5  -
Haloplasmataceae          -          LKAP-GutHK_F12_086   -               54     911      70     924      49     924    1345    +    4.1e-149  493.8  25.0  -
Longimicrobiaceae         -          LKAP-GutHK_F12_086   -               11     882      67     924      54     924    1413    +    2.2e-148  491.4  25.3  -
Micropepsaceae            -          LKAP-GutHK_F12_086   -               71     887      71     924      50     924    1455    +    2.3e-148  491.2  24.0  -
Chloroflexaceae           -          LKAP-GutHK_F12_086   -               80     899      72     924      52     924    1473    +      6e-148  490.2  24.7  -
Acidimicrobiales          -          LKAP-GutHK_F12_086   -               73     911      69     924      48     924    1483    +    2.9e-147  487.8  25.1  -
Aquificales               -          LKAP-GutHK_F12_086   -               18     938      18     924       5     924    1450    +      4e-147  487.3  25.8  -
Gloeomargaritaceae        -          LKAP-GutHK_F12_086   -               75     891      72     924      52     924    1482    +    3.4e-146  484.1  23.4  -
Ignavibacteriaceae        -          LKAP-GutHK_F12_086   -               68     918      73     924      52     924    1461    +    7.2e-146  483.0  24.9  -
Xenococcaceae             -          LKAP-GutHK_F12_086   -               55     875      70     924      50     924    1418    +    3.5e-145  480.9  24.1  -
Brachyspiraceae           -          LKAP-GutHK_F12_086   -               59     887      72     924      30     924    1441    +    7.2e-145  479.6  25.0  -
Melioribacteraceae        -          LKAP-GutHK_F12_086   -               93     943      74     924      52     924    1539    +    2.5e-144  477.8  24.9  -
Caldisericaceae           -          LKAP-GutHK_F12_086   -               77     936      73     923      35     924    1481    +    1.8e-143  474.9  24.3  -
Victivallaceae            -          LKAP-GutHK_F12_086   -               58     903      58     924      37     924    1456    +    3.1e-143  474.2  24.6  -
Mooreiaceae               -          LKAP-GutHK_F12_086   -               14     902      16     924       5     924    1424    +    1.7e-142  471.9  25.7  -
Prochlorotrichaceae       -          LKAP-GutHK_F12_086   -               43     857      73     924      53     924    1448    +    2.2e-142  471.3  23.9  -
Ardenticatenia            -          LKAP-GutHK_F12_086   -               28     924      18     923       3     924    1453    +    1.3e-140  465.8  26.2  -
Armatimonadaceae          -          LKAP-GutHK_F12_086   -               60     895      70     924      48     924    1438    +    1.8e-140  465.1  24.2  -
Kiritimatiellaceae        -          LKAP-GutHK_F12_086   -               47     970      17     924       2     924    1556    +    6.3e-140  463.3  26.1  -
Herpetosiphonaceae        -          LKAP-GutHK_F12_086   -               75     900      72     924      52     924    1475    +    7.8e-138  456.3  23.7  -
Catalimonadaceae          -          LKAP-GutHK_F12_086   -               13     901      15     924       6     924    1425    +      1e-137  456.0  26.0  -
Thermonemataceae          -          LKAP-GutHK_F12_086   -               18     911      17     924       4     924    1465    +    1.1e-137  456.0  26.4  -
Spirochaetales            -          LKAP-GutHK_F12_086   -               27     911      17     924       5     924    1456    +    1.8e-137  455.1  25.4  -
Brevinemataceae           -          LKAP-GutHK_F12_086   -               47     930      18     923       4     924    1490    +      2e-137  455.0  25.4  -
Chitinivibrionaceae       -          LKAP-GutHK_F12_086   -               69     936      67     924      43     924    1488    +    6.7e-136  450.0  24.6  -
Mzabimycetaceae           -          LKAP-GutHK_F12_086   -               11     844      69     924      51     924    1357    +    1.7e-135  448.7  25.8  -
Trueperaceae              -          LKAP-GutHK_F12_086   -               60     881      73     924      52     924    1461    +    1.2e-134  445.7  23.4  -
Thermoflexaceae           -          LKAP-GutHK_F12_086   -                2     905       5     923       4     924    1466    +    2.5e-134  445.1  26.7  -
Verrucomicrobiales        -          LKAP-GutHK_F12_086   -               30     912      62     924      41     924    1410    +    5.2e-134  444.1  25.3  -
Elusimicrobiaceae         -          LKAP-GutHK_F12_086   -               54     887      72     923      52     924    1395    +    8.2e-134  442.9  24.1  -
Lentimicrobiaceae         -          LKAP-GutHK_F12_086   -               63     916      66     924      30     924    1446    +    9.6e-134  442.7  24.9  -
Ktedonobacteraceae        -          LKAP-GutHK_F12_086   -               53     873      71     923      50     924    1386    +    2.2e-133  441.8  24.7  -
Blastocatellales          -          LKAP-GutHK_F12_086   -               84     901      72     924      49     924    1488    +    1.9e-132  438.5  24.4  -
Filobacteriaceae          -          LKAP-GutHK_F12_086   -               46     936      17     924       1     924    1521    +    2.5e-132  438.0  25.9  -
Oligosphaeraceae          -          LKAP-GutHK_F12_086   -               52     893      65     924      43     924    1434    +    4.1e-132  437.4  24.6  -
Soortiaceae               -          LKAP-GutHK_F12_086   -               71     951      45     924      24     924    1516    +    4.2e-132  437.3  24.8  -
Schleiferiaceae           -          LKAP-GutHK_F12_086   -               82     935      70     924      40     924    1499    +    1.3e-131  436.0  24.8  -
Roseiflexaceae            -          LKAP-GutHK_F12_086   -               76     899      69     923      49     924    1469    +      5e-130  430.9  24.6  -
Spartobacteria            -          LKAP-GutHK_F12_086   -               69     907      70     924      49     924    1418    +    4.4e-129  427.4  24.5  -
Fimbriimonadaceae         -          LKAP-GutHK_F12_086   -               63     895      73     924      53     924    1443    +      7e-129  426.8  24.0  -
Chthonomonadaceae         -          LKAP-GutHK_F12_086   -               39     886      71     924      50     924    1411    +    1.1e-128  426.2  25.2  -
Simkaniaceae              -          LKAP-GutHK_F12_086   -               84     955      73     924      53     924    1545    +    1.1e-128  426.1  24.1  -
Ichthyobacteriaceae       -          LKAP-GutHK_F12_086   -               80     941      63     924      39     924    1521    +    1.7e-128  425.5  25.0  -
Waddliaceae               -          LKAP-GutHK_F12_086   -               91     966      73     924      53     924    1557    +    7.6e-126  416.8  24.7  -
Balneicellaceae           -          LKAP-GutHK_F12_086   -               32     927      18     923       2     924    1505    +    1.9e-124  412.0  25.4  -
Phycisphaeraceae          -          LKAP-GutHK_F12_086   -               56     892      65     924      41     924    1461    +    6.9e-120  397.2  24.0  -
Tepidisphaeraceae         -          LKAP-GutHK_F12_086   -               78     907      73     924      52     924    1491    +    2.4e-115  382.1  24.3  -
Chloroflexales            -          LKAP-GutHK_F12_086   -               53     884      71     923      48     924    1355    +      1e-114  380.4  25.5  -
Methanocaldococcaceae     -          LKAP-GutHK_F12_086   -               62     900      54     923      34     924    1429    +     1.2e-91  303.8  24.3  -
Methanobacteriaceae       -          LKAP-GutHK_F12_086   -               53     872      74     923      54     924    1403    +     5.4e-89  294.5  23.1  -
Methanococcaceae          -          LKAP-GutHK_F12_086   -               69     883      75     923      55     924    1410    +     3.1e-87  288.8  23.0  -
Archaeoglobaceae          -          LKAP-GutHK_F12_086   -               71     891      73     923      47     924    1451    +     4.4e-82  271.7  23.7  -
Sulfolobaceae             -          LKAP-GutHK_F12_086   -               66     900      72     922      51     924    1464    +     8.7e-82  270.5  24.5  -
Methanoregulaceae         -          LKAP-GutHK_F12_086   -               55     867      75     923      60     924    1413    +     1.6e-81  269.6  23.1  -
Methanothermaceae         -          LKAP-GutHK_F12_086   -               77     899      74     923      55     924    1482    +     1.4e-79  263.6  24.0  -
Methanomicrobiaceae       -          LKAP-GutHK_F12_086   -               59     871      75     923      55     924    1420    +     1.3e-78  260.1  23.8  -
Desulfurococcaceae        -          LKAP-GutHK_F12_086   -               69     911      67     923      60     924    1460    +     7.2e-78  257.9  25.5  -
Thermococcaceae           -          LKAP-GutHK_F12_086   -               60     888      67     923      47     924    1448    +     1.1e-76  254.0  25.0  -
Thermoproteaceae          -          LKAP-GutHK_F12_086   -               55     899      66     923      46     924    1471    +       5e-75  246.8  25.4  -
Pyrodictiaceae            -          LKAP-GutHK_F12_086   -               78     914      70     923      50     924    1497    +     3.1e-74  245.8  26.2  -
Acidilobaceae             -          LKAP-GutHK_F12_086   -               77     914      72     923      52     924    1451    +     8.5e-73  240.8  25.2  -
Halobacteriaceae          -          LKAP-GutHK_F12_086   -               76     896      74     923      56     924    1474    +     3.2e-72  238.7  24.0  -
Methanomicrobiales        -          LKAP-GutHK_F12_086   -               70     881      76     923      56     924    1425    +     4.8e-71  234.8  23.8  -
Thermofilaceae            -          LKAP-GutHK_F12_086   -               95     928      75     923      55     924    1513    +     3.9e-69  228.7  25.1  -
Nostocaceae               -          LKAP-GutHK_F12_086   -                4     548     365     924     362     924    1476    +     5.3e-69  228.6  14.5  -
Natrialbaceae             -          LKAP-GutHK_F12_086   -               91     896      89     923      68     924    1474    +     1.2e-68  226.8  23.1  -
Methanospirillaceae       -          LKAP-GutHK_F12_086   -               27     839      75     923      55     924    1378    +     6.6e-68  224.5  23.4  -
Haloarculaceae            -          LKAP-GutHK_F12_086   -               78     895      76     923      56     924    1473    +     1.9e-67  223.0  23.9  -
Methanopyraceae           -          LKAP-GutHK_F12_086   -               81     929      69     923      46     924    1512    +     1.2e-66  221.1  24.7  -
Haloferacaceae            -          LKAP-GutHK_F12_086   -               78     896      76     923      57     924    1474    +     1.8e-64  212.8  23.5  -
Thermoplasmataceae        -          LKAP-GutHK_F12_086   -               75     893      73     922      53     924    1471    +     2.4e-63  209.6  22.5  -
Methanocorpusculaceae     -          LKAP-GutHK_F12_086   -               73     883      77     923      56     924    1421    +       3e-63  209.0  23.4  -
Ferroplasmaceae           -          LKAP-GutHK_F12_086   -               77     870      76     904      61     923    1442    +     1.1e-62  207.4  20.2  -
Caldisphaeraceae          -          LKAP-GutHK_F12_086   -               64     900      74     923      54     924    1466    +     2.2e-62  206.9  24.2  -
Methanotrichaceae         -          LKAP-GutHK_F12_086   -               75     892      76     923      56     924    1423    +     1.7e-61  203.1  23.2  -
Methanosarcinaceae        -          LKAP-GutHK_F12_086   -               74     891      76     923      56     924    1425    +     5.6e-60  198.0  22.6  -
