# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               27    1030      18    1003       4    1014    1474    +           0 1069.9  18.3  -
Corynebacteriaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               26     989      18     988       5    1005    1459    +    7.3e-179  592.2  18.0  -
Solirubrobacteraceae      -          LKAP-GUTHK2_G01_003_2017_1 -               50     958      64     958      42     980    1443    +    8.7e-179  592.0  19.6  -
Geodermatophilaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               40     983      18     974       4     991    1479    +    2.3e-178  590.8  19.5  -
Sporolactobacillaceae     -          LKAP-GUTHK2_G01_003_2017_1 -               27     980      18     961       4     981    1503    +    3.5e-178  590.1  19.4  -
Thermodesulfobiaceae      -          LKAP-GUTHK2_G01_003_2017_1 -               43     971      18     959       7     978    1520    +    4.6e-178  589.7  20.0  -
Leuconostocaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               24    1001      19     978       5     999    1479    +    4.9e-178  589.7  18.1  -
Sporomusaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               46    1029      18     990       5    1011    1535    +    9.4e-178  588.4  18.3  -
Caldilineaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               35     953      19     960       5     974    1434    +    1.2e-177  588.4  20.3  -
Nocardioidaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               27     985      18     990       3    1010    1455    +    1.4e-177  588.2  18.8  -
Conexibacteraceae         -          LKAP-GUTHK2_G01_003_2017_1 -               88     996      66     959      45     979    1536    +    2.4e-177  587.1  19.4  -
Acidaminococcaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               34    1014      18     986       5    1008    1504    +    2.5e-177  586.9  18.5  -
Demequinaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               27     950      18     958       5     979    1478    +    3.4e-177  586.9  18.9  -
Nakamurellaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               34     947      24     959       6     976    1462    +    3.6e-177  586.8  19.6  -
Cytophagaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               32     971      21     978       4     998    1437    +    8.6e-177  585.5  19.4  -
Desulfurellaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               73     992      66     961      45     978    1529    +    3.2e-176  583.5  19.7  -
Natranaerobiaceae         -          LKAP-GUTHK2_G01_003_2017_1 -                2     956      14     972      13     993    1429    +    4.4e-176  583.1  17.6  -
Ventosimonadaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               54    1039      18     994       3    1013    1489    +    7.3e-176  582.2  18.4  -
Tsukamurellaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               46    1000      18     987       4    1007    1495    +    7.7e-176  582.4  18.7  -
Kineosporiaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               35     960      18     965       5     985    1463    +    1.1e-175  582.0  19.9  -
Cellulomonadaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               31     957      18     960       4     982    1465    +    1.3e-175  581.8  19.3  -
Thermaceae                -          LKAP-GUTHK2_G01_003_2017_1 -               37     956      18     963       8     983    1477    +    1.3e-175  581.7  20.2  -
Chroococcales             -          LKAP-GUTHK2_G01_003_2017_1 -               44     934      22     961       2     982    1445    +    1.4e-175  581.4  18.8  -
Algiphilaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               47    1015      18     984       4    1005    1501    +    1.6e-175  581.1  18.7  -
Mycobacteriaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               32     986      18     984       6     995    1471    +    2.2e-175  580.8  19.1  -
Bernardetiaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               27    1007      18    1001       6    1012    1481    +    2.5e-175  580.7  17.6  -
Parviterribacteraceae     -          LKAP-GUTHK2_G01_003_2017_1 -               67     960      65     958      45     978    1456    +    3.8e-175  580.0  19.1  -
Corynebacterineae         -          LKAP-GUTHK2_G01_003_2017_1 -               27     978      18     986       7    1005    1473    +    7.1e-175  579.3  18.7  -
Dermacoccaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               25     980      19     985       4     996    1456    +    7.3e-175  579.1  18.2  -
Chrysiogenaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               77     987      68     979      46     999    1513    +    2.2e-174  577.6  17.9  -
Micromonosporaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               41     963      18     960       5     981    1482    +    3.1e-174  577.1  20.0  -
Hymenobacteraceae         -          LKAP-GUTHK2_G01_003_2017_1 -               28     948      19     955       4     976    1445    +    9.4e-174  575.6  19.8  -
Nannocystaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               62     966      51     947      26     967    1487    +      1e-173  575.4  19.9  -
Acidobacteriaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               87     948      66     958      45     977    1462    +    2.4e-173  574.1  18.7  -
Halobacteroidaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               35     982      18     972       8     999    1478    +      3e-173  573.6  18.3  -
Balneolaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               53     955      46     949      22     970    1459    +    4.2e-173  573.3  19.6  -
Symbiobacteriaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               16    1012      14     988       2    1002    1468    +    5.1e-173  573.3  18.9  -
Peptoniphilaceae          -          LKAP-GUTHK2_G01_003_2017_1 -                3     950      18     979      16    1001    1437    +    5.5e-173  573.2  17.4  -
Frankiaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               48     979      18     973       5     987    1499    +    1.1e-172  572.1  19.6  -
Anaerolineaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               27     950      18     962       8     982    1430    +    1.5e-172  572.0  20.0  -
Rubritaleaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               34     971      18     958       1     977    1459    +    1.7e-172  571.2  19.4  -
Caldicoprobacteraceae     -          LKAP-GUTHK2_G01_003_2017_1 -               43    1003      18    1004       4    1008    1530    +    1.8e-172  571.2  18.0  -
Desulfurobacteriaceae     -          LKAP-GUTHK2_G01_003_2017_1 -               71     995      59     960      36     981    1497    +    2.5e-171  567.8  20.1  -
Sanguibacteraceae         -          LKAP-GUTHK2_G01_003_2017_1 -               44     993      18     981       3     994    1483    +    2.6e-171  567.3  18.6  -
Thermomonosporaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               27     980      18     987       5     992    1464    +    4.7e-171  566.5  18.7  -
Promicromonosporaceae     -          LKAP-GUTHK2_G01_003_2017_1 -               27     968      18     974       3     998    1462    +    6.2e-171  566.1  19.0  -
Segniliparaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               31     947      18     958       5     978    1462    +    8.7e-171  565.8  20.0  -
Dietziaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               18     936      18     959       5     989    1452    +    1.1e-170  565.3  19.6  -
Bogoriellaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               28     961      19     961       5     987    1470    +    1.5e-170  564.9  18.8  -
Porphyromonadaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               35     973      18     957       9     981    1473    +    1.6e-170  564.8  19.4  -
Defluviitaleaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               11     941      12     960       3     980    1413    +      2e-170  564.5  18.7  -
Persicobacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               27     956      18     954       5     975    1448    +      4e-170  563.5  19.7  -
Jiangellaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               33     955      18     961       3     981    1497    +    5.4e-170  563.0  19.7  -
Thermodesulfobacteriaceae -          LKAP-GUTHK2_G01_003_2017_1 -               66     984      67     963      45     983    1497    +    6.6e-170  562.9  20.1  -
Catenulisporaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               27     947      18     960       7     983    1460    +    7.8e-170  562.5  19.8  -
Planctomycetaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               37     970      18     963       2     985    1486    +    8.5e-170  562.6  20.0  -
Opitutaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               27     990      18     960       1     980    1482    +      2e-169  561.1  19.3  -
Leptotrichiaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               68    1000      42     986      21    1004    1492    +    2.6e-169  560.7  18.4  -
Rubricoccaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               73     966      64     955      31     975    1452    +    2.7e-169  560.7  19.0  -
Cryptosporangiaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               27     964      18     974       6     987    1470    +    2.2e-168  557.7  19.8  -
Lysobacteriales           -          LKAP-GUTHK2_G01_003_2017_1 -               55    1029      18     987       2    1008    1508    +    3.6e-168  557.0  19.1  -
Stigonematales            -          LKAP-GUTHK2_G01_003_2017_1 -               77     972      65     985      44     992    1450    +    4.1e-168  556.9  17.9  -
Sterolibacteriaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               43    1008      19     974       5     992    1531    +    6.1e-168  556.2  19.4  -
Gallionellaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               46    1002      20     974       5     995    1385    +    7.2e-168  556.0  18.9  -
Glycomycetaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               33     966      17     959       2     979    1495    +      1e-167  555.6  20.4  -
Dermatophilaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               33     955      19     960       8     981    1480    +    3.5e-167  553.7  19.6  -
Gemmatimonadaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               80     972      67     959      58     983    1525    +    4.1e-167  553.5  19.3  -
Spiroplasmataceae         -          LKAP-GUTHK2_G01_003_2017_1 -               78     979      65     960      44     975    1516    +    4.2e-167  553.8  18.7  -
Frankiales                -          LKAP-GUTHK2_G01_003_2017_1 -               34     956      18     961       6     981    1425    +      5e-167  553.3  20.0  -
Streptosporangiaceae      -          LKAP-GUTHK2_G01_003_2017_1 -               27     944      18     960       4     982    1464    +      1e-166  552.0  19.5  -
Anaeroplasmataceae        -          LKAP-GUTHK2_G01_003_2017_1 -               55     969      19     961       9     981    1453    +    1.9e-166  551.4  18.3  -
Pyrinomonadaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               47    1019      18     960       1     980    1526    +    1.9e-166  551.0  20.2  -
Dermabacteraceae          -          LKAP-GUTHK2_G01_003_2017_1 -               36     961      18     960       3     980    1470    +    2.2e-166  550.9  19.2  -
Nostocales                -          LKAP-GUTHK2_G01_003_2017_1 -               54     947      64     984      44    1002    1457    +    2.5e-166  551.0  17.2  -
Prolixibacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               26     952      17     951       4     973    1444    +    2.5e-166  550.8  20.2  -
Rikenellaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               35     972      18     956       7     977    1456    +    2.9e-166  550.6  19.1  -
Jonesiaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               45     998      16     967       3     988    1514    +    2.1e-165  547.9  18.9  -
Bifidobacteriaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               41     986      18     979       4     995    1469    +    2.4e-165  547.7  19.0  -
Bryobacteraceae           -          LKAP-GUTHK2_G01_003_2017_1 -               86     941      66     953      45     974    1417    +      3e-165  547.4  18.8  -
Beutenbergiaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               27     952      18     960       6     980    1472    +    3.7e-165  547.0  19.0  -
Iamiaceae                 -          LKAP-GUTHK2_G01_003_2017_1 -               66     954      58     958      37     978    1480    +    4.2e-165  547.0  18.5  -
Actinomycetales           -          LKAP-GUTHK2_G01_003_2017_1 -               47    1016      18     986       7     993    1535    +    5.7e-165  546.3  19.4  -
Betaproteobacteria        -          LKAP-GUTHK2_G01_003_2017_1 -               14     948      23     962      13     982    1454    +    8.4e-165  545.8  19.0  -
Chlorobiaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               87     973      69     960      48     981    1455    +    1.4e-164  545.1  19.1  -
Dehalococcoidaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               59     942      65     964      40     984    1437    +    3.3e-164  544.3  19.0  -
Marinilabiliaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               27     983      18     981       7     999    1447    +    8.8e-164  542.1  18.5  -
Crocinitomicaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               28     954      18     945       4     963    1466    +    1.7e-163  541.3  19.0  -
Ruaniaceae                -          LKAP-GUTHK2_G01_003_2017_1 -               51     983      18     959       7     982    1531    +    1.8e-163  541.1  18.8  -
Actinopolysporaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               28     998      18     986       2     996    1480    +    3.9e-163  540.2  18.9  -
Micrococcales             -          LKAP-GUTHK2_G01_003_2017_1 -               27     950      18     960       7     991    1475    +    4.2e-163  540.2  18.9  -
Sporichthyaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               28     945      19     958       7     978    1472    +    6.5e-163  539.7  19.7  -
Phormidiaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               77     972      65     986      43    1004    1483    +    1.1e-162  539.1  18.6  -
Mariprofundaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               47    1018      18     985       2    1006    1528    +    3.9e-162  536.8  18.6  -
Petrotogaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               42     969      18     962       5     994    1488    +    5.4e-162  536.8  19.3  -
Nocardiopsaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               27     982      18     976       5     996    1475    +    5.5e-162  536.6  18.9  -
Lewinellaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               27     948      18     948       6     968    1446    +    8.3e-162  536.0  20.0  -
Oscillospiraceae          -          LKAP-GUTHK2_G01_003_2017_1 -               22     965      15     962       2     982    1453    +    9.5e-162  535.3  18.4  -
Chitinophagaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               27     954      17     948       3     977    1458    +    1.3e-161  535.5  19.6  -
Deinococcaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               54     978      60     986      24    1004    1455    +    1.5e-161  535.0  19.6  -
Mesoaciditogaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               42     984      24     958       8     978    1522    +    1.5e-161  535.0  19.5  -
Streptosporangineae       -          LKAP-GUTHK2_G01_003_2017_1 -                3     954      16     989      14    1006    1443    +    2.8e-161  534.0  18.0  -
Chlamydiaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               50    1002      18     958       1     978    1548    +    3.1e-161  533.8  20.0  -
Cyclobacteriaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               27     950      18     947       4     968    1447    +    4.3e-161  533.6  19.9  -
Rarobacteraceae           -          LKAP-GUTHK2_G01_003_2017_1 -               17     962      19     981      10     993    1464    +      5e-161  533.1  18.6  -
Cryomorphaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               33     998      18     989       7    1000    1454    +    5.2e-161  533.3  18.0  -
Acholeplasmataceae        -          LKAP-GUTHK2_G01_003_2017_1 -               28     951      41     960      21     974    1437    +    2.6e-160  530.7  18.9  -
Atopobacteriaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               31     953      18     960       4     973    1442    +    4.2e-160  530.4  19.9  -
Prochlorococcaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               61     953      66     985      46     994    1465    +    4.7e-160  530.1  18.1  -
Haliscomenobacteraceae    -          LKAP-GUTHK2_G01_003_2017_1 -               47     978      18     955       6     979    1485    +      5e-160  530.4  19.8  -
Sphingobacteriaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               27     957      18     955       3     977    1450    +    2.1e-159  527.9  18.9  -
Cytophagales              -          LKAP-GUTHK2_G01_003_2017_1 -               26     955      17     954       5     976    1444    +    1.7e-158  525.0  19.6  -
Magnetococcaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               48     952      19     961       5     983    1497    +      4e-158  523.7  18.8  -
Eggerthellaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               35     952      19     963       5     983    1449    +    5.5e-158  523.4  19.3  -
Iodidimonadaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               42     950      40     973      20     996    1437    +    9.7e-158  522.4  17.1  -
Pseudobacteriovoracaceae  -          LKAP-GUTHK2_G01_003_2017_1 -               34     956      62     979      41    1000    1466    +      1e-157  522.2  18.7  -
Bacteroidales             -          LKAP-GUTHK2_G01_003_2017_1 -               49     980      18     955      11     977    1485    +    1.1e-157  521.9  18.7  -
Parachlamydiaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               73     988      66     960      45     980    1529    +    1.9e-157  521.5  20.0  -
Actinospicaceae           -          LKAP-GUTHK2_G01_003_2017_1 -                9     925      22     960      15     982    1425    +    3.4e-157  520.6  19.7  -
Aquificaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               28     979      19     959       5     980    1485    +    9.2e-157  519.4  20.0  -
Hydrogenothermaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               27     943      18     961       5     981    1447    +    1.8e-156  518.4  18.6  -
Kofleriaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               44     989      19     947       3     968    1498    +    2.7e-156  517.7  21.2  -
Thermotogaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               45     991      18     960       5     972    1545    +    2.6e-155  514.4  20.1  -
Rhodospirillales          -          LKAP-GUTHK2_G01_003_2017_1 -               41     923      63     980      42    1000    1413    +    7.5e-155  513.2  18.5  -
Prevotellaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               28     968      18     955      11     978    1464    +    1.1e-154  512.1  19.1  -
Entomoplasmataceae        -          LKAP-GUTHK2_G01_003_2017_1 -               65     967      66     960      44     979    1497    +    2.6e-154  511.2  18.9  -
Marinifilaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               27     958      18     953       8     975    1450    +    1.5e-153  508.4  18.7  -
Rhodothalassiaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               48     941      62     993      39    1007    1318    +      2e-153  508.3  17.0  -
Saprospiraceae            -          LKAP-GUTHK2_G01_003_2017_1 -               38     965      18     952       4     975    1430    +      1e-152  506.2  20.1  -
Fibrobacteraceae          -          LKAP-GUTHK2_G01_003_2017_1 -               26     971      18     986       4     998    1412    +    1.7e-152  505.3  19.7  -
Thermosporotrichaceae     -          LKAP-GUTHK2_G01_003_2017_1 -                7     873      65     959      57     979    1317    +    3.3e-151  501.0  20.1  -
Kosmotogaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               41     969      23     960       6     973    1488    +    4.6e-150  497.3  19.6  -
Dictyoglomaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               49     993      18     960       5     976    1541    +    3.6e-149  494.0  19.2  -
Bradymonadaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               69     962      66     960      46     981    1461    +    1.2e-148  492.1  19.2  -
Microscillaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               53     943      63     955      42     975    1461    +    1.3e-148  492.2  19.4  -
Sandaracinaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               54     966      66     954      45     975    1506    +    1.9e-148  491.8  20.1  -
Sphaerobacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               84     964      67     960      44     980    1531    +    3.4e-148  490.8  20.1  -
Temperatibacteraceae      -          LKAP-GUTHK2_G01_003_2017_1 -               33     921      64     989      43    1007    1362    +    1.3e-147  488.9  17.0  -
Lentisphaeraceae          -          LKAP-GUTHK2_G01_003_2017_1 -               59     960      48     969      25    1000    1465    +    1.4e-147  489.0  18.3  -
Gemmataceae               -          LKAP-GUTHK2_G01_003_2017_1 -               79     949      66     964      46     981    1427    +    2.1e-147  488.2  18.6  -
Fervidobacteriaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               89     998      63     960      37     974    1514    +    2.5e-147  487.9  20.0  -
Roseiarcaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               70     945      63     968      42     994    1399    +    7.3e-147  486.4  18.0  -
Blastocatellaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               47     966      18     955       2     972    1485    +      3e-146  484.2  20.0  -
Coriobacteriaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               40     952      18     960       4     980    1462    +    5.6e-146  483.9  19.7  -
Emcibacteraceae           -          LKAP-GUTHK2_G01_003_2017_1 -               53     946      23     961       5     983    1460    +    1.8e-145  482.0  18.4  -
Hydrogenimonaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               29     997      19     987       3     996    1422    +    2.2e-145  481.6  18.1  -
Thermomicrobiaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               26     922      61     958      43     976    1273    +    6.3e-145  480.6  20.3  -
Phaselicystidaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               81    1030      65     985      44     994    1539    +    1.4e-144  478.9  19.3  -
Anaeromyxobacteraceae     -          LKAP-GUTHK2_G01_003_2017_1 -               50    1007      21     963       3     983    1549    +    1.7e-144  478.6  20.1  -
Fervidobacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               28     936      18     960       3     973    1480    +    1.9e-144  478.5  20.0  -
Oligoflexaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               59     989      60     985      31    1001    1458    +    6.8e-144  476.6  18.4  -
Akkermansiaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               27     946      18     961       1     981    1441    +    9.1e-144  476.3  19.5  -
Odoribacteraceae          -          LKAP-GUTHK2_G01_003_2017_1 -               47     970      18     946       9     954    1486    +    1.7e-143  475.1  19.8  -
Acanthopleuribacteraceae  -          LKAP-GUTHK2_G01_003_2017_1 -               30     987      58     989      39    1010    1453    +      6e-143  473.4  18.5  -
Vulgatibacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               60     985      62     962      40     982    1479    +    1.9e-142  471.8  19.7  -
Christensenellaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               89     992      59     972      36     993    1497    +    8.3e-142  469.6  18.5  -
Isosphaeraceae            -          LKAP-GUTHK2_G01_003_2017_1 -               68     961      64     960      43     973    1475    +    3.5e-141  467.6  19.5  -
Nitriliruptoraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               54     959      43     960      20     980    1425    +    3.6e-141  467.5  19.3  -
Labilitrichaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               65     981      66     957      44     977    1483    +    1.4e-140  465.5  19.8  -
Egicoccaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               65     970      44     960      23     980    1512    +    2.4e-140  464.8  19.4  -
Gracilibacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -              183    1082      48     960      26     980    1549    +    4.2e-140  463.9  19.1  -
Gaiellaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               49     995      20     960       3     981    1544    +      6e-140  463.4  20.0  -
Syntrophorhabdaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               29     993      20     967       3     987    1482    +      1e-139  462.7  19.9  -
Halanaerobiales           -          LKAP-GUTHK2_G01_003_2017_1 -               78    1023      54     977      33     999    1500    +    1.6e-139  462.0  18.2  -
Acidothermaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               45     965      19     961       3     981    1509    +    2.8e-139  461.4  20.2  -
Egibacteraceae            -          LKAP-GUTHK2_G01_003_2017_1 -               86     972      64     960      42     981    1516    +    1.8e-137  455.5  19.8  -
Micropepsaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               72     941      65     966      44     987    1455    +      7e-137  453.3  18.5  -
Caldisericaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               27     984      18     960       2     981    1481    +      2e-136  451.7  19.8  -
Haloplasmataceae          -          LKAP-GUTHK2_G01_003_2017_1 -               55     959      64     961      44     981    1345    +    2.5e-135  448.4  19.4  -
Longimicrobiaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               13     946      62     973      50     995    1413    +    2.9e-135  448.1  19.3  -
Euzebyaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               43     949      43     958      22     979    1476    +    7.5e-135  446.7  19.8  -
Victivallaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               72     952      65     960      44     989    1456    +      8e-134  443.2  18.4  -
Acidimicrobiales          -          LKAP-GUTHK2_G01_003_2017_1 -               71     957      60     959      40     980    1483    +    9.8e-134  443.2  19.3  -
Melioribacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               74     988      47     958      25     980    1539    +    1.7e-133  442.0  19.2  -
Gloeomargaritaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               71     939      61     961      40     985    1482    +    3.8e-133  441.1  18.1  -
Chloroflexaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               81     944      66     958      46     978    1473    +    4.1e-133  441.1  19.0  -
Aquificales               -          LKAP-GUTHK2_G01_003_2017_1 -               17     985      18     960       4     980    1450    +    4.1e-133  441.0  20.0  -
Thermogemmatisporaceae    -          LKAP-GUTHK2_G01_003_2017_1 -               61     941      65     946      45     967    1443    +    6.7e-133  440.2  20.9  -
Ignavibacteriaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               68     963      66     958      45     980    1461    +    1.5e-132  439.0  19.4  -
Xenococcaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               56     921      64     959      41     982    1418    +    4.6e-131  434.4  19.3  -
Brachyspiraceae           -          LKAP-GUTHK2_G01_003_2017_1 -               21     945      20     971      10     982    1441    +    7.1e-131  433.4  19.1  -
Catalimonadaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               14     975      17     989       7    1009    1425    +    1.7e-130  432.2  18.2  -
Ardenticatenia            -          LKAP-GUTHK2_G01_003_2017_1 -               34     972      24     960       4     981    1453    +    2.7e-130  431.8  20.3  -
Mooreiaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               13     946      16     957       6     980    1424    +      6e-130  430.5  20.5  -
Prochlorotrichaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               43     936      66     986      45    1004    1448    +    1.3e-128  426.0  17.8  -
Herpetosiphonaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               55     945      40     958      20     971    1475    +    1.6e-128  425.6  17.2  -
Armatimonadaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               62     945      65     963      42     983    1438    +    2.2e-128  425.2  18.9  -
Kiritimatiellaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               47    1017      18     960       1     980    1556    +      4e-128  424.4  19.9  -
Trueperaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               18     930      19     962       3     983    1461    +      5e-128  424.0  18.6  -
Elusimicrobiaceae         -          LKAP-GUTHK2_G01_003_2017_1 -                8     929      20     954      15     975    1395    +    8.8e-127  419.8  18.8  -
Chitinivibrionaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               36    1018      19     995       2    1012    1488    +    9.3e-127  419.8  18.4  -
Verrucomicrobiales        -          LKAP-GUTHK2_G01_003_2017_1 -               43     960      66     961      45     981    1410    +    1.5e-126  419.5  20.0  -
Brevinemataceae           -          LKAP-GUTHK2_G01_003_2017_1 -               47     976      19     958       4     979    1490    +      3e-125  414.9  19.2  -
Thermoflexaceae           -          LKAP-GUTHK2_G01_003_2017_1 -                5     953       9     960       5     980    1466    +    3.5e-125  415.0  20.3  -
Mzabimycetaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               10     901      61     969      54     989    1357    +    8.7e-125  413.4  20.3  -
Blastocatellales          -          LKAP-GUTHK2_G01_003_2017_1 -               77     969      60     979      31     990    1488    +    1.8e-124  412.3  18.7  -
Ichthyobacteriaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               47     984      18     956       5     999    1521    +    3.5e-124  411.3  18.4  -
Spirochaetales            -          LKAP-GUTHK2_G01_003_2017_1 -               66     990      50     986       9    1001    1456    +    5.4e-124  410.7  18.2  -
