# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          A1d2_reverse         -              496    1437     960      20     960       6    1468    -           0 1037.6   5.1  -
Parvularculaceae          -          A1d2_reverse         -              475    1350     952      55     960      44    1428    -    5.2e-190  629.6   4.8  -
Promicromonosporaceae     -          A1d2_reverse         -              487    1381     952      60     960      40    1462    -    6.1e-190  629.1   5.8  -
Jiangellaceae             -          A1d2_reverse         -              492    1391     952      54     960      38    1497    -    8.7e-190  628.5   5.8  -
Cryomorphaceae            -          A1d2_reverse         -              507    1391     960      69     960      61    1454    -    1.2e-189  628.2   6.1  -
Ruaniaceae                -          A1d2_reverse         -              522    1419     952      57     960      43    1531    -    2.9e-189  626.6   5.8  -
Defluviitaleaceae         -          A1d2_reverse         -              477    1371     959      62     960      43    1413    -    3.2e-189  626.7   6.1  -
Cellulomonadaceae         -          A1d2_reverse         -              495    1373     952      74     960      47    1465    -    4.8e-189  626.2   5.9  -
Persicobacteraceae        -          A1d2_reverse         -              498    1383     960      69     960      49    1448    -    5.5e-189  626.0   5.8  -
Balneolaceae              -          A1d2_reverse         -              502    1370     960      82     960      62    1459    -    5.5e-189  625.8   6.1  -
Catenulisporaceae         -          A1d2_reverse         -              485    1378     952      59     960      41    1460    -    5.9e-189  625.8   5.9  -
Eggerthellaceae           -          A1d2_reverse         -              486    1380     959      55     960      41    1449    -    7.2e-189  625.6   5.6  -
Spiroplasmataceae         -          A1d2_reverse         -              519    1411     960      54     960      35    1516    -    9.6e-189  625.4   5.8  -
Saprospiraceae            -          A1d2_reverse         -              510    1397     960      68     960      52    1430    -    1.2e-188  625.2   5.8  -
Bryobacteraceae           -          A1d2_reverse         -              490    1376     951      65     960      43    1417    -    3.5e-188  623.3   5.5  -
Tsukamurellaceae          -          A1d2_reverse         -              505    1403     952      55     960      39    1495    -    4.5e-188  622.9   5.5  -
Patulibacteraceae         -          A1d2_reverse         -              521    1402     952      70     960      50    1494    -    5.6e-188  622.3   5.9  -
Desulfurobacteriaceae     -          A1d2_reverse         -              542    1446     946      55     960      39    1497    -    2.4e-187  620.8   5.4  -
Haliscomenobacteraceae    -          A1d2_reverse         -              518    1404     960      68     960      48    1485    -    3.7e-187  620.3   6.1  -
Nostocales                -          A1d2_reverse         -              450    1351     959      57     960      37    1457    -    1.1e-186  618.4   5.7  -
Bogoriellaceae            -          A1d2_reverse         -              495    1388     952      59     960      40    1470    -    3.2e-186  616.7   5.7  -
Actinopolysporaceae       -          A1d2_reverse         -              507    1402     951      56     960      42    1480    -    3.3e-186  616.6   5.7  -
Streptosporangiaceae      -          A1d2_reverse         -              483    1353     951      93     960      73    1464    -    7.8e-186  615.3   6.2  -
Marinilabiliaceae         -          A1d2_reverse         -              500    1385     960      68     960      53    1447    -    8.4e-186  615.1   6.1  -
Solirubrobacteraceae      -          A1d2_reverse         -              493    1382     959      68     960      43    1443    -    1.1e-185  614.8   6.0  -
Cyclobacteriaceae         -          A1d2_reverse         -              498    1386     960      68     960      48    1447    -    1.4e-185  614.7   6.1  -
Thermodesulfobiaceae      -          A1d2_reverse         -              513    1423     950      53     959      39    1520    -    1.4e-185  614.5   5.7  -
Nakamurellaceae           -          A1d2_reverse         -              486    1370     952      68     960      46    1462    -    2.3e-185  613.8   5.6  -
Algiphilaceae             -          A1d2_reverse         -              519    1435     959      43     960      23    1501    -    2.6e-185  613.4   5.5  -
Parachlamydiaceae         -          A1d2_reverse         -              520    1422     960      56     960      36    1529    -    3.3e-185  613.5   5.2  -
Thermomonosporaceae       -          A1d2_reverse         -              488    1348     951      93     960      73    1464    -    3.9e-185  613.1   6.2  -
Conexibacteraceae         -          A1d2_reverse         -              530    1417     959      70     960      50    1536    -      4e-185  612.8   6.0  -
Atopobacteriaceae         -          A1d2_reverse         -              490    1387     958      52     960      36    1442    -    5.8e-185  612.7   5.9  -
Dermacoccaceae            -          A1d2_reverse         -              488    1383     952      57     960      39    1456    -    6.9e-185  612.2   5.9  -
Sanguibacteraceae         -          A1d2_reverse         -              507    1367     952      93     960      61    1483    -    8.4e-185  612.0   5.9  -
Rubricoccaceae            -          A1d2_reverse         -              505    1392     960      68     960      54    1452    -    2.2e-184  610.7   5.9  -
Bifidobacteriaceae        -          A1d2_reverse         -              507    1389     952      72     960      43    1469    -    2.3e-184  610.6   5.9  -
Kineosporiaceae           -          A1d2_reverse         -              493    1392     952      55     960      37    1463    -    4.1e-184  609.9   5.7  -
Demequinaceae             -          A1d2_reverse         -              490    1350     952      93     960      61    1478    -    6.1e-184  609.1   6.1  -
Glycomycetaceae           -          A1d2_reverse         -              506    1391     951      67     959      45    1495    -    6.1e-184  609.3   5.7  -
Lentisphaeraceae          -          A1d2_reverse         -              495    1389     950      55     960      42    1465    -    2.3e-183  607.5   5.7  -
Dermabacteraceae          -          A1d2_reverse         -              495    1359     957      93     960      62    1470    -    2.8e-183  606.8   5.8  -
Micrococcales             -          A1d2_reverse         -              488    1348     952      93     960      62    1475    -    3.5e-183  606.7   5.9  -
Woeseiaceae               -          A1d2_reverse         -              514    1450     958      25     960       8    1476    -    4.3e-183  606.1   5.4  -
Bacteroidales             -          A1d2_reverse         -              522    1402     959      72     960      63    1485    -    4.9e-183  605.9   6.2  -
Mycobacteriaceae          -          A1d2_reverse         -              495    1394     952      55     960      37    1471    -    7.7e-183  605.4   5.7  -
Sporichthyaceae           -          A1d2_reverse         -              485    1377     952      60     960      43    1472    -    7.9e-183  605.6   5.8  -
Jonesiaceae               -          A1d2_reverse         -              527    1434     952      45     960      34    1514    -    8.3e-182  602.2   5.7  -
Rarobacteraceae           -          A1d2_reverse         -              476    1336     952      93     960      62    1464    -    1.1e-181  601.5   6.0  -
Opitutaceae               -          A1d2_reverse         -              522    1425     960      54     960      34    1482    -    1.2e-181  601.5   5.5  -
Dietziaceae               -          A1d2_reverse         -              476    1379     952      49     960      37    1452    -    1.2e-181  601.5   5.6  -
Beutenbergiaceae          -          A1d2_reverse         -              490    1381     952      63     960      43    1472    -    1.9e-181  600.8   5.9  -
Cryptosporangiaceae       -          A1d2_reverse         -              483    1371     952      63     960      43    1470    -    2.5e-181  600.5   5.9  -
Microscillaceae           -          A1d2_reverse         -              491    1374     952      64     960      41    1461    -      2e-180  597.4   6.1  -
Actinomycetales           -          A1d2_reverse         -              525    1419     952      59     960      43    1535    -    3.5e-180  596.7   5.8  -
Prolixibacteraceae        -          A1d2_reverse         -              498    1384     959      68     960      51    1444    -    3.6e-180  596.6   6.2  -
Entomoplasmataceae        -          A1d2_reverse         -              506    1399     960      54     960      35    1497    -    4.5e-180  596.5   5.8  -
Petrotogaceae             -          A1d2_reverse         -              506    1417     956      52     960      32    1488    -      1e-179  595.5   6.0  -
Segniliparaceae           -          A1d2_reverse         -              487    1348     952      93     960      62    1462    -    1.6e-179  594.6   6.0  -
Nocardiopsaceae           -          A1d2_reverse         -              501    1384     951      70     960      50    1475    -    2.1e-179  594.2   6.0  -
Dictyoglomaceae           -          A1d2_reverse         -              536    1434     951      70     960      47    1541    -    2.7e-179  593.8   6.4  -
Dermatophilaceae          -          A1d2_reverse         -              493    1383     952      62     960      42    1480    -    9.5e-179  591.9   5.8  -
Anaerolineaceae           -          A1d2_reverse         -              489    1372     950      55     960      38    1430    -    1.4e-178  592.0   5.6  -
Blastocatellaceae         -          A1d2_reverse         -              510    1407     951      56     960      39    1485    -    1.6e-178  591.0   5.8  -
Caldilineaceae            -          A1d2_reverse         -              494    1374     950      59     960      44    1434    -    1.9e-178  591.0   5.9  -
Streptosporangineae       -          A1d2_reverse         -              459    1336     952      82     960      56    1443    -    2.6e-178  590.4   6.0  -
Fibrobacteraceae          -          A1d2_reverse         -              486    1366     954      71     960      51    1412    -    3.4e-178  590.4   6.6  -
Sterolibacteriaceae       -          A1d2_reverse         -              529    1437     952      45     960      24    1531    -    5.9e-178  589.3   5.6  -
Frankiales                -          A1d2_reverse         -              493    1387     952      57     960      41    1425    -    1.5e-177  588.1   5.7  -
Chlamydiaceae             -          A1d2_reverse         -              536    1439     960      55     960      40    1548    -      2e-177  587.4   5.2  -
Mariprofundaceae          -          A1d2_reverse         -              524    1425     954      52     960      32    1528    -    5.1e-177  586.0   5.5  -
Gallionellaceae           -          A1d2_reverse         -              523    1380     952      97     960      92    1385    -    2.6e-176  583.8   6.8  -
Mesoaciditogaceae         -          A1d2_reverse         -              522    1429     957      54     960      34    1522    -    8.7e-176  582.2   5.8  -
Kosmotogaceae             -          A1d2_reverse         -              503    1414     959      52     960      38    1488    -    6.8e-175  579.5   6.0  -
Oscillospiraceae          -          A1d2_reverse         -              499    1391     957      60     960      38    1453    -    1.6e-174  577.6   5.9  -
Betaproteobacteria        -          A1d2_reverse         -              484    1418     953      22     960       6    1454    -    5.3e-174  576.1   5.2  -
Gemmataceae               -          A1d2_reverse         -              486    1364     949      94     955      73    1427    -    5.6e-174  576.2   6.2  -
Prevotellaceae            -          A1d2_reverse         -              509    1377     959      83     960      68    1464    -    2.3e-173  573.9   6.2  -
Coriobacteriaceae         -          A1d2_reverse         -              489    1388     959      52     960      35    1462    -    3.3e-173  574.1   6.0  -
Thermotogaceae            -          A1d2_reverse         -              527    1440     959      54     960      37    1545    -    3.7e-172  570.2   5.9  -
Bradymonadaceae           -          A1d2_reverse         -              498    1404     958      52     960      32    1461    -    2.1e-171  567.3   5.6  -
Rubritaleaceae            -          A1d2_reverse         -              513    1407     951      55     960      36    1459    -    5.3e-171  566.2   5.5  -
Actinospicaceae           -          A1d2_reverse         -              462    1354     952      68     960      46    1425    -      7e-171  565.8   6.1  -
Labilitrichaceae          -          A1d2_reverse         -              519    1426     957      53     960      33    1483    -    8.6e-171  565.4   5.7  -
Anaeromyxobacteraceae     -          A1d2_reverse         -              537    1444     959      52     960      35    1549    -    2.1e-170  564.3   5.7  -
Hydrogenimonaceae         -          A1d2_reverse         -              499    1404     958      54     960      40    1422    -    2.6e-170  564.0   5.8  -
Prochlorococcaceae        -          A1d2_reverse         -              463    1347     950      65     960      46    1465    -    1.2e-169  561.9   5.7  -
Vulgatibacteraceae        -          A1d2_reverse         -              516    1429     959      47     960      27    1479    -    1.2e-169  561.8   5.4  -
Odoribacteraceae          -          A1d2_reverse         -              523    1407     958      68     960      53    1486    -      4e-169  560.0   6.3  -
Magnetococcaceae          -          A1d2_reverse         -              484    1399     959      44     960      31    1497    -    9.5e-169  558.8   5.6  -
Hydrogenothermaceae       -          A1d2_reverse         -              489    1384     945      60     960      44    1447    -    2.1e-168  557.8   5.5  -
Syntrophorhabdaceae       -          A1d2_reverse         -              520    1427     958      52     960      32    1482    -    4.3e-167  553.2   5.6  -
Christensenellaceae       -          A1d2_reverse         -              517    1410     952      56     960      36    1497    -    5.2e-167  552.9   5.7  -
Kofleriaceae              -          A1d2_reverse         -              536    1443     958      51     960      25    1498    -    7.3e-166  549.3   5.6  -
Fervidobacteriaceae       -          A1d2_reverse         -              534    1447     959      54     960      38    1514    -      9e-166  549.0   6.3  -
Sandaracinaceae           -          A1d2_reverse         -              505    1414     959      51     960      31    1506    -    2.4e-165  547.6   5.7  -
Sphaerobacteraceae        -          A1d2_reverse         -              504    1354     951      93     959      73    1531    -    2.6e-165  547.4   6.2  -
Isosphaeraceae            -          A1d2_reverse         -              501    1365     949      94     956      73    1475    -    5.6e-165  546.4   6.3  -
Halanaerobiales           -          A1d2_reverse         -              541    1445     952      52     960      32    1500    -      1e-164  545.3   5.6  -
Temperatibacteraceae      -          A1d2_reverse         -              429    1337     958      51     960      32    1362    -    3.4e-164  543.6   5.5  -
Dehalococcoidaceae        -          A1d2_reverse         -              478    1367     951      51     960      38    1437    -    1.3e-163  542.2   5.2  -
Brachyspiraceae           -          A1d2_reverse         -              473    1383     957      45     960      36    1441    -    3.3e-163  540.5   5.8  -
Oligoflexaceae            -          A1d2_reverse         -              501    1434     954      22     960       6    1458    -    2.8e-161  534.1   5.1  -
Roseiarcaceae             -          A1d2_reverse         -              470    1369     954      53     960      37    1399    -    3.1e-161  533.9   5.7  -
Spirochaetales            -          A1d2_reverse         -              498    1400     952      52     960      32    1456    -    1.5e-160  531.6   5.7  -
Chitinivibrionaceae       -          A1d2_reverse         -              535    1408     948      66     960      46    1488    -    9.5e-160  528.9   5.7  -
Rhodospirillales          -          A1d2_reverse         -              443    1343     954      55     960      35    1413    -    1.1e-159  529.1   5.9  -
Nitriliruptoraceae        -          A1d2_reverse         -              491    1394     959      55     960      37    1425    -    1.3e-159  528.4   5.7  -
Pseudobacteriovoracaceae  -          A1d2_reverse         -              477    1390     954      40     960      15    1466    -    3.7e-159  526.9   5.2  -
Phaselicystidaceae        -          A1d2_reverse         -              534    1440     957      52     960      32    1539    -    6.5e-159  526.3   5.6  -
Emcibacteraceae           -          A1d2_reverse         -              479    1386     959      53     960      31    1460    -      1e-158  525.7   5.5  -
Acidothermaceae           -          A1d2_reverse         -              502    1400     952      54     960      35    1509    -    1.1e-158  525.6   5.8  -
Rhodothalassiaceae        -          A1d2_reverse         -              443    1308     959      93     960      79    1318    -    1.1e-158  525.6   6.2  -
Marinifilaceae            -          A1d2_reverse         -              502    1385     959      71     960      57    1450    -    1.3e-158  525.1   6.1  -
Akkermansiaceae           -          A1d2_reverse         -              477    1380     960      57     960      45    1441    -    1.4e-158  525.3   5.9  -
Fervidobacteraceae        -          A1d2_reverse         -              473    1351     959      82     960      57    1480    -    2.9e-158  524.2   6.4  -
Aquificaceae              -          A1d2_reverse         -              531    1423     946      57     960      40    1485    -    3.8e-158  523.9   5.2  -
Egicoccaceae              -          A1d2_reverse         -              508    1415     952      45     960      31    1512    -    1.2e-157  522.1   5.7  -
Trueperaceae              -          A1d2_reverse         -              466    1372     958      49     960      32    1461    -    1.7e-157  521.4   5.9  -
Gracilibacteraceae        -          A1d2_reverse         -              622    1515     951      55     960      35    1549    -    4.3e-157  520.0   5.5  -
Egibacteraceae            -          A1d2_reverse         -              510    1416     952      46     960      31    1516    -    5.9e-157  519.9   5.7  -
Acanthopleuribacteraceae  -          A1d2_reverse         -              493    1398     959      54     960      34    1453    -    6.4e-157  519.6   6.0  -
Melioribacteraceae        -          A1d2_reverse         -              531    1413     952      68     960      48    1539    -    2.9e-156  517.3   6.2  -
Longimicrobiaceae         -          A1d2_reverse         -              460    1363     959      60     960      40    1413    -    1.3e-155  515.4   5.8  -
Thermosporotrichaceae     -          A1d2_reverse         -              407    1282     959      68     960      47    1317    -    5.8e-155  513.4   5.8  -
Haloplasmataceae          -          A1d2_reverse         -              504    1342     951     107     960     104    1345    -    4.3e-154  510.4   7.4  -
Ignavibacteriaceae        -          A1d2_reverse         -              507    1388     952      68     960      48    1461    -    5.8e-154  509.8   6.1  -
Acidimicrobiales          -          A1d2_reverse         -              495    1392     952      55     960      35    1483    -    6.5e-154  509.9   5.7  -
Euzebyaceae               -          A1d2_reverse         -              484    1386     958      55     960      35    1476    -    1.1e-153  508.9   5.7  -
Iodidimonadaceae          -          A1d2_reverse         -              470    1413     959      20     960       5    1437    -    1.7e-152  505.0   5.3  -
Micropepsaceae            -          A1d2_reverse         -              473    1382     954      53     960      32    1455    -    2.1e-152  504.6   5.5  -
Prochlorotrichaceae       -          A1d2_reverse         -              443    1348     952      46     960      31    1448    -    5.6e-151  499.8   5.5  -
Waddliaceae               -          A1d2_reverse         -              545    1451     958      53     960      33    1557    -    1.2e-150  498.9   5.4  -
Chloroflexaceae           -          A1d2_reverse         -              477    1355     959      67     960      47    1473    -    2.8e-150  497.9   5.9  -
Gaiellaceae               -          A1d2_reverse         -              534    1421     952      66     960      44    1544    -    4.1e-150  496.9   5.9  -
Xenococcaceae             -          A1d2_reverse         -              456    1369     958      44     960      31    1418    -    1.3e-149  495.6   5.4  -
Thermomicrobiaceae        -          A1d2_reverse         -              462    1266     954     141     960     135    1273    -    3.2e-149  494.7   7.8  -
Aquificales               -          A1d2_reverse         -              528    1435     949      56     960      42    1450    -    7.4e-148  489.8   5.8  -
Victivallaceae            -          A1d2_reverse         -              491    1383     951      56     960      36    1456    -    1.6e-147  488.5   5.7  -
Gloeomargaritaceae        -          A1d2_reverse         -              473    1375     957      55     960      35    1482    -    2.4e-147  488.0   5.7  -
Herpetosiphonaceae        -          A1d2_reverse         -              478    1355     959      68     960      48    1475    -    1.4e-145  482.1   5.6  -
Mzabimycetaceae           -          A1d2_reverse         -              431    1326     952      56     960      38    1357    -      4e-145  480.6   5.7  -
Fimbriimonadaceae         -          A1d2_reverse         -              481    1381     952      55     959      35    1443    -    1.1e-144  479.1   5.8  -
Armatimonadaceae          -          A1d2_reverse         -              480    1383     952      52     960      31    1438    -    2.7e-144  477.8   5.6  -
Thermonemataceae          -          A1d2_reverse         -              497    1401     958      48     960      33    1465    -    1.1e-143  476.0   5.7  -
Thermogemmatisporaceae    -          A1d2_reverse         -              494    1366     951      66     960      45    1443    -    3.9e-143  474.0   6.2  -
Tepidisphaeraceae         -          A1d2_reverse         -              488    1386     959      68     960      47    1491    -    5.5e-143  473.6   6.2  -
Schleiferiaceae           -          A1d2_reverse         -              517    1405     958      67     960      46    1499    -    5.7e-142  470.3   6.1  -
Oligosphaeraceae          -          A1d2_reverse         -              479    1376     952      55     959      36    1434    -    3.6e-141  467.4   5.5  -
Elusimicrobiaceae         -          A1d2_reverse         -              475    1383     951      40     959      30    1395    -    5.8e-141  466.7   5.4  -
Simkaniaceae              -          A1d2_reverse         -              536    1438     958      55     960      35    1545    -    8.4e-141  466.2   5.6  -
Lentimicrobiaceae         -          A1d2_reverse         -              501    1406     958      48     960      34    1446    -    8.9e-141  466.1   5.8  -
Brevinemataceae           -          A1d2_reverse         -              525    1415     950      52     960      35    1490    -    3.6e-140  464.2   5.7  -
Ardenticatenia            -          A1d2_reverse         -              507    1406     958      44     960      31    1453    -      3e-139  461.3   5.7  -
Kiritimatiellaceae        -          A1d2_reverse         -              551    1452     959      54     960      32    1556    -    1.1e-138  459.3   5.6  -
Mooreiaceae               -          A1d2_reverse         -              486    1373     958      68     960      47    1424    -    3.1e-138  457.8   6.2  -
Blastocatellales          -          A1d2_reverse         -              486    1387     952      52     960      32    1488    -    3.2e-138  457.7   5.7  -
Catalimonadaceae          -          A1d2_reverse         -              483    1379     960      64     960      43    1425    -    9.2e-138  456.2   6.2  -
Caldisericaceae           -          A1d2_reverse         -              525    1440     952      52     960      32    1481    -    3.1e-137  454.3   5.8  -
Ichthyobacteriaceae       -          A1d2_reverse         -              523    1409     958      67     960      46    1521    -    5.3e-137  453.7   5.9  -
Nostocaceae               -          A1d2_reverse         -              122    1031     958      54     960      32    1476    -    3.8e-135  447.5   5.4  -
Phycisphaeraceae          -          A1d2_reverse         -              472    1385     959      52     960      30    1461    -    2.2e-134  445.2   5.8  -
Verrucomicrobiales        -          A1d2_reverse         -              492    1393     959      67     960      52    1410    -    3.1e-134  444.9   5.9  -
Balneicellaceae           -          A1d2_reverse         -              513    1397     958      67     960      47    1505    -    5.4e-134  443.7   6.0  -
Spartobacteria            -          A1d2_reverse         -              486    1384     959      62     960      42    1418    -    1.3e-131  435.9   5.8  -
Filobacteriaceae          -          A1d2_reverse         -              521    1427     958      49     960      34    1521    -    6.8e-131  433.3   5.8  -
Ktedonobacteraceae        -          A1d2_reverse         -              460    1347     952      45     960      31    1386    -    3.6e-130  431.3   5.3  -
Thermoflexaceae           -          A1d2_reverse         -              488    1383     956      52     960      27    1466    -    7.6e-130  430.4   5.3  -
Chthonomonadaceae         -          A1d2_reverse         -              471    1373     954      55     960      36    1411    -      2e-128  425.4   5.8  -
Soortiaceae               -          A1d2_reverse         -              529    1419     958      70     960      49    1516    -    3.1e-128  424.6   6.1  -
Roseiflexaceae            -          A1d2_reverse         -              478    1358     958      59     960      39    1469    -    2.8e-122  405.4   5.4  -
Chloroflexales            -          A1d2_reverse         -              464    1348     958      60     960      53    1355    -    4.4e-115  381.7   5.8  -
Methanobacteriaceae       -          A1d2_reverse         -              461    1337     945      82     954      61    1403    -    2.7e-113  375.0   5.7  -
Halobacteriaceae          -          A1d2_reverse         -              482    1344     948      95     959      74    1474    -    3.9e-103  341.2   6.2  -
Haloarculaceae            -          A1d2_reverse         -              481    1345     948      94     960      74    1473    -    2.2e-101  335.5   6.2  -
Sulfolobaceae             -          A1d2_reverse         -              505    1358     931      83     948      62    1464    -    2.6e-101  335.3   5.6  -
Desulfurococcaceae        -          A1d2_reverse         -              515    1385     931      71     949      50    1460    -    6.8e-101  334.3   5.8  -
Methanococcaceae          -          A1d2_reverse         -              487    1355     931      67     952      45    1410    -     1.7e-99  329.5   5.7  -
Haloferacaceae            -          A1d2_reverse         -              484    1347     946      93     959      73    1474    -     2.7e-98  324.9   6.1  -
Methanocaldococcaceae     -          A1d2_reverse         -              504    1372     931      67     951      45    1429    -     1.1e-97  323.8   5.8  -
Natrialbaceae             -          A1d2_reverse         -              483    1346     947      94     960      74    1474    -     1.2e-97  322.9   6.2  -
Halorubraceae             -          A1d2_reverse         -              484    1343     945      94     957      73    1470    -     3.4e-95  314.9   6.2  -
Methanoregulaceae         -          A1d2_reverse         -              469    1315     932      93     952      73    1413    -       5e-95  314.4   6.0  -
Methanothermaceae         -          A1d2_reverse         -              488    1370     953      77     958      57    1482    -     5.5e-94  311.4   6.1  -
Methanomicrobiaceae       -          A1d2_reverse         -              473    1325     932      82     954      64    1420    -       1e-93  310.3   5.9  -
Methanosarcinaceae        -          A1d2_reverse         -              478    1338     947      94     958      73    1425    -     1.8e-93  309.1   6.3  -
Methanotrichaceae         -          A1d2_reverse         -              477    1346     949      82     958      62    1423    -     2.6e-93  308.6   6.2  -
Pyrodictiaceae            -          A1d2_reverse         -              518    1376     931      78     951      58    1497    -     1.8e-92  306.3   5.7  -
Thermoproteaceae          -          A1d2_reverse         -              503    1373     931      69     951      49    1471    -     3.2e-92  303.9   6.0  -
Acidilobaceae             -          A1d2_reverse         -              519    1374     930      78     950      57    1451    -     1.7e-90  299.5   5.7  -
Archaeoglobaceae          -          A1d2_reverse         -              494    1341     931      93     951      72    1451    -     6.1e-90  297.8   6.1  -
Thermofilaceae            -          A1d2_reverse         -              533    1384     931      83     948      62    1513    -     7.9e-89  294.1   5.7  -
Caldisphaeraceae          -          A1d2_reverse         -              501    1367     934      74     954      52    1466    -     1.6e-88  293.4   5.7  -
Methanocellaceae          -          A1d2_reverse         -              479    1338     945      93     960      73    1440    -     2.7e-88  292.2   6.2  -
Methanomicrobiales        -          A1d2_reverse         -              471    1332     944      90     959      63    1425    -     2.5e-87  288.9   5.8  -
Methermicoccaceae         -          A1d2_reverse         -              451    1326     935      66     956      48    1346    -     1.7e-86  286.7   6.1  -
Thermococcaceae           -          A1d2_reverse         -              476    1350     946      78     960      59    1448    -     1.9e-86  286.4   6.3  -
Methanospirillaceae       -          A1d2_reverse         -              432    1290     941      90     960      58    1378    -     3.9e-86  284.9   5.9  -
Halococcaceae             -          A1d2_reverse         -              487    1346     942      93     956      73    1474    -     5.6e-86  284.4   6.2  -
Fervidicoccaceae          -          A1d2_reverse         -              524    1388     930      71     951      49    1502    -     2.5e-83  276.0   5.5  -
Methanopyraceae           -          A1d2_reverse         -              514    1390     949      81     958      60    1512    -     4.6e-83  275.5   5.9  -
Thermoplasmataceae        -          A1d2_reverse         -              486    1363     943      69     954      48    1471    -       7e-78  257.9   5.9  -
Methanocorpusculaceae     -          A1d2_reverse         -              486    1331     931      93     951      73    1421    -       1e-76  253.7   5.6  -
Cuniculiplasmataceae      -          A1d2_reverse         -              477    1360     948      68     957      48    1469    -       2e-75  250.0   5.7  -
Ferroplasmaceae           -          A1d2_reverse         -              494    1362     931      66     951      52    1442    -     2.8e-75  249.2   5.4  -
Nitrososphaeraceae        -          A1d2_reverse         -              492    1366     931      64     952      44    1470    -     4.1e-75  248.8   5.4  -
Picrophilaceae            -          A1d2_reverse         -              491    1344     945      96     953      74    1479    -     5.3e-75  248.3   5.6  -
Thermoplasmatales         -          A1d2_reverse         -              469    1345     941      68     956      48    1370    -     4.2e-74  245.8   5.6  -
Methanomassiliicoccaceae  -          A1d2_reverse         -              475    1362     946      65     957      44    1434    -     1.6e-65  217.2   5.6  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/A1d2_reverse.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/A1d2_reverse.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/A1d2_reverse.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 10:06:59 2020
# [ok]
