# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_D12_090   -               27     940      17     929       2     929    1474    +           0 1122.5  24.5  -
Ferrimonadaceae           -          LKAP-GutHK_D12_090   -               22     940      14     929       2     929    1475    +    8.1e-304 1006.1  24.7  -
Puniceicoccaceae          -          LKAP-GutHK_D12_090   -               38     944      18     929       3     929    1485    +    6.9e-190  628.8  23.7  -
Cellulomonadaceae         -          LKAP-GutHK_D12_090   -               72     914      70     928      17     929    1465    +    7.1e-190  628.9  23.2  -
Hymenobacteraceae         -          LKAP-GutHK_D12_090   -               56     911      68     929      46     929    1445    +    1.2e-189  628.1  21.9  -
Geodermatophilaceae       -          LKAP-GutHK_D12_090   -               72     921      64     928      42     929    1479    +    1.7e-189  627.6  23.1  -
Peptoniphilaceae          -          LKAP-GutHK_D12_090   -                3     891      17     929      15     929    1437    +    2.4e-189  627.2  23.3  -
Acidaminococcaceae        -          LKAP-GutHK_D12_090   -               73     949      72     929      49     929    1504    +    2.5e-189  626.6  22.2  -
Chroococcales             -          LKAP-GutHK_D12_090   -               50     891      56     929      35     929    1445    +    6.5e-189  625.5  22.1  -
Thermomonosporaceae       -          LKAP-GutHK_D12_090   -               27     905      17     928       3     929    1464    +    1.7e-188  624.2  24.2  -
Dermacoccaceae            -          LKAP-GutHK_D12_090   -               66     907      71     928      50     929    1456    +    2.4e-188  623.6  22.6  -
Promicromonosporaceae     -          LKAP-GutHK_D12_090   -               68     906      72     928      50     929    1462    +    4.4e-188  622.8  23.1  -
Defluviitaleaceae         -          LKAP-GutHK_D12_090   -               12     899      12     929       2     929    1413    +    5.1e-188  622.7  24.1  -
Cryptosporangiaceae       -          LKAP-GutHK_D12_090   -               27     903      17     929       3     929    1470    +    6.5e-188  622.3  24.3  -
Caldicoprobacteraceae     -          LKAP-GutHK_D12_090   -               91     939      69     929      37     929    1530    +    6.7e-188  622.1  22.8  -
Caldilineaceae            -          LKAP-GutHK_D12_090   -               35     911      18     929       2     929    1434    +    1.3e-187  621.3  25.4  -
Dietziaceae               -          LKAP-GutHK_D12_090   -               20     895      19     929       3     929    1452    +    1.6e-187  621.0  24.5  -
Acidobacteriaceae         -          LKAP-GutHK_D12_090   -               57     908      31     929       8     929    1462    +    3.9e-187  619.7  22.4  -
Jiangellaceae             -          LKAP-GutHK_D12_090   -               33     911      17     928       2     929    1497    +    4.6e-187  619.4  24.7  -
Bryobacteraceae           -          LKAP-GutHK_D12_090   -               52     906      27     929       7     929    1417    +    7.1e-187  618.9  24.3  -
Balneolaceae              -          LKAP-GutHK_D12_090   -               68     924      70     929      43     929    1459    +    8.8e-187  618.5  22.2  -
Catenulisporaceae         -          LKAP-GutHK_D12_090   -               60     905      66     929      23     929    1460    +    1.7e-186  617.6  22.9  -
Desulfurobacteriaceae     -          LKAP-GutHK_D12_090   -               54     953      45     929      23     929    1497    +    2.1e-186  617.6  22.8  -
Woeseiaceae               -          LKAP-GutHK_D12_090   -               72     939      63     929      40     929    1476    +    3.6e-186  616.3  22.4  -
Bernardetiaceae           -          LKAP-GutHK_D12_090   -               27     922      17     929       4     929    1481    +    5.3e-186  615.9  23.3  -
Anaerolineaceae           -          LKAP-GutHK_D12_090   -               63     906      69     929      42     929    1430    +    6.1e-186  616.3  23.2  -
Symbiobacteriaceae        -          LKAP-GutHK_D12_090   -               14     936      11     929       1     929    1468    +    7.4e-186  615.8  25.0  -
Streptosporangiaceae      -          LKAP-GutHK_D12_090   -               27     901      17     928       3     929    1464    +      3e-185  613.3  24.2  -
Sanguibacteraceae         -          LKAP-GutHK_D12_090   -               45     926      18     928       3     929    1483    +    3.5e-185  613.2  24.0  -
Stigonematales            -          LKAP-GutHK_D12_090   -               71     899      65     929      44     929    1450    +    1.7e-184  611.1  21.9  -
Thermodesulfobacteriaceae -          LKAP-GutHK_D12_090   -               61     939      68     929      30     929    1497    +    2.5e-184  610.6  22.6  -
Algiphilaceae             -          LKAP-GutHK_D12_090   -               48     943      18     929       2     929    1501    +    3.4e-184  609.6  24.1  -
Dermatophilaceae          -          LKAP-GutHK_D12_090   -               73     912      72     928      50     929    1480    +    3.8e-184  609.7  22.7  -
Porphyromonadaceae        -          LKAP-GutHK_D12_090   -               35     934      17     929       7     929    1473    +    4.7e-184  609.5  23.4  -
Bogoriellaceae            -          LKAP-GutHK_D12_090   -               70     914      72     928      51     929    1470    +    5.4e-184  609.2  22.6  -
Planctomycetaceae         -          LKAP-GutHK_D12_090   -               38     924      18     929       5     929    1486    +    5.8e-184  609.4  23.5  -
Sporichthyaceae           -          LKAP-GutHK_D12_090   -               28     905      18     929       3     929    1472    +    2.2e-183  607.4  24.4  -
Pyrinomonadaceae          -          LKAP-GutHK_D12_090   -               50     967      24     929       4     929    1526    +    4.2e-183  606.1  24.0  -
Leptotrichiaceae          -          LKAP-GutHK_D12_090   -               93     926      75     929      54     929    1492    +    5.2e-183  605.9  21.8  -
Rubritaleaceae            -          LKAP-GutHK_D12_090   -               79     931      72     929      50     929    1459    +    5.2e-183  606.0  21.6  -
Ventosimonadaceae         -          LKAP-GutHK_D12_090   -               84     957      59     929      37     929    1489    +    9.4e-183  604.9  22.7  -
Dermabacteraceae          -          LKAP-GutHK_D12_090   -               79     918      72     928      51     929    1470    +    1.2e-182  604.7  22.8  -
Spiroplasmataceae         -          LKAP-GutHK_D12_090   -               73     937      66     929      46     929    1516    +    2.5e-182  604.1  21.9  -
Opitutaceae               -          LKAP-GutHK_D12_090   -               74     947      70     928      38     929    1482    +    3.7e-182  603.2  22.3  -
Rubricoccaceae            -          LKAP-GutHK_D12_090   -               33     929      18     929       2     929    1452    +    9.4e-182  601.9  23.2  -
Nostocales                -          LKAP-GutHK_D12_090   -               53     875      69     929      49     929    1457    +      1e-181  601.9  21.7  -
Persicobacteraceae        -          LKAP-GutHK_D12_090   -               62     920      64     929      39     929    1448    +      2e-181  600.8  22.3  -
Frankiales                -          LKAP-GutHK_D12_090   -               34     913      17     929       3     929    1425    +    2.5e-181  600.6  24.7  -
Sterolibacteriaceae       -          LKAP-GutHK_D12_090   -               46     947      21     928       2     929    1531    +    3.4e-181  599.9  24.7  -
Micrococcales             -          LKAP-GutHK_D12_090   -               68     907      72     928      52     929    1475    +    3.9e-181  599.9  22.9  -
Atopobacteriaceae         -          LKAP-GutHK_D12_090   -               37     911      22     929       2     929    1442    +    5.6e-181  599.5  24.3  -
Gemmatimonadaceae         -          LKAP-GutHK_D12_090   -               80     931      73     929      53     929    1525    +    1.1e-180  598.4  22.1  -
Glycomycetaceae           -          LKAP-GutHK_D12_090   -               34     924      17     928       2     929    1495    +    3.6e-180  596.8  24.3  -
Beutenbergiaceae          -          LKAP-GutHK_D12_090   -               66     909      70     928      49     929    1472    +    5.4e-180  596.0  22.7  -
Phormidiaceae             -          LKAP-GutHK_D12_090   -               78     898      72     929      52     929    1483    +    7.8e-180  595.8  23.0  -
Anaeroplasmataceae        -          LKAP-GutHK_D12_090   -               84     926      72     929      51     929    1453    +    2.8e-179  593.7  22.1  -
Mesoaciditogaceae         -          LKAP-GutHK_D12_090   -               35     944      17     929       2     929    1522    +    6.5e-179  592.5  24.9  -
Ruaniaceae                -          LKAP-GutHK_D12_090   -               90     941      68     928      42     929    1531    +    6.7e-179  592.2  22.1  -
Chitinophagaceae          -          LKAP-GutHK_D12_090   -               28     924      17     929       3     929    1458    +    1.2e-178  591.9  23.8  -
Actinomycetales           -          LKAP-GutHK_D12_090   -               48     943      18     929       4     929    1535    +    1.9e-178  590.9  24.4  -
Rikenellaceae             -          LKAP-GutHK_D12_090   -               35     934      17     929       4     929    1456    +    3.2e-178  590.1  23.1  -
Prolixibacteraceae        -          LKAP-GutHK_D12_090   -               14     919       7     929       2     929    1444    +    4.1e-178  589.7  25.0  -
Haliscomenobacteraceae    -          LKAP-GutHK_D12_090   -               34     941       7     929       3     929    1485    +      7e-178  589.5  24.5  -
Streptosporangineae       -          LKAP-GutHK_D12_090   -                3     877      15     928      13     929    1443    +    9.6e-178  588.5  23.6  -
Crocinitomicaceae         -          LKAP-GutHK_D12_090   -               28     927      17     929       3     929    1466    +    1.1e-177  588.2  22.5  -
Nocardiopsaceae           -          LKAP-GutHK_D12_090   -               27     918      17     928       3     929    1475    +    1.3e-177  588.3  24.1  -
Cytophagales              -          LKAP-GutHK_D12_090   -               27     919      17     929       4     929    1444    +    1.9e-177  587.6  23.9  -
Iamiaceae                 -          LKAP-GutHK_D12_090   -               33     913      27     928       6     929    1480    +    3.2e-177  587.1  22.9  -
Jonesiaceae               -          LKAP-GutHK_D12_090   -               91     946      72     928      51     929    1514    +    3.4e-177  586.9  22.1  -
Cryomorphaceae            -          LKAP-GutHK_D12_090   -               33     929      17     929       4     929    1454    +    4.8e-177  586.3  23.0  -
Betaproteobacteria        -          LKAP-GutHK_D12_090   -               47     903      72     928      51     929    1454    +    8.6e-177  585.3  22.4  -
Chlorobiaceae             -          LKAP-GutHK_D12_090   -               71     931      63     929      43     929    1455    +    9.3e-177  585.3  22.4  -
Cyclobacteriaceae         -          LKAP-GutHK_D12_090   -               27     921      17     929       3     929    1447    +    1.9e-176  584.3  23.9  -
Oscillospiraceae          -          LKAP-GutHK_D12_090   -               20     921      12     929       1     929    1453    +    3.8e-176  582.9  25.2  -
Bifidobacteriaceae        -          LKAP-GutHK_D12_090   -               47     927      27     929       7     929    1469    +    4.2e-176  583.2  24.3  -
Dehalococcoidaceae        -          LKAP-GutHK_D12_090   -               60     896      72     929      52     929    1437    +    4.7e-176  583.4  22.2  -
Lewinellaceae             -          LKAP-GutHK_D12_090   -               14     918       7     929       2     929    1446    +    5.5e-176  582.8  24.9  -
Actinospicaceae           -          LKAP-GutHK_D12_090   -               32     883      65     929      43     929    1425    +      9e-176  582.0  23.1  -
Eggerthellaceae           -          LKAP-GutHK_D12_090   -               44     907      31     929      10     929    1449    +    9.6e-176  582.1  22.4  -
Prochlorococcaceae        -          LKAP-GutHK_D12_090   -               48     880      44     929      24     929    1465    +    1.4e-175  581.4  22.6  -
Rarobacteraceae           -          LKAP-GutHK_D12_090   -               57     895      72     928      51     929    1464    +    3.2e-175  580.1  22.9  -
Lysobacteriales           -          LKAP-GutHK_D12_090   -               56     954      18     929       2     929    1508    +    4.7e-175  579.7  24.5  -
Parachlamydiaceae         -          LKAP-GutHK_D12_090   -               68     946      67     929      47     929    1529    +    8.8e-175  578.8  22.7  -
Gallionellaceae           -          LKAP-GutHK_D12_090   -               83     941      72     928      51     929    1385    +    9.3e-175  578.7  22.5  -
Marinilabiliaceae         -          LKAP-GutHK_D12_090   -               27     922      17     929       6     929    1447    +    1.4e-174  577.9  23.2  -
Sphingobacteriaceae       -          LKAP-GutHK_D12_090   -               68     920      71     929      50     929    1450    +    1.6e-174  577.9  21.1  -
Mariprofundaceae          -          LKAP-GutHK_D12_090   -               88     945      72     929      50     929    1528    +    1.7e-174  577.5  22.5  -
Chlamydiaceae             -          LKAP-GutHK_D12_090   -               51     962      18     929       1     929    1548    +    4.2e-174  576.3  24.5  -
Deinococcaceae            -          LKAP-GutHK_D12_090   -               49     904      61     929      41     929    1455    +    4.8e-174  576.2  22.8  -
Petrotogaceae             -          LKAP-GutHK_D12_090   -               43     925      18     929       3     929    1488    +    7.9e-174  575.9  23.9  -
Pseudobacteriovoracaceae  -          LKAP-GutHK_D12_090   -                7     898      29     929      22     929    1466    +    1.1e-173  574.9  23.3  -
Thermotogaceae            -          LKAP-GutHK_D12_090   -               45     949      17     929       2     929    1545    +      2e-173  574.3  24.1  -
Acholeplasmataceae        -          LKAP-GutHK_D12_090   -               46     909      66     929      44     929    1437    +    2.7e-173  573.6  22.5  -
Actinopolysporaceae       -          LKAP-GutHK_D12_090   -               63     925      65     929      28     929    1480    +      9e-173  572.0  23.0  -
Kofleriaceae              -          LKAP-GutHK_D12_090   -               54     959      32     928       9     929    1498    +    2.9e-172  570.5  23.2  -
Aquificaceae              -          LKAP-GutHK_D12_090   -               33     937      22     928       3     929    1485    +      3e-170  563.9  23.5  -
Kosmotogaceae             -          LKAP-GutHK_D12_090   -               37     927      19     929       3     929    1488    +    1.6e-169  561.6  24.0  -
Iodidimonadaceae          -          LKAP-GutHK_D12_090   -               58     894      67     929      27     929    1437    +      9e-169  558.8  22.0  -
Fibrobacteraceae          -          LKAP-GutHK_D12_090   -               26     903      17     929       3     929    1412    +      1e-168  558.9  24.3  -
Saprospiraceae            -          LKAP-GutHK_D12_090   -               38     931      17     929       3     929    1430    +    1.2e-168  558.8  23.7  -
Entomoplasmataceae        -          LKAP-GutHK_D12_090   -               64     925      71     929      51     929    1497    +    6.3e-168  556.2  21.7  -
Thermosporotrichaceae     -          LKAP-GutHK_D12_090   -                7     832      71     929      65     929    1317    +    4.1e-167  553.6  22.5  -
Magnetococcaceae          -          LKAP-GutHK_D12_090   -               53     909      22     929       2     929    1497    +    1.4e-166  551.6  24.2  -
Hydrogenothermaceae       -          LKAP-GutHK_D12_090   -               27     900      17     929       2     929    1447    +    1.8e-166  551.4  23.2  -
Bacteroidales             -          LKAP-GutHK_D12_090   -               75     943      55     929      27     929    1485    +    6.2e-166  549.1  22.0  -
Microscillaceae           -          LKAP-GutHK_D12_090   -               37     906      55     929      35     929    1461    +    1.1e-165  548.5  22.2  -
Rhodospirillales          -          LKAP-GutHK_D12_090   -               42     863      70     929      50     929    1413    +    6.2e-165  546.4  22.0  -
Sandaracinaceae           -          LKAP-GutHK_D12_090   -               50     930      68     929      48     929    1506    +    8.1e-165  545.8  22.2  -
Dictyoglomaceae           -          LKAP-GutHK_D12_090   -               97     951      71     929      43     929    1541    +    1.2e-164  545.1  22.6  -
Lentisphaeraceae          -          LKAP-GutHK_D12_090   -               37     912      20     929       4     929    1465    +    2.2e-164  544.5  23.0  -
Rhodothalassiaceae        -          LKAP-GutHK_D12_090   -               43     867      63     929      42     929    1318    +    3.1e-164  543.9  22.6  -
Bradymonadaceae           -          LKAP-GutHK_D12_090   -               60     920      63     929      37     929    1461    +      8e-164  542.2  22.6  -
Sphaerobacteraceae        -          LKAP-GutHK_D12_090   -               68     922      59     929      38     929    1531    +    8.7e-164  542.3  23.3  -
Prevotellaceae            -          LKAP-GutHK_D12_090   -               28     931      17     929      10     929    1464    +    4.5e-163  539.8  22.6  -
Fervidobacteriaceae       -          LKAP-GutHK_D12_090   -               35     956      17     929       2     929    1514    +    5.5e-162  536.4  24.7  -
Coriobacteriaceae         -          LKAP-GutHK_D12_090   -               40     910      17     929       2     929    1462    +    1.2e-161  535.8  24.1  -
Gemmataceae               -          LKAP-GutHK_D12_090   -               79     902      72     929      52     929    1427    +    2.6e-161  534.2  20.9  -
Acanthopleuribacteraceae  -          LKAP-GutHK_D12_090   -               30     918      64     929      44     929    1453    +    6.6e-161  532.7  22.8  -
Roseiarcaceae             -          LKAP-GutHK_D12_090   -               71     889      70     929      50     929    1399    +      1e-160  532.1  22.4  -
Temperatibacteraceae      -          LKAP-GutHK_D12_090   -               32     851      69     929      49     929    1362    +    1.7e-160  531.4  21.6  -
Labilitrichaceae          -          LKAP-GutHK_D12_090   -               47     942      58     929      36     929    1483    +    1.9e-160  531.1  22.7  -
Blastocatellaceae         -          LKAP-GutHK_D12_090   -               53     929      27     929       7     929    1485    +    4.7e-160  529.8  23.1  -
Marinifilaceae            -          LKAP-GutHK_D12_090   -               63     923      63     929      41     929    1450    +      8e-160  529.1  21.1  -
Thermomicrobiaceae        -          LKAP-GutHK_D12_090   -               24     882      65     929      46     929    1273    +    1.3e-159  529.2  23.6  -
Anaeromyxobacteraceae     -          LKAP-GutHK_D12_090   -               81     962      68     929      46     929    1549    +    2.3e-159  527.7  22.5  -
Odoribacteraceae          -          LKAP-GutHK_D12_090   -               47     942      17     929       7     929    1486    +    2.5e-159  527.5  23.2  -
Emcibacteraceae           -          LKAP-GutHK_D12_090   -               53     903      27     929       7     929    1460    +    2.8e-158  524.2  22.4  -
Phaselicystidaceae        -          LKAP-GutHK_D12_090   -               78     956      68     928      45     929    1539    +    4.3e-158  523.5  22.6  -
Oligoflexaceae            -          LKAP-GutHK_D12_090   -               28     922      22     929       2     929    1458    +    9.8e-158  522.3  24.4  -
Fervidobacteraceae        -          LKAP-GutHK_D12_090   -               28     894      17     929       2     929    1480    +    1.2e-157  522.2  25.1  -
Akkermansiaceae           -          LKAP-GutHK_D12_090   -               69     903      69     929      49     929    1441    +    1.4e-157  522.0  21.8  -
Acidothermaceae           -          LKAP-GutHK_D12_090   -               44     921      17     928       2     929    1509    +    1.8e-155  514.9  24.7  -
Isosphaeraceae            -          LKAP-GutHK_D12_090   -               68     918      70     929      50     929    1475    +      4e-155  513.7  22.2  -
Hydrogenimonaceae         -          LKAP-GutHK_D12_090   -               29     922      18     929       2     929    1422    +    8.9e-155  512.5  23.9  -
Vulgatibacteraceae        -          LKAP-GutHK_D12_090   -               60     941      68     929      47     929    1479    +    3.7e-154  510.5  22.4  -
Gracilibacteraceae        -          LKAP-GutHK_D12_090   -              201    1040      71     929      51     929    1549    +    1.5e-153  508.3  22.8  -
Syntrophorhabdaceae       -          LKAP-GutHK_D12_090   -               31     943      25     929       4     929    1482    +    4.3e-153  506.9  24.1  -
Christensenellaceae       -          LKAP-GutHK_D12_090   -               41     934      26     929       5     929    1497    +      1e-152  505.6  23.6  -
Gaiellaceae               -          LKAP-GutHK_D12_090   -               54     953      23     929       3     929    1544    +    1.1e-152  505.4  24.1  -
Nitriliruptoraceae        -          LKAP-GutHK_D12_090   -               75     916      71     928      45     929    1425    +    6.7e-151  499.6  22.9  -
Egicoccaceae              -          LKAP-GutHK_D12_090   -               83     927      68     928      45     929    1512    +    1.1e-150  499.0  22.7  -
Thermogemmatisporaceae    -          LKAP-GutHK_D12_090   -               61     913      71     929      51     929    1443    +    1.6e-149  495.1  23.4  -
Micropepsaceae            -          LKAP-GutHK_D12_090   -               72     892      71     929      51     929    1455    +    1.8e-149  494.9  22.3  -
Chloroflexaceae           -          LKAP-GutHK_D12_090   -               80     904      71     929      50     929    1473    +    2.7e-149  494.7  21.8  -
Halanaerobiales           -          LKAP-GutHK_D12_090   -               37     960      22     929       2     929    1500    +    3.4e-149  493.9  24.3  -
Euzebyaceae               -          LKAP-GutHK_D12_090   -               60     908      64     928      27     929    1476    +    4.3e-149  493.7  23.4  -
Egibacteraceae            -          LKAP-GutHK_D12_090   -               60     929      36     928      15     929    1516    +    5.8e-149  493.4  23.4  -
Longimicrobiaceae         -          LKAP-GutHK_D12_090   -                7     887      62     929      53     929    1413    +    2.2e-147  488.1  22.8  -
Caldisericaceae           -          LKAP-GutHK_D12_090   -               28     942      18     929       2     929    1481    +    3.5e-147  487.2  24.3  -
Haloplasmataceae          -          LKAP-GutHK_D12_090   -               50     916      64     929      42     929    1345    +    3.9e-147  487.3  22.2  -
Victivallaceae            -          LKAP-GutHK_D12_090   -               55     907      57     928      36     929    1456    +    6.5e-146  483.1  22.1  -
Acidimicrobiales          -          LKAP-GutHK_D12_090   -               59     915      45     928       8     929    1483    +      7e-146  483.2  23.5  -
Brachyspiraceae           -          LKAP-GutHK_D12_090   -               21     892      19     929       7     929    1441    +    2.5e-145  481.1  24.3  -
Ignavibacteriaceae        -          LKAP-GutHK_D12_090   -               49     923      54     929      33     929    1461    +    8.8e-145  479.4  22.6  -
Xenococcaceae             -          LKAP-GutHK_D12_090   -               57     880      71     929      50     929    1418    +    9.3e-145  479.5  22.8  -
Gloeomargaritaceae        -          LKAP-GutHK_D12_090   -               73     895      69     928      47     929    1482    +    1.7e-144  478.5  21.7  -
Aquificales               -          LKAP-GutHK_D12_090   -               24     943      23     929       4     929    1450    +    2.5e-144  478.0  23.8  -
Mooreiaceae               -          LKAP-GutHK_D12_090   -               13     907      15     929       3     929    1424    +    1.3e-142  472.3  24.1  -
Prochlorotrichaceae       -          LKAP-GutHK_D12_090   -               26     862      57     929      36     929    1448    +    5.8e-142  470.0  22.8  -
Melioribacteraceae        -          LKAP-GutHK_D12_090   -               90     948      70     929      47     929    1539    +    1.2e-141  468.9  22.0  -
Ardenticatenia            -          LKAP-GutHK_D12_090   -               32     930      26     929       5     929    1453    +    1.2e-141  469.2  24.4  -
Kiritimatiellaceae        -          LKAP-GutHK_D12_090   -               47     974      17     928       2     929    1556    +    1.6e-140  465.3  24.4  -
Herpetosiphonaceae        -          LKAP-GutHK_D12_090   -               74     905      70     929      50     929    1475    +    2.2e-140  464.7  21.5  -
Chitinivibrionaceae       -          LKAP-GutHK_D12_090   -               34     940      20     928       2     929    1488    +    1.7e-138  458.5  23.8  -
Trueperaceae              -          LKAP-GutHK_D12_090   -               60     886      72     929      49     929    1461    +    1.4e-137  455.5  21.5  -
Thermonemataceae          -          LKAP-GutHK_D12_090   -               19     916      18     929       4     929    1465    +    1.4e-137  455.7  24.8  -
Armatimonadaceae          -          LKAP-GutHK_D12_090   -               63     899      72     928      51     929    1438    +    1.9e-137  455.1  21.8  -
Catalimonadaceae          -          LKAP-GutHK_D12_090   -               14     906      16     929       8     929    1425    +    2.3e-137  454.9  23.7  -
Blastocatellales          -          LKAP-GutHK_D12_090   -               48     906      22     929       2     929    1488    +    9.6e-137  452.7  23.5  -
Mzabimycetaceae           -          LKAP-GutHK_D12_090   -               12     848      69     928      51     929    1357    +    3.7e-136  450.9  23.4  -
Thermoflexaceae           -          LKAP-GutHK_D12_090   -                6     911       9     929       4     929    1466    +    2.5e-135  448.5  24.9  -
Brevinemataceae           -          LKAP-GutHK_D12_090   -               81     935      60     928      38     929    1490    +    2.5e-135  448.1  22.2  -
Elusimicrobiaceae         -          LKAP-GutHK_D12_090   -               52     893      69     929      48     929    1395    +    5.2e-135  446.9  21.8  -
Spirochaetales            -          LKAP-GutHK_D12_090   -               44     916      30     929       9     929    1456    +    1.1e-134  445.9  23.0  -
Lentimicrobiaceae         -          LKAP-GutHK_D12_090   -               64     921      66     929      29     929    1446    +    5.3e-134  443.6  22.1  -
Soortiaceae               -          LKAP-GutHK_D12_090   -               69     955      42     928      21     929    1516    +      1e-133  442.7  22.5  -
Verrucomicrobiales        -          LKAP-GutHK_D12_090   -               15     916      47     928      34     929    1410    +    2.1e-133  442.1  22.4  -
Filobacteriaceae          -          LKAP-GutHK_D12_090   -               79     941      60     929      37     929    1521    +    1.9e-132  438.5  22.5  -
Ktedonobacteraceae        -          LKAP-GutHK_D12_090   -               54     879      71     929      51     929    1386    +    1.9e-132  438.7  22.4  -
Simkaniaceae              -          LKAP-GutHK_D12_090   -               84     960      72     929      50     929    1545    +      2e-132  438.5  22.3  -
Schleiferiaceae           -          LKAP-GutHK_D12_090   -               83     940      70     929      44     929    1499    +    3.7e-132  437.8  22.5  -
Oligosphaeraceae          -          LKAP-GutHK_D12_090   -               58     897      70     928      27     929    1434    +    2.5e-130  431.6  21.8  -
Spartobacteria            -          LKAP-GutHK_D12_090   -               27     911      19     928       2     929    1418    +      6e-130  430.3  24.6  -
Roseiflexaceae            -          LKAP-GutHK_D12_090   -               70     905      63     929      43     929    1469    +    1.6e-129  429.3  22.1  -
Ichthyobacteriaceae       -          LKAP-GutHK_D12_090   -               76     946      58     929      35     929    1521    +    1.7e-129  428.8  22.3  -
Fimbriimonadaceae         -          LKAP-GutHK_D12_090   -               63     899      72     928      51     929    1443    +    2.3e-127  421.7  21.1  -
Waddliaceae               -          LKAP-GutHK_D12_090   -               91     971      72     929      51     929    1557    +    2.4e-127  421.8  22.1  -
Chthonomonadaceae         -          LKAP-GutHK_D12_090   -               36     891      67     929      47     929    1411    +    4.6e-126  417.6  23.2  -
Balneicellaceae           -          LKAP-GutHK_D12_090   -               72     933      64     929      43     929    1505    +    2.4e-123  408.4  22.0  -
Phycisphaeraceae          -          LKAP-GutHK_D12_090   -               45     896      56     928      10     929    1461    +    2.8e-119  395.2  22.4  -
Chloroflexales            -          LKAP-GutHK_D12_090   -               55     890      72     929      51     929    1355    +    1.5e-115  383.2  23.7  -
Tepidisphaeraceae         -          LKAP-GutHK_D12_090   -               76     912      70     929      50     929    1491    +    2.3e-114  378.9  22.0  -
Methanocaldococcaceae     -          LKAP-GutHK_D12_090   -               74     906      65     929      42     929    1429    +     3.6e-94  312.1  21.7  -
Methanobacteriaceae       -          LKAP-GutHK_D12_090   -               35     878      55     929      35     929    1403    +     6.7e-93  307.4  21.5  -
Methanococcaceae          -          LKAP-GutHK_D12_090   -               69     889      74     929      54     929    1410    +       8e-90  297.4  21.7  -
Methanoregulaceae         -          LKAP-GutHK_D12_090   -               55     873      74     929      54     929    1413    +       1e-84  280.3  21.8  -
Sulfolobaceae             -          LKAP-GutHK_D12_090   -               67     905      72     927      51     929    1464    +     7.5e-84  277.4  22.9  -
Archaeoglobaceae          -          LKAP-GutHK_D12_090   -               71     897      72     929      51     929    1451    +     1.1e-83  277.0  22.5  -
Methanomicrobiaceae       -          LKAP-GutHK_D12_090   -               59     877      74     929      54     929    1420    +     1.9e-82  272.9  22.0  -
Methanothermaceae         -          LKAP-GutHK_D12_090   -               77     905      73     929      53     929    1482    +     7.8e-82  271.1  22.8  -
Desulfurococcaceae        -          LKAP-GutHK_D12_090   -               70     917      67     929      47     929    1460    +       2e-80  266.3  23.4  -
Thermococcaceae           -          LKAP-GutHK_D12_090   -               57     894      63     929      41     929    1448    +     3.4e-79  262.3  22.7  -
Thermoproteaceae          -          LKAP-GutHK_D12_090   -               61     905      71     929      47     929    1471    +     8.6e-79  259.3  22.7  -
Pyrodictiaceae            -          LKAP-GutHK_D12_090   -               80     920      71     929      51     929    1497    +     1.7e-75  250.0  24.2  -
Methanomicrobiales        -          LKAP-GutHK_D12_090   -               70     887      75     929      54     929    1425    +     1.8e-75  249.5  22.2  -
Acidilobaceae             -          LKAP-GutHK_D12_090   -               76     918      70     927      50     929    1451    +     1.3e-73  243.5  23.5  -
Halobacteriaceae          -          LKAP-GutHK_D12_090   -               76     902      73     929      53     929    1474    +     4.6e-73  241.5  22.3  -
Thermofilaceae            -          LKAP-GutHK_D12_090   -               95     934      74     929      54     929    1513    +     2.5e-72  239.3  22.8  -
Methanospirillaceae       -          LKAP-GutHK_D12_090   -               27     845      74     929      54     929    1378    +     1.3e-71  236.8  21.4  -
Natrialbaceae             -          LKAP-GutHK_D12_090   -               80     902      77     929      57     929    1474    +     8.5e-70  230.6  21.9  -
Methanopyraceae           -          LKAP-GutHK_D12_090   -               77     935      64     929      43     929    1512    +       1e-69  231.3  22.9  -
Haloarculaceae            -          LKAP-GutHK_D12_090   -               76     901      73     929      53     929    1473    +     2.4e-69  229.3  22.5  -
Nostocaceae               -          LKAP-GutHK_D12_090   -                4     553     364     929     361     929    1476    +     5.7e-69  228.5  13.8  -
Haloferacaceae            -          LKAP-GutHK_D12_090   -               76     902      73     929      53     929    1474    +     3.1e-66  218.6  22.1  -
Methanocorpusculaceae     -          LKAP-GutHK_D12_090   -               71     888      74     928      54     929    1421    +     1.2e-65  216.9  21.5  -
Ferroplasmaceae           -          LKAP-GutHK_D12_090   -               76     896      74     929      54     929    1442    +     2.9e-65  215.9  20.1  -
Caldisphaeraceae          -          LKAP-GutHK_D12_090   -               60     904      71     927      43     929    1466    +     6.7e-64  211.9  22.3  -
Thermoplasmataceae        -          LKAP-GutHK_D12_090   -               75     900      72     929      55     929    1471    +     6.8e-64  211.5  20.7  -
Methanotrichaceae         -          LKAP-GutHK_D12_090   -               75     898      75     929      55     929    1423    +     2.6e-63  209.2  22.0  -
Cuniculiplasmataceae      -          LKAP-GutHK_D12_090   -               75     896      72     929      52     929    1469    +     1.7e-62  207.2  21.3  -
