# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudoalteromonadaceae    -          LKAP.g-Gut1_E11_087.seq -               27    1022       6    1010       3    1011    1469    +           0 1032.0  11.3  -
Vibrionaceae              -          LKAP.g-Gut1_E11_087.seq -               27    1036       6    1010       2    1011    1474    +    8.4e-305 1009.6  12.0  -
Balneolaceae              -          LKAP.g-Gut1_E11_087.seq -               64     977      54     966       5     990    1459    +    1.2e-179  594.9  12.5  -
Chrysiogenaceae           -          LKAP.g-Gut1_E11_087.seq -               75     971      60     956      39     978    1513    +    1.5e-179  594.8  12.3  -
Conexibacteraceae         -          LKAP.g-Gut1_E11_087.seq -               87     997      59     955      36     975    1536    +    1.8e-179  594.1  12.3  -
Salinibacteraceae         -          LKAP.g-Gut1_E11_087.seq -               93     987      56     950      36     968    1497    +    1.9e-179  594.4  12.8  -
Enterococcaceae           -          LKAP.g-Gut1_E11_087.seq -               35    1011      13     976       3     996    1498    +      5e-179  593.0  12.5  -
Caldicoprobacteraceae     -          LKAP.g-Gut1_E11_087.seq -               92     981      58     955      37     975    1530    +      5e-179  592.9  12.9  -
Thermaceae                -          LKAP.g-Gut1_E11_087.seq -               38    1003       7    1002       4    1011    1477    +    9.2e-179  592.2  12.8  -
Propionibacteriaceae      -          LKAP.g-Gut1_E11_087.seq -               35     968      10     966       3     991    1462    +    2.3e-178  590.8  12.5  -
Demequinaceae             -          LKAP.g-Gut1_E11_087.seq -               68     952      58     955      34     975    1478    +    3.4e-178  590.1  12.5  -
Micromonosporaceae        -          LKAP.g-Gut1_E11_087.seq -               41     973       6     964       3     985    1482    +    3.5e-178  590.2  12.7  -
Cellulomonadaceae         -          LKAP.g-Gut1_E11_087.seq -               71     974      57     971      33     991    1465    +    3.5e-178  590.2  12.1  -
Chroococcales             -          LKAP.g-Gut1_E11_087.seq -               70     964      60     987      39    1007    1445    +    7.9e-178  588.8  11.4  -
Planctomycetaceae         -          LKAP.g-Gut1_E11_087.seq -               38    1003       7     991       5    1009    1486    +    8.6e-178  589.1  12.1  -
Corynebacteriaceae        -          LKAP.g-Gut1_E11_087.seq -               27     973       7     972       3     992    1459    +    9.1e-178  588.6  12.3  -
Geodermatophilaceae       -          LKAP.g-Gut1_E11_087.seq -               66     975      46     966      23     986    1479    +    1.9e-177  587.8  12.3  -
Peptoniphilaceae          -          LKAP.g-Gut1_E11_087.seq -                4     942       7     964       5     992    1437    +      2e-177  587.9  12.8  -
Thermodesulfobiaceae      -          LKAP.g-Gut1_E11_087.seq -               43     971       6     954       3     963    1520    +    2.1e-177  587.6  13.4  -
Spiroplasmataceae         -          LKAP.g-Gut1_E11_087.seq -               73     981      54     957      34     974    1516    +    6.7e-177  586.2  12.8  -
Actinomycetaceae          -          LKAP.g-Gut1_E11_087.seq -               29     999       8     972       4     992    1468    +    6.9e-177  585.9  12.7  -
Nannocystaceae            -          LKAP.g-Gut1_E11_087.seq -               74     966      58     942      34     964    1487    +    7.6e-177  585.8  13.0  -
Natranaerobiaceae         -          LKAP.g-Gut1_E11_087.seq -                2     946       2     955       1     971    1429    +    8.1e-177  585.5  12.8  -
Acidaminococcaceae        -          LKAP.g-Gut1_E11_087.seq -               36    1034       8    1000       3    1007    1504    +    1.4e-176  584.5  11.5  -
Kineosporiaceae           -          LKAP.g-Gut1_E11_087.seq -               59     968      47     968      24     988    1463    +    1.8e-176  584.7  12.2  -
Bernardetiaceae           -          LKAP.g-Gut1_E11_087.seq -               28     959       7     950       3     980    1481    +    1.9e-176  584.4  12.8  -
Desulfurellaceae          -          LKAP.g-Gut1_E11_087.seq -               69     989      56     953      35     963    1529    +    2.5e-176  583.8  12.8  -
Hymenobacteraceae         -          LKAP.g-Gut1_E11_087.seq -               55     948      55     950      28     970    1445    +    4.1e-176  583.4  12.5  -
Nocardioidaceae           -          LKAP.g-Gut1_E11_087.seq -               27     966       6     970       2     991    1455    +    5.5e-176  583.0  12.6  -
Thermolithobacteraceae    -          LKAP.g-Gut1_E11_087.seq -               94    1017      58     955      24     975    1546    +    7.2e-176  582.2  12.6  -
Pyrinomonadaceae          -          LKAP.g-Gut1_E11_087.seq -               53    1001      16     947       3     967    1526    +      1e-175  581.8  13.3  -
Gallionellaceae           -          LKAP.g-Gut1_E11_087.seq -               83    1007      60     978      39    1001    1385    +    2.4e-175  580.7  12.2  -
Chlorobiaceae             -          LKAP.g-Gut1_E11_087.seq -               87    1020      63    1005      42    1011    1455    +    2.4e-175  580.8  11.2  -
Nostocales                -          LKAP.g-Gut1_E11_087.seq -               54     952      58     992      37    1007    1457    +    2.5e-175  580.8  11.1  -
Nocardiaceae              -          LKAP.g-Gut1_E11_087.seq -               28     948       7     955       3     980    1472    +    3.7e-175  580.2  12.9  -
Sterolibacteriaceae       -          LKAP.g-Gut1_E11_087.seq -               48    1016      11     981       3    1005    1531    +      5e-175  579.7  12.8  -
Dermacoccaceae            -          LKAP.g-Gut1_E11_087.seq -               65     950      58     955      36     975    1456    +    9.6e-175  578.6  12.4  -
Lysobacteriales           -          LKAP.g-Gut1_E11_087.seq -               93    1046      55    1006      33    1011    1508    +    1.2e-174  578.4  11.9  -
Porphyromonadaceae        -          LKAP.g-Gut1_E11_087.seq -               36     995       7     973       4     994    1473    +    2.7e-174  577.3  12.3  -
Phormidiaceae             -          LKAP.g-Gut1_E11_087.seq -               78     986      60    1004      40    1009    1483    +    4.5e-174  576.9  11.9  -
Cryptosporangiaceae       -          LKAP.g-Gut1_E11_087.seq -               27     955       6     963       3     976    1470    +    6.3e-174  576.0  13.0  -
Corynebacterineae         -          LKAP.g-Gut1_E11_087.seq -               27     953       6     961       3     982    1473    +    1.2e-173  575.2  13.0  -
Caldilineaceae            -          LKAP.g-Gut1_E11_087.seq -               35     951       7     953       3     966    1434    +    1.3e-173  575.0  13.6  -
Jiangellaceae             -          LKAP.g-Gut1_E11_087.seq -               33     961       6     962       2     982    1497    +    3.8e-173  573.4  12.0  -
Frankiaceae               -          LKAP.g-Gut1_E11_087.seq -               74     972      55     966      16     977    1499    +    4.8e-173  573.3  12.5  -
Sanguibacteraceae         -          LKAP.g-Gut1_E11_087.seq -               84     969      57     955      24     977    1483    +    5.7e-173  572.8  12.5  -
Acidobacteriaceae         -          LKAP.g-Gut1_E11_087.seq -               81     962      54     967      31     989    1462    +    1.7e-172  571.2  11.2  -
Promicromonosporaceae     -          LKAP.g-Gut1_E11_087.seq -               55     978      48     988      27    1007    1462    +    5.2e-172  569.7  12.0  -
Thermomonosporaceae       -          LKAP.g-Gut1_E11_087.seq -               27     961       6     968       3     988    1464    +    1.2e-171  568.5  12.4  -
Dermatophilaceae          -          LKAP.g-Gut1_E11_087.seq -               38     969      16     967       4     987    1480    +    1.2e-171  568.5  12.1  -
Persicobacteraceae        -          LKAP.g-Gut1_E11_087.seq -               66     973      56     955      36     975    1448    +    1.4e-171  568.3  12.9  -
Betaproteobacteria        -          LKAP.g-Gut1_E11_087.seq -               47     963      60     972      39    1003    1454    +    2.7e-171  567.3  12.1  -
Tsukamurellaceae          -          LKAP.g-Gut1_E11_087.seq -               81     978      56     966      13     986    1495    +    4.2e-171  566.7  12.6  -
Leptotrichiaceae          -          LKAP.g-Gut1_E11_087.seq -               92    1015      62    1003      42    1010    1492    +    9.1e-171  565.5  11.6  -
Anaerolineaceae           -          LKAP.g-Gut1_E11_087.seq -               58     996      52    1003      29    1011    1430    +    1.9e-170  565.0  12.0  -
Defluviitaleaceae         -          LKAP.g-Gut1_E11_087.seq -               12     939       1     953       1     973    1413    +    2.1e-170  564.5  12.6  -
Sporichthyaceae           -          LKAP.g-Gut1_E11_087.seq -               28     957       7     963       3     981    1472    +    2.3e-170  564.4  13.1  -
Rubricoccaceae            -          LKAP.g-Gut1_E11_087.seq -               37     966      15     950       3     964    1452    +    3.5e-170  563.6  12.2  -
Prochlorococcaceae        -          LKAP.g-Gut1_E11_087.seq -               44     969      20    1003       4    1010    1465    +    5.1e-170  563.1  11.1  -
Symbiobacteriaceae        -          LKAP.g-Gut1_E11_087.seq -               20     979       6     956       1     982    1468    +    5.4e-170  563.3  13.2  -
Desulfurobacteriaceae     -          LKAP.g-Gut1_E11_087.seq -               71    1021      53     980      15     997    1497    +    5.8e-170  563.3  12.1  -
Opitutaceae               -          LKAP.g-Gut1_E11_087.seq -               72     988      56     953      27     974    1482    +    9.1e-170  562.2  12.4  -
Jonesiaceae               -          LKAP.g-Gut1_E11_087.seq -               46    1007       5     972       2     992    1514    +    1.3e-169  561.8  12.0  -
Dietziaceae               -          LKAP.g-Gut1_E11_087.seq -               22     944      10     962       3     983    1452    +    2.1e-169  561.1  12.8  -
Bogoriellaceae            -          LKAP.g-Gut1_E11_087.seq -               65     970      55     966      27     985    1470    +    3.4e-169  560.3  11.6  -
Ruaniaceae                -          LKAP.g-Gut1_E11_087.seq -               92     992      58     962      36     982    1531    +    5.6e-169  559.4  11.9  -
Bifidobacteriaceae        -          LKAP.g-Gut1_E11_087.seq -               43     989       8     975       3     995    1469    +    7.1e-169  559.4  12.3  -
Lewinellaceae             -          LKAP.g-Gut1_E11_087.seq -               27     952       6     947       3     969    1446    +    8.3e-169  559.1  13.6  -
Bryobacteraceae           -          LKAP.g-Gut1_E11_087.seq -               83     942      57     949      36     967    1417    +    2.8e-168  557.4  12.6  -
Rarobacteraceae           -          LKAP.g-Gut1_E11_087.seq -               56     955      59     971      38     992    1464    +    2.9e-168  557.1  12.3  -
Mariprofundaceae          -          LKAP.g-Gut1_E11_087.seq -               87    1038      59    1007      15    1011    1528    +    3.7e-168  556.7  11.6  -
Mycobacteriaceae          -          LKAP.g-Gut1_E11_087.seq -               32     961       6     959       3     982    1471    +    5.7e-168  556.2  13.0  -
Thermodesulfobacteriaceae -          LKAP.g-Gut1_E11_087.seq -               65     980      60     954      37     974    1497    +    8.1e-168  556.0  12.9  -
Beutenbergiaceae          -          LKAP.g-Gut1_E11_087.seq -               63     959      55     961      24     985    1472    +    9.9e-168  555.5  11.9  -
Catenulisporaceae         -          LKAP.g-Gut1_E11_087.seq -               54     947      51     955      30     974    1460    +      2e-167  554.5  12.6  -
Oscillospiraceae          -          LKAP.g-Gut1_E11_087.seq -               26     961       5     953       1     976    1453    +    2.9e-167  553.6  12.8  -
Rikenellaceae             -          LKAP.g-Gut1_E11_087.seq -               35     991       6     970       3     992    1456    +    3.3e-167  553.8  12.5  -
Micrococcales             -          LKAP.g-Gut1_E11_087.seq -               54     979      47     988      27    1005    1475    +    3.8e-167  553.6  12.1  -
Streptosporangiaceae      -          LKAP.g-Gut1_E11_087.seq -               27     961       6     971       3     992    1464    +    5.6e-167  552.9  12.3  -
Segniliparaceae           -          LKAP.g-Gut1_E11_087.seq -               37     947      16     953       3     973    1462    +    8.2e-167  552.6  12.9  -
Eggerthellaceae           -          LKAP.g-Gut1_E11_087.seq -               40     950      16     956       4     976    1449    +    9.6e-167  552.4  13.1  -
Glycomycetaceae           -          LKAP.g-Gut1_E11_087.seq -               34     996       6     988       2    1003    1495    +    1.2e-166  552.0  12.6  -
Haliscomenobacteraceae    -          LKAP.g-Gut1_E11_087.seq -               47    1030       6    1006       3    1011    1485    +    2.8e-166  551.2  12.5  -
Gemmatimonadaceae         -          LKAP.g-Gut1_E11_087.seq -               80     985      61     978      52     998    1525    +      4e-166  550.2  13.1  -
Frankiales                -          LKAP.g-Gut1_E11_087.seq -               35     954       7     954       3     974    1425    +    4.1e-166  550.3  13.4  -
Dermabacteraceae          -          LKAP.g-Gut1_E11_087.seq -               78     961      59     955      36     975    1470    +    5.2e-166  549.6  12.5  -
Chlamydiaceae             -          LKAP.g-Gut1_E11_087.seq -               51    1004       7     955       4     976    1548    +    8.2e-166  549.0  12.3  -
Iamiaceae                 -          LKAP.g-Gut1_E11_087.seq -               73     968      58     967      38     988    1480    +    1.2e-165  548.9  11.7  -
Anaeroplasmataceae        -          LKAP.g-Gut1_E11_087.seq -               85     969      61     956      40     976    1453    +    3.1e-165  547.3  12.4  -
Crocinitomicaceae         -          LKAP.g-Gut1_E11_087.seq -               29     956       7     942       3     962    1466    +    3.6e-165  546.8  13.9  -
Cyclobacteriaceae         -          LKAP.g-Gut1_E11_087.seq -               28    1010       7    1006       3    1011    1447    +    4.1e-165  546.9  12.5  -
Deinococcaceae            -          LKAP.g-Gut1_E11_087.seq -               50     994      50    1004      29    1011    1455    +    4.6e-165  546.6  11.9  -
Pseudobacteriovoracaceae  -          LKAP.g-Gut1_E11_087.seq -               27     952      49     967      27     992    1466    +    4.7e-165  546.5  12.0  -
Actinomycetales           -          LKAP.g-Gut1_E11_087.seq -               48     985       7     955       4     975    1535    +    1.1e-164  545.4  13.5  -
Rubritaleaceae            -          LKAP.g-Gut1_E11_087.seq -               38     972      10     954       4     998    1459    +    1.6e-164  544.8  11.7  -
Atopobacteriaceae         -          LKAP.g-Gut1_E11_087.seq -               35     954      14     956       3     964    1442    +    1.7e-164  544.9  12.8  -
Prolixibacteraceae        -          LKAP.g-Gut1_E11_087.seq -               27     954       6     948       2     969    1444    +    1.9e-164  544.6  13.4  -
Chitinophagaceae          -          LKAP.g-Gut1_E11_087.seq -               29     958       7     947       3     967    1458    +    2.6e-164  544.5  12.7  -
Cryomorphaceae            -          LKAP.g-Gut1_E11_087.seq -               33     965       6     949       3     970    1454    +      7e-164  542.8  12.8  -
Entomoplasmataceae        -          LKAP.g-Gut1_E11_087.seq -               63     969      58     957      38     975    1497    +    9.3e-164  542.5  12.9  -
Actinopolysporaceae       -          LKAP.g-Gut1_E11_087.seq -               31     967      13     955       3     976    1480    +    2.3e-163  541.0  13.4  -
Dehalococcoidaceae        -          LKAP.g-Gut1_E11_087.seq -               60     938      60     955      40     975    1437    +      4e-163  540.7  12.6  -
Cytophagales              -          LKAP.g-Gut1_E11_087.seq -               67     955      58     949      36     970    1444    +    1.1e-162  538.8  13.1  -
Acholeplasmataceae        -          LKAP.g-Gut1_E11_087.seq -               44     951      52     955      31     973    1437    +    1.7e-162  537.9  12.5  -
Marinilabiliaceae         -          LKAP.g-Gut1_E11_087.seq -               27     957       6     948       3     968    1447    +    1.1e-161  535.3  13.4  -
Parachlamydiaceae         -          LKAP.g-Gut1_E11_087.seq -               68     994      55     961      35     988    1529    +    5.1e-161  533.3  11.7  -
Saprospiraceae            -          LKAP.g-Gut1_E11_087.seq -               42     967      14     949       3     970    1430    +    1.5e-160  532.2  13.3  -
Iodidimonadaceae          -          LKAP.g-Gut1_E11_087.seq -               43     939      39     958      18     976    1437    +    2.3e-160  531.1  12.3  -
Sphingobacteriaceae       -          LKAP.g-Gut1_E11_087.seq -               67     988      58     981      27    1002    1450    +    2.5e-160  530.9  11.5  -
Aquificaceae              -          LKAP.g-Gut1_E11_087.seq -               53     997      48     971      18     993    1485    +    5.7e-160  530.0  12.4  -
Petrotogaceae             -          LKAP.g-Gut1_E11_087.seq -               43     970       7     958       4     984    1488    +    5.9e-160  530.0  12.5  -
Thermotogaceae            -          LKAP.g-Gut1_E11_087.seq -               45     993       6     957       3     977    1545    +    9.5e-160  529.1  13.4  -
Streptosporangineae       -          LKAP.g-Gut1_E11_087.seq -                3     936       4     970       2     990    1443    +    1.3e-159  528.5  12.5  -
Magnetococcaceae          -          LKAP.g-Gut1_E11_087.seq -               58     992      21     997       3    1010    1497    +    4.9e-159  526.8  12.0  -
Prevotellaceae            -          LKAP.g-Gut1_E11_087.seq -               28     972       6     954       3     978    1464    +    1.2e-158  525.2  12.7  -
Lentisphaeraceae          -          LKAP.g-Gut1_E11_087.seq -               38     999      10    1003       4    1011    1465    +    1.3e-158  525.5  12.0  -
Rhodospirillales          -          LKAP.g-Gut1_E11_087.seq -               42     903      58     953      38     974    1413    +    6.2e-158  523.4  12.1  -
Nocardiopsaceae           -          LKAP.g-Gut1_E11_087.seq -               28     970       7     964       3     985    1475    +    9.8e-158  522.5  12.7  -
Actinospicaceae           -          LKAP.g-Gut1_E11_087.seq -               35     923      52     953      27     973    1425    +    2.2e-157  521.2  12.9  -
Mesoaciditogaceae         -          LKAP.g-Gut1_E11_087.seq -               37     986       8     955       3     970    1522    +    3.4e-157  520.6  13.3  -
Kofleriaceae              -          LKAP.g-Gut1_E11_087.seq -               57    1046      24    1000       4    1010    1498    +    3.9e-157  520.5  12.2  -
Hydrogenothermaceae       -          LKAP.g-Gut1_E11_087.seq -               34     941      12     954       3     974    1447    +      5e-157  520.2  12.5  -
Fibrobacteraceae          -          LKAP.g-Gut1_E11_087.seq -               26     943       6     953       3     973    1412    +    6.4e-157  520.0  12.8  -
Hydrogenimonaceae         -          LKAP.g-Gut1_E11_087.seq -               32    1015      10    1003       2    1011    1422    +    1.1e-156  518.9  11.9  -
Bradymonadaceae           -          LKAP.g-Gut1_E11_087.seq -               65     971      56     964      35     985    1461    +    2.2e-156  517.7  12.3  -
Bacteroidales             -          LKAP.g-Gut1_E11_087.seq -               50     980       7     950       3     970    1485    +    1.2e-155  515.2  12.7  -
Rhodothalassiaceae        -          LKAP.g-Gut1_E11_087.seq -               34     945      42     991      19    1010    1318    +    1.4e-155  515.3  12.0  -
Blastocatellaceae         -          LKAP.g-Gut1_E11_087.seq -               51     966      14     950       4     970    1485    +    1.7e-154  511.5  13.0  -
Microscillaceae           -          LKAP.g-Gut1_E11_087.seq -               52     964      56     971      36    1000    1461    +    4.3e-154  510.3  12.5  -
Kosmotogaceae             -          LKAP.g-Gut1_E11_087.seq -               37     967       8     953       3     969    1488    +    6.1e-154  510.1  13.1  -
Oligoflexaceae            -          LKAP.g-Gut1_E11_087.seq -               36     980      19     971       3     993    1458    +    2.2e-153  508.0  12.3  -
Vulgatibacteraceae        -          LKAP.g-Gut1_E11_087.seq -               60    1008      56     980      35    1008    1479    +    2.8e-153  507.7  12.2  -
Odoribacteraceae          -          LKAP.g-Gut1_E11_087.seq -               83     971      51     942      30     962    1486    +    4.6e-153  506.8  13.6  -
Temperatibacteraceae      -          LKAP.g-Gut1_E11_087.seq -               32     896      57     958      37     978    1362    +    6.8e-153  506.3  11.8  -
Dictyoglomaceae           -          LKAP.g-Gut1_E11_087.seq -               97     991      59     953      28     973    1541    +    8.5e-152  502.7  12.8  -
Fervidobacteriaceae       -          LKAP.g-Gut1_E11_087.seq -               35     996       6     953       3     970    1514    +    9.6e-152  502.5  13.5  -
Acanthopleuribacteraceae  -          LKAP.g-Gut1_E11_087.seq -               29     957      51     952      31     982    1453    +      2e-151  501.5  13.1  -
Marinifilaceae            -          LKAP.g-Gut1_E11_087.seq -               28     958       7     948       3     964    1450    +    4.8e-151  500.2  13.5  -
Gemmataceae               -          LKAP.g-Gut1_E11_087.seq -               79     945      60     955      40     978    1427    +      1e-150  499.2  12.3  -
Sphaerobacteraceae        -          LKAP.g-Gut1_E11_087.seq -               74    1013      53    1003      32    1011    1531    +    3.1e-150  497.5  12.2  -
Anaeromyxobacteraceae     -          LKAP.g-Gut1_E11_087.seq -               79    1021      54     972      34     994    1549    +    3.6e-150  497.4  12.4  -
Roseiarcaceae             -          LKAP.g-Gut1_E11_087.seq -               71     938      58     962      38     984    1399    +    4.7e-150  496.9  11.9  -
Emcibacteraceae           -          LKAP.g-Gut1_E11_087.seq -               50     949       9     959       2     980    1460    +      5e-150  497.0  12.0  -
Sandaracinaceae           -          LKAP.g-Gut1_E11_087.seq -               38     978      44     961      23     982    1506    +    7.7e-149  493.1  12.7  -
Phaselicystidaceae        -          LKAP.g-Gut1_E11_087.seq -               79    1034      57     991      36    1008    1539    +    2.1e-147  488.3  12.0  -
Thermosporotrichaceae     -          LKAP.g-Gut1_E11_087.seq -                7     874      59     955      53     975    1317    +    8.2e-147  486.4  13.8  -
Coriobacteriaceae         -          LKAP.g-Gut1_E11_087.seq -               40     954       6     957       3     977    1462    +    1.4e-146  485.9  13.0  -
Labilitrichaceae          -          LKAP.g-Gut1_E11_087.seq -               61    1021      56     993      36    1007    1483    +    6.3e-146  483.2  12.1  -
Micropepsaceae            -          LKAP.g-Gut1_E11_087.seq -               72     981      59    1003      39    1011    1455    +    7.6e-146  483.0  11.4  -
Acidothermaceae           -          LKAP.g-Gut1_E11_087.seq -               45     987       7     978       3     994    1509    +    6.9e-145  480.0  12.9  -
Gracilibacteraceae        -          LKAP.g-Gut1_E11_087.seq -              201    1092      59     965      38     985    1549    +    7.8e-145  479.6  12.1  -
Syntrophorhabdaceae       -          LKAP.g-Gut1_E11_087.seq -               34     995      12     965       3    1005    1482    +    1.5e-143  475.4  12.4  -
Christensenellaceae       -          LKAP.g-Gut1_E11_087.seq -               69     976      35     955      14     979    1497    +    2.8e-143  474.5  12.8  -
Longimicrobiaceae         -          LKAP.g-Gut1_E11_087.seq -                8     969      51     995      41    1011    1413    +    9.6e-143  472.9  12.1  -
Thermomicrobiaceae        -          LKAP.g-Gut1_E11_087.seq -               21     926      50     957      33     977    1273    +    3.3e-142  471.6  13.3  -
Xenococcaceae             -          LKAP.g-Gut1_E11_087.seq -               57     967      59    1003      38    1010    1418    +    3.9e-142  471.0  11.6  -
Halanaerobiales           -          LKAP.g-Gut1_E11_087.seq -               39    1032      13     986       3    1007    1500    +    2.8e-141  467.8  12.5  -
Fervidobacteraceae        -          LKAP.g-Gut1_E11_087.seq -               29     934       7     953       3     960    1480    +    2.8e-141  468.0  13.7  -
Egibacteraceae            -          LKAP.g-Gut1_E11_087.seq -               70     986      34     969      12     989    1516    +    3.3e-141  467.8  12.5  -
Ignavibacteriaceae        -          LKAP.g-Gut1_E11_087.seq -               63     964      55     954      34     978    1461    +    7.2e-141  466.6  12.4  -
Akkermansiaceae           -          LKAP.g-Gut1_E11_087.seq -               69     965      57     976      37     997    1441    +    7.4e-140  463.4  11.9  -
Nitriliruptoraceae        -          LKAP.g-Gut1_E11_087.seq -               70     959      54     955      32     975    1425    +    1.1e-139  462.6  12.9  -
Gaiellaceae               -          LKAP.g-Gut1_E11_087.seq -               81     994      53     954      21     975    1544    +    1.5e-139  462.1  12.8  -
Acidimicrobiales          -          LKAP.g-Gut1_E11_087.seq -               73     979      56     976      35     996    1483    +    6.6e-139  460.3  11.8  -
Egicoccaceae              -          LKAP.g-Gut1_E11_087.seq -               73     970      46     955      26     975    1512    +      1e-138  459.4  12.8  -
Haloplasmataceae          -          LKAP.g-Gut1_E11_087.seq -               48     959      50     956      23     983    1345    +    1.3e-138  459.3  12.6  -
Prochlorotrichaceae       -          LKAP.g-Gut1_E11_087.seq -               42     948      59    1000      39    1010    1448    +    1.3e-138  459.0  11.5  -
Euzebyaceae               -          LKAP.g-Gut1_E11_087.seq -               61     957      53     961      15     982    1476    +    1.6e-138  458.9  12.7  -
Isosphaeraceae            -          LKAP.g-Gut1_E11_087.seq -               68     959      58     953      38     966    1475    +    3.5e-137  454.3  12.8  -
Victivallaceae            -          LKAP.g-Gut1_E11_087.seq -               60     955      47     960      25     984    1456    +    6.8e-137  453.4  12.1  -
Gloeomargaritaceae        -          LKAP.g-Gut1_E11_087.seq -               74     985      58    1003      38    1010    1482    +    1.2e-136  452.7  10.9  -
Melioribacteraceae        -          LKAP.g-Gut1_E11_087.seq -               86     987      54     952      30     973    1539    +    3.4e-136  451.0  12.7  -
Armatimonadaceae          -          LKAP.g-Gut1_E11_087.seq -               62     957      59     970      38     990    1438    +    6.6e-136  450.1  11.7  -
Thermogemmatisporaceae    -          LKAP.g-Gut1_E11_087.seq -               61     941      59     941      39     953    1443    +    3.6e-135  447.7  14.6  -
Brachyspiraceae           -          LKAP.g-Gut1_E11_087.seq -               25     929      11     950       3     963    1441    +    1.1e-134  445.9  13.8  -
Chloroflexaceae           -          LKAP.g-Gut1_E11_087.seq -               80     947      59     956      38     977    1473    +    5.4e-134  444.0  12.5  -
Caldisericaceae           -          LKAP.g-Gut1_E11_087.seq -               33     983      11     954       3     975    1481    +    7.8e-133  439.8  13.1  -
Aquificales               -          LKAP.g-Gut1_E11_087.seq -               46     987      35     957      15     977    1450    +    5.3e-132  437.4  12.9  -
Brevinemataceae           -          LKAP.g-Gut1_E11_087.seq -               84     981      51     958      24     980    1490    +    1.2e-129  429.4  12.5  -
Chitinivibrionaceae       -          LKAP.g-Gut1_E11_087.seq -               66     985      51     957      28     997    1488    +    2.6e-129  428.3  12.0  -
Mzabimycetaceae           -          LKAP.g-Gut1_E11_087.seq -               11     909      56     973      40     994    1357    +    4.8e-129  427.5  13.1  -
Elusimicrobiaceae         -          LKAP.g-Gut1_E11_087.seq -               52     931      57     951      37     972    1395    +    1.6e-128  425.6  12.5  -
Mooreiaceae               -          LKAP.g-Gut1_E11_087.seq -               14     944       5     950       2     971    1424    +      3e-128  424.9  13.4  -
Blastocatellales          -          LKAP.g-Gut1_E11_087.seq -               52     946      15     953       3     973    1488    +    4.8e-128  424.1  12.7  -
Spirochaetales            -          LKAP.g-Gut1_E11_087.seq -               35     998      13     996       3    1011    1456    +    5.4e-128  423.9  12.1  -
Ardenticatenia            -          LKAP.g-Gut1_E11_087.seq -               30     971       9     954       2     974    1453    +      1e-127  423.2  13.6  -
Kiritimatiellaceae        -          LKAP.g-Gut1_E11_087.seq -               49    1017       8     955       3     975    1556    +    1.5e-127  422.5  13.0  -
Herpetosiphonaceae        -          LKAP.g-Gut1_E11_087.seq -               75     948      59     956      38     976    1475    +    1.2e-126  419.4  11.9  -
Catalimonadaceae          -          LKAP.g-Gut1_E11_087.seq -               15     943       6     950       2     970    1425    +    1.7e-126  419.0  13.0  -
Simkaniaceae              -          LKAP.g-Gut1_E11_087.seq -               83    1015      59     968      37     989    1545    +    1.9e-126  418.8  11.6  -
Thermoflexaceae           -          LKAP.g-Gut1_E11_087.seq -               56     956      57     958      33     980    1466    +    8.4e-126  417.1  12.9  -
Trueperaceae              -          LKAP.g-Gut1_E11_087.seq -               59     977      59    1003      38    1011    1461    +    1.1e-125  416.2  11.6  -
Fimbriimonadaceae         -          LKAP.g-Gut1_E11_087.seq -               63     950      60     961      40     983    1443    +    1.7e-125  415.6  11.8  -
Thermonemataceae          -          LKAP.g-Gut1_E11_087.seq -               50     952      41     949      15     970    1465    +    4.7e-124  411.1  13.3  -
Soortiaceae               -          LKAP.g-Gut1_E11_087.seq -               94     990      62     947      40     970    1516    +    9.6e-124  409.8  13.1  -
Ktedonobacteraceae        -          LKAP.g-Gut1_E11_087.seq -               54     947      59     982      39    1003    1386    +    3.8e-123  408.1  12.3  -
Oligosphaeraceae          -          LKAP.g-Gut1_E11_087.seq -               58     939      58     954      36     975    1434    +      7e-123  407.0  12.1  -
Lentimicrobiaceae         -          LKAP.g-Gut1_E11_087.seq -               68     986      58     979      37     999    1446    +    1.1e-122  406.2  12.0  -
Roseiflexaceae            -          LKAP.g-Gut1_E11_087.seq -               78     949      58     957      35     977    1469    +      7e-122  404.1  12.6  -
Filobacteriaceae          -          LKAP.g-Gut1_E11_087.seq -               83     978      52     950      32     970    1521    +    1.9e-121  402.2  12.5  -
Verrucomicrobiales        -          LKAP.g-Gut1_E11_087.seq -               12     958      32     954      19     974    1410    +    4.4e-121  401.4  12.6  -
Schleiferiaceae           -          LKAP.g-Gut1_E11_087.seq -               83     975      58     948      38     968    1499    +    1.5e-120  399.6  12.9  -
Waddliaceae               -          LKAP.g-Gut1_E11_087.seq -               90    1021      59     963      37     993    1557    +    6.2e-120  397.4  11.8  -
Ichthyobacteriaceae       -          LKAP.g-Gut1_E11_087.seq -               80     983      50     950      29     976    1521    +    2.4e-119  395.3  12.6  -
Chthonomonadaceae         -          LKAP.g-Gut1_E11_087.seq -               36     942      55     964      34     990    1411    +    1.8e-118  392.6  12.4  -
