# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcaligenaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               25     919      19     918       6     918    1467    +           0 1063.1  17.9  -
Salinibacteraceae         -          LKAP-TSAKG2_D07_057_2018_2 -               52     937      21     912      12     918    1497    +    9.9e-179  591.9  17.7  -
Parviterribacteraceae     -          LKAP-TSAKG2_D07_057_2018_2 -               28     906      22     911       9     917    1456    +    4.5e-178  589.6  17.4  -
Calditrichaeota           -          LKAP-TSAKG2_D07_057_2018_2 -               34     934      21     912      10     918    1483    +    5.2e-178  589.6  17.7  -
Sanguibacteraceae         -          LKAP-TSAKG2_D07_057_2018_2 -               43     912      20     910       7     917    1483    +    1.1e-177  588.3  19.2  -
Caldilineaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               33     896      20     910       8     916    1434    +    1.3e-177  588.1  18.8  -
Acidobacteriaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               46     895      20     912       8     918    1462    +    3.2e-177  586.8  18.2  -
Propionibacteriaceae      -          LKAP-TSAKG2_D07_057_2018_2 -               29     898      19     910       7     917    1462    +    4.7e-177  586.3  18.4  -
Demequinaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               27     895      21     910       8     917    1478    +    8.3e-177  585.4  18.7  -
Thermodesulfobiaceae      -          LKAP-TSAKG2_D07_057_2018_2 -               41     917      19     912       9     917    1520    +    1.2e-176  584.9  17.8  -
Anaeroplasmataceae        -          LKAP-TSAKG2_D07_057_2018_2 -               54     913      21     912       9     918    1453    +    2.7e-176  583.8  17.2  -
Defluviitaleaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               16     886      20     912       8     918    1413    +    4.3e-176  583.2  18.5  -
Desulfonatronaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               25     928      19     913       8     918    1495    +    5.1e-176  582.8  18.2  -
Geodermatophilaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               38     908      19     911       7     918    1479    +      7e-176  582.4  18.5  -
Catenulisporaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               27     890      21     910       9     917    1460    +    9.4e-176  582.0  19.1  -
Kineosporiaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               35     898      21     910       8     917    1463    +      1e-175  582.0  19.0  -
Hymenobacteraceae         -          LKAP-TSAKG2_D07_057_2018_2 -               22     898      16     912       7     917    1445    +    1.1e-175  581.9  18.2  -
Dermacoccaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               22     893      19     910       7     917    1456    +    1.2e-175  581.5  18.6  -
Pseudonocardiaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               32     900      20     910       7     917    1475    +    6.9e-175  579.1  18.8  -
Bernardetiaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               27     909      21     912      11     918    1481    +    8.5e-175  578.8  17.9  -
Nakamurellaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               26     891      20     910       7     917    1462    +    1.8e-174  577.7  18.6  -
Dehalococcoidaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               26     881      20     910       8     916    1437    +    2.3e-174  577.8  18.8  -
Nannocystaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               41     924      21     912       9     918    1487    +    2.6e-174  577.2  17.1  -
Conexibacteraceae         -          LKAP-TSAKG2_D07_057_2018_2 -               46     941      20     911       8     917    1536    +    2.8e-174  576.8  18.6  -
Porphyromonadaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               35     917      21     908      13     916    1473    +    4.5e-174  576.4  18.7  -
Promicromonosporaceae     -          LKAP-TSAKG2_D07_057_2018_2 -               26     892      20     910       7     917    1462    +    4.9e-174  576.3  19.2  -
Puniceicoccaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               35     931      19     912       9     917    1485    +    6.6e-174  575.8  18.2  -
Bryobacteraceae           -          LKAP-TSAKG2_D07_057_2018_2 -               46     893      21     912       9     918    1417    +      7e-174  575.9  19.0  -
Natranaerobiaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               60     891      63     912      42     918    1429    +    1.2e-173  574.9  17.6  -
Dermabacteraceae          -          LKAP-TSAKG2_D07_057_2018_2 -               35     905      20     911       7     918    1470    +    2.1e-173  574.0  19.0  -
Spiroplasmataceae         -          LKAP-TSAKG2_D07_057_2018_2 -               50     924      21     912      13     918    1516    +    2.3e-173  574.4  18.0  -
Dermatophilaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               32     900      21     912       9     918    1480    +    4.9e-173  572.9  18.6  -
Balneolaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               23     911      17     912       7     917    1459    +    5.6e-173  572.7  18.1  -
Chitinophagaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               25     911      18     912       8     918    1458    +    7.9e-173  572.6  17.8  -
Eggerthellaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               34     893      21     911       9     917    1449    +    1.3e-172  571.7  18.7  -
Solirubrobacteraceae      -          LKAP-TSAKG2_D07_057_2018_2 -               11     904      21     911      13     917    1443    +    1.8e-172  571.0  18.2  -
Caldicoprobacteraceae     -          LKAP-TSAKG2_D07_057_2018_2 -               42     926      20     912       8     918    1530    +    2.3e-172  570.7  18.9  -
Nocardiaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               26     891      20     910       7     917    1472    +    2.9e-172  570.5  18.8  -
Haliscomenobacteraceae    -          LKAP-TSAKG2_D07_057_2018_2 -               47     928      21     912       8     918    1485    +    3.3e-172  570.7  17.6  -
Rikenellaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               35     917      21     908      13     917    1456    +    4.2e-172  569.8  17.9  -
Atopobacteriaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               29     896      19     910       8     917    1442    +    4.4e-172  570.0  18.6  -
Pyrinomonadaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               42     954      16     912       7     918    1526    +    4.8e-172  569.5  17.9  -
Oleiphilaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               32     915      17     913       7     918    1437    +    6.4e-172  569.2  17.8  -
Micromonosporaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               40     906      20     910       8     917    1482    +    7.9e-172  569.0  18.9  -
Thermolithobacteraceae    -          LKAP-TSAKG2_D07_057_2018_2 -               45     963      19     913       8     918    1546    +      2e-171  567.3  18.3  -
Bogoriellaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               26     900      20     910       7     917    1470    +    2.7e-171  567.1  18.8  -
Frankiaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               48     904      21     910       8     917    1499    +    3.2e-171  567.1  18.7  -
Nocardioidaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               25     893      19     910       7     917    1455    +    4.1e-171  566.7  18.8  -
Saprospiraceae            -          LKAP-TSAKG2_D07_057_2018_2 -               37     918      20     912       9     918    1430    +    4.2e-171  567.0  17.9  -
Planctomycetaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               37     914      21     915      14     918    1486    +      5e-171  566.5  18.3  -
Bifidobacteriaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               39     912      19     910       7     917    1469    +    7.3e-171  565.8  18.5  -
Thermaceae                -          LKAP-TSAKG2_D07_057_2018_2 -               37     898      21     912      10     917    1477    +    9.1e-171  565.6  17.6  -
Persicobacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               26     907      20     912      10     918    1448    +    3.9e-170  563.4  18.6  -
Petrotogaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               42     912      21     912       8     917    1488    +    4.1e-170  563.5  18.6  -
Mesoaciditogaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               34     931      20     912       9     916    1522    +    4.8e-170  563.1  18.4  -
Oscillatoriales           -          LKAP-TSAKG2_D07_057_2018_2 -               27     864      21     912       8     918    1445    +      5e-170  563.1  17.5  -
Leptotrichiaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               47     913      21     912      13     917    1492    +      5e-170  562.9  18.2  -
Sphingobacteriaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               22     904      16     909       7     917    1450    +    7.2e-170  562.4  17.9  -
Beutenbergiaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               27     895      21     910       8     917    1472    +    9.9e-170  562.0  18.4  -
Glycomycetaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               33     910      20     910       7     917    1495    +    1.1e-169  562.0  18.3  -
Micrococcales             -          LKAP-TSAKG2_D07_057_2018_2 -               27     893      21     910       9     917    1475    +    1.8e-169  561.2  19.1  -
Rubritaleaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               30     919      17     913       7     918    1459    +      3e-169  560.3  17.6  -
Iamiaceae                 -          LKAP-TSAKG2_D07_057_2018_2 -               24     900      18     911       8     918    1480    +    3.6e-169  560.4  18.3  -
Ruaniaceae                -          LKAP-TSAKG2_D07_057_2018_2 -               51     927      21     910       9     917    1531    +    3.7e-169  559.9  18.4  -
Algiphilaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               45     932      19     914       6     918    1501    +    7.4e-169  558.8  17.9  -
Cytophagales              -          LKAP-TSAKG2_D07_057_2018_2 -               25     906      19     912      11     917    1444    +    1.4e-168  558.2  17.8  -
Jonesiaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               46     932      21     910       7     917    1514    +    1.8e-168  558.0  18.3  -
Cryomorphaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               33     916      21     912      14     918    1454    +    1.8e-168  557.9  17.6  -
Sporomusaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               45     947      20     912       8     918    1535    +    2.4e-168  557.1  17.9  -
Thermotogaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               45     936      21     912       9     916    1545    +    2.6e-168  557.4  19.2  -
Thermomonosporaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               26     892      20     911       7     918    1464    +    2.9e-168  557.1  18.6  -
Kosmotogaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               35     914      21     912       9     916    1488    +    5.4e-168  556.5  18.7  -
Corynebacteriaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               25     898      20     910       8     917    1459    +    5.5e-168  556.1  18.9  -
Mariprofundaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               41     933      15     913       5     918    1528    +    6.6e-168  555.8  17.9  -
Lewinellaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               27     905      21     912       8     918    1446    +    7.4e-168  555.8  17.7  -
Corynebacterineae         -          LKAP-TSAKG2_D07_057_2018_2 -               27     890      21     910       9     917    1473    +    7.9e-168  555.8  18.7  -
Acidaminococcaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               33     938      20     914       8     918    1504    +    1.2e-167  554.7  17.6  -
Chroococcales             -          LKAP-TSAKG2_D07_057_2018_2 -               34     881      16     915       5     918    1445    +    1.7e-167  554.4  17.8  -
Symbiobacteriaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               20     922      21     911       7     917    1468    +    3.1e-167  554.0  18.5  -
Lysobacteriales           -          LKAP-TSAKG2_D07_057_2018_2 -               49     942      15     913       5     918    1508    +    4.5e-167  553.3  18.6  -
Cryptosporangiaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               26     889      20     911       8     917    1470    +    1.1e-166  551.9  19.0  -
Rarobacteraceae           -          LKAP-TSAKG2_D07_057_2018_2 -               16     881      21     910       9     917    1464    +    1.2e-166  551.7  19.0  -
Desulfurobacteriaceae     -          LKAP-TSAKG2_D07_057_2018_2 -               25     940      19     912       7     918    1497    +    1.4e-166  552.0  18.4  -
Peptoniphilaceae          -          LKAP-TSAKG2_D07_057_2018_2 -                5     876      23     910      19     917    1437    +    2.1e-166  551.2  18.7  -
Thermodesulfobacteriaceae -          LKAP-TSAKG2_D07_057_2018_2 -               21     926      15     912       7     917    1497    +    3.2e-166  550.5  18.1  -
Crocinitomicaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               28     914      21     912       9     918    1466    +    3.4e-166  550.1  18.0  -
Entomoplasmataceae        -          LKAP-TSAKG2_D07_057_2018_2 -               34     911      21     911      13     917    1497    +    1.5e-165  548.3  17.9  -
Sporichthyaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               26     890      20     910       8     917    1472    +    8.4e-165  545.8  18.6  -
Chrysiogenaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               62     915      55     912      27     918    1513    +    1.1e-164  545.3  18.3  -
Prolixibacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               25     902      19     908       7     917    1444    +    1.2e-164  545.1  18.1  -
Streptosporangiaceae      -          LKAP-TSAKG2_D07_057_2018_2 -               26     888      20     911       7     918    1464    +    2.3e-164  544.1  18.7  -
Hydrogenothermaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               26     887      20     912       8     916    1447    +    9.3e-164  542.4  17.6  -
Tsukamurellaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               45     910      20     910       7     917    1495    +    1.2e-163  541.9  18.3  -
Cyclobacteriaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               24     908      18     912       9     918    1447    +    1.8e-163  541.4  18.5  -
Frankiales                -          LKAP-TSAKG2_D07_057_2018_2 -               34     898      21     910       8     917    1425    +    2.8e-163  540.7  18.9  -
Opitutaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               22     936      16     913       8     918    1482    +    8.2e-163  539.0  18.3  -
Aquificaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               24     925      18     912       7     915    1485    +      1e-162  539.0  18.2  -
Oscillospiraceae          -          LKAP-TSAKG2_D07_057_2018_2 -               22     913      16     917       5     918    1453    +    1.6e-162  537.8  18.4  -
Mycobacteriaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               32     900      21     910       8     917    1471    +    2.3e-162  537.5  18.7  -
Actinospicaceae           -          LKAP-TSAKG2_D07_057_2018_2 -                4     868      21     910      18     917    1425    +    6.3e-162  536.1  18.8  -
Coriobacteriaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               39     895      20     910       9     917    1462    +    1.1e-161  535.9  18.3  -
Microscillaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               26     893      20     912      12     918    1461    +    2.9e-161  533.9  17.5  -
Fibrobacteraceae          -          LKAP-TSAKG2_D07_057_2018_2 -               25     890      20     912       9     918    1412    +    3.3e-161  534.1  18.6  -
Stigonematales            -          LKAP-TSAKG2_D07_057_2018_2 -               47     887      21     913      10     918    1450    +    1.3e-160  531.9  17.0  -
Jiangellaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               31     897      19     910       6     917    1497    +      2e-160  531.1  18.1  -
Dietziaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               16     880      19     910       8     917    1452    +    2.6e-160  530.8  19.1  -
Segniliparaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               29     892      19     910       8     917    1462    +    1.8e-159  528.1  18.8  -
Rhodothalassiaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               22     855      21     913       9     918    1318    +    3.1e-159  527.3  17.8  -
Phormidiaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               47     885      21     912      10     918    1483    +    6.1e-159  526.6  18.2  -
Thermosporotrichaceae     -          LKAP-TSAKG2_D07_057_2018_2 -                6     817      66     910      61     916    1317    +    6.3e-159  526.4  19.0  -
Marinilabiliaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               27     909      21     912      12     917    1447    +    7.6e-159  525.7  18.5  -
Rubricoccaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               31     916      20     912       7     918    1452    +    8.6e-159  525.7  17.7  -
Chlorobiaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               46     922      20     916       7     918    1455    +    1.9e-158  524.7  18.0  -
Nocardiopsaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               26     905      20     911       8     918    1475    +    3.6e-158  523.8  18.2  -
Temperatibacteraceae      -          LKAP-TSAKG2_D07_057_2018_2 -               34     839      67     913      46     918    1362    +    3.7e-158  523.6  16.8  -
Prevotellaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               28     914      21     908      14     916    1464    +    4.7e-158  523.1  18.1  -
Actinomycetales           -          LKAP-TSAKG2_D07_057_2018_2 -               47     928      21     910       8     917    1535    +    5.1e-158  523.2  18.6  -
Streptosporangineae       -          LKAP-TSAKG2_D07_057_2018_2 -                4     864      20     911      17     918    1443    +    5.1e-158  523.1  18.7  -
Dictyoglomaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               48     938      20     912       9     916    1541    +    1.4e-157  521.7  18.8  -
Nostocales                -          LKAP-TSAKG2_D07_057_2018_2 -               27     863      21     913      10     918    1457    +    5.6e-157  519.8  17.4  -
Fervidobacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               23     881      16     912       6     916    1480    +    6.7e-157  519.7  19.6  -
Fervidobacteriaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               33     943      19     912       8     916    1514    +    1.3e-156  518.5  19.3  -
Parachlamydiaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               40     934      21     913       9     918    1529    +    1.7e-156  518.2  18.0  -
Kofleriaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               41     948      19     913       6     918    1498    +    1.9e-155  514.8  17.8  -
Emcibacteraceae           -          LKAP-TSAKG2_D07_057_2018_2 -               43     891      17     913       7     918    1460    +    3.2e-155  514.1  17.4  -
Deinococcaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               28     891      20     912       8     918    1455    +    3.5e-154  510.4  17.5  -
Actinopolysporaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               26     910      19     910       5     917    1480    +    5.8e-154  509.7  19.0  -
Gemmatimonadaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               81     918      70     912      48     918    1525    +    1.6e-153  508.3  17.2  -
Magnetococcaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               46     897      20     913       8     918    1497    +    3.5e-153  507.3  18.3  -
Pseudobacteriovoracaceae  -          LKAP-TSAKG2_D07_057_2018_2 -                2     887      24     914      23     918    1466    +    7.9e-153  505.9  18.1  -
Prochlorococcaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               34     868      21     913       9     918    1465    +    5.3e-152  503.3  18.0  -
Sandaracinaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               14     918      19     913       8     918    1506    +      7e-152  503.0  17.8  -
Chlamydiaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               50     950      21     913       9     918    1548    +    3.7e-151  500.3  17.5  -
Roseiarcaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               61     877      56     913      33     918    1399    +      6e-150  496.4  17.5  -
Sphaerobacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               46     907      20     910       8     916    1531    +      7e-150  496.2  18.6  -
Syntrophorhabdaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               23     931      17     913       6     918    1482    +    8.7e-150  495.9  17.9  -
Thermogemmatisporaceae    -          LKAP-TSAKG2_D07_057_2018_2 -               22     898      16     910       6     916    1443    +    1.6e-149  495.2  19.3  -
Bradymonadaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               26     908      20     913       6     918    1461    +    1.9e-149  494.6  17.7  -
Marinifilaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               27     907      21     909      12     917    1450    +    3.7e-149  493.7  18.0  -
Blastocatellaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               46     916      20     912       9     918    1485    +    1.5e-148  491.6  18.0  -
Rhodospirillales          -          LKAP-TSAKG2_D07_057_2018_2 -               27     851      51     913      31     918    1413    +    9.7e-148  489.5  17.9  -
Iodidimonadaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               35     882      22     913       9     918    1437    +    1.6e-147  488.5  17.5  -
Hydrogenimonaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               26     910      19     913       7     918    1422    +    1.1e-146  485.7  18.0  -
Bacteroidales             -          LKAP-TSAKG2_D07_057_2018_2 -               49     926      21     908      14     916    1485    +    2.1e-146  484.4  17.9  -
Oligoflexaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               21     911      15     914       5     918    1458    +    2.9e-146  484.3  18.2  -
Vulgatibacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               27     929      21     913       6     918    1479    +    5.4e-146  483.4  17.8  -
Gemmataceae               -          LKAP-TSAKG2_D07_057_2018_2 -               41     889      22     912      14     917    1427    +    1.2e-145  482.2  17.5  -
Thermomicrobiaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               16     867      53     910      32     916    1273    +    1.8e-145  482.3  18.8  -
Odoribacteraceae          -          LKAP-TSAKG2_D07_057_2018_2 -               47     925      21     908      10     917    1486    +    2.9e-145  480.8  18.8  -
Anaeromyxobacteraceae     -          LKAP-TSAKG2_D07_057_2018_2 -               42     950      16     913       6     918    1549    +    6.3e-144  476.6  18.1  -
Labilitrichaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               21     930      15     913       5     918    1483    +    5.7e-143  473.3  17.8  -
Phaselicystidaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               44     945      19     913       6     918    1539    +    8.8e-143  472.8  17.8  -
Micropepsaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               46     880      21     913       8     918    1455    +    8.8e-143  472.7  17.5  -
Melioribacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               91     937      67     914      37     918    1539    +      3e-142  470.9  17.5  -
Egicoccaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               47     915      21     912       7     918    1512    +    1.5e-141  468.7  18.2  -
Acidothermaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               42     909      19     912       6     918    1509    +      2e-141  468.4  18.0  -
Haloplasmataceae          -          LKAP-TSAKG2_D07_057_2018_2 -               26     904      19     913       6     918    1345    +    2.7e-140  464.6  18.0  -
Chloroflexaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               47     889      21     910       9     916    1473    +    3.3e-140  464.5  18.9  -
Acanthopleuribacteraceae  -          LKAP-TSAKG2_D07_057_2018_2 -               31     906      61     913      41     918    1453    +    1.2e-139  462.4  17.8  -
Lentisphaeraceae          -          LKAP-TSAKG2_D07_057_2018_2 -               38     899      21     912      13     918    1465    +    1.7e-139  462.0  17.7  -
Christensenellaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               37     921      22     912       7     918    1497    +    3.3e-139  460.9  18.0  -
Herpetosiphonaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               45     890      19     910       6     916    1475    +    4.7e-139  460.3  18.0  -
Acidimicrobiales          -          LKAP-TSAKG2_D07_057_2018_2 -               23     903      15     912       5     918    1483    +    1.2e-138  459.3  18.8  -
Gracilibacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -              202    1027      68     912      48     918    1549    +    1.5e-138  458.6  17.0  -
Caldisericaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               26     928      20     911       6     917    1481    +    2.4e-138  457.9  18.1  -
Euzebyaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               23     896      17     912       6     918    1476    +      1e-137  456.0  18.8  -
Akkermansiaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               26     891      20     913       9     918    1441    +    2.4e-137  454.9  18.0  -
Nitriliruptoraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               34     904      19     912       7     918    1425    +      3e-137  454.4  18.0  -
Halanaerobiales           -          LKAP-TSAKG2_D07_057_2018_2 -               25     948      15     913       5     918    1500    +    6.1e-137  453.4  18.3  -
Aquificales               -          LKAP-TSAKG2_D07_057_2018_2 -               11     930      15     912       7     918    1450    +    1.8e-136  452.0  18.3  -
Gaiellaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               45     940      19     912       6     918    1544    +      4e-136  450.5  18.0  -
Elusimicrobiaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               53     883      66     915      44     918    1395    +      3e-135  447.7  17.5  -
Ignavibacteriaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               28     912      22     914       7     918    1461    +    9.9e-135  446.1  17.6  -
Fimbriimonadaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               26     888      15     913       5     918    1443    +    7.9e-134  443.1  17.2  -
Brevinemataceae           -          LKAP-TSAKG2_D07_057_2018_2 -               44     923      19     912       7     917    1490    +    1.5e-133  442.2  18.6  -
Victivallaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               44     896      22     913       9     918    1456    +    6.5e-133  440.1  17.0  -
Egibacteraceae            -          LKAP-TSAKG2_D07_057_2018_2 -               43     917      17     912       6     918    1516    +    1.6e-132  438.9  18.7  -
Armatimonadaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               26     888      21     913       7     918    1438    +      2e-132  438.4  17.6  -
Brachyspiraceae           -          LKAP-TSAKG2_D07_057_2018_2 -               60     878      68     911      45     917    1441    +    7.5e-132  436.5  17.1  -
Schleiferiaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               41     928      16     913       7     918    1499    +    1.1e-131  436.2  17.8  -
Ktedonobacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               16     865      15     911       6     917    1386    +      3e-131  434.8  19.2  -
Isosphaeraceae            -          LKAP-TSAKG2_D07_057_2018_2 -               43     906      21     913       9     918    1475    +    3.3e-131  434.4  18.4  -
Gloeomargaritaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               45     884      19     913       6     918    1482    +    1.4e-130  432.5  17.7  -
Spirochaetales            -          LKAP-TSAKG2_D07_057_2018_2 -               25     904      19     913       7     918    1456    +    1.8e-130  432.0  18.1  -
Ardenticatenia            -          LKAP-TSAKG2_D07_057_2018_2 -               21     916      15     911       5     917    1453    +    5.8e-130  430.5  19.1  -
Thermoflexaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               57     897      66     911      33     917    1466    +    3.6e-129  428.1  18.2  -
Catalimonadaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               20     894      27     913      11     918    1425    +    8.2e-129  426.5  18.1  -
Verrucomicrobiales        -          LKAP-TSAKG2_D07_057_2018_2 -               37     906      64     914      43     918    1410    +    3.2e-128  424.9  17.7  -
Lentimicrobiaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               25     908      19     912       7     918    1446    +    5.8e-128  423.6  17.6  -
Trueperaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               11     874      15     913       7     918    1461    +    3.8e-127  420.9  17.1  -
Thermonemataceae          -          LKAP-TSAKG2_D07_057_2018_2 -               14     904      17     913       8     918    1465    +      5e-127  420.7  17.5  -
Spartobacteria            -          LKAP-TSAKG2_D07_057_2018_2 -               20     901      16     914       6     918    1418    +    6.5e-127  420.2  18.4  -
Mooreiaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               36     895      55     913      31     918    1424    +    9.3e-127  419.8  18.5  -
Blastocatellales          -          LKAP-TSAKG2_D07_057_2018_2 -               44     894      18     913       7     918    1488    +    1.2e-126  419.3  18.2  -
Xenococcaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               24     869      18     914       7     918    1418    +    2.4e-126  418.6  17.1  -
Filobacteriaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               41     928      16     912       7     918    1521    +    2.8e-125  414.7  17.3  -
Soortiaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               92     944      68     913      36     918    1516    +    6.6e-125  413.5  17.6  -
Simkaniaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               44     950      18     915       6     918    1545    +    1.8e-124  412.2  17.5  -
