# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               29     955      22     946      13     948    1468    +           0 1081.4  18.9  -
Rhodothermaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               57     954      52     946      31     948    1457    +    1.5e-192  637.7  19.0  -
Cystobacteraceae          -          LKAP-TSAKG2_D09_073_2018_2 -               33     972      23     946      14     948    1491    +    1.7e-192  637.4  18.1  -
Desulfonatronaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               68     971      61     943      40     949    1495    +    2.2e-192  637.1  18.9  -
Nocardioidaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               32     939      22     943      10     949    1455    +    2.2e-192  637.2  19.1  -
Peptoniphilaceae          -          LKAP-TSAKG2_D09_073_2018_2 -                9     925      23     946      17     948    1437    +    3.6e-192  636.6  19.1  -
Sporomusaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               52     994      23     946      15     948    1535    +    5.2e-192  635.6  18.5  -
Veillonellaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               11     963      23     946      15     948    1450    +    8.7e-192  635.0  18.4  -
Listeriaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               20     960      23     946      13     948    1448    +    1.4e-191  634.6  18.3  -
Enterococcaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               33     982      23     946      11     948    1498    +    3.6e-191  633.1  18.0  -
Myxococcaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               78     988      61     946      40     948    1517    +    4.1e-191  632.8  18.4  -
Acidimicrobiaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               85     961      56     944      24     948    1464    +    8.3e-191  632.0  19.3  -
Cellulomonadaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               36     943      22     940      12     947    1465    +    8.6e-191  632.0  19.3  -
Corynebacterineae         -          LKAP-TSAKG2_D09_073_2018_2 -               33     938      23     945      15     948    1473    +    1.4e-190  631.2  19.5  -
Sporolactobacillaceae     -          LKAP-TSAKG2_D09_073_2018_2 -               33     971      23     946      11     948    1503    +    1.7e-190  630.8  18.3  -
Marinilabiliaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               30     957      21     947      13     949    1447    +    3.3e-190  629.6  18.3  -
Leuconostocaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               52     978      44     946      21     948    1479    +    9.6e-190  628.4  18.3  -
Haliscomenobacteraceae    -          LKAP-TSAKG2_D09_073_2018_2 -               53     974      23     945      15     948    1485    +    2.5e-189  627.5  17.9  -
Actinomycetaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               33     967      23     940      14     947    1468    +    8.6e-189  625.2  18.6  -
Crocinitomicaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               34     961      23     946      12     948    1466    +    1.5e-188  624.2  18.0  -
Lewinellaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               33     952      23     946      14     948    1446    +    2.9e-188  623.6  17.7  -
Cryomorphaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               39     963      23     946      16     948    1454    +    4.1e-188  623.1  18.4  -
Acholeplasmataceae        -          LKAP-TSAKG2_D09_073_2018_2 -               45     943      55     946      34     948    1437    +    5.6e-188  622.3  19.0  -
Kineosporiaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               41     940      23     939      13     947    1463    +    2.2e-187  620.7  19.5  -
Dehalococcoidaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               59     927      61     943      38     948    1437    +    3.9e-187  620.2  18.7  -
Acidobacteriaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               87     942      62     946      42     948    1462    +    4.4e-187  619.5  19.1  -
Micromonosporaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               47     952      23     943      12     949    1482    +    5.2e-187  619.3  19.2  -
Tsukamurellaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               52     956      23     943      11     949    1495    +    7.7e-187  618.8  19.4  -
Rikenellaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               41     968      23     946      16     948    1456    +      1e-186  618.3  17.6  -
Saprospiraceae            -          LKAP-TSAKG2_D09_073_2018_2 -               44     965      23     946      13     948    1430    +    1.2e-186  618.5  18.5  -
Natranaerobiaceae         -          LKAP-TSAKG2_D09_073_2018_2 -                2     937      14     945      13     948    1429    +    1.2e-186  618.0  18.3  -
Oscillatoriales           -          LKAP-TSAKG2_D09_073_2018_2 -               57     910      62     945      40     948    1445    +    2.5e-186  617.2  18.6  -
Frankiaceae               -          LKAP-TSAKG2_D09_073_2018_2 -               54     953      23     946      14     948    1499    +    2.5e-186  617.2  18.1  -
Halanaerobiaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               93     985      61     938      39     946    1503    +    2.6e-186  616.8  18.9  -
Propionibacteriaceae      -          LKAP-TSAKG2_D09_073_2018_2 -               36     944      22     943      11     949    1462    +    2.8e-186  616.9  18.8  -
Persicobacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               32     954      22     946      12     948    1448    +    3.9e-186  616.5  18.4  -
Solirubrobacteraceae      -          LKAP-TSAKG2_D09_073_2018_2 -               51     952      61     946      40     948    1443    +      4e-186  616.2  18.3  -
Prolixibacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               32     954      22     947      13     949    1444    +    5.4e-186  615.9  18.7  -
Thermomonosporaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               33     933      23     939      13     948    1464    +    5.6e-186  615.9  18.8  -
Promicromonosporaceae     -          LKAP-TSAKG2_D09_073_2018_2 -               32     935      22     940      11     947    1462    +    5.9e-186  615.8  19.3  -
Balneolaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               66     959      58     947      37     949    1459    +    7.2e-186  615.5  18.2  -
Thermaceae                -          LKAP-TSAKG2_D09_073_2018_2 -               43     945      23     946      17     948    1477    +    8.2e-186  615.5  18.7  -
Anaeroplasmataceae        -          LKAP-TSAKG2_D09_073_2018_2 -               60     960      23     946      15     948    1453    +    9.2e-186  615.3  18.2  -
Rubrobacteraceae          -          LKAP-TSAKG2_D09_073_2018_2 -               65     968      61     946      41     948    1495    +      1e-185  615.0  18.3  -
Chrysiogenaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               77     962      64     946      44     948    1513    +    1.3e-185  614.7  18.2  -
Desulfurobacteriaceae     -          LKAP-TSAKG2_D09_073_2018_2 -               72     986      56     945      35     948    1497    +    1.5e-185  614.8  18.6  -
Dermacoccaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               29     936      22     940      10     947    1456    +    5.5e-185  612.5  19.1  -
Bogoriellaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               30     943      20     940      10     947    1470    +    7.6e-185  612.1  18.4  -
Gallionellaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               50     971      23     941      11     948    1385    +      9e-185  611.8  18.7  -
Salinibacteraceae         -          LKAP-TSAKG2_D09_073_2018_2 -               58     983      23     945      16     948    1497    +    9.3e-185  611.9  18.4  -
Mycobacteriaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               38     946      23     943      14     949    1471    +    1.7e-184  610.9  19.1  -
Catenulisporaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               33     939      23     946      15     948    1460    +    2.2e-184  610.6  19.4  -
Thermodesulfobiaceae      -          LKAP-TSAKG2_D09_073_2018_2 -               49     961      23     943      15     948    1520    +    2.7e-184  610.3  18.6  -
Planctomycetaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               43     959      23     946      18     948    1486    +    3.1e-184  610.3  18.3  -
Sterolibacteriaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               48     976      23     940      11     947    1531    +    3.6e-184  609.8  18.8  -
Streptosporangiaceae      -          LKAP-TSAKG2_D09_073_2018_2 -               33     930      23     940      12     948    1464    +    4.3e-184  609.5  19.1  -
Sanguibacteraceae         -          LKAP-TSAKG2_D09_073_2018_2 -               46     955      20     940      11     947    1483    +    4.6e-184  609.5  19.5  -
Nakamurellaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               64     934      60     940      39     947    1462    +    5.1e-184  609.4  18.9  -
Actinomycetales           -          LKAP-TSAKG2_D09_073_2018_2 -               53     974      23     943      13     948    1535    +    9.3e-184  608.5  19.1  -
Dietziaceae               -          LKAP-TSAKG2_D09_073_2018_2 -               24     929      23     946      11     948    1452    +    2.6e-183  607.1  19.4  -
Geodermatophilaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               46     954      23     944      12     948    1479    +    3.3e-183  606.8  19.4  -
Chroococcales             -          LKAP-TSAKG2_D09_073_2018_2 -               43     925      21     946       8     948    1445    +    3.5e-183  606.5  18.2  -
Betaproteobacteria        -          LKAP-TSAKG2_D09_073_2018_2 -               15     938      24     946      13     948    1454    +      4e-183  606.3  18.5  -
Jiangellaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               39     944      23     944      11     949    1497    +    7.7e-183  605.4  18.7  -
Spiroplasmataceae         -          LKAP-TSAKG2_D09_073_2018_2 -               78     971      61     946      40     948    1516    +    9.8e-183  605.5  19.0  -
Pyrinomonadaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               88    1001      61     946      40     948    1526    +    1.1e-182  604.8  18.3  -
Opitutaceae               -          LKAP-TSAKG2_D09_073_2018_2 -               73     982      59     946      33     948    1482    +    2.6e-182  603.7  18.2  -
Demequinaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               33     938      23     940      13     947    1478    +    3.7e-182  603.2  19.5  -
Beutenbergiaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               33     938      23     940      13     948    1472    +    3.9e-182  603.1  18.7  -
Sphingobacteriaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               30     954      20     946       9     948    1450    +    5.7e-182  602.6  18.2  -
Chlorobiaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               87     965      65     946      45     948    1455    +      6e-182  602.6  18.1  -
Cryptosporangiaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               33     931      23     940      14     947    1470    +    7.9e-182  602.1  19.0  -
Caldilineaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               75     944      62     945      27     948    1434    +    8.4e-182  602.1  19.8  -
Micrococcales             -          LKAP-TSAKG2_D09_073_2018_2 -               33     936      23     940      14     947    1475    +    9.2e-182  602.0  19.2  -
Dermatophilaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               38     941      23     940      15     947    1480    +    1.4e-181  601.3  19.2  -
Defluviitaleaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               11     927      12     940       7     947    1413    +    2.4e-181  600.6  19.0  -
Nannocystaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               74     969      60     944      37     948    1487    +    4.3e-181  599.7  18.8  -
Rubritaleaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               40     965      23     946      14     948    1459    +    9.3e-181  598.5  18.3  -
Acidaminococcaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               40     980      23     943      14     948    1504    +    2.8e-180  596.6  18.2  -
Segniliparaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               37     938      23     943      15     949    1462    +      7e-180  595.8  19.3  -
Phormidiaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               76     932      60     946      39     948    1483    +      7e-180  596.0  19.3  -
Bifidobacteriaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               47     961      23     946      12     948    1469    +    1.5e-179  594.7  18.8  -
Stigonematales            -          LKAP-TSAKG2_D09_073_2018_2 -               77     932      61     945      41     948    1450    +    1.8e-179  594.5  18.5  -
Thermotogaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               51     982      23     945      15     948    1545    +    2.5e-179  593.9  19.2  -
Conexibacteraceae         -          LKAP-TSAKG2_D09_073_2018_2 -               88     989      62     946      42     948    1536    +    3.3e-179  593.2  18.5  -
Bacteroidales             -          LKAP-TSAKG2_D09_073_2018_2 -               55     977      23     946      16     948    1485    +    4.4e-179  592.8  18.8  -
Ruaniaceae                -          LKAP-TSAKG2_D09_073_2018_2 -               59     970      25     940      16     947    1531    +    9.1e-179  591.8  18.8  -
Frankiales                -          LKAP-TSAKG2_D09_073_2018_2 -               40     941      23     940      14     947    1425    +    1.2e-178  591.7  19.7  -
Dermabacteraceae          -          LKAP-TSAKG2_D09_073_2018_2 -               39     947      21     940      11     947    1470    +    1.9e-178  590.8  19.3  -
Anaerolineaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               33     937      23     943      15     949    1430    +    2.7e-178  591.0  19.5  -
Glycomycetaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               40     957      23     944      11     949    1495    +    3.2e-178  590.3  18.8  -
Nocardiopsaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               33     947      23     940      12     949    1475    +    3.4e-178  590.2  18.6  -
Iamiaceae                 -          LKAP-TSAKG2_D09_073_2018_2 -               66     945      54     943      34     949    1480    +    1.5e-177  588.2  18.8  -
Thermodesulfobacteriaceae -          LKAP-TSAKG2_D09_073_2018_2 -               66     972      63     945      42     948    1497    +    1.6e-177  588.0  18.7  -
Sporichthyaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               63     933      59     940      35     947    1472    +    1.8e-177  587.9  18.9  -
Atopobacteriaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               35     944      21     945      10     948    1442    +    2.9e-177  587.2  19.1  -
Petrotogaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               48     957      23     944      15     948    1488    +      5e-177  586.5  19.2  -
Fibrobacteraceae          -          LKAP-TSAKG2_D09_073_2018_2 -               29     934      21     943      15     949    1412    +      5e-177  586.5  18.9  -
Prevotellaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               34     965      23     946      15     948    1464    +    6.6e-177  585.6  18.5  -
Leptotrichiaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               66     960      38     946      19     948    1492    +    8.2e-177  585.4  19.2  -
Actinopolysporaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               31     956      20     943       8     949    1480    +    8.9e-177  585.3  18.7  -
Symbiobacteriaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               18     969      16     945       7     948    1468    +    1.5e-176  584.9  18.7  -
Microscillaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               53     940      59     946      39     948    1461    +    2.5e-176  583.9  18.7  -
Actinospicaceae           -          LKAP-TSAKG2_D09_073_2018_2 -                4     916      17     945      14     948    1425    +    3.9e-176  583.2  19.0  -
Jonesiaceae               -          LKAP-TSAKG2_D09_073_2018_2 -               45     975      16     940       8     947    1514    +    5.3e-176  582.9  19.0  -
Mariprofundaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               88     977      62     944      40     949    1528    +    1.4e-175  581.2  18.5  -
Rarobacteraceae           -          LKAP-TSAKG2_D09_073_2018_2 -               40     924      43     940      23     947    1464    +    1.9e-175  580.9  19.5  -
Streptosporangineae       -          LKAP-TSAKG2_D09_073_2018_2 -               11     906      23     940      15     949    1443    +    1.6e-174  577.8  18.3  -
Eggerthellaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               74     940      61     945      40     948    1449    +    2.9e-174  577.2  19.0  -
Kosmotogaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               41     958      23     943      12     948    1488    +    3.3e-173  573.9  18.9  -
Entomoplasmataceae        -          LKAP-TSAKG2_D09_073_2018_2 -               65     958      62     945      41     948    1497    +    3.7e-173  573.6  18.6  -
Oscillospiraceae          -          LKAP-TSAKG2_D09_073_2018_2 -               79     955      56     946      36     948    1453    +      7e-173  572.1  19.0  -
Dictyoglomaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               55     984      23     945      14     948    1541    +    3.5e-172  570.1  19.2  -
Nostocales                -          LKAP-TSAKG2_D09_073_2018_2 -               55     903      61     940      40     947    1457    +    4.7e-172  569.8  18.8  -
Rubricoccaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               75     957      62     940      38     947    1452    +      7e-172  569.2  18.7  -
Odoribacteraceae          -          LKAP-TSAKG2_D09_073_2018_2 -               49     973      20     943      14     948    1486    +    7.6e-171  565.6  19.0  -
Rhodothalassiaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               48     900      58     945      35     948    1318    +    1.4e-169  561.6  18.6  -
Marinifilaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               33     958      23     947      14     949    1450    +    2.5e-169  560.7  17.8  -
Deinococcaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               58     938      60     946      37     948    1455    +    1.1e-168  558.5  18.9  -
Gemmatimonadaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               80     959      63     940      49     948    1525    +    4.6e-168  556.6  18.3  -
Blastocatellaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               54     963      24     946      16     948    1485    +    1.5e-167  554.7  18.6  -
Fervidobacteriaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               80     989      47     945      25     948    1514    +    1.9e-167  554.5  19.8  -
Mesoaciditogaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               88     971      56     939      36     947    1522    +      2e-167  554.4  19.0  -
Rhodospirillales          -          LKAP-TSAKG2_D09_073_2018_2 -               41     892      59     941      38     948    1413    +    5.7e-165  546.6  19.2  -
Temperatibacteraceae      -          LKAP-TSAKG2_D09_073_2018_2 -                3     884      25     945      23     948    1362    +    1.4e-164  544.9  18.2  -
Prochlorococcaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               61     911      62     943      42     948    1465    +    5.2e-162  536.5  19.0  -
Syntrophorhabdaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               33     977      23     946       9     948    1482    +    7.2e-162  535.9  18.5  -
Aquificaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               33     971      23     945      13     948    1485    +    1.6e-161  535.1  18.5  -
Kofleriaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               84     992      61     944      38     948    1498    +    3.2e-161  533.9  18.3  -
Emcibacteraceae           -          LKAP-TSAKG2_D09_073_2018_2 -               53     931      23     941      12     948    1460    +    4.9e-161  533.4  18.6  -
Thermomicrobiaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               29     915      60     945      40     948    1273    +    1.4e-160  532.4  19.1  -
Coriobacteriaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               46     943      23     945      13     948    1462    +    1.4e-160  532.2  18.8  -
Akkermansiaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               33     937      23     946      15     948    1441    +    2.1e-160  531.4  19.3  -
Parachlamydiaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               73     974      62     940      42     949    1529    +    2.2e-160  531.2  18.4  -
Fervidobacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               34     927      23     945      11     948    1480    +    1.3e-159  528.7  20.7  -
Magnetococcaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               52     941      22     944      11     948    1497    +    1.9e-159  528.0  19.1  -
Pseudobacteriovoracaceae  -          LKAP-TSAKG2_D09_073_2018_2 -               36     932      60     946      38     948    1466    +    4.1e-159  526.8  18.5  -
Chlamydiaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               56     996      23     946      17     948    1548    +    5.5e-159  526.3  17.8  -
Roseiarcaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               70     918      59     941      38     948    1399    +    1.6e-158  524.9  18.5  -
Micropepsaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               72     922      61     942      40     948    1455    +    1.8e-158  524.7  18.5  -
Thermosporotrichaceae     -          LKAP-TSAKG2_D09_073_2018_2 -                7     866      61     946      53     948    1317    +    1.9e-158  524.9  19.1  -
Gemmataceae               -          LKAP-TSAKG2_D09_073_2018_2 -               79     934      62     943      42     947    1427    +    9.1e-158  522.4  18.6  -
Sphaerobacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               84     955      63     945      40     948    1531    +    3.5e-157  520.5  19.6  -
Iodidimonadaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               61     923      60     941      38     948    1437    +    3.8e-157  520.3  18.5  -
Anaeromyxobacteraceae     -          LKAP-TSAKG2_D09_073_2018_2 -               53     996      23     946       9     949    1549    +    4.7e-157  520.1  19.0  -
Labilitrichaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               65     976      62     946      42     948    1483    +    4.9e-157  519.9  18.4  -
Oligoflexaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               64     956      61     946      37     948    1458    +    1.5e-156  518.4  18.7  -
Hydrogenothermaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               34     931      24     943      16     948    1447    +    2.1e-156  518.1  18.9  -
Sandaracinaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               54     963      62     945      41     948    1506    +    2.6e-156  517.7  18.8  -
Bradymonadaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               69     952      62     944      42     948    1461    +    5.7e-156  516.2  18.5  -
Hydrogenimonaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               86     956      61     946      40     948    1422    +      8e-156  516.0  18.1  -
Lentisphaeraceae          -          LKAP-TSAKG2_D09_073_2018_2 -               77     945      62     944      41     949    1465    +    1.7e-155  515.1  18.6  -
Gaiellaceae               -          LKAP-TSAKG2_D09_073_2018_2 -               88     981      62     940      39     948    1544    +      5e-154  509.9  18.5  -
Vulgatibacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               61     975      59     946      39     949    1479    +    1.5e-153  508.5  18.3  -
Brachyspiraceae           -          LKAP-TSAKG2_D09_073_2018_2 -               25     923      23     943      15     948    1441    +    4.3e-153  506.9  18.7  -
Acanthopleuribacteraceae  -          LKAP-TSAKG2_D09_073_2018_2 -               28     953      52     947      31     949    1453    +    7.2e-153  506.2  18.4  -
Gracilibacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -              198    1073      58     945      36     948    1549    +      8e-153  505.9  19.0  -
Melioribacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               57     980      25     944      11     948    1539    +    1.1e-151  502.1  18.5  -
Acidothermaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               50     956      23     946      10     948    1509    +    1.2e-151  502.3  19.3  -
Phaselicystidaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               53     991      24     946      11     948    1539    +    2.4e-151  501.2  18.3  -
Christensenellaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               90     962      56     940      36     948    1497    +    5.1e-150  496.7  18.7  -
Egicoccaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               85     962      60     946      37     948    1512    +    4.5e-149  493.6  19.1  -
Ignavibacteriaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               68     955      62     944      41     948    1461    +      6e-149  493.2  18.6  -
Acidimicrobiales          -          LKAP-TSAKG2_D09_073_2018_2 -               71     950      56     946      36     948    1483    +    6.6e-149  493.3  18.9  -
Halanaerobiales           -          LKAP-TSAKG2_D09_073_2018_2 -               80     993      52     945      31     948    1500    +    2.3e-148  491.2  18.9  -
Thermogemmatisporaceae    -          LKAP-TSAKG2_D09_073_2018_2 -               61     943      61     942      41     947    1443    +    1.2e-147  488.9  19.3  -
Chloroflexaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               81     938      62     946      41     949    1473    +    1.5e-147  488.9  18.6  -
Haloplasmataceae          -          LKAP-TSAKG2_D09_073_2018_2 -               55     945      60     941      39     948    1345    +    2.4e-147  488.0  19.3  -
Nitriliruptoraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               76     951      62     946      41     948    1425    +    2.9e-147  487.6  19.1  -
Thermonemataceae          -          LKAP-TSAKG2_D09_073_2018_2 -               23     950      22     946      10     948    1465    +    4.4e-144  477.2  17.9  -
Euzebyaceae               -          LKAP-TSAKG2_D09_073_2018_2 -               33     937      23     940       9     948    1476    +    8.2e-144  476.3  19.6  -
Aquificales               -          LKAP-TSAKG2_D09_073_2018_2 -               59     976      53     945      30     948    1450    +    1.8e-143  475.2  18.7  -
Mzabimycetaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               10     880      57     943      49     948    1357    +    2.9e-143  474.4  19.8  -
Catalimonadaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               15     940      18     946       8     948    1425    +    3.1e-143  474.3  18.8  -
Longimicrobiaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               14     921      59     946      47     948    1413    +    4.8e-143  473.8  18.7  -
Spirochaetales            -          LKAP-TSAKG2_D09_073_2018_2 -               62     949      45     945      20     948    1456    +      7e-143  473.1  18.4  -
Egibacteraceae            -          LKAP-TSAKG2_D09_073_2018_2 -               87     963      61     945      39     948    1516    +    1.7e-142  472.0  19.2  -
Isosphaeraceae            -          LKAP-TSAKG2_D09_073_2018_2 -               67     948      59     941      39     948    1475    +    2.2e-142  471.5  18.6  -
Gloeomargaritaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               71     929      57     945      36     948    1482    +    1.2e-140  465.8  18.7  -
Mooreiaceae               -          LKAP-TSAKG2_D09_073_2018_2 -               15     941      18     946       8     948    1424    +    1.3e-140  465.7  19.4  -
Blastocatellales          -          LKAP-TSAKG2_D09_073_2018_2 -               84     936      61     942      39     948    1488    +    5.4e-140  463.5  19.2  -
Elusimicrobiaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               12     927      23     946      15     948    1395    +    5.8e-140  463.3  18.3  -
Xenococcaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               57     913      61     945      40     948    1418    +    3.5e-139  461.1  18.5  -
Spartobacteria            -          LKAP-TSAKG2_D09_073_2018_2 -               31     946      23     946       9     948    1418    +    5.7e-139  460.2  18.9  -
Schleiferiaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               76     975      55     947      33     949    1499    +    3.4e-138  457.8  18.3  -
Herpetosiphonaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               73     939      59     946      39     948    1475    +    5.8e-138  456.7  18.9  -
Kiritimatiellaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               53    1007      23     944      11     949    1556    +      4e-136  450.8  18.5  -
Armatimonadaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               63     928      62     940      41     949    1438    +    4.4e-136  450.6  18.1  -
Victivallaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               72     942      61     946      41     948    1456    +    2.2e-135  448.3  19.0  -
Ardenticatenia            -          LKAP-TSAKG2_D09_073_2018_2 -               42     963      28     945      11     948    1453    +    5.7e-135  447.1  19.0  -
Lentimicrobiaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               33     955      23     946      11     948    1446    +    9.1e-135  446.2  18.4  -
Trueperaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               23     920      23     946      12     948    1461    +    9.9e-135  446.0  18.3  -
Ichthyobacteriaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               52     979      22     945      10     948    1521    +    2.9e-134  444.6  18.4  -
Chitinivibrionaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               40     975      22     946      10     949    1488    +      1e-133  442.8  18.8  -
Roseiflexaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               79     934      61     941      40     948    1469    +    2.3e-133  442.0  18.5  -
Prochlorotrichaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               43     895      62     945      42     948    1448    +      3e-133  441.1  18.9  -
Caldisericaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               33     976      23     946       9     948    1481    +    3.9e-133  440.7  18.7  -
Ktedonobacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               46     912      53     945      33     948    1386    +    4.3e-133  440.9  18.8  -
