# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcaligenaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               16     924      11     921       6     921    1467    +           0 1085.9  20.9  -
Veillonellaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               11     926      26     920      18     921    1450    +    5.9e-183  605.6  22.0  -
Anaerolineaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               33     902      26     919      13     921    1430    +    6.1e-182  603.0  21.8  -
Defluviitaleaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               15     896      17     920      10     921    1413    +    7.3e-182  602.3  21.5  -
Parviterribacteraceae     -          LKAP-TSAKG2_H07_049_2018_2 -               67     917      66     920      46     921    1456    +    9.3e-182  601.8  20.0  -
Acidobacteriaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               57     905      38     920      21     921    1462    +    2.6e-181  600.3  21.8  -
Propionibacteriaceae      -          LKAP-TSAKG2_H07_049_2018_2 -               35     911      25     921      11     921    1462    +    4.2e-181  599.7  21.5  -
Sanguibacteraceae         -          LKAP-TSAKG2_H07_049_2018_2 -               45     925      22     921      11     921    1483    +    8.6e-181  598.6  22.2  -
Desulfonatronaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               63     937      61     920      23     921    1495    +    1.1e-180  598.2  21.4  -
Thermodesulfobiaceae      -          LKAP-TSAKG2_H07_049_2018_2 -               49     927      26     920      14     921    1520    +    1.3e-180  598.0  21.0  -
Demequinaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               29     908      23     921      12     921    1478    +    5.2e-180  596.1  21.7  -
Anaeroplasmataceae        -          LKAP-TSAKG2_H07_049_2018_2 -               60     922      26     919      16     921    1453    +    5.4e-180  596.1  20.0  -
Bernardetiaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               33     919      26     920      14     921    1481    +    7.8e-180  595.4  20.9  -
Hymenobacteraceae         -          LKAP-TSAKG2_H07_049_2018_2 -               33     908      26     920      11     921    1445    +    8.5e-180  595.5  21.0  -
Geodermatophilaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               46     917      26     918      12     921    1479    +    9.3e-180  595.3  21.4  -
Catenulisporaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               33     902      26     920      12     921    1460    +    9.7e-180  595.2  22.0  -
Natranaerobiaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               60     901      62     920      38     921    1429    +      1e-179  595.0  21.0  -
Dermacoccaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               27     905      24     920      10     921    1456    +    1.1e-179  594.9  21.6  -
Pseudonocardiaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               39     913      26     921      12     921    1475    +    1.4e-179  594.7  21.8  -
Caldilineaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               66     907      58     919      31     921    1434    +    1.9e-179  594.2  21.7  -
Kineosporiaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               38     911      24     921      12     921    1463    +    2.9e-179  593.7  22.1  -
Nakamurellaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               33     903      26     920      11     921    1462    +    2.6e-178  590.4  21.7  -
Bryobacteraceae           -          LKAP-TSAKG2_H07_049_2018_2 -               86     903      67     920      45     921    1417    +    4.1e-178  589.9  21.7  -
Porphyromonadaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               41     931      26     920      14     921    1473    +    6.7e-178  589.1  21.8  -
Nannocystaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               50     934      41     920      21     921    1487    +    7.6e-178  588.9  20.6  -
Spiroplasmataceae         -          LKAP-TSAKG2_H07_049_2018_2 -               56     934      26     920      12     921    1516    +    1.1e-177  588.7  21.0  -
Promicromonosporaceae     -          LKAP-TSAKG2_H07_049_2018_2 -               29     905      23     921      10     921    1462    +    1.4e-177  588.0  22.2  -
Balneolaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               42     921      37     920      17     921    1459    +    2.3e-177  587.2  21.2  -
Conexibacteraceae         -          LKAP-TSAKG2_H07_049_2018_2 -               69     952      45     920      25     921    1536    +    2.7e-177  586.8  21.4  -
Dermatophilaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               38     911      26     921      12     921    1480    +    5.9e-177  585.9  21.7  -
Chitinophagaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               30     921      23     920      10     921    1458    +    9.6e-177  585.6  20.9  -
Nocardiaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               33     904      26     921      12     921    1472    +    1.4e-176  584.8  21.9  -
Puniceicoccaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               43     941      26     920      14     921    1485    +    1.5e-176  584.5  21.5  -
Haliscomenobacteraceae    -          LKAP-TSAKG2_H07_049_2018_2 -               49     938      23     920      10     921    1485    +    1.7e-176  584.9  20.6  -
Rikenellaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               41     931      26     920      14     921    1456    +    2.2e-176  584.0  20.9  -
Caldicoprobacteraceae     -          LKAP-TSAKG2_H07_049_2018_2 -               92     936      65     920      41     921    1530    +    4.7e-176  582.9  21.6  -
Frankiaceae               -          LKAP-TSAKG2_H07_049_2018_2 -               63     916      51     920      30     921    1499    +    4.9e-176  583.1  22.1  -
Leptotrichiaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               70     923      46     920      26     921    1492    +    5.1e-176  582.7  21.2  -
Dermabacteraceae          -          LKAP-TSAKG2_H07_049_2018_2 -               37     916      22     920      11     921    1470    +    5.5e-176  582.6  22.1  -
Eggerthellaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               74     904      66     920      38     921    1449    +    5.5e-176  582.9  21.6  -
Pyrinomonadaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               59     964      40     920      19     921    1526    +    6.4e-176  582.3  21.4  -
Bogoriellaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               31     913      24     921      11     921    1470    +    8.4e-176  582.1  21.8  -
Planctomycetaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               50     921      41     920      21     921    1486    +    8.5e-176  582.3  21.8  -
Solirubrobacteraceae      -          LKAP-TSAKG2_H07_049_2018_2 -               34     915      46     920      26     921    1443    +    8.6e-176  582.0  21.1  -
Saprospiraceae            -          LKAP-TSAKG2_H07_049_2018_2 -               40     928      23     920      10     921    1430    +    9.6e-176  582.4  20.7  -
Atopobacteriaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               37     908      26     920      16     921    1442    +      1e-175  582.0  21.8  -
Nocardioidaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               33     905      26     920      11     921    1455    +    1.3e-175  581.6  21.8  -
Micromonosporaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               47     919      26     921      12     921    1482    +    3.7e-175  580.0  21.9  -
Thermaceae                -          LKAP-TSAKG2_H07_049_2018_2 -               52     908      47     920      26     921    1477    +    4.5e-175  579.9  20.6  -
Dehalococcoidaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               56     892      63     919      40     921    1437    +    4.9e-175  580.0  20.7  -
Oleiphilaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               70     924      60     920      39     921    1437    +    7.2e-175  579.0  20.8  -
Thermolithobacteraceae    -          LKAP-TSAKG2_H07_049_2018_2 -               94     972      65     920      44     921    1546    +    7.4e-175  578.7  20.7  -
Mesoaciditogaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               41     941      26     920      15     921    1522    +    2.8e-174  577.1  21.3  -
Petrotogaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               48     922      26     920      13     921    1488    +    2.9e-174  577.3  21.7  -
Oscillatoriales           -          LKAP-TSAKG2_H07_049_2018_2 -               33     874      26     920      11     921    1445    +    6.6e-174  576.0  20.5  -
Sphingobacteriaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               32     917      25     920      11     921    1450    +    8.8e-174  575.4  20.7  -
Persicobacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               33     917      26     920      12     921    1448    +    2.2e-173  574.2  21.6  -
Glycomycetaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               36     923      23     921      11     921    1495    +    2.8e-173  573.9  21.4  -
Beutenbergiaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               19     908      14     921      11     921    1472    +    3.1e-173  573.6  21.2  -
Ruaniaceae                -          LKAP-TSAKG2_H07_049_2018_2 -               53     940      23     921      12     921    1531    +    3.3e-173  573.3  21.3  -
Cytophagales              -          LKAP-TSAKG2_H07_049_2018_2 -               29     916      23     920      12     921    1444    +    3.4e-173  573.5  20.7  -
Bifidobacteriaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               43     924      23     920      11     921    1469    +    4.2e-173  573.2  21.6  -
Corynebacteriaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               29     911      24     921      11     921    1459    +    6.8e-173  572.3  22.0  -
Micrococcales             -          LKAP-TSAKG2_H07_049_2018_2 -               30     905      24     920      12     921    1475    +    8.3e-173  572.3  22.1  -
Thermotogaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               86     945      65     919      43     921    1545    +    1.3e-172  571.7  22.0  -
Lewinellaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               41     915      42     920      21     921    1446    +    1.4e-172  571.5  20.9  -
Jonesiaceae               -          LKAP-TSAKG2_H07_049_2018_2 -               46     945      20     921      10     921    1514    +    1.4e-172  571.5  21.4  -
Cryomorphaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               39     926      26     920      15     921    1454    +    1.5e-172  571.5  20.8  -
Sporomusaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               52     957      26     920      13     921    1535    +    2.9e-172  570.1  21.0  -
Iamiaceae                 -          LKAP-TSAKG2_H07_049_2018_2 -               74     909      66     918      45     921    1480    +    3.8e-172  570.3  21.0  -
Corynebacterineae         -          LKAP-TSAKG2_H07_049_2018_2 -               30     903      24     921      12     921    1473    +    5.7e-172  569.5  21.8  -
Algiphilaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               39     940      14     920       7     921    1501    +    8.5e-172  568.6  20.8  -
Thermomonosporaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               53     901      58     918      32     921    1464    +      1e-171  568.6  21.5  -
Kosmotogaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               37     924      23     920      12     921    1488    +    1.4e-171  568.4  21.7  -
Acidaminococcaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               40     946      26     920      13     921    1504    +    2.5e-171  566.9  20.7  -
Desulfurobacteriaceae     -          LKAP-TSAKG2_H07_049_2018_2 -               33     950      26     920      13     921    1497    +    2.7e-171  567.5  21.5  -
Chroococcales             -          LKAP-TSAKG2_H07_049_2018_2 -               67     888      64     920      36     921    1445    +    3.2e-171  566.8  20.5  -
Peptoniphilaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               62     888      67     920      47     921    1437    +    4.8e-171  566.6  20.8  -
Cryptosporangiaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               62     899      65     919      44     921    1470    +    1.7e-170  564.6  21.6  -
Chrysiogenaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               62     925      54     920      34     921    1513    +      2e-170  564.3  21.7  -
Crocinitomicaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               31     924      24     920      12     921    1466    +    2.1e-170  564.1  20.8  -
Entomoplasmataceae        -          LKAP-TSAKG2_H07_049_2018_2 -               40     922      26     920      12     921    1497    +    4.8e-170  563.2  20.8  -
Rubritaleaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               40     928      26     920      14     921    1459    +      5e-170  562.9  20.8  -
Thermodesulfobacteriaceae -          LKAP-TSAKG2_H07_049_2018_2 -               67     936      69     920      48     921    1497    +    1.4e-169  561.7  20.3  -
Rarobacteraceae           -          LKAP-TSAKG2_H07_049_2018_2 -               20     893      25     920      12     921    1464    +    1.5e-169  561.3  22.0  -
Symbiobacteriaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               20     933      21     920      10     921    1468    +    1.6e-169  561.6  21.3  -
Mariprofundaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               85     942      64     920      42     921    1528    +    1.7e-169  561.0  20.6  -
Lysobacteriales           -          LKAP-TSAKG2_H07_049_2018_2 -               61     951      26     920      11     921    1508    +      3e-169  560.5  21.6  -
Sporichthyaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               29     902      23     920      11     921    1472    +    1.6e-168  558.1  21.5  -
Prolixibacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               30     916      24     920      10     921    1444    +    1.9e-168  557.7  21.2  -
Cyclobacteriaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               32     918      25     920      12     921    1447    +      2e-168  557.8  21.7  -
Streptosporangiaceae      -          LKAP-TSAKG2_H07_049_2018_2 -               62     897      65     918      44     921    1464    +    9.1e-168  555.3  21.4  -
Tsukamurellaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               52     923      26     921      11     921    1495    +    1.5e-167  554.8  21.4  -
Oscillospiraceae          -          LKAP-TSAKG2_H07_049_2018_2 -               27     918      21     920       8     921    1453    +    2.8e-167  553.5  21.5  -
Actinospicaceae           -          LKAP-TSAKG2_H07_049_2018_2 -                8     879      24     919      17     921    1425    +      7e-167  552.5  22.0  -
Frankiales                -          LKAP-TSAKG2_H07_049_2018_2 -               65     910      59     920      28     921    1425    +    1.1e-166  552.0  22.0  -
Hydrogenothermaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               33     889      26     912      16     920    1447    +    1.8e-166  551.4  20.5  -
Mycobacteriaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               36     913      25     921      12     921    1471    +    2.2e-166  550.8  21.7  -
Aquificaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               53     927      55     912      34     920    1485    +    8.4e-166  549.2  20.6  -
Fibrobacteraceae          -          LKAP-TSAKG2_H07_049_2018_2 -               49     900      61     920      40     921    1412    +    1.5e-165  548.5  21.5  -
Opitutaceae               -          LKAP-TSAKG2_H07_049_2018_2 -               33     945      26     920      17     921    1482    +    3.2e-165  547.1  21.6  -
Stigonematales            -          LKAP-TSAKG2_H07_049_2018_2 -               52     896      25     920      10     921    1450    +    3.5e-165  547.1  20.1  -
Dietziaceae               -          LKAP-TSAKG2_H07_049_2018_2 -               24     893      26     921      11     921    1452    +      5e-165  546.4  22.3  -
Chlorobiaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               66     928      53     920      32     921    1455    +    5.8e-165  546.2  21.1  -
Microscillaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               46     903      57     920      36     921    1461    +    1.3e-164  545.0  20.4  -
Coriobacteriaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               46     907      26     920      18     921    1462    +      3e-164  544.3  21.6  -
Jiangellaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               67     910      64     921      38     921    1497    +    7.8e-164  542.4  20.8  -
Rubricoccaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               35     927      24     921      13     921    1452    +    4.3e-163  540.0  20.8  -
Rhodothalassiaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               37     864      53     920      33     921    1318    +    4.4e-163  540.1  21.0  -
Marinilabiliaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               30     919      24     920      13     921    1447    +    5.4e-163  539.4  21.6  -
Phormidiaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               51     895      25     920      12     921    1483    +    7.4e-163  539.5  21.1  -
Prevotellaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               34     928      26     920      13     921    1464    +    8.9e-163  538.8  21.2  -
Thermosporotrichaceae     -          LKAP-TSAKG2_H07_049_2018_2 -                6     828      65     919      60     921    1317    +      1e-162  539.0  22.2  -
Temperatibacteraceae      -          LKAP-TSAKG2_H07_049_2018_2 -               34     848      66     920      45     921    1362    +    1.1e-162  538.5  20.0  -
Actinomycetales           -          LKAP-TSAKG2_H07_049_2018_2 -               69     941      53     921      32     921    1535    +    1.3e-162  538.4  21.9  -
Nocardiopsaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               47     914      52     918      30     921    1475    +    1.7e-161  534.8  21.4  -
Streptosporangineae       -          LKAP-TSAKG2_H07_049_2018_2 -               27     873      54     918      32     921    1443    +      2e-161  534.4  21.8  -
Segniliparaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               60     905      60     921      33     921    1462    +    3.4e-161  533.8  22.0  -
Fervidobacteriaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               91     953      65     920      45     921    1514    +      5e-161  533.2  21.7  -
Nostocales                -          LKAP-TSAKG2_H07_049_2018_2 -               29     872      23     920      10     921    1457    +    5.2e-161  533.2  20.4  -
Fervidobacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               74     891      66     920      42     921    1480    +    1.1e-159  528.8  22.2  -
Dictyoglomaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               95     942      64     914      44     921    1541    +    1.4e-159  528.3  21.4  -
Gemmatimonadaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               81     928      69     920      52     921    1525    +    5.6e-159  526.4  20.6  -
Actinopolysporaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               33     923      25     921      10     921    1480    +      9e-159  525.6  22.0  -
Parachlamydiaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               73     943      67     920      47     921    1529    +    1.7e-158  524.8  21.0  -
Kofleriaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               56     957      41     920      21     921    1498    +    8.9e-158  522.5  21.1  -
Emcibacteraceae           -          LKAP-TSAKG2_H07_049_2018_2 -               53     900      26     920      10     921    1460    +    1.1e-157  522.3  20.5  -
Deinococcaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               31     901      23     920      11     921    1455    +    1.5e-157  521.6  20.4  -
Pseudobacteriovoracaceae  -          LKAP-TSAKG2_H07_049_2018_2 -               10     895      39     920      25     921    1466    +    2.7e-156  517.4  21.2  -
Prochlorococcaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               57     877      63     920      43     921    1465    +    4.8e-156  516.7  21.0  -
Magnetococcaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               39     906      14     920       7     921    1497    +    2.9e-155  514.1  21.3  -
Roseiarcaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               61     886      55     920      34     921    1399    +    1.9e-154  511.4  20.7  -
Sandaracinaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               23     927      27     920      13     921    1506    +    2.7e-154  510.9  20.9  -
Chlamydiaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               56     959      26     920      14     921    1548    +    2.7e-153  507.4  20.9  -
Bradymonadaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               38     917      39     920      18     921    1461    +    4.7e-153  506.5  21.0  -
Syntrophorhabdaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               33     940      38     920      19     921    1482    +    9.2e-153  505.8  21.4  -
Blastocatellaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               90     926      67     920      46     921    1485    +    1.5e-152  504.9  20.8  -
Rhodospirillales          -          LKAP-TSAKG2_H07_049_2018_2 -               27     860      50     920      30     921    1413    +    7.4e-152  503.1  21.2  -
Marinifilaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               33     920      26     920      15     921    1450    +    1.3e-151  501.9  21.1  -
Iodidimonadaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               47     891      51     920      31     921    1437    +    2.1e-151  501.3  20.8  -
Sphaerobacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               53     918      26     919      13     921    1531    +    2.4e-151  501.1  21.5  -
Thermogemmatisporaceae    -          LKAP-TSAKG2_H07_049_2018_2 -               52     909      61     919      33     921    1443    +      2e-150  498.1  22.1  -
Gemmataceae               -          LKAP-TSAKG2_H07_049_2018_2 -               78     899      66     920      46     921    1427    +    2.1e-150  498.0  20.0  -
Bacteroidales             -          LKAP-TSAKG2_H07_049_2018_2 -               55     940      26     920      15     921    1485    +    7.9e-150  495.8  20.8  -
Hydrogenimonaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               86     919      66     920      46     921    1422    +    1.5e-149  495.2  20.5  -
Vulgatibacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               59     938      62     920      40     921    1479    +    8.7e-149  492.7  20.8  -
Odoribacteraceae          -          LKAP-TSAKG2_H07_049_2018_2 -               48     939      22     920      10     921    1486    +      2e-148  491.3  21.6  -
Thermomicrobiaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               16     878      52     919      31     921    1273    +    2.7e-148  491.6  22.0  -
Oligoflexaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               63     919      65     920      41     921    1458    +      3e-148  490.9  21.1  -
Micropepsaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               70     889      64     920      44     921    1455    +    1.3e-146  485.4  20.2  -
Anaeromyxobacteraceae     -          LKAP-TSAKG2_H07_049_2018_2 -               55     959      40     920      20     921    1549    +    1.4e-146  485.3  21.3  -
Melioribacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               92     945      67     920      46     921    1539    +      4e-146  483.7  20.6  -
Labilitrichaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               37     939      38     920      18     921    1483    +    1.2e-145  482.1  21.1  -
Phaselicystidaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               82     954      67     920      45     921    1539    +    3.5e-145  480.8  20.5  -
Egicoccaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               67     925      52     920      30     921    1512    +    9.6e-145  479.2  21.6  -
Acidothermaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               78     919      64     920      40     921    1509    +    4.1e-144  477.3  20.8  -
Lentisphaeraceae          -          LKAP-TSAKG2_H07_049_2018_2 -               52     909      42     920      22     921    1465    +    6.7e-144  476.6  21.2  -
Haloplasmataceae          -          LKAP-TSAKG2_H07_049_2018_2 -               44     913      54     920      34     921    1345    +    7.3e-144  476.5  21.3  -
Acanthopleuribacteraceae  -          LKAP-TSAKG2_H07_049_2018_2 -               31     915      60     920      40     921    1453    +    5.6e-143  473.4  21.1  -
Christensenellaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               92     931      63     920      43     921    1497    +      2e-142  471.5  20.7  -
Herpetosiphonaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               62     901      53     919      32     921    1475    +    1.4e-141  468.6  21.1  -
Gracilibacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -              202    1037      67     920      47     921    1549    +    3.1e-141  467.5  20.2  -
Acidimicrobiales          -          LKAP-TSAKG2_H07_049_2018_2 -               73     913      63     920      43     921    1483    +    3.6e-141  467.7  21.4  -
Chloroflexaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               79     900      65     919      29     921    1473    +    4.8e-141  467.3  21.8  -
Euzebyaceae               -          LKAP-TSAKG2_H07_049_2018_2 -               59     906      58     920      37     921    1476    +    1.7e-140  465.3  21.9  -
Caldisericaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               77     937      67     918      46     921    1481    +    2.9e-140  464.3  20.2  -
Nitriliruptoraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               69     914      60     920      36     921    1425    +    8.9e-140  462.8  20.9  -
Halanaerobiales           -          LKAP-TSAKG2_H07_049_2018_2 -               89     957      66     920      44     921    1500    +    2.5e-139  461.3  20.9  -
Akkermansiaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               33     900      26     920      18     921    1441    +    5.7e-139  460.3  21.3  -
Elusimicrobiaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               53     890      65     920      45     921    1395    +    6.2e-139  459.9  20.6  -
Aquificales               -          LKAP-TSAKG2_H07_049_2018_2 -               24     940      27     920      13     921    1450    +    2.2e-138  458.4  21.2  -
Ignavibacteriaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               65     920      64     920      41     921    1461    +    1.2e-137  455.7  20.4  -
Gaiellaceae               -          LKAP-TSAKG2_H07_049_2018_2 -               77     950      55     920      31     921    1544    +    2.6e-137  454.5  21.0  -
Fimbriimonadaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               63     897      67     920      46     921    1443    +    6.5e-136  450.0  20.2  -
Brachyspiraceae           -          LKAP-TSAKG2_H07_049_2018_2 -               60     889      67     920      46     921    1441    +    7.1e-136  449.8  20.2  -
Victivallaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               60     905      55     920      34     921    1456    +    1.4e-135  448.9  20.1  -
Egibacteraceae            -          LKAP-TSAKG2_H07_049_2018_2 -               74     927      58     920      34     921    1516    +    3.6e-135  447.7  22.0  -
Brevinemataceae           -          LKAP-TSAKG2_H07_049_2018_2 -               47     933      22     920       9     921    1490    +    3.8e-135  447.5  21.4  -
Schleiferiaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               52     937      26     920      11     921    1499    +    2.3e-134  445.1  20.9  -
Armatimonadaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               59     897      63     920      34     921    1438    +    2.7e-134  444.7  20.7  -
Isosphaeraceae            -          LKAP-TSAKG2_H07_049_2018_2 -               65     915      62     920      41     921    1475    +    3.3e-134  444.4  21.1  -
Catalimonadaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               11     903      17     920       8     921    1425    +    6.1e-134  443.5  20.9  -
Spirochaetales            -          LKAP-TSAKG2_H07_049_2018_2 -               25     913      19     920       8     921    1456    +    8.1e-134  443.0  21.0  -
Gloeomargaritaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               74     893      65     920      44     921    1482    +    4.5e-133  440.7  20.4  -
Thermoflexaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               14     907      21     919      12     921    1466    +    2.1e-132  438.8  21.5  -
Mooreiaceae               -          LKAP-TSAKG2_H07_049_2018_2 -               15     904      21     920       9     921    1424    +    7.4e-132  436.7  21.4  -
Ardenticatenia            -          LKAP-TSAKG2_H07_049_2018_2 -               63     926      55     919      35     921    1453    +    8.2e-132  436.6  21.8  -
Ktedonobacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               37     875      49     919      28     921    1386    +      1e-131  436.3  21.1  -
Verrucomicrobiales        -          LKAP-TSAKG2_H07_049_2018_2 -               37     914      63     920      42     921    1410    +    6.3e-131  433.9  20.9  -
Lentimicrobiaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               33     918      26     920       9     921    1446    +    1.1e-129  429.3  20.4  -
Thermonemataceae          -          LKAP-TSAKG2_H07_049_2018_2 -               24     913      26     920      12     921    1465    +    1.8e-129  428.9  20.3  -
Trueperaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               23     883      26     920      11     921    1461    +    1.8e-129  428.6  20.1  -
Blastocatellales          -          LKAP-TSAKG2_H07_049_2018_2 -               69     903      54     920      21     921    1488    +    4.8e-129  427.2  21.6  -
Xenococcaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               43     877      52     920      32     921    1418    +    5.9e-129  427.2  20.2  -
Mzabimycetaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               12     846      64     920      56     921    1357    +    1.6e-128  425.7  22.2  -
Soortiaceae               -          LKAP-TSAKG2_H07_049_2018_2 -               92     953      67     920      47     921    1516    +    5.4e-128  423.8  20.5  -
Spartobacteria            -          LKAP-TSAKG2_H07_049_2018_2 -               69     909      64     920      43     921    1418    +    1.8e-127  422.1  21.0  -
Prochlorotrichaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               33     859      57     920      36     921    1448    +    5.2e-127  420.5  20.2  -
