# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               18    1119      10    1091       2    1100    1474    +           0 1121.9  10.8  -
Cystobacteraceae          -          LKAP-GUTHK2_D08_058_2017_1 -               13    1117       5    1089       2    1098    1491    +    5.4e-190  629.3  11.0  -
Leuconostocaceae          -          LKAP-GUTHK2_D08_058_2017_1 -                9    1117       5    1085       2    1099    1479    +    9.1e-190  628.7  10.5  -
Cytophagaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               29    1092      18    1092       3    1099    1437    +    1.4e-189  628.1  10.7  -
Nakamurellaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               14    1076       6    1085       2    1095    1462    +    3.8e-189  626.6  11.5  -
Nocardioidaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               14    1080       6    1085       2    1096    1455    +    5.5e-189  626.2  11.6  -
Immundisolibacteraceae    -          LKAP-GUTHK2_D08_058_2017_1 -               56    1132      18    1085       3    1098    1555    +    6.5e-189  625.6  10.4  -
Geodermatophilaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               27    1092       6    1084       2    1095    1479    +    1.3e-188  624.9  11.6  -
Ventosimonadaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               46    1122      11    1077       2    1096    1489    +    1.5e-188  624.3  10.9  -
Balneolaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               21    1078      13    1070       2    1090    1459    +    4.4e-188  623.0  11.3  -
Sporolactobacillaceae     -          LKAP-GUTHK2_D08_058_2017_1 -               13    1118       5    1092       2    1099    1503    +    5.9e-188  622.6  10.7  -
Thermolithobacteraceae    -          LKAP-GUTHK2_D08_058_2017_1 -               33    1157       5    1085       2    1094    1546    +    9.7e-188  621.7  11.0  -
Micromonosporaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               28    1088       6    1082       2    1096    1482    +    1.1e-187  621.7  11.5  -
Corynebacterineae         -          LKAP-GUTHK2_D08_058_2017_1 -               14    1076       6    1085       2    1096    1473    +    1.2e-187  621.7  11.2  -
Caldilineaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               20    1073       5    1074       2    1094    1434    +    6.1e-187  619.3  12.3  -
Hymenobacteraceae         -          LKAP-GUTHK2_D08_058_2017_1 -               26    1089      17    1092       3    1099    1445    +    6.8e-187  619.2  11.0  -
Nitrospiraceae            -          LKAP-GUTHK2_D08_058_2017_1 -               19    1099       5    1086       2    1099    1479    +    1.3e-186  618.2  10.1  -
Chroococcales             -          LKAP-GUTHK2_D08_058_2017_1 -               26    1067       6    1088       1    1098    1445    +    1.3e-186  618.0  10.5  -
Tsukamurellaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               33    1095       6    1084       2    1095    1495    +    1.4e-186  618.1  11.4  -
Nannocystaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               27    1112       5    1086       2    1097    1487    +    1.5e-186  618.1  11.4  -
Kineosporiaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               22    1085       6    1085       2    1097    1463    +    1.7e-186  617.9  11.4  -
Acidobacteriaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               33    1083       5    1086       2    1099    1462    +    2.6e-186  617.2  10.4  -
Listeriaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               14    1099      18    1085       6    1098    1448    +    2.7e-186  617.3   9.9  -
Enterococcaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               14    1122       6    1086       2    1098    1498    +    2.7e-186  617.2  10.5  -
Desulfurellaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               19    1129       5    1081       2    1094    1529    +    3.5e-186  616.6  11.2  -
Solirubrobacteraceae      -          LKAP-GUTHK2_D08_058_2017_1 -               48    1073      61    1070      23    1090    1443    +    3.5e-186  616.6  11.3  -
Puniceicoccaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               23    1116       5    1085       1    1097    1485    +    4.4e-186  616.4  10.5  -
Sporomusaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               32    1140       5    1090       2    1099    1535    +    4.7e-186  616.1  11.1  -
Bernardetiaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               21    1098      13    1090       3    1099    1481    +    4.9e-186  616.3  10.4  -
Acidaminococcaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               20    1123       5    1086       2    1099    1504    +    6.3e-186  615.5  11.0  -
Mycobacteriaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               19    1086       6    1085       2    1096    1471    +    8.2e-186  615.5  11.5  -
Thermodesulfobiaceae      -          LKAP-GUTHK2_D08_058_2017_1 -               29    1104       5    1077       2    1095    1520    +    1.9e-185  614.4  11.5  -
Halobacteroidaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               21    1108       5    1085       2    1097    1478    +      2e-185  614.0  11.0  -
Cellulomonadaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               18    1084       6    1084       2    1096    1465    +    6.5e-185  612.7  11.2  -
Chrysiogenaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               33    1103       5    1085       2    1097    1513    +    2.8e-184  610.5  10.7  -
Dermacoccaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               11    1077       6    1084       2    1095    1456    +    4.1e-184  609.8  10.7  -
Frankiaceae               -          LKAP-GUTHK2_D08_058_2017_1 -               35    1090       6    1086       2    1100    1499    +    8.4e-184  609.1  11.4  -
Conexibacteraceae         -          LKAP-GUTHK2_D08_058_2017_1 -               34    1110       6    1070       2    1090    1536    +    1.3e-183  608.0  11.5  -
Natranaerobiaceae         -          LKAP-GUTHK2_D08_058_2017_1 -                4    1076      16    1085      13    1099    1429    +      2e-183  607.5   9.8  -
Thermomonosporaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               14    1074       6    1082       2    1096    1464    +    3.1e-183  607.0  11.2  -
Demequinaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               14    1080       6    1085       2    1096    1478    +    3.5e-183  606.8  10.9  -
Thermaceae                -          LKAP-GUTHK2_D08_058_2017_1 -               24    1088       6    1085       2    1098    1477    +    7.5e-183  605.9  11.5  -
Segniliparaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               17    1077       5    1084       2    1092    1462    +    1.6e-182  604.8  11.7  -
Parviterribacteraceae     -          LKAP-GUTHK2_D08_058_2017_1 -               67    1080      64    1074      23    1095    1456    +      2e-182  604.3  10.8  -
Algiphilaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               47    1117      18    1086       3    1099    1501    +    2.3e-182  603.8  10.7  -
Anaerolineaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               13    1068       5    1075       2    1091    1430    +    2.4e-182  604.6  11.6  -
Glycomycetaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               33    1095      17    1085       1    1099    1495    +      1e-181  602.1  11.4  -
Persicobacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               26    1091      17    1086       3    1098    1448    +    7.2e-181  599.2  10.6  -
Porphyromonadaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               31    1103      15    1082       6    1099    1473    +    1.1e-180  598.6  10.5  -
Promicromonosporaceae     -          LKAP-GUTHK2_D08_058_2017_1 -               13    1078       5    1084       2    1095    1462    +    1.5e-180  598.1  11.4  -
Peptoniphilaceae          -          LKAP-GUTHK2_D08_058_2017_1 -                3    1071      18    1091      16    1099    1437    +    1.9e-180  598.0  10.1  -
Jiangellaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               21    1082       7    1084       2    1096    1497    +      2e-180  597.6  11.2  -
Gallionellaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               43    1114      17    1082       3    1097    1385    +    4.8e-180  596.4  10.5  -
Bogoriellaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               14    1085       6    1085       2    1097    1470    +    6.2e-180  596.1  10.7  -
Lysobacteriales           -          LKAP-GUTHK2_D08_058_2017_1 -               41    1127       5    1085       2    1098    1508    +    1.1e-179  595.3  11.0  -
Caldicoprobacteraceae     -          LKAP-GUTHK2_D08_058_2017_1 -               28    1124       4    1085       2    1094    1530    +    1.8e-179  594.5  11.4  -
Prolixibacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               22    1098      14    1092       3    1099    1444    +    2.3e-179  594.1  10.6  -
Streptosporangiaceae      -          LKAP-GUTHK2_D08_058_2017_1 -               14    1072       6    1085       2    1098    1464    +    5.5e-179  592.8  11.2  -
Sterolibacteriaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               41    1123      17    1085       4    1096    1531    +    7.2e-179  592.5  10.6  -
Rikenellaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               28    1112      12    1092       3    1099    1456    +    8.2e-179  592.3  10.1  -
Dietziaceae               -          LKAP-GUTHK2_D08_058_2017_1 -                6    1066       7    1085       2    1096    1452    +    9.8e-179  592.1  11.4  -
Sanguibacteraceae         -          LKAP-GUTHK2_D08_058_2017_1 -               31    1097       6    1085       2    1095    1483    +    1.1e-178  591.9  10.9  -
Defluviitaleaceae         -          LKAP-GUTHK2_D08_058_2017_1 -                9    1063      10    1077       2    1095    1413    +    1.3e-178  591.7  10.3  -
Bifidobacteriaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               28    1096       6    1082       2    1095    1469    +    1.9e-178  591.2  11.4  -
Thermodesulfobacteriaceae -          LKAP-GUTHK2_D08_058_2017_1 -               12    1129       4    1085       2    1096    1497    +    4.2e-178  590.2  11.3  -
Frankiales                -          LKAP-GUTHK2_D08_058_2017_1 -               21    1090       6    1092       2    1100    1425    +    7.1e-178  589.4  11.6  -
Symbiobacteriaceae        -          LKAP-GUTHK2_D08_058_2017_1 -                8    1112       5    1083       1    1098    1468    +    7.7e-178  589.4  11.3  -
Gemmatimonadaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               80    1103      66    1083      55    1099    1525    +    2.2e-177  587.7  10.4  -
Cryptosporangiaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               14    1073       6    1085       2    1099    1470    +    2.2e-177  587.6  11.5  -
Dermatophilaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               19    1068       6    1072       2    1093    1480    +    3.6e-177  586.9  11.4  -
Leptotrichiaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               67    1099      40    1085      19    1096    1492    +    4.4e-177  586.5  10.0  -
Catenulisporaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               14    1061       6    1073       2    1093    1460    +    6.3e-177  586.1  11.5  -
Anaeroplasmataceae        -          LKAP-GUTHK2_D08_058_2017_1 -               40    1094       5    1084       1    1098    1453    +    6.9e-177  586.1  10.7  -
Betaproteobacteria        -          LKAP-GUTHK2_D08_058_2017_1 -                4    1080      14    1085      11    1099    1454    +    7.1e-177  585.9  10.3  -
Pyrinomonadaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               46    1133      17    1075       1    1093    1526    +    1.1e-176  585.1  11.4  -
Stigonematales            -          LKAP-GUTHK2_D08_058_2017_1 -               77    1072      64    1085      43    1097    1450    +    1.2e-176  585.3   9.6  -
Rubritaleaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               21    1087       6    1071       1    1091    1459    +      2e-176  584.4  11.0  -
Dermabacteraceae          -          LKAP-GUTHK2_D08_058_2017_1 -               23    1088       6    1084       2    1095    1470    +    2.7e-176  583.8  11.0  -
Planctomycetaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               33    1107      14    1091       1    1100    1486    +    3.4e-176  583.9  11.1  -
Rubricoccaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               25    1088      13    1075       2    1091    1452    +    1.4e-175  581.7  10.8  -
Opitutaceae               -          LKAP-GUTHK2_D08_058_2017_1 -               13    1129       5    1095       2    1099    1482    +    1.7e-175  581.3  10.8  -
Crocinitomicaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               26    1102      16    1090       3    1099    1466    +    2.4e-175  580.7   9.7  -
Iamiaceae                 -          LKAP-GUTHK2_D08_058_2017_1 -               14    1084       6    1085       2    1097    1480    +    3.8e-175  580.4  10.7  -
Desulfurobacteriaceae     -          LKAP-GUTHK2_D08_058_2017_1 -               15    1139       7    1085       2    1095    1497    +    4.1e-175  580.5  11.0  -
Nocardiopsaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               14    1091       6    1085       2    1094    1475    +    7.1e-175  579.4  11.5  -
Cryomorphaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               25    1099      11    1085       3    1098    1454    +    7.4e-175  579.3  10.3  -
Nostocales                -          LKAP-GUTHK2_D08_058_2017_1 -               27    1048      18    1085       4    1097    1457    +      1e-174  578.9   9.5  -
Actinomycetales           -          LKAP-GUTHK2_D08_058_2017_1 -               33    1119       5    1088       2    1100    1535    +    2.6e-174  577.4  11.7  -
Sphingobacteriaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               21    1094      13    1088       2    1097    1450    +    4.2e-174  576.7  10.1  -
Bryobacteraceae           -          LKAP-GUTHK2_D08_058_2017_1 -               32    1079       5    1083       2    1098    1417    +    4.7e-174  576.7  10.6  -
Chlamydiaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               38    1134       7    1085       1    1096    1548    +    7.2e-174  575.8  11.1  -
Jonesiaceae               -          LKAP-GUTHK2_D08_058_2017_1 -               34    1117       7    1085       1    1095    1514    +    8.2e-174  575.9  10.8  -
Lewinellaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               26    1096      17    1091       5    1097    1446    +    8.5e-174  575.8  10.9  -
Atopobacteriaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               17    1065       5    1072       2    1092    1442    +    1.4e-173  575.2  11.9  -
Chitinophagaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               25    1105      15    1092       3    1099    1458    +    1.9e-173  574.9  10.2  -
Micrococcales             -          LKAP-GUTHK2_D08_058_2017_1 -               14    1063       6    1072       2    1091    1475    +      3e-173  574.0  11.6  -
Phormidiaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               47    1071      18    1085       4    1096    1483    +      5e-173  573.5  10.5  -
Marinilabiliaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               22    1085      14    1081       4    1094    1447    +    8.2e-173  572.2  10.4  -
Mariprofundaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               33    1119       5    1086       2    1098    1528    +    1.1e-172  571.9  10.9  -
Deinococcaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               28    1083      17    1089       2    1099    1455    +    1.6e-172  571.5  11.1  -
Cyclobacteriaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               24    1100      16    1093       3    1100    1447    +    2.5e-172  570.9  10.7  -
Spiroplasmataceae         -          LKAP-GUTHK2_D08_058_2017_1 -               77    1116      63    1096      42    1100    1516    +    2.8e-172  571.0  10.5  -
Chlorobiaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               87    1104      68    1087      47    1099    1455    +    2.9e-172  570.7  10.4  -
Sporichthyaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               14    1074       6    1084       2    1092    1472    +    3.3e-172  570.6  11.5  -
Beutenbergiaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               15    1081       7    1084       2    1094    1472    +      4e-172  570.2  11.1  -
Ruaniaceae                -          LKAP-GUTHK2_D08_058_2017_1 -               38    1114       6    1085       2    1094    1531    +    4.7e-172  569.7  10.7  -
Actinopolysporaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               16    1097       7    1085       1    1098    1480    +    1.9e-171  567.9  11.0  -
Oscillospiraceae          -          LKAP-GUTHK2_D08_058_2017_1 -               14    1099       6    1087       2    1095    1453    +      3e-171  566.9  10.5  -
Haliscomenobacteraceae    -          LKAP-GUTHK2_D08_058_2017_1 -               46    1112      17    1085       5    1095    1485    +    3.6e-171  567.5  10.8  -
Petrotogaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               28    1108       5    1086       2    1097    1488    +    6.9e-171  566.4  11.1  -
Cytophagales              -          LKAP-GUTHK2_D08_058_2017_1 -               26    1097      17    1092       4    1100    1444    +    9.2e-171  565.7  10.8  -
Iodidimonadaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               59    1078      61    1092      25    1099    1437    +    9.9e-171  565.5   9.5  -
Streptosporangineae       -          LKAP-GUTHK2_D08_058_2017_1 -                4    1047      17    1083      14    1097    1443    +    1.2e-170  565.2  10.7  -
Eggerthellaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               20    1073       5    1082       2    1096    1449    +    1.8e-170  564.8  11.3  -
Dehalococcoidaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               14    1061       6    1073       2    1090    1437    +    6.6e-170  563.3  11.4  -
Parachlamydiaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               72    1118      64    1085      43    1095    1529    +    1.9e-169  561.4  10.7  -
Prochlorococcaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               61    1053      65    1085      43    1097    1465    +    4.3e-169  560.2  10.1  -
Acholeplasmataceae        -          LKAP-GUTHK2_D08_058_2017_1 -                6    1076       6    1083       2    1098    1437    +    4.9e-169  559.8  11.2  -
Rarobacteraceae           -          LKAP-GUTHK2_D08_058_2017_1 -                3    1064       6    1083       4    1093    1464    +      4e-168  556.8  10.9  -
Mesoaciditogaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               21    1123       5    1086       2    1099    1522    +    6.7e-168  556.2  10.9  -
Kofleriaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               33    1133       9    1084       2    1097    1498    +    2.6e-167  554.3  11.4  -
Actinospicaceae           -          LKAP-GUTHK2_D08_058_2017_1 -                9    1044      22    1077      15    1093    1425    +    3.4e-167  553.8  11.0  -
Magnetococcaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               37    1084       9    1085       2    1098    1497    +      9e-167  552.5  10.6  -
Saprospiraceae            -          LKAP-GUTHK2_D08_058_2017_1 -               37    1104      17    1086       4    1096    1430    +    1.7e-166  551.9  10.7  -
Bacteroidales             -          LKAP-GUTHK2_D08_058_2017_1 -               44    1104      14    1077       6    1096    1485    +    7.5e-166  549.1   9.9  -
Pseudobacteriovoracaceae  -          LKAP-GUTHK2_D08_058_2017_1 -               34    1070      61    1084      40    1100    1466    +    2.1e-165  547.8  10.6  -
Marinifilaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               21    1092      13    1082       4    1095    1450    +      4e-165  546.9   9.7  -
Thermosporotrichaceae     -          LKAP-GUTHK2_D08_058_2017_1 -                7     989      64    1072      56    1089    1317    +    3.1e-164  544.3  11.5  -
Prevotellaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               25    1104      16    1086       8    1099    1464    +    9.2e-164  542.3  10.0  -
Fibrobacteraceae          -          LKAP-GUTHK2_D08_058_2017_1 -               11    1064       4    1071       2    1088    1412    +    1.6e-163  542.0  12.3  -
Microscillaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               53    1078      62    1086      39    1098    1461    +    4.5e-162  536.8  10.1  -
Aquificaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               13    1120       5    1086       2    1095    1485    +    8.7e-162  536.1  11.3  -
Entomoplasmataceae        -          LKAP-GUTHK2_D08_058_2017_1 -               34    1093      18    1087       3    1100    1497    +    3.7e-161  534.0  10.7  -
Rhodothalassiaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               48    1042      61    1085      38    1097    1318    +    4.9e-161  533.6   9.9  -
Rhodospirillales          -          LKAP-GUTHK2_D08_058_2017_1 -               41    1035      62    1082      40    1096    1413    +    1.5e-160  532.2  10.3  -
Hydrogenothermaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               13    1074       5    1078       2    1092    1447    +    5.9e-160  530.1  10.4  -
Roseiarcaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               70    1066      62    1087      40    1099    1399    +    2.7e-159  527.6  10.0  -
Temperatibacteraceae      -          LKAP-GUTHK2_D08_058_2017_1 -               33    1028      63    1085      34    1099    1362    +    1.3e-158  525.3   9.7  -
Sphaerobacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               34    1082       6    1072       1    1092    1531    +    1.9e-158  524.9  12.0  -
Coriobacteriaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               26    1062       5    1070       2    1090    1462    +    8.6e-158  523.2  12.1  -
Sandaracinaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               54    1111      65    1091      44    1099    1506    +    4.1e-157  520.5  10.6  -
Thermotogaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               30    1134       4    1085       2    1097    1545    +    4.3e-157  520.4  11.3  -
Bradymonadaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               69    1101      65    1091      44    1099    1461    +    5.6e-157  519.8  10.4  -
Lentisphaeraceae          -          LKAP-GUTHK2_D08_058_2017_1 -               64    1072      52    1075      26    1091    1465    +    1.5e-156  518.8  10.5  -
Blastocatellaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               35    1101       7    1082       1    1096    1485    +    2.5e-156  517.7  11.0  -
Emcibacteraceae           -          LKAP-GUTHK2_D08_058_2017_1 -               37    1083       9    1088       2    1099    1460    +    7.5e-156  516.4  10.2  -
Dictyoglomaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               35    1143       5    1085       2    1094    1541    +      1e-155  515.8  11.0  -
Odoribacteraceae          -          LKAP-GUTHK2_D08_058_2017_1 -               42    1114      14    1085       4    1099    1486    +    2.4e-155  514.5  10.3  -
Kosmotogaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               35    1106      18    1085       2    1097    1488    +    2.7e-154  511.4  11.0  -
Phaselicystidaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               32    1132       5    1085       2    1097    1539    +    4.7e-154  510.4  11.1  -
Anaeromyxobacteraceae     -          LKAP-GUTHK2_D08_058_2017_1 -               33    1138       5    1086       2    1099    1549    +    7.5e-153  506.4  11.3  -
Gaiellaceae               -          LKAP-GUTHK2_D08_058_2017_1 -               33    1131       5    1091       1    1100    1544    +    9.1e-153  505.9  11.4  -
Labilitrichaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               14    1115       6    1083       2    1099    1483    +    2.3e-152  504.6  11.1  -
Hydrogenimonaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               22    1099      13    1085       1    1097    1422    +      3e-152  504.4  10.5  -
Thermomicrobiaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               26    1044      60    1072      43    1092    1273    +    3.4e-152  504.8  11.6  -
Oligoflexaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               15    1094       7    1084       2    1099    1458    +    1.3e-151  502.3  11.3  -
Akkermansiaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               13    1059       5    1071       2    1091    1441    +    1.3e-151  502.5  11.1  -
Vulgatibacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               59    1117      60    1086      32    1099    1479    +    1.8e-151  501.8  10.5  -
Egibacteraceae            -          LKAP-GUTHK2_D08_058_2017_1 -               33    1107       5    1092       2    1100    1516    +    2.1e-150  498.4  11.4  -
Egicoccaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               41    1099      13    1086       2    1097    1512    +    8.2e-150  496.3  11.1  -
Gemmataceae               -          LKAP-GUTHK2_D08_058_2017_1 -               79    1097      65    1086      45    1098    1427    +    1.3e-149  495.6   9.9  -
Nitriliruptoraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               50    1095      39    1093      17    1100    1425    +    2.5e-149  494.6  10.5  -
Acidothermaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               31    1078       6    1073       2    1093    1509    +    8.8e-149  493.0  11.6  -
Acanthopleuribacteraceae  -          LKAP-GUTHK2_D08_058_2017_1 -               30    1091      57    1084      37    1098    1453    +    9.4e-149  492.8  10.6  -
Fervidobacteriaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               21    1140       5    1085       2    1096    1514    +    1.1e-148  492.5  11.1  -
Christensenellaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               88    1104      57    1084      34    1096    1497    +    1.6e-148  491.9  10.4  -
Gracilibacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -              180    1211      44    1085      23    1097    1549    +    3.2e-148  490.9  10.5  -
Micropepsaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               72    1065      64    1085      42    1097    1455    +    6.2e-148  490.0  10.1  -
Euzebyaceae               -          LKAP-GUTHK2_D08_058_2017_1 -               14    1086       6    1092       1    1100    1476    +    7.3e-148  489.9  11.6  -
Syntrophorhabdaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               13    1121       5    1086       2    1098    1482    +    8.5e-148  489.6  11.1  -
Halanaerobiales           -          LKAP-GUTHK2_D08_058_2017_1 -               19    1136       7    1085       2    1099    1500    +    9.8e-148  489.3  10.8  -
Chloroflexaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               35    1059       7    1071       2    1090    1473    +    6.5e-146  483.7  11.2  -
Isosphaeraceae            -          LKAP-GUTHK2_D08_058_2017_1 -               67    1079      62    1070      40    1090    1475    +    1.8e-145  482.0  11.0  -
Longimicrobiaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               13    1051      61    1076      49    1095    1413    +    2.8e-145  481.4  11.0  -
Gloeomargaritaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               71    1069      60    1085      39    1098    1482    +    1.1e-144  479.4   9.4  -
Acidimicrobiales          -          LKAP-GUTHK2_D08_058_2017_1 -               71    1085      59    1084      32    1097    1483    +    6.2e-144  477.0  10.5  -
Melioribacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               37    1126       7    1091       2    1099    1539    +    1.8e-143  475.2  11.0  -
Haloplasmataceae          -          LKAP-GUTHK2_D08_058_2017_1 -               15    1087       6    1083       2    1100    1345    +    2.8e-143  474.8  10.9  -
Fervidobacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               14    1076       5    1085       2    1096    1480    +    3.5e-143  474.4  11.1  -
Thermogemmatisporaceae    -          LKAP-GUTHK2_D08_058_2017_1 -               61    1083      64    1082      44    1093    1443    +      7e-143  473.4  11.9  -
Victivallaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               71    1082      63    1088      43    1099    1456    +      1e-141  469.4  10.2  -
Ignavibacteriaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               68    1102      65    1092      44    1099    1461    +    4.2e-141  467.4  10.6  -
Xenococcaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               56    1053      63    1085      32    1098    1418    +    5.6e-141  467.3   9.9  -
Brachyspiraceae           -          LKAP-GUTHK2_D08_058_2017_1 -               15    1074      14    1093       2    1100    1441    +    5.8e-141  466.9  10.7  -
Mooreiaceae               -          LKAP-GUTHK2_D08_058_2017_1 -                5    1077       8    1084       4    1096    1424    +    6.6e-141  466.9  11.4  -
Herpetosiphonaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               34    1060       6    1071       2    1091    1475    +    3.3e-140  464.4  10.8  -
Ardenticatenia            -          LKAP-GUTHK2_D08_058_2017_1 -               13    1096       5    1078       2    1095    1453    +    6.5e-140  463.7  11.6  -
Caldisericaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               14    1127       6    1084       1    1096    1481    +    1.6e-139  462.0  11.0  -
Prochlorotrichaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               43    1036      65    1086      44    1098    1448    +    3.7e-139  460.9   9.9  -
Trueperaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               17    1050      18    1076       4    1096    1461    +      1e-137  456.2  10.0  -
