# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_B12_094   -               11     934       4     922       1     922    1474    +           0 1128.6  27.0  -
Ventosimonadaceae         -          LKAP-GutHK_B12_094   -               86     951      60     922      37     922    1489    +    5.6e-186  615.6  25.1  -
Desulfurellaceae          -          LKAP-GutHK_B12_094   -               67     943      65     922      43     922    1529    +    1.4e-185  614.3  25.0  -
Thermomonosporaceae       -          LKAP-GutHK_B12_094   -               27     900      16     922       1     922    1464    +    2.2e-185  613.9  26.5  -
Jiangellaceae             -          LKAP-GutHK_B12_094   -               33     906      16     922       1     922    1497    +    2.7e-185  613.5  26.4  -
Caldilineaceae            -          LKAP-GutHK_B12_094   -               34     904      16     921       1     922    1434    +    3.5e-185  613.2  27.3  -
Frankiaceae               -          LKAP-GutHK_B12_094   -               72     913      64     922      33     922    1499    +    4.2e-185  613.1  25.6  -
Chrysiogenaceae           -          LKAP-GutHK_B12_094   -               77     922      73     922      50     922    1513    +    4.6e-185  612.9  24.4  -
Cellulomonadaceae         -          LKAP-GutHK_B12_094   -               74     909      71     922      26     922    1465    +      5e-185  612.8  25.0  -
Hymenobacteraceae         -          LKAP-GutHK_B12_094   -               15     905       8     922       1     922    1445    +      7e-185  612.3  25.6  -
Peptoniphilaceae          -          LKAP-GutHK_B12_094   -                3     885      16     922      14     922    1437    +    9.1e-185  612.1  26.1  -
Anaerolineaceae           -          LKAP-GutHK_B12_094   -               28     899      17     921       1     922    1430    +    1.3e-184  611.8  26.6  -
Demequinaceae             -          LKAP-GutHK_B12_094   -               70     904      71     922      48     922    1478    +    1.8e-184  610.8  24.8  -
Caldicoprobacteraceae     -          LKAP-GutHK_B12_094   -               91     933      68     922      36     922    1530    +    4.6e-184  609.4  25.3  -
Dermacoccaceae            -          LKAP-GutHK_B12_094   -               67     902      71     922      49     922    1456    +    5.7e-184  609.1  25.1  -
Algiphilaceae             -          LKAP-GutHK_B12_094   -               48     936      17     921       1     922    1501    +      1e-183  608.0  26.2  -
Symbiobacteriaceae        -          LKAP-GutHK_B12_094   -                6     930       4     922       1     922    1468    +    1.7e-183  607.9  26.7  -
Segniliparaceae           -          LKAP-GutHK_B12_094   -               32     901      17     922       1     922    1462    +      2e-183  607.5  26.4  -
Planctomycetaceae         -          LKAP-GutHK_B12_094   -               37     918      16     922       4     922    1486    +    7.5e-183  605.7  25.6  -
Acidobacteriaceae         -          LKAP-GutHK_B12_094   -               81     902      65     922      43     922    1462    +    1.1e-182  604.8  24.5  -
Thermodesulfobacteriaceae -          LKAP-GutHK_B12_094   -               27     932      16     921       1     922    1497    +    1.6e-182  604.6  25.7  -
Cryptosporangiaceae       -          LKAP-GutHK_B12_094   -               27     897      16     922       1     922    1470    +    4.8e-182  602.8  26.5  -
Bernardetiaceae           -          LKAP-GutHK_B12_094   -               27     916      16     922       1     922    1481    +    9.4e-182  601.8  25.2  -
Promicromonosporaceae     -          LKAP-GutHK_B12_094   -               68     901      71     922      33     922    1462    +    1.1e-181  601.6  25.0  -
Streptosporangiaceae      -          LKAP-GutHK_B12_094   -               27     896      16     922       1     922    1464    +    1.6e-181  601.0  26.4  -
Stigonematales            -          LKAP-GutHK_B12_094   -               76     893      69     922      48     922    1450    +    2.7e-181  600.5  23.8  -
Rubricoccaceae            -          LKAP-GutHK_B12_094   -               17     923       5     922       1     922    1452    +    3.7e-181  599.9  25.8  -
Dietziaceae               -          LKAP-GutHK_B12_094   -               19     889      17     922       3     922    1452    +    4.5e-181  599.6  26.6  -
Bogoriellaceae            -          LKAP-GutHK_B12_094   -               70     909      71     922      50     922    1470    +    1.5e-180  597.8  24.7  -
Glycomycetaceae           -          LKAP-GutHK_B12_094   -               32     919      14     922       1     922    1495    +    3.1e-180  597.0  26.6  -
Dermatophilaceae          -          LKAP-GutHK_B12_094   -               42     907      30     922       7     922    1480    +    6.3e-180  595.8  25.5  -
Spiroplasmataceae         -          LKAP-GutHK_B12_094   -               74     931      66     922      45     922    1516    +      1e-179  595.4  24.9  -
Sanguibacteraceae         -          LKAP-GutHK_B12_094   -               87     921      71     922      50     922    1483    +    1.1e-179  594.9  24.9  -
Catenulisporaceae         -          LKAP-GutHK_B12_094   -               28     899      17     922       1     922    1460    +    1.8e-179  594.3  26.2  -
Porphyromonadaceae        -          LKAP-GutHK_B12_094   -               35     928      16     922       5     922    1473    +    2.4e-179  593.9  25.5  -
Opitutaceae               -          LKAP-GutHK_B12_094   -               74     942      69     922      47     922    1482    +    2.9e-179  593.6  24.5  -
Defluviitaleaceae         -          LKAP-GutHK_B12_094   -               12     893      11     922       2     922    1413    +    7.3e-179  592.4  25.3  -
Leptotrichiaceae          -          LKAP-GutHK_B12_094   -               93     920      74     922      54     922    1492    +    7.5e-179  592.1  24.3  -
Gemmatimonadaceae         -          LKAP-GutHK_B12_094   -               80     925      72     922      51     922    1525    +    9.2e-179  592.0  24.7  -
Desulfurobacteriaceae     -          LKAP-GutHK_B12_094   -               54     947      44     922      23     922    1497    +    1.1e-178  592.1  25.5  -
Iamiaceae                 -          LKAP-GutHK_B12_094   -               33     908      26     922       5     922    1480    +    2.8e-178  590.6  25.5  -
Actinomycetales           -          LKAP-GutHK_B12_094   -               47     937      16     922       1     922    1535    +    3.9e-178  589.8  27.0  -
Dermabacteraceae          -          LKAP-GutHK_B12_094   -               79     913      71     922      50     922    1470    +    5.4e-178  589.2  25.1  -
Nostocales                -          LKAP-GutHK_B12_094   -               54     869      69     922      49     922    1457    +    7.9e-178  589.0  23.8  -
Rubritaleaceae            -          LKAP-GutHK_B12_094   -               79     925      71     922      50     922    1459    +    1.8e-177  587.6  24.0  -
Bryobacteraceae           -          LKAP-GutHK_B12_094   -               73     900      58     922      35     922    1417    +    1.9e-177  587.6  25.1  -
Pyrinomonadaceae          -          LKAP-GutHK_B12_094   -               53     961      26     922       3     922    1526    +    3.9e-177  586.4  26.2  -
Sporichthyaceae           -          LKAP-GutHK_B12_094   -               27     899      16     922       1     922    1472    +    9.7e-177  585.4  26.5  -
Frankiales                -          LKAP-GutHK_B12_094   -               34     907      16     922       1     922    1425    +    1.1e-176  585.2  26.8  -
Sterolibacteriaceae       -          LKAP-GutHK_B12_094   -               77     940      59     920      30     922    1531    +    6.7e-176  582.4  25.5  -
Anaeroplasmataceae        -          LKAP-GutHK_B12_094   -               85     920      72     922      52     922    1453    +    1.1e-175  581.8  24.6  -
Persicobacteraceae        -          LKAP-GutHK_B12_094   -               64     914      65     922      40     922    1448    +    1.2e-175  581.7  24.7  -
Atopobacteriaceae         -          LKAP-GutHK_B12_094   -               32     905      21     922       1     922    1442    +    1.3e-175  581.7  26.4  -
Beutenbergiaceae          -          LKAP-GutHK_B12_094   -               67     904      70     922      48     922    1472    +    1.6e-175  581.2  24.8  -
Actinopolysporaceae       -          LKAP-GutHK_B12_094   -               30     919      18     922       1     922    1480    +    1.9e-175  580.9  26.7  -
Bifidobacteriaceae        -          LKAP-GutHK_B12_094   -               84     921      70     922      39     922    1469    +      3e-175  580.4  25.1  -
Micrococcales             -          LKAP-GutHK_B12_094   -               68     902      71     922      51     922    1475    +    3.3e-175  580.2  24.9  -
Ruaniaceae                -          LKAP-GutHK_B12_094   -               94     936      71     922      47     922    1531    +    3.6e-175  579.8  24.4  -
Jonesiaceae               -          LKAP-GutHK_B12_094   -               91     941      71     922      50     922    1514    +    4.5e-175  579.8  24.2  -
Gallionellaceae           -          LKAP-GutHK_B12_094   -               83     935      71     921      50     922    1385    +      7e-175  579.1  24.6  -
Prolixibacteraceae        -          LKAP-GutHK_B12_094   -               21     913      12     922       1     922    1444    +    7.7e-175  578.9  26.3  -
Streptosporangineae       -          LKAP-GutHK_B12_094   -                3     872      14     922      12     922    1443    +    7.8e-175  578.8  26.0  -
Nocardiopsaceae           -          LKAP-GutHK_B12_094   -               27     913      16     922       1     922    1475    +      1e-174  578.6  26.1  -
Chlamydiaceae             -          LKAP-GutHK_B12_094   -               51     956      17     922       1     922    1548    +    1.1e-174  578.2  25.9  -
Rikenellaceae             -          LKAP-GutHK_B12_094   -               35     928      16     922       1     922    1456    +    1.2e-174  578.2  25.7  -
Dehalococcoidaceae        -          LKAP-GutHK_B12_094   -               60     889      71     921      51     922    1437    +    4.8e-174  576.7  24.8  -
Lewinellaceae             -          LKAP-GutHK_B12_094   -               26     912      15     922       1     922    1446    +    8.5e-174  575.5  26.5  -
Petrotogaceae             -          LKAP-GutHK_B12_094   -               42     919      16     922       1     922    1488    +    1.3e-173  575.2  25.5  -
Phormidiaceae             -          LKAP-GutHK_B12_094   -               78     892      71     922      51     922    1483    +    1.4e-173  575.1  24.6  -
Chlorobiaceae             -          LKAP-GutHK_B12_094   -               87     925      74     922      54     922    1455    +    6.4e-173  572.6  24.3  -
Lysobacteriales           -          LKAP-GutHK_B12_094   -               56     948      17     922       1     922    1508    +      7e-173  572.5  25.9  -
Chitinophagaceae          -          LKAP-GutHK_B12_094   -               28     918      16     922       1     922    1458    +    9.3e-173  572.3  26.0  -
Prochlorococcaceae        -          LKAP-GutHK_B12_094   -               47     874      42     922      22     922    1465    +    1.1e-172  571.8  23.5  -
Betaproteobacteria        -          LKAP-GutHK_B12_094   -               47     897      71     921      51     922    1454    +    1.6e-172  571.2  24.7  -
Eggerthellaceae           -          LKAP-GutHK_B12_094   -               35     901      17     922       1     922    1449    +    1.7e-172  571.4  26.1  -
Crocinitomicaceae         -          LKAP-GutHK_B12_094   -               28     921      16     922       1     922    1466    +    3.4e-172  570.0  25.2  -
Deinococcaceae            -          LKAP-GutHK_B12_094   -               52     898      63     922      43     922    1455    +    4.2e-172  569.8  25.3  -
Mesoaciditogaceae         -          LKAP-GutHK_B12_094   -               35     937      16     921       1     922    1522    +    4.8e-172  569.7  26.5  -
Cyclobacteriaceae         -          LKAP-GutHK_B12_094   -               26     915      15     922       1     922    1447    +    2.3e-171  567.5  26.1  -
Haliscomenobacteraceae    -          LKAP-GutHK_B12_094   -               46     935      15     922       1     922    1485    +    3.1e-171  567.4  26.5  -
Oscillospiraceae          -          LKAP-GutHK_B12_094   -               22     914      13     921       1     922    1453    +      5e-171  566.0  25.9  -
Mariprofundaceae          -          LKAP-GutHK_B12_094   -               88     939      71     922      50     922    1528    +    7.2e-171  565.6  24.8  -
Rarobacteraceae           -          LKAP-GutHK_B12_094   -               57     890      71     922      51     922    1464    +      1e-170  565.1  25.2  -
Parachlamydiaceae         -          LKAP-GutHK_B12_094   -               68     940      66     922      46     922    1529    +    1.4e-170  565.0  25.0  -
Actinospicaceae           -          LKAP-GutHK_B12_094   -               39     877      67     922      44     922    1425    +      3e-170  563.7  25.1  -
Marinilabiliaceae         -          LKAP-GutHK_B12_094   -               27     916      16     922       1     922    1447    +    1.3e-169  561.3  25.9  -
Cytophagales              -          LKAP-GutHK_B12_094   -               26     913      15     922       1     922    1444    +    1.3e-169  561.6  25.4  -
Cryomorphaceae            -          LKAP-GutHK_B12_094   -               19     923       6     922       1     922    1454    +    1.5e-169  561.5  25.6  -
Kofleriaceae              -          LKAP-GutHK_B12_094   -               46     954      19     922       1     922    1498    +    2.2e-169  560.9  26.2  -
Thermotogaceae            -          LKAP-GutHK_B12_094   -               45     942      16     921       1     922    1545    +    4.4e-169  559.9  26.4  -
Sphingobacteriaceae       -          LKAP-GutHK_B12_094   -               13     914       6     922       1     922    1450    +    1.1e-168  558.5  25.6  -
Acholeplasmataceae        -          LKAP-GutHK_B12_094   -               47     903      66     922      44     922    1437    +    1.4e-168  558.0  25.0  -
Pseudobacteriovoracaceae  -          LKAP-GutHK_B12_094   -               10     891      31     921      21     922    1466    +    2.1e-168  557.5  25.6  -
Kosmotogaceae             -          LKAP-GutHK_B12_094   -               35     920      16     921       1     922    1488    +    3.6e-168  557.1  26.1  -
Fibrobacteraceae          -          LKAP-GutHK_B12_094   -               26     897      16     922       5     922    1412    +    1.3e-166  552.0  25.7  -
Entomoplasmataceae        -          LKAP-GutHK_B12_094   -               64     919      70     922      49     922    1497    +    1.4e-166  551.7  24.4  -
Aquificaceae              -          LKAP-GutHK_B12_094   -               28     930      17     920       1     922    1485    +    1.7e-166  551.5  25.5  -
Iodidimonadaceae          -          LKAP-GutHK_B12_094   -               59     888      67     922      26     922    1437    +    6.1e-166  549.4  24.2  -
Saprospiraceae            -          LKAP-GutHK_B12_094   -               37     925      15     922       1     922    1430    +    2.7e-165  547.8  25.9  -
Hydrogenothermaceae       -          LKAP-GutHK_B12_094   -               28     892      17     920       2     922    1447    +    2.6e-164  544.2  25.2  -
Magnetococcaceae          -          LKAP-GutHK_B12_094   -               53     903      21     922       2     922    1497    +    5.5e-164  543.0  25.9  -
Fervidobacteriaceae       -          LKAP-GutHK_B12_094   -               35     949      16     921       1     922    1514    +    1.2e-163  541.9  27.0  -
Thermosporotrichaceae     -          LKAP-GutHK_B12_094   -                7     825      70     921      64     922    1317    +    1.8e-162  538.2  25.4  -
Rhodospirillales          -          LKAP-GutHK_B12_094   -               42     857      69     922      49     922    1413    +    2.1e-162  538.0  24.8  -
Bacteroidales             -          LKAP-GutHK_B12_094   -               80     937      59     922      36     922    1485    +    3.6e-162  536.7  24.4  -
Dictyoglomaceae           -          LKAP-GutHK_B12_094   -               97     942      70     919      35     922    1541    +      1e-160  532.1  24.8  -
Microscillaceae           -          LKAP-GutHK_B12_094   -               46     900      61     922       4     922    1461    +    1.2e-160  531.9  24.0  -
Bradymonadaceae           -          LKAP-GutHK_B12_094   -               62     914      64     922      41     922    1461    +    3.7e-160  530.0  25.4  -
Gemmataceae               -          LKAP-GutHK_B12_094   -               79     896      71     922      51     922    1427    +    5.7e-160  529.7  23.6  -
Sandaracinaceae           -          LKAP-GutHK_B12_094   -               51     924      68     922      47     922    1506    +    7.9e-160  529.3  24.9  -
Lentisphaeraceae          -          LKAP-GutHK_B12_094   -               21     906       3     922       1     922    1465    +    1.3e-159  528.7  26.5  -
Prevotellaceae            -          LKAP-GutHK_B12_094   -               28     925      16     922       7     922    1464    +    1.4e-159  528.2  25.3  -
Blastocatellaceae         -          LKAP-GutHK_B12_094   -               47     923      16     922       1     922    1485    +      2e-159  527.7  25.6  -
Rhodothalassiaceae        -          LKAP-GutHK_B12_094   -               44     861      63     922      23     922    1318    +    2.4e-159  527.7  24.5  -
Sphaerobacteraceae        -          LKAP-GutHK_B12_094   -               74     915      64     921      41     922    1531    +    7.9e-159  525.9  26.6  -
Coriobacteriaceae         -          LKAP-GutHK_B12_094   -               40     904      16     922       1     922    1462    +      2e-158  525.0  26.6  -
Marinifilaceae            -          LKAP-GutHK_B12_094   -               28     917      17     922       2     922    1450    +    1.8e-157  521.3  24.9  -
Phaselicystidaceae        -          LKAP-GutHK_B12_094   -               78     951      67     922      46     922    1539    +    1.1e-156  518.9  25.1  -
Emcibacteraceae           -          LKAP-GutHK_B12_094   -               48     897      17     922       1     922    1460    +    2.2e-156  517.9  25.4  -
Thermomicrobiaceae        -          LKAP-GutHK_B12_094   -               24     875      64     921      45     922    1273    +    1.1e-155  516.1  26.3  -
Temperatibacteraceae      -          LKAP-GutHK_B12_094   -               32     845      68     922      46     922    1362    +    1.4e-155  515.1  23.9  -
Roseiarcaceae             -          LKAP-GutHK_B12_094   -               71     883      69     922      49     922    1399    +    2.1e-155  514.5  24.4  -
Acanthopleuribacteraceae  -          LKAP-GutHK_B12_094   -               30     912      63     922      42     922    1453    +    2.2e-155  514.4  25.3  -
Akkermansiaceae           -          LKAP-GutHK_B12_094   -               70     897      69     922      48     922    1441    +    5.6e-155  513.4  24.1  -
Labilitrichaceae          -          LKAP-GutHK_B12_094   -               62     936      68     922      47     922    1483    +    9.6e-155  512.2  25.0  -
Oligoflexaceae            -          LKAP-GutHK_B12_094   -               48     915      45     921       4     922    1458    +    2.4e-154  511.1  25.6  -
Syntrophorhabdaceae       -          LKAP-GutHK_B12_094   -               29     937      18     922       1     922    1482    +    1.1e-153  508.9  26.3  -
Anaeromyxobacteraceae     -          LKAP-GutHK_B12_094   -               81     956      67     922      45     922    1549    +    3.2e-153  507.3  25.0  -
Odoribacteraceae          -          LKAP-GutHK_B12_094   -               47     936      16     922       4     922    1486    +      6e-153  506.3  25.3  -
Vulgatibacteraceae        -          LKAP-GutHK_B12_094   -               60     935      67     922      47     922    1479    +    1.8e-152  504.8  24.8  -
Fervidobacteraceae        -          LKAP-GutHK_B12_094   -               28     887      16     921       1     922    1480    +      2e-152  504.8  27.0  -
Christensenellaceae       -          LKAP-GutHK_B12_094   -               37     928      21     922       1     922    1497    +    2.4e-152  504.3  26.5  -
Hydrogenimonaceae         -          LKAP-GutHK_B12_094   -               28     916      16     922       1     922    1422    +    6.4e-152  503.0  26.2  -
Acidothermaceae           -          LKAP-GutHK_B12_094   -               44     916      16     922       1     922    1509    +    1.3e-150  498.8  26.8  -
Gaiellaceae               -          LKAP-GutHK_B12_094   -               50     947      19     922       1     922    1544    +    1.6e-150  498.3  26.0  -
Isosphaeraceae            -          LKAP-GutHK_B12_094   -               68     912      69     922      49     922    1475    +    2.7e-150  497.7  24.9  -
Egicoccaceae              -          LKAP-GutHK_B12_094   -               83     922      67     922      27     922    1512    +    1.4e-149  495.2  25.5  -
Nitriliruptoraceae        -          LKAP-GutHK_B12_094   -               60     911      46     922      25     922    1425    +    1.9e-149  494.8  25.4  -
Gracilibacteraceae        -          LKAP-GutHK_B12_094   -              202    1034      71     922      50     922    1549    +    1.1e-148  492.1  25.4  -
Egibacteraceae            -          LKAP-GutHK_B12_094   -               61     924      36     922      15     922    1516    +    1.7e-148  491.8  25.9  -
Halanaerobiales           -          LKAP-GutHK_B12_094   -               34     954      19     922       1     922    1500    +    8.6e-148  489.3  26.0  -
Micropepsaceae            -          LKAP-GutHK_B12_094   -               72     886      70     922      50     922    1455    +    1.3e-146  485.4  24.5  -
Haloplasmataceae          -          LKAP-GutHK_B12_094   -               55     910      69     922      48     922    1345    +    4.5e-146  483.8  25.0  -
Thermogemmatisporaceae    -          LKAP-GutHK_B12_094   -               61     906      70     921      50     922    1443    +    9.8e-146  482.6  26.2  -
Euzebyaceae               -          LKAP-GutHK_B12_094   -               64     903      67     922      45     922    1476    +    1.1e-145  482.5  25.5  -
Longimicrobiaceae         -          LKAP-GutHK_B12_094   -                9     881      63     922      53     922    1413    +    2.4e-145  481.4  25.3  -
Chloroflexaceae           -          LKAP-GutHK_B12_094   -               80     897      70     921      49     922    1473    +    1.3e-144  479.1  24.9  -
Victivallaceae            -          LKAP-GutHK_B12_094   -               28     902       5     922       1     922    1456    +    7.5e-144  476.3  26.3  -
Brachyspiraceae           -          LKAP-GutHK_B12_094   -               25     886      21     922       8     922    1441    +    8.9e-144  476.0  25.8  -
Acidimicrobiales          -          LKAP-GutHK_B12_094   -               48     910      46     922       5     922    1483    +    9.2e-144  476.2  26.2  -
Gloeomargaritaceae        -          LKAP-GutHK_B12_094   -               73     890      68     922      47     922    1482    +    9.8e-143  472.7  23.9  -
Xenococcaceae             -          LKAP-GutHK_B12_094   -               57     873      70     921      50     922    1418    +    6.3e-142  470.2  24.2  -
Caldisericaceae           -          LKAP-GutHK_B12_094   -               27     935      16     921       1     922    1481    +    8.9e-142  469.3  26.3  -
Ignavibacteriaceae        -          LKAP-GutHK_B12_094   -               62     917      65     922      44     922    1461    +    1.7e-141  468.5  24.8  -
Aquificales               -          LKAP-GutHK_B12_094   -               24     937      22     922       3     922    1450    +    3.6e-141  467.6  26.1  -
Melioribacteraceae        -          LKAP-GutHK_B12_094   -               91     942      70     922      46     922    1539    +    8.3e-140  462.8  24.6  -
Mooreiaceae               -          LKAP-GutHK_B12_094   -               12     901      13     922       3     922    1424    +    1.3e-138  459.0  26.2  -
Prochlorotrichaceae       -          LKAP-GutHK_B12_094   -               43     855      71     921      50     922    1448    +    2.9e-138  457.7  24.2  -
Armatimonadaceae          -          LKAP-GutHK_B12_094   -               63     894      71     922      50     922    1438    +      3e-137  454.4  24.4  -
Ardenticatenia            -          LKAP-GutHK_B12_094   -               28     923      21     921       1     922    1453    +    7.9e-137  453.2  26.7  -
Catalimonadaceae          -          LKAP-GutHK_B12_094   -               14     900      15     922       5     922    1425    +    2.3e-136  451.6  25.6  -
Mzabimycetaceae           -          LKAP-GutHK_B12_094   -               12     843      68     922      49     922    1357    +    1.3e-135  449.0  26.0  -
Verrucomicrobiales        -          LKAP-GutHK_B12_094   -               17     910      48     921      34     922    1410    +    1.9e-134  445.5  25.5  -
Herpetosiphonaceae        -          LKAP-GutHK_B12_094   -               75     898      70     921      49     922    1475    +    7.8e-134  443.0  24.4  -
Brevinemataceae           -          LKAP-GutHK_B12_094   -               83     929      61     921      39     922    1490    +    8.2e-134  443.1  24.7  -
Kiritimatiellaceae        -          LKAP-GutHK_B12_094   -               47     969      16     922       1     922    1556    +    2.5e-133  441.5  26.3  -
Trueperaceae              -          LKAP-GutHK_B12_094   -               60     880      71     922      49     922    1461    +      4e-133  440.7  24.0  -
Chitinivibrionaceae       -          LKAP-GutHK_B12_094   -               45     935      30     922       6     922    1488    +    2.3e-132  438.3  24.9  -
Thermoflexaceae           -          LKAP-GutHK_B12_094   -                3     904       5     921       3     922    1466    +      5e-132  437.5  26.8  -
Blastocatellales          -          LKAP-GutHK_B12_094   -               43     900      16     922       1     922    1488    +      1e-131  436.1  25.8  -
Spirochaetales            -          LKAP-GutHK_B12_094   -               34     910      22     922       4     922    1456    +    1.1e-131  436.0  25.2  -
Elusimicrobiaceae         -          LKAP-GutHK_B12_094   -               52     886      68     921      47     922    1395    +    1.5e-131  435.5  24.2  -
Thermonemataceae          -          LKAP-GutHK_B12_094   -               18     910      16     922       1     922    1465    +    2.1e-131  435.2  26.2  -
Oligosphaeraceae          -          LKAP-GutHK_B12_094   -               11     892       4     922       1     922    1434    +    5.9e-131  433.6  26.5  -
Ktedonobacteraceae        -          LKAP-GutHK_B12_094   -               54     872      70     921      50     922    1386    +      8e-130  430.1  25.2  -
Spartobacteria            -          LKAP-GutHK_B12_094   -               25     905      16     921       1     922    1418    +    5.9e-129  427.0  26.7  -
Lentimicrobiaceae         -          LKAP-GutHK_B12_094   -               22     915      15     922       1     922    1446    +    7.5e-129  426.6  26.7  -
Simkaniaceae              -          LKAP-GutHK_B12_094   -               84     953      71     921      49     922    1545    +    3.8e-128  424.3  24.3  -
Soortiaceae               -          LKAP-GutHK_B12_094   -               85     950      60     922      21     922    1516    +    1.1e-127  422.7  25.0  -
Fimbriimonadaceae         -          LKAP-GutHK_B12_094   -               63     894      71     922      50     922    1443    +    3.7e-127  421.0  24.6  -
Schleiferiaceae           -          LKAP-GutHK_B12_094   -               84     934      70     922      47     922    1499    +    4.8e-127  420.9  24.9  -
Filobacteriaceae          -          LKAP-GutHK_B12_094   -               79     934      59     921      38     922    1521    +    6.3e-127  420.2  24.7  -
Roseiflexaceae            -          LKAP-GutHK_B12_094   -               78     898      69     921      46     922    1469    +    1.4e-126  419.6  24.7  -
Chthonomonadaceae         -          LKAP-GutHK_B12_094   -               36     885      66     922      46     922    1411    +    5.1e-126  417.4  25.9  -
Ichthyobacteriaceae       -          LKAP-GutHK_B12_094   -               79     940      60     922      38     922    1521    +    1.8e-125  415.5  24.9  -
Waddliaceae               -          LKAP-GutHK_B12_094   -               91     964      71     921      50     922    1557    +    1.5e-121  402.6  24.5  -
Balneicellaceae           -          LKAP-GutHK_B12_094   -               70     926      61     921      39     922    1505    +    3.8e-119  394.5  24.4  -
Phycisphaeraceae          -          LKAP-GutHK_B12_094   -               34     891      27     922       4     922    1461    +    5.3e-118  391.0  25.1  -
Tepidisphaeraceae         -          LKAP-GutHK_B12_094   -               77     906      70     922      49     922    1491    +    2.9e-113  375.2  24.3  -
Chloroflexales            -          LKAP-GutHK_B12_094   -               55     883      71     921      50     922    1355    +    2.2e-111  369.4  25.9  -
Methanocaldococcaceae     -          LKAP-GutHK_B12_094   -               78     899      68     921      44     922    1429    +     1.3e-89  297.1  23.4  -
Methanobacteriaceae       -          LKAP-GutHK_B12_094   -               53     871      72     921      52     922    1403    +     4.6e-87  288.1  22.7  -
Methanococcaceae          -          LKAP-GutHK_B12_094   -               69     882      73     921      53     922    1410    +     8.9e-85  280.6  23.4  -
Sulfolobaceae             -          LKAP-GutHK_B12_094   -               67     898      71     919      50     922    1464    +     2.7e-80  265.6  24.1  -
Methanoregulaceae         -          LKAP-GutHK_B12_094   -               55     866      73     921      53     922    1413    +     3.9e-80  265.0  23.5  -
Archaeoglobaceae          -          LKAP-GutHK_B12_094   -               72     890      72     921      50     922    1451    +     2.1e-79  262.8  23.7  -
Methanothermaceae         -          LKAP-GutHK_B12_094   -               77     898      72     921      52     922    1482    +       7e-78  258.0  23.6  -
Methanomicrobiaceae       -          LKAP-GutHK_B12_094   -               59     870      73     921      53     922    1420    +     1.8e-76  253.1  24.2  -
Desulfurococcaceae        -          LKAP-GutHK_B12_094   -               70     910      66     921      47     922    1460    +     3.3e-76  252.4  24.4  -
Thermococcaceae           -          LKAP-GutHK_B12_094   -               53     887      58     921      34     922    1448    +     1.4e-75  250.3  24.4  -
Thermoproteaceae          -          LKAP-GutHK_B12_094   -               61     898      70     921      46     922    1471    +     4.3e-73  240.4  24.9  -
Pyrodictiaceae            -          LKAP-GutHK_B12_094   -               80     913      70     921      50     922    1497    +       9e-73  240.9  25.6  -
Acidilobaceae             -          LKAP-GutHK_B12_094   -               77     913      70     921      50     922    1451    +     4.8e-72  238.3  24.2  -
Halobacteriaceae          -          LKAP-GutHK_B12_094   -               76     895      72     921      52     922    1474    +     2.1e-70  232.6  24.5  -
Methanomicrobiales        -          LKAP-GutHK_B12_094   -               70     880      74     921      54     922    1425    +     3.9e-69  228.5  23.8  -
Thermofilaceae            -          LKAP-GutHK_B12_094   -               95     927      73     921      53     922    1513    +     1.2e-67  223.8  24.7  -
Natrialbaceae             -          LKAP-GutHK_B12_094   -               90     895      86     921      66     922    1474    +     6.3e-67  221.0  23.3  -
Nostocaceae               -          LKAP-GutHK_B12_094   -                4     546     363     921     360     922    1476    +     7.7e-67  221.5  14.6  -
Methanospirillaceae       -          LKAP-GutHK_B12_094   -               27     838      73     921      53     922    1378    +     1.2e-66  220.2  23.5  -
Haloarculaceae            -          LKAP-GutHK_B12_094   -               78     894      74     921      54     922    1473    +     1.2e-65  217.0  24.2  -
Methanopyraceae           -          LKAP-GutHK_B12_094   -               75     928      62     921      40     922    1512    +     1.6e-65  217.4  24.3  -
Haloferacaceae            -          LKAP-GutHK_B12_094   -               78     895      74     921      54     922    1474    +     1.2e-62  206.7  23.5  -
Methanocorpusculaceae     -          LKAP-GutHK_B12_094   -               72     882      74     921      54     922    1421    +     4.9e-62  205.0  23.1  -
Caldisphaeraceae          -          LKAP-GutHK_B12_094   -               64     899      72     921      52     922    1466    +       2e-61  203.7  23.8  -
Thermoplasmataceae        -          LKAP-GutHK_B12_094   -               75     892      71     920      51     922    1471    +     1.6e-60  200.3  22.5  -
Methanotrichaceae         -          LKAP-GutHK_B12_094   -               75     891      74     921      54     922    1423    +     9.6e-60  197.3  23.0  -
Ferroplasmaceae           -          LKAP-GutHK_B12_094   -               77     870      74     903      53     921    1442    +     1.2e-59  197.3  20.7  -
Methanosarcinaceae        -          LKAP-GutHK_B12_094   -               74     890      74     921      54     922    1425    +     3.1e-58  192.3  22.9  -
Cuniculiplasmataceae      -          LKAP-GutHK_B12_094   -               76     887      72     919      51     922    1469    +     3.6e-58  192.9  23.1  -
Fervidicoccaceae          -          LKAP-GutHK_B12_094   -               79     918      69     921      47     922    1502    +       5e-57  189.0  23.8  -
