# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_F11_085   -               27     936      16     924       2     924    1474    +           0 1131.9  25.8  -
Ventosimonadaceae         -          LKAP-GutHK_F11_085   -               86     953      60     924      38     924    1489    +    1.6e-187  620.7  24.2  -
Thermomonosporaceae       -          LKAP-GutHK_F11_085   -               27     901      16     923       2     924    1464    +    3.2e-187  620.0  25.6  -
Chrysiogenaceae           -          LKAP-GutHK_F11_085   -               77     924      73     924      50     924    1513    +    3.3e-187  620.0  23.5  -
Puniceicoccaceae          -          LKAP-GutHK_F11_085   -               37     940      16     924       3     924    1485    +    4.6e-187  619.4  24.5  -
Frankiaceae               -          LKAP-GutHK_F11_085   -               72     915      64     924      33     924    1499    +    5.3e-187  619.4  24.5  -
Jiangellaceae             -          LKAP-GutHK_F11_085   -               33     907      16     923       1     924    1497    +    7.8e-187  618.6  25.8  -
Caldilineaceae            -          LKAP-GutHK_F11_085   -               35     907      17     924       2     924    1434    +    2.4e-186  617.1  26.3  -
Demequinaceae             -          LKAP-GutHK_F11_085   -               70     905      71     923      49     924    1478    +    2.9e-186  616.8  23.9  -
Caldicoprobacteraceae     -          LKAP-GutHK_F11_085   -               91     935      68     924      36     924    1530    +    4.4e-186  616.1  24.5  -
Dermacoccaceae            -          LKAP-GutHK_F11_085   -               67     902      71     922      49     924    1456    +    4.5e-186  616.1  24.1  -
Cellulomonadaceae         -          LKAP-GutHK_F11_085   -               74     910      71     923      50     924    1465    +    4.5e-186  616.3  24.0  -
Hymenobacteraceae         -          LKAP-GutHK_F11_085   -               54     907      65     924      20     924    1445    +      6e-186  615.9  23.8  -
Peptoniphilaceae          -          LKAP-GutHK_F11_085   -                3     887      16     924      14     924    1437    +    7.5e-186  615.7  25.1  -
Acidobacteriaceae         -          LKAP-GutHK_F11_085   -               81     904      65     924      43     924    1462    +    1.5e-185  614.4  23.5  -
Anaerolineaceae           -          LKAP-GutHK_F11_085   -               28     902      17     924       3     924    1430    +    1.7e-185  614.8  25.6  -
Segniliparaceae           -          LKAP-GutHK_F11_085   -               38     903      22     924       2     924    1462    +    2.6e-185  613.8  25.5  -
Algiphilaceae             -          LKAP-GutHK_F11_085   -               48     938      17     923       2     924    1501    +    3.6e-185  612.8  25.3  -
Symbiobacteriaceae        -          LKAP-GutHK_F11_085   -               16     932      12     924       1     924    1468    +    4.3e-185  613.2  26.0  -
Thermodesulfobacteriaceae -          LKAP-GutHK_F11_085   -               27     935      16     924       2     924    1497    +      1e-184  611.9  24.8  -
Planctomycetaceae         -          LKAP-GutHK_F11_085   -               37     920      16     924       5     924    1486    +    1.2e-184  611.7  24.8  -
Cryptosporangiaceae       -          LKAP-GutHK_F11_085   -               27     898      16     923       2     924    1470    +    6.8e-184  609.0  25.5  -
Dietziaceae               -          LKAP-GutHK_F11_085   -               19     891      17     924       3     924    1452    +    8.3e-184  608.7  25.8  -
Promicromonosporaceae     -          LKAP-GutHK_F11_085   -               68     902      71     923      33     924    1462    +    1.1e-183  608.3  24.0  -
Streptosporangiaceae      -          LKAP-GutHK_F11_085   -               27     897      16     923       2     924    1464    +    2.5e-183  606.9  25.4  -
Rubricoccaceae            -          LKAP-GutHK_F11_085   -               38     925      26     924       6     924    1452    +    3.1e-183  606.7  24.2  -
Bernardetiaceae           -          LKAP-GutHK_F11_085   -               27     918      16     924       2     924    1481    +    3.3e-183  606.7  24.5  -
Glycomycetaceae           -          LKAP-GutHK_F11_085   -               34     920      16     923       1     924    1495    +    3.9e-182  603.3  25.9  -
Bogoriellaceae            -          LKAP-GutHK_F11_085   -               70     910      71     923      50     924    1470    +    4.8e-182  602.8  23.8  -
Spiroplasmataceae         -          LKAP-GutHK_F11_085   -               74     933      66     924      46     924    1516    +      9e-182  602.2  24.0  -
Dermatophilaceae          -          LKAP-GutHK_F11_085   -               42     908      30     923      10     924    1480    +    1.1e-181  601.6  24.5  -
Stigonematales            -          LKAP-GutHK_F11_085   -               76     895      69     924      48     924    1450    +    1.9e-181  601.0  22.9  -
Defluviitaleaceae         -          LKAP-GutHK_F11_085   -                5     895       4     924       1     924    1413    +    2.1e-181  600.8  25.8  -
Catenulisporaceae         -          LKAP-GutHK_F11_085   -               29     901      18     924       2     924    1460    +    2.2e-181  600.6  25.3  -
Porphyromonadaceae        -          LKAP-GutHK_F11_085   -               36     930      17     924       9     924    1473    +    2.5e-181  600.5  24.5  -
Sanguibacteraceae         -          LKAP-GutHK_F11_085   -               87     922      71     923      50     924    1483    +    3.1e-181  600.1  24.0  -
Gemmatimonadaceae         -          LKAP-GutHK_F11_085   -               80     927      72     924      51     924    1525    +      8e-181  598.8  23.8  -
Leptotrichiaceae          -          LKAP-GutHK_F11_085   -               93     922      74     924      53     924    1492    +    8.4e-181  598.6  23.4  -
Desulfurobacteriaceae     -          LKAP-GutHK_F11_085   -               54     949      44     924      23     924    1497    +    1.8e-180  598.0  24.6  -
Opitutaceae               -          LKAP-GutHK_F11_085   -               74     944      69     924      47     924    1482    +    4.7e-180  596.2  23.6  -
Dermabacteraceae          -          LKAP-GutHK_F11_085   -               79     913      71     922      51     924    1470    +    6.7e-180  595.5  24.1  -
Bryobacteraceae           -          LKAP-GutHK_F11_085   -               73     902      58     924      35     924    1417    +    7.7e-180  595.6  24.1  -
Actinomycetales           -          LKAP-GutHK_F11_085   -               47     939      16     924       2     924    1535    +    1.3e-179  594.8  26.2  -
Pyrinomonadaceae          -          LKAP-GutHK_F11_085   -               55     963      28     924       6     924    1526    +    1.3e-179  594.6  25.2  -
Iamiaceae                 -          LKAP-GutHK_F11_085   -               33     909      26     923       6     924    1480    +      3e-179  593.8  24.5  -
Frankiales                -          LKAP-GutHK_F11_085   -               34     909      16     924       2     924    1425    +    6.1e-179  592.7  26.1  -
Nostocales                -          LKAP-GutHK_F11_085   -               54     871      69     924      49     924    1457    +    2.4e-178  590.7  22.9  -
Rubritaleaceae            -          LKAP-GutHK_F11_085   -               79     927      71     924      50     924    1459    +    2.4e-178  590.5  23.1  -
Sporichthyaceae           -          LKAP-GutHK_F11_085   -               27     901      16     924       2     924    1472    +    3.1e-178  590.3  25.8  -
Atopobacteriaceae         -          LKAP-GutHK_F11_085   -               35     907      24     924       3     924    1442    +    7.2e-178  589.2  25.2  -
Anaeroplasmataceae        -          LKAP-GutHK_F11_085   -               85     921      72     923      52     924    1453    +    2.1e-177  587.5  23.6  -
Beutenbergiaceae          -          LKAP-GutHK_F11_085   -               66     905      69     923      48     924    1472    +    2.1e-177  587.4  23.8  -
Ruaniaceae                -          LKAP-GutHK_F11_085   -               94     937      71     923      47     924    1531    +    2.3e-177  587.1  23.4  -
Sterolibacteriaceae       -          LKAP-GutHK_F11_085   -               77     943      59     923      31     924    1531    +    2.4e-177  587.2  24.5  -
Persicobacteraceae        -          LKAP-GutHK_F11_085   -               64     916      65     924      43     924    1448    +    2.6e-177  587.2  24.1  -
Streptosporangineae       -          LKAP-GutHK_F11_085   -                3     873      14     923      12     924    1443    +    4.3e-177  586.3  24.9  -
Jonesiaceae               -          LKAP-GutHK_F11_085   -               91     942      71     923      50     924    1514    +    8.5e-177  585.5  23.4  -
Micrococcales             -          LKAP-GutHK_F11_085   -               68     903      71     923      51     924    1475    +    1.1e-176  585.2  23.9  -
Gallionellaceae           -          LKAP-GutHK_F11_085   -               83     937      71     923      50     924    1385    +    2.4e-176  583.9  23.7  -
Prolixibacteraceae        -          LKAP-GutHK_F11_085   -               22     915      13     924       2     924    1444    +    3.5e-176  583.4  25.8  -
Rikenellaceae             -          LKAP-GutHK_F11_085   -               35     930      16     924       4     924    1456    +    3.5e-176  583.4  24.5  -
Nocardiopsaceae           -          LKAP-GutHK_F11_085   -               27     914      16     923       2     924    1475    +    3.7e-176  583.4  25.2  -
Actinopolysporaceae       -          LKAP-GutHK_F11_085   -               34     921      21     924       2     924    1480    +    7.6e-176  582.2  25.9  -
Chlamydiaceae             -          LKAP-GutHK_F11_085   -               50     958      16     924       2     924    1548    +    1.5e-175  581.2  25.2  -
Bifidobacteriaceae        -          LKAP-GutHK_F11_085   -               84     922      70     923      42     924    1469    +    2.3e-175  580.7  24.2  -
Lysobacteriales           -          LKAP-GutHK_F11_085   -               56     949      17     923       2     924    1508    +    6.1e-175  579.3  25.2  -
Lewinellaceae             -          LKAP-GutHK_F11_085   -               27     914      16     924       2     924    1446    +    7.1e-175  579.1  25.6  -
Prochlorococcaceae        -          LKAP-GutHK_F11_085   -               47     876      42     924      22     924    1465    +    7.9e-175  578.9  22.9  -
Petrotogaceae             -          LKAP-GutHK_F11_085   -               42     921      16     924       2     924    1488    +    8.3e-175  579.1  24.8  -
Dehalococcoidaceae        -          LKAP-GutHK_F11_085   -               60     892      71     924      51     924    1437    +      1e-174  579.0  23.8  -
Phormidiaceae             -          LKAP-GutHK_F11_085   -               78     894      71     924      51     924    1483    +    1.5e-174  578.3  23.6  -
Chitinophagaceae          -          LKAP-GutHK_F11_085   -               63     920      61     924      36     924    1458    +    2.3e-174  577.6  23.8  -
Chlorobiaceae             -          LKAP-GutHK_F11_085   -               87     927      74     924      54     924    1455    +    5.3e-174  576.2  23.4  -
Eggerthellaceae           -          LKAP-GutHK_F11_085   -               35     903      17     924       2     924    1449    +    5.9e-174  576.2  25.2  -
Crocinitomicaceae         -          LKAP-GutHK_F11_085   -               67     923      62     924      39     924    1466    +      6e-174  575.8  23.5  -
Betaproteobacteria        -          LKAP-GutHK_F11_085   -               47     899      71     923      51     924    1454    +    6.4e-174  575.8  23.8  -
Mesoaciditogaceae         -          LKAP-GutHK_F11_085   -               35     940      16     924       2     924    1522    +    2.4e-173  574.0  25.7  -
Rarobacteraceae           -          LKAP-GutHK_F11_085   -               57     891      71     923      51     924    1464    +      6e-173  572.5  24.3  -
Deinococcaceae            -          LKAP-GutHK_F11_085   -               52     900      63     924      43     924    1455    +    7.5e-173  572.3  24.3  -
Haliscomenobacteraceae    -          LKAP-GutHK_F11_085   -               47     937      16     924       2     924    1485    +    1.3e-172  572.0  25.7  -
Mariprofundaceae          -          LKAP-GutHK_F11_085   -               88     941      71     924      50     924    1528    +    2.1e-172  570.7  23.8  -
Actinospicaceae           -          LKAP-GutHK_F11_085   -               39     878      67     923      44     924    1425    +    3.1e-172  570.3  24.3  -
Cyclobacteriaceae         -          LKAP-GutHK_F11_085   -               27     917      16     924       3     924    1447    +    4.7e-172  569.8  24.9  -
Cytophagales              -          LKAP-GutHK_F11_085   -               27     915      16     924       4     924    1444    +    7.2e-172  569.1  24.3  -
Parachlamydiaceae         -          LKAP-GutHK_F11_085   -               68     942      66     924      46     924    1529    +    9.7e-172  568.8  24.0  -
Oscillospiraceae          -          LKAP-GutHK_F11_085   -               22     917      13     924       1     924    1453    +    2.1e-171  567.2  25.4  -
Kofleriaceae              -          LKAP-GutHK_F11_085   -               50     956      22     924       2     924    1498    +    2.3e-171  567.5  25.6  -
Marinilabiliaceae         -          LKAP-GutHK_F11_085   -               27     918      16     924       5     924    1447    +    3.2e-171  566.7  24.8  -
Thermotogaceae            -          LKAP-GutHK_F11_085   -               45     945      16     924       2     924    1545    +    3.4e-171  566.9  25.6  -
Cryomorphaceae            -          LKAP-GutHK_F11_085   -               33     925      16     924       4     924    1454    +    5.9e-171  566.1  24.4  -
Acholeplasmataceae        -          LKAP-GutHK_F11_085   -               47     904      66     923      44     924    1437    +    2.3e-170  563.9  23.9  -
Sphingobacteriaceae       -          LKAP-GutHK_F11_085   -               68     916      70     924      49     924    1450    +    8.3e-170  562.2  23.5  -
Pseudobacteriovoracaceae  -          LKAP-GutHK_F11_085   -               10     893      31     923      21     924    1466    +    2.3e-169  560.6  24.6  -
Kosmotogaceae             -          LKAP-GutHK_F11_085   -               36     923      17     924       2     924    1488    +    2.3e-169  561.1  25.3  -
Aquificaceae              -          LKAP-GutHK_F11_085   -               30     931      19     921       2     924    1485    +    2.2e-168  557.7  24.6  -
Fibrobacteraceae          -          LKAP-GutHK_F11_085   -               26     899      16     924       1     924    1412    +    5.2e-168  556.6  25.4  -
Entomoplasmataceae        -          LKAP-GutHK_F11_085   -               64     921      70     924      50     924    1497    +    9.2e-168  555.7  23.6  -
Iodidimonadaceae          -          LKAP-GutHK_F11_085   -               60     890      68     924      47     924    1437    +    9.5e-167  552.1  23.3  -
Saprospiraceae            -          LKAP-GutHK_F11_085   -               38     927      16     924       3     924    1430    +    1.5e-166  551.9  24.8  -
Hydrogenothermaceae       -          LKAP-GutHK_F11_085   -               28     893      17     921       2     924    1447    +    1.8e-166  551.4  24.4  -
Magnetococcaceae          -          LKAP-GutHK_F11_085   -               54     904      22     923       4     924    1497    +    1.7e-165  548.0  25.0  -
Fervidobacteriaceae       -          LKAP-GutHK_F11_085   -               35     952      16     924       2     924    1514    +      2e-165  547.8  26.2  -
Thermosporotrichaceae     -          LKAP-GutHK_F11_085   -                7     828      70     924      64     924    1317    +    3.8e-164  543.7  24.4  -
Bacteroidales             -          LKAP-GutHK_F11_085   -               80     939      59     924      36     924    1485    +    9.6e-164  541.9  23.5  -
Rhodospirillales          -          LKAP-GutHK_F11_085   -               42     859      69     924      49     924    1413    +    5.5e-163  539.9  23.8  -
Microscillaceae           -          LKAP-GutHK_F11_085   -               48     902      63     924      42     924    1461    +    8.7e-163  539.0  23.1  -
Dictyoglomaceae           -          LKAP-GutHK_F11_085   -               97     946      70     923      36     924    1541    +    4.1e-162  536.7  23.8  -
Bradymonadaceae           -          LKAP-GutHK_F11_085   -               62     916      64     924      42     924    1461    +    7.2e-162  535.7  24.4  -
Blastocatellaceae         -          LKAP-GutHK_F11_085   -               52     925      25     924       4     924    1485    +      1e-161  535.3  24.4  -
Sandaracinaceae           -          LKAP-GutHK_F11_085   -               51     926      68     924      47     924    1506    +    1.7e-161  534.8  23.9  -
Rhodothalassiaceae        -          LKAP-GutHK_F11_085   -               44     863      63     924      25     924    1318    +    5.9e-161  533.0  23.6  -
Gemmataceae               -          LKAP-GutHK_F11_085   -               79     898      71     924      51     924    1427    +    1.5e-160  531.6  22.7  -
Prevotellaceae            -          LKAP-GutHK_F11_085   -               29     927      17     924      11     924    1464    +    1.6e-160  531.3  24.3  -
Sphaerobacteraceae        -          LKAP-GutHK_F11_085   -               74     918      64     924      41     924    1531    +      7e-160  529.4  25.7  -
Lentisphaeraceae          -          LKAP-GutHK_F11_085   -               39     908      21     924       4     924    1465    +    1.6e-159  528.4  24.7  -
Coriobacteriaceae         -          LKAP-GutHK_F11_085   -               40     906      16     924       1     924    1462    +    5.8e-159  526.8  25.7  -
Marinifilaceae            -          LKAP-GutHK_F11_085   -               64     919      63     924      41     924    1450    +    1.4e-158  525.0  23.4  -
Emcibacteraceae           -          LKAP-GutHK_F11_085   -               54     899      22     924       3     924    1460    +    6.7e-158  523.0  24.0  -
Phaselicystidaceae        -          LKAP-GutHK_F11_085   -               78     953      67     924      46     924    1539    +      1e-157  522.3  24.1  -
Thermomicrobiaceae        -          LKAP-GutHK_F11_085   -               24     878      64     924      45     924    1273    +    1.5e-157  522.3  25.4  -
Acanthopleuribacteraceae  -          LKAP-GutHK_F11_085   -               30     914      63     924      42     924    1453    +    3.8e-157  520.3  24.4  -
Roseiarcaceae             -          LKAP-GutHK_F11_085   -               71     885      69     924      49     924    1399    +      4e-157  520.2  23.3  -
Temperatibacteraceae      -          LKAP-GutHK_F11_085   -               32     847      68     924      46     924    1362    +    4.2e-157  520.1  22.9  -
Akkermansiaceae           -          LKAP-GutHK_F11_085   -               70     899      69     924      48     924    1441    +    4.9e-157  520.2  23.1  -
Labilitrichaceae          -          LKAP-GutHK_F11_085   -               62     938      68     924      47     924    1483    +    7.3e-157  519.2  24.1  -
Oligoflexaceae            -          LKAP-GutHK_F11_085   -               59     917      65     923      25     924    1458    +    4.1e-156  516.9  24.2  -
Syntrophorhabdaceae       -          LKAP-GutHK_F11_085   -               30     939      19     924       1     924    1482    +    2.1e-154  511.2  25.6  -
Odoribacteraceae          -          LKAP-GutHK_F11_085   -               47     938      16     924       8     924    1486    +    2.5e-154  510.9  24.3  -
Fervidobacteraceae        -          LKAP-GutHK_F11_085   -               28     890      16     924       1     924    1480    +    5.3e-154  510.1  26.3  -
Hydrogenimonaceae         -          LKAP-GutHK_F11_085   -               29     918      17     924       1     924    1422    +    5.3e-154  509.9  25.5  -
Anaeromyxobacteraceae     -          LKAP-GutHK_F11_085   -               81     958      67     924      45     924    1549    +    8.2e-154  509.3  24.1  -
Vulgatibacteraceae        -          LKAP-GutHK_F11_085   -               60     937      67     924      47     924    1479    +    1.7e-153  508.3  23.9  -
Christensenellaceae       -          LKAP-GutHK_F11_085   -               41     929      25     923       4     924    1497    +    8.4e-153  505.8  25.4  -
Acidothermaceae           -          LKAP-GutHK_F11_085   -               44     918      16     924       2     924    1509    +    3.7e-152  503.9  26.0  -
Isosphaeraceae            -          LKAP-GutHK_F11_085   -               68     914      69     924      49     924    1475    +    1.4e-151  502.0  23.9  -
Gaiellaceae               -          LKAP-GutHK_F11_085   -               86     948      69     923      27     924    1544    +    1.6e-151  501.5  24.3  -
Egicoccaceae              -          LKAP-GutHK_F11_085   -               83     924      67     924      28     924    1512    +    1.4e-150  498.5  24.4  -
Gracilibacteraceae        -          LKAP-GutHK_F11_085   -              202    1035      71     923      50     924    1549    +    1.8e-150  498.1  24.4  -
Nitriliruptoraceae        -          LKAP-GutHK_F11_085   -               60     913      46     924      26     924    1425    +    4.5e-150  496.8  24.4  -
Egibacteraceae            -          LKAP-GutHK_F11_085   -               61     926      36     924      15     924    1516    +    4.8e-149  493.6  24.9  -
Micropepsaceae            -          LKAP-GutHK_F11_085   -               72     888      70     924      50     924    1455    +    8.8e-149  492.6  23.4  -
Halanaerobiales           -          LKAP-GutHK_F11_085   -               38     955      22     923       2     924    1500    +    2.6e-148  491.0  25.2  -
Euzebyaceae               -          LKAP-GutHK_F11_085   -               64     905      67     924      45     924    1476    +    2.1e-147  488.1  24.5  -
Haloplasmataceae          -          LKAP-GutHK_F11_085   -               55     911      69     923      48     924    1345    +    2.4e-147  488.0  24.1  -
Thermogemmatisporaceae    -          LKAP-GutHK_F11_085   -               61     909      70     924      50     924    1443    +    4.4e-147  487.1  25.3  -
Chloroflexaceae           -          LKAP-GutHK_F11_085   -               80     900      70     924      49     924    1473    +    1.1e-146  486.0  23.9  -
Longimicrobiaceae         -          LKAP-GutHK_F11_085   -                9     883      63     924      53     924    1413    +    6.5e-146  483.3  24.3  -
Brachyspiraceae           -          LKAP-GutHK_F11_085   -               25     888      21     924       9     924    1441    +    9.1e-146  482.6  24.9  -
Gloeomargaritaceae        -          LKAP-GutHK_F11_085   -               73     892      68     924      47     924    1482    +    1.7e-144  478.5  23.1  -
Acidimicrobiales          -          LKAP-GutHK_F11_085   -               48     912      46     924       7     924    1483    +    2.7e-144  478.0  25.3  -
Victivallaceae            -          LKAP-GutHK_F11_085   -               70     904      68     924      44     924    1456    +      1e-143  475.8  23.7  -
Caldisericaceae           -          LKAP-GutHK_F11_085   -               27     937      16     923       1     924    1481    +    1.2e-143  475.5  25.7  -
Xenococcaceae             -          LKAP-GutHK_F11_085   -               57     875      70     923      50     924    1418    +      2e-142  471.8  23.4  -
Aquificales               -          LKAP-GutHK_F11_085   -               43     939      43     924      21     924    1450    +    2.1e-142  471.6  24.8  -
Ignavibacteriaceae        -          LKAP-GutHK_F11_085   -               62     919      65     924      44     924    1461    +    4.8e-142  470.3  23.9  -
Melioribacteraceae        -          LKAP-GutHK_F11_085   -               91     944      70     924      46     924    1539    +    2.3e-140  464.6  23.7  -
Mooreiaceae               -          LKAP-GutHK_F11_085   -               13     902      14     923       4     924    1424    +    2.2e-139  461.6  25.4  -
Prochlorotrichaceae       -          LKAP-GutHK_F11_085   -               43     857      71     923      50     924    1448    +    4.5e-139  460.4  23.3  -
Catalimonadaceae          -          LKAP-GutHK_F11_085   -               14     902      15     924       5     924    1425    +    1.6e-138  458.7  25.0  -
Armatimonadaceae          -          LKAP-GutHK_F11_085   -               63     896      71     924      50     924    1438    +    7.1e-138  456.5  23.5  -
Ardenticatenia            -          LKAP-GutHK_F11_085   -               32     925      25     923       4     924    1453    +    2.6e-137  454.9  25.6  -
Mzabimycetaceae           -          LKAP-GutHK_F11_085   -               12     845      68     924      49     924    1357    +    3.6e-137  454.2  25.0  -
Herpetosiphonaceae        -          LKAP-GutHK_F11_085   -               75     901      70     924      49     924    1475    +    6.8e-136  449.8  23.4  -
Verrucomicrobiales        -          LKAP-GutHK_F11_085   -               17     912      48     923      34     924    1410    +      4e-135  447.8  24.5  -
Brevinemataceae           -          LKAP-GutHK_F11_085   -               83     931      61     923      39     924    1490    +    4.5e-134  443.9  23.7  -
Kiritimatiellaceae        -          LKAP-GutHK_F11_085   -               47     971      16     924       2     924    1556    +    5.2e-134  443.7  25.7  -
Trueperaceae              -          LKAP-GutHK_F11_085   -               60     882      71     924      49     924    1461    +    8.7e-134  442.9  23.1  -
Elusimicrobiaceae         -          LKAP-GutHK_F11_085   -               52     888      68     923      47     924    1395    +    1.2e-133  442.4  23.3  -
Blastocatellales          -          LKAP-GutHK_F11_085   -               52     902      25     924       5     924    1488    +    1.4e-133  442.3  24.2  -
Chitinivibrionaceae       -          LKAP-GutHK_F11_085   -               41     937      26     924       4     924    1488    +    1.7e-133  442.0  24.5  -
Spirochaetales            -          LKAP-GutHK_F11_085   -               34     912      22     924       3     924    1456    +    3.1e-133  441.1  24.5  -
Thermoflexaceae           -          LKAP-GutHK_F11_085   -               10     906      12     923       2     924    1466    +    3.2e-133  441.4  26.0  -
Thermonemataceae          -          LKAP-GutHK_F11_085   -               20     912      18     924       3     924    1465    +    9.6e-133  439.7  25.4  -
Oligosphaeraceae          -          LKAP-GutHK_F11_085   -               59     893      70     923      26     924    1434    +    4.9e-131  433.9  23.8  -
Ktedonobacteraceae        -          LKAP-GutHK_F11_085   -               54     874      70     923      50     924    1386    +    1.8e-130  432.2  24.2  -
Lentimicrobiaceae         -          LKAP-GutHK_F11_085   -               47     917      50     924      28     924    1446    +    7.3e-130  429.9  24.0  -
Spartobacteria            -          LKAP-GutHK_F11_085   -               25     907      16     923       2     924    1418    +    1.4e-129  429.1  26.1  -
Filobacteriaceae          -          LKAP-GutHK_F11_085   -               79     936      59     923      38     924    1521    +    1.3e-128  425.8  23.8  -
Simkaniaceae              -          LKAP-GutHK_F11_085   -               84     955      71     923      50     924    1545    +    1.6e-128  425.5  23.4  -
Soortiaceae               -          LKAP-GutHK_F11_085   -               86     952      61     924      22     924    1516    +    4.8e-128  423.9  24.0  -
Roseiflexaceae            -          LKAP-GutHK_F11_085   -               78     900      69     923      49     924    1469    +    5.2e-128  424.3  23.8  -
Fimbriimonadaceae         -          LKAP-GutHK_F11_085   -               63     896      71     924      50     924    1443    +    7.7e-128  423.3  23.7  -
Schleiferiaceae           -          LKAP-GutHK_F11_085   -               84     935      70     923      48     924    1499    +    1.3e-127  422.8  24.0  -
Ichthyobacteriaceae       -          LKAP-GutHK_F11_085   -               79     942      60     924      38     924    1521    +    3.2e-127  421.2  24.0  -
Chthonomonadaceae         -          LKAP-GutHK_F11_085   -               36     886      66     923      46     924    1411    +    2.1e-126  418.7  24.8  -
Waddliaceae               -          LKAP-GutHK_F11_085   -               91     966      71     923      50     924    1557    +    1.2e-122  406.3  23.5  -
Balneicellaceae           -          LKAP-GutHK_F11_085   -               70     928      61     923      39     924    1505    +    8.1e-120  396.7  23.5  -
Phycisphaeraceae          -          LKAP-GutHK_F11_085   -               57     893      64     924      26     924    1461    +      3e-118  391.8  23.5  -
Tepidisphaeraceae         -          LKAP-GutHK_F11_085   -               77     908      70     924      49     924    1491    +    2.5e-114  378.8  23.4  -
Chloroflexales            -          LKAP-GutHK_F11_085   -               55     885      71     923      50     924    1355    +    2.8e-113  375.6  25.0  -
Methanocaldococcaceae     -          LKAP-GutHK_F11_085   -               78     900      68     922      44     924    1429    +     1.5e-92  306.8  22.9  -
Methanobacteriaceae       -          LKAP-GutHK_F11_085   -               53     872      72     922      51     924    1403    +     1.5e-90  299.6  22.3  -
Methanococcaceae          -          LKAP-GutHK_F11_085   -               69     883      73     922      53     924    1410    +     1.3e-88  293.3  22.8  -
Methanoregulaceae         -          LKAP-GutHK_F11_085   -               55     867      73     922      53     924    1413    +     1.5e-83  276.4  22.9  -
Sulfolobaceae             -          LKAP-GutHK_F11_085   -               67     901      71     922      50     924    1464    +     3.4e-83  275.2  23.4  -
Archaeoglobaceae          -          LKAP-GutHK_F11_085   -               71     891      71     922      50     924    1451    +     1.9e-82  272.8  23.1  -
Methanothermaceae         -          LKAP-GutHK_F11_085   -               77     899      72     922      52     924    1482    +     7.8e-81  267.8  23.0  -
Methanomicrobiaceae       -          LKAP-GutHK_F11_085   -               59     871      73     922      53     924    1420    +     3.8e-80  265.3  23.5  -
Desulfurococcaceae        -          LKAP-GutHK_F11_085   -               70     911      66     922      46     924    1460    +     1.6e-79  263.3  23.6  -
Thermococcaceae           -          LKAP-GutHK_F11_085   -               53     888      58     922      35     924    1448    +     8.4e-79  261.0  23.7  -
Thermoproteaceae          -          LKAP-GutHK_F11_085   -               60     899      69     922      45     924    1471    +     6.5e-77  253.1  24.2  -
Pyrodictiaceae            -          LKAP-GutHK_F11_085   -               80     914      70     922      50     924    1497    +     7.1e-76  251.2  25.0  -
Acidilobaceae             -          LKAP-GutHK_F11_085   -               77     914      70     922      49     924    1451    +     2.3e-75  249.3  23.3  -
Halobacteriaceae          -          LKAP-GutHK_F11_085   -               76     896      72     922      52     924    1474    +     6.1e-74  244.4  23.8  -
Methanomicrobiales        -          LKAP-GutHK_F11_085   -               70     881      74     922      54     924    1425    +     2.8e-72  238.9  23.2  -
Thermofilaceae            -          LKAP-GutHK_F11_085   -               95     928      73     922      53     924    1513    +     5.5e-71  234.9  24.0  -
Natrialbaceae             -          LKAP-GutHK_F11_085   -               90     896      86     922      66     924    1474    +       2e-70  232.6  22.6  -
Methanospirillaceae       -          LKAP-GutHK_F11_085   -               27     839      73     922      53     924    1378    +     2.6e-70  232.4  22.8  -
Haloarculaceae            -          LKAP-GutHK_F11_085   -               78     895      74     922      54     924    1473    +     1.9e-69  229.6  23.5  -
Methanopyraceae           -          LKAP-GutHK_F11_085   -               75     929      62     922      40     924    1512    +       2e-68  227.0  23.6  -
Nostocaceae               -          LKAP-GutHK_F11_085   -                4     548     363     923     360     924    1476    +     1.8e-67  223.6  14.6  -
Haloferacaceae            -          LKAP-GutHK_F11_085   -               78     896      74     922      53     924    1474    +     5.3e-66  217.8  22.9  -
Methanocorpusculaceae     -          LKAP-GutHK_F11_085   -               72     883      74     922      54     924    1421    +     8.6e-66  217.4  22.5  -
Thermoplasmataceae        -          LKAP-GutHK_F11_085   -               75     894      71     922      51     924    1471    +     1.2e-63  210.6  21.9  -
Caldisphaeraceae          -          LKAP-GutHK_F11_085   -               64     900      72     922      52     924    1466    +     2.3e-63  210.1  23.1  -
Methanotrichaceae         -          LKAP-GutHK_F11_085   -               75     892      74     922      54     924    1423    +     2.9e-63  209.0  22.5  -
Ferroplasmaceae           -          LKAP-GutHK_F11_085   -               77     884      74     916      58     924    1442    +       1e-62  207.5  20.2  -
Methanosarcinaceae        -          LKAP-GutHK_F11_085   -               74     891      74     922      54     924    1425    +     2.1e-61  202.8  22.2  -
Cuniculiplasmataceae      -          LKAP-GutHK_F11_085   -               76     890      72     922      51     924    1469    +       6e-61  202.0  22.5  -
Fervidicoccaceae          -          LKAP-GutHK_F11_085   -               79     919      69     922      47     924    1502    +     1.7e-60  200.4  23.1  -
